Orthogroup	Arabidopsis_arenosa	Odontarrhena_muralis
OG0000027	jg33002, jg33003	Om002G070390
OG0000028	jg13681, jg3965, jg11165, jg14797, jg11997, jg6737, jg2197, jg17461, jg12004, jg26958, jg13640, jg2465, jg27218, jg11460	Om001G022770
OG0000028	jg1778	Om007G308810
OG0000029	jg5864, jg27798, jg17174, jg18126	Om005G216790
OG0000029	jg1946	Om004G147450
OG0000029	jg17949	Om007G298330
OG0000030	jg32294, jg33373, jg6978	Om004G153710
OG0000030	jg12236	Om020G374410, Om004G155320
OG0000030	jg20585	Om004G152960
OG0000030	jg11609	Om001G018460, Om005G215420, Om004G165210
OG0000030	jg900, jg26487, jg11586, jg11588, jg2222, jg2223	Om005G226380
OG0000031	jg29724	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850
OG0000031	jg5495	Om006G252510
OG0000031	jg12744	Om007G317990
OG0000031	jg25741	Om002G063040
OG0000031	jg9770	Om001G018890
OG0000033	jg10203, jg10197, jg10193	Om001G010240
OG0000033	jg10204	Om001G010210
OG0000033	jg10186, jg10200, jg10207	Om001G011550
OG0000033	jg10425	Om001G007120
OG0000033	jg10177	Om001G010220
OG0000033	jg10208, jg10195, jg10202	Om001G010110
OG0000034	jg32357	Om006G264160
OG0000034	jg32649, jg13995	Om006G267380
OG0000034	jg17413, jg17411	Om008G344910
OG0000034	jg11749, jg11798	Om005G219960, Om002G081730
OG0000035	jg25048	Om006G273920, Om002G042810
OG0000035	jg23606, jg20747, jg20748	Om007G280220, Om007G279280, Om006G269650, Om008G331040
OG0000035	jg18271, jg18309	Om004G132400, Om008G334460, Om007G279790
OG0000035	jg16184	Om003G126360, Om003G126370
OG0000038	jg20023, jg549	Om005G196570, Om004G131590
OG0000038	jg31063, jg31071, jg31062, jg31070, jg31999, jg31068, jg31060	Om003G091800
OG0000038	jg14792, jg14795, jg11019, jg11066, jg18146, jg12694, jg12670, jg6336, jg15287	Om006G262290
OG0000038	jg25018	Om001G023300
OG0000038	jg11068	Om008G322940
OG0000038	jg25017, jg25016, jg25015	Om002G053860, Om001G005520
OG0000039	jg6819, jg32205	Om008G321840
OG0000040	jg30787, jg31202, jg31203, jg25536	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	jg14799, jg17824, jg14802, jg14804, jg1537	Om008G328570
OG0000041	jg6878	Om003G112520, Om001G018430, Om007G297590, Om007G301270, Om004G141670, Om009G364080, Om007G307140, Om001G021310, Om002G075020, Om002G075010, Om001G018420
OG0000042	jg17939	Om004G177160
OG0000044	jg21339, jg1555	Om006G265780
OG0000044	jg13501, jg20886	Om007G314900
OG0000044	jg12140	Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660
OG0000045	jg21055	Om001G031280
OG0000046	jg12463, jg12464	Om006G241220
OG0000046	jg10780	Om001G001860
OG0000046	jg2195, jg2209, jg2212	Om005G206750
OG0000047	jg20815, jg24929, jg1126, jg28031, jg17679	Om006G238470
OG0000047	jg14037	Om006G268590, Om001G028180, Om007G295630
OG0000048	jg5634, jg5644	Om007G296190, Om007G296250
OG0000050	jg7029, jg13871	Om007G308990
OG0000050	jg21178	Om006G268560
OG0000050	jg32622	Om008G341390, Om005G201890, Om005G219290
OG0000052	jg29349	Om005G179650, Om008G361390, Om005G180640
OG0000052	jg19555	Om008G354070, Om008G326640
OG0000052	jg19552, jg19554	Om008G326650
OG0000052	jg19560	Om008G326590
OG0000052	jg19563, jg19562, jg19561	Om008G326580
OG0000055	jg728	Om005G224080
OG0000055	jg1420	Om001G019570
OG0000055	jg743, jg744, jg745, jg746, jg747	Om008G361740, Om008G332920, Om003G120530, Om005G198120
OG0000056	jg20178	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970
OG0000057	jg28057, jg28058	Om004G172320, Om008G335030, Om004G172300
OG0000058	jg1166, jg14086	Om006G269070, Om006G268950, Om004G151670
OG0000058	jg27469, jg29921, jg1167, jg13112, jg18866, jg12231, jg7250, jg7021, jg20411, jg13499, jg11079, jg14182, jg13958, jg21898, jg21900, jg14025, jg21057, jg8024	Om004G159610, Om008G340000, Om005G225280, Om006G268750, Om004G160530
OG0000061	jg1799, jg24928, jg17678, jg1125, jg28032, jg32127, jg20814	Om006G238480
OG0000061	jg5265, jg31440, jg25892, jg12998, jg302, jg26776, jg6463, jg14036	Om003G106600, Om008G345470, Om008G347220
OG0000062	jg7377	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320, Om003G109490
OG0000063	jg22905	Om005G185480
OG0000063	jg17853	Om006G245470
OG0000063	jg15309	Om005G185660
OG0000063	jg29139, jg21260, jg29120, jg22936	Om007G283280
OG0000064	jg8362	Om001G041080
OG0000065	jg21206	Om010G364610
OG0000066	jg27126, jg7203, jg3219, jg3220	Om004G164550
OG0000066	jg13471	Om008G337830
OG0000066	jg1404	Om004G165570
OG0000067	jg24838, jg24839	Om001G023220
OG0000067	jg4261, jg4260, jg4298	Om004G137760
OG0000067	jg4679	Om004G163960, Om004G163910, Om001G022040, Om004G163900
OG0000068	jg32484	Om006G264170, Om007G304230, Om004G149200, Om004G147110
OG0000069	jg13268	Om005G212060
OG0000069	jg32690	Om005G223000
OG0000071	jg17558	Om001G016290, Om004G163830
OG0000071	jg28233, jg727, jg15329	Om008G360280, Om004G166900
OG0000072	jg27454, jg2002, jg1859, jg13895, jg13896, jg17450, jg17336, jg27058, jg17478, jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091	Om006G262700, Om007G309250, Om011G365680, Om001G001700
OG0000073	jg20412	Om008G360660, Om008G360260
OG0000074	jg30930	Om004G144080
OG0000074	jg30938	Om004G144350
OG0000074	jg30934	Om004G143980
OG0000074	jg17689, jg30932, jg30931	Om004G144100
OG0000074	jg30936	Om004G144220, Om004G144230
OG0000074	jg30922	Om004G143840
OG0000075	jg29545, jg29543	Om008G356700, Om004G132620, Om001G003590, Om001G003700
OG0000075	jg10637	Om005G194550
OG0000076	jg1458, jg1459, jg1457, jg13392, jg13393, jg13394	Om006G242520
OG0000076	jg13388, jg13373, jg13390	Om003G090370
OG0000077	jg8426	Om001G035000
OG0000077	jg26791	Om001G039420
OG0000077	jg7664	Om001G034120, Om001G040110, Om005G191300
OG0000077	jg32692, jg26472, jg32685, jg32682, jg8427	Om001G033890
OG0000077	jg8424, jg8422	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490
OG0000077	jg1000, jg934	Om005G195310
OG0000078	jg13800, jg25795, jg13799, jg25794	Om007G305480, Om008G337420
OG0000079	jg15929	Om003G122890, Om003G122910, Om003G122930, Om003G122940
OG0000079	jg17321, jg17317, jg17322	Om003G122800, Om003G122790
OG0000079	jg15921	Om003G122810
OG0000079	jg15911, jg15928	Om003G122880, Om003G122870
OG0000080	jg12190	Om004G135430
OG0000080	jg1961, jg32859, jg32843, jg32550, jg32855, jg32866	Om001G013570
OG0000080	jg18014, jg18020, jg18016, jg18005, jg18012, jg25262	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	jg32882, jg32881, jg32883, jg33223	Om006G269790, Om006G269770, Om006G266480, Om003G092590, Om003G096470
OG0000081	jg461	Om003G118960, Om005G227240
OG0000081	jg33221, jg2643	Om003G096460
OG0000081	jg5636	Om005G184670, Om005G184660
OG0000083	jg27544, jg27541	Om005G206370
OG0000084	jg17289	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580
OG0000086	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973	Om004G163220
OG0000087	jg6235	Om006G238380
OG0000087	jg17972	Om007G282390
OG0000087	jg23223	Om006G235110
OG0000087	jg5068	Om004G162490
OG0000087	jg18593	Om008G339690
OG0000087	jg20749	Om008G355890
OG0000087	jg10485	Om001G006430
OG0000087	jg3235	Om004G137360
OG0000088	jg14230, jg14231, jg17633, jg14563, jg27525, jg14545, jg14558, jg14559, jg14561, jg14507	Om003G119630
OG0000088	jg5910	Om006G242180
OG0000089	jg4799	Om007G292110, Om004G166350
OG0000089	jg26012, jg33022	Om002G065930, Om003G098490
OG0000089	jg18920	Om006G254270
OG0000089	jg15311	Om008G335280
OG0000090	jg4483, jg30544, jg16631	Om005G202290, Om005G179690
OG0000090	jg3251	Om004G136810
OG0000090	jg8905	Om002G055690, Om003G124430
OG0000093	jg15862	Om003G122050
OG0000093	jg15861	Om003G122010
OG0000093	jg15848, jg15846	Om003G121870
OG0000093	jg15851	Om003G121950
OG0000093	jg15850	Om003G121730, Om003G121770, Om003G121750
OG0000096	jg13128	Om007G301150, Om003G093070, Om006G274060
OG0000096	jg2240	Om004G143550, Om008G360980
OG0000096	jg29337	Om005G187930
OG0000097	jg7810	Om008G355550, Om008G355560
OG0000097	jg7819	Om008G355570
OG0000097	jg7820	Om008G355700
OG0000097	jg7813, jg7812, jg7815, jg7814	Om008G355610, Om008G355650, Om008G354170, Om008G354150
OG0000097	jg21543, jg7817	Om008G355680, Om008G355600, Om004G133820
OG0000098	jg651, jg658, jg654, jg653, jg650	Om001G001780
OG0000098	jg29677	Om005G191670
OG0000098	jg32282, jg12025	Om005G191920, Om005G192380
OG0000099	jg455, jg458, jg453, jg457	Om005G227450
OG0000099	jg456	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320
OG0000099	jg543	Om005G227510
OG0000101	jg472	Om005G226700, Om005G227060
OG0000104	jg29111	Om005G185360
OG0000104	jg17897	Om007G283020
OG0000104	jg33004	Om003G095420
OG0000104	jg26323	Om002G069400
OG0000104	jg33349, jg33354	Om003G095400
OG0000104	jg17885, jg17878	Om007G283060
OG0000107	jg17559, jg17556	Om002G067730
OG0000107	jg26161	Om002G067740
OG0000107	jg26163, jg26160	Om002G067770
OG0000108	jg17595, jg31284, jg16872	Om003G100270, Om003G100260
OG0000108	jg27107, jg27264, jg27221, jg27229, jg27223	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810
OG0000108	jg2306	Om006G273840, Om006G273820
OG0000109	jg20882, jg6910, jg11931	Om007G303510
OG0000110	jg20835	Om003G123380
OG0000110	jg15960	Om003G123410
OG0000110	jg15959	Om003G123400
OG0000111	jg11228	Om006G259270
OG0000112	jg21770	Om005G189180
OG0000113	jg508	Om001G037540
OG0000114	jg20994	Om001G037840
OG0000114	jg24299	Om002G045910, Om002G045900
OG0000114	jg2542	Om004G135370
OG0000118	jg13696, jg13697, jg13695	Om008G333780
OG0000119	jg20878	Om008G350770, Om005G228020, Om003G109440, Om006G251230, Om001G019890
OG0000119	jg12954	Om007G284090
OG0000119	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730
OG0000120	jg893, jg889	Om005G221860
OG0000120	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520
OG0000120	jg13317, jg4214, jg4213, jg2215, jg14374	Om007G296760, Om007G296900, Om004G172660
OG0000122	jg32572	Om004G163000
OG0000122	jg22485	Om003G118900, Om003G118890
OG0000122	jg21685	Om003G118880
OG0000122	jg22487, jg22488	Om003G118720, Om003G118730
OG0000123	jg29806	Om005G193630
OG0000123	jg14270	Om005G193640
OG0000123	jg29805	Om005G193280, Om005G193230, Om005G193260
OG0000124	jg19874	Om004G176730
OG0000124	jg20179	Om008G318760, Om007G317440
OG0000124	jg11471	Om001G019350
OG0000125	jg24874, jg3993	Om002G052080
OG0000125	jg6123	Om006G244360
OG0000125	jg29136	Om005G185630
OG0000125	jg14378, jg22931	Om006G245540
OG0000125	jg17851	Om007G283300
OG0000127	jg3917, jg3918	Om004G176360
OG0000127	jg3920	Om004G176280
OG0000127	jg29525	Om005G189950
OG0000127	jg29526, jg29071	Om005G189960
OG0000133	jg7039	Om008G345870, Om008G349240
OG0000136	jg23234	Om003G099850
OG0000136	jg12270	Om002G064560
OG0000138	jg13819	Om001G037700
OG0000138	jg13817, jg13821	Om001G026370
OG0000140	jg22850	Om006G246590
OG0000140	jg22800, jg21885, jg22801	Om006G247230, Om006G247200
OG0000140	jg22851, jg22847	Om006G246640
OG0000142	jg17933	Om007G282780
OG0000142	jg17936	Om007G282660
OG0000144	jg32527	Om002G077770
OG0000144	jg6805	Om007G317180
OG0000145	jg12283, jg27177	Om004G162350
OG0000145	jg27362	Om003G116800
OG0000145	jg17724	Om008G347500, Om005G215130
OG0000146	jg22363	Om003G117350
OG0000146	jg21872	Om003G097230
OG0000146	jg22365, jg22366	Om003G117400, Om003G117360
OG0000147	jg28078	Om002G086500
OG0000147	jg9392	Om001G025660
OG0000147	jg22635	Om007G285990, Om006G249440
OG0000147	jg3697	Om004G130850
OG0000147	jg13954	Om006G268290
OG0000147	jg27288	Om002G078960
OG0000149	jg22901	Om007G317470
OG0000150	jg22960	Om004G164020
OG0000150	jg14055	Om007G296930
OG0000150	jg14331	Om001G010460
OG0000150	jg14325	Om005G201710
OG0000150	jg22962	Om007G293770, Om004G140630
OG0000151	jg22050	Om003G114720
OG0000151	jg24782	Om002G051120
OG0000151	jg27769	Om002G082850
OG0000151	jg22463	Om003G118410
OG0000154	jg1415	Om002G065770, Om004G147300, Om004G147290, Om002G052020, Om002G052040, Om001G020420
OG0000154	jg30094	Om005G196960
OG0000154	jg25213	Om002G056330
OG0000154	jg3985	Om004G175620
OG0000154	jg3984	Om004G175630
OG0000155	jg9725	Om001G020030
OG0000155	jg10429	Om001G007090
OG0000155	jg2004, jg10428	Om001G007100
OG0000155	jg25152	Om002G055620
OG0000156	jg19948	Om008G321950, Om008G321940
OG0000157	jg24182	Om001G032790, Om001G032520, Om008G334520, Om008G334530, Om002G083660
OG0000157	jg12773, jg19021, jg19020, jg19023, jg19043, jg19019	Om008G326040, Om008G355750
OG0000161	jg23140, jg23141, jg33435, jg33436, jg21823, jg17685, jg17683, jg17687	Om006G236100, Om006G236170
OG0000161	jg31503	Om004G175180
OG0000161	jg1847	Om007G278440
OG0000161	jg1819, jg1820, jg1821, jg1704	Om004G167210, Om006G249300
OG0000162	jg15299	Om003G125430, Om003G125400, Om003G125370
OG0000162	jg16105	Om003G125230, Om003G125290, Om007G315000
OG0000162	jg19860	Om003G125390
OG0000162	jg2591	Om003G125170
OG0000162	jg16104	Om003G125240, Om003G125350, Om003G125220, Om003G125200, Om003G125180, Om003G125210
OG0000162	jg19859	Om008G322780, Om008G322790
OG0000164	jg9497, jg31608	Om001G024320
OG0000164	jg8472	Om001G039830
OG0000166	jg11859	Om002G081230
OG0000166	jg28282, jg27759	Om001G014850
OG0000166	jg27846	Om001G033710
OG0000166	jg725, jg4758	Om006G255610, Om002G081240, Om002G060790
OG0000167	jg10624	Om001G004360
OG0000167	jg12242	Om001G004340
OG0000169	jg1552	Om003G127060
OG0000171	jg5289	Om007G301020
OG0000172	jg15926	Om003G122950
OG0000172	jg15937	Om003G123010, Om006G260870
OG0000172	jg15932	Om003G123000
OG0000172	jg15930	Om003G122820, Om006G274300
OG0000175	jg15013	Om006G257450
OG0000175	jg3242	Om004G137100
OG0000175	jg8854	Om002G082840
OG0000176	jg31636, jg31639	Om001G007740, Om001G007770, Om001G007760, Om004G147890, Om004G147900, Om004G142560, Om007G292150
OG0000176	jg31640, jg31643	Om007G291450
OG0000176	jg31598, jg31645, jg31650	Om008G352670, Om008G352700, Om008G352660, Om008G352690, Om007G291500
OG0000180	jg16351	Om006G256410, Om003G119900
OG0000183	jg19302	Om008G341930
OG0000185	jg1441, jg14078, jg1761, jg12153	Om001G041450, Om008G356330, Om008G319330
OG0000185	jg13729, jg14412	Om008G337930
OG0000186	jg17588	Om007G285030
OG0000186	jg10477, jg10194	Om004G150540, Om005G218260
OG0000187	jg9234, jg9235	Om001G028150, Om001G030060, Om001G033230, Om001G030100, Om008G336940, Om001G028140
OG0000187	jg9230	Om001G028260, Om001G028280
OG0000189	jg8491	Om006G250870
OG0000189	jg3298	Om001G039670
OG0000189	jg8629	Om001G037310
OG0000189	jg8611	Om007G308480, Om007G308250, Om007G308860
OG0000189	jg8545	Om001G038960
OG0000189	jg13671	Om001G037320
OG0000190	jg7702	Om008G353940
OG0000190	jg7703	Om008G355670
OG0000191	jg25728	Om005G197150
OG0000191	jg27860, jg27859	Om002G064270
OG0000192	jg30670	Om005G203480
OG0000192	jg3362	Om005G203440
OG0000192	jg30665, jg30667, jg30662, jg30666, jg30668	Om005G203410
OG0000193	jg26576, jg26577	Om002G071740, Om002G071690
OG0000193	jg26294	Om008G326490
OG0000193	jg26297, jg26298, jg26296, jg26288, jg26290, jg26289, jg14328, jg14329	Om005G206290
OG0000195	jg19387, jg15712, jg15648	Om003G119760
OG0000195	jg2098, jg12245, jg5984, jg14060	Om007G285150
OG0000196	jg31432	Om005G185020
OG0000197	jg28098	Om004G163020
OG0000200	jg14818	Om005G182720
OG0000201	jg26412, jg26411, jg26410	Om002G070200
OG0000201	jg26413, jg26414	Om002G070210
OG0000201	jg26422	Om002G070220
OG0000201	jg26418, jg26417	Om002G070290
OG0000202	jg25880	Om002G064090
OG0000202	jg27019, jg27030, jg27031, jg27015, jg27014, jg27013, jg26463, jg27878, jg26503, jg26506, jg26505, jg26501, jg26502, jg26504, jg26509, jg26729	Om020G374490, Om011G365230
OG0000203	jg24349, jg24348, jg24346, jg24347	Om003G095370, Om002G055150
OG0000203	jg9421, jg9422, jg24303, jg5021, jg5008, jg5007, jg5020, jg5022	Om002G046450, Om002G046460
OG0000204	jg26496	Om002G070990
OG0000207	jg2551	Om008G331300
OG0000207	jg3556, jg2081, jg1979, jg2083, jg12504, jg2076, jg17554, jg2082, jg2084	Om004G136280
OG0000207	jg16693	Om004G132790
OG0000207	jg30217	Om005G197960, Om005G197970
OG0000208	jg21871	Om001G040250
OG0000209	jg416, jg418	Om005G228040, Om005G227980
OG0000209	jg414, jg7742, jg33120, jg7741	Om005G228080
OG0000210	jg13160, jg13155, jg13158, jg13161, jg12338, jg12339, jg5057, jg13159, jg13157	Om001G032060, Om001G032100
OG0000210	jg18412, jg18409, jg18408	Om007G278540
OG0000210	jg18405, jg20943	Om007G278560
OG0000213	jg2970, jg2971	Om004G141230, Om005G208800
OG0000213	jg24982	Om002G053370
OG0000213	jg16737, jg16738, jg16741, jg16740	Om001G036460, Om001G036440, Om001G036450
OG0000214	jg2493	Om007G281030
OG0000214	jg7999	Om004G145430
OG0000214	jg8001	Om004G136700, Om004G136680, Om004G145470
OG0000216	jg10317	Om001G007580
OG0000216	jg10266	Om001G008700
OG0000216	jg10316, jg10315	Om003G116290, Om001G008720, Om006G250260
OG0000217	jg1027, jg1032, jg1047, jg7385	Om001G001710, Om001G001540, Om001G001620, Om001G001600
OG0000218	jg29979, jg29981	Om005G195550
OG0000218	jg29982	Om005G195570, Om005G195580
OG0000218	jg13337	Om001G010890, Om001G010900, Om001G010920
OG0000218	jg11388	Om004G138180
OG0000218	jg12942	Om006G241660
OG0000219	jg2178, jg2182, jg2180, jg2179	Om005G213260
OG0000219	jg22095, jg22096	Om008G350180, Om006G237850, Om006G237870
OG0000220	jg760	Om007G276730, Om007G315520
OG0000220	jg3970	Om004G175360, Om004G175350, Om004G175400
OG0000221	jg23304	Om002G088910
OG0000224	jg3422, jg3420	Om004G134640, Om004G134630
OG0000224	jg571, jg570	Om005G225780
OG0000225	jg31470, jg31479, jg31471, jg31469	Om007G289790
OG0000225	jg31478, jg31472	Om007G289810
OG0000225	jg31468	Om007G289780, Om007G289840, Om007G289820, Om007G289860, Om007G289850
OG0000225	jg31477	Om007G289830, Om007G289770
OG0000226	jg30960, jg31379, jg31377	Om003G089750
OG0000229	jg32894, jg33326	Om001G026580
OG0000231	jg12412	Om006G259610
OG0000232	jg25056	Om004G153390, Om018G374050, Om002G054380
OG0000233	jg32554	Om002G075710
OG0000233	jg1869	Om001G036910
OG0000234	jg15449	Om006G252380
OG0000234	jg15448	Om006G252400
OG0000234	jg15447	Om006G252410
OG0000234	jg19118	Om008G332130
OG0000234	jg5170	Om004G161230
OG0000235	jg27497, jg27499, jg27501, jg25726, jg25725, jg27017, jg21538	Om002G062850, Om002G062830
OG0000235	jg32771, jg25724	Om002G062820
OG0000236	jg26426	Om002G070320
OG0000237	jg12894	Om008G343820, Om007G307970
OG0000237	jg1321	Om005G218340
OG0000240	jg32293	Om001G023550, Om001G017850
OG0000242	jg27565	Om002G081640
OG0000242	jg29880	Om005G193910
OG0000242	jg29883	Om005G194120
OG0000242	jg29879	Om005G193920, Om005G193930
OG0000244	jg10370	Om001G008070
OG0000244	jg7736	Om008G354370
OG0000244	jg10371	Om001G008060
OG0000244	jg7735	Om008G354350, Om003G110630
OG0000248	jg7640	Om008G353070
OG0000248	jg1267	Om011G365210, Om020G374470
OG0000248	jg15619	Om003G119420
OG0000249	jg18816	Om008G336610
OG0000249	jg18819	Om008G336590, Om008G336600
OG0000249	jg15247	Om006G255030
OG0000250	jg2620, jg2621, jg2622	Om005G208240, Om005G208260, Om005G208250
OG0000251	jg14119	Om008G345500
OG0000251	jg32810	Om006G266370, Om005G218220
OG0000252	jg4033, jg27620, jg4035, jg33335, jg33336, jg33337, jg4032, jg4031, jg4036, jg4034	Om008G334420, Om008G334430, Om003G122070, Om004G175220
OG0000253	jg17414	Om004G150660
OG0000254	jg32916, jg16978, jg17665, jg1307, jg26917, jg983, jg985	Om002G064970
OG0000254	jg7439	Om008G330440
OG0000254	jg16868	Om004G175010
OG0000256	jg13826, jg19307	Om008G329770
OG0000256	jg21390, jg21205, jg21204, jg27046	Om008G331560, Om008G331580, Om008G331570, Om008G331550
OG0000256	jg19308	Om008G329670
OG0000256	jg17079	Om008G329810
OG0000257	jg33267	Om001G002940
OG0000257	jg24983	Om002G053540
OG0000258	jg13318, jg13319	Om008G334140
OG0000258	jg13321	Om008G327620, Om006G251330
OG0000258	jg13320	Om006G272550
OG0000260	jg17320	Om004G174020
OG0000260	jg2101, jg2102, jg31434	Om004G173960
OG0000264	jg7787	Om008G355250
OG0000264	jg7882	Om008G355310
OG0000264	jg7883, jg7885, jg7884, jg7892, jg7931, jg7886	Om004G160560, Om004G160570, Om004G160550
OG0000264	jg7893	Om008G355300
OG0000265	jg5787	Om007G304710, Om007G298190
OG0000265	jg20789	Om005G198690, Om008G341180, Om008G357770
OG0000266	jg31826, jg15562, jg15586, jg15559	Om003G128150
OG0000267	jg17980, jg18002, jg17981, jg17978, jg18001, jg17979, jg17999	Om004G134370, Om005G189100, Om002G050140
OG0000268	jg13018	Om006G274870
OG0000268	jg716	Om008G334210
OG0000268	jg3910	Om004G176390
OG0000268	jg15354	Om006G253920
OG0000270	jg8879	Om001G041100
OG0000270	jg8360	Om001G033200
OG0000270	jg3222	Om004G138430
OG0000272	jg13269	Om007G315350
OG0000273	jg32950	Om007G280490
OG0000274	jg22908	Om006G245790
OG0000274	jg17166, jg14405, jg14407, jg33561	Om008G354900
OG0000274	jg17967	Om007G282440
OG0000275	jg26401	Om002G070170, Om002G070160
OG0000276	jg11537, jg11540	Om008G337850
OG0000276	jg10545	Om001G005730
OG0000276	jg20724	Om008G337860
OG0000277	jg11133, jg11132	Om003G101240
OG0000277	jg11135	Om003G101280
OG0000279	jg14913, jg32174	Om008G348600
OG0000279	jg32173	Om004G152920, Om004G168610
