Orthogroup	Raphanus_sativus	Arabidopsis_lyrata_NCBI
OG0000046	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1	XP_020877167.1, XP_020871406.1, XP_002883785.1, XP_020880655.1, XP_020876919.1, XP_020882740.1, XP_002893924.2, XP_020870337.1, XP_020887727.1, XP_020867102.1, XP_020874078.1, XP_020866165.1, XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1, XP_020883604.1, XP_020876127.1
OG0000047	XP_018479492.1, XP_018458501.1	XP_020883415.1
OG0000048	XP_018482068.1, XP_018479796.1, XP_018479876.1, XP_018481878.1, XP_018484946.1, XP_018481942.1, XP_018490100.1, XP_018484944.1, XP_018465213.1, XP_018477245.1, XP_018484943.1, XP_018484945.1, XP_018484942.1, XP_018477397.1, XP_018479871.1, XP_018477265.1, XP_018483420.1, XP_018478113.1, XP_018479866.1	XP_020886243.1
OG0000048	XP_018453414.1	XP_002886496.1, XP_002886498.2
OG0000049	XP_018473828.1	XP_020866728.1
OG0000050	XP_018487487.1	XP_020880718.1, XP_002879393.2
OG0000051	XP_018493126.1	XP_020868191.1
OG0000051	XP_018482785.1, XP_018482784.1, XP_018473989.1	XP_020885498.1
OG0000051	XP_018435533.1, XP_018438374.1, XP_018463100.1, XP_018455750.1, XP_018463099.1	XP_002886390.1, XP_002882601.1
OG0000051	XP_018473990.1, XP_018465828.1	XP_020884766.1, XP_020885237.1, XP_020890130.1
OG0000051	XP_018436547.1, XP_018436548.1, XP_018436546.1, XP_018436545.1, XP_018436438.1, XP_018436441.1	XP_020883307.1
OG0000052	XP_018479392.1, XP_018479394.1, XP_018479395.1, XP_018481202.1	XP_020882518.1, XP_020882260.1
OG0000052	XP_018454118.1	XP_002894621.2, XP_020881195.1, XP_020881409.1
OG0000052	XP_018440341.1, XP_018440340.1, XP_018436949.1	XP_020881215.1, XP_020881213.1
OG0000052	XP_018454062.1	XP_020881212.1, XP_020881214.1
OG0000052	XP_018433197.1, XP_018454367.1, XP_018454366.1	XP_020880077.1
OG0000052	XP_018493248.1	XP_020876149.1, XP_020879879.1
OG0000055	XP_018474315.1, XP_018475877.1, XP_018475876.1, XP_018460442.1, XP_018475208.1, XP_018448356.1, XP_018469080.1, XP_018460063.1	XP_020889173.1
OG0000055	XP_018489800.1	XP_020883674.1, XP_020876181.1
OG0000055	XP_018435448.1, XP_018464098.1, XP_018440394.1	XP_020886503.1, XP_020887842.1
OG0000056	XP_018456965.1, XP_018435121.1	XP_020880767.1
OG0000058	XP_018467931.1, XP_018487493.1	XP_020868066.1
OG0000058	XP_018464202.1, XP_018477823.1, XP_018458662.1	XP_020883504.1
OG0000059	XP_018476848.1, XP_018448721.1, XP_018436112.1, XP_018463973.1, XP_018467561.1, XP_018467345.1, XP_018443425.1, XP_018448461.1, XP_018435913.1, XP_018487671.1, XP_018458755.1, XP_018443688.1	XP_020889554.1, XP_020890752.1, XP_020876125.1
OG0000059	XP_018438980.1	XP_020879890.1, XP_020878851.1, XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1, XP_020870695.1
OG0000059	XP_018469270.1, XP_018438946.1, XP_018480125.1, XP_018490555.1	XP_020875483.1, XP_020876486.1
OG0000060	XP_018450800.1, XP_018478486.1	XP_020868758.1
OG0000060	XP_018489416.1	XP_020879701.1
OG0000060	XP_018486629.1	XP_002864647.1, XP_020880298.1
OG0000060	XP_018463191.1	XP_020868710.1
OG0000060	XP_018478406.1	XP_020880172.1
OG0000061	XP_018469367.1, XP_018471384.1, XP_018467960.1, XP_018457588.1	XP_020867733.1
OG0000061	XP_018464627.1	XP_020879494.1
OG0000061	XP_018482142.1	XP_020870702.1
OG0000061	XP_018467401.1	XP_020886448.1, XP_020870001.1
OG0000061	XP_018487822.1	XP_020891333.1, XP_020888256.1
OG0000062	XP_018466668.1, XP_018453901.1, XP_018461903.1, XP_018458652.1, XP_018487526.1, XP_018462640.1, XP_018463607.1, XP_018464509.1	XP_020871212.1, XP_020876453.1
OG0000064	XP_018459458.1, XP_018459460.1, XP_018459461.1, XP_018459459.1, XP_018458876.1, XP_018458874.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_002862361.1, XP_002886746.1, XP_002886752.2, XP_002886744.1, XP_020891241.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1
OG0000065	XP_018467421.1, XP_018461735.1	XP_020865724.1
OG0000065	XP_018483048.1, XP_018483050.1, XP_018464170.1	XP_020876931.1
OG0000065	XP_018460569.1	XP_020873881.1
OG0000065	XP_018479670.1	XP_020873883.1
OG0000065	XP_018463906.1, XP_018458891.1, XP_018461818.1	XP_002868795.2
OG0000065	XP_018481866.1, XP_018462609.1, XP_018479313.1, XP_018464676.1, XP_018481217.1	XP_020872917.1, XP_020872918.1
OG0000066	XP_018439713.1	XP_002894648.1
OG0000066	XP_018468121.1, XP_018447173.1, XP_018443026.1, XP_018450392.1	XP_020875248.1
OG0000066	XP_018474474.1	XP_020876760.1
OG0000067	XP_018448865.1	XP_020874420.1
OG0000067	XP_018436246.1, XP_018436236.1	XP_020886169.1, XP_020865924.1
OG0000068	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1	XP_020876030.1, XP_020876026.1, XP_020889396.1, XP_020889441.1
OG0000069	XP_018458214.1, XP_018435567.1, XP_018479283.1, XP_018458190.1	XP_020886063.1, XP_020871771.1, XP_020880445.1
OG0000069	XP_018475767.1, XP_018479965.1, XP_018479843.1	XP_020887402.1
OG0000070	XP_018439895.1, XP_018455246.1	XP_020867590.1, XP_002883942.1, XP_002875195.1, XP_002875194.1
OG0000070	XP_018435343.1	XP_020885789.1, XP_002890373.1, XP_002887052.2
OG0000070	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1	XP_020891141.1
OG0000070	XP_018475135.1	XP_002867118.1
OG0000072	XP_018458408.1	XP_020891370.1, XP_002865523.2
OG0000072	XP_018453574.1	XP_020891624.1
OG0000074	XP_018477791.1	XP_020874556.1
OG0000075	XP_018481197.1, XP_018459483.1	XP_002868917.2
OG0000076	XP_018480217.1	XP_020872718.1
OG0000076	XP_018462841.1, XP_018475048.1, XP_018474599.1, XP_018474598.1, XP_018443200.1, XP_018443823.1, XP_018460203.1, XP_018473529.1, XP_018460207.1, XP_018460209.1, XP_018472945.1, XP_018460208.1, XP_018474714.1, XP_018473780.1, XP_018473779.1	XP_002886268.1
OG0000077	XP_018455183.1	XP_020884560.1
OG0000077	XP_018473635.1, XP_018473636.1, XP_018483784.1	XP_020869035.1
OG0000077	XP_018438135.1	XP_020891276.1
OG0000077	XP_018435698.1	XP_020880678.1
OG0000077	XP_018468968.1	XP_020890121.1, XP_002863849.1
OG0000078	XP_018474944.1	XP_020877805.1, XP_020877807.1
OG0000078	XP_018468001.1, XP_018475082.1, XP_018467409.1, XP_018475059.1, XP_018475741.1, XP_018474955.1, XP_018475088.1, XP_018474996.1	XP_002871799.1, XP_020877812.1, XP_002873872.1, XP_002873870.1, XP_020877813.1
OG0000079	XP_018465529.1, XP_018466131.1, XP_018462783.1, XP_018480069.1, XP_018435592.1, XP_018448733.1, XP_018487595.1, XP_018474104.1, XP_018448192.1, XP_018462658.1, XP_018464512.1, XP_018487875.1, XP_018464755.1, XP_018435990.1, XP_018464130.1, XP_018448824.1, XP_018473838.1, XP_018454571.1, XP_018435964.1, XP_018467728.1, XP_018453714.1, XP_018453700.1, XP_018435546.1, XP_018444405.1, XP_018448694.1, XP_018448697.1, XP_018463788.1, XP_018443589.1, XP_018448758.1, XP_018465298.1, XP_018481702.1, XP_018448633.1, XP_018458820.1, XP_018435507.1, XP_018482195.1	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1
OG0000080	XP_018473795.1	XP_020866750.1
OG0000081	XP_018436245.1	XP_020870247.1
OG0000081	XP_018463440.1, XP_018467536.1, XP_018436146.1	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1
OG0000082	XP_018461311.1, XP_018443682.1	XP_020879679.1
OG0000082	XP_018464493.1, XP_018462716.1, XP_018460856.1, XP_018459743.1	XP_020878439.1
OG0000086	XP_018481064.1	XP_020872358.1, XP_002868822.1, XP_002868821.2
OG0000086	XP_018444904.1	XP_002868577.1
OG0000086	XP_018456777.1, XP_018456775.1, XP_018475756.1	XP_020889890.1, XP_020889891.1
OG0000089	XP_018477697.1, XP_018484582.1	XP_020879374.1
OG0000089	XP_018492627.1, XP_018440532.1	XP_020871804.1
OG0000089	XP_018440871.1	XP_020883550.1
OG0000089	XP_018476501.1, XP_018446020.1	XP_002873559.1
OG0000089	XP_018439894.1, XP_018456689.1, XP_018457306.1, XP_018483831.1	XP_002863588.1
OG0000089	XP_018446239.1, XP_018463490.1	XP_020890671.1
OG0000090	XP_018464193.1, XP_018479336.1, XP_018479335.1, XP_018435895.1, XP_018463736.1, XP_018448663.1, XP_018460575.1, XP_018460577.1, XP_018477007.1, XP_018463618.1, XP_018462341.1, XP_018487679.1	XP_020868126.1
OG0000091	XP_018441615.1, XP_018436160.1, XP_018442302.1, XP_018442307.1, XP_018476975.1, XP_018460254.1, XP_018475641.1, XP_018443675.1	XP_002880903.1
OG0000091	XP_018482085.1, XP_018483277.1	XP_020881827.1
OG0000091	XP_018474898.1, XP_018446823.1	XP_020878730.1
OG0000091	XP_018440736.1	XP_020880184.1
OG0000091	XP_018436103.1	XP_020881863.1
OG0000095	XP_018478409.1, XP_018478874.1	XP_020884025.1
OG0000095	XP_018479774.1, XP_018464217.1, XP_018479773.1	XP_020884027.1
OG0000095	XP_018458821.1, XP_018482330.1	XP_020883521.1, XP_020884655.1, XP_002878787.2
OG0000095	XP_018436175.1	XP_020885162.1
OG0000096	XP_018466022.1	XP_002872691.1
OG0000096	XP_018467758.1	XP_020888942.1
OG0000098	XP_018443647.1, XP_018461538.1, XP_018467732.1	XP_020865728.1
OG0000098	XP_018477065.1	XP_002893476.1, XP_020869068.1, XP_020885549.1
OG0000098	XP_018482705.1	XP_020876145.1, XP_020879189.1, XP_002874257.1
OG0000100	XP_018454271.1, XP_018454261.1	XP_020890843.1
OG0000100	XP_018454733.1, XP_018453995.1	XP_002886645.1
OG0000100	XP_018455681.1	XP_002887938.1, XP_020891283.1
OG0000100	XP_018436752.1	XP_020875192.1
OG0000100	XP_018453994.1	XP_002886379.1
OG0000102	XP_018478798.1	XP_002863972.2, XP_002874850.1
OG0000102	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1	XP_020876795.1, XP_002865915.2
OG0000102	XP_018473576.1	XP_002874852.1
OG0000102	XP_018451515.1, XP_018489433.1, XP_018486652.1, XP_018486669.1, XP_018474049.1	XP_002874842.1
OG0000105	XP_018448388.1	XP_020875322.1
OG0000106	XP_018483022.1, XP_018435770.1, XP_018482722.1	XP_020871478.1, XP_020889746.1
OG0000107	XP_018489727.1, XP_018489629.1, XP_018488234.1, XP_018486234.1	XP_002883228.1
OG0000107	XP_018440339.1, XP_018435080.1, XP_018436775.1	XP_020888430.1, XP_020886789.1, XP_002870246.2
OG0000108	XP_018476215.1, XP_018441209.1	XP_002879684.1, XP_020880453.1, XP_020883890.1
OG0000108	XP_018439577.1, XP_018439439.1, XP_018445204.1, XP_018476330.1, XP_018471220.1	XP_020876820.1
OG0000108	XP_018440679.1	XP_020867828.1, XP_002883150.1
OG0000109	XP_018454381.1	XP_020882760.1
OG0000109	XP_018487761.1, XP_018481572.1, XP_018481855.1, XP_018464035.1, XP_018463274.1, XP_018448709.1, XP_018466706.1, XP_018454380.1, XP_018477453.1, XP_018459917.1	XP_020888645.1, XP_020871279.1, XP_020885342.1, XP_020881978.1, XP_020865755.1, XP_002877246.2, XP_020872649.1
OG0000110	XP_018464346.1, XP_018460458.1, XP_018487640.1, XP_018453398.1, XP_018458166.1, XP_018458754.1	XP_020870662.1
OG0000111	XP_018470802.1	XP_002875482.1
OG0000111	XP_018479437.1, XP_018436418.1, XP_018473888.1	XP_020865753.1
OG0000114	XP_018456273.1	XP_020885335.1, XP_020881794.1, XP_020882022.1
OG0000115	XP_018448175.1, XP_018448174.1, XP_018464790.1, XP_018436053.1	XP_020878531.1
OG0000116	XP_018453807.1, XP_018465674.1, XP_018482519.1, XP_018474057.1, XP_018455509.1, XP_018463276.1, XP_018475460.1, XP_018459183.1, XP_018448437.1, XP_018462607.1, XP_018440840.1, XP_018470517.1	XP_002893409.1, XP_020871442.1, XP_020883597.1
OG0000116	XP_018449700.1, XP_018461081.1, XP_018460820.1, XP_018489717.1	XP_020885057.1
OG0000117	XP_018484078.1	XP_020866886.1
OG0000117	XP_018442248.1, XP_018475190.1, XP_018463580.1, XP_018474776.1, XP_018483556.1, XP_018449780.1, XP_018449779.1	XP_020870031.1
OG0000117	XP_018434385.1	XP_002893302.1
OG0000117	XP_018461550.1, XP_018449778.1, XP_018449606.1, XP_018449776.1, XP_018449605.1, XP_018461549.1, XP_018461548.1, XP_018449734.1, XP_018449777.1, XP_018448289.1, XP_018448292.1, XP_018461551.1, XP_018456410.1, XP_018454087.1, XP_018455073.1	XP_002893290.1, XP_002893291.1
OG0000118	XP_018491246.1, XP_018488077.1, XP_018438578.1, XP_018442744.1, XP_018491336.1, XP_018485751.1, XP_018486403.1, XP_018488302.1, XP_018482093.1	XP_020869283.1, XP_002881592.1, XP_020882923.1, XP_020882845.1, XP_020882847.1, XP_020885096.1, XP_020875172.1
OG0000119	XP_018435717.1	XP_020881724.1
OG0000119	XP_018479792.1	XP_002878927.2, XP_020885607.1, XP_002878925.2, XP_002875622.2, XP_020881725.1, XP_020881834.1, XP_020876007.1, XP_020881747.1, XP_002877410.2, XP_020881729.1, XP_020881748.1
OG0000122	XP_018475283.1, XP_018462771.1, XP_018472552.1, XP_018474614.1, XP_018462773.1, XP_018472550.1	XP_020881529.1
OG0000122	XP_018473651.1	XP_002864448.2
OG0000122	XP_018468941.1	XP_020865748.1
OG0000123	XP_018474158.1, XP_018474157.1, XP_018435443.1, XP_018435960.1	XP_002864096.1
OG0000124	XP_018467348.1	XP_020875630.1
OG0000125	XP_018493580.1, XP_018487612.1	XP_020870885.1
OG0000125	XP_018485742.1	XP_020866497.1
OG0000125	XP_018486058.1	XP_020870264.1, XP_020870260.1, XP_020870269.1
OG0000125	XP_018476295.1	XP_020870262.1
OG0000125	XP_018485989.1, XP_018488966.1	XP_020886058.1
OG0000126	XP_018465786.1	XP_020885553.1
OG0000126	XP_018465860.1	XP_020871413.1
OG0000127	XP_018442304.1, XP_018463483.1, XP_018464380.1	XP_002874101.1
OG0000127	XP_018467984.1, XP_018462477.1	XP_020880339.1
OG0000127	XP_018441606.1, XP_018478084.1, XP_018472875.1	XP_002879182.1
OG0000128	XP_018444638.1	XP_020879745.1
OG0000128	XP_018491569.1	XP_020882191.1
