Orthogroup	Raphanus_sativus	Cardamine_glauca
OG0000031	XP_018478951.1, XP_018466108.1, XP_018448402.1, XP_018479461.1, XP_018466777.1, XP_018473377.1, XP_018436087.1, XP_018453832.1, XP_018467329.1, XP_018435496.1, XP_018461346.1, XP_018453981.1, XP_018458946.1, XP_018480196.1, XP_018479743.1, XP_018443765.1, XP_018474115.1, XP_018448786.1, XP_018479710.1, XP_018459816.1, XP_018465887.1, XP_018453952.1, XP_018466560.1, XP_018461533.1, XP_018453567.1, XP_018459998.1	Cg003G0842000
OG0000032	XP_018459344.1	Cg007G2363000
OG0000032	XP_018482431.1	Cg001G0339700
OG0000034	XP_018483350.1, XP_018468503.1	Cg001G0172000
OG0000034	XP_018468506.1, XP_018468517.1	Cg001G0172200, Cg001G0172300
OG0000034	XP_018436206.1, XP_018483352.1	Cg001G0172500
OG0000034	XP_018484117.1, XP_018484118.1	Cg001G0190400
OG0000034	XP_018483529.1	Cg001G0222900
OG0000034	XP_018463089.1, XP_018468501.1	Cg001G0170800
OG0000034	XP_018448921.1, XP_018448031.1	Cg001G0172700
OG0000038	XP_018461383.1	Cg007G2341500
OG0000039	XP_018459982.1	Cg001G0195900
OG0000040	XP_018467584.1	Cg008G2847500, Cg008G2862000
OG0000040	XP_018458944.1, XP_018443654.1	Cg001G0375200
OG0000040	XP_018436297.1, XP_018448764.1, XP_018454006.1	Cg003G0770800, Cg006G1822500, Cg003G0954000
OG0000042	XP_018467598.1, XP_018463824.1	Cg013G3025700
OG0000042	XP_018435669.1, XP_018462250.1, XP_018459297.1, XP_018480155.1, XP_018487654.1, XP_018472601.1, XP_018473860.1, XP_018467317.1	Cg007G2325300
OG0000043	XP_018465687.1	Cg003G0842100
OG0000043	XP_018460645.1, XP_018474025.1, XP_018435759.1	Cg007G2421300, Cg006G1860500
OG0000044	XP_018466419.1	Cg001G0233900
OG0000044	XP_018474392.1, XP_018457475.1	Cg008G2897600
OG0000044	XP_018441634.1	Cg008G2973900
OG0000044	XP_018444272.1	Cg004G1380900
OG0000046	XP_018472630.1	Cg003G0881700, Cg001G0284200
OG0000050	XP_018462198.1	Cg005G1710800
OG0000050	XP_018479391.1, XP_018460528.1, XP_018479861.1	Cg007G2389100, Cg006G1872200
OG0000050	XP_018467601.1, XP_018488190.1	Cg001G0215700
OG0000050	XP_018479406.1	Cg005G1737200
OG0000051	XP_018493126.1	Cg006G2232100
OG0000051	XP_018473990.1, XP_018465828.1	Cg013G3025800, Cg005G1600400
OG0000051	XP_018436547.1, XP_018436548.1, XP_018436546.1, XP_018436545.1, XP_018436438.1, XP_018436441.1	Cg005G1723400
OG0000052	XP_018479392.1, XP_018479394.1, XP_018479395.1, XP_018481202.1	Cg002G0657800
OG0000052	XP_018454118.1	Cg007G2494300
OG0000052	XP_018440341.1, XP_018440340.1, XP_018436949.1	Cg002G0501500
OG0000056	XP_018456965.1, XP_018435121.1	Cg002G0557700
OG0000058	XP_018473916.1, XP_018473917.1	Cg002G0582900, Cg004G1300700, Cg006G1919800
OG0000058	XP_018435571.1, XP_018462760.1, XP_018461876.1, XP_018457139.1	Cg005G1665800, Cg002G0608700, Cg004G1336800, Cg005G1744500, Cg008G2877000, Cg001G0339300
OG0000058	XP_018464202.1, XP_018477823.1, XP_018458662.1	Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500
OG0000059	XP_018438980.1	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400
OG0000059	XP_018469270.1, XP_018438946.1, XP_018480125.1, XP_018490555.1	Cg003G0778100
OG0000061	XP_018482142.1	Cg004G1382400, Cg004G1390200
OG0000061	XP_018467401.1	Cg005G1634900
OG0000064	XP_018459458.1, XP_018459460.1, XP_018459461.1, XP_018459459.1, XP_018458876.1, XP_018458874.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1	Cg003G0987600
OG0000065	XP_018444649.1, XP_018442726.1, XP_018443463.1	Cg007G2434500
OG0000065	XP_018442727.1, XP_018444185.1	Cg007G2434600
OG0000065	XP_018461774.1	Cg007G2435300
OG0000065	XP_018435200.1	Cg003G0889600
OG0000066	XP_018433979.1, XP_018456938.1, XP_018470662.1, XP_018439713.1, XP_018448989.1, XP_018445234.1, XP_018448990.1, XP_018470661.1, XP_018456939.1	Cg006G2172200, Cg008G2671100, Cg003G1045600, Cg003G1045700, Cg008G2671000
OG0000066	XP_018474475.1, XP_018468122.1, XP_018468121.1, XP_018447173.1, XP_018443026.1, XP_018450392.1, XP_018442730.1, XP_018474474.1	Cg001G0018800
OG0000068	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400
OG0000068	XP_018474857.1, XP_018475140.1, XP_018472752.1, XP_018472753.1	Cg008G2928700
OG0000069	XP_018458214.1, XP_018435567.1, XP_018479283.1, XP_018458190.1	Cg007G2571800, Cg001G0395000
OG0000070	XP_018439895.1, XP_018455246.1	Cg006G2161100, Cg002G0680500
OG0000070	XP_018435343.1	Cg006G2064200
OG0000070	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1	Cg001G0322900, Cg001G0323200, Cg007G2530800
OG0000070	XP_018485425.1	Cg006G1844100, Cg006G1844000, Cg006G1844200, Cg006G1840200, Cg006G1844300
OG0000070	XP_018475135.1	Cg001G0056200
OG0000072	XP_018453574.1	Cg007G2400700, Cg007G2408800
OG0000074	XP_018453670.1	Cg008G2873100
OG0000074	XP_018478850.1, XP_018435497.1, XP_018476436.1	Cg007G2434800
OG0000075	XP_018481197.1, XP_018459483.1	Cg001G0013900
OG0000076	XP_018480217.1	Cg001G0007600
OG0000076	XP_018462841.1, XP_018475048.1, XP_018474599.1, XP_018474598.1, XP_018443200.1, XP_018443823.1, XP_018460203.1, XP_018473529.1, XP_018460207.1, XP_018460209.1, XP_018472945.1, XP_018460208.1, XP_018474714.1, XP_018473780.1, XP_018473779.1	Cg008G2983800
OG0000077	XP_018473635.1, XP_018473636.1, XP_018483784.1	Cg005G1775900, Cg003G0758200
OG0000077	XP_018438135.1	Cg007G2324000
OG0000077	XP_018435698.1	Cg002G0678300
OG0000077	XP_018455896.1, XP_018472848.1	Cg008G2956300
OG0000078	XP_018468001.1, XP_018475082.1, XP_018467409.1, XP_018475059.1, XP_018475741.1, XP_018474955.1, XP_018475088.1, XP_018474996.1	Cg008G2744900, Cg008G2744200, Cg008G2744500
OG0000079	XP_018465529.1, XP_018466131.1, XP_018462783.1, XP_018480069.1, XP_018435592.1, XP_018448733.1, XP_018487595.1, XP_018474104.1, XP_018448192.1, XP_018462658.1, XP_018464512.1, XP_018487875.1, XP_018464755.1, XP_018435990.1, XP_018464130.1, XP_018448824.1, XP_018473838.1, XP_018454571.1, XP_018435964.1, XP_018467728.1, XP_018453714.1, XP_018453700.1, XP_018435546.1, XP_018444405.1, XP_018448694.1, XP_018448697.1, XP_018463788.1, XP_018443589.1, XP_018448758.1, XP_018465298.1, XP_018481702.1, XP_018448633.1, XP_018458820.1, XP_018435507.1	Cg004G1172300, Cg002G0672800
OG0000079	XP_018482195.1	Cg010G2993500
OG0000080	XP_018473795.1	Cg002G0578600, Cg002G0578900, Cg005G1663800
OG0000080	XP_018435995.1	Cg004G1172200
OG0000081	XP_018436245.1	Cg003G0774600, Cg008G2921900
OG0000081	XP_018448853.1, XP_018446553.1, XP_018453862.1, XP_018491908.1, XP_018490120.1, XP_018463484.1, XP_018462409.1	Cg007G2409600, Cg007G2443800
OG0000083	XP_018476684.1, XP_018458977.1	Cg002G0678700
OG0000084	XP_018460216.1	Cg007G2362900
OG0000086	XP_018479609.1	Cg001G0341500
OG0000089	XP_018477697.1, XP_018484582.1	Cg008G2794800
OG0000089	XP_018492627.1, XP_018440532.1	Cg003G1017300
OG0000089	XP_018440871.1	Cg005G1638200
OG0000089	XP_018476501.1, XP_018446020.1	Cg008G2689500
OG0000089	XP_018439894.1, XP_018456689.1, XP_018457306.1, XP_018483831.1	Cg008G2943700
OG0000089	XP_018434101.1	Cg005G1585200
OG0000089	XP_018446239.1, XP_018463490.1	Cg007G2528700
OG0000090	XP_018453787.1	Cg005G1668200, Cg005G1727600, Cg004G1388300, Cg006G1926600
OG0000090	XP_018464061.1	Cg008G2920500
OG0000091	XP_018439296.1	Cg002G0556200
OG0000091	XP_018434208.1	Cg002G0551900
OG0000091	XP_018441615.1, XP_018436160.1, XP_018442302.1, XP_018442307.1, XP_018476975.1, XP_018460254.1, XP_018475641.1, XP_018443675.1	Cg005G1672400
OG0000091	XP_018474898.1, XP_018446823.1	Cg001G0362300, Cg008G2769400
OG0000095	XP_018479774.1, XP_018464217.1, XP_018479773.1	Cg005G1739100
OG0000095	XP_018458817.1, XP_018436175.1	Cg005G1739400
OG0000098	XP_018443647.1, XP_018461538.1, XP_018467732.1	Cg007G2258600, Cg007G2258500
OG0000098	XP_018477065.1	Cg008G2823500
OG0000101	XP_018476055.1, XP_018479572.1, XP_018461557.1, XP_018479181.1, XP_018448389.1, XP_018465075.1, XP_018484396.1, XP_018484394.1, XP_018459100.1, XP_018456076.1, XP_018448626.1, XP_018479413.1, XP_018460740.1, XP_018453636.1, XP_018443713.1, XP_018453516.1	Cg007G2332400
OG0000102	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1	Cg003G0863700, Cg003G0734700, Cg003G0734400, Cg003G0864000
OG0000102	XP_018473576.1	Cg003G0734600, Cg003G0863800
OG0000102	XP_018451515.1, XP_018489433.1, XP_018486652.1, XP_018486669.1, XP_018474049.1	Cg003G0863600, Cg003G0734800
OG0000105	XP_018464844.1	Cg007G2332200, Cg007G2332800
OG0000106	XP_018453762.1	Cg007G2419200, Cg008G2833600
OG0000107	XP_018474063.1, XP_018435236.1	Cg005G1681600
OG0000107	XP_018489727.1, XP_018489629.1, XP_018488234.1, XP_018486234.1	Cg004G1267500
OG0000107	XP_018486571.1, XP_018467025.1	Cg004G1267300, Cg004G1267400
OG0000108	XP_018476215.1, XP_018441209.1	Cg005G1557400
OG0000108	XP_018445204.1, XP_018476330.1, XP_018471220.1	Cg008G2664600
OG0000108	XP_018440679.1, XP_018492579.1	Cg004G1253800
OG0000110	XP_018446222.1, XP_018443582.1, XP_018437386.1, XP_018490507.1, XP_018450345.1, XP_018448613.1, XP_018435333.1, XP_018487390.1, XP_018443586.1, XP_018479534.1, XP_018479536.1, XP_018461540.1, XP_018459043.1, XP_018461034.1, XP_018466255.1, XP_018461038.1, XP_018461378.1, XP_018459049.1, XP_018459132.1, XP_018462373.1, XP_018482546.1, XP_018438837.1, XP_018459131.1, XP_018482527.1, XP_018438608.1, XP_018462371.1, XP_018450716.1	Cg002G0653700
OG0000116	XP_018487410.1	Cg001G0293300, Cg001G0282800
OG0000117	XP_018484078.1	Cg006G2029700
OG0000117	XP_018434385.1	Cg006G2029400
OG0000117	XP_018461550.1, XP_018449778.1, XP_018449606.1, XP_018449776.1, XP_018449605.1, XP_018461549.1, XP_018461548.1, XP_018449734.1, XP_018449777.1, XP_018448289.1, XP_018448292.1, XP_018461551.1, XP_018456410.1, XP_018454087.1, XP_018455073.1	Cg006G2030600
OG0000119	XP_018479792.1	Cg005G1714200, Cg002G0596700, Cg002G0574300, Cg001G0041500, Cg002G0574600, Cg002G0574700
OG0000121	XP_018448551.1	Cg008G2905000
OG0000122	XP_018475283.1, XP_018462771.1, XP_018472552.1, XP_018474614.1, XP_018462773.1, XP_018472550.1	Cg003G0952700
OG0000122	XP_018468941.1	Cg003G0800700
OG0000123	XP_018448747.1, XP_018459700.1, XP_018459701.1, XP_018459703.1, XP_018466453.1, XP_018459702.1, XP_018459697.1, XP_018459698.1, XP_018459699.1, XP_018448750.1, XP_018448748.1, XP_018465661.1, XP_018450290.1, XP_018459696.1, XP_018448772.1, XP_018448773.1, XP_018448746.1, XP_018448771.1, XP_018448752.1, XP_018467474.1, XP_018467238.1, XP_018459695.1, XP_018448753.1, XP_018448754.1, XP_018459694.1	Cg008G2893000, Cg008G2892800, Cg008G2892300, Cg008G2892200, Cg008G2892500, Cg008G2892400, Cg008G2892600, Cg008G2892100, Cg008G2892000, Cg008G2892700, Cg008G2892900
OG0000124	XP_018467348.1	Cg001G0378100
OG0000124	XP_018458113.1, XP_018474425.1, XP_018458453.1, XP_018467814.1, XP_018436023.1, XP_018459692.1, XP_018464236.1, XP_018480034.1, XP_018466176.1, XP_018453630.1, XP_018444526.1, XP_018489729.1, XP_018470137.1	Cg001G0298900
OG0000125	XP_018478791.1, XP_018437245.1, XP_018462942.1	Cg005G1643500
OG0000125	XP_018493580.1, XP_018487612.1	Cg006G2188500
OG0000125	XP_018485742.1	Cg006G1841400
OG0000125	XP_018486058.1	Cg006G1817000, Cg006G1816500, Cg006G1816900, Cg006G1816400
OG0000125	XP_018485989.1, XP_018488966.1	Cg004G1281100
OG0000127	XP_018442304.1, XP_018463483.1, XP_018464380.1	Cg008G2786000
OG0000127	XP_018485557.1, XP_018478149.1	Cg002G0489900
OG0000127	XP_018441606.1, XP_018478084.1, XP_018472875.1	Cg005G1647800
OG0000128	XP_018444638.1	Cg007G2459200
OG0000128	XP_018489183.1, XP_018442568.1, XP_018459990.1	Cg002G0434700
OG0000128	XP_018459995.1	Cg002G0434600
OG0000129	XP_018491243.1, XP_018491241.1	Cg007G2357000
OG0000129	XP_018461987.1	Cg007G2390100
OG0000129	XP_018438997.1, XP_018435583.1, XP_018439597.1, XP_018439599.1, XP_018435186.1	Cg003G1010100, Cg003G1010200, Cg003G1010000, Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700, Cg003G0897000
OG0000130	XP_018461102.1	Cg003G0796500, Cg002G0592800
OG0000132	XP_018490205.1, XP_018464835.1, XP_018486610.1, XP_018465554.1, XP_018489158.1, XP_018489931.1, XP_018465557.1, XP_018490414.1	Cg002G0477500
OG0000136	XP_018443762.1, XP_018460647.1	Cg003G0815400
OG0000136	XP_018453486.1, XP_018453484.1	Cg008G2983700
OG0000137	XP_018466390.1	Cg003G0942200
OG0000137	XP_018452340.1	Cg003G0942300
OG0000137	XP_018469497.1, XP_018452341.1, XP_018454603.1	Cg003G0942100
OG0000137	XP_018454803.1	Cg003G0941900
OG0000140	XP_018458943.1	Cg003G0904200
OG0000142	XP_018473960.1	Cg005G1593500
OG0000143	XP_018464818.1, XP_018464198.1, XP_018443711.1, XP_018487913.1, XP_018448766.1, XP_018459729.1, XP_018467146.1, XP_018487762.1, XP_018463067.1	Cg002G0608200
OG0000151	XP_018484857.1, XP_018484839.1	Cg002G0579800
OG0000151	XP_018491621.1, XP_018443657.1, XP_018481788.1	Cg002G0475200
OG0000151	XP_018483151.1	Cg002G0475300
OG0000151	XP_018439853.1	Cg005G1538800
OG0000151	XP_018481215.1	Cg002G0475400
OG0000151	XP_018478165.1, XP_018478354.1	Cg005G1560100
OG0000151	XP_018445846.1	Cg008G2699500
OG0000153	XP_018480951.1	Cg005G1625900
OG0000153	XP_018477489.1	Cg005G1641100
OG0000153	XP_018451355.1, XP_018448203.1	Cg006G2190200
OG0000153	XP_018481073.1, XP_018477487.1, XP_018438804.1, XP_018439613.1	Cg005G1640700
OG0000154	XP_018449548.1	Cg001G0245400
OG0000154	XP_018485330.1	Cg006G1826000
OG0000154	XP_018477996.1	Cg006G1826400
OG0000157	XP_018448171.1	Cg006G1966200, Cg006G1965500
OG0000159	XP_018452405.1, XP_018477160.1, XP_018477168.1	Cg007G2460000
OG0000159	XP_018450983.1, XP_018460947.1	Cg003G0778900, Cg005G1705200
OG0000160	XP_018456672.1, XP_018439896.1	Cg004G1426700
OG0000160	XP_018482147.1, XP_018459851.1, XP_018480330.1, XP_018459849.1, XP_018470513.1, XP_018447677.1, XP_018447191.1	Cg001G0100800
OG0000160	XP_018470730.1, XP_018456230.1	Cg003G0963700
OG0000160	XP_018489772.1	Cg004G1353700
OG0000160	XP_018442966.1, XP_018453169.1	Cg007G2573400
OG0000160	XP_018441376.1	Cg005G1742100
OG0000162	XP_018475016.1, XP_018474617.1	Cg005G1601500
OG0000162	XP_018438649.1	Cg005G1601600
OG0000163	XP_018464106.1, XP_018458096.1, XP_018436081.1, XP_018459495.1, XP_018476861.1, XP_018476229.1, XP_018453657.1	Cg005G1702000
OG0000165	XP_018462017.1, XP_018462798.1, XP_018475093.1, XP_018475274.1, XP_018474963.1, XP_018475261.1, XP_018475091.1, XP_018475959.1, XP_018475385.1, XP_018476864.1, XP_018476871.1, XP_018476525.1, XP_018474676.1	Cg006G1858300
OG0000166	XP_018466358.1	Cg013G3025200, Cg013G3024600, Cg013G3024900
OG0000166	XP_018481154.1, XP_018461465.1, XP_018482827.1	Cg036G3082400
OG0000167	XP_018487656.1	Cg004G1301000
OG0000169	XP_018490650.1, XP_018465835.1, XP_018488136.1, XP_018460812.1, XP_018449930.1, XP_018450149.1, XP_018464337.1, XP_018493592.1, XP_018476446.1	Cg003G0905500, Cg003G0905700
OG0000170	XP_018480183.1, XP_018480175.1	Cg002G0419600
OG0000170	XP_018478569.1	Cg005G1474000
OG0000171	XP_018471382.1, XP_018457991.1	Cg003G0916500
OG0000171	XP_018435045.1	Cg004G1402700
OG0000171	XP_018476067.1, XP_018468491.1, XP_018455854.1	Cg003G0949800
OG0000171	XP_018440453.1, XP_018492109.1, XP_018491228.1, XP_018486328.1	Cg004G1146700
OG0000171	XP_018447674.1, XP_018461966.1, XP_018445231.1	Cg001G0123300
OG0000173	XP_018451159.1	Cg008G2861400, Cg008G2846800
OG0000173	XP_018471389.1, XP_018470107.1, XP_018469600.1, XP_018467764.1, XP_018466202.1, XP_018467464.1, XP_018450992.1	Cg001G0073600
OG0000173	XP_018447856.1, XP_018461632.1, XP_018463300.1	Cg002G0675000
OG0000174	XP_018448484.1, XP_018453686.1, XP_018435973.1	Cg003G0887300, Cg005G1647500
OG0000174	XP_018435672.1	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200
OG0000175	XP_018486354.1, XP_018471533.1, XP_018466301.1, XP_018433300.1	Cg006G2031400, Cg007G2474600
OG0000175	XP_018446341.1	Cg008G2710700
OG0000175	XP_018441749.1	Cg002G0406800, Cg005G1457900
OG0000176	XP_018440112.1	Cg005G1747600
OG0000177	XP_018491376.1	Cg006G2054300, Cg006G2054100
OG0000177	XP_018459129.1	Cg006G2054700
OG0000178	XP_018462163.1, XP_018456012.1	Cg003G0742900, Cg003G0743000
OG0000178	XP_018466592.1, XP_018466494.1	Cg006G1925200
OG0000178	XP_018466816.1, XP_018474729.1	Cg006G1925100
OG0000178	XP_018453800.1	Cg003G0742300
OG0000178	XP_018455030.1, XP_018435705.1, XP_018438238.1	Cg003G0802700, Cg003G0803500
OG0000182	XP_018443244.1	Cg002G0405500, Cg002G0498500
OG0000183	XP_018483199.1	Cg001G0339800, Cg007G2426600
OG0000183	XP_018478487.1	Cg005G1681400
OG0000185	XP_018488105.1	Cg004G1440400
OG0000185	XP_018435637.1, XP_018435638.1	Cg003G1044200
OG0000185	XP_018438331.1	Cg004G1189300
OG0000186	XP_018475580.1, XP_018439292.1, XP_018439274.1	Cg005G1766900, Cg007G2287600
OG0000188	XP_018455405.1	Cg004G1107000
OG0000189	XP_018491974.1, XP_018439736.1, XP_018468233.1, XP_018470632.1, XP_018481039.1, XP_018482967.1	Cg004G1414100
