Orthogroup	Raphanus_sativus	Cardamine_hirsuta
OG0000034	XP_018436206.1	CARHR230240
OG0000034	XP_018460842.1, XP_018460841.1	CARHR228000
OG0000034	XP_018484117.1, XP_018484118.1	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070
OG0000034	XP_018460473.1	CARHR106160
OG0000034	XP_018448921.1, XP_018448031.1	CARHR230230, CARHR230200
OG0000034	XP_018467312.1	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650
OG0000035	XP_018460300.1, XP_018453765.1, XP_018464702.1, XP_018460797.1, XP_018464171.1, XP_018448429.1, XP_018448430.1, XP_018485080.1, XP_018460632.1	CARHR034500, CARHR120350, CARHR104490
OG0000038	XP_018460335.1	CARHR187570
OG0000039	XP_018459982.1	CARHR184170
OG0000042	XP_018435669.1	CARHR181500
OG0000043	XP_018460645.1, XP_018474025.1, XP_018435759.1	CARHR288090
OG0000044	XP_018464129.1, XP_018440463.1	CARHR116340
OG0000044	XP_018466419.1	CARHR223510
OG0000044	XP_018448646.1	CARHR175070
OG0000044	XP_018454138.1, XP_018465769.1	CARHR292230
OG0000044	XP_018474392.1, XP_018457475.1	CARHR175260
OG0000044	XP_018440461.1, XP_018440462.1	CARHR174840
OG0000044	XP_018448890.1	CARHR116350
OG0000044	XP_018449076.1	CARHR223530
OG0000044	XP_018449081.1, XP_018460032.1	CARHR222980, CARHR290490, CARHR223500
OG0000046	XP_018472630.1	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330, CARHR116100, CARHR183570, CARHR057390, CARHR107370, CARHR152970
OG0000046	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1	CARHR159290, CARHR150320, CARHR273180, CARHR286710, CARHR217190, CARHR117470
OG0000047	XP_018479427.1, XP_018479426.1, XP_018462781.1, XP_018454077.1, XP_018459807.1, XP_018479622.1, XP_018477313.1, XP_018460720.1, XP_018467566.1, XP_018435405.1, XP_018458916.1, XP_018467233.1, XP_018463074.1, XP_018479492.1, XP_018458501.1, XP_018463664.1, XP_018463678.1, XP_018466684.1, XP_018453678.1	CARHR257880
OG0000048	XP_018436807.1	CARHR054750
OG0000048	XP_018467221.1, XP_018487960.1, XP_018443410.1, XP_018444815.1, XP_018442224.1, XP_018463243.1, XP_018479860.1, XP_018463443.1, XP_018436316.1, XP_018436315.1, XP_018434883.1	CARHR125110
OG0000048	XP_018466188.1	CARHR125800
OG0000048	XP_018436322.1	CARHR207670, CARHR126120
OG0000048	XP_018453414.1	CARHR126110
OG0000049	XP_018479410.1, XP_018435505.1, XP_018463619.1	CARHR220930
OG0000050	XP_018479391.1, XP_018460528.1, XP_018479861.1	CARHR154060
OG0000050	XP_018487606.1, XP_018479191.1	CARHR071180, CARHR153550
OG0000051	XP_018493126.1	CARHR002800
OG0000051	XP_018435533.1, XP_018438374.1, XP_018463100.1, XP_018455750.1, XP_018463099.1	CARHR109310
OG0000051	XP_018473990.1, XP_018465828.1	CARHR127280
OG0000051	XP_018482778.1, XP_018482777.1, XP_018432826.1	CARHR256260
OG0000051	XP_018436547.1, XP_018436548.1, XP_018436546.1, XP_018436545.1, XP_018436438.1, XP_018436441.1	CARHR137540
OG0000052	XP_018479392.1, XP_018479394.1, XP_018479395.1, XP_018481202.1	CARHR148060
OG0000052	XP_018454118.1	CARHR065210, CARHR065340, CARHR278910, CARHR148040, CARHR150860
OG0000052	XP_018440341.1, XP_018440340.1, XP_018436949.1	CARHR162490, CARHR162550
OG0000052	XP_018454062.1	CARHR162560, CARHR162540, CARHR162510, CARHR162500, CARHR162570
OG0000054	XP_018460999.1	CARHR218070, CARHR104410, CARHR182000, CARHR219040, CARHR221160, CARHR284340, CARHR057830, CARHR034710
OG0000054	XP_018453724.1	CARHR153240
OG0000055	XP_018474315.1, XP_018475877.1, XP_018475876.1, XP_018460442.1, XP_018475208.1, XP_018448356.1, XP_018469080.1, XP_018460063.1	CARHR100810, CARHR107470, CARHR177430, CARHR192030
OG0000055	XP_018488227.1	CARHR094260
OG0000055	XP_018489800.1	CARHR149840
OG0000055	XP_018435448.1, XP_018464098.1, XP_018440394.1	CARHR111010
OG0000056	XP_018456965.1, XP_018435121.1	CARHR155600
OG0000059	XP_018476848.1, XP_018448721.1, XP_018436112.1, XP_018463973.1, XP_018467561.1, XP_018467345.1, XP_018443425.1, XP_018448461.1, XP_018435913.1, XP_018487671.1, XP_018458755.1, XP_018443688.1	CARHR293330, CARHR148640, CARHR151940, CARHR118340
OG0000059	XP_018438980.1	CARHR286550, CARHR102470, CARHR152130
OG0000061	XP_018469367.1, XP_018471384.1, XP_018467960.1, XP_018457588.1	CARHR270010
OG0000061	XP_018464627.1	CARHR039590
OG0000061	XP_018467401.1	CARHR123140
OG0000061	XP_018487822.1	CARHR151510, CARHR219570
OG0000064	XP_018459458.1, XP_018459460.1, XP_018459461.1, XP_018459459.1, XP_018458876.1, XP_018458874.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1	CARHR050760, CARHR273290, CARHR054420, CARHR289730, CARHR289690
OG0000065	XP_018479733.1, XP_018460986.1	CARHR214320
OG0000065	XP_018461745.1, XP_018470308.1	CARHR059230, CARHR059320, CARHR124320
OG0000065	XP_018470312.1	CARHR059260, CARHR059160
OG0000065	XP_018442727.1, XP_018444185.1	CARHR059130, CARHR059070, CARHR059140
OG0000065	XP_018466796.1, XP_018470309.1	CARHR059150
OG0000065	XP_018467421.1, XP_018461735.1	CARHR059360, CARHR263420
OG0000065	XP_018461774.1	CARHR059200
OG0000065	XP_018483048.1, XP_018483050.1, XP_018464170.1	CARHR214430, CARHR214400
OG0000065	XP_018435200.1	CARHR257300
OG0000065	XP_018462982.1	CARHR257310
OG0000065	XP_018481866.1, XP_018462609.1, XP_018479313.1, XP_018464676.1, XP_018481217.1	CARHR263400, CARHR263410
OG0000066	XP_018433979.1, XP_018456938.1, XP_018470662.1, XP_018439713.1, XP_018448989.1, XP_018445234.1, XP_018448990.1, XP_018470661.1, XP_018456939.1	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160
OG0000066	XP_018474475.1, XP_018468122.1, XP_018468121.1, XP_018447173.1, XP_018443026.1, XP_018450392.1, XP_018442730.1, XP_018474474.1	CARHR202310
OG0000068	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1	CARHR210960
OG0000069	XP_018479217.1, XP_018479215.1, XP_018479201.1, XP_018465639.1, XP_018438799.1, XP_018484272.1, XP_018484259.1, XP_018461828.1, XP_018437258.1, XP_018475087.1, XP_018479296.1, XP_018479295.1, XP_018465128.1	CARHR264460
OG0000069	XP_018467622.1	CARHR070150
OG0000070	XP_018439895.1, XP_018455246.1	CARHR010350, CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	XP_018435343.1	CARHR020650
OG0000070	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1	CARHR069500
OG0000070	XP_018475135.1	CARHR052170, CARHR288810
OG0000072	XP_018458408.1	CARHR153090
OG0000072	XP_018465335.1, XP_018448501.1, XP_018436002.1, XP_018460221.1, XP_018464358.1, XP_018458942.1, XP_018462168.1	CARHR292290
OG0000075	XP_018468037.1, XP_018467919.1, XP_018459482.1, XP_018471019.1, XP_018453598.1	CARHR247180
OG0000075	XP_018481197.1, XP_018459483.1	CARHR247150, CARHR221070, CARHR247140
OG0000076	XP_018480217.1	CARHR247830
OG0000076	XP_018435433.1, XP_018436299.1, XP_018488002.1, XP_018454002.1, XP_018436289.1, XP_018436283.1, XP_018436285.1, XP_018436286.1, XP_018437674.1, XP_018467455.1, XP_018482750.1, XP_018436301.1, XP_018436349.1, XP_018476025.1, XP_018475567.1, XP_018463206.1, XP_018474153.1, XP_018464851.1, XP_018463265.1, XP_018482751.1, XP_018469272.1, XP_018436302.1, XP_018474027.1, XP_018474028.1, XP_018436303.1, XP_018467354.1, XP_018443480.1, XP_018443483.1, XP_018444827.1, XP_018444944.1, XP_018449802.1, XP_018449809.1, XP_018443478.1, XP_018443481.1, XP_018444994.1, XP_018465975.1, XP_018466260.1, XP_018472219.1, XP_018461543.1, XP_018443571.1, XP_018443574.1, XP_018461537.1, XP_018468598.1, XP_018464034.1	CARHR260300
OG0000077	XP_018473635.1, XP_018473636.1, XP_018483784.1	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080
OG0000077	XP_018435698.1	CARHR288740, CARHR145630
OG0000078	XP_018468001.1, XP_018475082.1, XP_018467409.1, XP_018475059.1, XP_018475741.1, XP_018474955.1, XP_018475088.1, XP_018474996.1	CARHR194990, CARHR195030, CARHR195060, CARHR195010
OG0000079	XP_018482195.1	CARHR151670, CARHR119610
OG0000081	XP_018436245.1	CARHR217030, CARHR117010
OG0000081	XP_018463440.1, XP_018467536.1, XP_018436146.1	CARHR264280
OG0000081	XP_018448853.1, XP_018446553.1, XP_018453862.1, XP_018491908.1, XP_018490120.1, XP_018463484.1, XP_018462409.1	CARHR258030
OG0000082	XP_018442695.1	CARHR184640
OG0000086	XP_018479609.1	CARHR214860
OG0000086	XP_018444904.1	CARHR214870
OG0000086	XP_018445028.1, XP_018459504.1	CARHR058690, CARHR058660, CARHR058640, CARHR058680
OG0000089	XP_018477697.1, XP_018484582.1	CARHR189700
OG0000089	XP_018440871.1	CARHR122890
OG0000089	XP_018476501.1, XP_018446020.1	CARHR200860
OG0000089	XP_018439894.1, XP_018456689.1, XP_018457306.1, XP_018483831.1	CARHR178800
OG0000089	XP_018434101.1	CARHR128920
OG0000089	XP_018446239.1, XP_018463490.1	CARHR069200
OG0000090	XP_018439216.1	CARHR116840, CARHR259920
OG0000091	XP_018439296.1	CARHR155710, CARHR155700
OG0000091	XP_018436152.1	CARHR155720
OG0000091	XP_018474898.1, XP_018446823.1	CARHR192340, CARHR192330
OG0000092	XP_018436214.1	CARHR180960, CARHR036310
OG0000092	XP_018453851.1	CARHR216160
OG0000092	XP_018462904.1	CARHR225750
OG0000092	XP_018455197.1	CARHR293270
OG0000095	XP_018478409.1, XP_018478874.1	CARHR117030, CARHR118620
OG0000095	XP_018479774.1, XP_018464217.1, XP_018479773.1	CARHR117020
OG0000095	XP_018458821.1, XP_018482330.1	CARHR116980, CARHR117870, CARHR117890, CARHR116700, CARHR116940
OG0000095	XP_018458817.1	CARHR117880
OG0000095	XP_018436175.1	CARHR117220
OG0000096	XP_018466022.1	CARHR101790
OG0000096	XP_018462071.1	CARHR159080
OG0000098	XP_018443647.1, XP_018461538.1, XP_018467732.1	CARHR046250
OG0000098	XP_018477065.1	CARHR174970
OG0000098	XP_018482705.1	CARHR253270, CARHR188180
OG0000100	XP_018453997.1, XP_018453999.1	CARHR047460, CARHR047540
OG0000100	XP_018455681.1	CARHR047470, CARHR047430, CARHR047580, CARHR047440, CARHR261260, CARHR047450
OG0000100	XP_018454730.1, XP_018466158.1	CARHR048000, CARHR048030, CARHR048060, CARHR048070, CARHR048510
OG0000101	XP_018456076.1	CARHR099970, CARHR036950
OG0000102	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1	CARHR252110, CARHR252090, CARHR252060
OG0000102	XP_018453850.1	CARHR252130
OG0000105	XP_018448388.1	CARHR181190, CARHR228760
OG0000105	XP_018437703.1	CARHR175830, CARHR174830, CARHR175790, CARHR175310, CARHR289490, CARHR175270, CARHR292210, CARHR178690, CARHR116320, CARHR175110, CARHR175150, CARHR175080
OG0000105	XP_018449080.1	CARHR222460
OG0000105	XP_018464844.1	CARHR149270, CARHR047160
OG0000106	XP_018433530.1, XP_018448462.1, XP_018433853.1, XP_018436268.1, XP_018470067.1, XP_018448227.1, XP_018448228.1, XP_018439490.1, XP_018453762.1	CARHR183910
OG0000106	XP_018483022.1, XP_018435770.1, XP_018482722.1	CARHR055550
OG0000107	XP_018474063.1, XP_018435236.1	CARHR119260, CARHR119250
OG0000107	XP_018489727.1, XP_018489629.1, XP_018488234.1, XP_018486234.1	CARHR095650
OG0000107	XP_018486571.1, XP_018467025.1	CARHR095640, CARHR095620, CARHR055760
OG0000107	XP_018440339.1, XP_018435080.1, XP_018436775.1	CARHR096820, CARHR096830, CARHR097220, CARHR095680, CARHR095690, CARHR095670
OG0000108	XP_018476215.1, XP_018441209.1	CARHR131960
OG0000108	XP_018445204.1, XP_018476330.1, XP_018471220.1	CARHR203590
OG0000108	XP_018440679.1, XP_018492579.1	CARHR094190
OG0000110	XP_018464346.1, XP_018460458.1, XP_018487640.1, XP_018453398.1, XP_018458166.1, XP_018458754.1	CARHR151660
OG0000111	XP_018470802.1, XP_018479437.1, XP_018436418.1, XP_018473888.1	CARHR148290
OG0000114	XP_018456273.1	CARHR258830, CARHR283860
OG0000116	XP_018487410.1	CARHR217650
OG0000116	XP_018453443.1	CARHR101930
OG0000117	XP_018434385.1	CARHR024100
OG0000118	XP_018491246.1, XP_018488077.1, XP_018438578.1, XP_018442744.1, XP_018491336.1, XP_018485751.1, XP_018486403.1, XP_018488302.1, XP_018482093.1	CARHR101240, CARHR101220, CARHR133050, CARHR115930, CARHR115940, CARHR115970, CARHR133070, CARHR133060
OG0000119	XP_018435717.1	CARHR059580, CARHR150110
OG0000119	XP_018479792.1	CARHR114860, CARHR256190, CARHR263010, CARHR150080, CARHR150140, CARHR143200, CARHR207890, CARHR150200
OG0000121	XP_018448551.1	CARHR054680, CARHR054690, CARHR181920, CARHR054110, CARHR100990, CARHR102670
OG0000122	XP_018475453.1, XP_018473352.1, XP_018474205.1	CARHR269740
OG0000122	XP_018460882.1	CARHR269900, CARHR036560, CARHR031790, CARHR031760, CARHR036530, CARHR269750
OG0000122	XP_018473651.1	CARHR129080, CARHR031770, CARHR269910, CARHR269890
OG0000122	XP_018453563.1, XP_018487691.1	CARHR033520, CARHR033430
OG0000122	XP_018468941.1	CARHR269930
OG0000123	XP_018448747.1, XP_018459700.1, XP_018459701.1, XP_018459703.1, XP_018466453.1, XP_018459702.1, XP_018459697.1, XP_018459698.1, XP_018459699.1, XP_018448750.1, XP_018448748.1, XP_018465661.1, XP_018450290.1, XP_018459696.1, XP_018448772.1, XP_018448773.1, XP_018448746.1, XP_018448771.1, XP_018448752.1, XP_018467474.1, XP_018467238.1, XP_018459695.1, XP_018448753.1, XP_018448754.1, XP_018459694.1	CARHR181480, CARHR181490
OG0000124	XP_018467348.1	CARHR261370
OG0000124	XP_018458113.1, XP_018474425.1	CARHR259840
OG0000125	XP_018478791.1, XP_018437245.1, XP_018462942.1	CARHR122240
OG0000125	XP_018493580.1, XP_018487612.1	CARHR007350
OG0000125	XP_018485742.1	CARHR039100
OG0000125	XP_018486058.1	CARHR041970, CARHR041980
OG0000125	XP_018485989.1, XP_018488966.1	CARHR097260
OG0000126	XP_018464668.1	CARHR048790, CARHR257160
OG0000126	XP_018465786.1	CARHR103200
OG0000126	XP_018448241.1, XP_018448597.1	CARHR217430, CARHR184740
OG0000127	XP_018442304.1, XP_018463483.1, XP_018464380.1	CARHR190650
OG0000127	XP_018485557.1, XP_018478149.1	CARHR163570
OG0000127	XP_018441606.1, XP_018478084.1, XP_018472875.1	CARHR121850
OG0000128	XP_018444638.1	CARHR061850
OG0000128	XP_018460829.1	CARHR104600
OG0000128	XP_018489183.1, XP_018442568.1, XP_018459990.1	CARHR169580
OG0000128	XP_018459995.1	CARHR169600
OG0000128	XP_018487764.1, XP_018461995.1	CARHR169570
OG0000129	XP_018491243.1, XP_018491241.1	CARHR038520, CARHR038560
OG0000129	XP_018438997.1, XP_018435583.1, XP_018439597.1, XP_018439599.1, XP_018435186.1	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730
OG0000130	XP_018464495.1	CARHR287060, CARHR146840
OG0000130	XP_018461011.1, XP_018465244.1	CARHR182430
OG0000132	XP_018490205.1, XP_018464835.1, XP_018486610.1, XP_018465554.1, XP_018489158.1, XP_018489931.1, XP_018465557.1, XP_018490414.1	CARHR164880
OG0000132	XP_018435564.1, XP_018466320.1	CARHR277260
OG0000132	XP_018492037.1	CARHR214020
OG0000132	XP_018474558.1	CARHR214030
OG0000134	XP_018438959.1, XP_018438956.1	CARHR054550, CARHR054640, CARHR054580, CARHR151520
OG0000136	XP_018473630.1	CARHR186370
OG0000137	XP_018466390.1	CARHR268710
OG0000137	XP_018452340.1	CARHR268720
OG0000137	XP_018469497.1, XP_018452341.1, XP_018454603.1	CARHR268700
OG0000137	XP_018454803.1	CARHR268680
OG0000141	XP_018489511.1	CARHR220970, CARHR220990
OG0000141	XP_018485467.1	CARHR012600
OG0000141	XP_018492203.1	CARHR255820
OG0000141	XP_018440872.1	CARHR012590
OG0000141	XP_018489435.1	CARHR013070
OG0000141	XP_018454446.1, XP_018454444.1	CARHR048210, CARHR049580, CARHR049710, CARHR049690, CARHR049380, CARHR049330, CARHR049720, CARHR049640, CARHR049340, CARHR049700, CARHR048830, CARHR049260
OG0000143	XP_018464818.1, XP_018464198.1, XP_018443711.1, XP_018487913.1, XP_018448766.1, XP_018459729.1, XP_018467146.1, XP_018487762.1, XP_018463067.1	CARHR181670, CARHR183500
OG0000148	XP_018474116.1, XP_018450098.1	CARHR037410
OG0000148	XP_018488107.1	CARHR037710, CARHR037720, CARHR037850
OG0000150	XP_018462446.1	CARHR288220
OG0000151	XP_018484857.1, XP_018484839.1	CARHR151000
OG0000151	XP_018491621.1, XP_018443657.1, XP_018481788.1	CARHR165130
OG0000151	XP_018483151.1	CARHR165120
OG0000151	XP_018439853.1	CARHR134140
OG0000151	XP_018481215.1	CARHR165110
OG0000151	XP_018478165.1, XP_018478354.1	CARHR132240
OG0000151	XP_018445846.1	CARHR199860
OG0000153	XP_018480951.1	CARHR124170, CARHR124160, CARHR124140
OG0000153	XP_018477489.1	CARHR122600, CARHR122610
OG0000153	XP_018475632.1, XP_018475595.1	CARHR122540
OG0000153	XP_018451355.1, XP_018448203.1	CARHR007210
OG0000153	XP_018489135.1	CARHR007190
OG0000153	XP_018481073.1, XP_018477487.1, XP_018438804.1, XP_018439613.1	CARHR122550
OG0000154	XP_018479145.1	CARHR121480
OG0000154	XP_018449548.1	CARHR290670
OG0000154	XP_018485330.1	CARHR040880, CARHR041470
OG0000154	XP_018477996.1	CARHR041490, CARHR040850
OG0000157	XP_018447035.1, XP_018466284.1, XP_018469964.1, XP_018467053.1, XP_018465922.1, XP_018468683.1	CARHR029970
OG0000157	XP_018448171.1	CARHR253630, CARHR047620
OG0000158	XP_018455540.1	CARHR113640
OG0000158	XP_018479452.1	CARHR150520
OG0000159	XP_018450983.1, XP_018460947.1	CARHR184120
OG0000160	XP_018456672.1, XP_018439896.1	CARHR109500
OG0000160	XP_018482147.1, XP_018459851.1, XP_018480330.1, XP_018459849.1, XP_018470513.1, XP_018447677.1, XP_018447191.1	CARHR238090
OG0000160	XP_018470730.1, XP_018456230.1	CARHR271150
OG0000160	XP_018489772.1	CARHR104060
OG0000160	XP_018440073.1	CARHR153650
OG0000160	XP_018442966.1, XP_018453169.1	CARHR073860
OG0000160	XP_018441376.1	CARHR117520
OG0000162	XP_018438649.1	CARHR127170
OG0000163	XP_018473864.1, XP_018476696.1	CARHR259710, CARHR057870, CARHR288340
OG0000166	XP_018466358.1	CARHR115410, CARHR183960
OG0000166	XP_018453394.1	CARHR067330
OG0000166	XP_018461465.1, XP_018482827.1	CARHR115420
OG0000166	XP_018443442.1	CARHR067380
OG0000166	XP_018442278.1	CARHR050360, CARHR220400, CARHR067460, CARHR067550, CARHR067350, CARHR060140, CARHR067390, CARHR067560
OG0000166	XP_018460684.1, XP_018463769.1	CARHR019250
OG0000166	XP_018443534.1	CARHR067410, CARHR067450
OG0000167	XP_018490261.1	CARHR096970
OG0000167	XP_018487656.1	CARHR099220
OG0000169	XP_018490650.1, XP_018465835.1, XP_018488136.1, XP_018460812.1, XP_018449930.1, XP_018450149.1, XP_018464337.1, XP_018493592.1, XP_018476446.1	CARHR148260, CARHR265180, CARHR265400, CARHR149520, CARHR149530, CARHR116790, CARHR043210, CARHR041580, CARHR040020, CARHR042890, CARHR042510, CARHR043190, CARHR260050, CARHR042900, CARHR041590, CARHR042520, CARHR043200, CARHR263740, CARHR037920
OG0000170	XP_018485103.1	CARHR140750
OG0000170	XP_018478569.1	CARHR186310, CARHR140760
OG0000170	XP_018481458.1	CARHR140730
OG0000171	XP_018471382.1, XP_018457991.1	CARHR266340
OG0000171	XP_018435045.1	CARHR107000
OG0000171	XP_018476067.1, XP_018468491.1, XP_018455854.1	CARHR269520
OG0000171	XP_018440453.1, XP_018492109.1, XP_018491228.1, XP_018486328.1	CARHR083000, CARHR082990
OG0000171	XP_018447674.1, XP_018461966.1, XP_018445231.1	CARHR235660
OG0000173	XP_018451159.1	CARHR246590
OG0000173	XP_018471389.1	CARHR132630
OG0000174	XP_018435672.1	CARHR292260, CARHR102990
OG0000174	XP_018461398.1, XP_018461214.1, XP_018473885.1, XP_018443531.1, XP_018443569.1	CARHR115250
OG0000175	XP_018486354.1, XP_018471533.1, XP_018466301.1, XP_018433300.1	CARHR023910
OG0000175	XP_018457613.1	CARHR063650
OG0000175	XP_018446341.1	CARHR198650
OG0000175	XP_018461928.1, XP_018466967.1	CARHR052550
OG0000175	XP_018441749.1	CARHR142560
OG0000176	XP_018440112.1	CARHR118040
