Orthogroup	Raphanus_sativus	Conringia_planisiliqua
OG0000000	XP_018453573.1, XP_018462059.1	CP2_g49699_DN2_SP0_c.t1
OG0000000	XP_018463022.1	CP15_g34707_DN2_SP0_c.t1
OG0000003	XP_018473970.1	CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1
OG0000003	XP_018453894.1	CP10_g44057_DN2_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1, CP15_g36147_DN2_SP0_c.t1
OG0000003	XP_018435394.1	CP5_g1517_DN2_SP0_c.t1
OG0000003	XP_018436038.1	CP15_g36037_DN2_SP0_c.t1
OG0000003	XP_018479479.1, XP_018458947.1	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1, CP3_g16075_DN1_SP0_c.t1, CP6_g8581_DN1_SP0_c.t1
OG0000003	XP_018460607.1	CP26_g51160_DN1_SP0_c.t1, CP13_g20625_DN2_SP0_c.t1, CP3_g15709_DN2_SP0_c.t1, CP14_g22797_DN2_SP0_c.t1, CP3_g14977_DN3_SP0_c.t1, CP21_g10913_DN3_SP0_c.t1, CP15_g34654_DN1_SP0_c.t1, CP15_g34596_DN2_SP0_c.t1
OG0000003	XP_018462893.1	CP15_g34739_DN2_SP0_c.t1, CP15_g34597_DN1_SP0_c.t1, CP15_g34655_DN1_SP0_c.t1, CP3_g14978_DN3_SP0_c.t1, CP3_g15708_DN2_SP0_c.t1, CP12_g31581_DN1_SP0_c.t1
OG0000003	XP_018488271.1	CP12_g31419_DN1_SP0_c.t1
OG0000003	XP_018462461.1	CP18_g11921_DN3_SP0_c.t1, CP14_g22836_DN1_SP0_c.t1
OG0000003	XP_018465542.1, XP_018459724.1, XP_018443678.1	CP29_g22141_DN2_SP0_c.t1
OG0000003	XP_018473751.1	CP13_g20273_DN1_SP0_c.t1
OG0000003	XP_018467654.1, XP_018473851.1, XP_018453891.1, XP_018443595.1, XP_018453583.1, XP_018479683.1, XP_018473762.1	CP13_g20572_DN1_SP0_c.t1
OG0000003	XP_018487950.1, XP_018479095.1	CP4_g26010_DN1_SP0_c.t1
OG0000003	XP_018473666.1	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1
OG0000003	XP_018435962.1	CP3_g14807_DN2_SP0_c.t1
OG0000003	XP_018443313.1, XP_018443314.1	CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1
OG0000003	XP_018473849.1	CP21_g11065_DN2_SP0_c.t1
OG0000003	XP_018479089.1	CP18_g12232_DN3_SP0_c.t1
OG0000004	XP_018467378.1	CP1_g39844_DN3_SP0_c.t1
OG0000005	XP_018464531.1	CP12_g30974_DN2_SP0_c.t1
OG0000007	XP_018479657.1, XP_018455976.1, XP_018466179.1, XP_018462223.1	CP8_g52162_DN2_SP0_c.t1
OG0000008	XP_018464359.1, XP_018463808.1, XP_018464542.1, XP_018460436.1, XP_018467327.1, XP_018436091.1, XP_018459493.1, XP_018458167.1	CP15_g34920_DN2_SP0_c.t1
OG0000008	XP_018454207.1	CP14_g23480_DN3_SP0_c.t1
OG0000008	XP_018487527.1, XP_018467072.1	CP5_g2806_DN2_SP0_c.t1
OG0000008	XP_018487725.1	CP7_g44274_DN3_SP0_c.t1
OG0000009	XP_018473658.1	CP3_g16492_DN1_SP0_c.t1
OG0000009	XP_018479430.1	CP15_g34443_DN2_SP0_c.t1
OG0000009	XP_018479849.1, XP_018436425.1, XP_018436426.1	CP4_g26834_DN1_SP0_c.t1, CP5_g3355_DN3_SP0_c.t1
OG0000009	XP_018467418.1, XP_018443533.1, XP_018481184.1	CP12_g31672_DN2_SP0_c.t1
OG0000011	XP_018448673.1, XP_018475002.1	CP18_g11548_DN1_SP0_c.t1
OG0000011	XP_018450169.1	CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1
OG0000011	XP_018448446.1	CP1_g39552_DN2_SP0_c.t1
OG0000011	XP_018453517.1, XP_018444097.1	CP17_g5859_DN2_SP0_c.t1
OG0000011	XP_018448643.1, XP_018436024.1	CP15_g35899_DN2_SP0_c.t1
OG0000015	XP_018443665.1	CP7_g44210_DN2_SP0_c.t1
OG0000015	XP_018475313.1	CP12_g31767_DN3_SP0_c.t1
OG0000015	XP_018459146.1	CP25_g55897_DN3_SP0_c.t1, CP39_g21117_DN1_SP0_c.t1, CP3_g15322_DN2_SP0_c.t1, CP18_g12595_DN3_SP0_c.t1, CP1_g38947_DN3_SP0_c.t1, CP22_g17115_DN3_SP0_c.t1, CP16_g55608_DN2_SP0_c.t1
OG0000015	XP_018463612.1	CP7_g44209_DN2_SP0_c.t1
OG0000016	XP_018467165.1, XP_018463982.1, XP_018459313.1, XP_018473920.1, XP_018473934.1, XP_018487853.1	CP24_g47422_DN2_SP0_c.t1
OG0000018	XP_018458866.1	CP3_g16393_DN1_SP0_c.t1
OG0000020	XP_018487868.1, XP_018435883.1, XP_018466125.1, XP_018461261.1, XP_018467394.1, XP_018463332.1, XP_018458674.1, XP_018479532.1, XP_018459067.1, XP_018471648.1, XP_018473772.1, XP_018476168.1, XP_018461992.1, XP_018435266.1, XP_018436016.1, XP_018439110.1	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1
OG0000020	XP_018463453.1	CP6_g8460_DN3_SP0_c.t1
OG0000021	XP_018487788.1, XP_018463527.1, XP_018454070.1, XP_018459374.1, XP_018435524.1, XP_018442989.1, XP_018473760.1, XP_018479172.1, XP_018473906.1, XP_018489333.1, XP_018490274.1, XP_018454217.1, XP_018462470.1, XP_018448885.1, XP_018448606.1, XP_018463040.1, XP_018448883.1, XP_018469035.1, XP_018479751.1, XP_018477832.1, XP_018436350.1, XP_018435707.1, XP_018435708.1, XP_018465161.1, XP_018458112.1, XP_018462856.1, XP_018488201.1, XP_018454208.1, XP_018459042.1, XP_018460929.1, XP_018461247.1, XP_018480047.1, XP_018475052.1, XP_018481163.1, XP_018464713.1, XP_018465008.1, XP_018457861.1, XP_018436132.1, XP_018464922.1, XP_018460936.1, XP_018487902.1, XP_018454082.1, XP_018489964.1, XP_018464618.1, XP_018461870.1, XP_018463351.1, XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1
OG0000022	XP_018456914.1, XP_018456330.1	CP2_g49169_DN2_SP0_c.t1
OG0000023	XP_018466303.1, XP_018473973.1, XP_018460255.1, XP_018479707.1, XP_018435914.1, XP_018484156.1, XP_018453821.1, XP_018460031.1, XP_018458661.1, XP_018448717.1, XP_018458592.1, XP_018459050.1, XP_018460988.1, XP_018459711.1, XP_018462251.1, XP_018448573.1, XP_018459712.1, XP_018466264.1, XP_018443761.1, XP_018458687.1, XP_018435326.1, XP_018463391.1, XP_018443767.1, XP_018458912.1, XP_018453504.1, XP_018466175.1, XP_018435516.1, XP_018435325.1, XP_018475621.1, XP_018459973.1, XP_018465360.1, XP_018466974.1, XP_018466726.1, XP_018473834.1, XP_018464886.1, XP_018479565.1, XP_018462951.1, XP_018463354.1, XP_018480111.1	CP35_g52033_DN3_SP0_c.t1
OG0000024	XP_018485466.1, XP_018482596.1	CP2_g48829_DN3_SP0_c.t1
OG0000024	XP_018475090.1, XP_018489860.1, XP_018448249.1, XP_018448253.1, XP_018448250.1, XP_018448247.1, XP_018450273.1	CP7_g44485_DN2_SP0_c.t1
OG0000024	XP_018487153.1	CP3_g13494_DN2_SP0_c.t1
OG0000026	XP_018461685.1	CP14_g23437_DN2_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1
OG0000026	XP_018479510.1, XP_018487597.1, XP_018480090.1, XP_018462643.1, XP_018487821.1, XP_018475107.1, XP_018456285.1, XP_018433777.1, XP_018448780.1, XP_018467220.1, XP_018487563.1, XP_018463237.1, XP_018470316.1	CP17_g5495_DN1_SP0_c.t1, CP9_g28010_DN1_SP0_c.t1, CP31_g46691_DN1_SP0_c.t1, CP1_g39140_DN2_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP23_g21573_DN1_SP0_c.t1, CP12_g31427_DN1_SP0_c.t1
OG0000026	XP_018465470.1, XP_018487975.1, XP_018487976.1, XP_018448492.1	CP17_g5856_DN1_SP0_c.t1
OG0000026	XP_018440445.1, XP_018458044.1, XP_018462689.1, XP_018458371.1, XP_018479432.1, XP_018432616.1, XP_018489035.1, XP_018448499.1, XP_018463920.1	CP6_g7632_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1
OG0000027	XP_018458837.1, XP_018459041.1	CP16_g55470_DN3_SP0_c.t1
OG0000028	XP_018474193.1, XP_018474191.1, XP_018466544.1, XP_018480011.1	CP10_g43844_DN3_SP0_c.t1
OG0000029	XP_018462178.1, XP_018479617.1, XP_018480098.1, XP_018453783.1, XP_018479504.1, XP_018453703.1, XP_018435876.1, XP_018478239.1, XP_018461350.1, XP_018473938.1, XP_018479503.1, XP_018453702.1, XP_018435877.1, XP_018463848.1, XP_018463679.1, XP_018479419.1, XP_018462971.1, XP_018459455.1, XP_018479546.1, XP_018443548.1, XP_018473650.1, XP_018435416.1, XP_018473647.1, XP_018436157.1, XP_018464649.1, XP_018464671.1, XP_018475894.1, XP_018478725.1, XP_018460863.1, XP_018479047.1, XP_018472293.1, XP_018448729.1, XP_018459873.1, XP_018488169.1	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1
OG0000029	XP_018463159.1	CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1
OG0000029	XP_018463125.1, XP_018463535.1, XP_018474042.1, XP_018453813.1, XP_018460266.1, XP_018463492.1, XP_018487478.1, XP_018460550.1, XP_018464271.1, XP_018465399.1, XP_018473758.1, XP_018463556.1	CP4_g26295_DN2_SP0_c.t1
OG0000029	XP_018492516.1	CP15_g35523_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1
OG0000029	XP_018448641.1	CP4_g26314_DN1_SP0_c.t1
OG0000029	XP_018477751.1, XP_018453628.1, XP_018438621.1	CP4_g26137_DN1_SP0_c.t1
OG0000029	XP_018462266.1	CP18_g12498_DN1_SP0_c.t1
OG0000030	XP_018479424.1, XP_018466469.1, XP_018462013.1	CP11_g31940_DN3_SP0_c.t1
OG0000030	XP_018453970.1	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1
OG0000030	XP_018454017.1	CP10_g43326_DN2_SP0_c.t1
OG0000031	XP_018459624.1, XP_018448790.1, XP_018466792.1	CP12_g30554_DN2_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1
OG0000031	XP_018461346.1	CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1
OG0000031	XP_018453981.1	CP3_g14979_DN3_SP0_c.t1
OG0000031	XP_018475205.1, XP_018458923.1, XP_018458922.1, XP_018435841.1, XP_018487910.1, XP_018460440.1, XP_018467136.1, XP_018487892.1, XP_018459206.1, XP_018487780.1, XP_018473845.1, XP_018435693.1, XP_018443503.1, XP_018488048.1, XP_018459566.1, XP_018462082.1, XP_018458803.1, XP_018458802.1, XP_018464385.1, XP_018463234.1	CP1_g38484_DN3_SP0_c.t1
OG0000032	XP_018482431.1	CP18_g12572_DN2_SP0_c.t1, CP1_g40427_DN2_SP0_c.t1
OG0000032	XP_018453806.1	CP14_g22577_DN2_SP0_c.t1, CP25_g55995_DN1_SP0_c.t1, CP5_g3358_DN2_SP0_c.t1
OG0000032	XP_018487412.1	CP64_g21088_DN3_SP0_c.t1
OG0000034	XP_018465156.1, XP_018456565.1	CP8_g54564_DN3_SP0_c.t1
OG0000034	XP_018455179.1	CP13_g20065_DN3_SP0_c.t1
OG0000034	XP_018459753.1, XP_018486703.1	CP16_g55465_DN3_SP1_c.t1
OG0000035	XP_018460300.1, XP_018453765.1, XP_018464702.1, XP_018460797.1, XP_018464171.1	CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1
OG0000035	XP_018436588.1, XP_018483955.1, XP_018487525.1, XP_018483954.1, XP_018473619.1, XP_018453751.1, XP_018453750.1, XP_018459074.1, XP_018480128.1, XP_018448648.1, XP_018453607.1, XP_018480116.1, XP_018480115.1, XP_018474844.1	CP1_g40830_DN2_SP0_c.t1, CP4_g26781_DN3_SP0_c.t1, CP24_g46983_DN2_SP0_c.t1, CP3_g16137_DN3_SP0_c.t1, CP26_g51196_DN1_SP0_c.t1
OG0000035	XP_018448647.1	CP1_g40829_DN2_SP0_c.t1, CP4_g26782_DN2_SP0_c.t1, CP26_g51195_DN2_SP0_c.t1
OG0000035	XP_018480985.1	CP7_g44169_DN2_SP0_c.t1, CP4_g26175_DN2_SP0_c.t1
OG0000038	XP_018480059.1	CP14_g22980_DN1_SP0_c.t1
OG0000038	XP_018461383.1	CP6_g8155_DN1_SP0_c.t1
OG0000038	XP_018460335.1	CP6_g7770_DN1_SP0_c.t1, CP28_g33935_DN3_SP0_c.t1
OG0000038	XP_018435407.1	CP29_g22117_DN1_SP0_c.t1
OG0000038	XP_018466084.1	CP8_g52351_DN2_SP0_c.t1
OG0000038	XP_018467793.1, XP_018467795.1	CP7_g44433_DN3_SP0_c.t1
OG0000039	XP_018459982.1, XP_018463371.1, XP_018459976.1, XP_018467056.1, XP_018462025.1, XP_018459607.1	CP24_g47137_DN2_SP0_c.t1
OG0000040	XP_018458169.1, XP_018474020.1	CP4_g26084_DN1_SP0_c.t1
OG0000040	XP_018467788.1	CP11_g31841_DN1_SP0_c.t1
OG0000040	XP_018453539.1, XP_018463233.1, XP_018461220.1, XP_018436156.1, XP_018435870.1, XP_018462983.1, XP_018487561.1, XP_018448193.1, XP_018453481.1, XP_018436477.1, XP_018460961.1, XP_018467278.1, XP_018473788.1, XP_018488210.1, XP_018458625.1, XP_018479372.1, XP_018464335.1, XP_018443222.1, XP_018479331.1, XP_018477166.1, XP_018479218.1	CP15_g36146_DN1_SP0_c.t1
OG0000041	XP_018479944.1, XP_018479945.1	CP6_g9686_DN3_SP0_c.t1, CP12_g31463_DN1_SP0_c.t1, CP15_g34935_DN3_SP0_c.t1
OG0000042	XP_018467507.1, XP_018433578.1, XP_018459378.1	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1
OG0000042	XP_018467598.1, XP_018463824.1	CP6_g9916_DN1_SP0_c.t1
OG0000042	XP_018467317.1	CP8_g52519_DN1_SP0_c.t1
OG0000043	XP_018465687.1	CP15_g35835_DN2_SP0_c.t1
OG0000043	XP_018460645.1, XP_018474025.1, XP_018435759.1	CP15_g35836_DN2_SP0_c.t1
OG0000044	XP_018464129.1, XP_018440463.1	CP13_g19860_DN2_SP0_c.t1
OG0000044	XP_018466419.1	CP13_g20691_DN1_SP0_c.t1
OG0000046	XP_018472630.1	CP15_g34716_DN3_SP0_c.t1
OG0000046	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1	CP1_g39285_DN1_SP0_c.t1, CP8_g52809_DN3_SP0_c.t1
OG0000048	XP_018465159.1, XP_018458896.1, XP_018468803.1	CP9_g28258_DN1_SP0_c.t1
OG0000048	XP_018434883.1	CP4_g25641_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP13_g20135_DN3_SP0_c.t1
OG0000048	XP_018453414.1	CP9_g29505_DN2_SP0_c.t1
OG0000049	XP_018487786.1	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1
OG0000049	XP_018467582.1	CP1_g38897_DN1_SP0_c.t1, CP13_g20574_DN2_SP0_c.t1
OG0000049	XP_018435505.1, XP_018463619.1	CP1_g41262_DN3_SP0_c.t1
OG0000050	XP_018462198.1	CP9_g27575_DN2_SP0_c.t1, CP1_g38613_DN1_SP0_c.t1
OG0000050	XP_018487487.1	CP3_g15240_DN2_SP0_c.t1, CP5_g3337_DN1_SP0_c.t1
OG0000050	XP_018479391.1, XP_018460528.1, XP_018479861.1	CP5_g3336_DN1_SP0_c.t1
OG0000050	XP_018467601.1, XP_018488190.1	CP4_g26837_DN2_SP0_c.t1, CP3_g16491_DN1_SP0_c.t1
OG0000050	XP_018436128.1	CP1_g39907_DN2_SP0_c.t1
OG0000051	XP_018482785.1, XP_018482784.1, XP_018473989.1	CP4_g24481_DN3_SP0_c.t1
OG0000051	XP_018435533.1, XP_018438374.1, XP_018463100.1, XP_018455750.1, XP_018463099.1	CP1_g36582_DN3_SP0_c.t1, CP2_g49248_DN2_SP0_c.t1
OG0000051	XP_018489710.1, XP_018489712.1, XP_018436544.1, XP_018436543.1	CP4_g24480_DN3_SP0_c.t1
OG0000051	XP_018436547.1, XP_018436548.1, XP_018436546.1, XP_018436545.1, XP_018436438.1, XP_018436441.1	CP4_g24479_DN3_SP0_c.t1
OG0000052	XP_018479392.1, XP_018479394.1, XP_018479395.1, XP_018481202.1, XP_018454118.1	CP13_g19766_DN3_SP0_c.t1
OG0000052	XP_018440341.1, XP_018440340.1, XP_018436949.1	CP3_g14092_DN3_SP0_c.t1
OG0000054	XP_018487733.1	CP29_g22024_DN2_SP0_c.t1
OG0000055	XP_018474315.1, XP_018475877.1, XP_018475876.1, XP_018460442.1, XP_018475208.1, XP_018448356.1, XP_018469080.1, XP_018460063.1	CP12_g30730_DN2_SP0_c.t1
OG0000055	XP_018489800.1	CP10_g42516_DN3_SP0_c.t1
OG0000056	XP_018452237.1	CP2_g49071_DN3_SP0_c.t1
OG0000056	XP_018458632.1	CP2_g49077_DN3_SP0_c.t1
OG0000056	XP_018452289.1, XP_018452239.1, XP_018452238.1, XP_018454291.1	CP11_g31796_DN3_SP0_c.t1
OG0000056	XP_018434948.1	CP2_g49076_DN3_SP0_c.t1
OG0000056	XP_018492713.1	CP2_g49081_DN1_SP0_c.t1
OG0000056	XP_018434510.1, XP_018458631.1	CP2_g49073_DN2_SP0_c.t1
OG0000056	XP_018456965.1	CP2_g49031_DN3_SP0_c.t1
OG0000058	XP_018467931.1, XP_018487493.1	CP17_g5406_DN1_SP0_c.t1
OG0000058	XP_018435571.1, XP_018462760.1, XP_018461876.1, XP_018457139.1	CP13_g20701_DN3_SP0_c.t1
OG0000059	XP_018438980.1	CP1_g38971_DN3_SP0_c.t1, CP20_g3949_DN2_SP0_c.t1
OG0000059	XP_018469270.1, XP_018438946.1, XP_018480125.1, XP_018490555.1	CP4_g26576_DN3_SP0_c.t1
OG0000059	XP_018448672.1, XP_018492198.1, XP_018465516.1, XP_018443523.1, XP_018480052.1, XP_018479349.1	CP9_g27482_DN3_SP0_c.t1
OG0000061	XP_018474093.1, XP_018469004.1, XP_018441440.1	CP9_g28787_DN2_SP0_c.t1
OG0000062	XP_018453901.1, XP_018461903.1, XP_018458652.1	CP24_g46981_DN1_SP0_c.t1, CP4_g26777_DN2_SP0_c.t1, CP18_g11589_DN2_SP0_c.t1, CP1_g40826_DN1_SP0_c.t1
OG0000062	XP_018487526.1, XP_018462640.1	CP7_g44165_DN3_SP0_c.t1
OG0000062	XP_018474002.1	CP20_g3940_DN3_SP0_c.t1
OG0000062	XP_018479829.1	CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1
OG0000062	XP_018467054.1	CP5_g2505_DN3_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1
OG0000063	XP_018473954.1	CP3_g15487_DN2_SP0_c.t1
OG0000063	XP_018487874.1	CP21_g10524_DN1_SP0_c.t1
OG0000064	XP_018459458.1, XP_018459460.1, XP_018459461.1, XP_018459459.1, XP_018458876.1, XP_018458874.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1	CP18_g12051_DN1_SP0_c.t1
OG0000065	XP_018444649.1, XP_018442726.1, XP_018443463.1	CP9_g28234_DN3_SP0_c.t1
OG0000065	XP_018463906.1, XP_018458891.1, XP_018461818.1	CP5_g1666_DN1_SP0_c.t1
OG0000065	XP_018435200.1, XP_018462982.1, XP_018481866.1, XP_018462609.1, XP_018479313.1, XP_018464676.1, XP_018481217.1	CP5_g1580_DN2_SP0_c.t1
OG0000066	XP_018433979.1, XP_018456938.1, XP_018470662.1, XP_018439713.1, XP_018448989.1, XP_018445234.1, XP_018448990.1, XP_018470661.1, XP_018456939.1	CP4_g25642_DN3_SP0_c.t1, CP2_g49425_DN3_SP0_c.t1
OG0000067	XP_018436147.1, XP_018480184.1, XP_018460919.1, XP_018463862.1, XP_018473775.1, XP_018436225.1, XP_018453861.1, XP_018448851.1, XP_018489246.1, XP_018473786.1, XP_018437392.1, XP_018480173.1, XP_018460256.1, XP_018448865.1, XP_018467522.1, XP_018436246.1, XP_018436236.1, XP_018465377.1, XP_018459048.1, XP_018479351.1, XP_018465047.1, XP_018466955.1, XP_018435862.1	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1
OG0000068	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1	CP12_g31237_DN3_SP0_c.t1
OG0000069	XP_018479217.1, XP_018479215.1, XP_018479201.1, XP_018465639.1, XP_018438799.1, XP_018484272.1, XP_018484259.1, XP_018461828.1, XP_018437258.1, XP_018475087.1, XP_018479296.1, XP_018479295.1, XP_018465128.1	CP2_g48010_DN3_SP0_c.t1
OG0000070	XP_018439895.1	CP17_g5790_DN3_SP0_c.t1
OG0000070	XP_018467172.1, XP_018435343.1	CP7_g45746_DN3_SP0_c.t1
OG0000070	XP_018485425.1	CP1_g38202_DN3_SP0_c.t1, CP1_g38197_DN2_SP0_c.t1
OG0000072	XP_018483541.1, XP_018438781.1	CP5_g1872_DN1_SP0_c.t1, CP13_g20359_DN3_SP0_c.t1, CP15_g35743_DN2_SP0_c.t1, CP2_g50526_DN2_SP0_c.t1, CP18_g11730_DN1_SP0_c.t1, CP20_g3870_DN2_SP0_c.t1, CP28_g33939_DN2_SP0_c.t1, CP15_g36057_DN3_SP0_c.t1, CP17_g5132_DN3_SP0_c.t1, CP4_g26050_DN2_SP0_c.t1
OG0000072	XP_018453574.1	CP2_g49697_DN3_SP0_c.t1
OG0000073	XP_018459767.1, XP_018461176.1, XP_018435690.1	CP5_g2097_DN2_SP0_c.t1
OG0000073	XP_018487884.1	CP18_g11666_DN2_SP0_c.t1, CP29_g22116_DN2_SP0_c.t1, CP8_g53133_DN1_SP0_c.t1, CP4_g26011_DN1_SP0_c.t1
OG0000073	XP_018487997.1, XP_018436409.1	CP15_g35379_DN3_SP0_c.t1
OG0000073	XP_018443374.1, XP_018460643.1	CP14_g23758_DN2_SP0_c.t1, CP6_g8294_DN1_SP0_c.t1
OG0000073	XP_018464388.1	CP6_g9731_DN1_SP0_c.t1
OG0000073	XP_018479682.1	CP9_g29611_DN2_SP0_c.t1, CP8_g53134_DN1_SP0_c.t1
OG0000075	XP_018453598.1	CP8_g52237_DN3_SP0_c.t1
OG0000076	XP_018480217.1	CP5_g77_DN1_SP0_c.t1
OG0000076	XP_018467455.1, XP_018482750.1, XP_018436301.1	CP4_g25752_DN2_SP0_c.t1
OG0000076	XP_018462841.1, XP_018475048.1, XP_018474599.1, XP_018474598.1, XP_018443200.1, XP_018443823.1, XP_018460203.1, XP_018473529.1, XP_018460207.1, XP_018460209.1, XP_018472945.1, XP_018460208.1, XP_018474714.1	CP8_g53270_DN3_SP0_c.t1
OG0000076	XP_018473780.1, XP_018473779.1	CP20_g3903_DN2_SP0_c.t1
OG0000077	XP_018455183.1	CP13_g20085_DN3_SP0_c.t1
OG0000077	XP_018473635.1, XP_018473636.1, XP_018483784.1	CP13_g20036_DN3_SP0_c.t1, CP13_g20034_DN3_SP0_c.t1
OG0000077	XP_018438135.1	CP2_g49683_DN2_SP0_c.t1
OG0000077	XP_018468968.1	CP2_g49677_DN1_SP0_c.t1
OG0000077	XP_018455896.1, XP_018472848.1	CP13_g20039_DN3_SP0_c.t1
OG0000078	XP_018444189.1	CP11_g32164_DN3_SP0_c.t1, CP11_g32172_DN3_SP0_c.t1
OG0000078	XP_018474944.1, XP_018444134.1, XP_018446926.1, XP_018468734.1	CP11_g32173_DN2_SP0_c.t1, CP11_g32163_DN2_SP0_c.t1
OG0000081	XP_018436245.1	CP6_g7780_DN3_SP0_c.t1
OG0000081	XP_018463440.1, XP_018467536.1, XP_018436146.1	CP1_g40914_DN2_SP0_c.t1
OG0000082	XP_018442695.1	CP20_g3822_DN2_SP0_c.t1
