Orthogroup	Raphanus_sativus	Arabidopsis_thaliana
OG0000136	XP_018473630.1	AT1G40390.1
OG0000137	XP_018466390.1	AT5G55370.1
OG0000137	XP_018452340.1	AT5G55380.1
OG0000137	XP_018458869.1, XP_018455771.1	AT5G55320.1
OG0000137	XP_018455595.1	AT1G34500.1
OG0000137	XP_018469497.1, XP_018452341.1, XP_018454603.1	AT5G55360.1
OG0000137	XP_018454803.1	AT5G55340.1
OG0000141	XP_018485467.1	AT1G12290.1
OG0000141	XP_018492203.1	AT4G10780.1
OG0000141	XP_018440872.1	AT1G12280.1
OG0000141	XP_018489435.1	AT1G12210.1
OG0000141	XP_018454446.1, XP_018454444.1	AT1G62630.1, AT1G63360.1, AT1G63350.2
OG0000148	XP_018476586.1, XP_018490337.1, XP_018438679.1, XP_018438702.1, XP_018438172.1, XP_018466105.1, XP_018435825.1	AT1G47765.1, AT3G10240.1
OG0000148	XP_018488107.1	AT1G47730.1, AT1G48060.1
OG0000151	XP_018491621.1, XP_018443657.1, XP_018481788.1	AT3G55110.1
OG0000151	XP_018483151.1	AT3G55100.1
OG0000151	XP_018439853.1	AT2G39350.1
OG0000151	XP_018481215.1	AT3G55090.1
OG0000151	XP_018478165.1, XP_018478354.1	AT2G37360.1
OG0000151	XP_018445846.1	AT5G13580.1
OG0000153	XP_018435128.1	AT2G29330.1
OG0000153	XP_018480951.1	AT2G30670.1
OG0000153	XP_018436970.1, XP_018480845.1, XP_018437236.1	AT2G29310.1
OG0000153	XP_018475632.1, XP_018475595.1	AT2G29300.2, AT2G29320.1
OG0000153	XP_018489135.1	AT1G07450.1
OG0000154	XP_018479145.1	AT5G18510.1
OG0000154	XP_018449548.1	AT4G16050.1
OG0000154	XP_018485330.1	AT1G51538.1
OG0000157	XP_018448171.1	AT1G30790.1
OG0000157	XP_018489438.1	AT1G32660.1
OG0000158	XP_018455540.1	AT4G36840.1
OG0000159	XP_018462880.1	AT4G03728.1
OG0000160	XP_018456672.1, XP_018439896.1	AT2G18960.1
OG0000160	XP_018482147.1, XP_018459851.1, XP_018480330.1, XP_018459849.1, XP_018470513.1, XP_018447677.1, XP_018447191.1	AT4G30190.2
OG0000160	XP_018470730.1, XP_018456230.1	AT5G57350.1
OG0000160	XP_018489772.1	AT2G07560.1
OG0000160	XP_018440073.1	AT3G42640.1
OG0000160	XP_018442966.1, XP_018453169.1	AT1G80660.1
OG0000160	XP_018441376.1	AT2G24520.2
OG0000162	XP_018475016.1, XP_018474617.1	AT2G33200.1
OG0000162	XP_018438649.1	AT2G33190.1
OG0000163	XP_018473864.1, XP_018476696.1	AT2G06105.1
OG0000165	XP_018462017.1, XP_018462798.1, XP_018475093.1, XP_018475274.1, XP_018474963.1, XP_018475261.1, XP_018475091.1, XP_018475959.1, XP_018475385.1, XP_018476864.1, XP_018476871.1, XP_018476525.1, XP_018474676.1, XP_018490875.1	AT5G36910.1
OG0000166	XP_018443442.1	AT1G74180.1
OG0000166	XP_018442278.1	AT1G74170.2
OG0000167	XP_018487656.1	AT3G23260.1
OG0000169	XP_018490650.1, XP_018465835.1, XP_018488136.1, XP_018460812.1, XP_018449930.1, XP_018450149.1, XP_018464337.1, XP_018493592.1, XP_018476446.1	AT2G16220.1, AT2G16450.1, AT2G15640.1, AT2G02660.1, AT2G02890.1, AT2G23160.1
OG0000170	XP_018485103.1	AT1G33720.1
OG0000170	XP_018478569.1	AT2G45570.1
OG0000170	XP_018481458.1	AT2G45550.1
OG0000171	XP_018471382.1, XP_018457991.1	AT5G53300.1
OG0000171	XP_018435045.1	AT2G16740.1
OG0000171	XP_018476067.1, XP_018468491.1, XP_018455854.1	AT5G56150.1
OG0000171	XP_018440453.1, XP_018492109.1, XP_018491228.1, XP_018486328.1	AT3G08700.1, AT3G08690.1
OG0000172	XP_018479921.1	AT2G02520.1, AT4G05095.1, AT3G25727.1
OG0000174	XP_018461398.1, XP_018461214.1, XP_018473885.1, XP_018443531.1, XP_018443569.1	AT1G52603.1
OG0000175	XP_018486354.1, XP_018471533.1, XP_018466301.1, XP_018433300.1	AT1G23490.1, AT1G70490.1
OG0000175	XP_018446341.1	AT5G14670.1
OG0000175	XP_018477462.1	AT3G62290.1
OG0000176	XP_018435298.1	AT3G05370.1
OG0000176	XP_018483205.1, XP_018448995.1, XP_018450446.1, XP_018450443.1	AT3G05360.1
OG0000176	XP_018462965.1, XP_018460719.1	AT1G71400.1
OG0000177	XP_018464928.1	AT3G25490.1
OG0000177	XP_018459129.1	AT1G21210.1
OG0000178	XP_018462163.1, XP_018456012.1	AT4G04490.1
OG0000178	XP_018466592.1, XP_018466494.1	AT4G04510.2
OG0000178	XP_018466816.1, XP_018474729.1	AT4G04500.1
OG0000178	XP_018462335.1, XP_018474859.1, XP_018475013.1, XP_018473242.1, XP_018473243.1, XP_018459474.1, XP_018475619.1	AT4G04570.1
OG0000178	XP_018437778.1, XP_018469510.1	AT4G04540.1
OG0000182	XP_018466211.1, XP_018488976.1	AT3G61100.1, AT3G61090.1
OG0000182	XP_018456298.1	AT2G38365.1
OG0000183	XP_018483199.1, XP_018442298.1	AT1G66410.2, AT5G37780.3
OG0000183	XP_018478487.1	AT5G21274.1, AT2G27030.3
OG0000184	XP_018459934.1, XP_018487657.1, XP_018469462.1, XP_018469250.1, XP_018485940.1, XP_018469214.1, XP_018469258.1, XP_018469264.1, XP_018490081.1, XP_018489834.1, XP_018437873.1, XP_018437781.1, XP_018438297.1, XP_018436335.1, XP_018489740.1	AT3G22040.1
OG0000185	XP_018438331.1	AT1G23970.2, AT1G23950.2
OG0000186	XP_018475580.1, XP_018439292.1, XP_018439274.1	AT1G61840.1, AT2G40050.1
OG0000188	XP_018455405.1	AT2G13630.1, AT3G04660.1
OG0000189	XP_018491974.1, XP_018439736.1, XP_018468233.1, XP_018470632.1, XP_018481039.1, XP_018482967.1	AT2G17800.1
OG0000189	XP_018488978.1	AT4G35020.1
OG0000192	XP_018462530.1, XP_018467255.1, XP_018479088.1	AT3G51210.1
OG0000192	XP_018445122.1, XP_018462042.1	AT5G43690.1
OG0000192	XP_018469074.1, XP_018468699.1, XP_018465848.1	AT4G26280.1
OG0000193	XP_018487465.1	AT1G47390.1
OG0000193	XP_018467632.1, XP_018448639.1, XP_018487466.1	AT1G32430.1
OG0000195	XP_018433270.1, XP_018440534.1, XP_018435823.1, XP_018477234.1	AT2G04680.1, AT5G37620.1
OG0000195	XP_018483105.1	AT2G19660.2
OG0000196	XP_018482158.1, XP_018466067.1	AT5G41540.1
OG0000196	XP_018460159.1, XP_018477158.1	AT5G41750.1, AT5G41740.2, AT5G41550.1
OG0000197	XP_018476022.1	AT5G37760.1
OG0000197	XP_018448523.1	AT5G37750.1, AT5G37440.1
OG0000197	XP_018487852.1	AT4G19570.1
OG0000197	XP_018449634.1, XP_018465049.1	AT4G19580.1, AT5G62780.1
OG0000198	XP_018461684.1, XP_018478930.1, XP_018453067.1, XP_018434683.1	AT4G14060.1, AT2G01530.1
OG0000198	XP_018491068.1	AT1G14960.1, AT1G30990.1
OG0000198	XP_018491057.1	AT1G14950.1
OG0000198	XP_018460378.1, XP_018481114.1, XP_018460375.1, XP_018479160.1	AT3G26450.1, AT3G26460.1
OG0000199	XP_018470386.1, XP_018449273.1, XP_018449280.1, XP_018449101.1	AT4G29770.2, AT5G18065.1, AT5G18040.1, AT4G29760.1
OG0000200	XP_018454952.1, XP_018448186.1	AT1G05550.3
OG0000200	XP_018449589.1, XP_018454583.1, XP_018441251.1	AT1G05540.1
OG0000200	XP_018451670.1	AT1G30170.1
OG0000200	XP_018451671.1	AT1G30160.2
OG0000202	XP_018453874.1	AT4G09690.1, AT4G11547.1
OG0000203	XP_018444359.1	AT3G58270.1
OG0000203	XP_018488418.1	AT3G58370.1
OG0000203	XP_018444673.1, XP_018460880.1, XP_018484517.1, XP_018484516.1	AT3G58360.1
OG0000203	XP_018446270.1, XP_018444506.1, XP_018444360.1	AT3G58350.1
OG0000209	XP_018487834.1	AT5G10340.1
OG0000210	XP_018463531.1	AT2G28580.2, AT2G44930.1
OG0000210	XP_018437416.1	AT3G60470.1
OG0000216	XP_018467364.1	AT4G12370.1
OG0000216	XP_018475592.1	AT4G10700.1, AT4G10660.1, AT4G10695.1
OG0000216	XP_018475526.1	AT4G12382.1
OG0000216	XP_018467341.1, XP_018465408.1	AT1G57790.1
OG0000216	XP_018432540.1	AT3G56470.1
OG0000225	XP_018455101.1, XP_018455692.1, XP_018456709.1	AT1G69630.1
OG0000225	XP_018453413.1	AT1G78750.1
OG0000226	XP_018447426.1	AT4G13130.1, AT1G66440.1, AT1G66450.2, AT1G29180.1, AT3G26250.1, AT3G26240.1
OG0000227	XP_018436575.1, XP_018436570.1	AT3G11010.2, AT5G27060.2, AT3G11080.1
OG0000229	XP_018438813.1	AT5G28820.1
OG0000229	XP_018460167.1, XP_018460168.1	AT5G27260.1
OG0000229	XP_018479600.1	AT5G35540.1
OG0000230	XP_018460416.1	AT5G38391.1
OG0000233	XP_018444381.1, XP_018464192.1	AT5G07550.1
OG0000233	XP_018468589.1, XP_018469329.1, XP_018475327.1	AT5G07571.1, AT5G07560.1
OG0000233	XP_018444363.1	AT5G07540.1
OG0000233	XP_018444177.1, XP_018448246.1, XP_018469360.1	AT5G07510.1, AT5G07600.1, AT5G07520.1
OG0000234	XP_018443518.1, XP_018435545.1, XP_018443517.1, XP_018435544.1, XP_018435543.1, XP_018443516.1	AT2G44030.1, AT2G45406.1, AT5G02990.1
OG0000235	XP_018433885.1, XP_018490807.1	AT3G25080.1
OG0000236	XP_018467415.1	AT1G69650.1
OG0000236	XP_018465671.1	AT1G69660.1
