Orthogroup	Raphanus_sativus	Capsella_rubella
OG0000020	XP_018439110.1	XP_006279199.1
OG0000020	XP_018463663.1, XP_018481037.1, XP_018464215.1, XP_018448670.1, XP_018448669.1	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1
OG0000020	XP_018463043.1	XP_023644230.1, XP_023638100.1, XP_023633554.1, XP_023644447.1, XP_023640322.1, XP_006301549.2, XP_023638121.1
OG0000021	XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1	XP_023634269.1, XP_023637241.1, XP_023637954.1, XP_006303531.2, XP_023644562.1, XP_023641377.1, XP_023638098.1, XP_023633350.1, XP_023634149.1, XP_023640318.1, XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1, XP_023645856.1, XP_023634319.1
OG0000022	XP_018467852.1	XP_006283550.1
OG0000022	XP_018446660.1	XP_023636761.1
OG0000022	XP_018452507.1	XP_006302102.1
OG0000022	XP_018456914.1, XP_018456330.1	XP_006301814.1
OG0000022	XP_018439379.1	XP_006306232.1
OG0000022	XP_018490861.1, XP_018490862.1, XP_018439418.1, XP_018436026.1, XP_018438506.1, XP_018438505.1, XP_018435012.1, XP_018491224.1, XP_018491225.1, XP_018485652.1, XP_018440869.1, XP_018451491.1, XP_018438507.1, XP_018440496.1, XP_018463937.1, XP_018451058.1, XP_018448229.1	XP_006306401.2, XP_006303167.1
OG0000022	XP_018478989.1	XP_023635463.1
OG0000022	XP_018437843.1	XP_006297483.1
OG0000023	XP_018435326.1, XP_018463391.1, XP_018443767.1, XP_018458912.1	XP_023633772.1
OG0000023	XP_018466175.1, XP_018435516.1	XP_023636242.1
OG0000023	XP_018462951.1	XP_023636237.1
OG0000024	XP_018436387.1	XP_023632980.1, XP_023632975.1, XP_023632970.1
OG0000025	XP_018487947.1	XP_023636962.1
OG0000025	XP_018435935.1, XP_018448760.1, XP_018471288.1, XP_018462638.1, XP_018443466.1, XP_018487867.1, XP_018463331.1, XP_018480029.1, XP_018487802.1, XP_018476186.1, XP_018475505.1, XP_018475511.1, XP_018435267.1	XP_023641784.1, XP_023644446.1, XP_023636071.1
OG0000027	XP_018476504.1, XP_018476512.1, XP_018454315.1	XP_006287218.1
OG0000027	XP_018468520.1, XP_018468522.1	XP_006284983.1
OG0000027	XP_018451933.1, XP_018448914.1	XP_023634683.1
OG0000027	XP_018451939.1, XP_018448955.1	XP_006283253.1
OG0000027	XP_018468502.1	XP_023634688.1
OG0000027	XP_018458837.1, XP_018459041.1	XP_023638659.1
OG0000027	XP_018448923.1, XP_018448922.1	XP_006285954.1
OG0000027	XP_018453781.1	XP_006289052.2
OG0000027	XP_018455630.1	XP_023635860.1
OG0000027	XP_018454316.1	XP_006287240.1
OG0000027	XP_018463400.1, XP_018480408.1	XP_023634685.1
OG0000028	XP_018467289.1, XP_018480012.1	XP_023634475.1
OG0000028	XP_018474154.1, XP_018475339.1	XP_006304936.1, XP_023644946.1
OG0000028	XP_018474189.1, XP_018474190.1, XP_018466632.1, XP_018466593.1, XP_018466641.1, XP_018466603.1, XP_018469501.1, XP_018466579.1, XP_018466613.1, XP_018469209.1, XP_018469254.1, XP_018440554.1, XP_018440555.1, XP_018469276.1, XP_018469113.1, XP_018466902.1, XP_018466824.1, XP_018469469.1	XP_006281712.1
OG0000028	XP_018465681.1, XP_018448362.1	XP_006285133.1
OG0000028	XP_018462813.1	XP_006299262.2
OG0000028	XP_018474193.1, XP_018474191.1, XP_018466544.1, XP_018480011.1	XP_023633414.1
OG0000029	XP_018462178.1, XP_018479617.1, XP_018480098.1, XP_018453783.1, XP_018479504.1, XP_018453703.1, XP_018435876.1, XP_018478239.1, XP_018461350.1, XP_018473938.1, XP_018479503.1, XP_018453702.1, XP_018435877.1, XP_018463848.1, XP_018463679.1, XP_018479419.1, XP_018462971.1, XP_018459455.1, XP_018479546.1, XP_018443548.1, XP_018473650.1, XP_018435416.1, XP_018473647.1, XP_018436157.1, XP_018464649.1, XP_018464671.1, XP_018475894.1, XP_018478725.1, XP_018460863.1, XP_018479047.1, XP_018472293.1, XP_018448729.1, XP_018459873.1, XP_018488169.1	XP_023633422.1, XP_023644241.1, XP_023638860.1, XP_023634002.1, XP_023644242.1, XP_023644257.1, XP_023638123.1, XP_023633373.1, XP_023633615.1, XP_023641909.1, XP_023636106.1, XP_023644249.1, XP_023638859.1
OG0000029	XP_018435280.1, XP_018435285.1, XP_018460173.1, XP_018478153.1, XP_018462845.1, XP_018462844.1, XP_018473604.1, XP_018443706.1, XP_018443735.1, XP_018480110.1, XP_018480109.1, XP_018443476.1, XP_018443474.1, XP_018448537.1, XP_018443698.1, XP_018475867.1, XP_018448453.1, XP_018433508.1, XP_018488082.1, XP_018487624.1, XP_018443715.1, XP_018464762.1, XP_018453707.1, XP_018454030.1, XP_018473621.1, XP_018466148.1, XP_018466182.1, XP_018474041.1, XP_018448515.1, XP_018436232.1	XP_023634815.1, XP_023641328.1, XP_023642217.1, XP_023644323.1, XP_023644233.1, XP_023640355.1
OG0000029	XP_018463125.1, XP_018463535.1, XP_018474042.1, XP_018453813.1, XP_018460266.1, XP_018463492.1, XP_018487478.1, XP_018460550.1, XP_018464271.1, XP_018465399.1, XP_018473758.1, XP_018463556.1	XP_023640390.1, XP_023635785.1, XP_023637682.1
OG0000030	XP_018435466.1, XP_018464547.1, XP_018443694.1	XP_023642658.1, XP_023641336.1, XP_006296044.1
OG0000030	XP_018481995.1, XP_018492454.1	XP_006297884.1
OG0000030	XP_018479424.1, XP_018466469.1, XP_018462013.1	XP_006303634.1, XP_023632886.1, XP_023632793.1
OG0000030	XP_018453970.1	XP_006293126.1
OG0000030	XP_018435374.1, XP_018435377.1, XP_018435375.1, XP_018435378.1	XP_006297854.1, XP_006297862.1, XP_006300177.2
OG0000030	XP_018482202.1, XP_018471303.1, XP_018481495.1, XP_018480537.1, XP_018481681.1, XP_018479916.1	XP_006298407.2
OG0000031	XP_018462035.1, XP_018463620.1, XP_018467340.1, XP_018435482.1, XP_018443707.1, XP_018487726.1	XP_023633361.1
OG0000032	XP_018487719.1	XP_023634318.1
OG0000032	XP_018482431.1	XP_023632591.1
OG0000034	XP_018483350.1, XP_018468503.1	XP_006283285.1
OG0000034	XP_018468506.1, XP_018468517.1	XP_023634692.1
OG0000034	XP_018436206.1, XP_018483352.1	XP_006285944.1
OG0000034	XP_018465156.1, XP_018456565.1	XP_023637378.1
OG0000034	XP_018449405.1, XP_018478765.1	XP_023634635.1
OG0000034	XP_018459753.1, XP_018486703.1	XP_023638280.1
OG0000034	XP_018463089.1, XP_018468501.1	XP_006283145.1
OG0000034	XP_018483344.1	XP_006283283.1
OG0000034	XP_018448921.1, XP_018448031.1	XP_023635576.1
OG0000035	XP_018460300.1, XP_018453765.1, XP_018464702.1, XP_018460797.1, XP_018464171.1, XP_018448429.1, XP_018448430.1, XP_018485080.1, XP_018460632.1	XP_023633542.1, XP_023633652.1, XP_023639706.1
OG0000035	XP_018475133.1, XP_018458651.1, XP_018449099.1	XP_023634166.1
OG0000040	XP_018460803.1, XP_018487809.1	XP_023644222.1, XP_023644534.1, XP_023640572.1, XP_023639239.1, XP_023634852.1
OG0000040	XP_018436297.1, XP_018448764.1, XP_018454006.1	XP_023638978.1, XP_023642459.1, XP_023632551.1, XP_023638973.1, XP_023644566.1, XP_023634840.1, XP_023636105.1, XP_023633811.1
OG0000042	XP_018467507.1, XP_018433578.1, XP_018459378.1, XP_018459876.1	XP_023634283.1
OG0000043	XP_018465687.1	XP_023643350.1, XP_023644208.1, XP_023639459.1
OG0000043	XP_018460645.1, XP_018474025.1, XP_018435759.1	XP_006299187.2, XP_006304881.2
OG0000044	XP_018474392.1, XP_018457475.1	XP_006282385.2
OG0000044	XP_018440461.1, XP_018440462.1	XP_006281533.1
OG0000046	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1
OG0000048	XP_018479865.1, XP_018482211.1, XP_018482223.1, XP_018481628.1	XP_023640388.1
OG0000048	XP_018482068.1, XP_018479796.1, XP_018479876.1, XP_018481878.1, XP_018484946.1, XP_018481942.1, XP_018490100.1, XP_018484944.1, XP_018465213.1, XP_018477245.1, XP_018484943.1, XP_018484945.1, XP_018484942.1, XP_018477397.1, XP_018479871.1, XP_018477265.1, XP_018483420.1, XP_018478113.1, XP_018479866.1	XP_006299189.1
OG0000048	XP_018436322.1	XP_023632757.1, XP_023641959.1
OG0000048	XP_018453414.1	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2
OG0000049	XP_018474144.1, XP_018474143.1	XP_023634287.1
OG0000049	XP_018467582.1	XP_023634626.1
OG0000050	XP_018467601.1, XP_018488190.1, XP_018436128.1, XP_018487633.1, XP_018443603.1, XP_018443602.1, XP_018459618.1	XP_006299955.2
OG0000050	XP_018479406.1	XP_023643276.1
OG0000051	XP_018493126.1	XP_006304062.1
OG0000051	XP_018436547.1, XP_018436548.1, XP_018436546.1, XP_018436545.1, XP_018436438.1, XP_018436441.1	XP_023640424.1
OG0000052	XP_018479392.1, XP_018479394.1, XP_018479395.1, XP_018481202.1	XP_023639245.1
OG0000052	XP_018454118.1	XP_006301891.2, XP_006301896.2, XP_023638056.1, XP_023639204.1, XP_006293172.2
OG0000052	XP_018440341.1, XP_018440340.1, XP_018436949.1	XP_006291114.1, XP_006291129.1, XP_006293230.1, XP_006290348.2
OG0000052	XP_018454062.1	XP_023638945.1, XP_023638947.1, XP_023638946.1, XP_023639178.1
OG0000052	XP_018433197.1, XP_018454367.1, XP_018454366.1	XP_006291090.1
OG0000052	XP_018493248.1	XP_023638561.1, XP_006293221.1
OG0000054	XP_018487733.1	XP_023633331.1
OG0000055	XP_018474315.1, XP_018475877.1, XP_018475876.1, XP_018460442.1, XP_018475208.1, XP_018448356.1, XP_018469080.1, XP_018460063.1	XP_006299228.1, XP_006300113.1
OG0000055	XP_018488227.1	XP_023642764.1
OG0000055	XP_018489800.1	XP_006286657.2
OG0000055	XP_018489423.1, XP_018464956.1	XP_006299604.1
OG0000056	XP_018458632.1	XP_023643438.1
OG0000056	XP_018434948.1	XP_006302254.2
OG0000056	XP_018456965.1, XP_018435121.1	XP_006292456.1
OG0000058	XP_018473916.1, XP_018473917.1	XP_023640345.1, XP_023636058.1, XP_023640315.1, XP_023643584.1, XP_023640320.1, XP_023634265.1, XP_023644147.1, XP_023644470.1, XP_023634034.1, XP_023638869.1
OG0000059	XP_018476848.1, XP_018448721.1, XP_018436112.1, XP_018463973.1, XP_018467561.1, XP_018467345.1, XP_018443425.1, XP_018448461.1, XP_018435913.1, XP_018487671.1, XP_018458755.1, XP_018443688.1	XP_023633548.1, XP_023644244.1, XP_023634277.1
OG0000059	XP_018469270.1, XP_018438946.1, XP_018480125.1, XP_018490555.1	XP_023636099.1, XP_006290464.1
OG0000059	XP_018448672.1, XP_018492198.1, XP_018465516.1, XP_018443523.1, XP_018480052.1, XP_018479349.1	XP_023633025.1
OG0000060	XP_018436511.1	XP_023638361.1
OG0000060	XP_018437089.1, XP_018465956.1	XP_006292099.1
OG0000060	XP_018434873.1	XP_006295294.1
OG0000060	XP_018486629.1	XP_006303455.1
OG0000060	XP_018463191.1	XP_006292098.1
OG0000060	XP_018450669.1	XP_006303457.1
OG0000062	XP_018466668.1, XP_018453901.1, XP_018461903.1, XP_018458652.1, XP_018487526.1, XP_018462640.1, XP_018463607.1, XP_018464509.1	XP_023633725.1
OG0000064	XP_018459458.1, XP_018459460.1, XP_018459461.1, XP_018459459.1, XP_018458876.1, XP_018458874.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1, XP_006301107.1, XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301855.1, XP_006301176.1, XP_006306169.1
OG0000065	XP_018461745.1, XP_018470308.1	XP_023644442.1
OG0000065	XP_018442727.1, XP_018444185.1	XP_023644283.1
OG0000065	XP_018461764.1	XP_023643077.1
OG0000065	XP_018442725.1	XP_006279179.2
OG0000065	XP_018461774.1	XP_023644284.1
OG0000065	XP_018483048.1, XP_018483050.1, XP_018464170.1	XP_023637822.1, XP_006290268.1
OG0000065	XP_018479670.1	XP_023638915.1
OG0000065	XP_018481866.1, XP_018462609.1, XP_018479313.1, XP_018464676.1, XP_018481217.1	XP_006286236.1
OG0000066	XP_018470662.1, XP_018439713.1, XP_018448989.1, XP_018445234.1, XP_018448990.1	XP_006301260.2
OG0000066	XP_018470661.1	XP_006304637.1
OG0000066	XP_018443026.1	XP_006288773.2
OG0000066	XP_018450392.1	XP_006284722.1
OG0000067	XP_018460919.1, XP_018463862.1, XP_018473775.1	XP_023638931.1
OG0000067	XP_018436246.1, XP_018436236.1	XP_023634337.1, XP_023633435.1
OG0000067	XP_018465377.1, XP_018459048.1, XP_018479351.1	XP_023645924.1
OG0000068	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1	XP_006289028.2, XP_006289556.2, XP_023637280.1
OG0000069	XP_018458214.1, XP_018435567.1, XP_018479283.1, XP_018458190.1	XP_023642292.1
OG0000069	XP_018475767.1, XP_018479965.1, XP_018479843.1	XP_006288439.1
OG0000070	XP_018439895.1, XP_018455246.1	XP_006305612.2, XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1
OG0000070	XP_018435343.1	XP_006304273.1
OG0000070	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1	XP_006302938.1
OG0000070	XP_018485425.1	XP_006295429.1
OG0000070	XP_018475135.1	XP_006299005.1, XP_023638023.1, XP_006286731.1, XP_006289176.1, XP_006285109.1
OG0000072	XP_018458408.1	XP_006282913.2, XP_023638967.1
OG0000073	XP_018487884.1, XP_018487997.1, XP_018436409.1	XP_023644828.1
OG0000073	XP_018466035.1, XP_018479807.1, XP_018479806.1, XP_018464863.1, XP_018435628.1, XP_018435716.1, XP_018453603.1, XP_018479700.1, XP_018461244.1, XP_018448444.1, XP_018488025.1, XP_018459279.1, XP_018474107.1, XP_018461598.1, XP_018465876.1, XP_018453526.1, XP_018453814.1, XP_018448666.1, XP_018488029.1, XP_018448543.1, XP_018435276.1	XP_023644313.1
OG0000074	XP_018453670.1	XP_023641911.1
OG0000074	XP_018478850.1, XP_018435497.1, XP_018476436.1	XP_023634274.1, XP_023636038.1
OG0000074	XP_018477791.1, XP_018473819.1, XP_018479581.1	XP_023636039.1
OG0000074	XP_018463378.1	XP_023638842.1
OG0000075	XP_018481197.1, XP_018459483.1	XP_006283916.1, XP_023635518.1
OG0000076	XP_018480217.1	XP_023634774.1
OG0000076	XP_018462841.1, XP_018475048.1, XP_018474599.1, XP_018474598.1, XP_018443200.1, XP_018443823.1, XP_018460203.1, XP_018473529.1, XP_018460207.1, XP_018460209.1, XP_018472945.1, XP_018460208.1, XP_018474714.1, XP_018473780.1, XP_018473779.1	XP_006286831.1
OG0000077	XP_018455183.1	XP_006281971.1
OG0000077	XP_018473635.1, XP_018473636.1, XP_018483784.1	XP_006280897.2
OG0000077	XP_018438135.1	XP_023643297.1
OG0000077	XP_018435698.1	XP_006292755.1, XP_006292566.2, XP_006292626.2, XP_006300965.2, XP_006290374.2, XP_023638325.1
OG0000077	XP_018468968.1	XP_006303212.2
OG0000077	XP_018455896.1, XP_018472848.1	XP_006281861.1
OG0000078	XP_018468001.1, XP_018475082.1, XP_018467409.1, XP_018475059.1, XP_018475741.1, XP_018474955.1, XP_018475088.1, XP_018474996.1	XP_006289130.1, XP_006290038.2, XP_023636207.1, XP_006289391.1, XP_006286648.1, XP_006289998.1
OG0000079	XP_018482195.1	XP_023644218.1, XP_023645325.1
OG0000081	XP_018436245.1	XP_023638026.1, XP_023634808.1, XP_023641960.1
OG0000081	XP_018463440.1, XP_018467536.1, XP_018436146.1	XP_023634311.1
OG0000086	XP_018456777.1, XP_018456775.1, XP_018475756.1	XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302616.1
OG0000086	XP_018445028.1, XP_018459504.1	XP_023644279.1, XP_023644252.1
OG0000087	XP_018466056.1, XP_018443672.1	XP_023639065.1
OG0000089	XP_018477697.1, XP_018484582.1	XP_006287738.1
OG0000089	XP_018492627.1, XP_018440532.1	XP_006292748.1, XP_006291122.1
OG0000089	XP_018440871.1	XP_006294210.1
OG0000089	XP_018476501.1, XP_018446020.1	XP_006289933.1
OG0000089	XP_018439894.1, XP_018456689.1, XP_018457306.1, XP_018483831.1	XP_006281513.1
OG0000089	XP_018446239.1, XP_018463490.1	XP_006302256.1
OG0000091	XP_018482085.1, XP_018483277.1	XP_006296540.2
OG0000091	XP_018474898.1, XP_018446823.1	XP_023636467.1
OG0000092	XP_018436214.1	XP_023640340.1
OG0000092	XP_018462904.1	XP_023642043.1
OG0000092	XP_018455197.1	XP_023633335.1
OG0000092	XP_018435657.1, XP_018488019.1, XP_018488020.1, XP_018479259.1	XP_023641904.1
OG0000092	XP_018473956.1	XP_023641912.1
OG0000095	XP_018478409.1, XP_018478874.1	XP_006295555.1, XP_006294228.1
OG0000095	XP_018458821.1, XP_018482330.1	XP_006294323.1
OG0000096	XP_018462071.1	XP_023638935.1
OG0000096	XP_018490105.1	XP_006289071.1, XP_006289116.1
OG0000098	XP_018443647.1, XP_018461538.1, XP_018467732.1	XP_006292655.1
OG0000098	XP_018477065.1	XP_006305026.1
OG0000098	XP_018482705.1	XP_023635773.1, XP_006289986.1, XP_006289767.1
OG0000100	XP_018453997.1, XP_018453999.1	XP_023641940.1
OG0000100	XP_018454271.1, XP_018454261.1	XP_006301994.2
OG0000100	XP_018454733.1, XP_018453995.1	XP_006301998.2
OG0000100	XP_018455681.1	XP_023643545.1
OG0000100	XP_018436752.1	XP_023635628.1
OG0000102	XP_018478798.1	XP_006288542.1
OG0000102	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1	XP_023634256.1, XP_006289089.1, XP_006288348.1
OG0000102	XP_018451515.1, XP_018489433.1, XP_018486652.1, XP_018486669.1, XP_018474049.1	XP_006288252.1
OG0000102	XP_018453850.1	XP_023633387.1
OG0000106	XP_018453762.1	XP_023646042.1, XP_023644298.1
OG0000106	XP_018483022.1, XP_018435770.1, XP_018482722.1	XP_006301047.2, XP_023643263.1
OG0000107	XP_018489727.1, XP_018489629.1, XP_018488234.1, XP_018486234.1	XP_006300030.1, XP_006297457.1
OG0000107	XP_018440339.1, XP_018435080.1, XP_018436775.1	XP_006289895.1, XP_006297460.1
OG0000107	XP_018437231.1	XP_006290930.1
OG0000108	XP_018476215.1, XP_018441209.1	XP_006291303.1, XP_006294425.1
OG0000108	XP_018445204.1, XP_018476330.1, XP_018471220.1	XP_006287952.1
OG0000108	XP_018440679.1	XP_006297920.1
OG0000108	XP_018492660.1	XP_006305090.1
OG0000109	XP_018454381.1	XP_023637552.1
OG0000109	XP_018487761.1, XP_018481572.1, XP_018481855.1, XP_018464035.1, XP_018463274.1, XP_018448709.1, XP_018466706.1, XP_018454380.1, XP_018477453.1, XP_018459917.1	XP_023633613.1
OG0000110	XP_018446222.1, XP_018443582.1, XP_018437386.1, XP_018490507.1, XP_018450345.1, XP_018448613.1, XP_018435333.1, XP_018487390.1, XP_018443586.1, XP_018479534.1, XP_018479536.1, XP_018461540.1, XP_018459043.1, XP_018461034.1, XP_018466255.1, XP_018461038.1, XP_018461378.1, XP_018459049.1, XP_018459132.1, XP_018462373.1, XP_018482546.1, XP_018438837.1, XP_018459131.1, XP_018482527.1, XP_018438608.1, XP_018462371.1, XP_018450716.1	XP_023634352.1
OG0000110	XP_018481465.1, XP_018464346.1, XP_018460458.1, XP_018487640.1, XP_018453398.1, XP_018458166.1, XP_018458754.1	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1
OG0000111	XP_018470802.1	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000114	XP_018456273.1	XP_006301152.1
OG0000117	XP_018484078.1	XP_006306513.2
OG0000117	XP_018442248.1, XP_018475190.1, XP_018463580.1, XP_018474776.1, XP_018483556.1, XP_018449780.1, XP_018449779.1	XP_006303770.1
OG0000117	XP_018434385.1	XP_023632781.1
OG0000117	XP_018461550.1, XP_018449778.1, XP_018449606.1, XP_018449776.1, XP_018449605.1, XP_018461549.1, XP_018461548.1, XP_018449734.1, XP_018449777.1, XP_018448289.1, XP_018448292.1, XP_018461551.1, XP_018456410.1, XP_018454087.1, XP_018455073.1	XP_006304618.2, XP_023644792.1
OG0000118	XP_018491246.1, XP_018488077.1, XP_018438578.1, XP_018442744.1, XP_018491336.1, XP_018485751.1, XP_018486403.1, XP_018488302.1, XP_018482093.1	XP_006290039.1, XP_023640365.1, XP_023634338.1
OG0000119	XP_018435717.1	XP_023638901.1
OG0000119	XP_018479792.1	XP_006296419.2, XP_006295986.2, XP_006292836.2, XP_006292499.2, XP_023638877.1, XP_006291315.2, XP_023638900.1, XP_006293090.1, XP_023639195.1
OG0000120	XP_018453659.1	XP_023644237.1, XP_023640332.1, XP_023639622.1
OG0000121	XP_018460144.1, XP_018466482.1, XP_018479591.1, XP_018473910.1, XP_018443226.1	XP_023640327.1, XP_023634261.1
OG0000121	XP_018466068.1	XP_006301940.2, XP_006287598.2, XP_006299881.2
OG0000121	XP_018448551.1	XP_023638959.1
OG0000122	XP_018475453.1, XP_018473352.1, XP_018474205.1	XP_006281892.1
OG0000122	XP_018460882.1	XP_023633504.1, XP_023633528.1
OG0000122	XP_018482341.1	XP_023645912.1, XP_023633493.1
OG0000122	XP_018473651.1, XP_018475532.1, XP_018474204.1, XP_018474203.1, XP_018453563.1, XP_018487691.1, XP_018468941.1	XP_023633416.1
OG0000123	XP_018474158.1, XP_018474157.1, XP_018435443.1, XP_018435960.1	XP_006282356.1, XP_006289168.1
OG0000124	XP_018467348.1	XP_023635269.1
OG0000124	XP_018458453.1	XP_023644078.1
OG0000124	XP_018467814.1, XP_018436023.1, XP_018459692.1, XP_018464236.1, XP_018480034.1, XP_018466176.1, XP_018453630.1, XP_018444526.1, XP_018489729.1, XP_018470137.1	XP_023638979.1
OG0000125	XP_018478791.1, XP_018437245.1, XP_018462942.1	XP_006296171.1
OG0000125	XP_018493580.1, XP_018487612.1	XP_023645280.1
OG0000125	XP_018485742.1	XP_023645616.1
OG0000125	XP_018486058.1	XP_023645225.1, XP_006306741.1
OG0000125	XP_018485989.1, XP_018488966.1	XP_006299926.1
OG0000126	XP_018465786.1	XP_023640354.1
OG0000127	XP_018442304.1, XP_018463483.1, XP_018464380.1	XP_006289049.1
OG0000127	XP_018467984.1, XP_018462477.1	XP_006304288.1
OG0000128	XP_018444638.1	XP_023639092.1, XP_023639093.1
OG0000128	XP_018491569.1	XP_006291250.1
OG0000128	XP_018489183.1, XP_018442568.1, XP_018459990.1	XP_006290900.1
