Orthogroup	Raphanus_sativus	Brassica_oleracea
OG0000005	XP_018458503.1	XP_013632581.1, XP_013594436.1, XP_013583353.1, XP_013624657.1, XP_013613865.1, XP_013639540.1, XP_013624597.1, XP_013639588.1, XP_013639715.1
OG0000005	XP_018479521.1	XP_013601164.1
OG0000005	XP_018458647.1	XP_013628485.1, XP_013624301.1
OG0000007	XP_018479657.1	XP_013614260.1, XP_013624837.1, XP_013589419.1
OG0000007	XP_018448723.1, XP_018448724.1	XP_013617290.1, XP_013585405.1, XP_013605146.1, XP_013634604.1, XP_013617289.1, XP_013603784.1, XP_013635455.1, XP_013623981.1
OG0000007	XP_018489358.1, XP_018462149.1	XP_013633377.1
OG0000007	XP_018462910.1, XP_018443719.1, XP_018463971.1, XP_018453920.1, XP_018453600.1, XP_018453608.1	XP_013632977.1, XP_013623353.1, XP_013633146.1, XP_013639247.1, XP_013614053.1
OG0000007	XP_018464726.1, XP_018465240.1	XP_013589057.1
OG0000007	XP_018435826.1	XP_013617886.1
OG0000007	XP_018479518.1, XP_018479614.1	XP_013610211.1
OG0000007	XP_018466154.1, XP_018479922.1, XP_018482702.1	XP_013594807.1
OG0000007	XP_018437596.1, XP_018443492.1, XP_018477728.1	XP_013601610.1, XP_013595036.1
OG0000007	XP_018471975.1	XP_013601509.1
OG0000007	XP_018473323.1, XP_018436427.1, XP_018478071.1, XP_018478058.1, XP_018487797.1, XP_018462285.1, XP_018460028.1, XP_018443641.1, XP_018458760.1, XP_018487899.1, XP_018487674.1, XP_018479784.1, XP_018459734.1, XP_018436126.1, XP_018461127.1, XP_018465497.1, XP_018487572.1	XP_013596032.1, XP_013617093.1, XP_013589320.1, XP_013608313.1, XP_013624232.1, XP_013634404.1, XP_013639187.1
OG0000007	XP_018443685.1, XP_018474163.1, XP_018488171.1, XP_018461527.1, XP_018474045.1	XP_013608445.1
OG0000007	XP_018452687.1, XP_018464104.1	XP_013595054.1
OG0000007	XP_018453152.1	XP_013617368.1
OG0000007	XP_018466855.1, XP_018436374.1, XP_018473843.1, XP_018462108.1, XP_018479202.1	XP_013589618.1
OG0000007	XP_018459130.1	XP_013607658.1
OG0000008	XP_018464359.1	XP_013594703.1, XP_013583429.1
OG0000008	XP_018463808.1, XP_018464542.1, XP_018460436.1, XP_018467327.1, XP_018436091.1	XP_013639167.1, XP_013615146.1, XP_013612199.1
OG0000008	XP_018458167.1	XP_013633438.1
OG0000008	XP_018487720.1	XP_013617727.1, XP_013601202.1, XP_013624229.1, XP_013607910.1
OG0000008	XP_018443581.1	XP_013633025.1
OG0000008	XP_018462957.1	XP_013639786.1
OG0000008	XP_018454207.1	XP_013614821.1
OG0000008	XP_018488090.1, XP_018458139.1, XP_018489767.1	XP_013608259.1
OG0000008	XP_018444644.1	XP_013584735.1
OG0000008	XP_018448882.1, XP_018448884.1, XP_018464317.1, XP_018448605.1, XP_018463041.1, XP_018455757.1, XP_018458111.1, XP_018463415.1, XP_018453388.1, XP_018479750.1, XP_018464703.1, XP_018488222.1, XP_018482699.1, XP_018473907.1, XP_018459798.1, XP_018490599.1, XP_018489331.1, XP_018469961.1, XP_018460935.1	XP_013639639.1
OG0000008	XP_018467440.1, XP_018464167.1, XP_018487483.1	XP_013624474.1
OG0000008	XP_018454076.1	XP_013617960.1
OG0000008	XP_018467638.1, XP_018435422.1	XP_013589518.1
OG0000008	XP_018476077.1	XP_013616794.1
OG0000008	XP_018453589.1	XP_013615301.1
OG0000008	XP_018453833.1, XP_018435951.1, XP_018480006.1	XP_013615258.1
OG0000008	XP_018462956.1	XP_013624621.1, XP_013639785.1
OG0000008	XP_018487725.1	XP_013583252.1
OG0000008	XP_018438736.1	XP_013601615.1
OG0000009	XP_018458816.1	XP_013616938.1
OG0000009	XP_018473607.1	XP_013633213.1
OG0000009	XP_018461258.1	XP_013617184.1, XP_013595190.1
OG0000009	XP_018479189.1, XP_018479190.1	XP_013623891.1
OG0000009	XP_018479971.1, XP_018453423.1	XP_013600965.1
OG0000009	XP_018487838.1, XP_018479007.1	XP_013623859.1
OG0000009	XP_018479482.1	XP_013613667.1
OG0000009	XP_018448691.1	XP_013594815.1
OG0000009	XP_018458174.1	XP_013624783.1, XP_013639114.1, XP_013588892.1, XP_013595202.1
OG0000009	XP_018435561.1	XP_013617786.1
OG0000009	XP_018473658.1	XP_013613616.1
OG0000009	XP_018479430.1	XP_013608016.1
OG0000009	XP_018448431.1	XP_013633379.1, XP_013607967.1
OG0000009	XP_018458389.1, XP_018474214.1	XP_013623976.1
OG0000009	XP_018487451.1, XP_018479585.1	XP_013589538.1, XP_013624124.1
OG0000009	XP_018453761.1	XP_013601475.1, XP_013601681.1
OG0000009	XP_018465007.1, XP_018465000.1	XP_013588939.1, XP_013624310.1, XP_013601424.1
OG0000009	XP_018479302.1, XP_018443348.1	XP_013625016.1
OG0000009	XP_018464274.1, XP_018488051.1, XP_018467672.1, XP_018487967.1	XP_013608517.1
OG0000009	XP_018435806.1	XP_013601013.1
OG0000009	XP_018479324.1	XP_013583375.1
OG0000009	XP_018463676.1, XP_018474023.1	XP_013624886.1
OG0000009	XP_018479849.1	XP_013614191.1
OG0000009	XP_018436425.1, XP_018436426.1	XP_013589362.1, XP_013607452.1
OG0000009	XP_018467418.1	XP_013633284.1
OG0000009	XP_018443533.1	XP_013589640.1, XP_013617979.1, XP_013608540.1, XP_013595158.1, XP_013589654.1, XP_013601782.1, XP_013588992.1
OG0000009	XP_018481184.1	XP_013633488.1
OG0000009	XP_018463890.1	XP_013639216.1
OG0000009	XP_018479847.1, XP_018473842.1	XP_013589238.1
OG0000009	XP_018435552.1	XP_013589005.1, XP_013608331.1
OG0000009	XP_018443423.1	XP_013595149.1, XP_013639361.1, XP_013601764.1
OG0000009	XP_018459193.1	XP_013615524.1
OG0000011	XP_018448673.1, XP_018475002.1	XP_013616817.1
OG0000011	XP_018465525.1, XP_018487710.1	XP_013594896.1
OG0000011	XP_018465398.1, XP_018435783.1	XP_013601186.1
OG0000011	XP_018463028.1	XP_013610312.1
OG0000011	XP_018463180.1	XP_013624126.1
OG0000011	XP_018482968.1	XP_013624406.1
OG0000011	XP_018453737.1, XP_018450169.1	XP_013622528.1
OG0000011	XP_018468839.1	XP_013594587.1
OG0000011	XP_018448643.1	XP_013589498.1
OG0000011	XP_018436024.1	XP_013632628.1, XP_013633248.1
OG0000012	XP_018479747.1, XP_018479745.1	XP_013589468.1, XP_013632839.1, XP_013617712.1, XP_013632406.1, XP_013624874.1, XP_013601001.1, XP_013624747.1, XP_013601114.1, XP_013607586.1, XP_013589385.1, XP_013607529.1, XP_013600651.1, XP_013616890.1, XP_013623900.1, XP_013589412.1, XP_013594746.1
OG0000012	XP_018487564.1	XP_013624721.1, XP_013594775.1, XP_013639344.1, XP_013633221.1
OG0000012	XP_018466969.1	XP_013589682.1
OG0000012	XP_018450842.1	XP_013624899.1, XP_013615219.1, XP_013589030.1, XP_013624901.1, XP_013624711.1, XP_013601366.1, XP_013617850.1, XP_013632873.1, XP_013617433.1, XP_013614555.1, XP_013595035.1, XP_013608334.1, XP_013632509.1, XP_013632737.1, XP_013595071.1, XP_013594774.1
OG0000012	XP_018436044.1, XP_018465050.1	XP_013625577.1, XP_013589568.1, XP_013589219.1, XP_013594946.1
OG0000012	XP_018479889.1	XP_013617311.1, XP_013633380.1, XP_013617905.1, XP_013633195.1, XP_013589495.1, XP_013624371.1, XP_013589324.1, XP_013594626.1, XP_013616810.1, XP_013601384.1, XP_013607609.1, XP_013624196.1, XP_013624162.1, XP_013624137.1, XP_013639852.1, XP_013589446.1, XP_013615322.1, XP_013624918.1, XP_013639160.1, XP_013601474.1, XP_013594401.1, XP_013617958.1, XP_013616931.1, XP_013608215.1
OG0000012	XP_018471963.1	XP_013617313.1, XP_013639496.1, XP_013607597.1, XP_013633158.1, XP_013589431.1, XP_013601007.1, XP_013633295.1, XP_013624353.1, XP_013607750.1, XP_013632893.1
OG0000012	XP_018448880.1	XP_013583261.1, XP_013629270.1, XP_013583255.1, XP_013608429.1
OG0000012	XP_018479604.1	XP_013608304.1
OG0000012	XP_018459024.1, XP_018462958.1	XP_013594412.1, XP_013614778.1, XP_013588899.1, XP_013601161.1, XP_013607652.1, XP_013624688.1, XP_013614655.1, XP_013589438.1, XP_013601311.1, XP_013594004.1, XP_013639324.1, XP_013594716.1, XP_013608513.1, XP_013589531.1, XP_013623942.1, XP_013601548.1, XP_013633347.1, XP_013633008.1, XP_013623653.1, XP_013616871.1, XP_013633036.1, XP_013594810.1, XP_013607496.1, XP_013633302.1, XP_013594605.1, XP_013624714.1, XP_013601355.1, XP_013583467.1, XP_013624002.1, XP_013624342.1, XP_013583393.1, XP_013594658.1, XP_013624746.1, XP_013623738.1, XP_013614361.1, XP_013589530.1, XP_013617310.1, XP_013632383.1, XP_013601077.1, XP_013601337.1, XP_013624535.1
OG0000012	XP_018463968.1, XP_018477654.1	XP_013632980.1, XP_013617543.1, XP_013639263.1, XP_013623879.1, XP_013615145.1, XP_013632658.1, XP_013601976.1, XP_013594568.1, XP_013617695.1, XP_013607950.1, XP_013608186.1
OG0000012	XP_018458558.1	XP_013595015.1, XP_013601499.1
OG0000014	XP_018487321.1	XP_013595642.1, XP_013639554.1
OG0000014	XP_018443681.1	XP_013594427.1
OG0000014	XP_018461000.1	XP_013613442.1, XP_013613790.1, XP_013608098.1, XP_013608075.1
OG0000015	XP_018454014.1	XP_013594359.1, XP_013624634.1, XP_013632449.1
OG0000015	XP_018458093.1, XP_018448688.1	XP_013624517.1
OG0000015	XP_018435929.1	XP_013607754.1, XP_013632959.1, XP_013639368.1
OG0000015	XP_018467773.1	XP_013617384.1
OG0000015	XP_018463612.1	XP_013615586.1
OG0000016	XP_018459795.1, XP_018459797.1, XP_018460985.1, XP_018479528.1, XP_018461947.1, XP_018443753.1, XP_018443752.1, XP_018436039.1, XP_018460155.1	XP_013594817.1
OG0000016	XP_018466545.1, XP_018464905.1, XP_018465409.1, XP_018443351.1	XP_013639478.1, XP_013601287.1, XP_013614061.1
OG0000016	XP_018467500.1	XP_013589181.1
OG0000016	XP_018463982.1	XP_013617545.1
OG0000016	XP_018459313.1	XP_013601273.1
OG0000016	XP_018473920.1	XP_013589195.1
OG0000016	XP_018473934.1, XP_018487853.1	XP_013588937.1, XP_013639541.1
OG0000018	XP_018467280.1	XP_013632952.1
OG0000018	XP_018448678.1	XP_013594978.1, XP_013632971.1, XP_013594680.1, XP_013589039.1, XP_013617837.1
OG0000018	XP_018458644.1, XP_018474819.1	XP_013602970.1
OG0000018	XP_018458866.1	XP_013639843.1
OG0000020	XP_018487868.1, XP_018435883.1	XP_013632401.1, XP_013624672.1, XP_013594657.1, XP_013601111.1, XP_013613669.1, XP_013589042.1
OG0000020	XP_018466125.1	XP_013626814.1
OG0000020	XP_018461261.1, XP_018467394.1, XP_018463332.1, XP_018458674.1	XP_013616921.1
OG0000020	XP_018479532.1	XP_013632844.1
OG0000020	XP_018473772.1	XP_013615448.1
OG0000020	XP_018476168.1	XP_013624951.1
OG0000020	XP_018461992.1, XP_018435266.1, XP_018436016.1	XP_013601120.1, XP_013617481.1, XP_013633218.1, XP_013633384.1
OG0000020	XP_018463663.1, XP_018481037.1	XP_013601147.1
OG0000020	XP_018464215.1	XP_013624224.1, XP_013591412.1
OG0000020	XP_018448670.1, XP_018448669.1	XP_013589099.1
OG0000020	XP_018460984.1, XP_018460983.1	XP_013624038.1, XP_013608147.1
OG0000020	XP_018463453.1	XP_013601210.1, XP_013617373.1
OG0000021	XP_018487788.1, XP_018463527.1, XP_018454070.1, XP_018459374.1, XP_018435524.1, XP_018442989.1	XP_013608093.1
OG0000021	XP_018473760.1, XP_018479172.1, XP_018473906.1	XP_013624295.1
OG0000021	XP_018489333.1, XP_018490274.1	XP_013632740.1, XP_013632330.1
OG0000021	XP_018469035.1	XP_013616795.1
OG0000021	XP_018479751.1	XP_013624037.1
OG0000021	XP_018477832.1	XP_013635359.1, XP_013624942.1, XP_013639781.1
OG0000021	XP_018465161.1	XP_013601073.1, XP_013632716.1, XP_013615260.1
OG0000021	XP_018458112.1, XP_018462856.1	XP_013639694.1
OG0000021	XP_018488201.1	XP_013616959.1
OG0000021	XP_018480047.1	XP_013633321.1, XP_013617328.1, XP_013633276.1
OG0000021	XP_018475052.1	XP_013592110.1
OG0000021	XP_018481163.1, XP_018464713.1, XP_018465008.1, XP_018457861.1, XP_018436132.1	XP_013607721.1
OG0000021	XP_018460936.1, XP_018487902.1	XP_013608306.1
OG0000021	XP_018454082.1, XP_018489964.1	XP_013594522.1
OG0000021	XP_018464618.1, XP_018461870.1, XP_018463351.1	XP_013608090.1
OG0000021	XP_018454009.1, XP_018435368.1, XP_018462063.1	XP_013608094.1
OG0000021	XP_018463883.1	XP_013632801.1
OG0000021	XP_018443708.1	XP_013599600.1
OG0000021	XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1	XP_013633047.1
OG0000021	XP_018463665.1, XP_018463095.1	XP_013613761.1
OG0000021	XP_018479103.1	XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1
OG0000021	XP_018435392.1	XP_013624628.1
OG0000022	XP_018467852.1	XP_013590021.1
OG0000022	XP_018446660.1	XP_013611057.1
OG0000022	XP_018456474.1	XP_013613247.1
OG0000022	XP_018452507.1	XP_013606456.1
OG0000022	XP_018456914.1, XP_018456330.1	XP_013606166.1
OG0000022	XP_018439379.1	XP_013601047.1
OG0000022	XP_018490861.1, XP_018490862.1	XP_013601836.1
OG0000022	XP_018439418.1, XP_018436026.1, XP_018438506.1, XP_018438505.1, XP_018435012.1	XP_013605059.1
OG0000022	XP_018491224.1, XP_018491225.1, XP_018485652.1	XP_013600826.1
OG0000022	XP_018440869.1	XP_013605038.1
OG0000022	XP_018451491.1	XP_013600508.1
OG0000022	XP_018438507.1, XP_018440496.1	XP_013601046.1, XP_013599992.1
OG0000022	XP_018493478.1, XP_018487942.1	XP_013603447.1
OG0000022	XP_018478989.1	XP_013635968.1
OG0000022	XP_018437843.1	XP_013609571.1
OG0000023	XP_018479707.1, XP_018435914.1	XP_013608330.1
OG0000023	XP_018458661.1, XP_018448717.1	XP_013639689.1
OG0000023	XP_018459050.1	XP_013615160.1
OG0000023	XP_018460988.1	XP_013594643.1
OG0000023	XP_018459711.1	XP_013589396.1, XP_013624598.1
OG0000023	XP_018462251.1	XP_013617401.1
OG0000023	XP_018459712.1, XP_018466264.1	XP_013589397.1, XP_013632474.1, XP_013617360.1, XP_013624559.1, XP_013624147.1
OG0000023	XP_018443761.1	XP_013630371.1
OG0000023	XP_018458687.1	XP_013607670.1, XP_013607828.1
OG0000023	XP_018435326.1, XP_018463391.1	XP_013608049.1
OG0000023	XP_018458912.1	XP_013632550.1
OG0000023	XP_018453504.1	XP_013613476.1, XP_013607705.1
OG0000023	XP_018435516.1	XP_013614920.1
OG0000023	XP_018435325.1	XP_013632806.1
OG0000023	XP_018462951.1	XP_013608082.1
OG0000023	XP_018463354.1	XP_013639693.1, XP_013614919.1, XP_013623215.1
OG0000023	XP_018480111.1	XP_013617060.1
OG0000024	XP_018485466.1, XP_018482596.1	XP_013597425.1
OG0000024	XP_018489860.1	XP_013589185.1
OG0000024	XP_018448249.1, XP_018448253.1, XP_018448250.1, XP_018448247.1, XP_018450273.1	XP_013627670.1
OG0000024	XP_018467712.1, XP_018467711.1	XP_013592438.1
OG0000024	XP_018436387.1	XP_013632478.1
OG0000024	XP_018487153.1	XP_013605203.1
OG0000024	XP_018448575.1, XP_018448576.1	XP_013624897.1
OG0000025	XP_018464148.1, XP_018488093.1, XP_018487713.1	XP_013594300.1
OG0000025	XP_018448846.1, XP_018464214.1, XP_018461822.1	XP_013624523.1, XP_013617280.1
OG0000025	XP_018487947.1	XP_013617956.1
OG0000025	XP_018448435.1, XP_018443587.1, XP_018483551.1, XP_018435597.1, XP_018465584.1, XP_018435430.1, XP_018465310.1, XP_018444655.1, XP_018453979.1	XP_013624743.1, XP_013624373.1, XP_013601470.1, XP_013608415.1
OG0000025	XP_018487730.1, XP_018458793.1, XP_018460661.1, XP_018464311.1	XP_013639630.1, XP_013617729.1, XP_013617322.1
OG0000025	XP_018458109.1	XP_013617843.1, XP_013607938.1
OG0000025	XP_018448668.1, XP_018443774.1	XP_013589098.1
OG0000025	XP_018436069.1	XP_013624803.1
OG0000025	XP_018453740.1, XP_018448718.1, XP_018463452.1	XP_013617279.1
OG0000025	XP_018435935.1	XP_013613890.1, XP_013615021.1, XP_013631055.1
OG0000025	XP_018448760.1	XP_013624796.1, XP_013608134.1, XP_013633125.1
OG0000025	XP_018471288.1	XP_013622540.1
OG0000025	XP_018462638.1	XP_013607923.1, XP_013617624.1, XP_013623937.1
OG0000025	XP_018443466.1	XP_013625401.1, XP_013633137.1, XP_013617519.1, XP_013589471.1
OG0000025	XP_018487867.1	XP_013624655.1, XP_013624950.1
OG0000025	XP_018463331.1	XP_013626805.1
OG0000025	XP_018480029.1, XP_018487802.1	XP_013632787.1, XP_013617500.1, XP_013633014.1, XP_013589304.1, XP_013589043.1, XP_013607489.1, XP_013601110.1
OG0000025	XP_018476186.1	XP_013630835.1, XP_013607866.1
OG0000025	XP_018475505.1, XP_018475511.1	XP_013633381.1, XP_013617480.1
OG0000025	XP_018479341.1	XP_013615038.1, XP_013639661.1
OG0000026	XP_018465470.1, XP_018487975.1, XP_018487976.1, XP_018448492.1	XP_013624845.1, XP_013617677.1, XP_013639735.1, XP_013614002.1, XP_013608308.1
OG0000027	XP_018472886.1, XP_018472884.1	XP_013623631.1
OG0000027	XP_018476504.1, XP_018476512.1, XP_018454315.1	XP_013608654.1
OG0000027	XP_018468520.1	XP_013598807.1
OG0000027	XP_018468514.1	XP_013598703.1
