Orthogroup	Raphanus_sativus	Rorippa_islandica
OG0000065	XP_018469866.1, XP_018469869.1	Roisl.0024s0071.1.p
OG0000065	XP_018442725.1	Roisl.0024s0082.1.p, Roisl.0024s0079.1.p
OG0000065	XP_018467421.1, XP_018461735.1	Roisl.0024s0076.1.p
OG0000065	XP_018461774.1	Roisl.0024s0070.1.p
OG0000065	XP_018483048.1, XP_018483050.1, XP_018464170.1	Roisl.0046s0037.1.p, Roisl.0046s0036.1.p, Roisl.0046s0034.1.p
OG0000065	XP_018479670.1	Roisl.0046s0029.1.p, Roisl.0046s0026.1.p
OG0000065	XP_018463906.1, XP_018458891.1, XP_018461818.1	Roisl.0046s0032.1.p
OG0000065	XP_018481866.1, XP_018462609.1, XP_018479313.1, XP_018464676.1, XP_018481217.1	Roisl.0213s0852.1.p
OG0000066	XP_018433979.1, XP_018456938.1, XP_018470662.1, XP_018439713.1, XP_018448989.1, XP_018445234.1, XP_018448990.1, XP_018470661.1, XP_018456939.1	Roisl.0210s0757.1.p, Roisl.0091s1203.1.p, Roisl.0024s0429.1.p, Roisl.0210s0756.1.p, Roisl.0024s0428.1.p
OG0000066	XP_018474475.1, XP_018468122.1, XP_018468121.1, XP_018447173.1, XP_018443026.1, XP_018450392.1, XP_018442730.1, XP_018474474.1	Roisl.0001s0457.1.p
OG0000067	XP_018448865.1	Roisl.0214s0162.1.p
OG0000067	XP_018467522.1	Roisl.0046s0696.1.p
OG0000068	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1	Roisl.0034s0163.1.p
OG0000069	XP_018458214.1, XP_018435567.1, XP_018479283.1, XP_018458190.1	Roisl.0209s0754.1.p, Roisl.0004s0031.1.p, Roisl.0209s0663.1.p, Roisl.0115s0002.1.p
OG0000069	XP_018467622.1	Roisl.0019s0342.1.p
OG0000069	XP_018475767.1, XP_018479965.1, XP_018479843.1	Roisl.0055s0038.1.p
OG0000070	XP_018439895.1, XP_018455246.1	Roisl.0021s0078.1.p, Roisl.0011s0203.1.p, Roisl.0011s0205.1.p
OG0000070	XP_018435343.1	Roisl.0007s0115.1.p
OG0000070	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1	Roisl.0004s0297.1.p
OG0000073	XP_018474076.1, XP_018443369.1, XP_018435645.1, XP_018466991.1, XP_018487884.1, XP_018487997.1, XP_018436409.1	Roisl.0045s0095.1.p, Roisl.0005s0073.1.p
OG0000073	XP_018460808.1, XP_018487855.1, XP_018460517.1	Roisl.0041s0046.1.p
OG0000073	XP_018479682.1	Roisl.0214s0170.1.p, Roisl.0039s0150.1.p, Roisl.0053s0105.1.p
OG0000074	XP_018477791.1, XP_018473819.1, XP_018479581.1	Roisl.0054s0034.1.p
OG0000075	XP_018467919.1, XP_018459482.1, XP_018471019.1, XP_018453598.1	Roisl.0214s0076.1.p
OG0000075	XP_018481197.1, XP_018459483.1	Roisl.0001s0515.1.p, Roisl.0002s0267.1.p, Roisl.0002s0266.1.p, Roisl.0001s0513.1.p
OG0000076	XP_018480217.1	Roisl.0115s0707.1.p
OG0000077	XP_018455183.1	Roisl.0012s0354.1.p
OG0000077	XP_018473635.1, XP_018473636.1, XP_018483784.1	Roisl.0005s0356.1.p, Roisl.0005s0357.1.p, Roisl.0005s0358.1.p, Roisl.0005s0330.1.p, Roisl.0213s0591.1.p, Roisl.0213s0589.1.p
OG0000077	XP_018438135.1	Roisl.0214s0808.1.p
OG0000077	XP_018435698.1	Roisl.0011s0232.1.p, Roisl.0011s0236.1.p, Roisl.0011s0227.1.p, Roisl.0011s0212.1.p, Roisl.0011s0224.1.p, Roisl.0011s0218.1.p
OG0000077	XP_018468968.1	Roisl.0214s0806.1.p
OG0000077	XP_018455896.1, XP_018472848.1	Roisl.0005s0364.1.p
