Orthogroup	Raphanus_sativus	Arabidopsis_lyrata_Rawat
OG0000028	XP_018474185.1, XP_018475245.1, XP_018465891.1, XP_018474187.1	AL8G29750, AL8G29760
OG0000028	XP_018475306.1, XP_018475278.1	AL8G30820, AL236U10020
OG0000028	XP_018474189.1, XP_018474190.1, XP_018466632.1, XP_018466593.1, XP_018466641.1, XP_018466603.1, XP_018469501.1, XP_018466579.1, XP_018466613.1, XP_018469209.1, XP_018469254.1, XP_018440554.1, XP_018440555.1, XP_018469276.1, XP_018469113.1, XP_018466902.1, XP_018466824.1, XP_018469469.1	AL8G29780
OG0000028	XP_018455496.1, XP_018454205.1	nbis-gene-2112, nbis-gene-2113
OG0000029	XP_018463125.1, XP_018463535.1, XP_018474042.1, XP_018453813.1, XP_018460266.1, XP_018463492.1, XP_018487478.1, XP_018460550.1, XP_018464271.1, XP_018465399.1, XP_018473758.1, XP_018463556.1	AL1G65750
OG0000029	XP_018477751.1, XP_018453628.1, XP_018438621.1	nbis-gene-1243
OG0000030	XP_018435466.1, XP_018464547.1, XP_018443694.1	AL3G33700, AL275U10020, AL3G33320, AL3G33690
OG0000030	XP_018481995.1, XP_018492454.1	AL3G33370
OG0000030	XP_018479424.1, XP_018466469.1, XP_018462013.1	AL1G39630, AL1G35700, AL1G40180, AL1G40160, AL1G40170, AL3G27510
OG0000030	XP_018453970.1	AL5G29320, AL5G29310, AL5G29340
OG0000030	XP_018488225.1	AL2G23050
OG0000030	XP_018435374.1, XP_018435377.1, XP_018435375.1, XP_018435378.1	AL3G24770
OG0000030	XP_018482202.1, XP_018471303.1, XP_018481495.1, XP_018480537.1, XP_018481681.1, XP_018479916.1	AL3G25930, AL3G25710, AL3G25690
OG0000031	XP_018462035.1, XP_018463620.1, XP_018467340.1, XP_018435482.1, XP_018443707.1, XP_018487726.1	AL6G36560
OG0000031	XP_018461346.1	AL3G43240
OG0000031	XP_018443765.1, XP_018474115.1, XP_018448786.1, XP_018479710.1, XP_018459816.1, XP_018465887.1, XP_018453952.1, XP_018466560.1, XP_018461533.1, XP_018453567.1, XP_018459998.1	AL1G41870
OG0000031	XP_018475205.1, XP_018458923.1, XP_018458922.1, XP_018435841.1, XP_018487910.1, XP_018460440.1, XP_018467136.1, XP_018487892.1, XP_018459206.1, XP_018487780.1, XP_018473845.1, XP_018435693.1, XP_018443503.1, XP_018488048.1, XP_018459566.1, XP_018462082.1, XP_018458803.1, XP_018458802.1, XP_018464385.1, XP_018463234.1, XP_018470686.1, XP_018474238.1, XP_018461195.1, XP_018454095.1, XP_018465810.1, XP_018436319.1, XP_018435367.1, XP_018464700.1, XP_018435915.1, XP_018453434.1, XP_018467690.1	AL5G21210
OG0000032	XP_018453806.1, XP_018465781.1, XP_018487698.1, XP_018487412.1	AL4G17980
OG0000032	XP_018461981.1	AL8G28430
OG0000034	XP_018483350.1, XP_018468503.1	AL7G30290
OG0000034	XP_018484117.1, XP_018484118.1	AL7G32680
OG0000034	XP_018448921.1, XP_018448031.1	AL7G30310, AL7G30350
OG0000035	XP_018460300.1, XP_018453765.1, XP_018464702.1, XP_018460797.1, XP_018464171.1, XP_018448429.1, XP_018448430.1, XP_018485080.1, XP_018460632.1	AL3G42660, AL4G33750, AL7G46520, AL6G43970
OG0000035	XP_018480985.1	AL7G52740, nbis-gene-1381, AL2G19330, AL4G18050, AL1G57000, AL6G38880, AL6G49460, AL782U10010, AL7G30300
OG0000038	XP_018450137.1, XP_018454140.1, XP_018467413.1, XP_018459367.1	AL2G17230, AL4G20860
OG0000038	XP_018480059.1	AL3G42270, AL1G47700, AL6G40850, AL2G24190, AL2G32540, AL3G37700, AL7G41350
OG0000038	XP_018435407.1	AL3G48900, AL9U10400, AL7G34140, AL7G50840, AL5G16610, AL8G26890, AL8G33470, AL6G34380, AL6G16840, AL7G52520, AL6G30230, AL3G51220
OG0000038	XP_018466084.1	AL9U11250, AL3G29600, AL1G64180
OG0000040	XP_018467584.1	AL2G11290, AL3G43050
OG0000040	XP_018460803.1, XP_018487809.1	AL1G59470, AL5G30010
OG0000040	XP_018436297.1, XP_018448764.1, XP_018454006.1	AL677U10010
OG0000040	XP_018443419.1	AL6G48140
OG0000041	XP_018479944.1, XP_018479945.1	AL1G48060
OG0000041	XP_018464686.1	AL4G11230
OG0000041	XP_018448715.1	AL6G41090
OG0000042	XP_018467507.1, XP_018433578.1, XP_018459378.1	AL1G54660
OG0000042	XP_018436185.1, XP_018436037.1, XP_018487653.1, XP_018436040.1, XP_018475164.1	AL8G14180
OG0000042	XP_018435669.1	AL1G42210
OG0000043	XP_018465687.1	AL6G41190, AL5G16300
OG0000043	XP_018460645.1, XP_018474025.1, XP_018435759.1	AL8G34940, AL1G48950, AL5G15500, AL7G45030, AL983U10010, AL9U11830
OG0000044	XP_018440461.1, XP_018440462.1	AL8G12190, AL8G11920
OG0000044	XP_018448890.1	AL8G18480
OG0000044	XP_018441634.1	AL8G11900
OG0000044	XP_018444272.1	AL3G20910, AL2G19370
OG0000046	XP_018472630.1	AL4G10770, AL5G16920, AL7G43910, AL3G42580
OG0000046	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1	AL6G43460, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL8G21960, AL3G43290, AL1G51180, AL4G17640, AL3G40680, AL1G60090, AL7G41120, AL6G41380, AL1G53510, AL4G20190, AL3G44690, AL6G40760
OG0000048	XP_018453414.1	AL2G14000, AL2G14020
OG0000049	XP_018479358.1	AL6G28120, AL3G49490
OG0000049	XP_018487786.1	AL6G39930
OG0000049	XP_018467582.1	AL5G16120, AL5G16140
OG0000049	XP_018473828.1	AL1G54600, AL7G49500, AL2G19430
OG0000049	XP_018479887.1	AL5G26070
OG0000049	XP_018453597.1	AL1G56420, AL5G15730, AL1G55420
OG0000049	XP_018479410.1, XP_018435505.1, XP_018463619.1	AL1G47310
OG0000049	XP_018435667.1	AL9U11060, AL5G25180, AL1G24730, AL1G48300, AL1G50060
OG0000050	XP_018462198.1	AL1G24220
OG0000050	XP_018487487.1	AL4G27890
OG0000051	XP_018493126.1	AL1G20340
OG0000051	XP_018435533.1, XP_018438374.1, XP_018463100.1, XP_018455750.1, XP_018463099.1	nbis-gene-988, AL2G11470, AL3G20080
OG0000051	XP_018473990.1, XP_018465828.1	AL4G40920, AL4G40910, AL2G15770, AL4G40930
OG0000052	XP_018479392.1, XP_018479394.1, XP_018479395.1, XP_018481202.1	AL5G15900
OG0000052	XP_018454118.1	AL1G65610
OG0000052	XP_018454062.1	AL8G17190
OG0000052	XP_018433197.1, XP_018454367.1, XP_018454366.1	AL5G31970
OG0000052	XP_018493248.1	AL5G28540
OG0000054	XP_018453724.1	AL2G17290
OG0000055	XP_018474315.1, XP_018475877.1, XP_018475876.1, XP_018460442.1, XP_018475208.1, XP_018448356.1, XP_018469080.1, XP_018460063.1	nbis-gene-725, AL3G41130
OG0000055	XP_018488227.1	AL3G38080
OG0000055	XP_018489800.1	AL4G21820, AL6G52510
OG0000055	XP_018435448.1, XP_018464098.1, XP_018440394.1	AL3G53160, AL3G53140
OG0000056	XP_018458632.1	AL2G14050
OG0000056	XP_018452289.1, XP_018452239.1, XP_018452238.1, XP_018454291.1	AL2G13900
OG0000056	XP_018456965.1, XP_018435121.1	AL5G26170
OG0000058	XP_018467931.1, XP_018487493.1	AL5G26550, AL920U10010
OG0000058	XP_018435571.1, XP_018462760.1, XP_018461876.1, XP_018457139.1	AL3G40670
OG0000059	XP_018438980.1	AL8G40920, AL7G34190, AL2G10380, AL1G59190
OG0000059	XP_018469270.1, XP_018438946.1, XP_018480125.1, XP_018490555.1	AL5G34630
OG0000061	XP_018469367.1, XP_018471384.1, XP_018467960.1, XP_018457588.1	AL1G54400
OG0000061	XP_018464627.1	nbis-gene-1510
OG0000061	XP_018482142.1	AL1G53180
OG0000061	XP_018467401.1	AL3G24690, AL1G35400, AL4G24650
OG0000062	XP_018453735.1	AL9U10060
OG0000062	XP_018479829.1, XP_018467054.1, XP_018453734.1, XP_018487794.1, XP_018458698.1	AL8G40700, AL8G15100
OG0000063	XP_018487874.1	AL7G44340, AL7G43200
OG0000064	XP_018459458.1, XP_018459460.1, XP_018459461.1, XP_018459459.1, XP_018458876.1, XP_018458874.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1	nbis-gene-343, nbis-gene-349, nbis-gene-344, nbis-gene-348, nbis-gene-347, nbis-gene-1421, AL2G18870, nbis-gene-342, nbis-gene-435, nbis-gene-439, nbis-gene-434, nbis-gene-1420, nbis-gene-436, nbis-gene-440, nbis-gene-437, nbis-gene-1419, nbis-gene-438, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023, nbis-gene-346, nbis-gene-345, nbis-gene-441
OG0000065	XP_018479670.1	AL7G52590
OG0000065	XP_018481866.1, XP_018462609.1, XP_018479313.1, XP_018464676.1, XP_018481217.1	AL7G51420
OG0000066	XP_018433979.1, XP_018456938.1, XP_018470662.1, XP_018439713.1, XP_018448989.1, XP_018445234.1, XP_018448990.1, XP_018470661.1, XP_018456939.1	AL6G20900, AL5G16700, AL1G66190, AL1G19680, AL6G20890
OG0000066	XP_018474475.1, XP_018468122.1, XP_018468121.1, XP_018447173.1, XP_018443026.1, XP_018450392.1, XP_018442730.1, XP_018474474.1	AL6G21580
OG0000067	XP_018448865.1	AL3G45170
OG0000068	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240
OG0000069	XP_018458214.1, XP_018435567.1, XP_018479283.1, XP_018458190.1	AL3G40410, AL8G35170, AL5G45620
OG0000069	XP_018467622.1	AL8G26350
OG0000069	XP_018475767.1, XP_018479965.1, XP_018479843.1	AL3G38360
OG0000070	XP_018439895.1, XP_018455246.1	AL1G20940, AL3G47920, AL5G12840, AL5G12830
OG0000070	XP_018435343.1	AL4G11370, AL1G32980, AL2G24470
OG0000070	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1	AL2G35960
OG0000070	XP_018475135.1	AL7G16760
OG0000072	XP_018458408.1	AL8G19360, AL8G19010
OG0000073	XP_018448749.1, XP_018436121.1	AL5G31050
OG0000074	XP_018473819.1	AL8G11830
OG0000075	XP_018467919.1, XP_018459482.1, XP_018471019.1, XP_018453598.1	AL8G23920
OG0000075	XP_018481197.1, XP_018459483.1	nbis-gene-1691
OG0000076	XP_018480217.1	AL7G10840
OG0000076	XP_018462841.1, XP_018475048.1, XP_018474599.1, XP_018474598.1, XP_018443200.1, XP_018443823.1, XP_018460203.1, XP_018473529.1, XP_018460207.1, XP_018460209.1, XP_018472945.1, XP_018460208.1, XP_018474714.1, XP_018473780.1, XP_018473779.1	AL3G53220
OG0000077	XP_018473635.1, XP_018473636.1, XP_018483784.1	AL8G13900, AL8G13920
OG0000077	XP_018435698.1	AL5G12960
OG0000077	XP_018468968.1	AL2G15700, nbis-gene-2073, AL8G20320
OG0000078	XP_018474944.1	AL6G29220, AL6G29120
OG0000078	XP_018468001.1, XP_018475082.1, XP_018467409.1, XP_018475059.1, XP_018475741.1, XP_018474955.1, XP_018475088.1, XP_018474996.1	AL6G29270, AL6G29210, AL6G29240, AL6G29180, AL6G29190
OG0000079	XP_018465529.1, XP_018466131.1, XP_018462783.1, XP_018480069.1, XP_018435592.1, XP_018448733.1, XP_018487595.1, XP_018474104.1, XP_018448192.1, XP_018462658.1, XP_018464512.1, XP_018487875.1, XP_018464755.1, XP_018435990.1, XP_018464130.1, XP_018448824.1, XP_018473838.1, XP_018454571.1, XP_018435964.1, XP_018467728.1, XP_018453714.1, XP_018453700.1, XP_018435546.1, XP_018444405.1, XP_018448694.1, XP_018448697.1, XP_018463788.1, XP_018443589.1, XP_018448758.1, XP_018465298.1, XP_018481702.1, XP_018448633.1, XP_018458820.1, XP_018435507.1, XP_018482195.1	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210
OG0000080	XP_018473795.1	nbis-gene-244
OG0000081	XP_018436245.1	AL2G21910
OG0000081	XP_018463440.1, XP_018467536.1, XP_018436146.1	AL1G31420, AL8G29100, AL8G26420, AL6G33330
OG0000083	XP_018461649.1	AL9U10620
OG0000086	XP_018481064.1	nbis-gene-1913, AL7G53060
OG0000086	XP_018444904.1	AL7G49470
OG0000086	XP_018456777.1, XP_018456775.1, XP_018475756.1	AL2G24590, AL2G24600
OG0000089	XP_018477697.1, XP_018484582.1	AL6G35120
OG0000089	XP_018492627.1, XP_018440532.1	AL8G39670
OG0000089	XP_018440871.1	AL4G24260
OG0000089	XP_018476501.1, XP_018446020.1	AL6G23060
OG0000089	XP_018439894.1, XP_018456689.1, XP_018457306.1, XP_018483831.1	AL8G15560
OG0000089	XP_018446239.1, XP_018463490.1	AL2G35770
OG0000091	XP_018482085.1, XP_018483277.1	AL5G23250
OG0000091	XP_018474898.1, XP_018446823.1	AL6G32010
OG0000091	XP_018440736.1	AL5G26370
OG0000091	XP_018476976.1	AL5G26840
OG0000091	XP_018436103.1	AL5G26860
OG0000092	XP_018453851.1	AL3G43310
OG0000092	XP_018455197.1	AL8G24810
OG0000095	XP_018478409.1, XP_018478874.1	AL4G18560
OG0000095	XP_018479774.1, XP_018464217.1, XP_018479773.1	AL4G18550
OG0000095	XP_018458821.1, XP_018482330.1	AL4G15530, nbis-gene-975, nbis-gene-1002, AL4G15600
OG0000095	XP_018436175.1	AL4G15550
OG0000096	XP_018466022.1	AL3G22030
OG0000096	XP_018467758.1	AL3G31590
OG0000097	XP_018436062.1, XP_018466577.1, XP_018487861.1, XP_018473792.1, XP_018458509.1, XP_018467581.1, XP_018473595.1	AL4G16170
OG0000097	XP_018435969.1, XP_018475691.1, XP_018466727.1	AL5G25560
OG0000098	XP_018443647.1, XP_018461538.1, XP_018467732.1	AL2G26330
OG0000098	XP_018477065.1	AL1G41020, AL1G41000, AL1G41010, AL1G40990, AL4G14170
OG0000098	XP_018482705.1	AL6G44880, AL6G37020, AL4G14150, AL6G37130
OG0000099	XP_018459221.1, XP_018474014.1, XP_018461080.1, XP_018453694.1, XP_018487738.1, XP_018448720.1, XP_018460560.1, XP_018466381.1, XP_018462980.1, XP_018458660.1, XP_018467078.1, XP_018461139.1, XP_018458918.1, XP_018435947.1, XP_018458963.1, XP_018479347.1, XP_018458590.1, XP_018476247.1, XP_018463284.1, XP_018463270.1, XP_018461123.1, XP_018473719.1, XP_018487845.1, XP_018479623.1, XP_018460939.1, XP_018476259.1, XP_018487801.1, XP_018443768.1, XP_018453692.1, XP_018443749.1, XP_018459794.1, XP_018459796.1	AL4G17790, AL4G17810
OG0000100	XP_018453997.1, XP_018453999.1	AL2G11210
OG0000100	XP_018454271.1, XP_018454261.1	AL2G11240
OG0000100	XP_018454733.1, XP_018453995.1	AL2G16740
OG0000100	XP_018455681.1	AL2G11390, AL2G11380
OG0000100	XP_018453994.1	AL2G11260
OG0000101	XP_018476055.1, XP_018479572.1, XP_018461557.1, XP_018479181.1, XP_018448389.1, XP_018465075.1, XP_018484396.1, XP_018484394.1, XP_018459100.1, XP_018456076.1, XP_018448626.1, XP_018479413.1, XP_018460740.1, XP_018453636.1, XP_018443713.1, XP_018453516.1	AL26U10050, AL3G41030
OG0000102	XP_018478798.1	AL6G49120
OG0000102	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1	AL9U10550, AL9U10540
OG0000102	XP_018473576.1	AL6G49140
OG0000102	XP_018451515.1, XP_018489433.1, XP_018486652.1, XP_018486669.1, XP_018474049.1	AL6G49050
OG0000103	XP_018460328.1, XP_018435808.1, XP_018436063.1, XP_018436064.1, XP_018460201.1	AL8G17400, AL1G30370, AL8G10040, AL265U10010
OG0000106	XP_018454225.1	AL5G27290, AL1G43970, nbis-gene-561
OG0000106	XP_018467032.1, XP_018479497.1, XP_018448376.1, XP_018474012.1, XP_018443565.1, XP_018454001.1	AL2G13830
OG0000106	XP_018491450.1, XP_018479267.1, XP_018458036.1, XP_018433530.1, XP_018448462.1, XP_018433853.1, XP_018436268.1, XP_018470067.1, XP_018448227.1, XP_018448228.1, XP_018439490.1, XP_018453762.1, XP_018483022.1, XP_018435770.1, XP_018482722.1	AL6G40690
OG0000107	XP_018489727.1, XP_018489629.1, XP_018488234.1, XP_018486234.1	AL3G33780
OG0000107	XP_018486571.1, XP_018467025.1	AL3G33770
OG0000107	XP_018440339.1, XP_018435080.1, XP_018436775.1	AL3G34900, AL3G33830, AL3G42780, nbis-gene-1853
OG0000108	XP_018476215.1, XP_018441209.1	AL4G34190, AL4G34130, AL5G34730
OG0000108	XP_018439577.1, XP_018439439.1, XP_018445204.1, XP_018476330.1, XP_018471220.1	AL6G20220
OG0000108	XP_018440679.1, XP_018492579.1	AL3G32160, AL1G56110
OG0000109	XP_018487761.1, XP_018481572.1, XP_018481855.1, XP_018464035.1, XP_018463274.1, XP_018448709.1, XP_018466706.1, XP_018454380.1, XP_018477453.1, XP_018459917.1	AL7G48370, AL4G13100, AL5G17500, AL8G26200, AL3G45860, AL1G49480, AL3G47220, AL5G17870, AL8G24560, AL7G45510, AL6G38840, AL6G52460, AL6G40590, AL1G47050, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL1G54140, AL2G22170, AL3G44280, AL7G53070, AL5G17840, AL7G34330, AL8G17600, AL170U10010, AL3G46660, AL8G20850, AL4G12360, AL5G10400, AL3G43610, AL4G17930, AL5G17970, AL9U10780
OG0000111	XP_018470802.1	AL5G18800
OG0000111	XP_018479437.1, XP_018436418.1, XP_018473888.1	AL2G34810
OG0000114	XP_018456273.1	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940
OG0000116	XP_018453807.1, XP_018465674.1, XP_018482519.1, XP_018474057.1, XP_018455509.1, XP_018463276.1, XP_018475460.1, XP_018459183.1, XP_018448437.1, XP_018462607.1, XP_018440840.1, XP_018470517.1	nbis-gene-997, AL1G35450, nbis-gene-1953, AL1G39460
