Orthogroup	Capsella_rubella	Cardamine_hirsuta
OG0000075	XP_023635518.1	CARHR247140
OG0000075	XP_023634488.1	CARHR247160
OG0000075	XP_023633364.1, XP_006281030.1, XP_006280653.1, XP_006281848.1	CARHR286190, CARHR286200, CARHR286160
OG0000075	XP_006282335.1, XP_023638987.1	CARHR105240
OG0000076	XP_023634774.1	CARHR247830
OG0000076	XP_006295567.2	CARHR127180
OG0000077	XP_006292566.2, XP_006292626.2	CARHR288740
OG0000077	XP_006300965.2	CARHR145630
OG0000077	XP_006292432.2	CARHR145650
OG0000077	XP_006292790.1, XP_006293218.1	CARHR145640
OG0000078	XP_006300074.1	CARHR077950
OG0000078	XP_006296650.2	CARHR077940
OG0000078	XP_006298992.1	CARHR077910
OG0000078	XP_006286674.1, XP_006289917.1	CARHR195040
OG0000078	XP_006289130.1, XP_006290038.2, XP_023636207.1, XP_006289391.1, XP_006286648.1, XP_006289998.1	CARHR194990, CARHR195030, CARHR195060, CARHR195010
OG0000079	XP_023644218.1, XP_023645325.1	CARHR151670, CARHR119610
OG0000081	XP_023638026.1, XP_023634808.1, XP_023641960.1	CARHR217030
OG0000081	XP_023634311.1	CARHR264280
OG0000086	XP_006291706.2	CARHR214810
OG0000086	XP_023633444.1	CARHR276580
OG0000086	XP_006284296.1	CARHR272990
OG0000086	XP_006284253.1, XP_006288380.2	CARHR214830
OG0000086	XP_006301558.1	CARHR214840
OG0000086	XP_006302255.2	CARHR058600
OG0000086	XP_023644279.1	CARHR058690
OG0000086	XP_023644252.1	CARHR058660, CARHR058640, CARHR058680
OG0000089	XP_006287738.1	CARHR189700
OG0000089	XP_006292748.1, XP_006291122.1	CARHR155480
OG0000089	XP_006294210.1	CARHR122890
OG0000089	XP_006289933.1	CARHR200860
OG0000089	XP_006281513.1	CARHR178800
OG0000089	XP_006283733.1	CARHR227450
OG0000089	XP_006307490.1	CARHR020480
OG0000089	XP_006302256.1	CARHR069200
OG0000091	XP_023636467.1	CARHR192340, CARHR192330
OG0000091	XP_023644362.1	CARHR262970
OG0000092	XP_023640340.1	CARHR180960, CARHR036310
OG0000092	XP_023642043.1	CARHR225750, CARHR035160, CARHR150890, CARHR286120, CARHR152920, CARHR180590, CARHR261190
OG0000092	XP_023633335.1	CARHR293270
OG0000095	XP_006295399.1	CARHR116960, CARHR117230, CARHR116990
OG0000095	XP_006295705.1, XP_006294284.1	CARHR116870
OG0000095	XP_006295555.1	CARHR117030
OG0000095	XP_006295595.1, XP_006295861.1	CARHR117860
OG0000096	XP_023640363.1, XP_006296370.1, XP_006296007.1	CARHR266870
OG0000096	XP_006301737.1	CARHR248580
OG0000096	XP_006297893.1, XP_006299978.1	CARHR093690
OG0000096	XP_006297929.1	CARHR094810, CARHR094850, CARHR094860, CARHR094840
OG0000098	XP_006292655.1	CARHR046250
OG0000098	XP_006305026.1	CARHR174970
OG0000100	XP_023641940.1	CARHR047460, CARHR047540
OG0000100	XP_023643498.1	CARHR047080
OG0000100	XP_006301098.2, XP_023643317.1, XP_023643319.1, XP_023643315.1	CARHR055030
OG0000100	XP_023642309.1	CARHR047730, CARHR047100
OG0000100	XP_023643246.1	CARHR047140
OG0000102	XP_006285555.2	CARHR252050
OG0000102	XP_023634256.1	CARHR252110, CARHR252090
OG0000102	XP_006289089.1	CARHR252060
OG0000102	XP_023633387.1	CARHR252130
OG0000105	XP_023639286.1	CARHR106060
OG0000105	XP_006284602.1, XP_006285182.1	CARHR288500
OG0000105	XP_023639256.1	CARHR215710
OG0000106	XP_023646042.1, XP_023644298.1	CARHR183910
OG0000106	XP_006301047.2, XP_023643263.1	CARHR055550
OG0000107	XP_006299861.1	CARHR095660
OG0000107	XP_006300030.1, XP_006297457.1	CARHR095650
OG0000107	XP_006289895.1	CARHR095690, CARHR095670
OG0000108	XP_006282193.1, XP_006291307.1	CARHR285740
OG0000108	XP_006297921.1	CARHR086670
OG0000108	XP_006287952.1	CARHR203590
OG0000108	XP_006297920.1	CARHR094190
OG0000110	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1	CARHR151660
OG0000111	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1, XP_006289226.1, XP_006289953.1, XP_006289914.1	CARHR148290
OG0000114	XP_006301152.1	CARHR258830, CARHR283860
OG0000114	XP_023640326.1	CARHR118270
OG0000117	XP_006304583.1	CARHR023950
OG0000117	XP_023644784.1, XP_006303494.2	CARHR024070
OG0000117	XP_023632781.1	CARHR024100
OG0000118	XP_006290039.1, XP_023640365.1	CARHR133050
OG0000118	XP_023634338.1	CARHR133070, CARHR133060
OG0000118	XP_023642688.1	CARHR099660
OG0000119	XP_023633433.1, XP_006280698.1	CARHR118700, CARHR273840
OG0000119	XP_023638901.1	CARHR059580, CARHR150110
OG0000119	XP_006296419.2, XP_006295986.2	CARHR114860
OG0000119	XP_006292836.2, XP_006292499.2, XP_023638877.1	CARHR256190, CARHR263010
OG0000119	XP_006291315.2	CARHR150080
OG0000119	XP_023638900.1	CARHR150140, CARHR143200, CARHR207890
OG0000119	XP_006293090.1, XP_023639195.1	CARHR150200
OG0000121	XP_023640327.1, XP_023634261.1	CARHR101000
OG0000121	XP_006305928.1, XP_023638089.1	CARHR114800
OG0000121	XP_023638959.1	CARHR054680, CARHR054690, CARHR181920, CARHR054110, CARHR100990, CARHR102670
OG0000122	XP_006281892.1	CARHR269740
OG0000122	XP_006281709.1	CARHR269920
OG0000122	XP_006306021.1	CARHR036540, CARHR031780
OG0000122	XP_023633504.1	CARHR269900
OG0000122	XP_023633528.1	CARHR036560, CARHR031790, CARHR031760, CARHR036530, CARHR269750
OG0000122	XP_023645912.1, XP_023633493.1	CARHR269730
OG0000122	XP_023633416.1	CARHR129080, CARHR031770, CARHR269910, CARHR269890, CARHR033520, CARHR033430, CARHR269930
OG0000124	XP_023635269.1	CARHR261370
OG0000125	XP_006296171.1	CARHR122240
OG0000125	XP_023645280.1	CARHR007350
OG0000125	XP_023645616.1	CARHR039100
OG0000125	XP_023645225.1, XP_006306741.1	CARHR041970
OG0000125	XP_006299926.1	CARHR097260
OG0000126	XP_023640354.1	CARHR103200
OG0000127	XP_006289049.1	CARHR190650
OG0000127	XP_006286660.1	CARHR210790
OG0000127	XP_006281264.1	CARHR273520
OG0000127	XP_006292010.1	CARHR154340, CARHR154390
OG0000128	XP_023639092.1	CARHR061850
OG0000128	XP_006291075.1	CARHR169630
OG0000128	XP_006291073.1	CARHR061840
OG0000128	XP_006290900.1	CARHR169580
OG0000128	XP_006291045.1	CARHR169600
OG0000129	XP_023644190.1	CARHR038520, CARHR038560, CARHR056630
OG0000129	XP_023644195.1	CARHR056680, CARHR056760, CARHR056690
OG0000129	XP_023645120.1, XP_023635333.1	CARHR275720, CARHR275710
OG0000129	XP_023640860.1, XP_023640089.1	CARHR120250, CARHR120240, CARHR120610
OG0000129	XP_023644193.1	CARHR038530, CARHR038540, CARHR056610
OG0000130	XP_006285982.2	CARHR038370, CARHR217450
OG0000132	XP_006291215.1	CARHR164880
OG0000132	XP_023637355.1	CARHR256230
OG0000132	XP_006283852.1, XP_023634364.1	CARHR214020
OG0000132	XP_023634360.1	CARHR214030, CARHR213990, CARHR214010
OG0000134	XP_023643303.1, XP_023643420.1	CARHR054550, CARHR054640, CARHR054580
OG0000134	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1, XP_006286802.2	CARHR202050
OG0000137	XP_006280761.2	CARHR268710
OG0000137	XP_006280742.1	CARHR268720
OG0000137	XP_023637930.1, XP_006281726.2	CARHR268700
OG0000137	XP_006281991.1	CARHR268690
OG0000137	XP_006281729.1	CARHR268680
OG0000138	XP_006293105.1	CARHR052000
OG0000138	XP_023639085.1	CARHR169360
OG0000138	XP_006292673.2	CARHR169320
OG0000138	XP_023639081.1	CARHR169390
OG0000141	XP_023644396.1	CARHR012600
OG0000141	XP_006306386.2	CARHR012590
OG0000141	XP_006301979.2	CARHR220960, CARHR049620, CARHR049360, CARHR049300
OG0000143	XP_023638853.1	CARHR287550
OG0000143	XP_023644225.1	CARHR181670, CARHR183500
OG0000148	XP_023634320.1, XP_006307735.2, XP_023632976.1, XP_023632977.1	CARHR037410
OG0000148	XP_023644303.1	CARHR040920
OG0000148	XP_023633110.1	CARHR037710, CARHR037720, CARHR037850
OG0000151	XP_006292174.1, XP_006279090.2	CARHR151000
OG0000151	XP_006290668.1	CARHR165130
OG0000151	XP_006292545.1	CARHR165120
OG0000151	XP_006295608.1	CARHR134140
OG0000151	XP_006292248.1	CARHR165110
OG0000151	XP_006290640.1	CARHR163410
OG0000151	XP_006295587.1	CARHR132240
OG0000151	XP_006287124.2	CARHR199860
OG0000153	XP_006294819.1	CARHR124170, CARHR124160
OG0000153	XP_023640128.1	CARHR122600, CARHR122610
OG0000153	XP_023639767.1, XP_023639968.1	CARHR122560
OG0000153	XP_023639879.1	CARHR007210, CARHR007190
OG0000153	XP_023639769.1	CARHR122550
OG0000154	XP_006306278.1	CARHR040870
OG0000154	XP_023644539.1	CARHR121480
OG0000154	XP_023633661.1	CARHR290670
OG0000154	XP_006303205.1	CARHR040880, CARHR041470
OG0000154	XP_023645184.1, XP_006306758.1	CARHR041490, CARHR040850
OG0000157	XP_006304647.1	CARHR144020
OG0000157	XP_023634266.1, XP_006304655.2	CARHR029970
OG0000157	XP_006306555.2	CARHR030250
OG0000158	XP_023635458.1	CARHR113640
OG0000158	XP_006285768.2	CARHR245230
OG0000160	XP_006296920.1	CARHR109500
OG0000160	XP_006282542.1	CARHR238090
OG0000160	XP_006282289.1	CARHR271150
OG0000160	XP_006279406.1	CARHR104060
OG0000160	XP_006279360.1	CARHR153650
OG0000160	XP_023643729.1	CARHR073860
OG0000160	XP_006293643.2	CARHR117520
OG0000161	XP_023634397.1	CARHR059960, CARHR284490
OG0000162	XP_006292602.1	CARHR162850
OG0000162	XP_006296229.1	CARHR127170
OG0000162	XP_006292794.1	CARHR145900
OG0000162	XP_006299665.1	CARHR102810, CARHR103310
OG0000162	XP_006295600.1, XP_006296378.1	CARHR127190
OG0000165	XP_006284720.1	CARHR085710, CARHR085700, CARHR085180
OG0000165	XP_006285197.1, XP_006298795.1, XP_006292031.1, XP_006282755.1, XP_006296672.1, XP_006298803.1, XP_006295221.1, XP_006298802.1, XP_006298799.1, XP_006288874.1, XP_006284739.1, XP_006284738.1, XP_006284744.1, XP_006300570.1, XP_023633899.1	CARHR057950
OG0000166	XP_023640242.1	CARHR115420
OG0000167	XP_006299157.1, XP_023642627.1	CARHR097030
OG0000169	XP_023642400.1	CARHR041580, CARHR040020, CARHR042890, CARHR042510, CARHR043190, CARHR260050
OG0000169	XP_006304855.1, XP_023637223.1, XP_023638076.1, XP_006299871.1, XP_006299319.1	CARHR042900, CARHR041590, CARHR042520, CARHR043200, CARHR263740, CARHR037920
OG0000169	XP_023644508.1, XP_023644509.1	CARHR219990
OG0000170	XP_023640533.1	CARHR140800
OG0000170	XP_006293280.2	CARHR171350
OG0000170	XP_023641004.1	CARHR140750
OG0000170	XP_023640714.1	CARHR186310, CARHR140760
OG0000170	XP_023639945.1	CARHR140780, CARHR140790, CARHR140740
OG0000170	XP_023640606.1, XP_023640163.1	CARHR140730
OG0000171	XP_006281266.1	CARHR266340
OG0000171	XP_006284706.1	CARHR046700
OG0000171	XP_006298751.1	CARHR107000
OG0000171	XP_006281239.2	CARHR269520
OG0000171	XP_023641832.1	CARHR083000
OG0000171	XP_006298742.1	CARHR082990
OG0000171	XP_006284700.1	CARHR235660
OG0000173	XP_006284898.2, XP_023644326.1	CARHR246590
OG0000173	XP_023641239.1	CARHR100900
OG0000173	XP_006289268.1	CARHR246290, CARHR146050
OG0000174	XP_023639187.1, XP_023634312.1, XP_023640329.1, XP_023644479.1, XP_006281259.1	CARHR115250
OG0000175	XP_006305640.2	CARHR010800
OG0000175	XP_023635842.1	CARHR198650
OG0000176	XP_006293700.1, XP_006293701.1, XP_023639559.1, XP_006295969.1	CARHR118040
OG0000176	XP_023644310.1	CARHR176300
OG0000177	XP_006306853.1	CARHR256500, CARHR181980
OG0000178	XP_006289433.1	CARHR253020
OG0000178	XP_006286464.1	CARHR250370
OG0000178	XP_006286371.1	CARHR250360
OG0000178	XP_006289092.1, XP_006289348.1, XP_023635846.1, XP_006287233.1	CARHR252970, CARHR263930
OG0000178	XP_023635847.1, XP_006289234.1, XP_006286467.1	CARHR252960
OG0000179	XP_023643817.1	CARHR284070
OG0000179	XP_006300788.1	CARHR283730
OG0000179	XP_023643268.1	CARHR053540
OG0000179	XP_006300705.1	CARHR053290, CARHR283710, CARHR053930
OG0000179	XP_006300699.2	CARHR058170
OG0000183	XP_006302967.1, XP_006284698.1	CARHR215030, CARHR058380
OG0000183	XP_006294957.1	CARHR119300
OG0000184	XP_006299261.1	CARHR103600
OG0000184	XP_023641352.1	CARHR097890
OG0000184	XP_023641851.1	CARHR097900
OG0000185	XP_006305431.1	CARHR087540, CARHR087530
OG0000185	XP_023645963.1, XP_006305370.1	CARHR028040
OG0000186	XP_006282024.1	CARHR269100
OG0000186	XP_006292502.1	CARHR145120
OG0000186	XP_006303240.1, XP_006293848.1	CARHR113370
OG0000186	XP_023632799.1	CARHR050630
OG0000187	XP_006296499.1	CARHR112670, CARHR112680
OG0000187	XP_006304517.1	CARHR020040
OG0000188	XP_006289243.1, XP_006289137.1, XP_006286705.1	CARHR201470
OG0000189	XP_006293293.1	CARHR160880
OG0000189	XP_023633909.1	CARHR244350
OG0000189	XP_006296623.1	CARHR108220
OG0000189	XP_006302850.1	CARHR069390
OG0000189	XP_006305647.1	CARHR020570
OG0000192	XP_006303793.1	CARHR014030
OG0000193	XP_006299089.1, XP_006300124.1, XP_006299335.1, XP_006300121.1, XP_006299527.1, XP_023642703.1	CARHR091790
OG0000193	XP_006304962.1	CARHR036380, CARHR036970
OG0000193	XP_023633071.1, XP_023632600.1	CARHR031880
OG0000195	XP_006299848.1	CARHR175680, CARHR155390, CARHR110710, CARHR110090
OG0000195	XP_006287222.1	CARHR191180
OG0000195	XP_006281429.1	CARHR273570
OG0000195	XP_023644268.1, XP_006301244.1	CARHR273530, CARHR273550, CARHR273540
OG0000196	XP_023635062.1	CARHR272920
OG0000197	XP_023635153.1, XP_023644224.1	CARHR215070, CARHR051370
OG0000197	XP_006282799.2	CARHR215060, CARHR215050, CARHR215370
OG0000197	XP_006285566.1	CARHR226280, CARHR226370
OG0000198	XP_006291995.1	CARHR144080
OG0000198	XP_006305966.2	CARHR015470
OG0000198	XP_006306087.1	CARHR015480
OG0000198	XP_006291997.1, XP_023638678.1, XP_006291999.1, XP_023638990.1	CARHR147290
OG0000199	XP_006304151.2, XP_006303339.1, XP_006304149.1	CARHR063270, CARHR063300, CARHR163030, CARHR063260, CARHR063690, CARHR063700, CARHR263650
OG0000199	XP_006293511.1	CARHR251110, CARHR215270
OG0000199	XP_006294905.1	CARHR237670
OG0000200	XP_023641964.1	CARHR110490
OG0000200	XP_006305145.1	CARHR028750, CARHR037140
OG0000200	XP_006305143.1	CARHR037150
OG0000203	XP_006292197.1	CARHR168640
OG0000203	XP_006293093.1	CARHR168590, CARHR259860
OG0000203	XP_006292664.2	CARHR168740
OG0000203	XP_023638587.1	CARHR168690
OG0000205	XP_023644466.1, XP_023644460.1, XP_023634071.1, XP_023641994.1, XP_023636047.1, XP_023644478.1, XP_023634282.1, XP_023644465.1, XP_023640333.1, XP_023645651.1, XP_023634063.1, XP_023634058.1, XP_023636043.1	CARHR286250
OG0000208	XP_023632621.1	CARHR057780, CARHR183230
OG0000209	XP_006287874.1, XP_006296766.1	CARHR202500
OG0000210	XP_006294103.1	CARHR140170
OG0000210	XP_006302230.1	CARHR057970
OG0000210	XP_023644267.1	CARHR057980
OG0000210	XP_006292318.1	CARHR170850
OG0000215	XP_006296786.1	CARHR055980, CARHR108830
OG0000216	XP_023636119.1, XP_023635737.1	CARHR253820, CARHR253860, CARHR253850
OG0000216	XP_023637283.1	CARHR253870
OG0000216	XP_023635820.1	CARHR253840
OG0000216	XP_006302421.1	CARHR054340
OG0000216	XP_006292358.1	CARHR166590
OG0000219	XP_023634346.1	CARHR065380
OG0000225	XP_006300476.1	CARHR201930, CARHR072280
OG0000226	XP_006285264.2	CARHR058450
OG0000226	XP_023641923.1	CARHR029480
OG0000226	XP_023633599.1, XP_023643982.1	CARHR176630
OG0000226	XP_023635990.1	CARHR256020
OG0000227	XP_006296962.1	CARHR080100
OG0000227	XP_006286443.2	CARHR039350
OG0000227	XP_006296914.1	CARHR105540
OG0000229	XP_006289451.2, XP_023644307.1, XP_006282853.2, XP_006286342.2	CARHR062190
OG0000229	XP_006290232.2, XP_006281727.1, XP_006279442.1, XP_006304782.2	CARHR004570
OG0000230	XP_006292365.1	CARHR186450, CARHR286030
OG0000232	XP_023636098.1	CARHR122740
OG0000232	XP_023638057.1	CARHR110940
OG0000233	XP_006290020.1	CARHR205610
OG0000233	XP_006286767.1	CARHR205600, CARHR205590, CARHR205580
OG0000234	XP_023639230.1, XP_006295841.1	CARHR095200
OG0000234	XP_023636750.1, XP_023644543.1, XP_006305075.2	CARHR100580, CARHR100650, CARHR100570
OG0000235	XP_006284259.1, XP_023634339.1	CARHR170750
OG0000236	XP_023644265.1	CARHR102640
OG0000236	XP_023644184.1	CARHR062620
OG0000236	XP_006289606.1	CARHR260580
OG0000237	XP_023641253.1, XP_006299438.1, XP_006299488.1, XP_006289972.1, XP_006289053.1, XP_006290121.1, XP_006286744.1	CARHR099050
OG0000237	XP_006296746.1	CARHR098530
OG0000237	XP_006297875.1	CARHR238210, CARHR097380
OG0000238	XP_023644384.1	CARHR064110
OG0000238	XP_006301818.1	CARHR064140
OG0000238	XP_006289231.1	CARHR185670
OG0000238	XP_006302942.1	CARHR064120
OG0000241	XP_006284545.1	CARHR228610
OG0000241	XP_006289916.1	CARHR252730
OG0000241	XP_006289215.1	CARHR107520
OG0000242	XP_006298183.1	CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520
OG0000242	XP_006279117.1, XP_006286819.1, XP_006286567.1	CARHR175670
OG0000243	XP_006305764.1, XP_006304484.1	CARHR028760
OG0000243	XP_006305771.1	CARHR028830
OG0000243	XP_023632576.1, XP_006305710.2, XP_006304552.1	CARHR028880, CARHR028810
OG0000244	XP_006286805.1, XP_006290182.1	CARHR251320, CARHR252330, CARHR252290
OG0000244	XP_023636139.1, XP_006286807.1	CARHR251330
OG0000246	XP_006294087.1, XP_006294083.1	CARHR131170, CARHR131180
OG0000246	XP_006296366.1	CARHR131110
OG0000246	XP_006294067.1, XP_006293528.1	CARHR131140, CARHR131130, CARHR131150, CARHR131160
OG0000247	XP_006285568.2	CARHR291820, CARHR217360
OG0000247	XP_006279047.1	CARHR263700
OG0000247	XP_006300085.1	CARHR101580, CARHR101880, CARHR101530
OG0000248	XP_006301801.2	CARHR063130
OG0000248	XP_006284516.1	CARHR263070
