Orthogroup	Capsella_rubella	Cochlearia_excelsa
OG0000008	XP_023644475.1, XP_023640337.1, XP_023633664.1, XP_023642844.1, XP_006279329.2, XP_006300347.2, XP_023644459.1, XP_006304508.2, XP_023634290.1	g36094, g12608, g25554, g19408
OG0000008	XP_006282156.2	g27995
OG0000008	XP_023641902.1	g37068, g26784, g43729
OG0000008	XP_023633352.1	g4392, g11343, g33123
OG0000008	XP_023633344.1	g39484, g13991
OG0000009	XP_023639614.1, XP_023644435.1, XP_023644436.1	g35969
OG0000009	XP_023640352.1	g11275, g53238, g41488, g4401, g4394, g44957
OG0000011	XP_023638113.1, XP_023633028.1	g6794, g51199, g2482, g2714, g11450, g46138, g50714
OG0000011	XP_023644226.1	g18071, g2721, g42559, g4725, g47538
OG0000011	XP_023641372.1	g41576
OG0000011	XP_023643301.1, XP_023638031.1	g16517, g46209, g52302, g50725, g9756, g40322, g40680, g46208, g46628, g28265, g45606, g286, g36844, g27603
OG0000011	XP_023641182.1, XP_006288329.2	g450, g26627, g32634
OG0000014	XP_023644214.1	g3040, g14220, g34324, g32793, g24981, g53174
OG0000014	XP_023639612.1	g2094
OG0000014	XP_023638462.1, XP_023634279.1	g36351, g14316, g41825, g44037, g25611, g18847, g24842, g45989, g27951, g4696, g41767, g15819, g19859, g30542, g32573, g14586, g26651, g3784, g17508, g35072, g19854, g17344, g52328, g4565, g8823, g18001, g43148, g43743, g53295, g42951, g48054, g53564, g43041, g19840
OG0000015	XP_023644452.1	g36461, g634, g23355
OG0000015	XP_023638902.1	g43580, g47633, g11559, g47481, g16302
OG0000015	XP_023636914.1	g6105, g38798, g8683, g11560
OG0000015	XP_023638085.1	g12631
OG0000016	XP_023634145.1	g15828, g15815, g15878
OG0000016	XP_023639630.1	g26416, g24990
OG0000018	XP_023639601.1	g16177, g16042, g30020, g19811, g42269, g33163, g35707, g33621, g38595, g9170, g39203, g9232, g30079, g20922, g8680, g43303, g22450, g49080, g20884, g34255, g30334, g35739, g35715, g3557, g3800, g1406, g1731, g34303, g45124, g36592, g30241, g22178, g22177, g42074, g15587, g26133, g49000, g33242, g48916, g46455, g52653, g21880, g41722, g34939, g34229, g43876, g53716, g41538, g11427, g38783, g34799, g53178, g33713, g49263, g42960, g3085, g25310, g15011, g49060, g36788, g19945, g48662, g52301, g25141, g34307, g4841, g34516, g15876, g22231, g15499, g33620, g26661, g14696, g4267, g52726, g11575, g52999, g34386, g16152, g4546, g5989, g35625, g4708, g34558, g15594, g14708, g22069, g36940, g30064, g35434, g42919, g3581, g32708, g43865, g34852, g53011, g52932, g20839, g24984
OG0000018	XP_023641956.1	g35494, g53447, g42604
OG0000020	XP_006279199.1	g32689, g14805
OG0000020	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1	g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003, g43352, g14036, g52007, g15607, g14750, g7898, g33120, g4343, g3057, g52970, g51052, g47797, g32655, g44074, g50650, g43479, g2953, g41998, g23595, g2979, g33121, g41997, g6214, g3359, g14581
OG0000020	XP_023638851.1, XP_023638850.1	g4190, g3679, g33003
OG0000021	XP_023634149.1, XP_023640318.1, XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1, XP_023645856.1, XP_023634319.1	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331
OG0000021	XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1	g33125, g14567, g25750
OG0000022	XP_006283550.1	g17118
OG0000022	XP_023636761.1	g5030
OG0000022	XP_006301297.1	g40881, g40949, g40951, g40859, g40857, g6403, g40794
OG0000022	XP_006301194.2, XP_006300860.1, XP_006302102.1	g40889
OG0000022	XP_006301814.1	g40888
OG0000022	XP_023643559.1	g40751
OG0000022	XP_006302132.1	g40752
OG0000022	XP_023635463.1, XP_006297483.1	g13269
OG0000023	XP_023633772.1	g53561, g9298
OG0000023	XP_023636237.1	g44912, g15122
OG0000024	XP_023633004.1, XP_023639207.1	g2269
OG0000025	XP_023636962.1	g17280, g46637, g25246, g50791
OG0000025	XP_023633701.1, XP_023644236.1	g4347, g33392, g34282, g46330, g15615, g19145, g14034, g6168, g23908, g35673, g4585
OG0000025	XP_023641784.1	g14806, g32688
OG0000027	XP_006287218.1	g25723
OG0000027	XP_023635866.1	g25717, g25713, g48941, g48949
OG0000027	XP_006287240.1	g25720
OG0000030	XP_006303634.1, XP_023632886.1, XP_023632793.1	g38367, g38376, g38372, g38380
OG0000030	XP_006293126.1	g13799, g13797
OG0000030	XP_006305030.1, XP_006299109.2	g44631
OG0000031	XP_023635342.1	g39351, g7244, g17718, g41293
OG0000032	XP_023634318.1	g29531
OG0000032	XP_023632591.1	g49592, g25930, g51375
OG0000034	XP_006283285.1	g23911
OG0000034	XP_023634856.1	g24014
OG0000034	XP_023637378.1	g50699
OG0000040	XP_023644222.1, XP_023644534.1, XP_023640572.1, XP_023639239.1, XP_023634852.1	g28310, g1466, g41711, g22786
OG0000042	XP_023634283.1	g8825, g41465, g35926, g44522, g52187, g7355, g38829, g20859, g48552, g53555, g47921, g40103, g31187, g8527, g6175, g31170, g43790, g5736, g43774, g44909, g43791, g14857, g33113, g50559, g3768
OG0000042	XP_023644481.1	g6340, g16111, g37181
OG0000043	XP_023644208.1	g1398, g32975
OG0000043	XP_023639459.1	g7846, g12262, g36270
OG0000043	XP_006299187.2	g34290, g36380, g26266, g6284, g36271, g16303, g14499, g52886, g31367, g38501, g7845, g6015, g50701, g47671, g49147, g45898, g27089, g2884, g36624, g31230, g25655, g25290, g45657, g41011, g7365, g27084, g45147, g53496, g52677, g41215, g12586, g49668, g44739, g51696, g43133, g54203, g37825, g2882, g36623, g36921, g23517, g17259, g53258, g12603, g48335, g32580, g17864, g11388, g16325, g50585, g18242
OG0000043	XP_006304881.2	g35546, g43537, g43528, g43532
OG0000044	XP_023636248.1, XP_023634969.1, XP_023636310.1, XP_006282434.2, XP_006296267.1, XP_023635630.1	g28154
OG0000046	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1	g26196, g11589
OG0000048	XP_023641959.1	g51286
OG0000048	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2	g29294, g52069, g52073, g52064
OG0000050	XP_006299955.2	g44060, g31395, g44252, g3
OG0000050	XP_023643276.1	g182
OG0000051	XP_023640424.1	g53934, g37450
OG0000052	XP_023638292.1	g1602, g3195
OG0000052	XP_023638056.1, XP_023639204.1	g10535
OG0000052	XP_006291114.1, XP_006291129.1	g19225
OG0000052	XP_006291090.1	g2410
OG0000054	XP_023640334.1	g25225, g3036
OG0000054	XP_023633331.1	g34524, g34533, g30257
OG0000054	XP_023634647.1	g14337, g24011
OG0000055	XP_006299228.1, XP_006300113.1	g27361
OG0000055	XP_023641570.1	g700
OG0000055	XP_006286657.2	g50182, g50184, g50186
OG0000056	XP_023643438.1	g40991, g44205
OG0000056	XP_006292456.1	g44206, g40901
OG0000059	XP_023633548.1, XP_023644244.1, XP_023634277.1	g1329
OG0000060	XP_023638361.1, XP_006292099.1, XP_006295294.1, XP_006303455.1, XP_006292098.1, XP_006279505.1, XP_006303457.1	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647
OG0000061	XP_006286287.2	g23668
OG0000061	XP_023633781.1	g13471
OG0000061	XP_023640829.1	g23667
OG0000062	XP_023634169.1	g44326, g2819, g44187
OG0000065	XP_023644442.1	g46719
OG0000065	XP_006279179.2	g44951
OG0000065	XP_023643067.1	g18042
OG0000065	XP_006286236.1	g46717
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	g31166, g49660, g5416, g9719, g156, g29501, g45535
OG0000066	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1	g5393
OG0000067	XP_023634337.1	g12885, g12881, g7910, g3384, g17624, g3851
OG0000067	XP_023645924.1	g3852, g51126, g3385, g51838
OG0000068	XP_006289028.2, XP_006289556.2, XP_023637280.1, XP_023642606.1, XP_023633398.1, XP_006289558.2, XP_023637635.1, XP_006286541.1	g27956, g25385, g25390, g46783
OG0000069	XP_023642292.1	g13531
OG0000070	XP_006305612.2, XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1	g10675
OG0000070	XP_006304273.1	g50123
OG0000070	XP_006302938.1	g46242
OG0000070	XP_023637791.1	g44417
OG0000073	XP_023644828.1	g36963, g43389, g14644, g41342
OG0000073	XP_023644313.1	g37235, g35439
OG0000074	XP_023641911.1	g25623, g25627, g44201, g37854
OG0000074	XP_023638088.1	g14332, g15956, g53053, g36000
OG0000074	XP_023634274.1, XP_023636038.1	g43483, g50927, g53476, g50930, g43482
OG0000074	XP_023636039.1	g48940, g1489, g14333, g35046, g17909, g17916, g44092, g34969
OG0000075	XP_006283916.1, XP_023635518.1	g25975, g22716
OG0000077	XP_006281971.1	g18473
OG0000077	XP_006280897.2	g18408
OG0000077	XP_023643297.1, XP_006290453.2, XP_023638028.1, XP_006292755.1, XP_006292566.2, XP_006292626.2, XP_006300965.2, XP_006290374.2, XP_023638325.1, XP_006292432.2, XP_006292790.1, XP_006293218.1	g1538, g1535
OG0000078	XP_006300074.1, XP_006296650.2, XP_006298876.1, XP_006298992.1, XP_006300092.1	g4945
OG0000079	XP_023644218.1, XP_023645325.1	g53126
OG0000081	XP_023638026.1, XP_023634808.1, XP_023641960.1	g45295, g49162, g32135, g50796, g11094, g25177
OG0000081	XP_023634311.1	g33350, g4665
OG0000082	XP_023642613.1	g20916, g29940, g10536, g16647, g54167
OG0000083	XP_023633452.1	g53464, g40253, g35242, g42933, g26028, g6325, g52570, g26019, g25832
OG0000086	XP_006285515.2, XP_006291706.2	g14687
OG0000086	XP_006284296.1	g25067, g25040
OG0000087	XP_023639065.1	g25531, g5305, g31776, g34341, g34346, g18288, g34545, g23636, g36497, g41668, g45060, g40100, g5122, g17501, g13963, g51935, g36251, g29771, g17477, g6514, g14241, g10640, g16978, g43097, g32177, g27557, g38233, g53944, g42634, g39612, g42940, g46881, g31065, g35089, g35075, g36355, g33056, g25309, g43203, g4616, g26839, g41296, g71, g11439, g12189, g22226, g3549, g30028, g30018, g42206, g44815, g38027, g41939, g45175, g40505, g3169, g54026, g36849, g32957, g32928, g3161, g13977, g29018, g22547, g42763, g51030, g4939, g47721, g41763, g36977, g42193, g39820, g32406, g17136, g36901, g35331, g25914, g51512, g25963, g25958, g52585, g41102, g35197, g51567, g35012, g43391, g25325, g52887, g2537, g31593, g50803, g27387, g25088, g53103, g25678, g53930, g48210, g34224, g16248, g30140, g11809, g42743, g4615, g36408, g23455, g54025, g34228, g36858, g54046, g25601, g24517, g1968, g24112, g42097, g41297, g51566, g70, g43652, g24113, g3086, g31979, g17773, g41731, g43491, g16487, g46292, g42226, g42241, g42207, g38441, g18608, g14079, g48508, g20088, g37556, g25306, g26840, g35076, g35090, g3215, g53835, g36272, g52913, g10247, g5096, g23412, g53102, g25962, g25957, g53418, g4285, g41471, g53645, g35023, g11668, g53101, g2536, g39580, g26705, g36856, g2535, g36902, g17231, g23456, g2970, g32981, g43655, g35347, g16116, g29019, g45059, g39581, g27558, g28838, g10639, g36499, g13962, g42759, g47720, g22548, g41938, g26174, g24518, g14083, g43223, g35198, g5307, g41669, g32178, g34547, g25530, g17500, g31777, g42941, g30019, g3548, g30029, g25913, g31980, g51511, g41298, g36857, g54045, g24111, g35091, g35077, g35332, g3574
OG0000089	XP_006287738.1	g9991
OG0000089	XP_006292748.1, XP_006291122.1	g339, g2817, g9845
OG0000089	XP_006289933.1	g5316
OG0000089	XP_006281513.1	g11055, g40485
OG0000089	XP_006283733.1	g24042
OG0000089	XP_006307490.1, XP_006302256.1	g46232
OG0000091	XP_023637739.1	g46886
OG0000091	XP_023636467.1	g28934, g28933
OG0000092	XP_023642043.1	g31108, g53648, g33297, g45424, g50000, g18063, g14574, g2109, g39323, g26668, g53726, g17664, g37838, g27054, g1402, g24886
OG0000092	XP_023633335.1	g26535
OG0000092	XP_023641904.1	g4808
OG0000093	XP_023634031.1	g21856, g15741, g53329, g26523, g42220, g53332, g26517, g42695, g10757, g9233, g42631, g21802, g9259, g30564, g42428, g5163, g34189, g20625, g20779, g9391, g20129, g21973, g20281, g8409, g34077, g8369, g42593, g21727, g8837, g8297, g2229, g33971, g34164, g9390, g42694, g38601, g39198, g21929, g10758, g8350, g42403, g20263, g34058, g33922, g20710, g34049, g21974, g42616, g42610, g34098, g34026, g34055, g21946, g22122, g47146, g34151, g8291, g42429, g16006, g20268, g34124, g20590, g25110, g20624, g20736, g30077, g49007, g20764, g34089, g33888, g20744, g33869, g5164, g37456, g34076, g22071, g21932, g38882, g27384, g37455, g34048, g34075, g39207, g33972, g21728, g21886, g21031, g8534, g30628, g52667, g9188, g50770, g8836, g30127, g26340, g21966, g53700, g33375, g52462, g30492, g8588, g49265, g33592, g8006, g52666, g19248, g19887, g9370, g39178, g38652, g25129, g21451, g8835, g42609, g8415, g53728, g42359, g30596, g20591, g34125, g42402, g38584, g21322, g8365, g19875, g30573, g30133, g33687, g20108, g20953, g8299, g8328, g42295, g20267, g22036, g20078, g20130, g3561, g30606, g38912, g8298, g22060, g21936, g38740, g38849, g20641, g20778, g20547, g8327, g34016, g22037, g25154, g20952, g21895, g8622, g26401, g53701, g19874, g39138, g38577, g30574, g30170, g24942, g20748, g4657, g22048, g39047, g38877, g30168, g8319, g34908, g49209, g42379, g48386, g4282, g42624, g26524, g22070, g9157, g8930, g34190, g21321, g33688, g19833, g21030, g9234, g20421, g42452, g42408, g53333, g26518, g48416, g22020, g20746, g38583, g30557, g22058, g38630, g42407, g21996, g20712, g20645, g20077, g24894, g8364, g21330, g22072, g30181, g38881, g30126, g42427, g19670, g34097, g34170, g21930, g8000
OG0000095	XP_006294389.1, XP_006295399.1, XP_006295705.1, XP_006294284.1, XP_006295555.1, XP_006294228.1, XP_006294375.1, XP_006294370.2, XP_006294323.1, XP_006296376.2, XP_006295595.1, XP_006295861.1	g51024
OG0000098	XP_023641898.1, XP_006297881.1	g11756
OG0000100	XP_023641940.1	g13564
OG0000100	XP_023642309.1	g13563
OG0000102	XP_006285555.2	g40477, g40479, g40476, g40480, g1561
OG0000102	XP_006288252.1	g45186
OG0000102	XP_023633387.1	g45182
OG0000103	XP_023632588.1	g4502, g33381, g30245, g53429, g35312, g35871
OG0000105	XP_023639286.1	g11211
OG0000105	XP_006284602.1, XP_006285182.1, XP_006282489.2	g43820
OG0000107	XP_006299861.1	g6757
OG0000107	XP_006300030.1, XP_006297457.1	g11936
OG0000107	XP_006290930.1	g17802, g17676, g17783
OG0000108	XP_006291303.1, XP_006294425.1	g37225, g38077, g2333, g51658
OG0000108	XP_006287952.1	g29544
OG0000108	XP_006297920.1	g13323
OG0000108	XP_006295441.1, XP_006295821.1	g11989
OG0000110	XP_023634352.1	g46791, g24881
OG0000111	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1	g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578
OG0000112	XP_023640634.1	g38946, g38713, g52985
OG0000114	XP_006301152.1	g50797, g32639, g15993, g24938, g6351, g14468, g28182, g27531
OG0000114	XP_023640326.1	g15992
OG0000115	XP_023644425.1	g53276
OG0000117	XP_006306513.2	g27550, g27549
OG0000118	XP_006290039.1, XP_023640365.1, XP_023634338.1	g35294, g50762, g6146, g12640
OG0000118	XP_023642688.1	g12809
OG0000119	XP_023638901.1	g11441, g11440
OG0000120	XP_023640343.1, XP_023640331.1, XP_023644467.1	g16084, g1792, g4332, g53925, g37157, g27662, g35446, g27841, g35883
OG0000121	XP_023636052.1	g38499
OG0000122	XP_023645912.1, XP_023633493.1	g18088
OG0000122	XP_023633416.1	g1066
OG0000123	XP_006282356.1, XP_006289168.1	g1342
OG0000125	XP_023645280.1	g31072
OG0000125	XP_023645225.1, XP_006306741.1	g18497
OG0000125	XP_023643521.1, XP_006299926.1	g6675
OG0000127	XP_006289049.1	g41348
OG0000127	XP_006281264.1, XP_006292858.1, XP_006292010.1	g2919, g1294, g28781
OG0000128	XP_023639093.1	g2010
OG0000128	XP_006291250.1, XP_006290900.1, XP_006291045.1	g2009
OG0000128	XP_006282595.1	g50627
OG0000129	XP_023644190.1	g45131
OG0000129	XP_023644195.1	g24222, g24219
OG0000129	XP_023644191.1	g45103, g45101
OG0000129	XP_023645120.1, XP_023635333.1, XP_023640860.1, XP_023640089.1	g9880
OG0000132	XP_023637355.1	g51066
OG0000132	XP_023634360.1	g51064, g35150, g34743
OG0000134	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1, XP_006286802.2	g18420
OG0000137	XP_006280761.2	g1010
OG0000137	XP_006280742.1	g1011
OG0000143	XP_023638858.1	g24947, g35918, g41958, g24857, g24997
OG0000143	XP_023644225.1	g52356, g52620, g4139, g16474
OG0000145	XP_023636068.1	g26348, g8241, g18650, g34254, g33262
OG0000148	XP_023644303.1	g36469
OG0000151	XP_006290668.1	g19127
OG0000151	XP_006292545.1	g19128
OG0000151	XP_006295608.1	g51765
OG0000151	XP_006292248.1	g2235
OG0000151	XP_006290640.1	g2346
OG0000151	XP_006295587.1	g51633
OG0000151	XP_006287124.2	g29346
OG0000153	XP_006294819.1	g51155, g51154, g51130, g51156
OG0000153	XP_023639834.1, XP_023639909.1, XP_023640029.1	g40020
OG0000153	XP_023639879.1, XP_023639769.1	g37875, g37876
OG0000154	XP_006306278.1, XP_023644539.1, XP_023635872.1	g36466, g36467
OG0000157	XP_006281807.1	g27714
OG0000160	XP_006296920.1	g5985
OG0000160	XP_006282542.1	g23426
OG0000160	XP_006282289.1	g1105
OG0000160	XP_006279406.1	g6339
OG0000160	XP_006279360.1	g11547
OG0000160	XP_023643729.1	g46563
OG0000160	XP_006293643.2	g50994
OG0000162	XP_006292602.1	g11480
OG0000169	XP_023644508.1, XP_023644509.1	g53988
OG0000170	XP_023641004.1, XP_006307271.1	g52256
OG0000170	XP_023640714.1	g52257
OG0000171	XP_006281266.1	g915, g28415
OG0000171	XP_006298751.1	g14078
OG0000171	XP_006281239.2	g28546
OG0000171	XP_023641832.1, XP_006298742.1	g7540
OG0000175	XP_006302886.1	g32098, g27548, g50297, g44698
OG0000175	XP_023635842.1	g29297
OG0000176	XP_006299638.1	g12860
OG0000178	XP_006289433.1	g40442
OG0000178	XP_006289092.1, XP_006289348.1, XP_023635846.1, XP_006287233.1	g45158
OG0000178	XP_023635847.1, XP_006289234.1, XP_006286467.1	g45173
OG0000179	XP_023644030.1, XP_023643476.1, XP_006300712.1	g31539, g1718
OG0000183	XP_006302967.1, XP_006284698.1	g18117
OG0000183	XP_006294957.1	g40143
OG0000184	XP_023641352.1, XP_023641851.1, XP_006299354.1, XP_006298376.1, XP_023641852.1, XP_006299497.1, XP_023632990.1, XP_023642677.1, XP_006299827.1	g11846
OG0000185	XP_023641274.1, XP_006298152.1	g32332, g32334, g32337
OG0000185	XP_023640416.1	g11864
OG0000187	XP_006296499.1	g17092
OG0000189	XP_023633909.1	g47947
OG0000189	XP_006296623.1	g18237
OG0000189	XP_006282726.1	g23036
OG0000189	XP_006302850.1, XP_006305647.1	g50117
OG0000192	XP_006292772.1	g17137
OG0000193	XP_006304962.1	g27763
OG0000197	XP_023635153.1, XP_023644224.1, XP_006282799.2, XP_006285566.1	g24122
OG0000197	XP_023634326.1	g17408
OG0000198	XP_006291995.1	g25893
OG0000198	XP_006305966.2	g31564
OG0000198	XP_006306087.1	g49926
OG0000199	XP_006294905.1	g47707
OG0000200	XP_006305980.1	g40674
OG0000200	XP_006305145.1	g27686
OG0000201	XP_023639098.1	g15624, g51845, g17762
OG0000202	XP_023636108.1, XP_023636923.1	g1023, g25454, g25477
OG0000203	XP_006292197.1	g18958
OG0000203	XP_006292664.2	g2360
OG0000204	XP_023641349.1	g53714, g14389
OG0000205	XP_023639324.1	g43917
OG0000205	XP_023640324.1, XP_023636059.1, XP_023634278.1, XP_023644457.1, XP_023644466.1, XP_023644460.1, XP_023634071.1, XP_023641994.1, XP_023636047.1, XP_023644478.1, XP_023634282.1, XP_023644465.1, XP_023640333.1, XP_023645651.1, XP_023634063.1, XP_023634058.1, XP_023636043.1	g11567
OG0000208	XP_023644532.1	g21459, g33511, g33550
OG0000210	XP_006302230.1	g26821
OG0000214	XP_023640469.1	g6224, g41308, g33055, g29003, g53538
OG0000214	XP_023634705.1	g13752, g9978, g14640, g51222
OG0000214	XP_023641965.1, XP_023638865.1, XP_023639573.1, XP_023641361.1, XP_023644322.1	g1573, g22730, g23072, g45047, g16729, g17791, g52105, g36171
OG0000214	XP_023634331.1	g37934
OG0000214	XP_023638976.1	g2449, g32347, g37022
OG0000214	XP_023633773.1	g45095
OG0000215	XP_006296786.1	g449
OG0000216	XP_023637283.1	g25664
OG0000216	XP_006302421.1	g41090, g41083, g41086
OG0000219	XP_023634346.1	g27764, g39817
OG0000221	XP_023643898.1	g32889, g53047, g4078, g27354, g2143, g52809, g53046, g27482
OG0000221	XP_023644448.1	g32627
OG0000226	XP_006285264.2	g17691, g17690, g17692
OG0000229	XP_006289451.2, XP_023644307.1, XP_006282853.2, XP_006286342.2	g13978
OG0000229	XP_006279442.1, XP_006304782.2	g24726
OG0000233	XP_006290020.1	g45483
OG0000233	XP_006286767.1	g29622
OG0000233	XP_006289542.2, XP_006289289.1	g29623
OG0000234	XP_023635829.1	g45347
OG0000235	XP_006305118.1, XP_023644533.1	g40743
OG0000235	XP_006298477.2, XP_006298206.1, XP_006288183.1, XP_023636873.1, XP_006284259.1, XP_023634339.1, XP_023639113.1	g11302
OG0000236	XP_023644265.1	g11672
OG0000237	XP_006296746.1	g11805
OG0000237	XP_006297875.1	g36933
OG0000241	XP_006284545.1, XP_006279099.1, XP_023635292.1, XP_006279100.1, XP_006285919.1, XP_006279101.1, XP_006289300.1, XP_006289916.1, XP_006289616.1, XP_006289215.1	g17320
OG0000242	XP_006279117.1, XP_006286819.1, XP_006286567.1	g10112
OG0000243	XP_006304293.1, XP_006305771.1	g27682
OG0000244	XP_006290182.1	g25493
OG0000244	XP_006289480.2	g40712
OG0000245	XP_023637477.1, XP_023641896.1	g15848
OG0000246	XP_006295641.1	g51604
OG0000246	XP_006294087.1, XP_006294083.1	g37185
OG0000246	XP_006296366.1	g51603
OG0000250	XP_006287939.1	g6508, g45178
OG0000250	XP_006289516.1	g40469
OG0000251	XP_006290953.1, XP_023638661.1, XP_006290954.1, XP_006292275.1	g16641
OG0000252	XP_006300513.1, XP_006291286.1	g40852
OG0000252	XP_006302386.1	g46370
OG0000253	XP_006297173.1	g12277
OG0000253	XP_006297174.1	g7492
OG0000253	XP_006287234.1	g5784, g45315
OG0000254	XP_006284821.1	g47116, g47114, g17643
OG0000254	XP_006284819.1, XP_006284817.1, XP_006286199.1, XP_006284824.1, XP_006284827.1, XP_006284826.1	g47115
OG0000256	XP_006299941.1, XP_023641893.1, XP_023641894.1	g10880
OG0000259	XP_023643302.1	g1607
OG0000260	XP_023635375.1	g6207, g6217
OG0000260	XP_006281509.2	g24958
