Orthogroup	Capsella_rubella	Brassica_rapa
OG0000048	XP_006299189.1	XP_009141452.3, XP_009141229.2, XP_033145293.1, XP_033145288.1, XP_009141227.2, XP_009146516.2, XP_018513390.1, XP_033145756.1, XP_033145751.1, XP_033145292.1, XP_018514111.1, XP_033145356.1, XP_009141011.2, XP_033145355.1, XP_009142302.1, XP_018513876.1
OG0000049	XP_023634626.1	XP_033141114.1
OG0000050	XP_006299955.2	XP_033146215.1, XP_033146249.1, XP_033133626.1, XP_033144846.1, XP_033134003.1
OG0000051	XP_006304062.1	XP_009119376.1, XP_009121616.2, XP_009118690.1
OG0000051	XP_023640424.1	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1
OG0000052	XP_023639245.1	XP_009152006.1
OG0000052	XP_023638292.1	XP_033138197.1
OG0000052	XP_006301891.2, XP_006301896.2, XP_023638056.1, XP_023639204.1, XP_006293172.2	XP_033139477.1, XP_033135650.1
OG0000052	XP_006291114.1, XP_006291129.1, XP_006293230.1, XP_006290348.2	XP_009115966.1, XP_033146756.1, XP_033146252.1, XP_033146757.1, XP_033145801.1
OG0000052	XP_006291090.1	XP_009114878.1
OG0000052	XP_023638561.1, XP_006293221.1	XP_033129401.1
OG0000052	XP_023638815.1	XP_033146405.1
OG0000055	XP_006299228.1, XP_006300113.1	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1
OG0000055	XP_023642764.1	XP_033143242.1
OG0000055	XP_006286657.2	XP_009134817.1
OG0000056	XP_006301237.2	XP_033135545.1
OG0000056	XP_023643438.1	XP_009113405.2
OG0000056	XP_006302254.2	XP_009105844.1
OG0000056	XP_006292456.1	XP_009112692.1, XP_009113075.1, XP_009149950.1
OG0000058	XP_023636060.1	XP_033139240.1
OG0000058	XP_023640345.1, XP_023636058.1, XP_023640315.1, XP_023643584.1, XP_023640320.1, XP_023634265.1, XP_023644147.1, XP_023644470.1, XP_023634034.1, XP_023638869.1	XP_033131195.1, XP_033139143.1, XP_033131918.1, XP_033131462.1, XP_033134234.1, XP_033134349.1, XP_033130753.1, XP_033145221.1, XP_033141098.1, XP_033139492.1, XP_033137200.1, XP_033134400.1, XP_033139188.1, XP_033148815.1
OG0000059	XP_023633548.1, XP_023644244.1, XP_023634277.1	XP_033143368.1, XP_033129455.1, XP_033134209.1, XP_033128794.1, XP_033131162.1, XP_033139340.1, XP_009139344.2
OG0000059	XP_023636099.1, XP_006290464.1	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1
OG0000059	XP_023633025.1	XP_033129556.1, XP_009126874.2, XP_033128849.1, XP_033130899.1, XP_009145037.2, XP_009111372.1, XP_009117179.1, XP_009103786.3
OG0000060	XP_023638361.1	XP_009140937.1
OG0000060	XP_006292099.1	XP_009150050.2, XP_009148029.2, XP_009118417.1, XP_009141673.1
OG0000060	XP_006303455.1	XP_009131981.1, XP_009110918.2, XP_033128652.1
OG0000060	XP_006279505.1	XP_009143480.1
OG0000060	XP_006303457.1	XP_009116068.1, XP_009126676.2
OG0000061	XP_023640829.1	XP_009133838.1
OG0000062	XP_023633725.1	XP_018509055.1
OG0000064	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1, XP_006301107.1, XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301855.1, XP_006301176.1, XP_006306169.1	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1
OG0000065	XP_023644442.1	XP_009127504.1, XP_018509397.2
OG0000065	XP_023644283.1	XP_009105243.1
OG0000065	XP_023643077.1	XP_018512198.1
OG0000065	XP_023644284.1	XP_033143336.1
OG0000065	XP_023637822.1, XP_006290268.1	XP_009125065.1
OG0000065	XP_023638915.1	XP_009140044.1
OG0000065	XP_006286236.1	XP_009140101.2, XP_009151130.2
OG0000066	XP_006301260.2	XP_009129719.2, XP_009114048.1
OG0000066	XP_006288773.2, XP_006284722.1	XP_009131189.1
OG0000067	XP_023638931.1	XP_033148589.1, XP_033138226.1
OG0000067	XP_023634337.1	XP_018508607.1
OG0000067	XP_023645924.1	XP_033129459.1, XP_033131134.1, XP_033131135.1, XP_009113960.2, XP_033131178.1
OG0000068	XP_006289028.2, XP_006289556.2, XP_023637280.1	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1
OG0000069	XP_023642292.1	XP_018512413.1, XP_009105410.1
OG0000069	XP_006288439.1	XP_009142475.1
OG0000070	XP_006305612.2, XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1	XP_009123589.1, XP_033136464.1
OG0000070	XP_006304273.1	XP_009149503.1
OG0000070	XP_006302938.1	XP_009104691.1, XP_009106248.2, XP_009128146.1
OG0000070	XP_006295429.1	XP_033128831.1
OG0000073	XP_023644828.1	XP_009117227.2
OG0000073	XP_023644313.1	XP_009123855.2, XP_009151176.1, XP_009146107.2, XP_009145290.1, XP_033134421.1, XP_018512867.1, XP_018509809.1, XP_009140644.2
OG0000074	XP_023634274.1, XP_023636038.1	XP_009115282.1, XP_018515120.1, XP_009124283.2, XP_033148537.1, XP_033138826.1
OG0000074	XP_023636039.1	XP_009124358.2, XP_009119511.1, XP_033131958.1, XP_009144677.1, XP_009150440.1, XP_009117211.1
OG0000074	XP_023638842.1	XP_009150341.1
OG0000075	XP_006283916.1, XP_023635518.1	XP_009101862.1
OG0000076	XP_023634774.1	XP_009101919.1
OG0000076	XP_006286831.1	XP_009134123.2, XP_033134012.1, XP_009126890.1, XP_033147785.1, XP_009134127.2, XP_018514362.2, XP_009134129.2, XP_009134122.2
OG0000077	XP_006280897.2	XP_033139970.1
OG0000077	XP_023643297.1	XP_033134075.1
OG0000077	XP_006292755.1, XP_006292566.2, XP_006292626.2, XP_006300965.2, XP_006290374.2, XP_023638325.1	XP_033141183.1
OG0000077	XP_006303212.2	XP_009148269.1
OG0000077	XP_006281861.1	XP_009113876.1, XP_009149053.2
OG0000078	XP_006289130.1, XP_006290038.2, XP_023636207.1, XP_006289391.1, XP_006286648.1, XP_006289998.1	XP_009126231.2, XP_009131624.1, XP_009121025.2, XP_009131630.2, XP_009126229.1, XP_009131627.1
OG0000081	XP_023634311.1	XP_018509212.1, XP_033131829.1, XP_033133259.1
OG0000083	XP_023633452.1	XP_033134381.1, XP_033147924.1, XP_033133989.1
OG0000086	XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302616.1	XP_009132807.1
OG0000086	XP_023644279.1, XP_023644252.1	XP_033130821.1
OG0000089	XP_006287738.1	XP_009150907.1
OG0000089	XP_006292748.1, XP_006291122.1	XP_009150241.1, XP_009151388.1, XP_009150568.2, XP_009149954.2
OG0000089	XP_006294210.1	XP_009144365.1, XP_009141007.2
OG0000089	XP_006289933.1	XP_009121863.1
OG0000089	XP_006281513.1	XP_009113926.1, XP_009101721.2
OG0000089	XP_006283733.1	XP_009123590.1
OG0000089	XP_006302256.1	XP_009106234.1
OG0000091	XP_023637739.1	XP_009119422.1
OG0000091	XP_006296540.2	XP_009144708.1, XP_018509698.1, XP_009140909.1, XP_009140910.1
OG0000091	XP_023636467.1	XP_009131797.1, XP_009120802.1
OG0000091	XP_023644362.1	XP_009143939.1, XP_033147614.1
OG0000092	XP_023642043.1	XP_033144486.1, XP_009145085.2, XP_033141924.1, XP_033146510.1
OG0000092	XP_023633335.1	XP_033136537.1
OG0000092	XP_023641904.1	XP_033132217.1
OG0000095	XP_006295555.1, XP_006294228.1	XP_009134223.1, XP_009140586.1
OG0000095	XP_006294323.1	XP_033146353.1, XP_033146352.1
OG0000095	XP_006296376.2	XP_033145267.1, XP_033145730.1
OG0000096	XP_006289071.1, XP_006289116.1	XP_009126084.3, XP_033130384.1
OG0000098	XP_006292655.1	XP_033144223.1, XP_009137095.2, XP_033143042.1
OG0000098	XP_006305026.1	XP_009150964.1, XP_009130073.1
OG0000100	XP_006301998.2	XP_009113265.2
OG0000100	XP_023643545.1	XP_018509586.1
OG0000102	XP_006288542.1	XP_009140229.1
OG0000102	XP_023634256.1, XP_006289089.1, XP_006288348.1	XP_009121666.1
OG0000102	XP_006288252.1	XP_009134336.2, XP_009110937.1, XP_033135887.1
OG0000102	XP_023633387.1	XP_033136290.1, XP_033140146.1
OG0000107	XP_006299861.1	XP_018514730.2
OG0000107	XP_006300030.1, XP_006297457.1	XP_009140112.1, XP_033142636.1
OG0000107	XP_006289895.1, XP_006297460.1	XP_009111243.1
OG0000107	XP_006290930.1	XP_009107347.1, XP_009117328.1
OG0000108	XP_006291303.1, XP_006294425.1	XP_009133195.1, XP_009141678.2
OG0000108	XP_006297921.1	XP_009146646.1
OG0000108	XP_006287952.1	XP_033138402.1, XP_009131124.2, XP_009125344.2
OG0000108	XP_006297920.1	XP_009145858.2, XP_018513774.1
OG0000108	XP_006305090.1	XP_009135599.1
OG0000109	XP_023637552.1	XP_018511390.2, XP_033129946.1, XP_033140615.1, XP_033134038.1
OG0000109	XP_023633613.1	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1
OG0000110	XP_023634352.1	XP_033143194.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_033140785.1, XP_009119775.3, XP_033143375.1, XP_033148618.1, XP_033148616.1, XP_033147279.1, XP_018512940.2, XP_033143619.1
OG0000110	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1	XP_009135134.2, XP_009151027.2, XP_033142705.1, XP_033129379.1, XP_033134264.1, XP_033148525.1, XP_033147962.1, XP_018511583.2, XP_018512883.1, XP_033145191.1, XP_033134317.1, XP_033147814.1
OG0000111	XP_006289226.1, XP_006289953.1, XP_006289914.1	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1
OG0000114	XP_006301152.1	XP_033145921.1
OG0000117	XP_006306513.2	XP_009115511.1
OG0000117	XP_006303770.1	XP_033135734.1, XP_009115048.1, XP_009115516.1
OG0000117	XP_023632781.1	XP_033130333.1
OG0000117	XP_006304618.2, XP_023644792.1	XP_033132544.1, XP_033132543.1, XP_009110093.1, XP_033132540.1, XP_009112003.1
OG0000118	XP_006290039.1, XP_023640365.1, XP_023634338.1	XP_009113644.3, XP_009115539.2, XP_033135170.1, XP_033135169.1, XP_033135012.1, XP_009135990.1, XP_033135900.1
OG0000119	XP_023633433.1, XP_006280698.1	XP_033138803.1
OG0000119	XP_023638901.1	XP_033139673.1
OG0000119	XP_006296419.2, XP_006295986.2, XP_006292836.2, XP_006292499.2, XP_023638877.1, XP_006291315.2, XP_023638900.1, XP_006293090.1, XP_023639195.1	XP_009140726.1
OG0000119	XP_023638772.1	XP_009102480.1
OG0000119	XP_006292851.1, XP_006292857.1	XP_033131888.1
OG0000120	XP_023640343.1, XP_023640331.1, XP_023644467.1	XP_009101979.1
OG0000121	XP_023640327.1, XP_023634261.1	XP_009144746.3
OG0000121	XP_023638959.1	XP_033141060.1
OG0000122	XP_006281892.1	XP_033139826.1, XP_033139827.1
OG0000122	XP_023633416.1	XP_033142107.1, XP_009132310.1, XP_033144567.1, XP_033137394.1, XP_033142009.1, XP_018512820.2, XP_033139821.1
OG0000123	XP_006282356.1, XP_006289168.1	XP_009132628.1, XP_033142284.1
OG0000124	XP_023635269.1	XP_033145235.1
OG0000124	XP_023644078.1, XP_023634345.1	XP_009145189.1
OG0000124	XP_023638979.1	XP_033139475.1, XP_009150285.1, XP_033144074.1, XP_009103633.1, XP_009139448.1, XP_009144927.1, XP_033128191.1, XP_033146613.1, XP_009144615.1
OG0000125	XP_006296171.1	XP_033145187.1, XP_033131572.1
OG0000125	XP_023645280.1	XP_009118428.1
OG0000125	XP_023645616.1	XP_033146903.1
OG0000125	XP_023645225.1, XP_006306741.1	XP_009144873.1
OG0000125	XP_006299926.1	XP_009135746.2, XP_018514690.2
OG0000126	XP_023640354.1	XP_033134231.1
OG0000127	XP_006289049.1	XP_009120626.1, XP_009131894.1
OG0000127	XP_006281264.1, XP_006292858.1	XP_009120513.1
OG0000128	XP_023639092.1, XP_023639093.1	XP_009104190.1
OG0000128	XP_006290900.1	XP_009116587.1, XP_018508692.1
OG0000128	XP_006291045.1	XP_009104193.2
OG0000129	XP_023644190.1	XP_033146831.1, XP_033146830.1
OG0000129	XP_023644195.1	XP_033145048.1
OG0000129	XP_023644191.1	XP_009127389.1
OG0000129	XP_023645120.1, XP_023635333.1, XP_023640860.1, XP_023640089.1	XP_009130179.2, XP_009130183.1
OG0000130	XP_023641922.1	XP_033138183.1
OG0000130	XP_023644493.1	XP_009107043.1, XP_033130441.1
OG0000132	XP_006291215.1	XP_009116244.2, XP_009116245.1, XP_009116184.2, XP_033137144.1, XP_018510613.1
OG0000132	XP_006283852.1, XP_023634364.1	XP_009144883.2
OG0000134	XP_023643595.1, XP_023643303.1, XP_023643420.1	XP_018508210.2
OG0000134	XP_023640358.1	XP_033130500.1
OG0000137	XP_006280761.2	XP_033144579.1, XP_009127007.2, XP_033139637.1
OG0000137	XP_006280742.1	XP_009111746.1, XP_009127005.1
OG0000137	XP_023633411.1	XP_018510146.1
OG0000137	XP_023637930.1, XP_006281726.2	XP_033138715.1
OG0000137	XP_006281991.1	XP_009132393.1
OG0000137	XP_006281729.1	XP_009132642.1, XP_009120051.1
OG0000138	XP_023639081.1	XP_033146362.1
OG0000140	XP_023643336.1	XP_009114858.1
OG0000140	XP_023633812.1	XP_018513794.1, XP_009111975.1, XP_033143251.1, XP_033133624.1, XP_033142267.1
OG0000141	XP_023644396.1	XP_033135443.1
OG0000141	XP_006306386.2	XP_018510931.2
OG0000143	XP_023638858.1	XP_033131813.1, XP_009123559.2, XP_033148484.1, XP_033134220.1, XP_033138760.1, XP_009124167.1
OG0000143	XP_023644225.1	XP_033134274.1, XP_033135796.1
OG0000144	XP_023636064.1, XP_023644445.1, XP_023633453.1, XP_023634293.1, XP_023644415.1, XP_023641261.1	XP_018512694.1, XP_009136015.2, XP_033134344.1, XP_033134061.1, XP_033145313.1, XP_009108029.2, XP_033143216.1, XP_033141131.1, XP_033132198.1, XP_033139997.1, XP_033143264.1, XP_033143308.1, XP_033134271.1, XP_033138779.1, XP_009121247.2, XP_033128204.1, XP_033148594.1, XP_009140408.1, XP_009115950.1, XP_018512879.2, XP_009144130.2, XP_009103777.2, XP_033148590.1, XP_033145709.1, XP_033131876.1, XP_033131872.1, XP_009149576.1, XP_033131981.1, XP_033141234.1, XP_033143039.1, XP_033132224.1, XP_009107600.1, XP_009137109.2, XP_009121333.2, XP_033143088.1, XP_033135941.1, XP_009145568.2, XP_009132243.2, XP_009137728.2
OG0000148	XP_023632926.1, XP_006279114.2, XP_006305969.2, XP_006303718.2, XP_006297855.1	XP_033136081.1, XP_009145753.1, XP_009113058.1, XP_009124318.1
OG0000148	XP_023634320.1, XP_006307735.2, XP_023632976.1, XP_023632977.1	XP_033144403.1, XP_009132885.2
OG0000151	XP_006292174.1, XP_006279090.2	XP_009124228.1
OG0000151	XP_006290668.1	XP_009116212.1, XP_009103951.1, XP_033146519.1
OG0000151	XP_006292545.1	XP_009139199.2
OG0000151	XP_006295608.1	XP_033148760.1
OG0000151	XP_006292248.1	XP_009139200.1
OG0000151	XP_006295587.1	XP_009141649.1
OG0000151	XP_006287124.2	XP_009121752.1
OG0000153	XP_023639932.1	XP_033147142.1
OG0000153	XP_006294819.1	XP_009140992.3, XP_009140985.1, XP_033147950.1, XP_018514500.2
OG0000153	XP_023640128.1	XP_033145172.1
OG0000153	XP_023639834.1	XP_009123599.1
OG0000153	XP_023639909.1, XP_023640029.1	XP_009140991.1, XP_009140982.1
OG0000153	XP_023639879.1	XP_009110944.1, XP_009118438.1
OG0000153	XP_023639769.1	XP_009140988.2, XP_009144387.2
OG0000154	XP_023633661.1	XP_009107881.1
OG0000154	XP_006303205.1, XP_006304379.1	XP_018515541.1
OG0000154	XP_006306758.1	XP_033128714.1
OG0000157	XP_023634266.1, XP_006304655.2	XP_033130702.1, XP_033139818.1, XP_009140642.2, XP_009129819.1, XP_009129831.2
OG0000158	XP_023635458.1, XP_006279441.2	XP_033136525.1
OG0000158	XP_006285768.2	XP_009104904.1
OG0000158	XP_006289701.2, XP_006289843.2	XP_033134979.1
OG0000160	XP_006296920.1	XP_009112568.1, XP_009102205.2
OG0000160	XP_006282542.1	XP_009137896.1, XP_009137895.2, XP_009128001.1, XP_009109000.1
OG0000160	XP_006282289.1	XP_033141904.1, XP_009120261.2
OG0000160	XP_006279406.1	XP_018513014.1
OG0000160	XP_006279360.1	XP_009128205.1
OG0000160	XP_023643729.1	XP_018508569.2, XP_009106729.2
OG0000160	XP_006293643.2	XP_009117122.1
OG0000161	XP_023636868.1	XP_033133352.1, XP_009117684.2, XP_033137116.1, XP_009138128.2, XP_018515327.2, XP_033135265.1, XP_009144129.1, XP_033138000.1, XP_033143489.1
OG0000162	XP_006294455.1	XP_009132915.1
OG0000162	XP_006292602.1	XP_009113251.2
OG0000162	XP_006296229.1	XP_009143883.1
OG0000165	XP_006284720.1	XP_009127572.1
OG0000165	XP_006292033.1, XP_023633900.1, XP_023633896.1, XP_023633895.1, XP_006304794.1	XP_009134335.1
OG0000166	XP_023640242.1	XP_009140600.1
