Orthogroup	Capsella_rubella	Arabidopsis_lyrata_Rawat
OG0000108	XP_006291303.1, XP_006294425.1	AL5G34730
OG0000108	XP_006282193.1, XP_006291307.1	AL5G25390, AL8G35810
OG0000108	XP_006297921.1	AL3G23740
OG0000108	XP_006287952.1	AL6G20220
OG0000108	XP_006297920.1	AL3G32160, AL1G56110
OG0000108	XP_006295441.1	AL4G40470
OG0000108	XP_006295821.1	AL4G40460
OG0000109	XP_023644486.1	AL1G47060
OG0000109	XP_023641886.1, XP_023633619.1	AL6G46480
OG0000109	XP_023633613.1	AL7G48370, AL4G13100, AL5G17500, AL8G26200, AL3G45860, AL1G49480, AL3G47220, AL5G17870, AL8G24560, AL7G45510, AL6G38840, AL6G52460, AL6G40590, AL1G47050, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL1G54140, AL2G22170, AL3G44280, AL7G53070, AL5G17840, AL7G34330, AL8G17600, AL170U10010, AL3G46660, AL8G20850, AL4G12360, AL5G10400, AL3G43610, AL4G17930, AL5G17970, AL9U10780
OG0000110	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710
OG0000111	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1	AL5G34240, AL3G50380
OG0000111	XP_006289226.1, XP_006289953.1, XP_006289914.1	AL5G18800
OG0000114	XP_006301152.1	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940
OG0000114	XP_023640326.1	AL6G40550
OG0000115	XP_023644425.1	AL6G51530
OG0000117	XP_006306513.2	AL1G37420
OG0000117	XP_006303770.1	AL1G37270
OG0000117	XP_006304583.1	AL1G37280
OG0000117	XP_006304377.2	AL1G37400
OG0000117	XP_023632777.1	AL1G37430
OG0000117	XP_023644784.1	AL1G37410
OG0000117	XP_023632781.1	AL1G37440
OG0000117	XP_006304618.2	AL1G37330
OG0000117	XP_023644792.1	AL1G37340
OG0000118	XP_006290039.1	AL4G35680
OG0000118	XP_023640365.1	AL4G35660, AL4G35650
OG0000118	XP_006300909.1, XP_006301359.2	AL2G23540
OG0000118	XP_006290202.1	AL6G44790
OG0000118	XP_023642688.1	AL3G38540, AL3G38550
OG0000119	XP_006296419.2	AL4G18370
OG0000119	XP_006295986.2	AL4G18360, AL4G18340
OG0000119	XP_006292836.2, XP_006292499.2, XP_023638877.1	AL5G21720, AL5G21730
OG0000119	XP_023638900.1	AL6G15230
OG0000119	XP_006293090.1	AL5G24100
OG0000119	XP_006292851.1, XP_006292857.1	nbis-gene-1302, nbis-gene-1304
OG0000121	XP_023634298.1	AL8G34500
OG0000121	XP_023636052.1	AL8G14910
OG0000122	XP_006281577.2	nbis-gene-2149
OG0000122	XP_023645912.1, XP_023633493.1	AL8G32110
OG0000122	XP_023633416.1	AL8G31960
OG0000123	XP_006282356.1, XP_006289168.1	AL8G25360
OG0000123	XP_006303711.1	nbis-gene-64
OG0000125	XP_023639964.1	AL4G23510
OG0000125	XP_023645280.1	AL1G17740
OG0000125	XP_023645616.1	AL1G55940
OG0000126	XP_023640354.1	AL4G20870
OG0000127	XP_006289049.1	AL6G34020
OG0000127	XP_006286660.1	AL6G11840
OG0000127	XP_006298831.2	AL3G20660
OG0000127	XP_006281264.1	AL189U10030
OG0000127	XP_006292858.1	AL5G24690
OG0000127	XP_006292010.1	AL5G24750
OG0000128	XP_023639092.1	AL5G41150
OG0000128	XP_006291073.1	AL5G41130
OG0000128	XP_006291250.1	AL5G16810, AL164U10020
OG0000128	XP_006290900.1	AL5G41080
OG0000128	XP_006291045.1	AL5G41090
OG0000128	XP_006302146.1	AL2G18450
OG0000128	XP_006282595.1	AL7G42310
OG0000129	XP_023644190.1	AL2G19870, nbis-gene-452
OG0000129	XP_023644191.1	AL2G20180
OG0000129	XP_023645120.1	AL1G60690
OG0000129	XP_023635333.1	AL8G38710, AL8G38700
OG0000129	XP_023640860.1	AL4G22760
OG0000129	XP_023640089.1	AL4G22720
OG0000129	XP_023644193.1	AL2G19840
OG0000130	XP_006285982.2	AL1G41300, AL3G31830
OG0000132	XP_006291215.1	AL5G36020
OG0000132	XP_023637355.1	AL6G44370, AL6G44360, AL6G44330
OG0000132	XP_006283852.1	AL315U10010, AL7G51940
OG0000132	XP_023634364.1	AL7G52020, AL7G52000
OG0000134	XP_023643303.1, XP_023643420.1	AL1G67280
OG0000134	XP_023638531.1	AL5G19550
OG0000134	XP_023634083.1	AL7G52360, AL7G52440, AL7G52310, AL7G52380, AL7G52410
OG0000134	XP_023634084.1	AL7G52290, AL686U10020
OG0000134	XP_023641389.1	AL5G22740
OG0000134	XP_023640358.1	AL4G22780
OG0000134	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1	AL8G17970, AL8G17980, AL20U10060, AL20U10050, AL20U10040, AL20U10020
OG0000137	XP_006280742.1	AL8G30930
OG0000137	XP_023637930.1, XP_006281726.2	AL8G30920
OG0000137	XP_006281991.1	AL8G30900
OG0000137	XP_006281729.1	AL8G30890
OG0000138	XP_023639085.1	AL5G40800
OG0000138	XP_006292673.2	AL5G40760
OG0000138	XP_023639081.1	AL5G40850
OG0000138	XP_006291171.1	AL5G44820
OG0000138	XP_006304853.2	AL2G23440, AL5G45250
OG0000138	XP_006292487.1	AL5G35200
OG0000141	XP_023644396.1	AL1G23600
OG0000141	XP_006306386.2	AL1G23590
OG0000141	XP_006300715.1, XP_006301151.1, XP_006301217.1, XP_023644089.1, XP_006286837.2	AL2G13240
OG0000143	XP_023638853.1, XP_023638858.1, XP_023644225.1	AL3G54050
OG0000144	XP_023644221.1	AL4G41700, AL7G40530, AL1G52400
OG0000148	XP_023632976.1, XP_023632977.1	nbis-gene-250
OG0000148	XP_023644303.1	AL2G11100
OG0000148	XP_023633110.1	AL1G54580
OG0000151	XP_006290668.1	AL5G36230
OG0000151	XP_006292545.1	AL5G36220
OG0000151	XP_006295608.1	AL4G36690
OG0000151	XP_006292248.1	AL5G36210
OG0000151	XP_006290640.1	AL5G34430
OG0000151	XP_006295587.1	AL4G33730
OG0000151	XP_006287124.2	AL6G24190
OG0000153	XP_023639932.1	AL4G23840
OG0000153	XP_006294819.1	AL4G25560
OG0000153	XP_023640128.1	AL4G23900
OG0000153	XP_023639767.1, XP_023639968.1, XP_023639834.1, XP_023639909.1, XP_023640029.1	AL4G23860
OG0000153	XP_023639879.1	AL1G17600
OG0000154	XP_006306278.1	AL1G58520
OG0000154	XP_023644539.1, XP_023635872.1	AL6G29770, AL6G29780
OG0000154	XP_023645184.1	AL1G58510
OG0000157	XP_023645847.1	AL1G44470
OG0000157	XP_006304647.1	AL1G44400
OG0000157	XP_023634266.1, XP_006304655.2	AL8G27960, AL1G29270
OG0000157	XP_023644416.1	AL1G49450
OG0000158	XP_023635458.1	nbis-gene-1710, AL2G28170
OG0000158	XP_006279441.2	AL7G14590
OG0000158	XP_006289701.2, XP_006289843.2	AL4G12250, AL6G25220
OG0000158	XP_006286216.2	AL1G67080, AL7G42520
OG0000160	XP_006296920.1	AL3G52950
OG0000160	XP_006282542.1	AL7G22000
OG0000160	XP_006282289.1	AL8G33330
OG0000160	XP_006279406.1	AL3G44180
OG0000160	XP_006279360.1	AL5G20850
OG0000160	XP_023643729.1	AL2G40780
OG0000160	XP_006293643.2	AL4G15040
OG0000161	XP_023634397.1	AL1G16160
OG0000161	XP_023636868.1, XP_023636056.1, XP_023635040.1, XP_023632737.1, XP_023642374.1, XP_023645930.1, XP_023639647.1	AL2G19110
OG0000162	XP_006294455.1	AL4G28780
OG0000162	XP_006296229.1	nbis-gene-1071
OG0000162	XP_023638032.1	AL5G13340
OG0000162	XP_006292794.1	nbis-gene-1199
OG0000162	XP_006299665.1	AL3G42400, AL3G42420
OG0000162	XP_006295600.1	AL4G28810
OG0000162	XP_006296378.1	AL4G28800
OG0000165	XP_006284720.1	AL3G46810
OG0000165	XP_006292033.1, XP_023633900.1, XP_023633896.1, XP_023633895.1, XP_006304794.1	AL7G45500
OG0000166	XP_023640242.1	AL1G64890
OG0000166	XP_023639378.1	AL4G16880
OG0000167	XP_006300127.2	AL3G41620, AL3G41610, nbis-gene-792
OG0000167	XP_006286703.2	nbis-gene-1622
OG0000167	XP_006299157.1	AL3G35160, AL3G35150
OG0000167	XP_006299826.1	AL3G35070
OG0000169	XP_006293234.2, XP_023638052.1, XP_023641929.1	AL3G52280
OG0000169	XP_023641928.1, XP_023641931.1	AL4G13020
OG0000169	XP_023644508.1, XP_023644509.1	AL1G53540, AL1G53520
OG0000170	XP_023640533.1	AL4G44750
OG0000170	XP_023640714.1	AL4G44740
OG0000170	XP_023639945.1	AL4G44730
OG0000171	XP_006281266.1	AL8G28000
OG0000171	XP_006284706.1	AL7G47650
OG0000171	XP_006298751.1	AL3G49460
OG0000171	XP_006281239.2	AL8G31780
OG0000171	XP_006298742.1	AL3G19690
OG0000171	XP_006284700.1	AL7G24680
OG0000172	XP_023634595.1, XP_023634294.1, XP_023639036.1, XP_023637511.1	AL6G39210
OG0000173	XP_006282189.2	AL7G11730
OG0000173	XP_006284898.2, XP_023644326.1	AL7G12140
OG0000173	XP_023641380.1	AL3G40190
OG0000173	XP_023634627.1, XP_006289268.1	AL7G12760
OG0000173	XP_023637961.1	AL7G13600
OG0000175	XP_006302886.1	AL2G16210
OG0000175	XP_006305640.2	AL1G21480
OG0000175	XP_023635842.1	AL6G25440
OG0000176	XP_006299638.1	AL3G15860
