Orthogroup	Capsella_rubella	Arabidopsis_thaliana
OG0000098	XP_006289986.1, XP_006289767.1	AT5G25290.1
OG0000100	XP_023643498.1	AT1G63870.1
OG0000100	XP_006301098.2, XP_023643317.1, XP_023643319.1	AT1G56520.2
OG0000100	XP_023643315.1	AT1G56510.1
OG0000100	XP_023644343.1	AT1G56540.1
OG0000100	XP_023643545.1	AT1G63730.1
OG0000100	XP_023635628.1	AT4G14370.2
OG0000100	XP_023643962.1	AT1G64070.1
OG0000100	XP_023642986.1	AT1G63750.3
OG0000100	XP_023643246.1	AT1G63880.1
OG0000102	XP_006288400.1	AT4G03635.1
OG0000102	XP_006289764.1, XP_006289669.1, XP_023644271.1, XP_006301748.2, XP_006301379.1	AT4G05470.1, AT4G05475.1
OG0000102	XP_006288542.1	AT4G05497.1
OG0000102	XP_023634256.1, XP_006289089.1, XP_006288348.1	AT5G52480.1
OG0000102	XP_006288252.1	AT4G05460.1
OG0000105	XP_023639286.1	AT5G38344.1
OG0000106	XP_006301047.2	AT2G07760.1
OG0000107	XP_006299861.1	AT3G20140.1
OG0000107	XP_006300030.1	AT4G15380.1
OG0000107	XP_006297457.1	AT3G20080.1
OG0000107	XP_006297444.1	AT2G14100.1, AT3G32047.1
OG0000107	XP_006289895.1	AT3G20090.2
OG0000107	XP_006297460.1	AT2G05180.1
OG0000107	XP_006299064.2	AT3G20110.1
OG0000107	XP_023642039.1	AT3G20120.4
OG0000108	XP_006291303.1, XP_006294425.1	AT3G53750.1, AT2G37620.1
OG0000108	XP_006282193.1, XP_006291307.1	AT3G46520.1, AT5G59370.1
OG0000108	XP_006297921.1	AT3G12110.1
OG0000108	XP_006287952.1	AT5G09810.1
OG0000108	XP_006297920.1	AT3G18780.2
OG0000108	XP_006305090.1	AT1G49240.1
OG0000108	XP_006295441.1	AT2G42100.1
OG0000110	XP_023644458.1, XP_023642819.1	AT1G36510.1, AT3G32260.1
OG0000111	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1	AT3G53330.1
OG0000111	XP_006289226.1, XP_006289953.1, XP_006289914.1	AT4G01380.1
OG0000114	XP_006301152.1	AT1G36970.1, AT4G05555.1, AT3G31560.1, AT1G36230.1, AT2G07280.1
OG0000115	XP_023633354.1	AT5G48050.1
OG0000117	XP_006306513.2	AT1G23670.2
OG0000117	XP_006304583.1	AT1G23520.1
OG0000117	XP_006304377.2	AT1G23640.1
OG0000117	XP_006306553.1	AT1G23660.1
OG0000117	XP_006304415.2	AT1G23600.1
OG0000117	XP_023644784.1	AT1G23645.1
OG0000117	XP_023632781.1	AT1G23690.1
OG0000117	XP_006304618.2	AT1G23570.2
OG0000118	XP_023634338.1	AT5G41500.1, AT5G41510.1
OG0000118	XP_006290202.1	AT4G10740.1
OG0000118	XP_023642688.1	AT3G25090.1, AT3G23685.1
OG0000119	XP_023638901.1	AT3G45540.1
OG0000119	XP_006296419.2	AT2G26135.1
OG0000119	XP_006295986.2	AT2G26130.1
OG0000119	XP_006292836.2, XP_006292499.2, XP_023638877.1	AT3G43750.1
OG0000119	XP_006291315.2	AT3G45560.1
OG0000119	XP_023638900.1	AT2G16520.1
OG0000119	XP_006293090.1	AT3G45480.1
OG0000119	XP_023639195.1	AT3G45510.1
OG0000119	XP_023638772.1	AT3G45555.1
OG0000121	XP_006286839.2, XP_023636075.1, XP_006285607.2, XP_023634298.1, XP_006286623.2, XP_006295894.2, XP_023640327.1, XP_023634261.1, XP_006305928.1, XP_023638089.1, XP_006301940.2, XP_006287598.2, XP_006299881.2, XP_006294233.2, XP_006282338.2, XP_006279197.2, XP_006295777.2, XP_023633443.1, XP_023636052.1	AT2G01050.1
OG0000122	XP_006281709.1	AT5G56390.1
OG0000122	XP_006281577.2	AT5G56325.1
OG0000122	XP_006306021.1	AT1G32375.1
OG0000122	XP_023645912.1, XP_023633493.1	AT5G50270.1
OG0000123	XP_006295946.1	AT5G36657.1
OG0000123	XP_006282356.1, XP_006289168.1	AT5G51105.1
OG0000124	XP_023634345.1	AT5G40595.1
OG0000125	XP_023639964.1	AT2G28960.2
OG0000125	XP_023645280.1	AT1G07560.1
OG0000125	XP_023645616.1	AT1G49100.1
OG0000125	XP_023645225.1	AT1G51820.1
OG0000125	XP_006306741.1	AT1G51850.2
OG0000125	XP_006299926.1	AT3G21340.1
OG0000127	XP_006289049.1	AT5G22880.1
OG0000127	XP_006286660.1	AT5G02570.1
OG0000127	XP_006298831.2	AT3G09480.1
OG0000127	XP_006304288.1	AT1G07790.1
OG0000127	XP_006281264.1	AT5G59910.1
OG0000127	XP_006292858.1	AT3G45980.1
OG0000127	XP_006292010.1	AT3G46030.1
OG0000128	XP_023639092.1, XP_023639093.1	AT3G59270.1
OG0000128	XP_006291075.1	AT3G59250.1
OG0000128	XP_006291073.1	AT3G59240.1
OG0000128	XP_006290900.1	AT3G59200.1
OG0000128	XP_006291045.1	AT3G59210.1
OG0000128	XP_006302146.1	AT1G58310.1
OG0000128	XP_006282595.1	AT4G14103.2
OG0000129	XP_023644190.1	AT1G65120.2
OG0000129	XP_023644191.1	AT1G65200.1
OG0000129	XP_023645120.1	AT1G52450.1, AT1G52430.1
OG0000129	XP_023635333.1	AT5G61950.1, AT5G61940.2
OG0000129	XP_023640860.1	AT2G27630.1
OG0000129	XP_023640089.1	AT2G27650.1
OG0000129	XP_023644193.1	AT1G65110.2
OG0000130	XP_006285982.2	AT3G23320.1, AT5G52115.1, AT5G65005.1, AT1G52990.1
OG0000130	XP_023641922.1	AT3G32130.1
OG0000130	XP_023644493.1	AT1G27870.1, AT1G77815.1
OG0000132	XP_006291215.1	AT3G54910.1
OG0000132	XP_023637355.1	AT4G09920.1, AT4G10410.1, AT4G10420.1, AT4G10400.1
OG0000132	XP_006283852.1	AT5G38590.2
OG0000132	XP_023634364.1	AT5G38570.1
OG0000132	XP_023634360.1	AT5G38580.1
OG0000134	XP_023643303.1, XP_023643420.1	AT1G57650.1
OG0000134	XP_023634084.1	AT5G38340.1
OG0000134	XP_023641389.1	AT3G25505.1
OG0000137	XP_006280761.2	AT5G55370.1
OG0000137	XP_006280742.1	AT5G55380.1
OG0000137	XP_023633411.1	AT5G55320.1
OG0000137	XP_023637930.1, XP_006281726.2	AT5G55360.1
OG0000137	XP_006281991.1	AT5G55350.1
OG0000137	XP_006281729.1	AT5G55340.1
OG0000138	XP_006293105.1	AT3G62440.1
OG0000138	XP_023639085.1	AT3G58980.1
OG0000138	XP_006292673.2	AT3G58960.1
OG0000138	XP_006304853.2	AT3G62430.1
OG0000138	XP_006292487.1	AT3G54160.1
OG0000141	XP_023644396.1	AT1G12290.1
OG0000141	XP_006306386.2	AT1G12280.1
OG0000141	XP_006300715.1, XP_006301151.1, XP_006301217.1, XP_023644089.1, XP_006286837.2	AT1G62630.1, AT1G63360.1
OG0000148	XP_023632926.1, XP_006279114.2, XP_006305969.2, XP_006303718.2	AT1G47765.1
OG0000148	XP_006297855.1	AT3G10240.1
OG0000148	XP_023633110.1	AT1G47730.1
OG0000148	XP_023644526.1	AT1G48060.1
OG0000151	XP_006290668.1	AT3G55110.1
OG0000151	XP_006292545.1	AT3G55100.1
OG0000151	XP_006295608.1	AT2G39350.1
OG0000151	XP_006292248.1	AT3G55090.1
OG0000151	XP_006290640.1	AT3G53510.1
OG0000151	XP_006295587.1	AT2G37360.1
OG0000151	XP_006287124.2	AT5G13580.1
OG0000153	XP_006294819.1	AT2G30670.1
OG0000153	XP_023639767.1, XP_023639968.1, XP_023639834.1, XP_023639909.1, XP_023640029.1	AT2G29310.1
OG0000153	XP_023639879.1	AT1G07450.1
OG0000154	XP_006306278.1	AT1G50830.1
OG0000154	XP_023644539.1, XP_023635872.1	AT5G18510.1
OG0000154	XP_023633661.1	AT4G16050.1
OG0000154	XP_006304379.1	AT1G51538.1
OG0000154	XP_023645184.1	AT1G50790.1, AT1G50820.2
OG0000157	XP_006306555.2, XP_006306236.1, XP_023644416.1	AT1G32660.1
OG0000158	XP_023635458.1	AT4G36840.1
OG0000160	XP_006296920.1	AT2G18960.1
OG0000160	XP_006282542.1	AT4G30190.2
OG0000160	XP_006282289.1	AT5G57350.1
OG0000160	XP_006289260.2	AT4G11730.1
OG0000160	XP_006279406.1	AT2G07560.1
OG0000160	XP_006279360.1	AT3G42640.1
OG0000160	XP_023643729.1	AT1G80660.1
OG0000160	XP_006293643.2	AT2G24520.2
OG0000162	XP_006294455.1	AT2G33200.1
OG0000162	XP_006296229.1	AT2G33190.1
OG0000162	XP_006299665.1	AT2G04810.1, AT2G04840.1
OG0000165	XP_006284720.1	AT2G15010.1
OG0000165	XP_006292033.1, XP_023633900.1, XP_023633896.1, XP_023633895.1, XP_006304794.1	AT5G36910.1
OG0000165	XP_006282755.1, XP_006296672.1, XP_006298803.1, XP_006295221.1, XP_006298802.1, XP_006298799.1, XP_006288874.1	AT1G66100.1
OG0000166	XP_023639378.1	AT2G25470.3
OG0000167	XP_006286703.2	AT4G10190.1
OG0000167	XP_006299157.1	AT3G21170.1
OG0000169	XP_023641928.1, XP_023641931.1	AT2G23160.1
OG0000169	XP_023644508.1, XP_023644509.1	AT1G47340.1, AT1G47350.1
OG0000170	XP_023640533.1	AT2G45580.1
OG0000170	XP_006293280.2	AT3G61040.1
OG0000170	XP_023641004.1, XP_006307271.1	AT1G33720.1
OG0000170	XP_023640714.1	AT2G45570.1
OG0000170	XP_023639945.1	AT2G45560.1
OG0000170	XP_023640606.1, XP_023640163.1	AT2G45550.1
OG0000171	XP_006281266.1	AT5G53300.1
OG0000171	XP_006284706.1	AT5G41700.4
OG0000171	XP_006298751.1	AT2G16740.1
OG0000171	XP_006281239.2	AT5G56150.1
OG0000171	XP_023641832.1	AT3G08700.1
OG0000171	XP_006298742.1	AT3G08690.1
OG0000172	XP_023639036.1, XP_023637511.1	AT1G43730.1
OG0000173	XP_023641380.1	AT3G24610.1
OG0000173	XP_023641239.1	AT2G14288.1
OG0000174	XP_023639187.1, XP_023634312.1, XP_023640329.1, XP_023644479.1, XP_006281259.1	AT1G52603.1
OG0000175	XP_023635842.1	AT5G14670.1
OG0000176	XP_006299638.1	AT3G05360.1
OG0000176	XP_023644310.1	AT1G71390.2
OG0000177	XP_006303914.1	AT1G21230.1
OG0000177	XP_006303693.1	AT1G21210.1
OG0000178	XP_006289433.1	AT4G04490.1
OG0000178	XP_006286464.1	AT4G04510.2
OG0000178	XP_006286371.1	AT4G04500.1
OG0000178	XP_006289092.1, XP_006289348.1, XP_023635846.1, XP_006287233.1	AT4G04570.1
OG0000178	XP_023635847.1, XP_006289234.1, XP_006286467.1	AT4G04540.1
OG0000179	XP_006300602.2	AT1G59124.2, AT1G58807.1, AT1G59218.1, AT1G58848.1, AT1G58602.1
OG0000179	XP_006300342.1	AT1G58400.2, AT1G58410.1
OG0000183	XP_006302967.1, XP_006284698.1	AT1G66410.2, AT5G37780.3
OG0000183	XP_006294957.1	AT2G27030.3
OG0000184	XP_006299457.1	AT4G20610.1, AT4G20630.1, AT4G20580.1, AT4G20640.1, AT4G20670.1, AT4G20620.1, AT4G20590.1, AT4G20600.1, AT4G20540.1, AT4G20645.1, AT4G20550.1, AT4G20560.1, AT4G20530.1, AT4G20570.1, AT3G21990.1
OG0000184	XP_023642625.1	AT3G21980.1
OG0000184	XP_023642639.1	AT3G22000.1, AT4G20680.1
OG0000184	XP_006299892.1	AT3G22010.1
OG0000184	XP_006299354.1	AT3G22050.1
OG0000184	XP_006298376.1	AT3G22020.1
OG0000184	XP_006299497.1, XP_023632990.1, XP_023642677.1, XP_006299827.1	AT3G22040.1
OG0000185	XP_023641274.1, XP_006298152.1	AT3G19520.3
OG0000185	XP_006305431.1	AT1G23970.2, AT1G23950.2
OG0000185	XP_023645963.1	AT1G27860.1, AT1G28500.1
OG0000186	XP_006282024.1	AT5G55800.1
OG0000186	XP_006292443.2	AT3G26550.1
OG0000186	XP_006292502.1	AT2G02610.1, AT2G02640.1
OG0000186	XP_006279057.2, XP_023643827.1, XP_023643232.1	AT1G61840.1
OG0000186	XP_006303240.1	AT2G40050.1
OG0000187	XP_006296499.1	AT2G21680.1
OG0000187	XP_006304517.1	AT1G19460.1, AT1G19470.1
OG0000187	XP_023640855.1, XP_006295478.1	AT2G29780.1
OG0000187	XP_023640926.1	AT2G29600.1, AT2G29800.1
OG0000187	XP_023644474.1, XP_006295737.1	AT2G29830.1, AT2G29820.1, AT2G29860.1
OG0000188	XP_023633759.1	AT4G29970.1
OG0000188	XP_006299314.2	AT3G10790.1
OG0000189	XP_006293293.1	AT3G51300.1
OG0000189	XP_023633909.1	AT4G35950.1
OG0000189	XP_006296623.1	AT2G17800.1
OG0000189	XP_006282726.1	AT4G35020.1
OG0000189	XP_006302850.1	AT1G75840.1
OG0000189	XP_006305647.1	AT1G20090.1
OG0000192	XP_006306407.1	AT2G14920.1, AT1G13430.1
OG0000192	XP_006303793.1	AT5G43690.1
OG0000192	XP_006292772.1	AT3G45080.1
OG0000193	XP_006299089.1, XP_006300124.1, XP_006299335.1	AT2G14710.1
OG0000193	XP_023642703.1	AT3G16580.1
OG0000193	XP_006304962.1	AT1G47390.1
OG0000193	XP_023633071.1	AT1G32430.1
OG0000195	XP_006285706.1, XP_006284967.1	AT2G04680.1, AT5G37620.1
OG0000195	XP_023638998.1	AT3G48400.1
OG0000195	XP_006287222.1	AT5G22355.1
OG0000195	XP_006281429.1	AT4G01340.1, AT5G59920.1, AT4G01350.1
OG0000196	XP_023635062.1	AT5G41540.1
OG0000196	XP_023634402.1	AT5G40910.1
OG0000197	XP_006282799.2	AT5G37760.1
OG0000197	XP_023634326.1	AT5G37750.1, AT5G37440.1
OG0000197	XP_023633844.1	AT4G19570.1
OG0000198	XP_006291995.1	AT2G01520.1
OG0000198	XP_023632818.1	AT1G30990.1
OG0000198	XP_006305966.2	AT1G14930.1, AT1G14940.1
OG0000198	XP_006306087.1	AT1G14950.1
OG0000198	XP_006291997.1, XP_023638678.1, XP_006291999.1, XP_023638990.1	AT3G26450.1, AT3G26460.1
OG0000199	XP_006304151.2	AT1G51670.1
OG0000199	XP_006293511.1	AT4G29770.2
OG0000199	XP_006280936.1	AT5G18065.1, AT5G18040.1
OG0000200	XP_006305980.1	AT1G05540.1
OG0000200	XP_006305145.1	AT1G30170.1
OG0000200	XP_006305143.1	AT1G30160.2
OG0000202	XP_006286785.2	AT4G02180.1
OG0000202	XP_006289397.1	AT4G11550.1
OG0000202	XP_023636924.1	AT4G11390.2
OG0000202	XP_006301794.1	AT1G69150.1, AT3G43890.1
OG0000202	XP_023636108.1	AT4G01925.1
OG0000202	XP_023636923.1	AT4G09690.1, AT4G11547.1
OG0000203	XP_006292197.1	AT3G58270.1
OG0000203	XP_006293093.1	AT3G58370.1
OG0000203	XP_006292664.2	AT3G58360.1
OG0000203	XP_023638587.1	AT3G58350.1
OG0000208	XP_023632621.1	AT2G06425.1, AT4G04265.1, AT5G34581.1
OG0000209	XP_006287874.1, XP_006296766.1	AT5G10340.1
OG0000210	XP_006294103.1	AT2G44930.1
OG0000210	XP_023644267.1	AT1G65985.1
OG0000210	XP_006293088.1	AT3G60470.1
OG0000216	XP_023636119.1, XP_023635737.1	AT4G00893.1
OG0000216	XP_023637283.1	AT4G12370.1
OG0000216	XP_023635820.1	AT4G10695.1
OG0000216	XP_006302421.1	AT1G57790.1
OG0000216	XP_006292358.1	AT3G56470.1
OG0000219	XP_006283424.1	AT5G41690.1
OG0000225	XP_006303104.2, XP_023643999.1, XP_006279053.2, XP_006301337.1, XP_006300995.1, XP_006301845.1	AT1G78760.1, AT1G66290.1, AT1G66320.1, AT1G66640.1, AT1G66310.1, AT1G66300.1
OG0000225	XP_023633659.1	AT4G13985.1
OG0000225	XP_006300476.1	AT1G78740.1
OG0000226	XP_006285264.2	AT4G13130.1, AT1G66440.1, AT1G66450.2, AT1G29180.1, AT3G26250.1, AT3G26240.1
OG0000226	XP_023633599.1	AT4G15070.1, AT5G48320.1
OG0000226	XP_023635990.1	AT4G10560.1
OG0000226	XP_023643531.1	AT1G62030.1
OG0000227	XP_006296962.1	AT3G05650.1
OG0000227	XP_006296942.1	AT3G11010.2, AT5G27060.2, AT3G11080.1
OG0000227	XP_006286443.2	AT5G25910.1
OG0000227	XP_006296914.1	AT2G15080.1
OG0000229	XP_006289451.2, XP_023644307.1, XP_006282853.2, XP_006286342.2	AT5G28820.1
OG0000229	XP_006279442.1, XP_006304782.2	AT5G35540.1
OG0000230	XP_006292365.1	AT3G58820.1
OG0000230	XP_023634418.1	AT5G38396.1
OG0000230	XP_006283699.2	AT1G52650.1, AT4G13960.1
OG0000230	XP_006285558.1, XP_006285901.1, XP_023635365.1, XP_006285033.2, XP_006285578.1, XP_006286115.1	AT5G38386.1, AT5G38390.1
OG0000230	XP_006290346.1	AT3G59000.1
OG0000233	XP_006290020.1	AT5G07550.1
OG0000233	XP_006286767.1	AT5G07560.1
OG0000233	XP_006289542.2	AT5G07600.1
OG0000233	XP_006289289.1	AT5G07520.1
OG0000234	XP_023635762.1	AT5G03020.1, AT5G03010.1
OG0000234	XP_023636750.1	AT5G03000.1
OG0000235	XP_006288153.2, XP_006288152.1	AT3G25080.1
OG0000235	XP_006288183.1, XP_023636873.1	AT4G11700.1
OG0000235	XP_023639113.1	AT3G57210.1
OG0000236	XP_023644265.1	AT1G69650.1
OG0000236	XP_023644184.1	AT1G69660.1
OG0000237	XP_006289972.1, XP_006289053.1, XP_006290121.1, XP_006286744.1	AT4G04690.1
OG0000237	XP_006299227.2	AT3G08750.1
OG0000237	XP_006296746.1	AT3G22650.2
OG0000237	XP_006297875.1	AT3G21410.1
OG0000238	XP_023644384.1	AT1G70840.1
