Orthogroup	Capsella_rubella	Arabis_alpina
OG0000025	XP_023644235.1, XP_023636040.1, XP_023641958.1, XP_023644550.1, XP_023644451.1, XP_023634078.1, XP_023636962.1, XP_023633701.1, XP_023644236.1, XP_023636110.1, XP_023641784.1, XP_023644446.1, XP_023636071.1	Aa_G387540.h1.t1
OG0000027	XP_006284983.1	Aa_G200970.h1.t1
OG0000027	XP_006283253.1	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1
OG0000027	XP_023638659.1	Aa_G200950.h1.t1, Aa_G200910.h1.t1
OG0000027	XP_006282816.1	Aa_G191740.h1.t1
OG0000028	XP_023634475.1	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000028	XP_006285133.1, XP_006291347.1, XP_006292343.1, XP_006299262.2, XP_023633414.1	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1
OG0000029	XP_023633422.1, XP_023644241.1, XP_023638860.1, XP_023634002.1, XP_023644242.1, XP_023644257.1, XP_023638123.1, XP_023633373.1, XP_023633615.1, XP_023641909.1, XP_023636106.1, XP_023644249.1, XP_023638859.1	Aa_G248570.h1.t1
OG0000030	XP_006293126.1	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000030	XP_006297854.1, XP_006297862.1, XP_006300177.2	Aa_G152820.h1.t1
OG0000032	XP_023632591.1	Aa_G209100.h1.t1
OG0000034	XP_006283285.1	Aa_G782810.h1.t1, Aa_G619140.h1.t1
OG0000034	XP_006285944.1	Aa_G191730.h1.t1
OG0000034	XP_023634856.1	Aa_G58920.h1.t1
OG0000034	XP_006284972.1	Aa_G191700.h1.t1
OG0000034	XP_023635576.1	Aa_G191690.h1.t1
OG0000035	XP_023633542.1, XP_023633652.1, XP_023639706.1	Aa_G7660.h1.t1, Aa_G44290.h1.t1
OG0000035	XP_023634166.1	Aa_G195780.h1.t1
OG0000042	XP_023634283.1	Aa_G963460.h1.t1, Aa_G338960.h1.t1, Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1, Aa_G834810.h1.t1, Aa_G67230.h1.t1, Aa_G528960.h1.t1, Aa_G316320.h1.t1
OG0000042	XP_023644481.1	Aa_G392560.h1.t1, Aa_G500830.h1.t1
OG0000043	XP_023643350.1, XP_023644208.1, XP_023639459.1	Aa_G30.h1.t1
OG0000044	XP_023636248.1, XP_023634969.1	Aa_G33030.h1.t1
OG0000044	XP_023636310.1	Aa_G295940.h1.t1
OG0000048	XP_023640514.1	Aa_G154560.h1.t1
OG0000048	XP_006299189.1	Aa_G312310.h1.t1
OG0000048	XP_023632757.1	Aa_G570500.h1.t1
OG0000051	XP_006304062.1	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1
OG0000051	XP_023639525.1, XP_023640425.1, XP_023640455.1, XP_023640454.1	Aa_G271540.h1.t1
OG0000052	XP_023638292.1	Aa_G465260.h1.t1, Aa_G247990.h1.t1, Aa_G247980.h1.t1, Aa_G247970.h1.t1
OG0000052	XP_023638056.1, XP_023639204.1	Aa_G696490.h1.t1
OG0000052	XP_006291114.1, XP_006291129.1	Aa_G521750.h1.t1
OG0000052	XP_006291090.1	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1
OG0000052	XP_023638926.1	Aa_G379100.h1.t1
OG0000055	XP_023642764.1	Aa_G659190.h1.t1
OG0000055	XP_006286657.2	Aa_G5070.h1.t1
OG0000056	XP_006302241.1	Aa_G534290.h1.t1
OG0000056	XP_006301237.2	Aa_G615090.h1.t1
OG0000056	XP_023643438.1, XP_006301411.1, XP_006301193.1, XP_006301052.1, XP_006302254.2	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1
OG0000056	XP_006292456.1	Aa_G162440.h1.t1
OG0000058	XP_023633448.1, XP_023636066.1, XP_023636060.1, XP_023640345.1, XP_023636058.1, XP_023640315.1, XP_023643584.1, XP_023640320.1, XP_023634265.1, XP_023644147.1, XP_023644470.1, XP_023634034.1, XP_023638869.1	Aa_G527390.h1.t1
OG0000060	XP_023638361.1	Aa_G550780.h3.t1
OG0000060	XP_006292099.1	Aa_G33920.h5.t1, Aa_G375890.h2.t1, Aa_G33920.h7.t1, Aa_G197130.h2.t1, Aa_G197130.h8.t1, Aa_G375890.h8.t1, Aa_G33920.h3.t1
OG0000060	XP_006295294.1	Aa_G257700.h2.t1, Aa_G197130.h5.t1
OG0000060	XP_006303455.1	Aa_G197130.h1.t1, Aa_G367650.h2.t1, Aa_G448310.h4.t1, Aa_G550780.h2.t1, Aa_G257700.h5.t1, Aa_G33920.h8.t1, Aa_G318860.h1.t1, Aa_G257700.h4.t1
OG0000060	XP_006292098.1	Aa_G318860.h5.t1
OG0000060	XP_006279505.1	Aa_G375890.h3.t1
OG0000060	XP_006303457.1	Aa_G367650.h8.t1, Aa_G367650.h7.t1
OG0000061	XP_006307356.2, XP_023645797.1	Aa_G496010.h1.t1, Aa_G380720.h1.t1
OG0000061	XP_006286287.2	Aa_G386390.h1.t1, Aa_G488480.h1.t1
OG0000061	XP_006290130.1	Aa_G329030.h1.t1, Aa_G84910.h1.t1
OG0000062	XP_023633353.1, XP_023634169.1	Aa_G417500.h1.t1
OG0000065	XP_023644442.1, XP_023643076.1, XP_023643066.1, XP_023644283.1, XP_023643077.1, XP_006279179.2, XP_023643067.1, XP_023643778.1, XP_006300887.1	Aa_G756440.h1.t1, Aa_G190950.h1.t1
OG0000065	XP_023637822.1, XP_006290268.1	Aa_G439610.h1.t1
OG0000065	XP_006286236.1	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1
OG0000066	XP_006301260.2	Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1
OG0000066	XP_006288773.2	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1
OG0000068	XP_006289028.2, XP_006289556.2, XP_023637280.1	Aa_G484940.h1.t1, Aa_G389030.h1.t1
OG0000069	XP_023642292.1	Aa_G20960.h1.t1
OG0000069	XP_006288439.1	Aa_G524570.h1.t1, Aa_G826060.h1.t1, Aa_G500310.h1.t1, Aa_G4440.h1.t1
OG0000070	XP_006305612.2	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1
OG0000070	XP_006304273.1	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000070	XP_006302938.1	Aa_G410840.h1.t1
OG0000070	XP_006295429.1	Aa_G273730.h1.t1
OG0000070	XP_006299005.1, XP_023638023.1	Aa_G614230.h1.t1
OG0000075	XP_006285279.1	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000075	XP_023635517.1	Aa_G254660.h1.t1
OG0000075	XP_023634488.1	Aa_G136250.h1.t1
OG0000076	XP_023634774.1	Aa_G137810.h1.t1
OG0000077	XP_006281971.1	Aa_G122040.h1.t1
OG0000077	XP_006292755.1, XP_006292566.2, XP_006292626.2, XP_006300965.2, XP_006290374.2, XP_023638325.1	Aa_G683270.h1.t1
OG0000077	XP_006303212.2	Aa_G161010.h1.t1
OG0000078	XP_006300074.1	Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1
OG0000078	XP_006296650.2, XP_006298876.1	Aa_G339720.h1.t1
OG0000078	XP_006298992.1	Aa_G339700.h1.t1, Aa_G759400.h1.t1, Aa_G438200.h1.t1
OG0000078	XP_006300092.1	Aa_G339730.h1.t1
OG0000086	XP_006285515.2, XP_006291706.2	Aa_G108450.h1.t1
OG0000086	XP_006286814.1, XP_006302255.2, XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302616.1, XP_023644279.1, XP_023644252.1	Aa_G703520.h1.t1
OG0000089	XP_006287738.1	Aa_G630880.h1.t1
OG0000089	XP_006292748.1, XP_006291122.1	Aa_G409550.h1.t1, Aa_G88860.h1.t1
OG0000089	XP_006294210.1	Aa_G199760.h1.t1
OG0000089	XP_006289933.1	Aa_G256660.h1.t1
OG0000089	XP_006281513.1	Aa_G103150.h1.t1
OG0000089	XP_006283733.1	Aa_G580380.h1.t1
OG0000089	XP_006307490.1, XP_006302256.1	Aa_G656110.h1.t1
OG0000091	XP_023637739.1	Aa_G363940.h1.t1
OG0000091	XP_023636467.1, XP_006279102.2	Aa_G15590.h1.t1
OG0000091	XP_023644362.1	Aa_G15570.h1.t1
OG0000095	XP_006295555.1, XP_006294228.1	Aa_G54460.h1.t1
OG0000096	XP_006297893.1, XP_006299978.1, XP_006297929.1	Aa_G32180.h1.t1
OG0000098	XP_023635773.1, XP_006289986.1, XP_006289767.1	Aa_G70590.h1.t1, Aa_G539300.h1.t1
OG0000100	XP_023643545.1	Aa_G65750.h1.t1, Aa_G65880.h1.t1, Aa_G65780.h1.t1
OG0000102	XP_006288400.1	Aa_G577800.h1.t1
OG0000102	XP_006285555.2	Aa_G405840.h1.t1, Aa_G42060.h1.t1, Aa_G405830.h6.t1, Aa_G405830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h3.t1, Aa_G405830.h2.t1, Aa_G405830.h4.t1, Aa_G405810.h1.t1, Aa_G120830.h1.t1, Aa_G233060.h1.t1, Aa_G261510.h1.t1, Aa_G25760.h1.t1
OG0000102	XP_023634256.1	Aa_G132920.h1.t1
OG0000102	XP_006288252.1	Aa_G42050.h1.t1
OG0000103	XP_023638897.1	Aa_G261700.h1.t1
OG0000105	XP_023639256.1	Aa_G65730.h1.t1
OG0000106	XP_006301047.2, XP_023643263.1	Aa_G456270.h1.t1, Aa_G32140.h1.t1
OG0000107	XP_006297444.1	Aa_G37190.h1.t1
OG0000107	XP_006289895.1, XP_006297460.1	Aa_G323960.h1.t1
OG0000108	XP_006294425.1	Aa_G576740.h1.t1
OG0000108	XP_006282193.1	Aa_G99370.h1.t1
OG0000108	XP_006297921.1	Aa_G5290.h1.t1
OG0000108	XP_006287952.1	Aa_G152880.h1.t1
OG0000108	XP_006305090.1	Aa_G429520.h1.t1
OG0000108	XP_006295441.1, XP_006295821.1	Aa_G67360.h1.t1
OG0000110	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1	Aa_G32020.h1.t1
OG0000114	XP_006301152.1	Aa_G361230.h1.t1, Aa_G861160.h1.t1, Aa_G122790.h1.t1
OG0000114	XP_023640326.1, XP_023634652.1, XP_023640905.1, XP_023635195.1	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1
OG0000115	XP_006296361.2	Aa_G147990.h1.t1, Aa_G91540.h1.t1
OG0000117	XP_006306513.2	Aa_G349950.h1.t1
OG0000117	XP_006303770.1, XP_006304583.1	Aa_G62330.h1.t1
OG0000117	XP_006304377.2, XP_006306553.1	Aa_G62240.h1.t1
OG0000117	XP_006304618.2, XP_023644792.1	Aa_G436170.h1.t1, Aa_G187350.h1.t1, Aa_G349960.h1.t1
OG0000119	XP_023638901.1	Aa_G251660.h1.t1
OG0000120	XP_023640343.1, XP_023640331.1, XP_023644467.1	Aa_G170950.h1.t1, Aa_G248300.h1.t1
OG0000121	XP_023638959.1	Aa_G527420.h1.t1, Aa_G180200.h1.t1
OG0000122	XP_006307679.1	Aa_G379600.h1.t1
OG0000122	XP_006281892.1	Aa_G551010.h1.t1, Aa_G550960.h1.t1
OG0000122	XP_023645912.1, XP_023633493.1	Aa_G592730.h1.t1
OG0000122	XP_023633416.1	Aa_G592750.h1.t1, Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1, Aa_G379590.h1.t1, Aa_G379580.h1.t1, Aa_G379620.h1.t1, Aa_G5880.h1.t1, Aa_G592740.h1.t1
OG0000123	XP_006295946.1	Aa_G655250.h1.t1, Aa_G655250.h2.t1
OG0000125	XP_023645280.1	Aa_G257560.h1.t1
OG0000125	XP_023645616.1	Aa_G166390.h1.t1
OG0000127	XP_006289049.1	Aa_G552180.h1.t1
OG0000127	XP_006281264.1, XP_006292858.1	Aa_G33880.h1.t1
OG0000128	XP_023639093.1	Aa_G271300.h1.t1
OG0000128	XP_006290900.1	Aa_G784880.h1.t1
OG0000128	XP_006291045.1	Aa_G271260.h1.t1
OG0000128	XP_006302146.1, XP_006282595.1	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000129	XP_023644190.1	Aa_G323510.h1.t1
OG0000129	XP_023645120.1, XP_023635333.1, XP_023640860.1, XP_023640089.1	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1
OG0000130	XP_023644493.1	Aa_G10940.h1.t1
OG0000132	XP_006291215.1	Aa_G482030.h1.t1, Aa_G359110.h1.t1
OG0000132	XP_006283852.1, XP_023634364.1	Aa_G478490.h1.t1, Aa_G110070.h1.t1
OG0000132	XP_023634360.1	Aa_G462110.h1.t1, Aa_G75250.h1.t1, Aa_G482020.h1.t1, Aa_G116920.h1.t1, Aa_G601860.h1.t1, Aa_G110080.h1.t1
OG0000134	XP_023643595.1	Aa_G146320.h1.t1
OG0000134	XP_023643303.1, XP_023643420.1	Aa_G146330.h1.t1
OG0000134	XP_006286802.2	Aa_G360810.h1.t1
OG0000137	XP_006280742.1	Aa_G59090.h1.t1
OG0000137	XP_023637930.1, XP_006281726.2	Aa_G732190.h1.t1, Aa_G643460.h1.t1
OG0000137	XP_006281729.1	Aa_G643480.h1.t1
OG0000138	XP_023639085.1	Aa_G154170.h1.t1
OG0000138	XP_006292673.2	Aa_G517130.h1.t1, Aa_G154110.h1.t1
OG0000141	XP_006306386.2	Aa_G124650.h1.t1, Aa_G366140.h1.t1
OG0000141	XP_006300715.1, XP_006301151.1, XP_006301217.1, XP_023644089.1, XP_006286837.2	Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1
OG0000151	XP_006290668.1	Aa_G329140.h1.t1, Aa_G566620.h1.t1
OG0000151	XP_006292545.1	Aa_G729400.h1.t1
OG0000151	XP_006295608.1	Aa_G351720.h1.t1
OG0000151	XP_006290640.1	Aa_G13900.h1.t1
OG0000151	XP_006295587.1	Aa_G30120.h1.t1
OG0000151	XP_006287124.2	Aa_G388320.h1.t1
OG0000153	XP_023639834.1, XP_023639909.1, XP_023640029.1	Aa_G358520.h1.t1
OG0000153	XP_023639879.1	Aa_G428890.h1.t1, Aa_G428910.h1.t1, Aa_G310600.h1.t1
OG0000153	XP_023639769.1	Aa_G173900.h1.t1
OG0000154	XP_023644539.1	Aa_G37000.h1.t1
OG0000154	XP_023633661.1	Aa_G507510.h1.t1, Aa_G507500.h1.t1
OG0000154	XP_006303205.1, XP_006304379.1	Aa_G406970.h1.t1, Aa_G434970.h1.t1, Aa_G462070.h1.t1, Aa_G434980.h1.t1
OG0000158	XP_006285768.2	Aa_G223250.h1.t1
OG0000160	XP_006296920.1	Aa_G190130.h1.t1
OG0000160	XP_006282542.1	Aa_G620370.h1.t1
OG0000160	XP_006282289.1	Aa_G307400.h1.t1
OG0000160	XP_006279406.1	Aa_G194510.h1.t1
OG0000160	XP_006279360.1	Aa_G490420.h1.t1
OG0000160	XP_023643729.1	Aa_G21590.h1.t1
OG0000160	XP_006293643.2	Aa_G41590.h1.t1
OG0000161	XP_023634397.1, XP_023636868.1, XP_023636056.1, XP_023635040.1, XP_023632737.1, XP_023642374.1, XP_023645930.1, XP_023639647.1	Aa_G172360.h1.t1
OG0000162	XP_006296229.1, XP_023638032.1, XP_006292794.1, XP_006299665.1, XP_006295600.1, XP_006296378.1	Aa_G363640.h1.t1
OG0000164	XP_023634523.1	Aa_G840.h1.t1, Aa_G475650.h1.t1
OG0000165	XP_006284720.1	Aa_G266430.h1.t1
OG0000165	XP_006300571.1	Aa_G333690.h1.t1
OG0000170	XP_006292819.2	Aa_G48820.h1.t1
OG0000170	XP_023641004.1, XP_006307271.1	Aa_G16090.h1.t1, Aa_G569190.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1
OG0000170	XP_023640606.1, XP_023640163.1	Aa_G16110.h1.t1
OG0000171	XP_006281266.1	Aa_G134060.h1.t1
OG0000171	XP_006284706.1	Aa_G688860.h1.t1
OG0000171	XP_006298751.1	Aa_G70150.h1.t1
OG0000171	XP_006281239.2	Aa_G580840.h1.t1
OG0000171	XP_023641832.1, XP_006298742.1	Aa_G24370.h1.t1
OG0000171	XP_006284700.1	Aa_G2000.h1.t1
OG0000175	XP_006302886.1	Aa_G473510.h1.t1, Aa_G473510.h2.t1
OG0000175	XP_006291918.1, XP_006296139.2, XP_006295602.1	Aa_G535890.h1.t1
OG0000176	XP_023644310.1, XP_006290619.2	Aa_G319580.h1.t1, Aa_G319590.h1.t1
OG0000176	XP_023643800.1	Aa_G319560.h1.t1, Aa_G595900.h1.t1
OG0000177	XP_006306845.1	Aa_G507530.h1.t1
OG0000178	XP_006289433.1	Aa_G320630.h1.t1
OG0000179	XP_023644030.1, XP_023643476.1, XP_006300712.1	Aa_G323330.h1.t1
OG0000183	XP_006302967.1, XP_006284698.1	Aa_G505900.h1.t1
OG0000183	XP_023641020.1	Aa_G562480.h1.t1
OG0000183	XP_006290285.1	Aa_G562480.h2.t1
OG0000184	XP_006299261.1	Aa_G310780.h1.t1
OG0000185	XP_023640416.1	Aa_G328640.h1.t1, Aa_G328640.h2.t1
OG0000185	XP_023645963.1, XP_006305370.1	Aa_G464540.h1.t1, Aa_G464550.h1.t1
OG0000186	XP_006292502.1	Aa_G344900.h1.t1
OG0000186	XP_006279057.2, XP_023643827.1, XP_023643232.1, XP_006303240.1, XP_006293848.1, XP_023632799.1	Aa_G218170.h1.t1
OG0000187	XP_006296499.1	Aa_G279240.h1.t1, Aa_G279230.h1.t1
OG0000187	XP_023640855.1, XP_006295478.1, XP_023640375.1, XP_006296294.1, XP_023640377.1, XP_023640926.1, XP_023644474.1, XP_006295737.1	Aa_G279220.h1.t1, Aa_G773360.h1.t1, Aa_G279150.h1.t1
OG0000188	XP_006289243.1, XP_006289137.1, XP_006286705.1	Aa_G606990.h1.t1
OG0000189	XP_023633909.1, XP_006296623.1	Aa_G514660.h1.t1, Aa_G459730.h1.t1
OG0000189	XP_006282726.1	Aa_G180380.h1.t1, Aa_G70160.h1.t1
OG0000189	XP_006302850.1	Aa_G281740.h1.t1
OG0000195	XP_006285706.1, XP_006284967.1	Aa_G230200.h1.t1
OG0000195	XP_006287222.1	Aa_G459140.h1.t1
OG0000195	XP_006281429.1, XP_023644268.1, XP_006301244.1	Aa_G376620.h1.t1
OG0000196	XP_023635062.1	Aa_G185160.h1.t1
OG0000197	XP_023635153.1, XP_023644224.1	Aa_G460250.h1.t1, Aa_G460270.h1.t1
OG0000197	XP_023634326.1	Aa_G403160.h1.t1
OG0000197	XP_023633844.1	Aa_G674860.h1.t1
OG0000198	XP_006291995.1	Aa_G509920.h1.t1
OG0000198	XP_006305966.2	Aa_G328840.h1.t1
OG0000198	XP_006306087.1	Aa_G272200.h1.t1
OG0000198	XP_006291997.1, XP_023638678.1, XP_006291999.1, XP_023638990.1	Aa_G222140.h1.t1, Aa_G238450.h1.t1
OG0000199	XP_006304151.2, XP_006303339.1, XP_006304149.1	Aa_G530530.h1.t1, Aa_G311720.h1.t1, Aa_G362380.h1.t1, Aa_G186410.h1.t1, Aa_G153710.h1.t1, Aa_G367870.h1.t1, Aa_G385540.h1.t1, Aa_G191200.h1.t1, Aa_G138220.h1.t1
OG0000199	XP_006293511.1, XP_006280936.1, XP_006294905.1	Aa_G123140.h1.t1, Aa_G191220.h1.t1, Aa_G284830.h1.t1
OG0000200	XP_006305143.1, XP_006303722.1	Aa_G37370.h1.t1
OG0000202	XP_006286785.2	Aa_G548600.h1.t1, Aa_G191580.h1.t1, Aa_G99550.h1.t1, Aa_G180050.h1.t1, Aa_G296350.h1.t1, Aa_G77280.h1.t1, Aa_G53200.h1.t1, Aa_G53180.h2.t1, Aa_G53180.h1.t1, Aa_G53180.h3.t1
OG0000202	XP_023636924.1	Aa_G71240.h1.t1
OG0000202	XP_006301794.1	Aa_G434790.h1.t1, Aa_G716220.h1.t1
OG0000202	XP_023636923.1	Aa_G99540.h1.t1, Aa_G588730.h1.t1, Aa_G191550.h1.t1
OG0000203	XP_006292197.1	Aa_G526150.h1.t1
OG0000203	XP_006292664.2	Aa_G526230.h1.t1
OG0000203	XP_023638587.1	Aa_G526180.h1.t1
OG0000208	XP_023632621.1	Aa_G350.h1.t1, Aa_G89920.h1.t1, Aa_G979430.h1.t1
OG0000210	XP_006294103.1	Aa_G175290.h1.t1
OG0000210	XP_006293088.1	Aa_G573270.h1.t1
OG0000210	XP_006292318.1	Aa_G208990.h1.t1
OG0000214	XP_023640469.1	Aa_G843970.h1.t1
OG0000216	XP_023637283.1	Aa_G389410.h1.t1
OG0000216	XP_006302421.1	Aa_G57040.h1.t1
OG0000216	XP_006292358.1	Aa_G373050.h1.t1
OG0000219	XP_023634346.1	Aa_G48860.h1.t1
OG0000227	XP_006296962.1	Aa_G216090.h1.t1, Aa_G333250.h1.t1
OG0000232	XP_023636098.1, XP_023638057.1	Aa_G193030.h1.t1
OG0000233	XP_006290020.1	Aa_G471610.h1.t1
OG0000233	XP_006286767.1	Aa_G529880.h1.t1, Aa_G471590.h1.t1, Aa_G471600.h1.t1
OG0000234	XP_023639230.1, XP_006295841.1, XP_023635829.1, XP_023635762.1, XP_023636750.1, XP_023644543.1, XP_006305075.2	Aa_G685240.h1.t1
OG0000235	XP_006305118.1, XP_023644533.1	Aa_G181670.h1.t1, Aa_G191760.h1.t1
OG0000236	XP_023644265.1	Aa_G133920.h1.t1
OG0000236	XP_023642610.1	Aa_G384940.h1.t1
OG0000238	XP_023644384.1	Aa_G271400.h1.t1
OG0000238	XP_006289231.1	Aa_G367300.h1.t1, Aa_G367290.h1.t1
OG0000238	XP_006302942.1	Aa_G412960.h1.t1
OG0000241	XP_006284545.1	Aa_G213370.h1.t1
OG0000241	XP_006279099.1, XP_023635292.1, XP_006279100.1, XP_006285919.1, XP_006279101.1	Aa_G213350.h1.t1, Aa_G213340.h1.t1, Aa_G213320.h1.t1, Aa_G213330.h1.t1, Aa_G213310.h1.t1
OG0000241	XP_006289300.1	Aa_G257170.h1.t1
OG0000241	XP_006289916.1	Aa_G974580.h1.t1, Aa_G257180.h1.t1
OG0000241	XP_006289215.1	Aa_G257190.h1.t1
OG0000242	XP_006298183.1	Aa_G129860.h1.t1, Aa_G129870.h1.t1, Aa_G269360.h1.t1
OG0000242	XP_006279117.1, XP_006286819.1, XP_006286567.1	Aa_G40840.h1.t1
OG0000243	XP_006304293.1, XP_006305771.1	Aa_G465080.h1.t1, Aa_G465100.h1.t1, Aa_G22140.h1.t1, Aa_G465010.h1.t1, Aa_G223820.h1.t1
OG0000244	XP_023636139.1, XP_006286807.1	Aa_G189060.h1.t1
OG0000246	XP_006295641.1	Aa_G25270.h1.t1
OG0000246	XP_006294087.1, XP_006294083.1	Aa_G25290.h1.t1
OG0000246	XP_006296366.1	Aa_G25260.h1.t1
OG0000246	XP_006294067.1, XP_006293528.1	Aa_G25280.h1.t1
OG0000248	XP_023644302.1	Aa_G174720.h1.t1
OG0000250	XP_006287939.1	Aa_G41880.h2.t1, Aa_G41880.h1.t1
OG0000250	XP_006302388.1	Aa_G41880.h3.t1, Aa_G41880.h4.t1
OG0000250	XP_006288303.1, XP_006288300.1	Aa_G221240.h1.t1
OG0000251	XP_006290953.1, XP_023638661.1	Aa_G276750.h1.t1
OG0000251	XP_006282010.1	Aa_G69130.h1.t1
OG0000251	XP_006290948.1	Aa_G636080.h1.t1
OG0000251	XP_006292364.1, XP_006292423.1	Aa_G636100.h1.t1, Aa_G346220.h1.t1, Aa_G346200.h1.t1
OG0000252	XP_006299068.1	Aa_G74580.h1.t1, Aa_G145140.h1.t1
OG0000252	XP_006302386.1	Aa_G129390.h1.t1
OG0000253	XP_006297174.1	Aa_G403550.h1.t1
OG0000253	XP_006287234.1	Aa_G85370.h1.t1
OG0000254	XP_006284820.1	Aa_G353520.h1.t1
OG0000254	XP_006284817.1, XP_006286199.1, XP_006284824.1, XP_006284827.1, XP_006284826.1	Aa_G355560.h1.t1
