Orthogroup	Capsella_rubella	Euclidium_syriacum
OG0000069	XP_023645826.1	ESY10_g15831_DN1_SP0_c0.t1
OG0000069	XP_006288439.1	ESY6_g49138_DN1_SP0_c0.t1, ESY4_g26861_DN3_SP0_c0.t1
OG0000070	XP_006305612.2	ESY10_g14297_DN3_SP0_c35.t1
OG0000070	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1	ESY3_g32095_DN2_SP0_c41.t1
OG0000070	XP_006295429.1	ESY2_g37816_DN3_SP0_c0.t1, ESY2_g37886_DN2_SP0_c0.t1
OG0000072	XP_023644542.1, XP_006290241.2, XP_023637455.1	ESY2_g37912_DN2_SP0_c0.t1
OG0000073	XP_023644311.1	ESY4_g22225_DN3_SP0_c0.t1, ESY3_g28765_DN1_SP0_c0.t1
OG0000075	XP_023635517.1	ESY12_g52268_DN2_SP0_c19.t1
OG0000075	XP_006283916.1	ESY5_g3131_DN2_SP0_c0.t1
OG0000075	XP_006296170.1	ESY4_g26259_DN2_SP0_c32.t1
OG0000075	XP_006301199.1	ESY4_g26060_DN2_SP0_c0.t1, ESY4_g26061_DN3_SP0_c0.t1
OG0000076	XP_023634774.1	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1
OG0000076	XP_006286831.1	ESY5_g5006_DN2_SP0_c0.t1, ESY4_g26296_DN3_SP0_c0.t1, ESY6_g50580_DN1_SP0_c0.t1
OG0000076	XP_006281621.1	ESY4_g25261_DN2_SP0_c0.t1
OG0000077	XP_006292432.2	ESY7_g18827_DN2_SP0_c0.t1
OG0000079	XP_023644218.1, XP_023645325.1	ESY8_g59723_DN2_SP0_c0.t1
OG0000081	XP_023634311.1	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1
OG0000082	XP_023639594.1	ESY3_g28725_DN2_SP0_c0.t1
OG0000086	XP_006284253.1	ESY10_g14581_DN2_SP0_c0.t1, ESY12_g50856_DN3_SP0_c0.t1
OG0000086	XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302616.1	ESY2_g35232_DN2_SP0_c0.t1
OG0000089	XP_006287738.1	ESY6_g50131_DN3_SP8_c0.t1
OG0000089	XP_006294210.1	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000089	XP_006289933.1	ESY7_g18326_DN3_SP8_c0.t1
OG0000089	XP_006281513.1	ESY7_g16559_DN3_SP8_c0.t1
OG0000089	XP_006283733.1	ESY9_g43361_DN3_SP8_c0.t1
OG0000089	XP_006307490.1	ESY5_g3995_DN3_SP3_c0.t1
OG0000089	XP_006302256.1	ESY2_g34829_DN3_SP8_c0.t1
OG0000095	XP_006294389.1	ESY7_g19280_DN2_SP0_c0.t1, ESY7_g17327_DN3_SP0_c0.t1, ESY7_g19279_DN2_SP0_c34.t1, ESY7_g19285_DN2_SP0_c0.t1, ESY7_g19282_DN3_SP0_c38.t1, ESY7_g18924_DN3_SP0_c58.t1, ESY7_g19283_DN2_SP0_c13.t1, ESY7_g19278_DN2_SP0_c40.t1
OG0000095	XP_006295555.1, XP_006294228.1	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1
OG0000095	XP_006294375.1, XP_006294370.2	ESY7_g17177_DN3_SP0_c0.t1
OG0000096	XP_006297929.1	ESY6_g49250_DN3_SP0_c0.t1
OG0000096	XP_023638935.1	ESY3_g29685_DN2_SP0_c0.t1
OG0000098	XP_023641898.1, XP_006297881.1	ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY5_g5060_DN3_SP0_c0.t1
OG0000098	XP_006292655.1	ESY11_g53834_DN2_SP0_c0.t1
OG0000098	XP_006300240.1	ESY8_g58377_DN1_SP0_c0.t1, ESY8_g58376_DN2_SP0_c0.t1, ESY16_g62256_DN3_SP0_c0.t1, ESY8_g58375_DN1_SP0_c0.t1
OG0000098	XP_006305026.1	ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1
OG0000100	XP_023641940.1, XP_023643498.1, XP_006301994.2, XP_006301098.2, XP_023643317.1, XP_023643319.1, XP_023643315.1, XP_023644343.1, XP_006301550.2, XP_006301998.2, XP_023643545.1, XP_023635628.1, XP_023643962.1, XP_023643838.1, XP_023642986.1, XP_023642309.1, XP_023643246.1	ESY1_g11939_DN1_SP0_c0.t1
OG0000102	XP_006288400.1	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1
OG0000102	XP_006285555.2	ESY7_g16539_DN1_SP0_c0.t1, ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1, ESY6_g49637_DN2_SP0_c0.t1
OG0000102	XP_023634256.1, XP_006289089.1, XP_006288348.1	ESY7_g16536_DN3_SP0_c0.t1
OG0000102	XP_023633387.1	ESY7_g16537_DN2_SP0_c0.t1
OG0000107	XP_006299861.1, XP_006300030.1, XP_006297457.1, XP_006297444.1, XP_006289895.1, XP_006297460.1, XP_006290930.1, XP_006299064.2, XP_023642039.1	ESY4_g23035_DN3_SP0_c29.t1
OG0000109	XP_023644486.1, XP_023637552.1	ESY9_g44457_DN2_SP0_c0.t1
OG0000109	XP_023641886.1, XP_023633619.1, XP_023643495.1, XP_023633300.1, XP_023637389.1, XP_023634490.1, XP_023634624.1, XP_023633613.1	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1
OG0000110	XP_023634352.1	ESY9_g43985_DN3_SP0_c0.t1
OG0000110	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1	ESY22_g40730_DN3_SP0_c0.t1, ESY13_g56185_DN2_SP0_c0.t1, ESY6_g47757_DN3_SP0_c0.t1, ESY22_g40729_DN3_SP0_c0.t1
OG0000114	XP_006301152.1	ESY1_g8019_DN3_SP0_c0.t1, ESY1_g9122_DN3_SP0_c0.t1, ESY3_g29866_DN2_SP0_c0.t1, ESY1_g6559_DN2_SP0_c10.t1, ESY1_g8020_DN3_SP0_c0.t1, ESY12_g51930_DN3_SP0_c0.t1, ESY1_g11590_DN2_SP0_c0.t1, ESY2_g38712_DN2_SP0_c0.t1
OG0000114	XP_023634652.1, XP_023640905.1, XP_023635195.1	ESY1_g8939_DN3_SP0_c0.t1, ESY10_g13678_DN3_SP0_c0.t1, ESY7_g17909_DN3_SP0_c0.t1
OG0000117	XP_006306513.2	ESY11_g54277_DN1_SP0_c0.t1
OG0000117	XP_006303770.1, XP_006304583.1	ESY5_g2024_DN3_SP0_c0.t1
OG0000117	XP_006304618.2, XP_023644792.1	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1, ESY5_g5207_DN3_SP0_c0.t1, ESY5_g5208_DN3_SP0_c0.t1, ESY5_g5162_DN3_SP0_c0.t1
OG0000118	XP_006300909.1, XP_006301359.2, XP_006290202.1	ESY3_g32358_DN3_SP0_c0.t1
OG0000119	XP_023633433.1	ESY6_g48892_DN3_SP0_c5.t1
OG0000119	XP_006280698.1	ESY9_g42653_DN3_SP0_c4.t1
OG0000119	XP_023638772.1	ESY1_g9438_DN3_SP0_c57.t1, ESY4_g24785_DN3_SP0_c0.t1
OG0000120	XP_023640343.1, XP_023640331.1, XP_023644467.1	ESY5_g1991_DN1_SP0_c0.t1, ESY1_g9428_DN3_SP0_c0.t1, ESY1_g8024_DN2_SP0_c0.t1
OG0000120	XP_023644237.1, XP_023640332.1, XP_023639622.1	ESY1_g8023_DN1_SP0_c0.t1
OG0000122	XP_006281709.1, XP_006281577.2	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1
OG0000122	XP_023633528.1	ESY2_g33719_DN1_SP0_c0.t1, ESY18_g63392_DN1_SP0_c0.t1
OG0000122	XP_023645912.1, XP_023633493.1	ESY6_g48225_DN3_SP0_c0.t1, ESY5_g1857_DN3_SP0_c0.t1
OG0000122	XP_023633416.1	ESY6_g48231_DN2_SP0_c0.t1, ESY6_g48203_DN3_SP0_c0.t1, ESY2_g33718_DN3_SP0_c0.t1, ESY4_g25959_DN3_SP0_c0.t1, ESY10_g15010_DN3_SP0_c0.t1, ESY2_g36290_DN3_SP0_c0.t1
OG0000123	XP_006295946.1, XP_006282356.1, XP_006289168.1, XP_006303711.1, XP_006281753.1	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1
OG0000125	XP_006296171.1	ESY8_g58834_DN3_SP0_c19.t1
OG0000125	XP_023645616.1	ESY2_g37202_DN3_SP0_c14.t1
OG0000127	XP_006289049.1	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1
OG0000127	XP_006286660.1, XP_006298831.2, XP_006292034.1	ESY1_g11079_DN3_SP0_c0.t1
OG0000127	XP_006281264.1, XP_006292858.1	ESY6_g48851_DN3_SP0_c0.t1
OG0000128	XP_023639092.1, XP_023639093.1, XP_006291075.1, XP_006291073.1, XP_006291250.1, XP_006290900.1, XP_006291045.1, XP_006302146.1, XP_006282595.1	ESY1_g11245_DN1_SP0_c0.t1
OG0000129	XP_023644190.1	ESY2_g34340_DN2_SP0_c0.t1, ESY7_g18677_DN3_SP0_c0.t1, ESY9_g43047_DN3_SP0_c0.t1, ESY9_g43049_DN3_SP0_c0.t1
OG0000129	XP_023644195.1	ESY7_g19441_DN3_SP0_c0.t1, ESY7_g19438_DN2_SP0_c0.t1
OG0000129	XP_023645120.1, XP_023635333.1, XP_023640860.1, XP_023640089.1	ESY6_g49428_DN3_SP0_c0.t1
OG0000129	XP_023644193.1	ESY2_g34341_DN3_SP0_c0.t1
OG0000130	XP_006285982.2	ESY1_g9827_DN1_SP0_c0.t1
OG0000130	XP_023641922.1, XP_023644493.1	ESY23_g219_DN2_SP0_c0.t1
OG0000132	XP_023637355.1	ESY6_g48238_DN1_SP0_c0.t1
OG0000132	XP_023634360.1	ESY20_g12773_DN2_SP0_c0.t1
OG0000137	XP_006280761.2	ESY1_g10590_DN2_SP0_c0.t1, ESY6_g48021_DN2_SP0_c38.t1
OG0000140	XP_023643336.1, XP_023633812.1	ESY10_g15894_DN2_SP0_c0.t1
OG0000141	XP_006300715.1, XP_006301151.1, XP_006301217.1, XP_023644089.1, XP_006286837.2	ESY2_g33647_DN2_SP0_c0.t1, ESY2_g33651_DN2_SP0_c0.t1
OG0000148	XP_023632926.1, XP_006279114.2, XP_006305969.2, XP_006303718.2, XP_006297855.1	ESY8_g58470_DN2_SP0_c0.t1
OG0000148	XP_023634320.1, XP_006307735.2	ESY5_g5279_DN1_SP0_c0.t1
OG0000148	XP_023644303.1	ESY6_g48422_DN3_SP0_c0.t1, ESY5_g4001_DN3_SP0_c14.t1
OG0000151	XP_006292173.1, XP_006292174.1, XP_006279090.2, XP_006290668.1, XP_006292545.1, XP_006295608.1, XP_006292248.1, XP_006290640.1, XP_006295587.1, XP_006287124.2	ESY1_g10786_DN3_SP0_c0.t1, ESY1_g10749_DN1_SP0_c6.t1
OG0000153	XP_006294819.1	ESY18_g63267_DN3_SP0_c0.t1
OG0000153	XP_023639879.1	ESY5_g4518_DN3_SP0_c32.t1
OG0000154	XP_006306278.1, XP_023644539.1, XP_023635872.1	ESY16_g61942_DN3_SP0_c0.t1, ESY16_g61938_DN2_SP0_c0.t1, ESY2_g37486_DN2_SP0_c0.t1
OG0000154	XP_006303205.1, XP_006304379.1	ESY2_g37254_DN2_SP0_c0.t1
OG0000157	XP_006304647.1	ESY7_g18190_DN2_SP0_c0.t1
OG0000157	XP_006281807.1	ESY6_g50353_DN1_SP0_c0.t1
OG0000158	XP_023635458.1	ESY4_g26040_DN3_SP0_c0.t1, ESY7_g18054_DN3_SP0_c0.t1, ESY12_g51000_DN3_SP0_c0.t1, ESY4_g26330_DN1_SP0_c0.t1
OG0000158	XP_006279441.2	ESY4_g26326_DN2_SP0_c0.t1, ESY4_g26327_DN1_SP0_c0.t1, ESY8_g59062_DN2_SP0_c0.t1
OG0000158	XP_006285768.2	ESY4_g26329_DN2_SP0_c0.t1, ESY4_g26335_DN1_SP0_c0.t1, ESY4_g26332_DN3_SP0_c0.t1, ESY4_g26336_DN2_SP0_c0.t1, ESY4_g26041_DN2_SP0_c0.t1, ESY7_g18055_DN3_SP0_c0.t1
OG0000160	XP_006296920.1	ESY11_g54431_DN3_SP8_c0.t1
OG0000160	XP_006282542.1	ESY4_g24538_DN3_SP0_c0.t1
OG0000160	XP_006282289.1	ESY6_g48428_DN3_SP8_c0.t1
OG0000160	XP_006279360.1	ESY19_g42179_DN3_SP8_c0.t1
OG0000160	XP_023643729.1	ESY2_g36615_DN3_SP8_c6.t1
OG0000160	XP_006293643.2	ESY8_g59421_DN3_SP7_c0.t1
OG0000161	XP_023634397.1, XP_023636868.1, XP_023636056.1, XP_023635040.1, XP_023632737.1, XP_023642374.1, XP_023645930.1, XP_023639647.1	ESY11_g54524_DN2_SP0_c0.t1
OG0000162	XP_006296229.1	ESY20_g12795_DN3_SP0_c0.t1
OG0000162	XP_006295600.1, XP_006296378.1	ESY20_g12800_DN3_SP0_c0.t1
OG0000164	XP_023642220.1, XP_023645695.1, XP_023634523.1	ESY4_g22572_DN3_SP0_c0.t1
OG0000165	XP_006284720.1, XP_006292033.1, XP_023633900.1, XP_023633896.1, XP_023633895.1, XP_006304794.1, XP_006285197.1, XP_006298795.1, XP_006292031.1, XP_006282755.1, XP_006296672.1, XP_006298803.1, XP_006295221.1, XP_006298802.1, XP_006298799.1, XP_006288874.1, XP_006284739.1, XP_006284738.1, XP_006284744.1, XP_006300570.1, XP_023633899.1, XP_006300571.1	ESY11_g54874_DN3_SP0_c0.t1, ESY11_g54875_DN3_SP0_c0.t1
OG0000167	XP_006300127.2, XP_006285626.2, XP_006289372.1, XP_006289486.2, XP_006286703.2, XP_023634668.1, XP_006299157.1, XP_023642627.1, XP_023642656.1, XP_006299826.1	ESY2_g33553_DN2_SP0_c0.t1
OG0000169	XP_023641928.1, XP_023641931.1	ESY12_g51769_DN2_SP0_c0.t1
OG0000170	XP_023640533.1, XP_006293280.2, XP_006292819.2, XP_023641004.1, XP_006307271.1, XP_023640714.1, XP_023639945.1, XP_023640606.1, XP_023640163.1	ESY7_g16345_DN2_SP0_c0.t1
OG0000171	XP_006281266.1	ESY6_g47353_DN3_SP8_c0.t1
OG0000171	XP_006284706.1	ESY8_g60049_DN3_SP6_c0.t1
OG0000171	XP_006302865.2	ESY2_g33324_DN3_SP8_c0.t1
OG0000171	XP_006298751.1	ESY11_g53876_DN3_SP8_c0.t1
OG0000171	XP_006281239.2	ESY6_g48165_DN3_SP8_c0.t1
OG0000171	XP_023641832.1, XP_006298742.1	ESY3_g30785_DN3_SP8_c0.t1, ESY3_g30787_DN3_SP0_c0.t1
OG0000171	XP_006284700.1	ESY4_g23864_DN3_SP6_c0.t1
OG0000173	XP_023633711.1	ESY3_g28607_DN2_SP0_c0.t1
OG0000173	XP_006284898.2, XP_023644326.1	ESY4_g25629_DN2_SP0_c19.t1
OG0000173	XP_023641380.1, XP_023641239.1	ESY3_g31617_DN3_SP0_c0.t1
OG0000173	XP_006289268.1	ESY4_g25827_DN2_SP0_c0.t1
OG0000174	XP_023639187.1, XP_023634312.1, XP_023640329.1, XP_023644479.1, XP_006281259.1	ESY11_g53584_DN1_SP0_c0.t1, ESY3_g28899_DN2_SP0_c0.t1, ESY4_g24612_DN2_SP0_c73.t1, ESY2_g38528_DN2_SP0_c0.t1, ESY19_g41722_DN3_SP0_c0.t1, ESY11_g53147_DN2_SP0_c3.t1
OG0000177	XP_006306845.1	ESY1_g11445_DN3_SP0_c0.t1
