Orthogroup	Capsella_rubella	Camelina_sativa
OG0000009	XP_023639354.1	XP_019085473.1
OG0000009	XP_023641325.1	XP_010445339.1, XP_010474119.1
OG0000009	XP_023640352.1	XP_010474388.1, XP_010445324.1, XP_010418625.1, XP_010419080.1, XP_010506918.1, XP_019092367.1, XP_010412434.1, XP_019082570.1, XP_019093323.1, XP_010490288.1, XP_010473858.1, XP_019091186.1, XP_010512831.1, XP_010436807.1, XP_010423650.1, XP_010457037.1, XP_019086349.1, XP_019096504.1, XP_019092384.1, XP_010485041.1, XP_010436406.1, XP_010468814.1, XP_010495742.1, XP_010431090.1, XP_010468349.1
OG0000009	XP_006292284.1	XP_010506896.1, XP_010507310.1, XP_019093287.1
OG0000011	XP_023641372.1	XP_010506471.1, XP_010420141.1, XP_010423040.1, XP_019095544.1, XP_010481212.1, XP_010507282.1, XP_010415695.1
OG0000011	XP_023633409.1, XP_023641370.1	XP_010445771.1, XP_010490065.1, XP_010462557.1, XP_010445515.1, XP_010431263.1, XP_010473749.1, XP_010424194.1, XP_010501437.1, XP_010462846.1, XP_010468134.1, XP_010477411.1, XP_010445496.1, XP_010424758.1, XP_019099681.1, XP_019084322.1, XP_010518648.2, XP_019099759.1, XP_010456625.1, XP_010490157.1, XP_010501841.1, XP_019087442.1, XP_010424815.1
OG0000011	XP_023636996.1	XP_010424212.1
OG0000011	XP_023635713.1, XP_023636144.1	XP_010504520.2
OG0000011	XP_023636084.1	XP_010502002.1, XP_010489152.1
OG0000011	XP_023637727.1	XP_010513273.2, XP_010484802.1, XP_010484982.1, XP_010445478.1
OG0000011	XP_006305811.2, XP_023641252.1, XP_023637592.1, XP_023644258.1	XP_019087287.1
OG0000011	XP_023643301.1, XP_023638031.1	XP_010436576.1
OG0000011	XP_006298993.2, XP_023637233.1	XP_019082656.1, XP_010424386.1, XP_010463179.1
OG0000011	XP_006288329.2	XP_010453170.1, XP_010497231.1
OG0000014	XP_023644214.1	XP_019097536.1
OG0000014	XP_023639612.1	XP_019096531.1, XP_019095899.1, XP_010496850.1, XP_010507594.1
OG0000014	XP_023638462.1, XP_023634279.1	XP_019090131.1, XP_010495824.1, XP_019100932.1, XP_019091121.1, XP_019086291.1, XP_019087584.1, XP_019082635.1, XP_019098328.1, XP_019098389.1, XP_019096593.1, XP_019098329.1
OG0000015	XP_023644452.1	XP_019098184.1, XP_010412474.1
OG0000015	XP_023633382.1	XP_010451702.1
OG0000015	XP_023638902.1	XP_010474544.1
OG0000015	XP_023638085.1	XP_010484774.1
OG0000016	XP_023639630.1	XP_019096474.1
OG0000018	XP_023641956.1	XP_010462935.1, XP_010474081.1
OG0000020	XP_023640323.1	XP_019087487.1, XP_010473965.2, XP_010496135.2, XP_010417447.2, XP_010506998.1, XP_010419513.2, XP_010485084.1, XP_019093393.1, XP_010490144.2, XP_010445327.2
OG0000020	XP_006279199.1	XP_019084343.1
OG0000020	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1	XP_010513440.1, XP_019085424.1, XP_019094593.1, XP_019085440.1, XP_010495727.1, XP_019085626.1, XP_019101996.1, XP_019086627.1
OG0000020	XP_006302668.2	XP_019082585.1
OG0000021	XP_023637241.1	XP_010513446.2, XP_019086267.1, XP_010423747.1
OG0000021	XP_023637954.1	XP_010436809.1, XP_010424537.1, XP_010506965.1, XP_010503779.1
OG0000021	XP_023641377.1	XP_010431203.2, XP_019096510.1, XP_019100928.1
OG0000021	XP_023638098.1	XP_010424409.1, XP_010425747.1
OG0000021	XP_023633350.1	XP_010426045.1, XP_010490194.1, XP_010419328.1, XP_010425255.1
OG0000021	XP_023634149.1	XP_010518556.1
OG0000021	XP_023640318.1	XP_010456610.1
OG0000021	XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1	XP_010446058.1, XP_010451363.1
OG0000021	XP_023645856.1	XP_010431070.1, XP_019091017.1, XP_010445717.1
OG0000021	XP_023634319.1	XP_010474695.1, XP_010507197.1
OG0000021	XP_023641905.1, XP_023638482.1, XP_023634354.1	XP_019091130.1, XP_010456944.1, XP_019094396.1, XP_019100756.1, XP_019092276.1, XP_019097496.1, XP_010480828.1, XP_010445495.1, XP_010412713.1
OG0000021	XP_023634431.1	XP_019091495.1
OG0000021	XP_023641962.1, XP_023641378.1	XP_010471217.1, XP_010434877.1, XP_019088976.1, XP_010482610.1
OG0000021	XP_023637243.1, XP_023642574.1	XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010451671.1, XP_019096477.1, XP_010511144.1, XP_010439761.1, XP_019089680.1
OG0000022	XP_006283550.1	XP_010438694.1, XP_010448208.1, XP_010433436.1
OG0000022	XP_023636761.1	XP_010453827.1, XP_019084725.1, XP_010492576.1
OG0000022	XP_006301297.1	XP_010419482.1
OG0000022	XP_006301194.2, XP_006300860.1	XP_019087557.1
OG0000022	XP_006302102.1	XP_010473491.1, XP_010418269.1, XP_010430336.1
OG0000022	XP_006301814.1	XP_010474584.1, XP_019085228.1, XP_010419465.1
OG0000022	XP_006306232.1	XP_010458700.1
OG0000022	XP_006303680.2, XP_006303621.1	XP_010458689.1, XP_019090833.1, XP_019095236.1, XP_010458718.1, XP_010476232.1, XP_010456672.1
OG0000022	XP_006306401.2, XP_006303167.1	XP_019091381.1, XP_010476184.1, XP_010476252.1, XP_019094809.1, XP_019098970.1, XP_019090986.1, XP_010458712.1, XP_010462662.1, XP_010493846.1, XP_010494656.1
OG0000022	XP_023643559.1	XP_010418533.1, XP_019085324.1
OG0000022	XP_006302132.1	XP_010418529.1, XP_010430597.1
OG0000022	XP_023635463.1	XP_010447152.1, XP_010436064.1
OG0000022	XP_006297483.1	XP_019096254.1, XP_010504570.1, XP_010465692.1
OG0000023	XP_023633772.1	XP_010490106.1, XP_019092345.1, XP_010490056.1, XP_010495372.1, XP_010512916.1, XP_010424574.1, XP_010474959.1
OG0000023	XP_023636242.1	XP_010468561.1, XP_010463429.1
OG0000023	XP_023642187.1	XP_010495582.1, XP_019095592.1
OG0000024	XP_023643300.1, XP_023632994.1	XP_019095769.1, XP_010480790.1
OG0000024	XP_023633131.1	XP_010460917.1, XP_010478547.1
OG0000024	XP_023632981.1, XP_023645579.1	XP_019094487.1, XP_019095766.1, XP_010499647.1, XP_010478535.1, XP_019092749.1, XP_010501501.1, XP_010476927.1
OG0000024	XP_023645581.1	XP_010463023.1, XP_019097335.1, XP_019091875.1, XP_010451757.1
OG0000024	XP_023632988.1	XP_010478551.1
OG0000024	XP_023644421.1, XP_023644420.1, XP_023632644.1, XP_023632643.1	XP_019091095.1, XP_010480880.1
OG0000024	XP_023644419.1	XP_019094490.1, XP_019091554.1
OG0000024	XP_023633039.1	XP_010480824.1
OG0000024	XP_023632975.1	XP_010501685.1
OG0000024	XP_023633004.1, XP_023639207.1	XP_010431261.1, XP_010515603.1, XP_010504688.1, XP_010427639.1, XP_010427857.1, XP_010431427.1, XP_010427640.1, XP_010504689.1
OG0000025	XP_023636962.1	XP_010438543.1, XP_010496538.1
OG0000025	XP_023633701.1, XP_023644236.1	XP_010468591.1, XP_019095109.1
OG0000025	XP_023636110.1	XP_010495239.1, XP_010495240.1, XP_010507228.1
OG0000025	XP_023641784.1	XP_010474036.1, XP_010424602.1
OG0000025	XP_023644446.1, XP_023636071.1	XP_010496134.1, XP_010490452.1, XP_010474526.1, XP_010424785.1, XP_010474094.1, XP_010419434.1, XP_019084250.1, XP_010445859.1, XP_010501852.1
OG0000027	XP_023635857.1	XP_010434889.1
OG0000027	XP_023635858.1, XP_006289355.2	XP_010434897.1, XP_010455557.1
OG0000027	XP_006286462.1	XP_010455558.1
OG0000027	XP_006287218.1	XP_019089721.1
OG0000027	XP_006284983.1	XP_010439188.2, XP_010433919.1
OG0000027	XP_023634683.1	XP_019089325.1, XP_010433927.1
OG0000027	XP_006283253.1	XP_019086460.1
OG0000027	XP_023634688.1	XP_019086469.1, XP_010439191.1
OG0000027	XP_023638659.1	XP_010427119.1, XP_010514748.1, XP_010503063.1
OG0000027	XP_006285954.1	XP_010418084.1, XP_010439216.1
OG0000027	XP_006289052.2	XP_019090217.1, XP_019084079.1
OG0000027	XP_023635860.1	XP_010422102.1
OG0000027	XP_006283274.1	XP_010439198.1, XP_019086465.1, XP_010448731.2
OG0000027	XP_006282816.1	XP_019087878.1
OG0000027	XP_023634698.1	XP_019089062.1, XP_010448746.1, XP_010439203.1
OG0000027	XP_006283296.1	XP_019087356.1, XP_010448742.1, XP_010433928.1
OG0000027	XP_023634685.1	XP_010451236.1
OG0000027	XP_023634702.1	XP_010439207.1
OG0000028	XP_023634475.1	XP_010450001.1, XP_010436592.1, XP_010440401.1, XP_019087714.1, XP_010436629.2, XP_010451562.1, XP_019089771.1, XP_010446183.1, XP_019095667.1
OG0000028	XP_006304936.1	XP_010478410.1
OG0000028	XP_023644946.1	XP_010480737.1, XP_019094483.1, XP_019094842.1
OG0000028	XP_006281712.1	XP_010485121.1, XP_010446111.1, XP_019086647.1, XP_010482860.1, XP_010485122.1, XP_010485123.1
OG0000028	XP_006285133.1	XP_010446868.1
OG0000029	XP_023633422.1	XP_019093987.1
OG0000029	XP_023634815.1, XP_023641328.1, XP_023642217.1, XP_023644323.1, XP_023644233.1	XP_010436410.1
OG0000029	XP_023640355.1	XP_010451660.1
OG0000029	XP_023640390.1, XP_023635785.1, XP_023637682.1	XP_010515282.1
OG0000030	XP_023642658.1	XP_010424523.1, XP_010487966.1
OG0000030	XP_023641336.1	XP_019092251.1
OG0000030	XP_006296044.1	XP_010463131.1, XP_010481059.1
OG0000030	XP_023644289.1	XP_010419044.1
OG0000030	XP_006297884.1	XP_010489955.2
OG0000030	XP_006303634.1	XP_010462936.2, XP_010462910.2
OG0000030	XP_023632886.1, XP_023632793.1	XP_010477981.2, XP_019091238.1, XP_010499061.1
OG0000030	XP_006293126.1	XP_019099946.1, XP_019099931.1, XP_010431180.1
OG0000030	XP_006305030.1	XP_010480422.1
OG0000030	XP_006299109.2	XP_010501558.2
OG0000030	XP_006297854.1, XP_006297862.1	XP_010419025.2
OG0000030	XP_006300177.2	XP_010489797.1, XP_019096559.1, XP_010468083.1
OG0000030	XP_006298407.2	XP_010501254.1, XP_019096650.1
OG0000031	XP_023633361.1	XP_019082588.1
OG0000032	XP_023634318.1	XP_010490026.1, XP_010446026.1
OG0000034	XP_006283285.1	XP_010448753.1
OG0000034	XP_023634692.1	XP_010418085.1, XP_010439218.1, XP_010448756.1
OG0000034	XP_006285944.1	XP_010439226.1, XP_010439227.1
OG0000034	XP_023634856.1	XP_019088150.1, XP_019089518.1
OG0000034	XP_023637378.1	XP_019085069.1, XP_019088752.1, XP_019084421.1, XP_010456187.1
OG0000034	XP_023634693.1	XP_019087864.1, XP_010448760.1
OG0000034	XP_023634678.1	XP_010448759.1, XP_010433935.1
OG0000034	XP_006301684.1	XP_010448766.1, XP_019088941.1, XP_010473582.1, XP_010418366.1, XP_010430440.1
OG0000034	XP_006283297.1	XP_019086470.1, XP_010439195.1
OG0000034	XP_023634635.1	XP_010448301.1
OG0000034	XP_023638280.1	XP_010427120.1, XP_010514747.1, XP_010503062.2
OG0000034	XP_006283145.1	XP_010439190.1
OG0000034	XP_006283273.1	XP_019089061.1, XP_019086461.1, XP_019087860.1
OG0000034	XP_023634701.1	XP_010451231.2, XP_010448725.1
OG0000034	XP_006284972.1	XP_010448758.1, XP_010439212.1, XP_010433932.1, XP_019089810.1
OG0000034	XP_006283283.1	XP_010439220.1, XP_010448755.1, XP_010433938.1
OG0000034	XP_023635576.1	XP_010433930.1, XP_019087874.1, XP_010448768.1
OG0000040	XP_023644222.1, XP_023644534.1, XP_023640572.1	XP_019084027.1, XP_019100690.1
OG0000040	XP_023639239.1, XP_023634852.1	XP_019099950.1, XP_019088174.1, XP_019094516.1, XP_019095793.1, XP_019102288.1, XP_019101895.1
OG0000040	XP_023643349.1, XP_023644573.1	XP_010480899.1
OG0000040	XP_023642459.1, XP_023632551.1, XP_023638973.1	XP_010490346.1
OG0000040	XP_023634840.1, XP_023636105.1, XP_023633811.1	XP_010445623.1
OG0000040	XP_023640353.1	XP_019083342.1, XP_019094451.1
OG0000042	XP_023634283.1	XP_010445645.1, XP_010462855.1, XP_010460219.1, XP_010415464.1, XP_010456305.1, XP_010424457.1, XP_010412443.1, XP_010424173.1, XP_010501749.1, XP_019084211.1, XP_010507568.1, XP_010468592.1, XP_019098046.1, XP_010431219.1, XP_010470910.1, XP_010490052.1, XP_010481147.1, XP_019099771.1, XP_010513423.1, XP_010473769.1, XP_010513486.1, XP_010501571.1, XP_010480984.1, XP_019092230.1
OG0000042	XP_023644481.1	XP_010506954.1, XP_010412394.1, XP_010506956.1, XP_010484797.1
OG0000043	XP_023643350.1	XP_010424468.1
OG0000043	XP_023644208.1	XP_010463046.1, XP_010497241.1, XP_010501876.1, XP_019099585.1, XP_010445958.1, XP_010422854.1
OG0000043	XP_006299187.2	XP_010471448.1, XP_010473926.1, XP_010445335.1, XP_019091097.1, XP_010513759.1, XP_019087314.1, XP_019094473.1
OG0000043	XP_006304881.2	XP_010507068.1, XP_010484806.1
OG0000044	XP_023638545.1	XP_019082617.1, XP_010445862.2
OG0000044	XP_023634755.1	XP_010494828.1
OG0000044	XP_006281533.1	XP_010441602.1, XP_010496016.1
OG0000044	XP_023636310.1	XP_010434749.1
OG0000044	XP_006282434.2	XP_019087254.1, XP_019088788.1
OG0000044	XP_006296267.1	XP_019086569.1, XP_010449698.1
OG0000044	XP_023633381.1	XP_010482397.1
OG0000046	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1	XP_019094579.1, XP_010458616.1
OG0000048	XP_023640388.1	XP_010418688.1, XP_010473891.1, XP_010473899.1, XP_010510053.1, XP_010510047.1
OG0000048	XP_023640387.1	XP_010513134.1, XP_010418702.1
OG0000048	XP_023640514.1	XP_010513136.1, XP_019082534.1, XP_010510111.2, XP_019099592.1, XP_010430751.1
OG0000048	XP_006299189.1	XP_010421893.1
OG0000048	XP_023632757.1	XP_010468111.1, XP_019094365.1
OG0000048	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2	XP_010431681.1, XP_019082751.1, XP_010431684.1, XP_010431683.1, XP_010419453.1
OG0000049	XP_023634287.1	XP_019082607.1, XP_019100894.1, XP_019095674.1, XP_019086215.1, XP_019085512.1, XP_019091164.1
OG0000049	XP_023634626.1	XP_019087412.1, XP_019098132.1, XP_019099318.1, XP_019101870.1
OG0000051	XP_006304062.1	XP_010475218.1
OG0000051	XP_023640868.1	XP_010508568.1, XP_019101977.1, XP_010506074.1
OG0000051	XP_023640424.1	XP_019100718.1, XP_019102056.1
OG0000051	XP_023639525.1	XP_019100716.1, XP_019099796.1, XP_019100715.1
OG0000051	XP_023640425.1	XP_019099797.1, XP_019100714.1
OG0000051	XP_023640455.1, XP_023640454.1	XP_019100713.1, XP_019099798.1, XP_019099883.1, XP_019101012.1, XP_010413016.2, XP_010413017.1
OG0000052	XP_023639087.1	XP_010425425.1, XP_019100094.1
OG0000052	XP_023639245.1	XP_010502638.1
OG0000052	XP_006301891.2, XP_006301896.2	XP_019100897.1, XP_010418932.1, XP_010418929.2
OG0000052	XP_023638056.1, XP_023639204.1	XP_010507020.2
OG0000052	XP_006293172.2	XP_010440300.1, XP_019085462.1, XP_019085408.1
OG0000052	XP_006291114.1, XP_006291129.1	XP_019099853.1, XP_010431292.1
OG0000052	XP_006293230.1	XP_019085576.1, XP_010431289.1, XP_019100300.1
OG0000052	XP_023638945.1	XP_010431290.2, XP_019082473.1, XP_019085577.1, XP_010431293.1
OG0000052	XP_023638947.1	XP_019101910.1, XP_019099715.1, XP_019085580.1, XP_010431296.1
OG0000052	XP_023638946.1	XP_019085912.1
OG0000052	XP_006291090.1	XP_010515571.1, XP_010426725.1, XP_010503847.2
OG0000052	XP_006291102.1	XP_010515239.1, XP_010503551.1, XP_010426408.1
OG0000052	XP_023641037.1, XP_023633372.1	XP_019099940.1
OG0000052	XP_023638594.1	XP_010426407.1
OG0000052	XP_023638561.1, XP_006293221.1	XP_010507323.1, XP_019085543.1, XP_019085541.1, XP_010412647.1, XP_010426406.1, XP_010471335.1, XP_010416064.1, XP_010428193.1, XP_019085547.1, XP_019099693.1, XP_019085544.1, XP_010507328.1
OG0000052	XP_023638815.1	XP_019102115.1, XP_019102114.1, XP_019085861.1, XP_019083963.1
OG0000054	XP_023640334.1	XP_019087483.1, XP_010419074.1, XP_019087585.1, XP_019091106.1, XP_010513461.1, XP_010474092.1, XP_019098333.1, XP_019085464.1, XP_010501846.1
OG0000054	XP_023633331.1	XP_019093378.1
OG0000054	XP_023634647.1	XP_010468617.1
OG0000055	XP_006299228.1, XP_006300113.1	XP_019092356.1
OG0000055	XP_023641570.1	XP_019092636.1
OG0000055	XP_023642764.1	XP_010456592.1
OG0000055	XP_006292584.2, XP_023634515.1	XP_010440797.1, XP_019086313.1, XP_010451673.1
OG0000055	XP_006299604.1	XP_010489901.1, XP_019096397.1, XP_010465850.1, XP_010487685.1, XP_010465849.1
OG0000055	XP_023641561.1	XP_019092372.1, XP_019089014.1, XP_019092647.1, XP_010490397.2, XP_010449648.2
OG0000055	XP_006299379.1	XP_010468236.2, XP_010489892.2
OG0000056	XP_006301460.1	XP_010430303.1
OG0000056	XP_006302241.1	XP_010473413.1, XP_019085277.1
OG0000056	XP_006302237.1	XP_010473426.1, XP_010430251.1
OG0000056	XP_006300465.1, XP_006302243.1	XP_010430227.1, XP_010418186.1, XP_010473423.1, XP_010418174.1
OG0000056	XP_006301237.2	XP_010430221.1
OG0000056	XP_023643438.1	XP_010473417.1, XP_010419451.1
OG0000056	XP_006301411.1	XP_010430223.1, XP_010418172.1, XP_010473414.1
OG0000056	XP_006301193.1	XP_019082750.1, XP_010430231.1, XP_010473416.1
OG0000056	XP_006301052.1	XP_010418173.1, XP_010430224.1, XP_010473415.1
OG0000056	XP_006292456.1	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1
OG0000058	XP_023633448.1	XP_010468509.1, XP_010513254.1, XP_010506939.1
OG0000058	XP_023636066.1	XP_010480419.1
OG0000058	XP_023636060.1	XP_010484891.1
OG0000058	XP_023640345.1, XP_023636058.1, XP_023640315.1, XP_023643584.1, XP_023640320.1, XP_023634265.1, XP_023644147.1, XP_023644470.1, XP_023634034.1, XP_023638869.1	XP_010468544.1, XP_010485044.1
OG0000059	XP_023633548.1, XP_023644244.1, XP_023634277.1	XP_010445837.1, XP_010495452.1
OG0000059	XP_023636099.1, XP_006290464.1	XP_010456785.1
OG0000060	XP_006292099.1	XP_010483612.1, XP_010443785.1
OG0000060	XP_006295294.1	XP_010514915.1
OG0000060	XP_006303455.1	XP_010483643.1, XP_010427032.1, XP_010457960.1, XP_010443740.1
OG0000060	XP_006292098.1	XP_010475534.1
OG0000060	XP_006279505.1	XP_010455395.1
OG0000061	XP_006307356.2	XP_010479194.1
OG0000061	XP_023633781.1	XP_010433411.2, XP_010445103.2, XP_010451164.1
OG0000061	XP_023634933.1	XP_010436712.1
OG0000061	XP_006290130.1	XP_019084383.1, XP_010452572.1
OG0000061	XP_023640829.1	XP_010510427.1
OG0000061	XP_023635299.1	XP_010441286.1, XP_010436072.1
OG0000062	XP_023633353.1	XP_010430727.1
OG0000062	XP_023634169.1	XP_010430776.1, XP_010497024.1, XP_019085507.1
OG0000064	XP_006301107.1	XP_019095830.1
OG0000064	XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301855.1, XP_006301176.1, XP_006306169.1	XP_019097470.1, XP_019097730.1, XP_010494197.1, XP_010494198.1, XP_010495950.1, XP_010467928.1, XP_010484899.1, XP_019095588.1, XP_010442146.1, XP_010481977.1, XP_010481978.1, XP_010494196.1, XP_010494195.1, XP_010494194.1
OG0000065	XP_023644283.1	XP_010470573.1, XP_010511598.1, XP_019083199.1, XP_019100931.1
OG0000065	XP_006279179.2	XP_019082630.1, XP_019098153.1, XP_010470581.1
OG0000065	XP_023643067.1	XP_019083220.1
OG0000065	XP_006300887.1	XP_010470571.1, XP_010415233.1
OG0000065	XP_023644284.1	XP_010496110.1
OG0000065	XP_023637822.1	XP_010440921.1
OG0000065	XP_006290268.1	XP_010440922.2, XP_010450949.1
OG0000065	XP_023638915.1	XP_010450947.1, XP_019086129.1
OG0000065	XP_006290703.1	XP_019088287.1
OG0000065	XP_006286236.1	XP_010441031.1, XP_019089248.1, XP_010435808.1
OG0000066	XP_006301260.2	XP_010475747.1, XP_010484375.1, XP_010514443.1, XP_010502711.1
OG0000066	XP_006304637.1	XP_010444536.1
OG0000066	XP_006292533.1	XP_010458200.1
