Orthogroup	Capsella_rubella	Eutrema_salsugineum
OG0000020	XP_023640323.1	XP_024013930.1, XP_024006617.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024013948.1, XP_024013964.1, XP_024013965.1, XP_006405034.2, XP_024010782.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013043.1, XP_024013056.1, XP_024010319.1, XP_024014443.1, XP_024006547.1, XP_024014425.1, XP_024007259.1, XP_024009794.1, XP_024011333.1, XP_024006565.1, XP_024013063.1, XP_024010757.1, XP_024016106.1, XP_024014812.1, XP_024015878.1, XP_024010923.1, XP_024016723.1, XP_024004986.1, XP_024015902.1
OG0000020	XP_006279199.1	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1
OG0000020	XP_023638851.1, XP_023638850.1	XP_024005003.1
OG0000020	XP_006302668.2	XP_024015881.1
OG0000021	XP_023641377.1	XP_024013384.1
OG0000021	XP_023634431.1	XP_024008232.1
OG0000022	XP_006283550.1	XP_006413138.1
OG0000022	XP_023636761.1	XP_006400202.2
OG0000022	XP_006301297.1	XP_006391807.1
OG0000022	XP_006301194.2, XP_006300860.1, XP_006302102.1	XP_006391833.2
OG0000022	XP_006301814.1	XP_006391829.2
OG0000022	XP_006306232.1, XP_006303680.2, XP_006303621.1	XP_006417237.2
OG0000022	XP_006306401.2, XP_006303167.1	XP_006417199.1, XP_006417205.1, XP_006417216.1
OG0000022	XP_006302132.1	XP_006391605.2
OG0000022	XP_023635463.1	XP_024014798.1
OG0000022	XP_006297483.1	XP_024015415.1
OG0000023	XP_023633772.1	XP_024007961.1, XP_024010549.1, XP_024014546.1, XP_024015958.1
OG0000023	XP_023636242.1	XP_024016362.1, XP_024013416.1
OG0000023	XP_023636237.1	XP_024009936.1, XP_024006513.1
OG0000024	XP_023633039.1	XP_024006555.1
OG0000024	XP_023633004.1, XP_023639207.1	XP_024004275.1
OG0000025	XP_023636962.1	XP_024007336.1
OG0000025	XP_023636110.1	XP_024006403.1, XP_024014257.1, XP_024015953.1, XP_024011323.1, XP_024014480.1, XP_024007296.1, XP_024013049.1, XP_024004954.1, XP_024012916.1, XP_024010763.1, XP_024014390.1, XP_024013392.1, XP_024014398.1, XP_024010323.1, XP_024011260.1, XP_024004142.1, XP_024015028.1, XP_024004413.1, XP_024014090.1, XP_024010651.1, XP_024009163.1, XP_024014222.1, XP_024015865.1, XP_024014393.1, XP_024004761.1, XP_024014962.1, XP_024010657.1, XP_024004987.1, XP_024006404.1, XP_024015864.1, XP_024007297.1, XP_024014500.1, XP_024012918.1
OG0000025	XP_023641784.1, XP_023644446.1, XP_023636071.1	XP_024013403.1, XP_024013306.1, XP_024009983.1, XP_024006433.1, XP_024014732.1, XP_024014743.1, XP_024007900.1, XP_024013980.1, XP_024010438.1, XP_024010204.1, XP_024015304.1, XP_024009430.1, XP_024010439.1
OG0000027	XP_023635858.1, XP_006289355.2, XP_006286462.1	XP_024009838.1, XP_006396897.2
OG0000027	XP_006287218.1	XP_006396896.1
OG0000027	XP_023635866.1	XP_024010236.1
OG0000027	XP_006284983.1	XP_006413565.1
OG0000027	XP_006283253.1	XP_024013896.1
OG0000027	XP_006287240.1	XP_006396908.2
OG0000027	XP_006282816.1	XP_006413573.1
OG0000029	XP_023633422.1, XP_023644241.1, XP_023638860.1, XP_023634002.1, XP_023644242.1, XP_023644257.1, XP_023638123.1, XP_023633373.1, XP_023633615.1, XP_023641909.1, XP_023636106.1, XP_023644249.1, XP_023638859.1	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1
OG0000029	XP_023640390.1, XP_023635785.1, XP_023637682.1	XP_024007219.1, XP_024004754.1, XP_024004102.1
OG0000030	XP_023642658.1, XP_023641336.1, XP_006296044.1	XP_006391637.1
OG0000030	XP_006303634.1, XP_023632886.1, XP_023632793.1	XP_024008003.1
OG0000030	XP_006293126.1	XP_024016186.1
OG0000031	XP_023633361.1	XP_024014022.1
OG0000031	XP_023635342.1	XP_024009588.1, XP_024010453.1, XP_024006101.1, XP_024007284.1
OG0000034	XP_006283285.1	XP_006413571.1, XP_024010975.1
OG0000034	XP_006285944.1	XP_006413574.2
OG0000034	XP_023634856.1	XP_024005104.1
OG0000034	XP_006283145.1, XP_006283273.1, XP_023634701.1	XP_006413567.2
OG0000034	XP_006283283.1	XP_024004626.1
OG0000035	XP_023633542.1, XP_023633652.1, XP_023639706.1	XP_024010425.1, XP_024007977.1
OG0000035	XP_023640381.1, XP_023634177.1	XP_024007976.1, XP_024016141.1
OG0000035	XP_023634166.1	XP_024016804.1
OG0000040	XP_023644222.1, XP_023644534.1, XP_023640572.1, XP_023639239.1, XP_023634852.1	XP_024007589.1
OG0000040	XP_023643349.1, XP_023644573.1	XP_024007926.1
OG0000042	XP_023634283.1	XP_024009659.1
OG0000043	XP_023643350.1, XP_023644208.1, XP_023639459.1	XP_024014240.1
OG0000044	XP_023634755.1	XP_006398339.2
OG0000044	XP_006281533.1	XP_024013343.1
OG0000048	XP_023640514.1	XP_006410338.1
OG0000048	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2	XP_006407903.2
OG0000049	XP_023634287.1	XP_024006627.1, XP_024013200.1, XP_024010060.1
OG0000050	XP_006299955.2	XP_024011305.1, XP_006403065.1, XP_006396164.1, XP_024016108.1, XP_024010449.1, XP_006414856.2
OG0000050	XP_023643276.1	XP_024015913.1, XP_024007981.1
OG0000051	XP_006304062.1	XP_006418389.2, XP_024008111.1
OG0000051	XP_023640424.1	XP_024004184.1
OG0000052	XP_006301891.2, XP_006301896.2, XP_023638056.1, XP_023639204.1, XP_006293172.2	XP_024007553.1
OG0000052	XP_006291090.1	XP_024008507.1
OG0000052	XP_023638926.1	XP_006404062.1, XP_006404060.2, XP_006404061.2
OG0000052	XP_023638594.1	XP_006404186.1, XP_024013434.1
OG0000052	XP_023638561.1, XP_006293221.1	XP_006404188.1, XP_024010967.1
OG0000054	XP_023634647.1	XP_024009399.1
OG0000055	XP_023641570.1, XP_023642764.1	XP_006398121.1, XP_006406735.1
OG0000055	XP_023641561.1	XP_024016535.1
OG0000056	XP_006292456.1	XP_006405761.2
OG0000058	XP_023633448.1, XP_023636066.1, XP_023636060.1, XP_023640345.1, XP_023636058.1, XP_023640315.1, XP_023643584.1, XP_023640320.1, XP_023634265.1, XP_023644147.1, XP_023644470.1, XP_023634034.1, XP_023638869.1	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1
OG0000059	XP_023636099.1, XP_006290464.1	XP_024010626.1, XP_024006533.1, XP_024013675.1, XP_024009487.1, XP_024006590.1, XP_024012732.1, XP_024004843.1, XP_024004842.1, XP_024004831.1, XP_024004845.1, XP_024014239.1, XP_024013302.1, XP_024010380.1, XP_024013968.1, XP_024014568.1, XP_024004801.1, XP_024016568.1, XP_024013967.1, XP_024006276.1
OG0000059	XP_023633025.1	XP_024016529.1, XP_024007942.1, XP_024010231.1, XP_024005865.1
OG0000060	XP_006292099.1	XP_006417762.1
OG0000060	XP_006295294.1	XP_006418920.1
OG0000060	XP_006303455.1	XP_006400894.1
OG0000060	XP_006292098.1	XP_006403660.1
OG0000061	XP_006287607.1	XP_024006504.1, XP_024006267.1
OG0000061	XP_023633781.1	XP_006413201.2, XP_006413190.1
OG0000061	XP_006290130.1	XP_006405882.1
OG0000062	XP_023633725.1	XP_024009412.1
OG0000062	XP_023633353.1	XP_024011371.1, XP_024013346.1
OG0000062	XP_023634169.1	XP_024010366.1, XP_024011367.1, XP_024010144.1, XP_024010551.1, XP_024009344.1, XP_024010927.1, XP_024007910.1
OG0000064	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1, XP_006301107.1, XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301855.1, XP_006301176.1, XP_006306169.1	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1
OG0000065	XP_023644283.1	XP_024014567.1
OG0000065	XP_023643067.1	XP_006391458.1
OG0000065	XP_023638915.1	XP_024014561.1
OG0000065	XP_006286236.1	XP_024014419.1
OG0000066	XP_006301260.2	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1
OG0000066	XP_006288773.2, XP_006284722.1, XP_006302978.1	XP_006399597.1, XP_006390289.1
OG0000067	XP_023638931.1	XP_024010589.1
OG0000067	XP_023634337.1	XP_024014292.1
OG0000067	XP_023645924.1	XP_024011136.1
OG0000068	XP_006289028.2, XP_006289556.2, XP_023637280.1	XP_024014925.1
OG0000069	XP_006288439.1	XP_024016442.1, XP_006390571.2
OG0000070	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1	XP_006395735.1
OG0000070	XP_006304273.1	XP_006416426.1
OG0000070	XP_006302938.1	XP_006390250.1
OG0000072	XP_023644542.1, XP_006290241.2, XP_023637455.1	XP_024004977.1, XP_024016537.1
OG0000074	XP_023641911.1	XP_024016530.1
OG0000074	XP_023634274.1, XP_023636038.1	XP_024004866.1
OG0000074	XP_023636039.1	XP_024016228.1, XP_024006624.1, XP_024007928.1, XP_024006149.1, XP_024013371.1, XP_024004022.1, XP_024009402.1
OG0000074	XP_023638842.1	XP_024006141.1, XP_024010303.1, XP_024004054.1
OG0000075	XP_023635517.1	XP_006396818.1, XP_006396813.1
OG0000075	XP_006301199.1	XP_006416449.2, XP_024011069.1
OG0000076	XP_023634774.1	XP_006411683.1
OG0000076	XP_006295567.2	XP_006410525.1
OG0000076	XP_006286831.1	XP_006397224.1, XP_006397217.1, XP_024010292.1, XP_006397043.1
OG0000077	XP_006280897.2	XP_006398175.2
OG0000077	XP_006292755.1, XP_006292566.2, XP_006292626.2, XP_006300965.2, XP_006290374.2, XP_023638325.1	XP_006395717.2, XP_006395727.1
OG0000077	XP_006292432.2, XP_006292790.1, XP_006293218.1	XP_006395720.2
OG0000078	XP_006300074.1	XP_006408254.2, XP_006408256.1
OG0000078	XP_006296650.2	XP_024014979.1
OG0000078	XP_006298992.1	XP_006408255.1
OG0000081	XP_023638026.1, XP_023634808.1, XP_023641960.1	XP_024014389.1, XP_024004223.1
OG0000081	XP_023634311.1	XP_024014942.1, XP_024013908.1
OG0000083	XP_023633452.1	XP_024004879.1, XP_024013815.1, XP_024004878.1, XP_024016110.1, XP_024003644.1
OG0000086	XP_006285515.2, XP_006291706.2	XP_024014367.1
OG0000086	XP_006284296.1	XP_006405821.2
OG0000086	XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302616.1	XP_006390991.1
OG0000086	XP_023644279.1, XP_023644252.1	XP_006391405.1
OG0000089	XP_006287738.1	XP_006394642.1
OG0000089	XP_006292748.1, XP_006291122.1	XP_006404433.1, XP_006404432.1
OG0000089	XP_006294210.1	XP_006410012.1
OG0000089	XP_006289933.1	XP_006399740.1
OG0000089	XP_006281513.1	XP_006403108.1
OG0000089	XP_006283733.1	XP_006413842.1
OG0000089	XP_006302256.1	XP_006390273.1
OG0000091	XP_023637739.1	XP_024011698.1
OG0000091	XP_023636467.1	XP_024011446.1
OG0000092	XP_023641904.1	XP_024010073.1
OG0000095	XP_006295555.1, XP_006294228.1	XP_006405019.2
OG0000096	XP_006297929.1	XP_006408882.1, XP_024014982.1
OG0000096	XP_006289071.1, XP_006289116.1	XP_024004907.1, XP_024007223.1
OG0000098	XP_023641898.1, XP_006297881.1	XP_024009712.1, XP_006403292.2
OG0000098	XP_006292655.1	XP_006395726.1
OG0000098	XP_006305026.1	XP_006404383.1, XP_006394690.1, XP_006414046.1
OG0000100	XP_023643315.1	XP_024014529.1
OG0000100	XP_023644343.1	XP_006404831.1
OG0000102	XP_006288542.1	XP_006405546.1
OG0000102	XP_023634256.1, XP_006289089.1, XP_006288348.1	XP_006396592.1
OG0000102	XP_006288252.1	XP_006417793.2
OG0000102	XP_023633387.1	XP_006396591.1
OG0000105	XP_023639286.1	XP_024011529.1
OG0000106	XP_006301047.2, XP_023643263.1	XP_024013941.1, XP_024004736.1, XP_024012932.1, XP_024005999.1
OG0000107	XP_006299861.1	XP_024015177.1
OG0000108	XP_006291303.1	XP_006410952.1
OG0000108	XP_006294425.1	XP_006403657.1
OG0000108	XP_006282193.1	XP_006400969.1
OG0000108	XP_006291307.1	XP_006418890.1
OG0000108	XP_006297921.1	XP_006407369.1
OG0000108	XP_006287952.1	XP_006399464.1
OG0000108	XP_006297920.1	XP_006406564.1
OG0000108	XP_006295441.1, XP_006295821.1	XP_006405819.1
OG0000109	XP_023644486.1, XP_023637552.1	XP_024016626.1, XP_006414991.2
OG0000109	XP_023641886.1, XP_023633619.1, XP_023643495.1, XP_023633300.1, XP_023637389.1, XP_023634490.1, XP_023634624.1, XP_023633613.1	XP_024009711.1, XP_024010384.1, XP_024009792.1, XP_024009380.1, XP_024010244.1, XP_024014026.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009348.1, XP_024013914.1, XP_024009952.1, XP_024006596.1
OG0000110	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1	XP_024006585.1, XP_024009271.1, XP_024009446.1, XP_024009516.1, XP_024015963.1, XP_024010353.1, XP_024013220.1, XP_024004909.1, XP_024011414.1, XP_024009421.1, XP_024007906.1, XP_024004952.1, XP_024010478.1, XP_024006501.1, XP_024010281.1, XP_024010375.1, XP_024006421.1
OG0000112	XP_023640634.1	XP_024014712.1
OG0000114	XP_006301152.1	XP_024013163.1, XP_024014535.1
OG0000114	XP_023640326.1, XP_023634652.1, XP_023640905.1, XP_023635195.1	XP_024009390.1, XP_024014516.1, XP_024009469.1, XP_024011379.1, XP_024006494.1, XP_024006892.1, XP_024013367.1
OG0000117	XP_006303770.1	XP_024008618.1
OG0000117	XP_006304583.1	XP_024008035.1
OG0000117	XP_006304377.2, XP_006306553.1	XP_024008031.1
OG0000117	XP_023632781.1	XP_024008246.1
OG0000117	XP_006304618.2, XP_023644792.1	XP_024008029.1, XP_024008030.1, XP_006416071.1, XP_006416064.2
OG0000118	XP_006290039.1, XP_023640365.1, XP_023634338.1	XP_006416096.1
OG0000118	XP_023642688.1	XP_006408206.1
OG0000119	XP_023633433.1, XP_006280698.1	XP_024009951.1
OG0000119	XP_023638901.1	XP_006419033.2
OG0000120	XP_023640343.1, XP_023640331.1, XP_023644467.1	XP_024013368.1
OG0000120	XP_023644237.1, XP_023640332.1, XP_023639622.1	XP_024010260.1, XP_024014515.1, XP_024006138.1
OG0000121	XP_006282338.2	XP_024009270.1
OG0000121	XP_006279197.2	XP_024013365.1
OG0000121	XP_006295777.2, XP_023633443.1, XP_023636052.1	XP_024013152.1
OG0000122	XP_006306021.1	XP_024012533.1
OG0000122	XP_023633528.1	XP_024011179.1
OG0000122	XP_023645912.1, XP_023633493.1	XP_024014583.1, XP_024014445.1, XP_024012350.1
OG0000122	XP_023633416.1	XP_006401346.1, XP_006401333.2
OG0000123	XP_006282356.1, XP_006289168.1	XP_024012107.1
OG0000124	XP_023635269.1	XP_024014203.1
OG0000124	XP_023644078.1, XP_023634345.1, XP_023638979.1	XP_024011275.1, XP_024009428.1, XP_024006620.1, XP_024007267.1, XP_024015892.1, XP_024009781.1, XP_024013977.1, XP_024010413.1, XP_024005584.1, XP_024010662.1, XP_024011095.1, XP_024010391.1, XP_006409642.2, XP_024007266.1, XP_024011274.1, XP_024016583.1
OG0000125	XP_023645616.1	XP_024006051.1
OG0000125	XP_023645225.1, XP_006306741.1	XP_006392987.1
OG0000125	XP_006299926.1	XP_006406282.1
OG0000126	XP_023640354.1	XP_024016126.1
OG0000127	XP_006289049.1	XP_006400797.1
OG0000127	XP_006281264.1	XP_006400898.1
OG0000128	XP_023639092.1, XP_023639093.1	XP_024012970.1
OG0000128	XP_006291250.1	XP_006412145.2
OG0000128	XP_006290900.1	XP_006402712.2
OG0000128	XP_006291045.1	XP_006402710.1
OG0000128	XP_006302146.1, XP_006282595.1	XP_006402715.1
OG0000129	XP_023644190.1	XP_006408194.2
OG0000129	XP_023644195.1	XP_024011911.1
OG0000129	XP_023645120.1, XP_023635333.1, XP_023640860.1, XP_023640089.1	XP_024006771.1, XP_006394457.2, XP_024007354.1
OG0000132	XP_006291215.1	XP_006403516.1
OG0000132	XP_023637355.1	XP_006405758.2, XP_024014449.1
OG0000132	XP_006283852.1, XP_023634364.1	XP_006393001.2, XP_024014405.1, XP_024014786.1, XP_006405613.2, XP_006405755.2, XP_006405611.2, XP_024014617.1, XP_024014705.1
OG0000132	XP_023634360.1	XP_024014624.1
OG0000134	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1, XP_006286802.2	XP_006399626.1
OG0000137	XP_006280761.2	XP_006401461.1
OG0000137	XP_006280742.1	XP_006401460.1
OG0000137	XP_023637930.1, XP_006281726.2	XP_006401462.1
OG0000137	XP_006281991.1	XP_006401463.2
OG0000137	XP_006281729.1	XP_006401465.2
OG0000137	XP_006280772.1	XP_006395415.1
OG0000138	XP_006293105.1	XP_006402375.2
OG0000138	XP_006292673.2	XP_024012920.1
OG0000138	XP_006304853.2, XP_006292487.1	XP_006402376.1, XP_006406628.2, XP_024015356.1
OG0000140	XP_023643336.1	XP_024009937.1
OG0000140	XP_023633812.1	XP_024014271.1, XP_024011288.1
OG0000141	XP_023644396.1	XP_024008234.1
OG0000141	XP_006301979.2	XP_024016652.1
OG0000141	XP_006300715.1, XP_006301151.1, XP_006301217.1, XP_023644089.1, XP_006286837.2	XP_024004548.1, XP_006391848.1
OG0000142	XP_023635716.1	XP_024006458.1, XP_024014815.1, XP_024008002.1, XP_024009941.1, XP_024013979.1, XP_024013304.1, XP_024013309.1, XP_024011242.1, XP_024014409.1, XP_024004086.1, XP_024010557.1, XP_024013929.1, XP_024013647.1, XP_024009747.1, XP_024009366.1, XP_024011259.1, XP_024009279.1, XP_024004932.1
OG0000143	XP_023638853.1	XP_024004869.1, XP_024013112.1
OG0000143	XP_023638858.1	XP_024010423.1, XP_024006481.1, XP_024016274.1, XP_024007909.1, XP_024010471.1
OG0000143	XP_023644225.1	XP_024010602.1, XP_024010603.1, XP_024010269.1, XP_024010488.1, XP_024009587.1, XP_024014718.1, XP_024007269.1, XP_024014984.1, XP_024006558.1, XP_024015954.1, XP_024014871.1, XP_024011336.1, XP_024009448.1, XP_024009582.1, XP_024007272.1, XP_024007245.1, XP_024016353.1, XP_024013094.1, XP_024015124.1, XP_024011407.1, XP_024010424.1, XP_024007246.1, XP_024007303.1, XP_024009244.1, XP_024011363.1, XP_024013386.1, XP_024009423.1, XP_024005024.1, XP_024013120.1, XP_024013068.1, XP_024010915.1, XP_024010675.1
OG0000148	XP_023632926.1, XP_006279114.2, XP_006305969.2, XP_006303718.2, XP_006297855.1	XP_006393424.2
OG0000148	XP_023634320.1, XP_006307735.2	XP_024006468.1, XP_024006465.1, XP_024006281.1
OG0000148	XP_023644303.1	XP_024004911.1
OG0000148	XP_023633110.1, XP_023644526.1, XP_006304868.2	XP_024006236.1, XP_006393101.1, XP_006393087.2
OG0000151	XP_006290668.1	XP_006403491.1
OG0000151	XP_006292545.1	XP_006403492.1
OG0000151	XP_006295608.1	XP_006411161.1
OG0000151	XP_006292248.1	XP_006403493.1
OG0000151	XP_006290640.1	XP_006403679.1
OG0000151	XP_006295587.1	XP_006410918.1
OG0000151	XP_006287124.2	XP_006399852.1
OG0000153	XP_023639834.1	XP_024003718.1, XP_024003707.1, XP_024003713.1, XP_024003669.1
OG0000153	XP_023639879.1	XP_024008215.1
OG0000153	XP_023639769.1	XP_006409978.1
OG0000154	XP_006306278.1, XP_023644539.1, XP_023635872.1	XP_006393107.1
OG0000154	XP_023633661.1	XP_024005670.1
OG0000154	XP_006303205.1, XP_006304379.1	XP_024006135.1
OG0000157	XP_023634266.1, XP_006304655.2	XP_006418682.2, XP_024008597.1
OG0000157	XP_006281807.1	XP_006415425.1
OG0000158	XP_023635458.1	XP_006391162.2
OG0000158	XP_006285768.2	XP_006402964.2
OG0000158	XP_006289701.2, XP_006289843.2	XP_006397112.2
OG0000158	XP_006286216.2	XP_006390521.2, XP_024007853.1
OG0000160	XP_006296920.1	XP_006409094.1
OG0000160	XP_006282542.1	XP_024005341.1
OG0000160	XP_006282289.1	XP_024012572.1
OG0000160	XP_006279406.1	XP_006396088.1
OG0000160	XP_006279360.1	XP_006419170.1
OG0000160	XP_023643729.1	XP_006389820.1
OG0000160	XP_006293643.2	XP_006404985.2
OG0000161	XP_023634397.1, XP_023636868.1, XP_023636056.1, XP_023635040.1, XP_023632737.1, XP_023642374.1, XP_023645930.1, XP_023639647.1	XP_024013360.1
OG0000162	XP_006294455.1	XP_006410456.1
OG0000162	XP_006295600.1, XP_006296378.1	XP_024004125.1
OG0000164	XP_023642220.1, XP_023645695.1	XP_024015172.1
OG0000167	XP_023634668.1	XP_006406315.1, XP_006406314.2, XP_024014953.1
OG0000167	XP_006299157.1, XP_023642627.1	XP_024014991.1, XP_024006548.1
OG0000167	XP_023642656.1, XP_006299826.1	XP_024015693.1
OG0000169	XP_023644508.1, XP_023644509.1	XP_024006540.1, XP_024006299.1, XP_024006462.1
OG0000170	XP_006292819.2	XP_024012911.1
OG0000170	XP_023641004.1, XP_006307271.1	XP_024010761.1
OG0000170	XP_023640714.1	XP_024010825.1
OG0000170	XP_023639945.1	XP_006410182.1
OG0000170	XP_023640606.1, XP_023640163.1	XP_024010808.1
OG0000171	XP_006281266.1	XP_006401722.1
OG0000171	XP_006284706.1	XP_006391653.1, XP_006405318.1
OG0000171	XP_006298751.1	XP_006409398.1
OG0000171	XP_006281239.2	XP_006401372.1
OG0000171	XP_023641832.1, XP_006298742.1	XP_006407751.1
OG0000171	XP_006284700.1	XP_024005195.1
OG0000172	XP_023639036.1, XP_023637511.1	XP_024006572.1
OG0000173	XP_006284898.2, XP_023644326.1	XP_006411787.1
OG0000173	XP_023641239.1	XP_006412595.2
OG0000173	XP_006289268.1	XP_024006800.1
OG0000173	XP_023637961.1	XP_006409103.1
OG0000174	XP_023639187.1, XP_023634312.1, XP_023640329.1, XP_023644479.1, XP_006281259.1	XP_024009367.1
OG0000175	XP_023635842.1	XP_024012404.1
OG0000175	XP_006296139.2, XP_006295602.1	XP_006402389.1
OG0000176	XP_006295969.1	XP_006405511.2
OG0000176	XP_006299638.1	XP_006414114.1, XP_024005467.1, XP_024005332.1, XP_006414117.2
OG0000176	XP_023643800.1	XP_024011615.1
OG0000177	XP_006303914.1, XP_006306853.1	XP_006416321.2
OG0000177	XP_006303693.1	XP_006416323.1
OG0000177	XP_006306845.1	XP_024008190.1
OG0000178	XP_006289433.1	XP_006396688.1
OG0000178	XP_006286464.1, XP_006286371.1	XP_006396683.2
OG0000178	XP_006289092.1, XP_006289348.1, XP_023635846.1, XP_006287233.1	XP_024009811.1
OG0000178	XP_023635847.1, XP_006289234.1, XP_006286467.1	XP_024010194.1, XP_006396684.1
OG0000179	XP_006300836.2	XP_024013955.1
OG0000179	XP_006300705.1	XP_006392266.1
OG0000183	XP_006302967.1	XP_006391396.1
OG0000183	XP_023641020.1	XP_006402949.1, XP_006411378.1
OG0000183	XP_006294957.1	XP_006408585.1
OG0000184	XP_006299457.1, XP_023642625.1	XP_024014969.1
