Orthogroup	Capsella_rubella	Arabidopsis_arenosa
OG0000025	XP_023641784.1, XP_023644446.1, XP_023636071.1	jg27352
OG0000027	XP_023635857.1	jg7518, jg7519
OG0000027	XP_023635858.1, XP_006289355.2	jg7517
OG0000027	XP_006286462.1	jg7516
OG0000027	XP_006287218.1	jg7521
OG0000027	XP_023635866.1	jg7523
OG0000027	XP_006284983.1	jg10174
OG0000027	XP_023634683.1	jg10181
OG0000027	XP_006285954.1	jg10205
OG0000027	XP_006287240.1	jg7526
OG0000027	XP_006282816.1	jg10199
OG0000027	XP_023634698.1	jg10187
OG0000027	XP_023634685.1	jg10190
OG0000028	XP_023634475.1	jg22446, jg11446, jg22442, jg22443, jg22441, jg22952
OG0000028	XP_006285133.1	jg8750
OG0000028	XP_006291347.1	jg23433, jg23437
OG0000028	XP_006292343.1	jg23430
OG0000028	XP_006299262.2	jg14606, jg29584
OG0000028	XP_023633414.1	jg14605, jg28212
OG0000029	XP_023633422.1	jg1780, jg13951
OG0000029	XP_023644241.1	jg6737, jg11997
OG0000029	XP_023638860.1	jg26958, jg13640, jg2465
OG0000029	XP_023634002.1	jg2197
OG0000030	XP_006296044.1	jg26153, jg26152
OG0000030	XP_023644289.1	jg2274
OG0000030	XP_006303634.1	jg31203
OG0000030	XP_023632886.1, XP_023632793.1	jg31202
OG0000030	XP_006293126.1	jg1537, jg14799, jg17824, jg14802, jg14804
OG0000030	XP_006305030.1	jg29499
OG0000030	XP_006299109.2	jg25408
OG0000030	XP_006297854.1, XP_006297862.1, XP_006300177.2	jg25272
OG0000031	XP_023633361.1	jg21124
OG0000032	XP_023632591.1	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717
OG0000034	XP_006283285.1	jg10203, jg10197
OG0000034	XP_023634692.1	jg10204
OG0000034	XP_006285944.1	jg10200
OG0000034	XP_023634856.1	jg10425
OG0000034	XP_023637378.1	jg8138
OG0000034	XP_023634678.1	jg10207
OG0000034	XP_006283273.1	jg10175
OG0000034	XP_023634701.1	jg10176
OG0000034	XP_006283283.1	jg10198
OG0000034	XP_023635576.1	jg10208
OG0000035	XP_023633542.1, XP_023633652.1, XP_023639706.1	jg32621, jg13872
OG0000035	XP_023640381.1, XP_023634177.1	jg32484, jg7027, jg13873
OG0000042	XP_023634283.1	jg11609, jg33373, jg12236, jg6978, jg26487, jg900, jg2222
OG0000042	XP_023644481.1	jg17129
OG0000044	XP_023638545.1	jg20417
OG0000044	XP_006282385.2	jg20420
OG0000044	XP_006281533.1	jg20443
OG0000044	XP_023636248.1	jg6091
OG0000044	XP_023634969.1	jg21037
OG0000044	XP_006282434.2	jg10924
OG0000046	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1	jg1035, jg17283, jg1573
OG0000048	XP_023640387.1	jg20748, jg20747
OG0000048	XP_023640514.1	jg18271
OG0000048	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2	jg740
OG0000050	XP_006299955.2	jg19949, jg4268
OG0000050	XP_023643276.1	jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079
OG0000051	XP_006304062.1	jg29349
OG0000051	XP_023640868.1	jg19555
OG0000051	XP_023640424.1	jg19560
OG0000051	XP_023639525.1	jg19562, jg19563
OG0000051	XP_023640425.1, XP_023640455.1, XP_023640454.1	jg19564
OG0000052	XP_023639245.1	jg13388
OG0000052	XP_023638292.1	jg13389, jg13391
OG0000052	XP_006301891.2, XP_006301896.2	jg1458, jg1459, jg1457
OG0000052	XP_006293172.2	jg13393
OG0000052	XP_006291114.1, XP_006291129.1	jg20913, jg15189
OG0000052	XP_006293230.1	jg15188
OG0000052	XP_006290348.2	jg15190
OG0000052	XP_023638945.1, XP_023638947.1	jg15192
OG0000052	XP_023638946.1	jg15191
OG0000052	XP_006291090.1	jg15039
OG0000052	XP_006291102.1	jg14762
OG0000052	XP_006305853.1	jg14732
OG0000052	XP_023641037.1, XP_023633372.1	jg14734, jg14739
OG0000052	XP_023638561.1, XP_006293221.1	jg14731, jg14730, jg14729
OG0000052	XP_023638815.1	jg21516
OG0000055	XP_006299228.1, XP_006300113.1	jg25886, jg26868
OG0000055	XP_006300080.1, XP_023641394.1, XP_006299259.1, XP_006301327.2	jg32786, jg26785
OG0000055	XP_006292584.2	jg12035
OG0000055	XP_006286657.2	jg17788
OG0000055	XP_006299604.1	jg25908
OG0000055	XP_023641561.1	jg27919
OG0000055	XP_006299379.1	jg25830
OG0000056	XP_006301460.1	jg674
OG0000056	XP_006302241.1	jg748
OG0000056	XP_006302237.1	jg721
OG0000056	XP_006300465.1, XP_006302243.1	jg726
OG0000056	XP_023643438.1	jg743
OG0000056	XP_006301411.1	jg747
OG0000056	XP_006301193.1	jg745
OG0000056	XP_006301052.1	jg746
OG0000056	XP_006292456.1	jg14491
OG0000058	XP_023636060.1	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852
OG0000061	XP_023645797.1	jg32915
OG0000061	XP_006287607.1	jg5088
OG0000061	XP_023640452.1	jg18014
OG0000061	XP_023640829.1	jg18005
OG0000061	XP_023635299.1	jg12023
OG0000062	XP_023633725.1	jg21178
OG0000062	XP_023633353.1	jg32622
OG0000062	XP_023634169.1	jg13871, jg7029
OG0000064	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1	jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979
OG0000065	XP_023644442.1	jg2192, jg2154, jg2152
OG0000065	XP_023643067.1	jg2195
OG0000065	XP_006300887.1	jg2193
OG0000065	XP_023637822.1	jg6601
OG0000065	XP_023638915.1	jg12337
OG0000065	XP_006290703.1	jg12333, jg12335
OG0000065	XP_006286236.1	jg12464
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	jg1404, jg13471, jg4871, jg4870, jg29279
OG0000066	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1	jg4927
OG0000066	XP_006304375.1	jg30515
OG0000067	XP_023634337.1	jg14037
OG0000068	XP_006289028.2	jg4186
OG0000068	XP_006289556.2, XP_023637280.1	jg4261, jg4260
OG0000068	XP_023642606.1	jg32039, jg24042, jg24037, jg24035
OG0000068	XP_023633398.1	jg22052, jg22033, jg22034
OG0000068	XP_006289558.2, XP_023637635.1	jg4088
OG0000068	XP_006286541.1	jg4089
OG0000069	XP_006304155.1	jg28492
OG0000069	XP_023645826.1	jg16809
OG0000070	XP_006305612.2	jg29403
OG0000070	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1	jg28225, jg28226, jg13116, jg13115
OG0000070	XP_006304273.1	jg16631, jg30544, jg4483
OG0000070	XP_006302938.1	jg3251
OG0000070	XP_023637791.1	jg21183
OG0000070	XP_023637735.1	jg16054
OG0000070	XP_006286731.1, XP_006289176.1, XP_006285109.1	jg8905
OG0000072	XP_006282913.2, XP_023638967.1	jg12160, jg21424, jg13720, jg16912
OG0000073	XP_023644828.1	jg32690
OG0000073	XP_023644313.1	jg7434
OG0000073	XP_023644311.1	jg16551, jg24432, jg32702
OG0000074	XP_023638088.1	jg16959
OG0000075	XP_006285279.1	jg8424, jg8422
OG0000075	XP_023635517.1	jg26472, jg32685, jg32682, jg32692, jg8427
OG0000075	XP_023635518.1	jg8428
OG0000075	XP_006286716.1	jg8425, jg7662, jg7663
OG0000075	XP_023634488.1	jg8426
OG0000075	XP_023633364.1, XP_006281030.1, XP_006280653.1	jg21500
OG0000075	XP_006281848.1	jg21501
OG0000075	XP_006301199.1	jg1000, jg934
OG0000076	XP_023634774.1	jg8362
OG0000076	XP_006295567.2	jg18482
OG0000077	XP_006281971.1	jg20644
OG0000077	XP_023643297.1	jg1247
OG0000077	XP_006292566.2, XP_006292626.2	jg13131
OG0000077	XP_006292790.1, XP_006293218.1	jg13128
OG0000078	XP_006296650.2	jg24239
OG0000078	XP_006298876.1	jg24236
OG0000078	XP_006300092.1	jg24237
OG0000078	XP_006289130.1	jg5641
OG0000078	XP_023636207.1	jg5639
OG0000079	XP_023644218.1, XP_023645325.1	jg7377
OG0000081	XP_023638026.1, XP_023634808.1	jg17678, jg24928, jg28032, jg1125, jg20814, jg32127
OG0000081	XP_023641960.1	jg1799
OG0000081	XP_023634311.1	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463
OG0000086	XP_023633444.1	jg23234
OG0000086	XP_006284296.1	jg12259
OG0000086	XP_006285302.1, XP_006285318.2, XP_006284306.1, XP_023634328.1, XP_006285250.1	jg12273, jg12262
OG0000086	XP_006284253.1	jg12260
OG0000086	XP_006286814.1	jg12266, jg12277
OG0000086	XP_006302255.2	jg2126
OG0000086	XP_006302648.1, XP_023644277.1	jg2128
OG0000086	XP_006302616.1	jg2129
OG0000089	XP_006287738.1	jg6235
OG0000089	XP_006292748.1, XP_006291122.1	jg23223
OG0000089	XP_006294210.1	jg17972
OG0000089	XP_006289933.1	jg5068
OG0000089	XP_006281513.1	jg20749
OG0000089	XP_006283733.1	jg10485
OG0000089	XP_006307490.1	jg30528
OG0000089	XP_006302256.1	jg3235
OG0000091	XP_023637739.1	jg14545, jg14558
OG0000091	XP_023639072.1	jg14559
OG0000091	XP_023639002.1	jg14563
OG0000091	XP_006296540.2	jg14230, jg14231
OG0000091	XP_023636467.1	jg5910
OG0000091	XP_023644362.1	jg21695
OG0000092	XP_023642043.1	jg32487
OG0000092	XP_023633335.1	jg26653
OG0000095	XP_006294389.1	jg17272
OG0000095	XP_006295399.1	jg16984
OG0000095	XP_006294228.1	jg17289
OG0000095	XP_006294375.1, XP_006294370.2	jg17270, jg17392, jg16998, jg17271
OG0000095	XP_006294323.1	jg16988
OG0000095	XP_006296376.2	jg16995, jg17274, jg17286, jg17001, jg16991
OG0000095	XP_006295595.1	jg16900
OG0000095	XP_006295861.1	jg16897, jg16899
OG0000096	XP_023640363.1, XP_006296370.1, XP_006296007.1	jg17690, jg17691, jg17695
OG0000096	XP_006297893.1	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg25966, jg12059, jg25964, jg25967
OG0000096	XP_006299978.1	jg27891
OG0000096	XP_006297929.1	jg25957
OG0000096	XP_023638935.1	jg14860
OG0000098	XP_023641898.1, XP_006297881.1	jg27107
OG0000098	XP_006292655.1	jg2306
OG0000098	XP_006305026.1	jg17595, jg31284
OG0000098	XP_006289986.1, XP_006289767.1	jg6402, jg6418
OG0000100	XP_023641940.1	jg1373, jg1405, jg472
OG0000100	XP_023643498.1	jg476
OG0000100	XP_006301098.2, XP_023643317.1, XP_023643319.1, XP_023643315.1	jg1396
OG0000100	XP_023644343.1	jg1380, jg1381
OG0000100	XP_006301998.2	jg1001
OG0000100	XP_023635628.1	jg11338
OG0000100	XP_023642309.1	jg471
OG0000100	XP_023643246.1	jg475
OG0000102	XP_006288400.1	jg7820
OG0000102	XP_006289764.1, XP_006289669.1, XP_023644271.1, XP_006301748.2, XP_006301379.1	jg7814
OG0000102	XP_006285555.2	jg7815, jg7812, jg7813
OG0000102	XP_006288542.1	jg21543, jg7817
OG0000102	XP_006289089.1	jg7818
OG0000102	XP_006288348.1	jg11552
OG0000102	XP_006288252.1	jg7810
OG0000105	XP_023639286.1	jg14191, jg14194
OG0000105	XP_006284602.1, XP_006285182.1	jg12802, jg12815
OG0000106	XP_006301047.2	jg17558
OG0000106	XP_023643263.1	jg25723
OG0000107	XP_006299861.1	jg26161
OG0000107	XP_006297457.1	jg26159
OG0000107	XP_006289895.1	jg26163
OG0000108	XP_006291303.1, XP_006294425.1	jg15311
OG0000108	XP_006282193.1, XP_006291307.1	jg14433, jg22870
OG0000108	XP_006287952.1	jg4799
OG0000108	XP_006295441.1	jg19509
OG0000108	XP_006295821.1	jg19508
OG0000109	XP_023641886.1, XP_023633619.1	jg17478
OG0000109	XP_023633613.1	jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945
OG0000110	XP_023634352.1	jg9173
OG0000110	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1	jg25795, jg13800, jg13799, jg25794
OG0000111	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1	jg26895, jg27877, jg15265
OG0000111	XP_006289226.1, XP_006289953.1, XP_006289914.1	jg13696, jg13695, jg13697
OG0000114	XP_006301152.1	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973
OG0000114	XP_023640326.1, XP_023634652.1, XP_023640905.1, XP_023635195.1	jg6733
OG0000117	XP_006306513.2	jg30936
OG0000117	XP_006303770.1	jg30922
OG0000117	XP_006304583.1	jg30923, jg30924
OG0000117	XP_006304377.2	jg30934
OG0000117	XP_023632777.1	jg30937
OG0000117	XP_023644784.1	jg30935
OG0000117	XP_006303494.2	jg30933
OG0000117	XP_023632781.1	jg30938
OG0000117	XP_023644792.1	jg30929
OG0000118	XP_006290039.1	jg19023
OG0000118	XP_023640365.1	jg19021, jg19020
OG0000118	XP_006300909.1, XP_006301359.2	jg2031
OG0000118	XP_006290202.1	jg7426
OG0000118	XP_023642688.1	jg26630, jg26627, jg26631, jg26628
OG0000119	XP_023633433.1, XP_006280698.1	jg22962
OG0000119	XP_023638901.1	jg14325
OG0000119	XP_006296419.2	jg17260
OG0000119	XP_006295986.2	jg17259, jg17257
OG0000119	XP_006292836.2, XP_006292499.2, XP_023638877.1	jg14055
OG0000119	XP_023638900.1	jg14331, jg4290
OG0000119	XP_006293090.1	jg14315, jg14316
OG0000119	XP_023638772.1	jg14330, jg14326, jg14002
OG0000119	XP_006292851.1, XP_006292857.1	jg14314
OG0000120	XP_023640343.1, XP_023640331.1, XP_023644467.1	jg13974
OG0000122	XP_006281577.2	jg22488
OG0000122	XP_006306021.1	jg31888
OG0000122	XP_023645912.1, XP_023633493.1	jg21685, jg22486
OG0000122	XP_023633416.1	jg22485, jg22505, jg32572, jg22508
OG0000123	XP_006282356.1, XP_006289168.1	jg21770
OG0000123	XP_006303711.1	jg23040, jg29450
OG0000124	XP_023635269.1	jg12674
OG0000124	XP_023644078.1	jg27681
OG0000124	XP_023638979.1	jg17603
OG0000125	XP_006296171.1	jg17897
OG0000125	XP_023639964.1	jg17884, jg17877
OG0000125	XP_023645280.1	jg29111
OG0000125	XP_023645616.1	jg33004
OG0000125	XP_023645225.1	jg33352
OG0000125	XP_006306741.1	jg33355
OG0000125	XP_006299926.1	jg26323
OG0000126	XP_023640354.1	jg17588
OG0000127	XP_006289049.1	jg6123
OG0000127	XP_006286660.1	jg3993
OG0000127	XP_006298831.2	jg24874
OG0000127	XP_006304288.1	jg21256
OG0000127	XP_006281264.1	jg22931
OG0000127	XP_006292858.1	jg14378
OG0000127	XP_006292010.1	jg14383
OG0000128	XP_023639093.1	jg15969
OG0000128	XP_006291075.1	jg15966
OG0000128	XP_006291073.1	jg15965
OG0000128	XP_006291250.1	jg13485
OG0000128	XP_006290900.1	jg15959
OG0000128	XP_006291045.1	jg15960
OG0000128	XP_006302146.1	jg1161
OG0000128	XP_006282595.1	jg11381
OG0000129	XP_023644190.1	jg1820, jg1704, jg1821
OG0000129	XP_023644195.1	jg1832
OG0000129	XP_023644191.1	jg1847
OG0000129	XP_023645120.1	jg33436, jg33435
OG0000129	XP_023635333.1	jg23141, jg23140
OG0000129	XP_023640860.1	jg17685, jg17683
OG0000129	XP_023640089.1	jg17687
OG0000129	XP_023644193.1	jg1819
OG0000130	XP_023644493.1	jg9592, jg14104, jg33081
OG0000132	XP_006291215.1	jg15428
OG0000132	XP_023637355.1	jg7387, jg7388
OG0000132	XP_006283852.1	jg12398
OG0000132	XP_023634364.1	jg12389, jg12393, jg12394, jg12395
OG0000132	XP_023634360.1	jg12396
OG0000134	XP_023643595.1	jg27021
OG0000134	XP_023643303.1, XP_023643420.1	jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319
OG0000134	XP_023634083.1	jg12354
OG0000134	XP_023634084.1	jg12353
OG0000134	XP_023641389.1	jg14178
OG0000134	XP_023640358.1	jg17682
OG0000134	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1	jg20992, jg20995, jg20998, jg20997, jg20999
OG0000134	XP_006286802.2	jg20994
OG0000136	XP_023638389.1	jg11601
OG0000137	XP_023637930.1, XP_006281726.2	jg22366, jg22365
OG0000137	XP_006281991.1	jg22364
OG0000137	XP_006281729.1	jg22363
OG0000137	XP_006280772.1	jg21872
OG0000138	XP_006293105.1	jg16317
OG0000138	XP_023639085.1	jg15930
OG0000138	XP_006292673.2	jg15926
OG0000138	XP_023639081.1	jg15932
OG0000138	XP_006291171.1	jg16316
OG0000138	XP_006292487.1	jg15356
OG0000140	XP_023643336.1	jg13897
OG0000140	XP_023633812.1	jg14412, jg13729
OG0000141	XP_023644396.1	jg29672
OG0000141	XP_006306386.2	jg29671
OG0000141	XP_006300715.1, XP_006301151.1, XP_006301217.1, XP_023644089.1, XP_006286837.2	jg654, jg658, jg651, jg653
OG0000142	XP_023635716.1	jg14912
OG0000143	XP_023638858.1	jg11978
OG0000148	XP_023632926.1, XP_006279114.2, XP_006305969.2, XP_006303718.2	jg32820
OG0000148	XP_006297855.1	jg24959
OG0000148	XP_023644303.1	jg461
OG0000148	XP_023633110.1	jg32882, jg32881
OG0000148	XP_006304868.2	jg33223
OG0000151	XP_006290668.1	jg15449
OG0000151	XP_006292545.1	jg15448
OG0000151	XP_006295608.1	jg19118
OG0000151	XP_006292248.1	jg15447
OG0000151	XP_006290640.1	jg15282
OG0000151	XP_006295587.1	jg18884
OG0000151	XP_006287124.2	jg5170
OG0000153	XP_023639932.1	jg17928
OG0000153	XP_006294819.1	jg18114
OG0000153	XP_023640128.1	jg17940
OG0000153	XP_023639767.1, XP_023639968.1, XP_023639834.1, XP_023639909.1, XP_023640029.1	jg17932
OG0000153	XP_023639879.1	jg29098
OG0000154	XP_006306278.1	jg33217, jg33218
OG0000154	XP_023644539.1, XP_023635872.1	jg5696, jg5697
OG0000154	XP_023633661.1	jg11063
OG0000154	XP_006303205.1	jg33219
OG0000154	XP_006304379.1	jg33312
OG0000154	XP_023645184.1	jg33216, jg33214
OG0000154	XP_006306758.1	jg33213
OG0000157	XP_023645847.1	jg31598
OG0000157	XP_023634266.1, XP_006304655.2	jg12097
OG0000157	XP_006281807.1	jg31640
OG0000157	XP_006306236.1	jg32028
OG0000157	XP_023644416.1	jg31784
OG0000158	XP_006279441.2	jg8688
OG0000158	XP_006285768.2	jg8653
OG0000158	XP_006289701.2, XP_006289843.2	jg16699, jg28264, jg5270, jg28263
OG0000158	XP_006286216.2	jg11407
OG0000160	XP_006296920.1	jg28078
OG0000160	XP_006282542.1	jg9392
OG0000160	XP_006282289.1	jg22635
OG0000160	XP_006279406.1	jg27288
OG0000160	XP_006279360.1	jg13954
OG0000160	XP_023643729.1	jg3697
OG0000160	XP_006293643.2	jg16942
OG0000161	XP_023634397.1	jg6881
OG0000161	XP_023636868.1, XP_023636056.1, XP_023635040.1, XP_023632737.1, XP_023642374.1, XP_023645930.1, XP_023639647.1	jg12949, jg10772, jg12951
OG0000162	XP_006294455.1	jg18405
OG0000162	XP_006296229.1	jg18404
OG0000162	XP_023638032.1	jg13161
OG0000162	XP_006292794.1	jg13155, jg13158
OG0000162	XP_006299665.1	jg26999, jg27000, jg27001
OG0000162	XP_006295600.1	jg18412, jg18409
OG0000162	XP_006296378.1	jg18408
OG0000165	XP_006292033.1, XP_023633900.1, XP_023633896.1, XP_023633895.1, XP_006304794.1	jg12066
OG0000166	XP_006282538.1	jg17505
OG0000166	XP_023640595.1	jg17120
OG0000166	XP_023640242.1	jg17125, jg1552
OG0000166	XP_023639378.1	jg17119
OG0000167	XP_006300127.2	jg26894, jg26893, jg26896
OG0000167	XP_006286703.2	jg7365
OG0000167	XP_006299157.1	jg26298, jg26296
OG0000167	XP_023642627.1	jg26297
OG0000167	XP_023642656.1	jg26290
OG0000167	XP_006299826.1	jg26288
OG0000169	XP_023642400.1	jg16530
OG0000169	XP_006304855.1, XP_023637223.1, XP_023638076.1, XP_006299871.1, XP_006299319.1	jg16527, jg27591
OG0000169	XP_023641928.1, XP_023641931.1	jg16764
OG0000169	XP_023644508.1, XP_023644509.1	jg32767, jg32768, jg32765
OG0000170	XP_023640533.1	jg19952
OG0000170	XP_006293280.2	jg16152
OG0000170	XP_023640714.1	jg19951
OG0000170	XP_023639945.1	jg19948
OG0000171	XP_006281266.1	jg22050
OG0000171	XP_006284706.1	jg12793
OG0000171	XP_006298751.1	jg27769
OG0000171	XP_006281239.2	jg22463
OG0000171	XP_006298742.1	jg24782
OG0000173	XP_006282189.2	jg8430
OG0000173	XP_006284898.2, XP_023644326.1	jg8491
OG0000173	XP_006289268.1	jg8611
OG0000174	XP_023639187.1, XP_023634312.1, XP_023640329.1, XP_023644479.1, XP_006281259.1	jg20878
OG0000175	XP_006302886.1	jg29462, jg30921, jg955
OG0000175	XP_023635842.1	jg5289
OG0000176	XP_006293700.1, XP_006293701.1, XP_023639559.1	jg16886, jg16884
OG0000176	XP_006295969.1	jg16885
OG0000176	XP_023644310.1	jg2771
OG0000176	XP_006290619.2	jg2770
OG0000176	XP_023643800.1	jg2769
OG0000177	XP_006303914.1	jg30665
OG0000178	XP_006289433.1	jg7702
OG0000178	XP_006286464.1	jg7704
OG0000178	XP_006286371.1	jg7703
OG0000178	XP_006289092.1, XP_006289348.1, XP_023635846.1, XP_006287233.1	jg7707
OG0000178	XP_023635847.1, XP_006289234.1, XP_006286467.1	jg7705
OG0000178	XP_006286468.1	jg32186
OG0000179	XP_023643817.1	jg1145
OG0000179	XP_006300342.1	jg1353, jg1150, jg1143, jg1140
OG0000179	XP_006300788.1	jg1072
OG0000179	XP_023643268.1	jg1085, jg1082, jg1074, jg1073, jg1075, jg1083
OG0000179	XP_006300705.1	jg1022
OG0000183	XP_006302967.1, XP_006284698.1	jg2098, jg12245
OG0000183	XP_006294957.1	jg17567
OG0000184	XP_006299261.1	jg26401
OG0000184	XP_023641351.1	jg26402, jg26408
OG0000184	XP_006299457.1	jg26412
OG0000184	XP_023642625.1	jg26410
OG0000184	XP_023642639.1	jg26413
OG0000184	XP_006299892.1	jg26414
OG0000184	XP_023641352.1	jg26421
OG0000184	XP_023641851.1	jg26423
OG0000184	XP_006299354.1	jg26420
OG0000184	XP_006298376.1, XP_023641852.1	jg26422
OG0000184	XP_006299497.1	jg26417
OG0000184	XP_023632990.1, XP_023642677.1	jg26418
OG0000185	XP_023641274.1, XP_006298152.1	jg26094
OG0000185	XP_023640416.1	jg19265
OG0000185	XP_006305431.1	jg30960
OG0000185	XP_023645963.1	jg31379, jg31377
OG0000186	XP_006282024.1	jg22416
OG0000186	XP_006292502.1	jg13066
OG0000186	XP_006279057.2, XP_023643827.1, XP_023643232.1	jg760
OG0000186	XP_023632799.1	jg19241
OG0000187	XP_006296499.1	jg16584
OG0000187	XP_006304517.1	jg30474
OG0000187	XP_023640855.1, XP_006295478.1	jg18001
OG0000187	XP_023640926.1	jg17980, jg18002, jg17981
OG0000187	XP_023644474.1, XP_006295737.1	jg17978
OG0000188	XP_006289243.1, XP_006289137.1, XP_006286705.1	jg5008, jg5007, jg5020, jg5022, jg5021
OG0000188	XP_023633759.1	jg9422
OG0000188	XP_006299314.2	jg9421
OG0000189	XP_006293293.1	jg15013
OG0000189	XP_006282726.1	jg8854
OG0000189	XP_006302850.1	jg3242
OG0000189	XP_006305647.1	jg30537
OG0000192	XP_006292772.1	jg14270
OG0000193	XP_006299089.1, XP_006300124.1, XP_006299335.1	jg27499
OG0000193	XP_006300121.1, XP_006299527.1	jg27017
OG0000193	XP_023642703.1	jg25725
OG0000193	XP_006304962.1	jg32770
OG0000193	XP_023633071.1	jg31894, jg31896
OG0000195	XP_006285706.1, XP_006284967.1	jg12215
OG0000195	XP_006287222.1	jg6046
