Orthogroup	Capsella_rubella	Noccaea_praecox
OG0000014	XP_023638462.1, XP_023634279.1	Np009G4305300
OG0000015	XP_023633382.1	Np008G4270200
OG0000016	XP_023634145.1	Np002G0990500
OG0000016	XP_023639630.1	Np007G3999600
OG0000018	XP_023639601.1	Np003G1756100
OG0000020	XP_023640323.1	Np003G1663000
OG0000020	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1	Np005G2821900, Np005G2821200
OG0000021	XP_023634149.1, XP_023640318.1, XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1, XP_023645856.1, XP_023634319.1	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200
OG0000022	XP_006306401.2, XP_006303167.1	Np004G2449100
OG0000022	XP_023635463.1	Np005G3189900
OG0000023	XP_023633772.1	Np006G3543300, Np005G2842200, Np006G3594200, Np004G2178800
OG0000023	XP_023642187.1	Np006G3415100
OG0000023	XP_023636237.1	Np004G2391200, Np010G4349100
OG0000024	XP_023632980.1, XP_023632975.1, XP_023632970.1	Np004G2150800
OG0000024	XP_023633004.1, XP_023639207.1	Np001G0579500, Np001G0579400
OG0000025	XP_023636110.1	Np003G1727000
OG0000027	XP_023635858.1, XP_006289355.2, XP_006286462.1	Np003G1806500
OG0000027	XP_006285954.1	Np005G2841300
OG0000027	XP_006282816.1	Np005G2840800
OG0000027	XP_023634685.1	Np005G2838800
OG0000027	XP_023634702.1	Np005G2840200
OG0000028	XP_023634475.1	Np003G1643200
OG0000028	XP_006281712.1	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300
OG0000028	XP_006285133.1	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700
OG0000028	XP_006299262.2	Np001G0479800, Np001G0480000
OG0000028	XP_023633414.1	Np003G1832500
OG0000029	XP_023634815.1, XP_023641328.1, XP_023642217.1, XP_023644323.1, XP_023644233.1, XP_023640355.1	Np003G1708000, Np003G1897700, Np004G2071400
OG0000030	XP_006303634.1, XP_023632886.1, XP_023632793.1	Np001G0090700
OG0000030	XP_006305030.1, XP_006299109.2	Np004G2249500, Np004G2249800
OG0000030	XP_006297854.1, XP_006297862.1, XP_006300177.2	Np004G2250000
OG0000030	XP_006298407.2	Np007G4070000
OG0000032	XP_023634318.1	Np008G4283700
OG0000032	XP_023632591.1	Np005G3033300, Np004G2084500, Np002G1024100, Np004G2084400, Np005G3033400
OG0000034	XP_006283285.1	Np005G2840700, Np005G2840600
OG0000034	XP_023634692.1	Np005G2841400
OG0000034	XP_006285944.1	Np005G2839700, Np005G2840900
OG0000034	XP_006284972.1	Np005G2841600
OG0000034	XP_006283283.1	Np005G2841500
OG0000035	XP_023633542.1, XP_023633652.1, XP_023639706.1	Np004G2088100, Np005G3165600
OG0000035	XP_023640381.1, XP_023634177.1	Np002G1060000, Np001G0383600, Np002G0991100, Np005G2830800, Np002G1134400, Np004G2299800, Np002G1000600
OG0000035	XP_023634166.1	Np007G3930700
OG0000040	XP_023643216.1, XP_023641303.1, XP_023638978.1, XP_023642459.1, XP_023632551.1, XP_023638973.1, XP_023644566.1, XP_023634840.1, XP_023636105.1, XP_023633811.1	Np006G3694800, Np006G3353400
OG0000042	XP_023634283.1	Np004G2298700, Np004G2161100, Np002G0961400
OG0000043	XP_006299187.2	Np006G3382800, Np003G1722000, Np002G0941700, Np003G1677700, Np006G3278600
OG0000044	XP_023638542.1	Np006G3308500
OG0000046	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400
OG0000048	XP_023640388.1	Np006G3565700
OG0000050	XP_006299955.2	Np005G2619700, Np002G0988200, Np001G0256300, Np007G3953400, Np006G3570900
OG0000050	XP_023643276.1	Np004G1970300, Np005G2648800, Np001G0275100, Np006G3520500, Np001G0383800, Np003G1895000, Np008G4280900
OG0000051	XP_006304062.1	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300
OG0000051	XP_023640424.1	Np003G1730300
OG0000051	XP_023639525.1, XP_023640425.1, XP_023640455.1, XP_023640454.1	Np006G3284800, Np006G3284200, Np006G3284000
OG0000052	XP_023639245.1	Np001G0218600
OG0000052	XP_023638292.1	Np002G0839600
OG0000055	XP_006299228.1, XP_006300113.1	Np006G3336100, Np006G3338700, Np003G1875300
OG0000055	XP_023641570.1, XP_023642764.1	Np007G3923100, Np007G3922500
OG0000055	XP_006286657.2	Np005G2851900
OG0000055	XP_023641561.1	Np007G3753300
OG0000056	XP_006301237.2	Np002G1201900, Np002G1202000, Np002G1202100
OG0000056	XP_006301411.1, XP_006301193.1, XP_006301052.1, XP_006302254.2	Np002G1191800, Np002G1192300, Np002G1195300
OG0000056	XP_006292456.1	Np005G3136000, Np001G0467300
OG0000059	XP_023636099.1, XP_006290464.1	Np003G1667800, Np001G0392300, Np001G0082700
OG0000059	XP_023633025.1	Np004G2334600, Np002G1005000, Np007G3962700
OG0000060	XP_023638361.1, XP_006292099.1, XP_006295294.1, XP_006303455.1, XP_006292098.1, XP_006279505.1, XP_006303457.1	Np003G1523200
OG0000061	XP_023633781.1	Np005G2786700
OG0000061	XP_023634933.1, XP_006290130.1	Np006G3342300
OG0000061	XP_023640829.1	Np002G1245500
OG0000061	XP_023635299.1	Np002G1245100, Np002G1245200
OG0000062	XP_023633725.1	Np002G1076000, Np003G1765200, Np002G0953500, Np002G0958500
OG0000062	XP_023633353.1	Np002G0991500
OG0000065	XP_023644284.1	Np002G0937300
OG0000065	XP_006286236.1	Np005G3146600
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	Np004G2505200, Np003G1367100, Np001G0031500, Np004G2500100, Np003G1367200
OG0000066	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1	Np007G3771600
OG0000068	XP_006289028.2, XP_006289556.2, XP_023637280.1	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600
OG0000069	XP_006304155.1	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500
OG0000069	XP_023645826.1	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500
OG0000069	XP_006288439.1	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800, Np005G2912900, Np005G2946700, Np005G2913400
OG0000070	XP_006305612.2, XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1	Np007G3899300, Np001G0248800
OG0000070	XP_006304273.1	Np004G2353400
OG0000070	XP_006302938.1	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400
OG0000070	XP_023637735.1	Np004G1988500
OG0000070	XP_006295429.1	Np004G1989200, Np004G1988600, Np004G2059200, Np001G0355800, Np001G0356100, Np001G0356000
OG0000073	XP_023644311.1	Np003G1524100
OG0000074	XP_023634274.1, XP_023636038.1, XP_023636039.1, XP_023638842.1	Np001G0425700, Np002G0733000
OG0000075	XP_006283916.1, XP_023635518.1	Np005G2617300
OG0000076	XP_023634774.1	Np005G2608900
OG0000077	XP_006280897.2	Np001G0381300
OG0000077	XP_023643297.1	Np002G1121700
OG0000077	XP_006292755.1, XP_006292566.2, XP_006292626.2, XP_006300965.2, XP_006290374.2, XP_023638325.1	Np001G0247700
OG0000077	XP_006281861.1	Np001G0381400
OG0000078	XP_006296650.2, XP_006298876.1	Np007G4214700
OG0000079	XP_023644218.1, XP_023645325.1	Np004G2152100, Np004G2296400, Np004G2253500
OG0000081	XP_023638026.1, XP_023634808.1, XP_023641960.1	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300
OG0000081	XP_023634311.1	Np005G2602400
OG0000082	XP_023639594.1	Np005G2991300, Np006G3323100
OG0000086	XP_006285515.2, XP_006291706.2	Np005G3126500
OG0000086	XP_006284296.1	Np002G0950000
OG0000086	XP_006284253.1, XP_006288380.2	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000
OG0000086	XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302616.1	Np002G0867100
OG0000089	XP_006287738.1	Np001G0109800
OG0000089	XP_006292748.1, XP_006291122.1	Np005G2870600, Np001G0070200
OG0000089	XP_006294210.1	Np006G3501600, Np008G4281600
OG0000089	XP_006289933.1	Np003G1391100
OG0000089	XP_006281513.1	Np001G0399300
OG0000089	XP_006283733.1	Np005G2871200
OG0000089	XP_006302256.1	Np002G0774400
OG0000091	XP_023636467.1	Np003G1487100
OG0000091	XP_006279102.2	Np003G1487500
OG0000091	XP_023644362.1	Np001G0528700
OG0000095	XP_006295555.1, XP_006294228.1	Np006G3650500, Np006G3650700
OG0000095	XP_006294323.1	Np006G3660300
OG0000095	XP_006296376.2, XP_006295595.1, XP_006295861.1	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600
OG0000096	XP_006297929.1	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300
OG0000098	XP_023641898.1, XP_006297881.1	Np007G3899100
OG0000098	XP_006292655.1	Np004G2594800
OG0000098	XP_006305026.1	Np001G0116500, Np001G0115500
OG0000100	XP_023641940.1	Np002G1237300
OG0000100	XP_006301994.2	Np002G1233700
OG0000100	XP_006301998.2	Np004G2064500
OG0000100	XP_023643545.1, XP_023635628.1, XP_023643962.1, XP_023643838.1	Np002G1231900
OG0000102	XP_006288400.1	Np003G1716100
OG0000102	XP_023634256.1, XP_006289089.1, XP_006288348.1	Np003G1850200
OG0000102	XP_006288252.1	Np003G1849500, Np003G1850000
OG0000103	XP_023634325.1, XP_023632588.1	Np007G4123200
OG0000106	XP_023646042.1, XP_023644298.1	Np005G2719900
OG0000106	XP_006301047.2, XP_023643263.1	Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100, Np004G1932400, Np002G1206600, Np002G0931500, Np004G2006800, Np006G3285600, Np006G3356100, Np002G0934000, Np001G0450200, Np001G0254300, Np001G0468300, Np003G1838400, Np002G1216700, Np001G0108100, Np004G2551200, Np004G1924900, Np003G1364100, Np004G1973500, Np001G0080600
OG0000107	XP_006300030.1, XP_006297457.1	Np007G3984300
OG0000108	XP_006291303.1, XP_006294425.1	Np001G0565800
OG0000108	XP_006282193.1	Np001G0462100
OG0000108	XP_006297921.1	Np007G4093400
OG0000108	XP_006287952.1	Np003G1360400
OG0000108	XP_006297920.1	Np007G3950400
OG0000109	XP_023644486.1, XP_023637552.1	Np001G0341500
OG0000109	XP_023641886.1, XP_023633619.1, XP_023643495.1, XP_023633300.1, XP_023637389.1, XP_023634490.1, XP_023634624.1, XP_023633613.1	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400
OG0000110	XP_023634352.1	Np002G0928100
OG0000110	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300
OG0000111	XP_006289226.1, XP_006289953.1, XP_006289914.1	Np005G3154700
OG0000114	XP_006301152.1	Np002G1018000
OG0000117	XP_006304377.2, XP_006306553.1	Np004G2300400
OG0000117	XP_023632781.1	Np004G2300300
OG0000117	XP_006304618.2, XP_023644792.1	Np004G2300200
OG0000118	XP_006300909.1, XP_006301359.2, XP_006290202.1	Np002G0786200
OG0000119	XP_023633433.1, XP_006280698.1	Np003G1836400
OG0000119	XP_023638900.1	Np001G0493200
OG0000120	XP_023640343.1, XP_023640331.1, XP_023644467.1	Np002G0949100
OG0000120	XP_023644237.1, XP_023640332.1, XP_023639622.1	Np003G1769900, Np005G2602500
OG0000121	XP_006305928.1, XP_023638089.1	Np005G2954700, Np011G4358600, Np004G2590300, Np002G0965100, Np006G3634700
OG0000121	XP_006282338.2	Np002G0954000, Np002G0904100, Np001G0559000, Np006G3382900, Np005G3087600, Np002G0877900, Np006G3278500, Np004G2331700, Np006G3451400
OG0000121	XP_023633443.1, XP_023636052.1	Np005G2604800, Np006G3604300
OG0000121	XP_023638959.1	Np002G0833400, Np004G2331000, Np003G1581500
OG0000122	XP_006281892.1	Np001G0563200
OG0000122	XP_006306021.1	Np003G1578000
OG0000122	XP_023633416.1	Np003G1580100, Np003G1578400, Np003G1577700, Np003G1578500
OG0000123	XP_006282356.1, XP_006289168.1	Np003G1843300
OG0000124	XP_023635269.1	Np005G3180200
OG0000124	XP_023644078.1	Np007G3982000
OG0000124	XP_023638979.1	Np006G3413600, Np006G3224800, Np007G4183000, Np001G0142800, Np001G0316700, Np002G1065100, Np002G1144900, Np004G2155800, Np006G3441600, Np005G2997800, Np003G1698400, Np004G2064900, Np003G1592200, Np001G0351400, Np002G0948800, Np005G2989400
OG0000125	XP_006296171.1	Np006G3601100
OG0000125	XP_023639964.1	Np006G3600700
OG0000125	XP_023645280.1	Np004G2519400
OG0000125	XP_023645616.1	Np004G1951700
OG0000125	XP_023645225.1, XP_006306741.1	Np004G1951500
OG0000125	XP_006299926.1	Np007G3813400
OG0000126	XP_023640354.1	Np006G3613200
OG0000127	XP_006289049.1	Np003G1510700
OG0000127	XP_006281264.1, XP_006292858.1	Np003G1523500
OG0000128	XP_023639093.1	Np001G0645400
OG0000128	XP_006290900.1	Np001G0644700
OG0000128	XP_006291045.1	Np001G0644900
OG0000128	XP_006302146.1, XP_006282595.1	Np001G0644500
OG0000129	XP_023644190.1	Np002G0866100
OG0000129	XP_023644191.1	Np005G3118200
OG0000132	XP_006291215.1	Np001G0583700
OG0000132	XP_006283852.1, XP_023634364.1	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400
OG0000132	XP_023634360.1	Np001G0060200, Np001G0060100, Np005G3136900
OG0000134	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1, XP_006286802.2	Np003G1378400
OG0000136	XP_023638389.1	Np006G3676200
OG0000137	XP_006280761.2	Np003G1600600
OG0000137	XP_006280742.1	Np003G1600500
OG0000137	XP_023637930.1, XP_006281726.2	Np003G1602000, Np003G1601500, Np003G1600700
OG0000137	XP_006281991.1	Np003G1602100
OG0000137	XP_006281729.1	Np003G1602400
OG0000141	XP_006300715.1, XP_006301151.1, XP_006301217.1, XP_023644089.1, XP_006286837.2	Np002G1165900
OG0000143	XP_023644225.1	Np004G2289300
OG0000148	XP_023633110.1, XP_023644526.1, XP_006304868.2	Np004G1960900, Np004G1960800
OG0000151	XP_006292545.1	Np001G0586800
OG0000151	XP_006295608.1	Np006G3339200
OG0000151	XP_006292248.1	Np001G0586700
OG0000151	XP_006290640.1	Np001G0563500
OG0000151	XP_006295587.1	Np006G3374700
OG0000151	XP_006287124.2	Np003G1404000
OG0000153	XP_023639879.1	Np004G2521100
OG0000154	XP_023644539.1	Np004G1998200
OG0000154	XP_023645184.1	Np004G1963300
OG0000154	XP_006306758.1	Np004G1963200
OG0000157	XP_023634266.1, XP_006304655.2	Np006G3350500, Np003G1450700
OG0000158	XP_023635458.1	Np002G0811900
OG0000158	XP_006279441.2	Np005G2867000, Np005G2866500
OG0000158	XP_006285768.2	Np001G0700500
OG0000158	XP_006289701.2, XP_006289843.2	Np005G2956600, Np001G0506900, Np001G0492300, Np001G0486500
OG0000158	XP_006286216.2	Np004G2036800, Np004G2174600, Np004G1934200
OG0000160	XP_006296920.1	Np007G3739600
OG0000160	XP_006282542.1	Np005G2740000
OG0000160	XP_006282289.1	Np003G1560700
OG0000160	XP_006279406.1	Np007G3899700
OG0000160	XP_006279360.1	Np001G0430500
OG0000160	XP_023643729.1	Np002G0711700
OG0000162	XP_006292602.1	Np004G2052000
OG0000162	XP_006299665.1	Np001G0244800
OG0000162	XP_006295600.1, XP_006296378.1	Np006G3578300
OG0000164	XP_023642220.1, XP_023645695.1	Np003G1679900, Np005G3087000, Np006G3688300, Np004G2138100, Np003G1793900
OG0000165	XP_006284720.1	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200
OG0000166	XP_023640242.1	Np007G3748700
OG0000167	XP_023634668.1	Np007G3807500
OG0000167	XP_006299157.1, XP_023642627.1	Np007G3808900
OG0000167	XP_023642656.1, XP_006299826.1	Np007G3810100, Np007G3810500
OG0000169	XP_023644508.1, XP_023644509.1	Np004G2006300, Np004G2270200, Np001G0564500
OG0000170	XP_006292819.2	Np001G0667900
OG0000170	XP_023641004.1, XP_006307271.1	Np006G3241500
OG0000171	XP_006281266.1	Np003G1641800
OG0000171	XP_006298751.1	Np007G3768900
OG0000171	XP_006281239.2	Np003G1582900
OG0000171	XP_006284700.1	Np005G2770300
OG0000173	XP_006284898.2, XP_023644326.1	Np005G2621400
OG0000173	XP_023634627.1, XP_006289268.1, XP_023637961.1	Np001G0199900
OG0000175	XP_023635842.1	Np003G1416000
OG0000176	XP_006293700.1, XP_006293701.1, XP_023639559.1, XP_006295969.1	Np007G4189400
OG0000176	XP_023643800.1	Np002G0837300, Np002G0837100
OG0000178	XP_006289433.1	Np003G1833700
OG0000178	XP_006286464.1	Np003G1835100
OG0000178	XP_006286371.1	Np003G1835200
OG0000178	XP_023635847.1, XP_006289234.1, XP_006286467.1	Np003G1834900, Np003G1834200
OG0000183	XP_006302967.1, XP_006284698.1	Np005G3124900
OG0000183	XP_006294957.1	Np006G3615500
OG0000184	XP_006299457.1, XP_023642625.1	Np007G3824400, Np007G3829200
OG0000184	XP_006299497.1, XP_023632990.1, XP_023642677.1, XP_006299827.1	Np007G3795700
OG0000185	XP_023640416.1	Np001G0026600, Np001G0030000, Np001G0688200
OG0000189	XP_023633909.1	Np005G2675300
OG0000189	XP_006282726.1	Np007G3769000
OG0000189	XP_006302850.1	Np002G0772800
OG0000189	XP_006305647.1	Np004G2354100
OG0000192	XP_006303793.1	Np003G1314300
OG0000192	XP_006292772.1	Np004G2432200
OG0000195	XP_006285706.1, XP_006284967.1	Np007G3730700
OG0000196	XP_023635062.1	Np007G4161800
OG0000197	XP_023635153.1, XP_023644224.1	Np004G2439300, Np002G1112700
OG0000197	XP_006285566.1	Np005G2896400, Np001G0033100
OG0000197	XP_023634326.1	Np005G2896800
OG0000197	XP_023633844.1	Np004G2022400
OG0000198	XP_023632818.1	Np006G3633600, Np003G1742600
OG0000198	XP_006305966.2	Np004G2415000
OG0000198	XP_006306087.1	Np004G2414700
OG0000198	XP_006291997.1, XP_023638678.1, XP_006291999.1, XP_023638990.1	Np005G2833600
OG0000199	XP_006303339.1, XP_006304149.1	Np007G3776000, Np007G3775100, Np006G3307800
OG0000199	XP_006293511.1, XP_006280936.1	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000
OG0000199	XP_006294905.1	Np005G3095000
OG0000200	XP_006305980.1	Np004G2543900
OG0000200	XP_006305145.1	Np004G2143200, Np004G2141700, Np003G1654700
OG0000200	XP_006305143.1, XP_006303722.1	Np004G2141600, Np004G2143500
OG0000202	XP_006289397.1, XP_006289797.1, XP_006287235.1, XP_023636924.1, XP_006282887.2	Np007G3890500
OG0000202	XP_006301794.1	Np007G3758700
OG0000202	XP_023636108.1	Np002G1149700
OG0000202	XP_023636923.1	Np007G3791900
OG0000203	XP_006293093.1	Np005G3179800
OG0000203	XP_006292664.2	Np001G0632300
OG0000203	XP_023638587.1	Np001G0631800
OG0000205	XP_023640324.1, XP_023636059.1, XP_023634278.1, XP_023644457.1, XP_023644466.1, XP_023644460.1, XP_023634071.1, XP_023641994.1, XP_023636047.1, XP_023644478.1, XP_023634282.1, XP_023644465.1, XP_023640333.1, XP_023645651.1, XP_023634063.1, XP_023634058.1, XP_023636043.1	Np009G4305400, Np002G1035400, Np010G4327900, Np004G2209100
OG0000209	XP_006287874.1, XP_006296766.1	Np003G1366500
OG0000210	XP_006294103.1	Np006G3250000
OG0000210	XP_006302230.1	Np002G1162900
OG0000210	XP_006293283.1	Np006G3538900
OG0000214	XP_023638976.1	Np004G2167500
OG0000215	XP_006296786.1	Np007G4021500, Np002G1038000
OG0000216	XP_006302421.1	Np002G1121800
OG0000216	XP_006292358.1	Np001G0606300, Np001G0606400
OG0000218	XP_023643610.1, XP_023642575.1, XP_023632899.1, XP_023637419.1	Np001G0082600, Np005G2949200, Np005G2921000, Np002G0962900, Np002G0922800
OG0000227	XP_006296962.1, XP_006296942.1, XP_006296911.1, XP_023632678.1, XP_006286443.2	Np006G3524200, Np006G3524300
OG0000229	XP_006290232.2, XP_006281727.1	Np003G1876400
OG0000229	XP_006279442.1, XP_006304782.2	Np002G1043000
OG0000232	XP_023638083.1, XP_023641916.1, XP_023634272.1, XP_023634273.1	Np006G3632500, Np007G3843600, Np001G0330000, Np002G0948700, Np004G2389900, Np006G3592000, Np005G2963500
OG0000233	XP_006290020.1	Np003G1335200, Np003G1335300
OG0000233	XP_006286767.1	Np003G1335400
OG0000233	XP_006289542.2, XP_006289289.1	Np003G1334700, Np003G1334800, Np003G1334900, Np005G2911800
OG0000234	XP_023635829.1	Np004G2055100
OG0000235	XP_006288153.2, XP_006288152.1	Np003G1886600, Np003G1804500
OG0000235	XP_006305118.1, XP_023644533.1	Np005G3142900
OG0000236	XP_023644265.1	Np002G0865900, Np002G0866200, Np002G0866000
OG0000236	XP_006299722.2	Np007G3825300, Np007G3825800
OG0000236	XP_023642610.1	Np007G3825000
OG0000236	XP_006289606.1	Np003G1773300
OG0000237	XP_006296746.1	Np007G3835000
OG0000237	XP_006297875.1	Np007G3814600
OG0000238	XP_023644384.1	Np002G0845300
OG0000238	XP_006289231.1	Np004G2309500
OG0000241	XP_006284545.1	Np005G2864100
OG0000241	XP_006289215.1	Np003G1837500
OG0000242	XP_006298183.1	Np007G4179600
OG0000242	XP_006279117.1, XP_006286819.1, XP_006286567.1	Np001G0141900
OG0000243	XP_006304293.1, XP_006305771.1	Np004G2125200
OG0000243	XP_023632637.1	Np004G2125800, Np004G2125100
OG0000243	XP_023632576.1, XP_006305710.2, XP_006304552.1	Np004G2125600
OG0000244	XP_006286805.1, XP_006290182.1	Np003G1858400
OG0000244	XP_023636139.1, XP_006286807.1	Np003G1858200, Np003G1858100, Np003G1857800
OG0000244	XP_006289480.2	Np003G1848200, Np003G1848100
OG0000245	XP_023632652.1, XP_023637477.1, XP_023641896.1	Np004G2322800, Np006G3313100, Np003G1676900
OG0000246	XP_006295641.1	Np001G0396200, Np006G3384400
OG0000246	XP_006294087.1, XP_006294083.1	Np006G3384100, Np003G1776100
OG0000247	XP_006285568.2, XP_006279047.1	Np004G2545900
OG0000248	XP_006301741.2	Np002G0857800
OG0000248	XP_006284516.1, XP_023644302.1	Np002G0860000
OG0000250	XP_006285847.2	Np007G4128700
OG0000250	XP_006289516.1	Np003G1507100, Np003G1848500
OG0000250	XP_006299908.2	Np003G1647300
OG0000251	XP_006290957.1, XP_006290955.1	Np001G0226900
OG0000251	XP_006290953.1, XP_023638661.1	Np001G0491300, Np001G0226800, Np001G0226600
OG0000251	XP_006282010.1	Np003G1562200
OG0000251	XP_006292364.1, XP_006292423.1	Np002G0877400, Np004G2306300
OG0000252	XP_006300513.1, XP_006291286.1	Np002G0966500, Np002G1217000, Np002G1216400, Np002G1216900, Np002G1216600
OG0000253	XP_006297174.1	Np007G4134200
OG0000253	XP_006287234.1	Np003G1267200
OG0000254	XP_006284821.1	Np005G3023600
OG0000258	XP_023634267.1, XP_023636036.1, XP_023642569.1, XP_023644229.1, XP_023633341.1, XP_023634276.1, XP_023644464.1, XP_023638852.1, XP_023644468.1	Np004G2182300
OG0000258	XP_023632795.1	Np004G2182400
OG0000258	XP_023633336.1, XP_023640347.1	Np004G2195200, Np002G1089200
OG0000259	XP_023643302.1, XP_023639557.1	Np001G0461900
OG0000259	XP_006304817.2, XP_006306329.2, XP_023644499.1, XP_006304918.2, XP_006302259.2, XP_023643256.1	Np007G3830200
OG0000262	XP_023643964.1	Np003G1635900
OG0000265	XP_023634027.1, XP_023644471.1, XP_023638862.1, XP_023643543.1, XP_023636086.1, XP_023638866.1, XP_006300081.1	Np005G3140200, Np007G4120400, Np002G0744800, Np002G0778500, Np003G1560300, Np004G1972500, Np006G3567500, Np004G2255600, Np001G0314500
OG0000269	XP_006281238.1	Np003G1526500
OG0000269	XP_006291980.1	Np001G0459000, Np001G0458900
OG0000269	XP_023642855.1, XP_006303386.1, XP_006295138.1	Np004G2521600
OG0000270	XP_023644130.1	Np006G3619100
OG0000274	XP_023634435.1	Np002G1028400
OG0000275	XP_023633707.1	Np001G0244400
OG0000275	XP_006285590.2, XP_023639572.1	Np005G2619800
OG0000275	XP_023635808.1, XP_023643272.1	Np004G1985300
OG0000277	XP_023644770.1, XP_006302919.1	Np002G0777200
OG0000278	XP_006282573.1, XP_006286231.1, XP_006285685.1, XP_006283651.2, XP_006282490.1	Np005G3117100
