Orthogroup	Capsella_rubella	Cardamine_glauca
OG0000065	XP_023644283.1	Cg007G2434600
OG0000065	XP_023643067.1	Cg007G2435800
OG0000065	XP_023644284.1	Cg007G2435300
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	Cg006G2172200, Cg008G2671100, Cg003G1045600, Cg003G1045700, Cg008G2671000
OG0000066	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1	Cg001G0018800
OG0000066	XP_006304375.1	Cg006G2066700
OG0000068	XP_006289028.2	Cg008G2597800, Cg002G0415500
OG0000068	XP_006289556.2, XP_023637280.1	Cg008G2596900
OG0000068	XP_006289558.2, XP_023637635.1, XP_006286541.1	Cg008G2602600, Cg008G2600100
OG0000069	XP_023645826.1	Cg004G1201400
OG0000070	XP_006305612.2	Cg006G2161100
OG0000070	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1	Cg002G0680500
OG0000070	XP_006304273.1	Cg006G2064200
OG0000070	XP_006302938.1	Cg001G0322900, Cg001G0323200, Cg007G2530800
OG0000070	XP_023637791.1	Cg008G2918500, Cg011G3015900
OG0000070	XP_006295429.1	Cg006G1844100, Cg006G1844000, Cg006G1844200, Cg006G1840200, Cg006G1844300
OG0000070	XP_006299005.1, XP_023638023.1, XP_006286731.1, XP_006289176.1, XP_006285109.1	Cg001G0056200
OG0000074	XP_023641911.1	Cg008G2873100
OG0000074	XP_023634274.1, XP_023636038.1	Cg007G2434800
OG0000075	XP_006283916.1	Cg001G0013900
OG0000075	XP_023634488.1	Cg001G0013800
OG0000075	XP_006282335.1, XP_023638987.1	Cg004G1368500
OG0000076	XP_023634774.1	Cg001G0007600
OG0000076	XP_006295567.2	Cg005G1594800
OG0000076	XP_006286831.1	Cg008G2983800
OG0000077	XP_023643297.1	Cg007G2324000
OG0000077	XP_006292566.2, XP_006292626.2	Cg002G0678300
OG0000077	XP_006292432.2	Cg002G0679000
OG0000077	XP_006292790.1, XP_006293218.1	Cg002G0679200, Cg002G0679300
OG0000077	XP_006281861.1	Cg008G2956300
OG0000078	XP_006296650.2	Cg004G1099900
OG0000078	XP_023636207.1	Cg008G2744900
OG0000079	XP_023644218.1, XP_023645325.1	Cg010G2993500
OG0000081	XP_023638026.1, XP_023634808.1	Cg003G0774600, Cg008G2921900
OG0000082	XP_023639594.1	Cg002G0616100
OG0000086	XP_006291706.2	Cg001G0342500
OG0000089	XP_006287738.1	Cg008G2794800
OG0000089	XP_006292748.1, XP_006291122.1	Cg003G1017300, Cg002G0558400
OG0000089	XP_006294210.1	Cg005G1638200
OG0000089	XP_006289933.1	Cg008G2689500
OG0000089	XP_006281513.1	Cg008G2943700
OG0000089	XP_006283733.1	Cg001G0195600
OG0000089	XP_006307490.1	Cg006G2065500
OG0000089	XP_006302256.1	Cg007G2528700
OG0000091	XP_023636467.1	Cg001G0362300, Cg008G2769400
OG0000091	XP_023644362.1	Cg003G0829200, Cg003G0877100
OG0000095	XP_006295705.1, XP_006294284.1	Cg005G1737700, Cg005G1737600
OG0000096	XP_006297893.1, XP_006299978.1	Cg004G1249200, Cg004G1257700, Cg004G1249300
OG0000096	XP_006297929.1	Cg004G1260000
OG0000098	XP_023641898.1, XP_006297881.1	Cg004G1351900
OG0000098	XP_006292655.1	Cg007G2258600, Cg007G2258500
OG0000098	XP_006305026.1	Cg008G2823500
OG0000100	XP_006301098.2, XP_023643317.1, XP_023643319.1, XP_023643315.1	Cg007G2332300
OG0000102	XP_006288400.1	Cg003G0864200, Cg003G0734200
OG0000102	XP_006285555.2	Cg003G0864100, Cg003G0734300
OG0000102	XP_023634256.1	Cg003G0863700, Cg003G0734700
OG0000102	XP_006289089.1	Cg003G0734400, Cg003G0864000
OG0000102	XP_006288252.1	Cg003G0863600, Cg003G0734800
OG0000105	XP_023639256.1	Cg007G2332200, Cg007G2332800
OG0000106	XP_023646042.1, XP_023644298.1	Cg007G2419200, Cg008G2833600
OG0000107	XP_006299861.1	Cg004G1267700
OG0000107	XP_006300030.1, XP_006297457.1	Cg004G1267500
OG0000107	XP_006299064.2	Cg004G1267600
OG0000108	XP_006291303.1, XP_006294425.1	Cg005G1557400
OG0000108	XP_006282193.1, XP_006291307.1	Cg003G0983900, Cg002G0564200
OG0000108	XP_006297921.1	Cg004G1180800
OG0000108	XP_006287952.1	Cg008G2664600
OG0000108	XP_006297920.1	Cg004G1253800
OG0000109	XP_023643495.1, XP_023633300.1, XP_023637389.1, XP_023634490.1, XP_023634624.1	Cg008G2837800
OG0000110	XP_023634352.1	Cg002G0653700
OG0000111	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600
OG0000117	XP_006306513.2	Cg006G2029700
OG0000117	XP_006304583.1	Cg006G2031100
OG0000117	XP_006304377.2, XP_006306553.1	Cg006G2029800
OG0000117	XP_023632777.1	Cg006G2029600
OG0000117	XP_006304415.2	Cg006G2029500, Cg006G2030300, Cg006G2030400
OG0000117	XP_023644784.1, XP_006303494.2	Cg006G2029900
OG0000117	XP_023632781.1	Cg006G2029400
OG0000117	XP_006304618.2, XP_023644792.1	Cg006G2030600
OG0000119	XP_006296419.2, XP_006295986.2	Cg005G1714200
OG0000119	XP_006292836.2, XP_006292499.2, XP_023638877.1	Cg002G0596700
OG0000119	XP_006291315.2	Cg002G0574300
OG0000119	XP_023638900.1	Cg001G0041500, Cg002G0574600
OG0000119	XP_006293090.1, XP_023639195.1	Cg002G0574700
OG0000120	XP_023640343.1, XP_023640331.1, XP_023644467.1	Cg002G0560700, Cg001G0267600, Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500
OG0000121	XP_006305928.1, XP_023638089.1	Cg002G0640900, Cg004G1362200
OG0000121	XP_023638959.1	Cg008G2905000
OG0000122	XP_006281709.1	Cg003G0952800
OG0000122	XP_023633416.1	Cg003G0800700
OG0000124	XP_023635269.1	Cg001G0378100
OG0000124	XP_023644078.1, XP_023634345.1, XP_023638979.1	Cg001G0298900
OG0000125	XP_006296171.1	Cg005G1643500
OG0000125	XP_006296547.2	Cg005G1643700, Cg005G1643900
OG0000125	XP_023645280.1	Cg006G2188500
OG0000125	XP_023645616.1	Cg006G1841400
OG0000125	XP_023645225.1, XP_006306741.1	Cg006G1816500
OG0000125	XP_006299926.1	Cg004G1281100
OG0000127	XP_006289049.1	Cg008G2786000
OG0000127	XP_006286660.1	Cg008G2597500
OG0000127	XP_006281264.1	Cg003G0989900
OG0000127	XP_006292010.1	Cg002G0569500, Cg002G0569100
OG0000128	XP_023639092.1	Cg007G2459200
OG0000128	XP_006291075.1	Cg002G0434200
OG0000128	XP_006290900.1	Cg002G0434700
OG0000128	XP_006291045.1	Cg002G0434600
OG0000129	XP_023644190.1	Cg007G2357000
OG0000129	XP_023644195.1	Cg007G2393300, Cg007G2412500, Cg007G2396400
OG0000129	XP_023644191.1	Cg007G2390100
OG0000129	XP_023645120.1, XP_023635333.1	Cg003G1010100, Cg003G1010200, Cg003G1010000
OG0000129	XP_023640860.1, XP_023640089.1	Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700
OG0000129	XP_023644193.1	Cg008G2880200, Cg007G2357100
OG0000130	XP_006285982.2	Cg008G2849000
OG0000132	XP_006291215.1	Cg002G0477500
OG0000134	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1	Cg008G2920900
OG0000137	XP_006280761.2	Cg003G0942200
OG0000137	XP_006280742.1	Cg003G0942300
OG0000137	XP_023637930.1, XP_006281726.2	Cg003G0942100
OG0000137	XP_006281991.1	Cg003G0942000
OG0000137	XP_006281729.1	Cg003G0941900
OG0000137	XP_006280772.1	Cg003G0901200
OG0000138	XP_006293105.1	Cg007G2299800
OG0000138	XP_023639081.1	Cg002G0558300, Cg002G0563500
OG0000138	XP_006304853.2, XP_006292487.1	Cg002G0485200
OG0000143	XP_023638853.1	Cg001G0285100
OG0000143	XP_023644225.1	Cg002G0608200
OG0000151	XP_006292174.1, XP_006279090.2	Cg002G0579800
OG0000151	XP_006290668.1	Cg002G0475200
OG0000151	XP_006292545.1	Cg002G0475300
OG0000151	XP_006295608.1	Cg005G1538800
OG0000151	XP_006292248.1	Cg002G0475400
OG0000151	XP_006290640.1	Cg002G0491600
OG0000151	XP_006295587.1	Cg005G1560100
OG0000151	XP_006287124.2	Cg008G2699500
OG0000153	XP_006294819.1	Cg005G1625900
OG0000153	XP_023640128.1	Cg005G1641100
OG0000153	XP_023639879.1	Cg006G2190200
OG0000153	XP_023639769.1	Cg005G1640700
OG0000154	XP_006306278.1	Cg006G1826100
OG0000154	XP_023633661.1	Cg001G0245400
OG0000154	XP_006303205.1	Cg006G1826000
OG0000154	XP_023645184.1, XP_006306758.1	Cg006G1826400
OG0000157	XP_006306555.2	Cg006G1948100, Cg006G1948200, Cg006G1948000
OG0000160	XP_006296920.1	Cg004G1426700
OG0000160	XP_006282542.1	Cg001G0100800
OG0000160	XP_006282289.1	Cg003G0963700
OG0000160	XP_006279406.1	Cg004G1353700
OG0000160	XP_023643729.1	Cg007G2573400
OG0000160	XP_006293643.2	Cg005G1742100
OG0000162	XP_006294455.1	Cg005G1601500
OG0000162	XP_006296229.1	Cg005G1601600
OG0000162	XP_006299665.1	Cg004G1334900
OG0000162	XP_006295600.1, XP_006296378.1	Cg005G1601400
OG0000165	XP_006292033.1, XP_023633900.1, XP_023633896.1, XP_023633895.1, XP_006304794.1	Cg006G1858300
OG0000166	XP_006282538.1, XP_023640595.1, XP_023640242.1, XP_023639378.1, XP_023640244.1	Cg036G3082400
OG0000170	XP_023640533.1	Cg005G1473800
OG0000170	XP_006292819.2	Cg002G0419600
OG0000170	XP_023640714.1	Cg005G1474000
OG0000171	XP_006281266.1	Cg003G0916500
OG0000171	XP_006284706.1	Cg007G2262400
OG0000171	XP_006298751.1	Cg004G1402700
OG0000171	XP_006281239.2	Cg003G0949800
OG0000171	XP_006298742.1	Cg004G1146700
OG0000171	XP_006284700.1	Cg001G0123300
OG0000173	XP_006282189.2	Cg001G0078900
OG0000173	XP_023633711.1, XP_006284898.2, XP_023644326.1	Cg008G2861400, Cg008G2846800
OG0000175	XP_006305640.2	Cg007G2303300, Cg006G2157000
OG0000175	XP_023635842.1	Cg008G2710700
OG0000176	XP_006293700.1, XP_006293701.1, XP_023639559.1	Cg005G1747600
OG0000176	XP_023644310.1	Cg008G2964200
OG0000177	XP_006303914.1	Cg006G2054600
OG0000177	XP_006306853.1	Cg006G2054300, Cg006G2054100
OG0000177	XP_006303693.1	Cg006G2054700
OG0000177	XP_006303161.1, XP_006283212.1	Cg006G2054000
OG0000178	XP_006289433.1	Cg003G0742900, Cg003G0743000
OG0000178	XP_006286464.1	Cg006G1925200
OG0000178	XP_006286371.1	Cg006G1925100
OG0000178	XP_006286468.1	Cg003G0802700, Cg003G0803500
OG0000179	XP_006300788.1	Cg007G2311400
OG0000183	XP_006302967.1, XP_006284698.1	Cg001G0339800, Cg007G2426600
OG0000183	XP_006294957.1	Cg005G1681400
OG0000185	XP_023640416.1	Cg004G1440400
OG0000185	XP_006305431.1	Cg004G1189300
OG0000185	XP_023645963.1, XP_006305370.1	Cg006G1989500
OG0000186	XP_006303240.1, XP_006293848.1	Cg005G1766900
OG0000186	XP_023632799.1	Cg007G2287600
OG0000187	XP_006296499.1	Cg005G1772000
OG0000187	XP_006304517.1	Cg006G2070900
OG0000187	XP_023640855.1, XP_006295478.1, XP_023640375.1, XP_006296294.1, XP_023640377.1, XP_023640926.1, XP_023644474.1, XP_006295737.1	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500
OG0000188	XP_006299314.2	Cg002G0576300, Cg004G1168000, Cg004G1167400, Cg004G1167900
OG0000189	XP_006293293.1	Cg002G0515600
OG0000189	XP_023633909.1	Cg001G0040600
OG0000189	XP_006296623.1	Cg004G1414100
OG0000189	XP_006302850.1	Cg007G2529500
OG0000189	XP_006305647.1	Cg006G2064800
OG0000192	XP_006292772.1	Cg006G2127500
OG0000193	XP_006299089.1, XP_006300124.1, XP_006299335.1, XP_006300121.1, XP_006299527.1, XP_023642703.1	Cg004G1230500
OG0000193	XP_006304962.1	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400
OG0000193	XP_023633071.1, XP_023632600.1	Cg006G1948300
OG0000195	XP_006299848.1	Cg004G1434800, Cg004G1435000, Cg004G1433700, Cg004G1435100, Cg004G1434700
OG0000195	XP_006281429.1	Cg003G0787700
OG0000195	XP_023644268.1, XP_006301244.1	Cg003G0990000, Cg002G0555700
OG0000196	XP_023635062.1	Cg001G0390600
OG0000197	XP_006282799.2	Cg001G0339500
OG0000197	XP_023633844.1	Cg001G0205400
OG0000198	XP_006291995.1	Cg002G0692800
OG0000198	XP_006305966.2	Cg006G2114000
OG0000198	XP_006306087.1	Cg006G2113800, Cg006G2113700
OG0000198	XP_006291997.1, XP_023638678.1, XP_006291999.1, XP_023638990.1	Cg002G0664200
OG0000199	XP_006304151.2, XP_006303339.1, XP_006304149.1	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200
OG0000199	XP_006293511.1	Cg014G3034400, Cg008G2903900
OG0000199	XP_006280936.1	Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200
OG0000199	XP_006294905.1	Cg001G0105000
OG0000200	XP_023641964.1	Cg006G2183200
OG0000200	XP_006305980.1	Cg006G2210600
OG0000200	XP_006305145.1	Cg006G1857600
OG0000200	XP_006305143.1, XP_006303722.1	Cg006G1857700
OG0000203	XP_006292197.1	Cg002G0442000
OG0000203	XP_006293093.1	Cg002G0441200
OG0000203	XP_006292664.2	Cg002G0441400
OG0000203	XP_023638587.1	Cg002G0441500
OG0000205	XP_023640324.1, XP_023636059.1, XP_023634278.1, XP_023644457.1, XP_023644466.1, XP_023644460.1, XP_023634071.1, XP_023641994.1, XP_023636047.1, XP_023644478.1, XP_023634282.1, XP_023644465.1, XP_023640333.1, XP_023645651.1, XP_023634063.1, XP_023634058.1, XP_023636043.1	Cg006G1892500
OG0000208	XP_023644532.1, XP_023645811.1, XP_023633328.1, XP_023632621.1	Cg005G1738400, Cg007G2356100, Cg005G1738000
OG0000209	XP_006287874.1, XP_006296766.1	Cg008G2670300, Cg008G2670600, Cg008G2677700
OG0000210	XP_006294103.1	Cg005G1480200
OG0000216	XP_023636119.1, XP_023635737.1	Cg003G0750100
OG0000216	XP_023637283.1	Cg003G0750300, Cg003G0750200
OG0000216	XP_023635820.1	Cg003G0750000
OG0000216	XP_006302421.1	Cg007G2323800
OG0000216	XP_006292358.1	Cg001G0324000
OG0000225	XP_006300476.1	Cg007G2558500
OG0000226	XP_023635990.1	Cg003G0770400
OG0000227	XP_006296962.1	Cg004G1118500
OG0000227	XP_006296914.1	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200
OG0000229	XP_006289451.2, XP_023644307.1, XP_006282853.2, XP_006286342.2	Cg001G0315200
OG0000229	XP_006285195.1, XP_006301448.1	Cg001G0286400, Cg003G0786600
OG0000229	XP_006290232.2, XP_006281727.1	Cg005G1664500
OG0000230	XP_006292365.1	Cg008G2846600, Cg008G2861200, Cg008G2861500
OG0000232	XP_023636098.1	Cg006G1824400, Cg004G1119800
OG0000232	XP_023638057.1	Cg005G1715100
OG0000233	XP_006290020.1	Cg008G2647600
OG0000233	XP_006286767.1	Cg008G2647700, Cg008G2647900, Cg008G2647800
OG0000233	XP_006289542.2, XP_006289289.1	Cg008G2647300
OG0000234	XP_023639230.1, XP_006295841.1	Cg004G1263300
OG0000236	XP_023642610.1	Cg004G1287200
OG0000236	XP_006289606.1	Cg003G0795800
OG0000237	XP_023641253.1, XP_006299438.1, XP_006299488.1, XP_006289972.1, XP_006289053.1, XP_006290121.1, XP_006286744.1	Cg004G1298900, Cg004G1316600
OG0000237	XP_006297875.1	Cg001G0099500, Cg004G1282100
OG0000238	XP_023644384.1	Cg007G2478600
OG0000238	XP_006301818.1	Cg007G2478900
OG0000238	XP_006289231.1	Cg008G2832400
OG0000238	XP_006302942.1	Cg007G2478700
OG0000241	XP_006284545.1	Cg001G0185400
OG0000241	XP_006279099.1, XP_023635292.1, XP_006279100.1, XP_006285919.1, XP_006279101.1	Cg001G0185500
OG0000241	XP_006289916.1	Cg003G0857500, Cg003G0740200
OG0000242	XP_006279117.1, XP_006286819.1, XP_006286567.1	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800
OG0000244	XP_006286805.1, XP_006290182.1	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400
OG0000244	XP_023636139.1, XP_006286807.1	Cg003G0728100, Cg003G0869700
OG0000245	XP_023632652.1	Cg006G1889200
OG0000246	XP_006294087.1, XP_006294083.1	Cg005G1566300
OG0000247	XP_006285568.2	Cg001G0351600, Cg001G0351800
OG0000247	XP_006300085.1	Cg003G0782000, Cg004G1322200, Cg004G1322700
OG0000248	XP_006301801.2	Cg007G2470600
OG0000248	XP_006301741.2	Cg007G2471500
OG0000250	XP_006289516.1	Cg003G0735700
OG0000250	XP_006288303.1, XP_006288300.1	Cg001G0307800
OG0000251	XP_006290957.1, XP_006290955.1	Cg002G0664000
OG0000251	XP_006290953.1, XP_023638661.1	Cg002G0663800
OG0000251	XP_006282010.1	Cg003G0962700
OG0000251	XP_006290948.1	Cg002G0664100
OG0000252	XP_006299068.1	Cg001G0086600
OG0000252	XP_006300513.1, XP_006291286.1, XP_006301004.1	Cg007G2272200
OG0000252	XP_006302386.1	Cg007G2546100
OG0000252	XP_006301754.1	Cg007G2546300, Cg007G2546200
OG0000253	XP_006297173.1	Cg004G1184700
OG0000253	XP_006297174.1	Cg004G1154100
OG0000253	XP_006287234.1	Cg008G2596600
OG0000254	XP_006284819.1	Cg001G0250300, Cg001G0250200
OG0000254	XP_006284817.1, XP_006286199.1	Cg001G0249400, Cg001G0249700
OG0000255	XP_023634310.1	Cg007G2394100, Cg006G1865500, Cg006G1878100
OG0000256	XP_006301530.1	Cg004G1240300
OG0000258	XP_023634267.1, XP_023636036.1, XP_023642569.1, XP_023644229.1, XP_023633341.1, XP_023634276.1, XP_023644464.1, XP_023638852.1, XP_023644468.1	Cg002G0627900
OG0000258	XP_023632795.1	Cg007G2370800, Cg001G0290400
OG0000262	XP_006299358.1	Cg007G2264500, Cg007G2264400, Cg007G2264300
OG0000262	XP_006301961.2, XP_023637360.1, XP_023637436.1	Cg007G2293500
OG0000269	XP_006281238.1	Cg003G0987700
OG0000269	XP_006292381.1	Cg002G0567200, Cg002G0567100
OG0000269	XP_006291980.1	Cg002G0567300
OG0000269	XP_023642855.1	Cg007G2309100
OG0000269	XP_006295138.1	Cg005G1638700
OG0000275	XP_023633707.1	Cg003G1065200
OG0000275	XP_023635808.1, XP_023643272.1	Cg008G2833500
OG0000277	XP_023644770.1, XP_006302919.1	Cg006G2066500
OG0000278	XP_006285871.1	Cg001G0332400
OG0000278	XP_023634323.1	Cg001G0336600
OG0000278	XP_006282573.1, XP_006286231.1	Cg001G0333000, Cg001G0333100, Cg001G0332700
OG0000278	XP_006285685.1, XP_006283651.2, XP_006282490.1	Cg001G0332500, Cg001G0337400
OG0000282	XP_006306137.1	Cg001G0182200
OG0000282	XP_006285218.1, XP_006286276.1	Cg001G0182000
OG0000283	XP_023633819.1	Cg007G2481000, Cg004G1350900
OG0000283	XP_023644223.1	Cg011G3015000, Cg006G2249500, Cg001G0232700, Cg005G1551500, Cg002G0631500, Cg001G0291600
OG0000284	XP_006285151.2	Cg005G1669400, Cg004G1304800, Cg003G0797700, Cg002G0455700, Cg004G1433800, Cg002G0598700, Cg001G0028400, Cg006G1870000, Cg003G0941700, Cg001G0282200, Cg001G0383900, Cg006G1945100, Cg008G2850200
OG0000284	XP_006299988.1, XP_006300357.2, XP_006285328.2, XP_023644243.1, XP_023636116.1, XP_006288763.1	Cg005G1660200
OG0000285	XP_023634855.1	Cg001G0190700
OG0000285	XP_006289794.2	Cg003G0706200, Cg014G3049300, Cg003G0711400, Cg014G3044400
OG0000285	XP_006286160.1	Cg001G0130400
OG0000286	XP_023637684.1, XP_023637652.1	Cg008G2943000
OG0000286	XP_023637669.1, XP_023643364.1	Cg008G2943400
OG0000286	XP_023635611.1	Cg001G0074700
OG0000289	XP_006295734.1	Cg005G1602700
OG0000290	XP_023633824.1	Cg001G0390300
OG0000291	XP_023641055.1, XP_023642219.1	Cg004G1343300, Cg004G1337600
OG0000291	XP_006298886.1, XP_006298873.2	Cg004G1343500
OG0000294	XP_023637593.1	Cg008G2721100
OG0000294	XP_023637726.1	Cg008G2713400
OG0000295	XP_023644521.1	Cg006G1876600
OG0000295	XP_023641263.1	Cg004G1173400, Cg004G1317000
