Orthogroup	Arabidopsis_lyrata_NCBI	Alyssum_gmelinii
OG0000019	XP_020866193.1, XP_020870462.1, XP_020875471.1, XP_020876980.1, XP_002888416.2, XP_020891537.1	Ag007G642200, Ag006G545350
OG0000021	XP_020881895.1	Ag008G685590
OG0000021	XP_020889841.1	Ag002G135150
OG0000021	XP_020883515.1	Ag002G201670
OG0000023	XP_020878447.1, XP_020878438.1, XP_020873367.1, XP_020873341.1	Ag006G569900, Ag006G545580, Ag006G549040
OG0000023	XP_020878445.1, XP_020878446.1	Ag002G145570, Ag002G145600
OG0000023	XP_002872592.1	Ag002G145500
OG0000023	XP_020867640.1	Ag002G145450
OG0000023	XP_020873352.1	Ag006G547270
OG0000023	XP_002867727.1	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920
OG0000025	XP_020874777.1, XP_020875627.1, XP_020874778.1, XP_020885754.1, XP_020886436.1, XP_020871166.1, XP_020873006.1	Ag003G230310
OG0000028	XP_020874443.1	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750
OG0000029	XP_020889577.1	Ag006G523440, Ag006G532500, Ag004G401820, Ag002G114660
OG0000029	XP_020879586.1	Ag002G175390
OG0000030	XP_020886744.1, XP_020884781.1	Ag002G201000, Ag003G292120
OG0000030	XP_020872945.1	Ag002G167860, Ag004G319940, Ag004G398140, Ag003G263120
OG0000030	XP_020876174.1, XP_020865828.1	Ag001G021090, Ag003G292130, Ag005G430740
OG0000031	XP_002886463.2, XP_020865982.1, XP_020865991.1, XP_020890510.1, XP_020865986.1	Ag001G078560, Ag004G386130
OG0000031	XP_020869509.1	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420
OG0000031	XP_002868609.1	Ag002G111150, Ag002G107580
OG0000031	XP_020890773.1, XP_020865918.1, XP_020890021.1, XP_020869233.1	Ag004G401670
OG0000033	XP_002869784.2	Ag006G547230, Ag006G549390
OG0000033	XP_020873845.1, XP_020873368.1	Ag006G543630, Ag006G543880
OG0000033	XP_002867849.1	Ag006G564890, Ag003G210460
OG0000033	XP_020872543.1	Ag006G547250, Ag006G549400, Ag008G717210
OG0000033	XP_020873366.1, XP_020873356.1	Ag006G547380, Ag006G549570
OG0000033	XP_002874837.2	Ag002G130680, Ag002G130760
OG0000034	XP_020886112.1, XP_020882566.1, XP_020882254.1, XP_020866182.1, XP_020889362.1	Ag002G147590, Ag004G329060
OG0000034	XP_020882345.1, XP_020871070.1, XP_020888104.1	Ag002G126640, Ag006G537230
OG0000034	XP_020879246.1	Ag001G041740, Ag004G365370, Ag004G364780
OG0000034	XP_020890931.1, XP_020881628.1, XP_020878929.1	Ag005G434950
OG0000034	XP_020891338.1	Ag002G167050, Ag004G351590, Ag002G161710, Ag008G677580, Ag005G428870
OG0000034	XP_020872998.1	Ag007G644830
OG0000034	XP_020874940.1, XP_020874002.1, XP_020871360.1, XP_020866150.1, XP_020883547.1	Ag008G692130, Ag002G161700
OG0000034	XP_020871242.1	Ag005G442050
OG0000034	XP_020871959.1	Ag005G441910
OG0000034	XP_020871751.1, XP_020880608.1, XP_020885775.1, XP_020881477.1, XP_020875416.1, XP_020870606.1, XP_020872315.1	Ag004G317550, Ag002G142920
OG0000034	XP_020876122.1, XP_020884761.1, XP_020873738.1, XP_020889950.1, XP_020879983.1	Ag003G264010, Ag001G058120, Ag005G440470
OG0000034	XP_020872318.1, XP_020872991.1, XP_020875735.1, XP_020877498.1, XP_020872630.1, XP_020885869.1	Ag001G024500, Ag002G147600, Ag003G280350, Ag007G640930
OG0000035	XP_002886496.1, XP_002886498.2	Ag007G590010
OG0000035	XP_002864982.2	Ag005G405240, Ag002G183820
OG0000035	XP_002879361.2, XP_002881223.2	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100
OG0000036	XP_020868066.1	Ag003G262470, Ag003G288580, Ag005G424740
OG0000036	XP_020877514.1	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730
OG0000037	XP_020870708.1	Ag001G080220, Ag007G646570
OG0000038	XP_020889818.1	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	XP_020866644.1, XP_020869484.1	Ag001G003660
OG0000038	XP_002881140.1	Ag007G594740, Ag007G591770, Ag004G335660
OG0000038	XP_020875890.1, XP_020878747.1	Ag006G511550, Ag006G511600
OG0000038	XP_020882397.1	Ag001G056400
OG0000038	XP_020868786.1	Ag002G135290, Ag002G133990, Ag002G133520
OG0000038	XP_002863596.2, XP_002867613.2	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420
OG0000038	XP_002893374.1	Ag004G312700
OG0000038	XP_020887603.1	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090
OG0000039	XP_020866750.1	Ag004G347330, Ag007G622120
OG0000040	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
OG0000040	XP_002877463.1, XP_020888486.1, XP_002884990.1, XP_002884981.1, XP_002884979.1	Ag002G192690, Ag002G188830
OG0000040	XP_020889857.1, XP_020879678.1, XP_020881930.1, XP_020880910.1	Ag005G441920, Ag005G467750, Ag005G452660
OG0000040	XP_020871677.1, XP_020888510.1, XP_020871692.1	Ag005G446880, Ag005G447100, Ag005G447140
OG0000042	XP_020890764.1, XP_020881671.1, XP_020891386.1	Ag007G610350, Ag001G022920
OG0000044	XP_020885942.1	Ag006G512870
OG0000045	XP_020890956.1, XP_020882438.1	Ag005G474590, Ag005G450900, Ag005G424570, Ag005G417800, Ag004G353390, Ag005G464900, Ag002G130610, Ag001G035560, Ag008G683870, Ag005G459470, Ag009G736850, Ag002G151850, Ag005G408680, Ag005G420260, Ag003G262090, Ag004G355210
OG0000045	XP_020870253.1, XP_020872075.1	Ag002G197550, Ag008G703200
OG0000046	XP_020874378.1	Ag006G575430
OG0000046	XP_020865819.1, XP_020865823.1	Ag002G129690, Ag002G129740
OG0000046	XP_020865724.1	Ag002G129710
OG0000047	XP_020891542.1	Ag008G717960, Ag004G337790, Ag001G100560, Ag002G180790
OG0000047	XP_020878809.1	Ag007G643270
OG0000047	XP_020889209.1	Ag006G556170
OG0000047	XP_020865924.1	Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180
OG0000048	XP_002884413.1	Ag005G486480
OG0000050	XP_020871212.1, XP_020876453.1	Ag006G569990, Ag006G561100, Ag007G641840, Ag008G684980
OG0000052	XP_020868191.1	Ag004G301370, Ag004G301320
OG0000052	XP_020885498.1	Ag002G195160, Ag002G194240, Ag002G194190
OG0000052	XP_002881850.2	Ag002G194170
OG0000052	XP_020883122.1	Ag002G194250
OG0000052	XP_020883307.1	Ag002G194410, Ag002G194400, Ag002G194390
OG0000052	XP_020883308.1, XP_020883310.1, XP_002881853.1	Ag002G194440, Ag002G194380
OG0000053	XP_020870695.1, XP_020879890.1, XP_020878851.1, XP_020881512.1, XP_020875242.1, XP_020874679.1, XP_020866756.1, XP_020876759.1, XP_020886057.1	Ag003G279130
OG0000055	XP_002886466.1, XP_020890707.1	Ag004G382900
OG0000055	XP_002888053.1, XP_020891223.1, XP_020891225.1	Ag002G180760, Ag003G281400, Ag003G282390
OG0000056	XP_002865523.2, XP_020891370.1, XP_020889278.1, XP_020876164.1	Ag002G121000, Ag006G542770
OG0000057	XP_020886503.1, XP_020887842.1	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510
OG0000057	XP_020889167.1	Ag005G459490
OG0000057	XP_020889148.1, XP_002885221.2	Ag005G459920
OG0000057	XP_020886643.1	Ag005G462800, Ag005G462790
OG0000057	XP_020889173.1	Ag003G289060
OG0000061	XP_020879148.1, XP_020889237.1, XP_020865942.1, XP_002874062.1, XP_020882894.1	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860
OG0000064	XP_020872718.1	Ag003G295980
OG0000065	XP_020884537.1	Ag001G025490
OG0000066	XP_020876760.1, XP_020875249.1, XP_020875248.1, XP_020891414.1, XP_020886001.1, XP_020877536.1, XP_020891413.1	Ag003G225470
OG0000066	XP_002877046.2, XP_002873454.1, XP_020876762.1, XP_020867896.1, XP_002894648.1	Ag002G125900
OG0000067	XP_020889441.1, XP_020889396.1	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820
OG0000067	XP_020876026.1, XP_020876030.1	Ag005G407040, Ag005G407080, Ag005G407050
OG0000067	XP_002871317.2	Ag007G607200, Ag007G607230, Ag003G227540
OG0000068	XP_020886028.1	Ag002G158600
OG0000069	XP_020866212.1, XP_020881839.1	Ag002G200250
OG0000071	XP_020871478.1	Ag006G563870, Ag005G485090, Ag002G107730, Ag002G139550, Ag005G451770, Ag005G451710
OG0000072	XP_020866785.1, XP_020884945.1, XP_020877184.1, XP_020882660.1, XP_020875736.1, XP_020882612.1, XP_020877271.1, XP_020890904.1, XP_020885842.1, XP_020888645.1, XP_020871279.1, XP_020881978.1, XP_020885342.1, XP_020865755.1, XP_002877246.2, XP_020872649.1	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320
OG0000073	XP_020875361.1	Ag006G576040
OG0000073	XP_020880043.1, XP_020886914.1	Ag002G118960, Ag002G118950
OG0000073	XP_020877446.1	Ag002G116850
OG0000073	XP_002865187.1, XP_002865185.1	Ag002G120540
OG0000073	XP_020879725.1	Ag002G116910
OG0000074	XP_002893302.1	Ag005G402710
OG0000074	XP_002893298.1	Ag003G241560, Ag003G242310
OG0000074	XP_020882929.1, XP_020870137.1	Ag004G378820
OG0000074	XP_020866886.1	Ag006G514000
OG0000075	XP_020869286.1	Ag004G320730
OG0000075	XP_020883217.1, XP_002871416.1	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640
OG0000075	XP_020869549.1	Ag004G313480, Ag004G313520, Ag007G599000, Ag007G598990, Ag003G269710
OG0000076	XP_002894621.2, XP_020881409.1, XP_020881195.1	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300
OG0000076	XP_020882518.1, XP_020882260.1	Ag001G002030
OG0000077	XP_020874617.1	Ag003G286070, Ag003G286090, Ag003G286060
OG0000077	XP_002891316.2, XP_002891313.1, XP_020875509.1	Ag006G508210
OG0000077	XP_002868913.1	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120, Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300
OG0000077	XP_020890734.1, XP_020865611.1	Ag004G321630, Ag004G321620, Ag004G321600
OG0000078	XP_002879052.1, XP_020866137.1, XP_002872380.1, XP_020876048.1, XP_002876861.2, XP_002886930.1, XP_002886934.1, XP_002865673.1, XP_002894139.1, XP_002886812.1, XP_002866863.2	Ag001G046650, Ag002G152760
OG0000078	XP_020870662.1	Ag003G252700
OG0000079	XP_020880521.1	Ag001G089410, Ag006G550580, Ag003G233720
OG0000079	XP_020880534.1	Ag001G084480
OG0000079	XP_020875151.1	Ag001G089520, Ag001G089530, Ag001G089500, Ag006G550440
OG0000079	XP_020880533.1	Ag001G071340
OG0000079	XP_020880546.1, XP_020880539.1	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370
OG0000080	XP_020867733.1	Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730
OG0000080	XP_020879494.1, XP_020878246.1	Ag001G028300
OG0000080	XP_020870702.1	Ag007G610550, Ag007G610520
OG0000080	XP_020884191.1	Ag004G375350, Ag007G650150
OG0000080	XP_020885088.1, XP_020870001.1, XP_020874135.1, XP_020886448.1	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210
OG0000081	XP_020877791.1	Ag007G593730
OG0000081	XP_020878845.1	Ag005G451860, Ag005G452050
OG0000082	XP_020883385.1, XP_020881708.1, XP_020869010.1	Ag004G385590
OG0000084	XP_020884655.1	Ag002G111870, Ag004G395550, Ag002G108380, Ag004G395620
OG0000084	XP_020885162.1, XP_002880565.1, XP_020884335.1	Ag008G724370
OG0000084	XP_020884025.1	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390
OG0000085	XP_020879598.1	Ag004G388690
OG0000086	XP_002894696.1, XP_002862362.1, XP_002886750.1, XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886752.2, XP_002886746.1, XP_020891241.1, XP_002886744.1, XP_002862361.1, XP_002886749.1, XP_002886745.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002886748.1, XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_002865487.1	Ag008G709530
OG0000087	XP_020879374.1	Ag008G723440
OG0000087	XP_020883550.1	Ag007G593840
OG0000087	XP_002873559.1	Ag007G609260
OG0000087	XP_002881356.1	Ag002G161340
OG0000087	XP_002863588.1	Ag002G127940
OG0000087	XP_020872103.1	Ag006G562620
OG0000087	XP_020890671.1	Ag003G224140
OG0000088	XP_002880903.1	Ag007G581970
OG0000088	XP_020880184.1	Ag005G450330, Ag005G450360
OG0000088	XP_020878730.1	Ag008G717820
OG0000089	XP_020876820.1	Ag007G603320
OG0000089	XP_020867828.1	Ag001G021310
OG0000089	XP_002879966.1, XP_002879967.1, XP_002879968.1	Ag002G193060
OG0000089	XP_020888275.1	Ag005G471710
OG0000089	XP_020871933.1, XP_020882238.1	Ag008G712440, Ag008G708620
OG0000090	XP_002887052.2, XP_020885789.1, XP_002890373.1	Ag004G333760
OG0000090	XP_020891141.1	Ag003G223190
OG0000090	XP_002867118.1	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930
OG0000091	XP_020887529.1, XP_002870603.1, XP_020880876.1	Ag008G666220
OG0000093	XP_020880586.1	Ag001G087540
OG0000093	XP_020880584.1	Ag001G087410
OG0000093	XP_002878201.2	Ag001G087190, Ag001G087160, Ag001G087050, Ag001G087110, Ag001G087130, Ag020G743230, Ag001G087290
OG0000093	XP_020888995.1, XP_002883691.1, XP_002883689.2, XP_002883690.2	Ag001G087200, Ag020G743290, Ag001G087240
OG0000093	XP_002878203.1, XP_020880570.1	Ag001G083700, Ag001G087310
OG0000093	XP_020880581.1	Ag001G086540, Ag001G086510
OG0000096	XP_020881188.1, XP_020881582.1, XP_020880678.1	Ag001G024200, Ag001G016650, Ag005G460360
OG0000096	XP_020884560.1	Ag002G102560
OG0000097	XP_002874842.1	Ag002G130220, Ag002G132530, Ag002G129480
OG0000097	XP_002874852.1	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450
OG0000097	XP_020876795.1	Ag002G129120, Ag002G130340, Ag002G130310, Ag002G129030
OG0000097	XP_020876465.1	Ag002G128740
OG0000097	XP_002874844.1, XP_020877173.1, XP_020876443.1, XP_002874669.1, XP_002862572.1	Ag002G128960
OG0000097	XP_002863972.2, XP_002874850.1	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340
OG0000098	XP_020884692.1	Ag004G315550, Ag004G315560
OG0000098	XP_002889921.2	Ag006G506280, Ag004G316800, Ag004G315620
OG0000099	XP_002886370.2	Ag004G395880
OG0000099	XP_020891031.1	Ag004G394290, Ag004G391580
OG0000099	XP_002872472.2, XP_002886369.2	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610
OG0000099	XP_020890360.1, XP_020890361.1, XP_020890692.1	Ag004G395780, Ag004G391250, Ag004G391340, Ag004G391360, Ag004G395820, Ag004G391310, Ag004G391330, Ag004G395840
OG0000099	XP_002886371.1	Ag004G391040
OG0000101	XP_020891540.1	Ag004G389930, Ag004G393600, Ag004G388590, Ag004G390060
OG0000101	XP_020890843.1	Ag004G392410, Ag004G396720, Ag004G396730, Ag004G392400, Ag004G390040, Ag004G396960
OG0000101	XP_020891283.1	Ag004G394110
OG0000101	XP_002887938.1	Ag004G389140
OG0000104	XP_020870885.1	Ag004G307220
OG0000104	XP_020883008.1	Ag007G594880, Ag007G594830
OG0000104	XP_020866497.1	Ag001G010320
OG0000104	XP_020886058.1	Ag005G441940
OG0000104	XP_020870266.1	Ag001G010240
OG0000104	XP_020870268.1	Ag001G010200
OG0000106	XP_020871755.1	Ag004G383320
OG0000107	XP_002883228.1	Ag005G446760
OG0000107	XP_020887921.1	Ag005G446720
OG0000107	XP_020887918.1	Ag005G446740
OG0000107	XP_020887923.1	Ag005G446750
OG0000107	XP_020888430.1, XP_020886789.1, XP_002870246.2	Ag005G446670
OG0000108	XP_002893476.1, XP_020869068.1, XP_020885549.1	Ag005G459590, Ag008G727840
OG0000108	XP_020889445.1, XP_020887764.1, XP_002883751.1, XP_002883752.1	Ag003G269110, Ag003G269200
OG0000108	XP_020865728.1	Ag005G414040
OG0000109	XP_020866042.1	Ag003G215310, Ag004G367180, Ag004G395250, Ag004G351540, Ag007G578520, Ag003G262230, Ag002G199280, Ag006G563280, Ag007G622830, Ag006G517090, Ag002G104980
OG0000110	XP_020880525.1	Ag001G090130
OG0000110	XP_020880511.1	Ag001G090120
OG0000110	XP_020879609.1	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700
OG0000110	XP_020880541.1, XP_020880527.1, XP_020880542.1	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010
OG0000110	XP_002870336.2, XP_020880503.1	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910
OG0000111	XP_020871248.1, XP_020872039.1, XP_020873181.1, XP_020875462.1	Ag002G181570, Ag002G181540, Ag002G181620
OG0000111	XP_020883459.1, XP_020871481.1, XP_020882481.1, XP_020882467.1, XP_020878937.1, XP_020877053.1	Ag008G729450
OG0000113	XP_020875322.1	Ag007G655220
OG0000114	XP_020887020.1	Ag003G284630
OG0000117	XP_020886073.1, XP_020886029.1, XP_020876858.1	Ag006G549560
OG0000117	XP_020876480.1	Ag006G517320
OG0000119	XP_020876483.1	Ag007G641820
OG0000119	XP_020866195.1, XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1	Ag005G433280, Ag007G606060, Ag008G734240, Ag005G486140, Ag002G179560, Ag005G477370, Ag003G228580, Ag003G279350, Ag005G409220
OG0000120	XP_002888121.2, XP_002886576.1	Ag004G373700, Ag001G094910
OG0000120	XP_020871775.1, XP_020872669.1, XP_020877424.1, XP_020890208.1, XP_020877244.1, XP_020881008.1, XP_020890264.1	Ag003G277400, Ag003G279310, Ag003G275890
OG0000120	XP_020879779.1, XP_020879307.1, XP_020891752.1, XP_020880012.1	Ag006G498650, Ag006G498600, Ag006G498610
OG0000122	XP_020865748.1	Ag008G698890
OG0000122	XP_002864448.2	Ag003G267460
OG0000122	XP_020868799.1	Ag008G699060
OG0000122	XP_020879776.1	Ag008G698530
OG0000123	XP_020866672.1, XP_002890763.1	Ag007G583620
OG0000123	XP_020890702.1	Ag001G067540
OG0000123	XP_002877382.2	Ag004G318570
OG0000123	XP_020869616.1, XP_020867729.1	Ag006G564520
OG0000124	XP_020866161.1, XP_002884887.2	Ag003G242000
OG0000124	XP_002878891.2	Ag006G527550, Ag008G658090
OG0000124	XP_020870431.1, XP_020881874.1, XP_020866430.1, XP_020875826.1, XP_020888401.1, XP_020890790.1	Ag004G349780, Ag005G468220, Ag002G194630, Ag001G067330, Ag008G665260, Ag001G016150, Ag005G485900, Ag012G741220
OG0000125	XP_020887259.1, XP_002873061.1	Ag005G477020
OG0000125	XP_002874101.1	Ag008G713670
OG0000125	XP_020868538.1	Ag004G307540
OG0000125	XP_002879182.1	Ag007G595180
OG0000127	XP_020888462.1	Ag005G477940
OG0000127	XP_020878838.1	Ag006G492190
OG0000127	XP_002873028.1	Ag006G492230
OG0000127	XP_020875867.1	Ag005G477990
OG0000127	XP_020869187.1	Ag004G313220, Ag004G313200, Ag004G313180, Ag004G313170, Ag007G620490, Ag004G313150
OG0000127	XP_020869185.1, XP_020869194.1, XP_020870924.1, XP_002862359.2	Ag004G313210, Ag004G313190, Ag004G313250
OG0000128	XP_020866238.1	Ag003G264610, Ag003G264920
OG0000130	XP_020866739.1, XP_020889313.1	Ag003G260700
OG0000131	XP_020878269.1	Ag003G256190
OG0000131	XP_020886207.1	Ag003G250970
OG0000133	XP_020877519.1	Ag004G314420, Ag001G083930, Ag005G455770, Ag008G708500, Ag004G391190, Ag003G285410, Ag001G074650
OG0000136	XP_020872358.1, XP_002868822.1, XP_002868821.2	Ag005G456830, Ag005G456800, Ag005G456810, Ag008G669100, Ag005G457140, Ag002G171850
OG0000137	XP_020865972.1	Ag001G020440, Ag001G062280, Ag002G130440, Ag007G624610, Ag004G355240, Ag003G264690, Ag007G648090, Ag004G309670, Ag008G662950, Ag001G102090, Ag004G373870, Ag004G346320, Ag006G521700
OG0000138	XP_020880774.1	Ag005G453120, Ag005G453110, Ag005G453150
OG0000138	XP_002877196.1	Ag003G290790
OG0000139	XP_020875554.1	Ag007G630860, Ag002G148650
OG0000140	XP_020879394.1, XP_020870866.1, XP_020871535.1	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830
OG0000140	XP_002864615.1	Ag008G707960
OG0000140	XP_020874639.1, XP_002864614.1	Ag001G080460, Ag008G707780
OG0000142	XP_020885350.1	Ag007G594160, Ag007G594220
OG0000142	XP_020885353.1	Ag007G594480
OG0000142	XP_020885473.1, XP_020885474.1	Ag004G307050
OG0000146	XP_020872008.1	Ag008G695350
OG0000146	XP_020871354.1	Ag002G188250
OG0000146	XP_020870474.1	Ag008G695470, Ag008G695460
OG0000146	XP_002866092.1	Ag008G695380
OG0000146	XP_020881826.1	Ag008G695270
OG0000147	XP_020888881.1	Ag005G408700
OG0000147	XP_020872380.1	Ag003G261030
OG0000147	XP_020870964.1	Ag008G702420
OG0000147	XP_020890865.1	Ag003G209560
OG0000149	XP_002875779.1	Ag006G570510, Ag006G570440, Ag006G570460
OG0000149	XP_020871263.1	Ag008G709340
OG0000149	XP_020871256.1, XP_020871259.1	Ag008G709420
OG0000150	XP_020886449.1	Ag008G711330, Ag002G133360
OG0000150	XP_020881738.1	Ag007G607130
OG0000150	XP_002875622.2	Ag006G518460, Ag007G625710
OG0000150	XP_020881834.1	Ag001G092600
OG0000150	XP_020881724.1	Ag004G332580
OG0000151	XP_002865968.1	Ag008G685810
OG0000151	XP_002867477.1	Ag003G253050
OG0000151	XP_020888570.1	Ag005G478640
OG0000151	XP_020888018.1	Ag005G417580
OG0000151	XP_020891046.1	Ag008G698280
OG0000154	XP_002891955.2	Ag003G268730, Ag005G477100, Ag005G477120
OG0000154	XP_020867554.1	Ag004G324480
OG0000154	XP_002884912.1	Ag005G471090
OG0000154	XP_002884737.1	Ag005G477170
OG0000154	XP_002873056.1	Ag006G493360
OG0000154	XP_002873055.1	Ag006G507750, Ag006G508580, Ag006G493020
OG0000155	XP_002886975.2, XP_020889997.1, XP_002867852.2	Ag006G564870
OG0000155	XP_020888268.1	Ag005G471860
OG0000155	XP_020876400.1	Ag002G134830, Ag002G134820, Ag002G138260
OG0000156	XP_002882020.2	Ag002G201900
OG0000156	XP_020882337.1	Ag001G093780
OG0000157	XP_020888665.1	Ag006G537650, Ag002G142330, Ag002G143730
OG0000157	XP_002888470.1, XP_020891300.1, XP_020877537.1	Ag003G228360
OG0000157	XP_020869283.1, XP_020875172.1, XP_020882847.1, XP_020885096.1, XP_020882845.1, XP_020882923.1, XP_002881592.1	Ag004G346210, Ag003G229150, Ag004G369290
OG0000158	XP_020873567.1, XP_020873647.1, XP_002869930.1	Ag005G443310, Ag005G444520, Ag005G443260
OG0000158	XP_020872404.1	Ag006G563590
OG0000158	XP_002894673.1, XP_002868325.2, XP_020883421.1, XP_020877947.1, XP_002879471.2	Ag005G476710
OG0000161	XP_020884859.1	Ag008G725260
OG0000161	XP_020890883.1	Ag007G588360
OG0000162	XP_020879924.1	Ag001G075290
OG0000162	XP_020881913.1	Ag001G092990, Ag001G093000, Ag001G093010, Ag001G092980, Ag001G092570
OG0000162	XP_020891301.1	Ag008G712070
OG0000162	XP_020884580.1	Ag002G200850, Ag002G200800
OG0000164	XP_020872234.1	Ag005G487250, Ag003G293940
OG0000164	XP_020872235.1	Ag003G293740, Ag003G293690, Ag003G293790
OG0000167	XP_020872090.1	Ag006G570230
OG0000167	XP_020872595.1, XP_020872600.1, XP_020872360.1	Ag006G570340
OG0000167	XP_002869981.2	Ag006G570320
OG0000167	XP_020872359.1	Ag006G570400, Ag006G570410
OG0000171	XP_020890687.1, XP_020870037.1	Ag004G345150
OG0000171	XP_002892585.1	Ag004G371850
