Orthogroup	Arabidopsis_lyrata_NCBI	Cardamine_amara
OG0000018	XP_020874896.1, XP_020872412.1, XP_020871964.1, XP_020874134.1, XP_020879723.1	evm.model.RL_7.1872
OG0000019	XP_020877201.1, XP_020872379.1, XP_020879405.1, XP_020871455.1	evm.model.RL_7.2268
OG0000021	XP_020881895.1	evm.model.RL_7.92, evm.model.RL_2.444
OG0000021	XP_020883515.1	evm.model.RL_4.3275, evm.model.RL_5.2792
OG0000023	XP_020873367.1	evm.model.RL_2.1843
OG0000023	XP_020873341.1	evm.model.RL_2.1842
OG0000023	XP_002872592.1	evm.model.RL_8.636
OG0000023	XP_002872597.2	evm.model.RL_2.1840
OG0000023	XP_002872599.2	evm.model.RL_8.624
OG0000023	XP_020873352.1	evm.model.RL_2.1829, evm.model.RL_2.1830
OG0000023	XP_002867727.1	evm.model.RL_2.1825.3.687c86e4
OG0000023	XP_020877175.1	evm.model.RL_2.1841
OG0000024	XP_020874131.1	evm.model.RL_5.2480
OG0000025	XP_020877806.1	evm.model.RL_8.1541
OG0000025	XP_020877991.1	evm.model.RL_8.1529
OG0000026	XP_020872549.1, XP_020881073.1, XP_020879655.1	evm.model.RL_7.315
OG0000027	XP_002893654.2	evm.model.RL_5.2839
OG0000027	XP_002875716.2	evm.model.RL_7.603, evm.model.RL_7.580
OG0000028	XP_020874317.1	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115
OG0000028	XP_020874443.1	evm.model.RL_4.1689
OG0000029	XP_020889577.1	evm.model.RL_8.656
OG0000031	XP_020889844.1	evm.model.RL_3.758
OG0000031	XP_002886463.2, XP_020865982.1, XP_020865991.1, XP_020890510.1, XP_020865986.1	evm.model.RL_3.205
OG0000033	XP_020873845.1	evm.model.RL_2.1828
OG0000033	XP_020872543.1	evm.model.RL_2.1847, evm.model.RL_2.1846
OG0000033	XP_020873356.1	evm.model.RL_2.1820_evm.model.RL_2.1823
OG0000033	XP_002877439.2	evm.model.RL_3.424, evm.model.RL_3.1278
OG0000033	XP_002874837.2	evm.model.RL_8.413
OG0000034	XP_020885105.1, XP_020886112.1, XP_020882566.1, XP_020882254.1, XP_020866182.1, XP_020889362.1, XP_020882345.1, XP_020871070.1, XP_020888104.1, XP_020879246.1, XP_020888557.1, XP_020890931.1, XP_020881628.1, XP_020878929.1, XP_020879276.1, XP_020876981.1, XP_020890967.1	evm.model.RL_5.2588
OG0000034	XP_020891338.1	evm.model.RL_2.4
OG0000034	XP_020876553.1	evm.model.RL_5.2586
OG0000034	XP_020874940.1, XP_020874002.1, XP_020871360.1, XP_020866150.1, XP_020883547.1	evm.model.RL_4.675
OG0000034	XP_020871959.1	evm.model.RL_7.2041
OG0000036	XP_020868066.1	evm.model.RL_5.2564
OG0000036	XP_020877514.1	evm.model.RL_2.742, evm.model.RL_2.665
OG0000037	XP_020866728.1	evm.model.RL_1.2680
OG0000037	XP_020870708.1	evm.model.RL_5.891
OG0000038	XP_020880739.1	evm.model.RL_7.1446
OG0000038	XP_020871436.1	evm.model.RL_8.1346, evm.model.RL_8.1344
OG0000039	XP_020866750.1	evm.model.RL_3.1691
OG0000042	XP_020890764.1, XP_020881671.1, XP_020891386.1	evm.model.RL_3.4
OG0000042	XP_020888726.1	evm.model.RL_3.1074, evm.model.RL_8.1561, evm.model.RL_3.1047, evm.model.RL_7.1972
OG0000042	XP_020884682.1, XP_020887780.1	evm.model.RL_6.2221
OG0000044	XP_020866165.1, XP_020887727.1, XP_020874078.1, XP_020867102.1, XP_020877167.1, XP_020871406.1, XP_020876919.1, XP_002883785.1, XP_020880655.1, XP_020882740.1, XP_002893924.2, XP_020870337.1, XP_020883604.1, XP_020876127.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000044	XP_020885942.1	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226
OG0000045	XP_020890956.1, XP_020882438.1	evm.model.RL_1.2734, evm.model.RL_2.587
OG0000045	XP_020870253.1	evm.model.RL_7.883, evm.model.RL_8.1002
OG0000046	XP_020873883.1	evm.model.RL_2.391
OG0000046	XP_020874378.1	evm.model.RL_2.1379
OG0000046	XP_020872272.1, XP_020874589.1	evm.model.RL_2.389, evm.model.RL_2.387
OG0000046	XP_020865819.1	evm.model.RL_3.1072
OG0000046	XP_020865823.1	evm.model.RL_3.1077
OG0000046	XP_002868795.2	evm.model.RL_2.393
OG0000052	XP_020868191.1	evm.model.RL_5.167
OG0000052	XP_020883312.1, XP_020890130.1	evm.model.RL_8.2684
OG0000052	XP_020884766.1, XP_020885237.1	evm.model.RL_6.1412
OG0000052	XP_020883311.1	evm.model.RL_8.803, evm.model.RL_8.802
OG0000052	XP_020883307.1	evm.model.RL_6.2368
OG0000053	XP_020870695.1, XP_020879890.1, XP_020878851.1, XP_020881512.1, XP_020875242.1, XP_020874679.1, XP_020866756.1, XP_020876759.1, XP_020886057.1	evm.model.RL_1.2655
OG0000054	XP_020884558.1	evm.model.RL_8.823, evm.model.RL_4.126
OG0000055	XP_002886466.1, XP_020890707.1	evm.model.RL_3.282
OG0000055	XP_002886488.1	evm.model.RL_3.285
OG0000055	XP_020889965.1	evm.model.RL_3.277
OG0000056	XP_020891624.1	evm.model.RL_2.634
OG0000056	XP_020891370.1	evm.model.RL_1.2423, evm.model.RL_1.2416
OG0000057	XP_020883674.1	evm.model.RL_4.2353
OG0000062	XP_020866308.1, XP_020879729.1	evm.model.RL_2.991, evm.model.RL_6.777
OG0000062	XP_020878083.1, XP_020872631.1, XP_020869681.1, XP_020881865.1, XP_020866201.1, XP_020866719.1, XP_020884659.1, XP_020880717.1, XP_020866590.1, XP_020866196.1	evm.model.RL_1.3086, evm.model.RL_2.842
OG0000066	XP_020891414.1, XP_020886001.1	evm.model.RL_3.1975
OG0000066	XP_020869687.1	evm.model.RL_5.1818
OG0000066	XP_002877046.2, XP_002873454.1, XP_020876762.1, XP_020867896.1, XP_002894648.1	evm.model.RL_8.2622
OG0000067	XP_020889441.1, XP_020889396.1	evm.model.RL_7.2627
OG0000067	XP_020871868.1, XP_002864221.1, XP_020868524.1, XP_020886482.1, XP_020877300.1, XP_002871038.2, XP_002883446.1, XP_002873094.1, XP_020879355.1, XP_020881372.1	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9
OG0000069	XP_020866212.1, XP_020881839.1	evm.model.RL_4.1093
OG0000071	XP_020871478.1	evm.model.RL_1.2437
OG0000071	XP_020889746.1	evm.model.RL_6.3
OG0000072	XP_020866785.1	evm.model.RL_3.925
OG0000072	XP_020884945.1	evm.model.RL_2.737
OG0000072	XP_020877184.1	evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082
OG0000072	XP_020888645.1, XP_020871279.1, XP_020881978.1, XP_020885342.1, XP_020865755.1, XP_002877246.2, XP_020872649.1	evm.model.RL_3.783
OG0000073	XP_020880043.1, XP_020886914.1	evm.model.RL_4.629
OG0000073	XP_002865186.1, XP_020878609.1	evm.model.RL_4.151, evm.model.RL_4.156
OG0000073	XP_002863747.1, XP_002884747.1, XP_020890887.1	evm.model.RL_6.501
OG0000073	XP_020877446.1	evm.model.RL_5.2720
OG0000073	XP_020879725.1	evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175
OG0000074	XP_020869256.1	evm.model.RL_5.3415
OG0000076	XP_020882208.1	evm.model.RL_7.1484
OG0000076	XP_020881215.1	evm.model.RL_8.1070
OG0000077	XP_020875017.1, XP_002863944.2	evm.model.RL_4.914, evm.model.RL_4.878
OG0000077	XP_020874617.1	evm.model.RL_2.3382
OG0000077	XP_002868917.2	evm.model.RL_2.3381
OG0000079	XP_020880494.1	evm.model.RL_7.465
OG0000079	XP_020875151.1	evm.model.RL_2.379
OG0000079	XP_020874195.1	evm.model.RL_1.227, evm.model.RL_7.464
OG0000080	XP_020874913.1	evm.model.RL_2.499
OG0000080	XP_020868372.1, XP_020870753.1, XP_020869081.1, XP_020868711.1	evm.model.RL_5.2173
OG0000080	XP_020870702.1	evm.model.RL_5.3416
OG0000080	XP_020885088.1	evm.model.RL_6.1107
OG0000081	XP_020888855.1	evm.model.RL_6.922
OG0000081	XP_020890741.1	evm.model.RL_4.293
OG0000082	XP_020883385.1, XP_020881708.1, XP_020869010.1	evm.model.RL_7.1932
OG0000082	XP_020875863.1, XP_020875624.1, XP_020887797.1	evm.model.RL_8.1557
OG0000082	XP_020867402.1	evm.model.RL_3.357
OG0000082	XP_020879679.1	evm.model.RL_3.1016
OG0000083	XP_020886764.1	evm.model.RL_1.2208
OG0000084	XP_020884655.1	evm.model.RL_6.376
OG0000086	XP_002894696.1, XP_002862362.1, XP_002886750.1, XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886752.2, XP_002886746.1, XP_020891241.1, XP_002886744.1, XP_002862361.1, XP_002886749.1, XP_002886745.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002886748.1, XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_002865487.1	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410
OG0000087	XP_020879374.1	evm.model.RL_4.1345
OG0000087	XP_020883550.1	evm.model.RL_6.1057
OG0000087	XP_020880680.1	evm.model.RL_7.1685
OG0000087	XP_002873559.1	evm.model.RL_4.2360
OG0000087	XP_002881356.1	evm.model.RL_6.1567
OG0000087	XP_002863588.1	evm.model.RL_4.428
OG0000087	XP_020872103.1	evm.model.RL_2.1599
OG0000087	XP_020866480.1	evm.model.RL_5.1831
OG0000087	XP_020890671.1	evm.model.RL_3.1990
OG0000088	XP_020881827.1, XP_002880903.1, XP_020880709.1, XP_020886823.1, XP_002875847.2, XP_020880186.1, XP_002875849.2, XP_002877545.1	evm.model.RL_7.1629
OG0000088	XP_002864053.1	evm.model.RL_8.1137
OG0000089	XP_020876820.1	evm.model.RL_4.2603
OG0000089	XP_020867828.1	evm.model.RL_1.1790.1.687c87ee
OG0000089	XP_002879966.1, XP_002879967.1, XP_002879968.1	evm.model.RL_6.2333
OG0000089	XP_020888275.1	evm.model.RL_1.1121
OG0000090	XP_002887052.2, XP_020885789.1, XP_002890373.1	evm.model.RL_5.1846
OG0000090	XP_002863814.1	evm.model.RL_4.706
OG0000090	XP_020891141.1	evm.model.RL_3.2006
OG0000090	XP_002867118.1	evm.model.RL_2.2972
OG0000090	XP_002875194.1, XP_002883942.1, XP_002875195.1	evm.model.RL_7.2545
OG0000090	XP_020867590.1	evm.model.RL_5.885
OG0000093	XP_020880586.1	evm.model.RL_7.523
OG0000093	XP_020880581.1	evm.model.RL_7.532
OG0000096	XP_020891276.1	evm.model.RL_3.612
OG0000096	XP_020881188.1, XP_020881582.1	evm.model.RL_7.2533
OG0000096	XP_002894680.1	evm.model.RL_3.627
OG0000096	XP_020884560.1	evm.model.RL_4.362
OG0000096	XP_020869035.1	evm.model.RL_4.323
OG0000097	XP_002874842.1	evm.model.RL_8.394
OG0000097	XP_020876465.1	evm.model.RL_8.388
OG0000097	XP_002874844.1, XP_020877173.1, XP_020876443.1, XP_002874669.1, XP_002862572.1	evm.model.RL_8.395
OG0000098	XP_020891049.1, XP_020888466.1, XP_020891221.1	evm.model.RL_3.229
OG0000099	XP_002874589.2, XP_002886370.2, XP_020891031.1, XP_020887787.1	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232
OG0000101	XP_020891540.1	evm.model.RL_3.344
OG0000101	XP_020867629.1	evm.model.RL_3.664
OG0000104	XP_020883008.1	evm.model.RL_6.1001
OG0000104	XP_020866497.1	evm.model.RL_5.2109
OG0000104	XP_020886058.1	evm.model.RL_1.2055
OG0000104	XP_020870266.1	evm.model.RL_8.1054
OG0000104	XP_020870262.1	evm.model.RL_1.2425
OG0000105	XP_020866184.1	evm.model.RL_6.453
OG0000106	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020886742.1, XP_002883180.1, XP_002884070.2	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845
OG0000107	XP_020887918.1, XP_020887923.1	evm.model.RL_1.1928
OG0000107	XP_020888430.1	evm.model.RL_1.2019, evm.model.RL_1.2021
OG0000107	XP_020886789.1	evm.model.RL_1.1929
OG0000108	XP_020876145.1	evm.model.RL_4.1209
OG0000108	XP_002893476.1, XP_020869068.1	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	XP_020865728.1	evm.model.RL_3.231
OG0000109	XP_020866042.1	evm.model.RL_1.2753, evm.model.RL_6.342
OG0000110	XP_020882191.1	evm.model.RL_7.771
OG0000110	XP_020880511.1	evm.model.RL_7.1925
OG0000110	XP_020879609.1	evm.model.RL_7.432
OG0000112	XP_002878578.1, XP_002884106.1, XP_002879068.2, XP_002864712.1	evm.model.RL_8.2167
OG0000113	XP_020875322.1	evm.model.RL_4.610, evm.model.RL_4.608
OG0000114	XP_020879441.1, XP_020875295.1, XP_002863119.2	evm.model.RL_4.611
OG0000114	XP_020887020.1	evm.model.RL_1.339
OG0000115	XP_002892325.1	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979
OG0000116	XP_020882165.1, XP_020881105.1, XP_020872551.1, XP_020877744.1	evm.model.RL_5.1553
OG0000117	XP_020876480.1	evm.model.RL_8.488
OG0000118	XP_002876201.1	evm.model.RL_8.709, evm.model.RL_8.712
OG0000119	XP_020866195.1, XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1	evm.model.RL_5.2397
OG0000120	XP_002888121.2, XP_002886576.1	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	XP_020871775.1, XP_020872669.1, XP_020877424.1, XP_020890208.1, XP_020877244.1, XP_020881008.1, XP_020890264.1	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	XP_020879779.1, XP_020879307.1	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000122	XP_020871558.1	evm.model.RL_8.1715
OG0000122	XP_002864448.2	evm.model.RL_5.2721
OG0000122	XP_020871241.1	evm.model.RL_8.1714
OG0000123	XP_002877382.2	evm.model.RL_5.1211
OG0000125	XP_020887259.1, XP_002873061.1	evm.model.RL_4.3281
OG0000125	XP_002874101.1	evm.model.RL_4.1435
OG0000125	XP_020868538.1	evm.model.RL_5.630
OG0000125	XP_002864658.2, XP_020872447.1	evm.model.RL_8.2069
OG0000125	XP_002877451.1	evm.model.RL_7.1764, evm.model.RL_7.1769
OG0000125	XP_002879182.1	evm.model.RL_6.979
OG0000126	XP_020871150.1	evm.model.RL_6.543, evm.model.RL_3.859
OG0000127	XP_020888462.1	evm.model.RL_1.823
OG0000127	XP_020878838.1	evm.model.RL_4.3346
OG0000127	XP_002873028.1	evm.model.RL_4.3343
OG0000127	XP_020888516.1, XP_020875867.1	evm.model.RL_1.822
OG0000128	XP_020878880.1	evm.model.RL_3.715
OG0000128	XP_020865764.1	evm.model.RL_4.1217
OG0000128	XP_020866238.1	evm.model.RL_5.2370
OG0000130	XP_020877517.1	evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707
OG0000132	XP_002893409.1	evm.model.RL_8.1179
OG0000132	XP_020887015.1	evm.model.RL_6.1268, evm.model.RL_7.2086
OG0000135	XP_020874182.1	evm.model.RL_5.2242
OG0000136	XP_020889890.1, XP_020889891.1, XP_020865653.1	evm.model.RL_3.1028
OG0000136	XP_002868825.1	evm.model.RL_2.429
OG0000137	XP_020865972.1	evm.model.RL_7.1543
OG0000137	XP_020875630.1	evm.model.RL_2.50
OG0000140	XP_002875806.1, XP_002875805.1	evm.model.RL_7.1690
OG0000140	XP_002863036.1, XP_020869408.1	evm.model.RL_8.2003
OG0000140	XP_002864615.1	evm.model.RL_7.1796
OG0000142	XP_020885473.1, XP_020885474.1	evm.model.RL_6.1033, evm.model.RL_6.1034
OG0000144	XP_020877678.1, XP_020872445.1, XP_020875855.1, XP_020889856.1, XP_020885594.1, XP_020870692.1	evm.model.RL_8.1451
OG0000147	XP_020872380.1	evm.model.RL_2.2536
OG0000147	XP_020870964.1	evm.model.RL_8.1812
OG0000147	XP_020890865.1	evm.model.RL_3.2406
OG0000147	XP_020889051.1	evm.model.RL_1.2583
OG0000147	XP_020885195.1	evm.model.RL_6.348
OG0000149	XP_002875779.1	evm.model.RL_7.1738
OG0000149	XP_002875778.1	evm.model.RL_7.1737
OG0000149	XP_002877482.1	evm.model.RL_7.1739
OG0000150	XP_020886449.1	evm.model.RL_8.2095
OG0000150	XP_002875622.2, XP_020876007.1, XP_020881834.1, XP_020881748.1	evm.model.RL_7.1807
OG0000150	XP_020881724.1	evm.model.RL_7.1810
OG0000151	XP_002865968.1	evm.model.RL_8.1422
OG0000151	XP_002867477.1	evm.model.RL_2.2307
OG0000151	XP_020888570.1	evm.model.RL_1.777
OG0000151	XP_020888018.1	evm.model.RL_1.2853
OG0000151	XP_020891046.1	evm.model.RL_8.1691
OG0000151	XP_020874812.1, XP_002887912.1	evm.model.RL_3.61
OG0000152	XP_020891448.1	evm.model.RL_7.117, evm.model.RL_2.778, evm.model.RL_2.919, evm.model.RL_5.2414, evm.model.RL_4.661, evm.model.RL_4.735, evm.model.RL_6.581, evm.model.RL_1.2711, evm.model.RL_2.713, evm.model.RL_2.777, evm.model.RL_6.572, evm.model.RL_8.1671, evm.model.RL_6.2907, evm.model.RL_4.1821, evm.model.RL_6.815, evm.model.RL_7.1603
OG0000154	XP_020867554.1	evm.model.RL_6.951, evm.model.RL_5.1456
OG0000154	XP_002884737.1	evm.model.RL_1.853
OG0000154	XP_002873055.1	evm.model.RL_2.489
OG0000155	XP_020873274.1	evm.model.RL_2.2243
OG0000155	XP_020882926.1	evm.model.RL_3.1179
OG0000156	XP_002882021.1	evm.model.RL_4.1065
OG0000156	XP_002882020.2	evm.model.RL_6.2692
OG0000157	XP_002888470.1, XP_020891300.1, XP_020877537.1	evm.model.RL_5.213
OG0000158	XP_002869017.2	evm.model.RL_2.3209, evm.model.RL_2.3204, evm.model.RL_2.3199
OG0000158	XP_020872404.1	evm.model.RL_2.2746
OG0000158	XP_020883421.1	evm.model.RL_6.58
OG0000161	XP_020890883.1	evm.model.RL_3.891
OG0000161	XP_020890886.1	evm.model.RL_3.896
OG0000162	XP_020884667.1	evm.model.RL_4.640, evm.model.RL_2.640
OG0000162	XP_020865963.1	evm.model.RL_3.1091
OG0000162	XP_020891301.1	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976
OG0000162	XP_020884580.1	evm.model.RL_6.2628
OG0000167	XP_020872090.1	evm.model.RL_2.1517
OG0000167	XP_020875194.1, XP_020875186.1	evm.model.RL_2.1515
OG0000167	XP_002869981.2	evm.model.RL_2.1514
OG0000167	XP_020865995.1, XP_020875268.1	evm.model.RL_2.1516
OG0000169	XP_020865593.1	evm.model.RL_3.1834, evm.model.RL_3.1135.1.687c84bb
OG0000169	XP_020890783.1	evm.model.RL_3.574
OG0000171	XP_020890687.1, XP_020870037.1	evm.model.RL_3.1439
OG0000171	XP_002892585.1	evm.model.RL_5.927.1.687c88b0, evm.model.RL_3.461
OG0000171	XP_002871626.1	evm.model.RL_4.2162.1.687c86d7
OG0000172	XP_020880319.1	evm.model.RL_7.119
OG0000172	XP_020880953.1, XP_020865702.1	evm.model.RL_3.406, evm.model.RL_3.423
OG0000172	XP_020881910.1, XP_020880545.1	evm.model.RL_7.1680, evm.model.RL_7.1683
OG0000173	XP_020879516.1	evm.model.RL_5.288
OG0000175	XP_002876081.1	evm.model.RL_7.1254
OG0000175	XP_002887616.1	evm.model.RL_3.1995
OG0000175	XP_020870471.1	evm.model.RL_5.1839
OG0000175	XP_002869113.1	evm.model.RL_2.3025
OG0000175	XP_020885855.1	evm.model.RL_1.2964
OG0000175	XP_020873047.1	evm.model.RL_2.3122
OG0000176	XP_020866682.1	evm.model.RL_5.2856
OG0000180	XP_020887402.1	evm.model.RL_4.643
OG0000183	XP_020887742.1	evm.model.RL_3.1014
OG0000185	XP_020890721.1	evm.model.RL_5.3641, evm.model.RL_3.292
OG0000186	XP_020885553.1	evm.model.RL_5.2354, evm.model.RL_8.2135
OG0000187	XP_020888292.1	evm.model.RL_1.1017
OG0000190	XP_002874799.1	evm.model.RL_8.476, evm.model.RL_8.475
OG0000190	XP_002872696.1	evm.model.RL_8.473
OG0000190	XP_020877648.1	evm.model.RL_8.474.1.687c8557
OG0000190	XP_002893865.1	evm.model.RL_8.916
OG0000191	XP_002885155.2	evm.model.RL_1.1587
OG0000192	XP_020869473.1	evm.model.RL_5.3624
OG0000192	XP_020869475.1	evm.model.RL_3.2103
OG0000195	XP_002879035.1	evm.model.RL_6.761
OG0000195	XP_002879909.1	evm.model.RL_7.686, evm.model.RL_6.2234
OG0000195	XP_002870564.1, XP_002888498.1	evm.model.RL_2.437, evm.model.RL_3.1018
OG0000195	XP_020880310.1	evm.model.RL_4.1537, evm.model.RL_7.1974
OG0000196	XP_020870365.1, XP_020870362.1	evm.model.RL_5.2252
OG0000196	XP_020867608.1	evm.model.RL_4.2554
OG0000196	XP_020870363.1	evm.model.RL_1.1858
OG0000197	XP_020875545.1, XP_020880727.1	evm.model.RL_8.487
OG0000197	XP_020872035.1	evm.model.RL_2.70
OG0000197	XP_020873116.1, XP_020880783.1, XP_020880728.1, XP_020874450.1, XP_002870649.2, XP_020887839.1, XP_020873037.1, XP_020875518.1, XP_020874171.1, XP_020873172.1, XP_020873179.1	evm.model.RL_2.911
OG0000200	XP_002889578.1	evm.model.RL_5.455
OG0000200	XP_002883538.1, XP_002883579.1, XP_020887089.1	evm.model.RL_1.2415, evm.model.RL_1.2410
OG0000203	XP_002882369.2, XP_002882368.1	evm.model.RL_1.381
OG0000203	XP_020888830.1	evm.model.RL_1.380
OG0000204	XP_020881383.1, XP_002885438.2	evm.model.RL_1.2062
OG0000205	XP_002877168.1	evm.model.RL_8.836
OG0000206	XP_020882872.1	evm.model.RL_6.475, evm.model.RL_8.541
OG0000207	XP_002889207.2, XP_020891517.1, XP_020891568.1, XP_020891546.1, XP_020885070.1, XP_020891565.1, XP_020889907.1	evm.model.RL_3.2271
OG0000208	XP_020872429.1	evm.model.RL_2.3387
OG0000209	XP_020890823.1	evm.model.RL_2.469
OG0000209	XP_020890821.1	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273
OG0000209	XP_020890819.1	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276
OG0000209	XP_020890820.1	evm.model.RL_7.2654
OG0000209	XP_020874287.1	evm.model.RL_2.160
OG0000209	XP_020874288.1	evm.model.RL_2.161
OG0000210	XP_020881030.1	evm.model.RL_7.1999
OG0000213	XP_002878651.1, XP_020884047.1, XP_020883070.1	evm.model.RL_6.204
OG0000214	XP_020891504.1	evm.model.RL_7.215
OG0000217	XP_020891727.1	evm.model.RL_7.1931
OG0000217	XP_020868284.1	evm.model.RL_3.548
OG0000218	XP_002892838.1, XP_020869981.1	evm.model.RL_5.1346
OG0000218	XP_020869449.1	evm.model.RL_5.1347, evm.model.RL_5.1349
OG0000218	XP_002870338.1, XP_020881007.1, XP_002875203.1, XP_002875076.1	evm.model.RL_7.2697_evm.model.RL_7.2698
OG0000219	XP_002888551.1, XP_002888554.1, XP_002888553.1, XP_002887077.1, XP_020891385.1	evm.model.RL_3.1053
OG0000219	XP_002881067.1, XP_002862634.2	evm.model.RL_6.1077
OG0000219	XP_020877374.1, XP_002862247.1	evm.model.RL_8.2397
OG0000220	XP_020882765.1, XP_020884619.1	evm.model.RL_3.318
OG0000224	XP_020891652.1	evm.model.RL_3.2157
OG0000224	XP_002887689.1	evm.model.RL_3.2156
OG0000225	XP_020867501.1	evm.model.RL_5.2983
OG0000225	XP_020867503.1	evm.model.RL_5.2977
OG0000225	XP_020867502.1	evm.model.RL_5.2981
OG0000226	XP_002876919.1, XP_020869863.1	evm.model.RL_8.2609, evm.model.RL_8.2608
OG0000228	XP_002888800.1	evm.model.RL_3.1491
OG0000228	XP_002874413.1, XP_002872296.1	evm.model.RL_4.998
OG0000228	XP_020872592.1, XP_002888798.1	evm.model.RL_3.1486
OG0000229	XP_020874322.1, XP_020874320.1, XP_020877798.1, XP_002871796.1, XP_020874321.1	evm.model.RL_8.305, evm.model.RL_8.256, evm.model.RL_8.257
OG0000229	XP_020868387.1, XP_002891651.2, XP_002891717.1	evm.model.RL_2.330, evm.model.RL_7.1066
OG0000231	XP_020873122.1	evm.model.RL_2.361
OG0000231	XP_020872464.1	evm.model.RL_3.874
