Orthogroup	Arabidopsis_lyrata_NCBI	Erysimum_linariifolium
OG0000027	XP_020870502.1, XP_020866340.1, XP_020870297.1, XP_002890925.2	El002G118130
OG0000027	XP_020869783.1, XP_020869389.1, XP_020866486.1, XP_020866487.1, XP_002893661.2, XP_020869388.1	El002G117940
OG0000027	XP_020866092.1	El002G117910
OG0000027	XP_002893654.2	El002G117730
OG0000027	XP_020879759.1, XP_020881113.1	El001G029050
OG0000027	XP_020879758.1	El001G025570
OG0000028	XP_020874317.1	El004G212000, El004G211990, El007G348580
OG0000028	XP_020881896.1, XP_020869142.1	El007G334290
OG0000028	XP_020874443.1	El001G018960, El002G114660, El007G326060, El007G352000
OG0000029	XP_020889577.1	El007G359550, El001G031910, El006G302870, El002G125750, El008G368530
OG0000029	XP_020879586.1	El003G179090
OG0000030	XP_020883969.1, XP_020886744.1, XP_020884781.1	El002G130810
OG0000030	XP_020872945.1	El003G181960
OG0000030	XP_020876174.1	El003G178390, El003G178450
OG0000030	XP_020865828.1	El004G207460
OG0000031	XP_020865844.1, XP_020890513.1	El004G208470, El004G208460
OG0000031	XP_020891718.1	El004G197790
OG0000031	XP_002886462.1	El004G197660
OG0000031	XP_002886463.2, XP_020865982.1, XP_020865991.1, XP_020890510.1, XP_020865986.1	El007G349520
OG0000031	XP_020868327.1, XP_020870640.1, XP_020868325.1	El002G096110
OG0000031	XP_002868609.1	El003G192370
OG0000031	XP_002883021.2	El005G253470
OG0000031	XP_020873422.1	El003G157520
OG0000031	XP_020865918.1	El002G127940, El004G193990
OG0000033	XP_002869784.2	El003G162150
OG0000033	XP_020873845.1	El003G192480
OG0000033	XP_020873360.1	El003G164670
OG0000033	XP_020873366.1	El003G162220
OG0000033	XP_002877439.2	El001G014890
OG0000033	XP_002874837.2	El001G004730
OG0000034	XP_020873801.1	El004G208110
OG0000034	XP_020888683.1, XP_020872992.1	El007G350680
OG0000034	XP_020868390.1	El007G350130
OG0000034	XP_020890931.1, XP_020881628.1, XP_020878929.1	El002G123500
OG0000034	XP_020879276.1, XP_020876981.1	El007G355880, El007G355760
OG0000034	XP_020890967.1	El003G154390, El001G040620, El004G214030
OG0000034	XP_020891338.1	El002G126180
OG0000034	XP_020872390.1, XP_020868795.1, XP_020872178.1, XP_020876553.1	El027G373510
OG0000034	XP_020871959.1, XP_020872340.1	El002G123490
OG0000034	XP_020879181.1	El003G149900
OG0000034	XP_020871751.1, XP_020880608.1, XP_020885775.1, XP_020881477.1, XP_020875416.1, XP_020870606.1, XP_020872315.1	El001G048010
OG0000034	XP_020872318.1, XP_020872991.1, XP_020875735.1, XP_020877498.1, XP_020872630.1, XP_020885869.1	El006G311550
OG0000035	XP_002879361.2	El006G299540
OG0000035	XP_020881568.1	El001G033250
OG0000036	XP_020883504.1	El004G193910
OG0000037	XP_020870708.1	El005G262630, El005G272610
OG0000037	XP_020880729.1	El005G260860
OG0000038	XP_020889818.1	El006G281890, El006G282510
OG0000038	XP_020880739.1	El001G019410
OG0000038	XP_020871436.1	El007G341120
OG0000038	XP_020871052.1	El007G361730, El007G361750
OG0000038	XP_002863596.2	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600
OG0000038	XP_002893374.1	El006G282520
OG0000040	XP_002893432.1, XP_020866580.1	El003G181190, El002G112730, El002G112290
OG0000040	XP_020885911.1	El005G250150
OG0000040	XP_020888486.1, XP_002884990.1, XP_002884981.1, XP_002884979.1	El005G250180
OG0000040	XP_002885337.1	El005G257410
OG0000042	XP_020890764.1, XP_020881671.1, XP_020891386.1	El001G058460
OG0000042	XP_020888726.1	El006G312080, El006G306460, El002G113220
OG0000044	XP_020866165.1, XP_020887727.1, XP_020874078.1, XP_020867102.1, XP_020877167.1, XP_020871406.1, XP_020876919.1, XP_002883785.1, XP_020880655.1, XP_020882740.1, XP_002893924.2, XP_020870337.1	El007G357580, El007G365520, El003G186540
OG0000044	XP_020883604.1, XP_020876127.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1	El006G308910, El006G308940
OG0000044	XP_020885942.1, XP_020877131.1, XP_020871374.1	El007G360870
OG0000045	XP_020890956.1, XP_020882438.1	El005G249570, El003G188840, El005G264730, El002G101480
OG0000045	XP_020870253.1	El004G208130
OG0000046	XP_020872918.1, XP_020872917.1	El003G188710
OG0000046	XP_020873883.1	El003G186960, El003G186970
OG0000046	XP_020874378.1	El003G168460
OG0000046	XP_020872272.1	El003G187000
OG0000046	XP_020874589.1	El003G186990
OG0000046	XP_020865720.1	El004G216620
OG0000046	XP_020865823.1	El004G216850, El004G216660
OG0000046	XP_020865821.1	El004G216520
OG0000046	XP_020865724.1	El004G216760
OG0000046	XP_002868795.2	El003G186890
OG0000046	XP_020876931.1	El003G186880, El003G186940
OG0000047	XP_020865924.1	El002G123400
OG0000048	XP_002884413.1	El003G193700
OG0000048	XP_020883931.1	El006G321480
OG0000052	XP_020868191.1	El002G116290
OG0000052	XP_020890130.1	El006G286640
OG0000052	XP_020883122.1	El006G286590
OG0000052	XP_020883307.1	El006G286580
OG0000054	XP_020884558.1	El001G039440
OG0000055	XP_002886466.1, XP_020890707.1	El004G198780
OG0000055	XP_020880767.1	El001G016330, El001G016310, El001G016300
OG0000055	XP_020865627.1	El004G198610
OG0000055	XP_020889965.1	El004G198640
OG0000055	XP_020868319.1	El004G208280
OG0000055	XP_002888056.1, XP_020890625.1	El004G198010, El004G198720, El004G198710, El004G198730, El004G198700
OG0000055	XP_002888053.1	El004G198810
OG0000056	XP_020889278.1	El007G350500
OG0000057	XP_020876181.1	El001G001400
OG0000057	XP_020883674.1	El003G174270, El003G172630, El003G172690
OG0000057	XP_020886503.1, XP_020887842.1	El005G276600, El005G276550
OG0000057	XP_002862289.1	El003G184060
OG0000058	XP_020880718.1, XP_002879393.2	El001G046460
OG0000062	XP_020866308.1, XP_020879729.1	El003G186180, El004G203440, El004G203430
OG0000064	XP_020872718.1	El003G142390
OG0000064	XP_020884728.1	El006G298100
OG0000065	XP_020884537.1	El004G204380
OG0000066	XP_020891414.1, XP_020886001.1	El004G228220, El004G228230, El002G122920
OG0000066	XP_002877046.2, XP_002873454.1, XP_020876762.1, XP_020867896.1, XP_002894648.1	El007G324780
OG0000067	XP_020889441.1, XP_020889396.1, XP_020876026.1, XP_020876030.1	El001G050000
OG0000067	XP_020886482.1	El001G015110, El001G015090
OG0000067	XP_020877300.1	El005G241220
OG0000067	XP_002871038.2, XP_002883446.1, XP_002873094.1	El001G019940, El001G019880, El003G151620, El001G050380, El007G338720
OG0000067	XP_002871317.2	El001G059350
OG0000068	XP_020883624.1, XP_020891219.1, XP_020882782.1, XP_020872062.1, XP_020889582.1	El004G214260
OG0000071	XP_020889746.1	El003G186390, El001G051200, El006G305000
OG0000072	XP_020866785.1, XP_020884945.1, XP_020877184.1, XP_020882660.1, XP_020875736.1, XP_020882612.1, XP_020877271.1, XP_020890904.1, XP_020885842.1	El005G263040, El005G262970, El004G210970, El005G264060
OG0000072	XP_020888645.1, XP_020871279.1, XP_020881978.1, XP_020885342.1	El003G180720
OG0000073	XP_020875361.1	El002G132380
OG0000073	XP_020886914.1	El007G355990
OG0000073	XP_020877446.1	El007G365480
OG0000074	XP_020866884.1	El002G109000
OG0000074	XP_002893290.1	El002G108900
OG0000074	XP_002893291.1	El002G108910
OG0000074	XP_002893302.1	El002G109050
OG0000074	XP_002893298.1	El002G108990
OG0000074	XP_020870137.1	El002G108960
OG0000074	XP_020866886.1	El002G109030
OG0000074	XP_020870031.1	El002G108840
OG0000074	XP_020869256.1	El002G108850
OG0000074	XP_020869910.1	El002G109040
OG0000075	XP_020867374.1	El001G065030, El001G025110
OG0000076	XP_020879878.1	El001G018730, El001G018680
OG0000076	XP_020879880.1	El001G018720, El001G018710, El001G018740, El007G346890
OG0000076	XP_020881212.1	El001G023150
OG0000076	XP_020881214.1	El001G023120
OG0000076	XP_020881215.1, XP_020881213.1	El001G023080
OG0000076	XP_020882260.1	El001G041500
OG0000077	XP_020875017.1, XP_002863944.2	El007G346750
OG0000077	XP_002868914.1	El003G143060
OG0000077	XP_020874617.1	El003G143070
OG0000077	XP_002891316.2, XP_002891313.1, XP_020875509.1	El003G143080
OG0000077	XP_002868913.1	El003G143050, El006G313810, El003G143040
OG0000077	XP_020890734.1, XP_020865611.1	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890
OG0000077	XP_002868917.2	El003G143090
OG0000079	XP_020888699.1	El005G237320, El005G272390
OG0000079	XP_020887488.1	El005G237310
OG0000079	XP_020880524.1	El004G213350, El004G213320, El004G213370, El005G273970
OG0000079	XP_020880494.1	El004G207470
OG0000079	XP_020884444.1	El007G357730
OG0000079	XP_020872200.1	El003G187300, El003G187270, El003G187260, El003G187360
OG0000079	XP_020874865.1	El003G187320, El003G187370, El003G187350, El003G187330
OG0000079	XP_020874195.1	El004G196920
OG0000080	XP_020867733.1	El002G131320, El002G131270
OG0000080	XP_020868372.1	El002G131930
OG0000080	XP_002871528.2	El001G069000, El001G068960
OG0000080	XP_020891333.1	El004G194020
OG0000080	XP_020873461.1	El003G157200
OG0000080	XP_020885088.1	El007G345310
OG0000080	XP_020870001.1, XP_020874135.1, XP_020886448.1	El001G043770, El001G041340
OG0000081	XP_020888855.1	El004G231800, El001G044440
OG0000081	XP_002871805.1, XP_002873867.1	El001G062500
OG0000082	XP_020889967.1	El006G315360
OG0000082	XP_020867402.1, XP_020878439.1, XP_020880759.1, XP_020879679.1	El004G212430
OG0000083	XP_020886763.1	El005G263710
OG0000083	XP_020886764.1	El005G263720, El005G262910
OG0000083	XP_020887913.1	El005G271190, El005G271150
OG0000083	XP_020866346.1	El005G271260, El005G271250, El005G271160, El005G265390
OG0000083	XP_020888844.1, XP_020883479.1	El006G317480, El006G317520, El006G317460, El006G317530
OG0000083	XP_020883055.1, XP_020882682.1, XP_020882656.1	El006G313440
OG0000083	XP_020888110.1	El005G240260
OG0000084	XP_020884655.1	El006G313930, El001G048100, El006G316280, El006G316240, El006G316260
OG0000084	XP_020885162.1	El006G313950
OG0000084	XP_002880754.1	El006G316300
OG0000084	XP_020885291.1	El006G316350
OG0000084	XP_020884026.1	El006G316230
OG0000084	XP_020884025.1	El006G316420
OG0000084	XP_020884027.1	El006G316360, El006G316460, El006G316430, El006G316470, El006G316370, El006G316400
OG0000086	XP_002894696.1, XP_002862362.1, XP_002886750.1, XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886752.2, XP_002886746.1, XP_020891241.1, XP_002886744.1, XP_002862361.1, XP_002886749.1, XP_002886745.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002886748.1	El004G210560
OG0000087	XP_020879374.1	El001G056180
OG0000087	XP_020883550.1	El006G303330
OG0000087	XP_020871804.1	El007G327940
OG0000087	XP_020880680.1	El001G016250
OG0000087	XP_002873559.1	El001G069260
OG0000087	XP_002881356.1	El006G296420
OG0000087	XP_002863588.1	El007G360740
OG0000087	XP_020872103.1	El003G165170
OG0000087	XP_020866480.1	El002G104330
OG0000087	XP_020890671.1	El004G228430
OG0000088	XP_020881827.1	El007G357210
OG0000088	XP_020880709.1	El001G017100
OG0000088	XP_020886823.1	El005G272510
OG0000088	XP_002875847.2	El001G016960
OG0000088	XP_002877545.1	El001G016980
OG0000088	XP_020880184.1	El001G016470
OG0000088	XP_020878730.1	El001G059590
OG0000088	XP_002864053.1	El001G059580
OG0000089	XP_020876820.1	El001G072250
OG0000089	XP_020867828.1, XP_002883150.1	El002G133200
OG0000089	XP_002879966.1	El006G287080
OG0000089	XP_002879967.1	El006G287070
OG0000089	XP_002879968.1	El006G287060
OG0000089	XP_020888275.1	El005G247910
OG0000089	XP_020880453.1, XP_002879684.1, XP_020883890.1	El006G292700
OG0000089	XP_020871933.1, XP_020882238.1	El001G015710
OG0000090	XP_002887052.2	El002G104490, El003G181590
OG0000090	XP_002863814.1	El007G355500
OG0000090	XP_020891141.1	El004G228750
OG0000090	XP_002878309.1	El001G031660
OG0000090	XP_002867118.1	El003G147970
OG0000090	XP_002875194.1	El001G038160, El001G038170, El001G049400
OG0000090	XP_002883942.1, XP_002875195.1	El001G038180
OG0000090	XP_020867590.1	El002G093200
OG0000091	XP_020887529.1, XP_002870603.1, XP_020880876.1	El004G215550
OG0000093	XP_002878201.2	El004G202240, El004G202270
OG0000093	XP_002883691.1, XP_002883689.2, XP_002883690.2	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230
OG0000093	XP_002878203.1, XP_020880570.1	El001G029840
OG0000093	XP_020880581.1	El001G029800, El007G352040
OG0000096	XP_020891276.1	El004G205300
OG0000096	XP_020881188.1, XP_020881582.1	El001G038380
OG0000096	XP_020880678.1	El001G038370
OG0000096	XP_002894680.1	El004G205890, El004G205920, El004G205830, El004G205860, El004G205880, El004G205870, El004G205260, El004G205840, El007G356380
OG0000096	XP_020884560.1	El007G361830
OG0000096	XP_020869035.1	El007G362860
OG0000097	XP_002874842.1	El001G004470
OG0000097	XP_020876795.1	El001G004450
OG0000097	XP_020876465.1	El001G004380
OG0000097	XP_002874844.1, XP_020877173.1, XP_020876443.1, XP_002874669.1, XP_002862572.1	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890
OG0000097	XP_002863972.2, XP_002874850.1	El001G004400
OG0000098	XP_020869968.1	El002G095770
OG0000099	XP_002872472.2, XP_002886369.2	El004G194890, El004G195030, El004G194980
OG0000099	XP_020886281.1, XP_020891030.1, XP_002886371.1	El004G194950
OG0000101	XP_002886379.1	El001G010940
OG0000101	XP_020890843.1	El007G356350
OG0000101	XP_002886645.1	El004G201590
OG0000104	XP_020870885.1	El002G090170
OG0000104	XP_020870269.1, XP_020870260.1, XP_020870264.1	El002G136420
OG0000104	XP_020870262.1	El002G136360
OG0000105	XP_020866184.1	El027G373450
OG0000106	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020886742.1, XP_002883180.1, XP_002884070.2	El005G259530
OG0000106	XP_020865803.1	El005G256210, El005G255560
OG0000106	XP_020884689.1	El006G306450
OG0000106	XP_002885709.2, XP_002885705.1, XP_020888916.1, XP_002885707.1	El005G269060, El005G269030, El005G268940
OG0000107	XP_002883228.1	El005G257800
OG0000107	XP_020887921.1	El005G257840
OG0000107	XP_020887918.1	El005G257830
OG0000107	XP_020887923.1	El005G257820
OG0000107	XP_020888430.1	El005G258940
OG0000108	XP_002874257.1	El001G053220
OG0000108	XP_020879189.1	El001G053160
OG0000108	XP_020876145.1	El001G047240
OG0000108	XP_002893476.1, XP_020869068.1	El007G364310, El007G323300
OG0000108	XP_020885549.1	El001G009690, El006G281400
OG0000108	XP_020887764.1, XP_002883751.1, XP_002883752.1	El006G309530
OG0000108	XP_020865728.1	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550
OG0000109	XP_020866042.1	El002G122420
OG0000110	XP_020880525.1	El001G030790
OG0000110	XP_020880511.1	El001G030780
OG0000110	XP_020880541.1, XP_020880527.1, XP_020880542.1	El001G030740
OG0000110	XP_020880503.1	El001G030750
OG0000111	XP_020871248.1, XP_020872039.1, XP_020873181.1, XP_020875462.1	El003G187720, El001G009620, El003G183560
OG0000111	XP_020882481.1, XP_020882467.1	El007G327170
OG0000111	XP_020880888.1	El001G025790
OG0000112	XP_002878578.1, XP_002884106.1, XP_002879068.2, XP_002864712.1, XP_020883490.1, XP_002863574.1, XP_002863573.2, XP_020878125.1, XP_002863571.1, XP_020877257.1, XP_020871973.1, XP_020871983.1, XP_020877545.1, XP_020886106.1	El007G329910
OG0000112	XP_002864096.1	El007G342990
OG0000113	XP_020875322.1	El004G212080
OG0000113	XP_020886025.1, XP_020870827.1, XP_020868736.1	El002G128690
OG0000114	XP_002873501.1, XP_020887020.1	El001G070430
OG0000114	XP_020870825.1, XP_002892003.1, XP_020866269.1	El004G206200, El004G206180, El004G205940, El004G206220
OG0000115	XP_002892325.1	El002G126950, El002G121910, El006G311440, El006G308990
OG0000116	XP_020882165.1, XP_020881105.1, XP_020872551.1, XP_020877744.1	El006G309080, El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070
OG0000118	XP_002877840.1	El003G186910, El001G022390, El006G313980, El006G314430, El001G000890, El004G214040
OG0000118	XP_002875482.1	El001G001700, El001G001530
OG0000118	XP_002876201.1	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930
OG0000118	XP_020865753.1	El002G084120
OG0000119	XP_020866195.1, XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1	El002G124220
OG0000120	XP_002886576.1	El004G200260
OG0000120	XP_020871775.1, XP_020872669.1, XP_020877424.1, XP_020890208.1, XP_020877244.1, XP_020881008.1, XP_020890264.1	El007G345250, El007G346140, El006G307860
OG0000120	XP_020879779.1, XP_020879307.1	El001G077920
OG0000121	XP_020875124.1	El001G079760
OG0000123	XP_020866672.1, XP_002890763.1	El002G113800
OG0000124	XP_020866264.1	El005G272110
OG0000124	XP_020881817.1	El005G255280
OG0000124	XP_002878891.2	El003G186300, El003G188620, El004G223250, El001G050120, El001G069630, El005G241140, El004G213620
OG0000125	XP_020885803.1	El006G292880
OG0000125	XP_002873061.1	El001G080460
OG0000125	XP_020880339.1	El002G090450
OG0000125	XP_002874101.1	El001G057350
OG0000125	XP_020880863.1	El001G015040
OG0000125	XP_002877451.1	El001G015130
OG0000125	XP_002879182.1	El006G304720
OG0000127	XP_020888462.1	El005G244320
OG0000127	XP_020888516.1, XP_020875867.1, XP_002884715.2, XP_020869187.1, XP_020869185.1, XP_020869194.1, XP_020870924.1, XP_002862359.2, XP_020866032.1, XP_020869948.1	El001G001730
OG0000128	XP_020865849.1	El003G178890
OG0000130	XP_020866739.1, XP_020889313.1	El002G120060
OG0000131	XP_020885335.1	El007G346920
OG0000132	XP_002893409.1	El005G264200
OG0000132	XP_020885057.1	El005G264210
OG0000133	XP_020877519.1	El005G265050
OG0000135	XP_020881656.1, XP_020876232.1, XP_020890770.1, XP_020876673.1, XP_020881795.1, XP_020866133.1, XP_020866176.1, XP_020874182.1	El007G346110
OG0000136	XP_020865653.1	El004G215940
OG0000136	XP_002868825.1	El003G186490, El003G186500
OG0000136	XP_002864819.1	El007G327820
OG0000137	XP_020875630.1	El003G191580
OG0000138	XP_020871353.1	El001G050920
OG0000138	XP_020882530.1, XP_002875524.1	El001G045810, El001G045830
OG0000140	XP_002875806.1, XP_002875805.1	El001G016150
OG0000140	XP_002864617.1	El007G331970
OG0000140	XP_002863036.1, XP_020869408.1	El007G332020
OG0000140	XP_020879394.1	El007G332560
OG0000140	XP_020870866.1	El007G332570
OG0000140	XP_020871535.1	El007G332540
OG0000140	XP_020869658.1	El007G332580, El007G332590
OG0000140	XP_020874639.1, XP_002864614.1	El007G332010, El007G332000
OG0000142	XP_020885350.1	El006G303740, El006G303770
OG0000142	XP_020885355.1	El006G303840
OG0000142	XP_020885363.1	El001G049820, El006G303750
OG0000142	XP_020885473.1, XP_020885474.1	El006G303760, El006G303820
OG0000142	XP_002881123.1	El006G301970, El006G301960
OG0000144	XP_020872445.1, XP_020875855.1, XP_020889856.1	El007G344160
OG0000144	XP_020885594.1, XP_020870692.1	El007G351410
OG0000144	XP_020891498.1, XP_020875848.1	El007G362000
OG0000146	XP_002866093.1	El007G336790
OG0000146	XP_020872008.1	El007G336850
OG0000146	XP_002866092.1	El007G336820
OG0000146	XP_020872009.1	El007G336870, El007G336880
OG0000146	XP_002891107.2	El002G123070
OG0000146	XP_020881819.1	El007G336890
OG0000147	XP_020888881.1	El005G277400
OG0000147	XP_020872380.1	El003G152940
OG0000147	XP_020870964.1	El007G334350
OG0000147	XP_020890865.1	El004G233720
OG0000147	XP_020882578.1	El001G047010
OG0000147	XP_020889051.1	El005G271430
OG0000147	XP_020885195.1	El006G316840
OG0000149	XP_002875779.1	El001G015560
OG0000149	XP_020885175.1	El006G308870
OG0000150	XP_020886449.1	El006G312860
OG0000150	XP_020881834.1	El006G312870, El001G014430
OG0000150	XP_002878927.2	El006G312840, El006G312880
OG0000150	XP_020885607.1, XP_002878925.2	El006G312950, El006G312930
OG0000150	XP_020881724.1	El001G011280
OG0000150	XP_020881747.1	El001G014390, El001G014400
OG0000150	XP_020881737.1	El001G012490, El001G014420
OG0000151	XP_002865968.1	El007G339860
OG0000151	XP_002867477.1	El003G156070
OG0000151	XP_020888570.1	El005G243780
OG0000151	XP_020888018.1	El005G273960
OG0000151	XP_020891046.1	El007G336000
OG0000151	XP_020874812.1	El003G193180
OG0000152	XP_020869985.1	El003G177030
OG0000154	XP_002884737.1	El005G244620
OG0000154	XP_002873055.1	El004G209500
OG0000155	XP_020881884.1, XP_020873335.1, XP_020873355.1	El001G002450, El001G002560, El001G002510, El001G002610
OG0000155	XP_002886975.2, XP_020889997.1	El004G214530, El004G213730, El004G214590
OG0000155	XP_002867852.2	El003G164690
OG0000155	XP_020888268.1	El005G247790
OG0000155	XP_020876400.1	El003G164700
OG0000155	XP_020882926.1	El005G272960
OG0000156	XP_002878356.2	El001G032910
OG0000156	XP_002882021.1	El006G282820, El007G349010
OG0000156	XP_002882020.2	El006G282860
OG0000156	XP_020882337.1	El001G032920
OG0000157	XP_020888654.1, XP_002885586.1	El005G265510, El005G265480, El005G265460, El005G265550
OG0000157	XP_020887711.1	El005G238850
OG0000157	XP_020875172.1	El003G192550
OG0000157	XP_020882923.1, XP_002881592.1	El003G192860
OG0000158	XP_002894673.1, XP_002868325.2	El003G184160
OG0000158	XP_020877947.1	El001G001370, El001G007170, El001G007140
OG0000158	XP_002879471.2	El006G298850
OG0000162	XP_020879924.1	El003G183220
OG0000162	XP_020881913.1	El001G032190
OG0000162	XP_020865963.1, XP_020866050.1, XP_020891301.1	El007G330500
OG0000162	XP_020884580.1	El006G283560, El006G283550
OG0000164	XP_002869435.1	El003G154300
OG0000164	XP_002866883.1	El003G143330
OG0000164	XP_020874446.1	El003G166760, El003G166780
OG0000164	XP_020872234.1	El003G143310
OG0000164	XP_002886688.1, XP_020879009.1, XP_020879174.1, XP_002872307.1	El003G186050, El001G048320
OG0000164	XP_020872235.1	El003G143320
OG0000166	XP_020890626.1	El003G170640, El003G170650, El006G307980
OG0000167	XP_020872090.1	El003G166330
OG0000167	XP_020875194.1, XP_020875186.1	El003G182660, El003G182640
OG0000167	XP_002869981.2	El003G166350
OG0000167	XP_020872359.1	El003G186120
OG0000167	XP_020872593.1	El007G355560, El007G355650
OG0000169	XP_020865592.1	El004G226750
OG0000169	XP_020890617.1	El004G220680
OG0000169	XP_020890616.1	El004G226730
OG0000169	XP_020890605.1	El004G226720
OG0000169	XP_020865750.1	El006G309550
OG0000171	XP_020890687.1, XP_020870037.1	El004G222060, El002G108810
OG0000171	XP_002892585.1	El004G201030
OG0000171	XP_002871626.1	El001G066810
OG0000172	XP_020876585.1	El001G065760
OG0000172	XP_020889594.1, XP_020880950.1, XP_002876243.1	El001G024870, El001G024880
OG0000172	XP_020880319.1	El001G034720
OG0000172	XP_020880953.1, XP_020865702.1	El001G034730
OG0000172	XP_020880529.1	El001G030560
OG0000175	XP_002876081.1	El001G021550
OG0000175	XP_002887616.1	El004G228610
OG0000175	XP_020870471.1	El002G104420
OG0000175	XP_002869113.1	El003G147420
OG0000175	XP_020873047.1	El003G146230
OG0000176	XP_020869751.1	El002G116980, El002G116900, El002G117520
OG0000180	XP_020871771.1, XP_020886063.1	El007G325980
OG0000180	XP_020880445.1	El004G196870, El004G196830, El007G342850
OG0000183	XP_020887742.1	El004G227200
OG0000183	XP_020880631.1	El001G029540, El007G356510
OG0000183	XP_020887788.1	El002G109940, El003G170170, El006G283640
OG0000185	XP_020890721.1	El004G210290
OG0000185	XP_020890722.1	El004G197640
OG0000187	XP_002867283.1	El003G151220
OG0000187	XP_020888292.1	El005G246530
OG0000189	XP_020886346.1	El005G267970
OG0000189	XP_002866926.1	El003G144190, El001G061400, El001G061930
OG0000189	XP_020874945.1	El003G144180
OG0000190	XP_002874799.1	El001G005540
OG0000190	XP_002872696.1	El001G005520
OG0000190	XP_020877648.1	El001G005530
OG0000190	XP_020877653.1	El001G005500
OG0000190	XP_002872697.1	El001G005510
OG0000190	XP_002893865.1	El005G265350
OG0000191	XP_020865892.1	El005G254650
OG0000191	XP_020888360.1	El005G274440, El005G274460, El005G274720
OG0000192	XP_020869473.1	El002G105680
OG0000192	XP_020877970.1	El001G002000
OG0000192	XP_020869475.1	El002G105660
OG0000192	XP_002890432.1	El002G105610
