Orthogroup	Arabidopsis_lyrata_NCBI	Aethionema_saxatile
OG0000090	XP_002878309.1, XP_002867118.1, XP_002875194.1, XP_002883942.1, XP_002875195.1, XP_020867590.1	As012G273080
OG0000093	XP_020880586.1, XP_020880589.1, XP_020880584.1, XP_002878201.2, XP_020888995.1, XP_002883691.1, XP_002883689.2, XP_002883690.2	As012G284680, As012G284700, As012G284660
OG0000096	XP_020890791.1	As002G036580, As001G019400, As001G019410, As001G019450
OG0000096	XP_020884560.1	As004G087370, As004G087300, As004G087270
OG0000097	XP_002874842.1	As004G086430, As004G086420, As004G086450, As004G086440
OG0000098	XP_020884692.1, XP_020869968.1, XP_020867361.1, XP_020874215.1, XP_020867542.1, XP_002889921.2	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330
OG0000104	XP_020870266.1	As012G271240, As012G271230
OG0000104	XP_020870268.1	As012G271220
OG0000104	XP_020870269.1, XP_020870260.1, XP_020870264.1, XP_020870262.1	As012G271190, As012G271200
OG0000104	XP_020882903.1	As006G129190
OG0000106	XP_020889406.1, XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020886742.1, XP_002883180.1, XP_002884070.2, XP_020865803.1	As002G041170, As002G041390, As002G041440
OG0000107	XP_020887921.1	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220
OG0000107	XP_020887918.1, XP_020887923.1, XP_020888430.1, XP_020886789.1, XP_002870246.2	As011G252340
OG0000108	XP_002883835.2, XP_002874257.1, XP_020879189.1, XP_020876145.1, XP_002893476.1, XP_020869068.1, XP_020885549.1, XP_020889445.1, XP_020887764.1, XP_002883751.1, XP_002883752.1, XP_020865728.1	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000112	XP_002878578.1, XP_002884106.1, XP_002879068.2, XP_002864712.1, XP_020883490.1, XP_002863574.1, XP_002863573.2, XP_020878125.1, XP_002863571.1, XP_020877257.1, XP_020871973.1, XP_020871983.1, XP_020877545.1, XP_020886106.1	As011G262130, As011G262140, As009G217680, As009G217690
OG0000114	XP_020879464.1, XP_020879441.1, XP_020875295.1, XP_002863119.2, XP_020875315.1, XP_002873501.1, XP_020887020.1, XP_020883481.1, XP_020882189.1, XP_020870825.1, XP_002892003.1, XP_020866269.1, XP_020879760.1, XP_020865886.1, XP_020880962.1, XP_020874571.1, XP_020874573.1, XP_020874575.1, XP_020874585.1, XP_020874574.1	As006G137050, As006G137080
OG0000116	XP_020882165.1, XP_020881105.1, XP_020872551.1, XP_020877744.1	As011G261080, As012G277730, As011G256700, As005G108990, As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410
OG0000118	XP_002875482.1	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770
OG0000123	XP_002877382.2	As008G183730, As008G183740
OG0000123	XP_020873611.1	As008G183750
OG0000123	XP_020869616.1, XP_020867729.1	As008G183720
OG0000125	XP_020885803.1	As012G277440
OG0000125	XP_020887259.1, XP_002873061.1	As005G107620
OG0000125	XP_002874101.1	As005G113770
OG0000125	XP_002864658.2, XP_020872447.1	As005G114700, As010G224880
OG0000125	XP_002879182.1	As006G129500
OG0000127	XP_020869187.1, XP_020869185.1, XP_020869194.1, XP_020870924.1, XP_002862359.2, XP_020866032.1, XP_020869948.1	As008G186430, As008G186390, As008G185640
OG0000130	XP_020866739.1, XP_020889313.1	As005G110830
OG0000130	XP_020877517.1	As002G040800
OG0000133	XP_020877519.1	As004G090110, As010G227760, As002G038290, As007G165020
OG0000136	XP_020889890.1, XP_020889891.1, XP_020865653.1	As001G028730
OG0000138	XP_020882530.1, XP_002875524.1	As001G027950, As001G027940, As007G161530
OG0000140	XP_002864617.1	As005G115230
OG0000140	XP_002863036.1, XP_020869408.1, XP_020879394.1, XP_020870866.1, XP_020871535.1, XP_020869658.1, XP_002864615.1, XP_020874639.1, XP_002864614.1	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000146	XP_020872008.1, XP_020871354.1	As002G047180
OG0000146	XP_020870474.1, XP_002866092.1	As002G047190
OG0000147	XP_020888881.1	As011G265720
OG0000147	XP_020872380.1	As001G002190
OG0000147	XP_020870964.1	As002G049060
OG0000147	XP_020890865.1	As010G243490
OG0000147	XP_020882578.1	As010G227330
OG0000147	XP_020889051.1	As011G259420
OG0000149	XP_002875779.1	As010G224590
OG0000149	XP_020871263.1, XP_020871256.1, XP_020871259.1, XP_020885175.1, XP_020871260.1, XP_020871262.1, XP_002877482.1	As010G224610
OG0000150	XP_002875622.2, XP_020876007.1, XP_020881834.1, XP_020881748.1, XP_002878927.2, XP_020885607.1, XP_002878925.2, XP_020881724.1, XP_020881732.1	As010G225180, As010G225220, As010G225210
OG0000151	XP_002867477.1	As007G166070
OG0000151	XP_020888570.1	As006G141980, As006G133740
OG0000151	XP_020888018.1	As011G263600
OG0000151	XP_020891046.1	As002G047900
OG0000151	XP_020874812.1, XP_002887912.1	As001G030700
OG0000154	XP_020867554.1	As007G152520
OG0000154	XP_002884912.1	As009G210670
OG0000154	XP_002884737.1	As002G034300
OG0000154	XP_002873056.1	As005G107550
OG0000155	XP_020873274.1, XP_020881884.1, XP_020873335.1, XP_020873355.1, XP_002869890.1, XP_002886975.2, XP_020889997.1, XP_002867852.2	As003G059350
OG0000155	XP_020882926.1	As003G059230, As003G059200
OG0000156	XP_002878356.2	As012G287040, As012G287050
OG0000156	XP_002882020.2	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580
OG0000156	XP_020882337.1	As001G028010
OG0000161	XP_020871006.1, XP_002864761.1, XP_020867988.1, XP_020889363.1, XP_020884859.1, XP_020885823.1, XP_002879145.1, XP_020890883.1, XP_020890880.1	As001G013550, As001G029600, As001G029610
OG0000162	XP_020879924.1	As012G286460
OG0000162	XP_020881913.1	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570
OG0000162	XP_020884580.1, XP_020882964.1	As005G102210
OG0000164	XP_002869435.1	As011G264140, As011G262780
OG0000167	XP_020872090.1	As003G057890
OG0000171	XP_002892585.1	As007G159620, As001G020870
OG0000171	XP_002871626.1	As009G200410
OG0000175	XP_002876081.1	As010G220360
OG0000175	XP_020870471.1	As007G156270
OG0000175	XP_002869113.1	As011G263590
OG0000175	XP_020885855.1	As011G264780, As003G072250
OG0000187	XP_020872309.1, XP_020875226.1	As001G003940
OG0000187	XP_002867283.1	As001G003960
OG0000190	XP_002874799.1, XP_002872696.1, XP_020877648.1, XP_020877653.1, XP_002872697.1, XP_002893865.1	As004G085680
OG0000191	XP_002885155.2	As007G152760
OG0000192	XP_020869475.1	As007G157190
OG0000195	XP_002870564.1, XP_002888498.1	As001G028840
OG0000195	XP_020880310.1	As002G033300
OG0000200	XP_002877687.1, XP_020871709.1	As008G194290
OG0000203	XP_002884435.1, XP_002873533.1, XP_020879451.1, XP_020879478.1	As006G136770
OG0000207	XP_020890452.1, XP_020889768.1, XP_020890453.1, XP_002889207.2, XP_020891517.1, XP_020891568.1, XP_020891546.1, XP_020885070.1, XP_020891565.1, XP_020889907.1, XP_020874829.1, XP_020890466.1, XP_020867452.1	As003G061070
OG0000208	XP_020873005.1, XP_020872429.1, XP_020881315.1, XP_002862576.1	As003G075160
OG0000213	XP_020884044.1, XP_020884040.1, XP_020884041.1, XP_002878651.1, XP_020884047.1, XP_020883070.1	As002G038840
OG0000217	XP_020889719.1, XP_020891727.1, XP_002886692.2, XP_020868284.1	As001G019850
OG0000217	XP_020890332.1, XP_020872357.1, XP_020890282.1	As007G177020
OG0000218	XP_002892838.1, XP_020869981.1, XP_020869449.1, XP_020869542.1, XP_020882067.1, XP_002870338.1, XP_020881007.1, XP_002875203.1, XP_002875076.1	As001G022650
OG0000219	XP_002888551.1, XP_002888554.1, XP_002888553.1, XP_002887077.1, XP_020891385.1	As001G028500, As001G028480
OG0000219	XP_020877374.1, XP_002862247.1, XP_020871092.1	As003G064990
OG0000220	XP_020891314.1	As010G225590, As010G227890
OG0000221	XP_020866913.1	As002G040520
OG0000224	XP_020891652.1, XP_002887689.1	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000224	XP_002887975.1, XP_002887974.1	As001G031540
OG0000225	XP_020867501.1, XP_020867503.1, XP_020867504.1, XP_020867502.1	As003G069680, As003G070050
OG0000228	XP_002874413.1, XP_002872296.1	As007G159250
OG0000228	XP_020891767.1, XP_020872592.1, XP_002888798.1	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	XP_020873122.1	As004G077900
OG0000231	XP_020889985.1, XP_020872464.1, XP_020891116.1	As001G028220
OG0000232	XP_020886550.1, XP_020887062.1, XP_020888212.1, XP_020888528.1, XP_020888649.1, XP_020877841.1, XP_020886582.1, XP_020890178.1	As002G036540, As006G139020
OG0000233	XP_020884701.1	As005G111800
OG0000234	XP_002878017.1	As012G281460
OG0000234	XP_002878016.1, XP_002881649.1	As006G143800
OG0000234	XP_002871574.1	As009G210340
OG0000242	XP_002885958.1, XP_002885959.1, XP_020870862.1, XP_020866788.1, XP_002890039.2, XP_020869724.1	As008G183340, As008G183330
OG0000244	XP_020873759.1	As003G059930
OG0000244	XP_020876627.1	As004G085820
OG0000244	XP_002872712.1	As004G085870
OG0000244	XP_020873797.1, XP_002867824.2, XP_002867822.1, XP_002867821.1	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900
OG0000244	XP_020876628.1, XP_002872711.1	As004G085860, As004G085850
OG0000248	XP_020865893.1	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420
OG0000249	XP_020884151.1	As006G145310
OG0000249	XP_002881469.1	As006G145330, As008G193990, As006G145350, As006G145320
OG0000257	XP_002882670.1	As002G035710, As012G268510
OG0000258	XP_002866197.1	As002G048970
OG0000264	XP_002872741.1	As004G086270, As010G229170
OG0000268	XP_020879860.1	As001G023230
OG0000268	XP_020891047.1	As001G023220, As001G023200
OG0000268	XP_002870939.2	As005G106920
OG0000268	XP_002877959.1	As012G278370
OG0000271	XP_002870459.1	As002G034810, As005G108140
OG0000273	XP_002894125.1, XP_020866874.1	As012G273480
OG0000274	XP_002864649.1	As005G114920
OG0000274	XP_020884551.1	As010G224670, As010G224890
OG0000274	XP_020883555.1	As006G128840, As006G128830
OG0000276	XP_020877153.1	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920
OG0000277	XP_002870218.1, XP_002870219.1	As004G096710
OG0000277	XP_002870217.1	As004G096720
OG0000282	XP_002873316.1	As002G055220
OG0000283	XP_002865428.1, XP_020871984.1, XP_020873300.1, XP_002862761.2, XP_020888054.1	As006G125160, As006G125170, As006G125120, As006G125130
OG0000284	XP_020879188.1	As006G139300
OG0000284	XP_020871231.1	As006G139290
OG0000293	XP_020881894.1	As008G188650, As004G094780, As002G042500, As003G064050
OG0000293	XP_020876173.1, XP_020881921.1, XP_020884729.1	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280
OG0000294	XP_020889164.1	As011G249490
OG0000294	XP_002881476.1	As006G145420
OG0000294	XP_020877038.1	As006G122700
OG0000294	XP_020867795.1	As008G198060
OG0000297	XP_020875559.1	As008G198730
OG0000297	XP_002864686.1, XP_020889053.1	As005G114280
OG0000299	XP_020865762.1, XP_002862856.2	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800
OG0000299	XP_002894539.1, XP_020867812.1	As010G241860, As009G207860
OG0000299	XP_020867799.1	As012G267900
OG0000303	XP_020883764.1	As003G069740
OG0000308	XP_002870343.2, XP_020890260.1, XP_020873004.1, XP_020868339.1, XP_020865749.1	As010G240850, As010G240840, As010G240940, As010G240920
OG0000310	XP_020867728.1, XP_002866323.1	As005G115910, As001G004860, As001G003850, As005G113880
OG0000311	XP_020877332.1	As009G202530
OG0000311	XP_002891436.1	As012G273730
OG0000311	XP_020889182.1	As011G249880
OG0000311	XP_002870545.1	As004G077290
OG0000311	XP_020891044.1	As001G029000
OG0000314	XP_002892239.1	As008G195840
OG0000314	XP_002889523.1	As006G125760
OG0000314	XP_020884955.1	As006G125440
OG0000315	XP_020878657.1, XP_020882005.1	As006G137990, As006G137760
OG0000316	XP_020886529.1	As008G187440, As008G187910
OG0000319	XP_020870838.1, XP_002889674.1, XP_002864684.1, XP_020870839.1	As006G129730, As005G114310, As008G191530
OG0000321	XP_020875511.1, XP_002870549.2, XP_020873117.1, XP_020875512.1, XP_020875510.1, XP_002870533.1, XP_002870532.1	As001G010170
OG0000322	XP_002889191.1	As009G214030
OG0000322	XP_020885575.1, XP_020884760.1, XP_002874576.1, XP_002893940.1	As007G153590
OG0000323	XP_020866009.1	As002G045490
OG0000323	XP_020875469.1	As005G112480
OG0000327	XP_020870142.1	As008G195090, As008G195100, As011G263130
OG0000328	XP_002870302.1	As001G029880
OG0000329	XP_020884774.1	As007G180560
OG0000332	XP_002886753.1	As001G030000
OG0000332	XP_020877543.1, XP_020877291.1	As002G033230
OG0000332	XP_020866713.1	As011G251780, As012G272450
OG0000334	XP_002877942.1	As012G277630
OG0000334	XP_020882973.1, XP_002872839.1, XP_002872840.1, XP_020876136.1	As006G146780
OG0000339	XP_020873658.1	As003G061400
OG0000339	XP_002872953.1	As006G121550
OG0000339	XP_020885426.1, XP_020881574.1	As005G101130, As012G287430
OG0000340	XP_002888546.1, XP_002880050.1	As005G103820
OG0000340	XP_002880052.1	As005G103800, As005G103810
OG0000348	XP_020891714.1	As002G041810
OG0000348	XP_020889075.1	As002G040050
OG0000350	XP_020867532.1	As003G070220, As003G070200
OG0000351	XP_020886617.1	As009G207810, As011G246650
OG0000352	XP_002890193.1	As007G153380
OG0000358	XP_002892204.1, XP_002873407.1	As006G124930, As008G196330
OG0000358	XP_020868529.1, XP_002865409.1, XP_020877760.1, XP_002873405.1	As008G196390
OG0000359	XP_002879498.1	As012G275420
OG0000360	XP_020871494.1, XP_002865045.1, XP_020885507.1	As005G119730
OG0000363	XP_002886436.2	As009G209420
OG0000368	XP_002866955.2, XP_020874750.1	As003G073560, As003G073580
OG0000368	XP_002888509.2, XP_020865922.1, XP_020873168.1	As003G073600, As003G073590
OG0000370	XP_002890198.2, XP_020870155.1, XP_020873586.1, XP_020873585.1	As007G153440
OG0000371	XP_002890652.1, XP_002880288.1, XP_020870312.1, XP_020866052.1	As005G099710, As005G099720
OG0000372	XP_020873782.1, XP_002869578.2, XP_002869577.1, XP_020873778.1	As006G132540, As006G132550
OG0000377	XP_020890100.1	As001G021080
OG0000377	XP_020869788.1	As001G021090
OG0000378	XP_020888610.1, XP_020872589.1, XP_020888509.1	As003G067400
OG0000382	XP_002876677.1, XP_002889409.1, XP_002874941.1	As006G122900
OG0000382	XP_020867895.1	As008G188710
OG0000383	XP_020869499.1, XP_020868242.1, XP_002891138.1, XP_020885420.1	As003G069230
OG0000383	XP_020868885.1, XP_020868889.1	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380
OG0000384	XP_020870422.1, XP_020867734.1	As011G247740
OG0000386	XP_002875312.1, XP_002876953.1	As001G025230, As001G025220, As011G256850
OG0000386	XP_002876199.1, XP_020881893.1	As012G276900, As012G276880
OG0000390	XP_002872057.1	As001G012620
OG0000390	XP_002885786.1, XP_002885216.1	As011G251840
OG0000391	XP_002893219.1	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360
OG0000392	XP_002870866.1, XP_020874849.1, XP_020879684.1	As010G221200, As010G221190, As010G221180
OG0000396	XP_020881129.1	As001G026970
OG0000396	XP_020881240.1, XP_002877104.2, XP_020881239.1	As001G026990, As001G027000, As001G027010
OG0000398	XP_002894496.1	As012G268810
OG0000403	XP_020891776.1	As001G020780, As001G020790
OG0000404	XP_002879596.1, XP_020888327.1, XP_002876158.1	As012G276100
OG0000406	XP_002873801.1, XP_002873802.1, XP_002873803.1, XP_020875444.1, XP_020888940.1, XP_002884357.1	As006G136090
OG0000407	XP_020875769.1, XP_020879531.1, XP_020876591.1, XP_020869571.1, XP_020870905.1, XP_020879520.1	As009G201130, As009G201860
OG0000409	XP_020882951.1	As001G002920
OG0000410	XP_020890039.1, XP_020890057.1, XP_020890047.1, XP_020890048.1, XP_002886541.2, XP_020890049.1, XP_020890052.1, XP_020890044.1	As001G021670, As001G021680
OG0000411	XP_020891025.1	As001G022090
OG0000411	XP_002885799.1	As011G261620
OG0000411	XP_002874805.1	As004G085710
OG0000411	XP_002869850.1	As003G060010
OG0000412	XP_002864349.1	As002G046400
OG0000413	XP_020886129.1	As011G245460
OG0000413	XP_020873839.1, XP_002864463.1	As002G048240
OG0000413	XP_002894500.1	As012G268650
OG0000414	XP_002890663.1, XP_020868574.1, XP_020868575.1, XP_020868576.1, XP_002890659.1, XP_020874932.1	As003G058750, As003G058770, As003G058760
OG0000415	XP_020879290.1, XP_002874367.1, XP_002879993.1	As005G104640
OG0000416	XP_002881192.1, XP_002879346.1	As006G125710
OG0000416	XP_020870366.1, XP_020883517.1	As006G127220, As008G194210
OG0000417	XP_002883509.2, XP_002883512.2, XP_002883510.1, XP_002890118.2, XP_002872649.1, XP_020877197.1, XP_020877198.1, XP_002872466.1	As007G163710, As008G186410
OG0000420	XP_020882955.1, XP_002879861.1	As010G222670
OG0000420	XP_020887580.1	As001G015280
OG0000421	XP_002868745.2, XP_002868743.1, XP_002868798.2, XP_002868742.1, XP_002868738.1, XP_020872982.1	As004G078160, As004G078150
OG0000422	XP_020870169.1, XP_002889755.1, XP_020870459.1	As008G188280, As008G188290, As008G188300
OG0000423	XP_002888890.1	As010G241040
OG0000423	XP_002891805.1	As012G269020
OG0000429	XP_002874255.1	As009G215310
OG0000429	XP_002871465.1	As002G052030
OG0000429	XP_002869276.1, XP_002878859.1	As001G004910
OG0000430	XP_002884009.1	As011G263500
OG0000430	XP_020874612.1	As001G014590
OG0000430	XP_020885496.1	As007G181940
OG0000431	XP_002888218.1	As001G019780
OG0000431	XP_020870476.1, XP_002889784.1	As008G187750
OG0000432	XP_020879107.1	As002G044400
OG0000432	XP_002869603.1	As006G134280
OG0000432	XP_020871919.1, XP_020871160.1	As002G047750
OG0000433	XP_020890851.1	As003G075340
OG0000433	XP_002894690.1	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400
OG0000436	XP_020873821.1, XP_020871534.1, XP_002886024.1	As011G266430, As002G048360
OG0000437	XP_002891050.1	As003G062850
OG0000439	XP_002889581.1, XP_002889582.2	As008G194170
OG0000439	XP_002876506.1	As012G285510
OG0000439	XP_002881172.1	As006G127290
OG0000440	XP_002881428.1, XP_002873831.1, XP_002884376.1	As006G136440
OG0000441	XP_020889114.1	As011G248660
OG0000441	XP_020889199.1, XP_020889194.1	As011G248650
OG0000446	XP_002864799.1	As009G219000
OG0000446	XP_020879966.1	As001G023650
OG0000446	XP_020868927.1	As008G183010
OG0000447	XP_020887450.1	As011G247170
OG0000447	XP_002881315.1	As004G081330
OG0000447	XP_002893535.1	As003G069220
OG0000448	XP_002863380.1, XP_002863381.1, XP_002863382.1, XP_002863379.1	As004G089550
OG0000449	XP_020880864.1	As010G224860
OG0000449	XP_002864657.2	As005G114720
OG0000449	XP_020880865.1	As010G224870
OG0000449	XP_002864656.1	As005G114730
OG0000452	XP_020869179.1	As001G002300, As001G002310
OG0000453	XP_020873412.1	As008G192590
OG0000454	XP_020866651.1, XP_002864192.1, XP_020866670.1	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520
OG0000455	XP_002890466.1, XP_002893197.1, XP_002893191.1, XP_002893195.1, XP_002890468.1, XP_002888242.1, XP_020865974.1, XP_002894603.2, XP_002888243.1, XP_020865898.1, XP_002888239.1, XP_002879079.1, XP_002888244.1	As007G178440
OG0000459	XP_020872173.1, XP_020872034.1, XP_002869911.1	As003G058960
OG0000460	XP_020890146.1, XP_020890731.1, XP_020891235.1	As005G099100
OG0000461	XP_002892018.2	As008G199680
OG0000462	XP_002893854.1, XP_020882805.1, XP_020883067.1, XP_020875485.1, XP_002870840.1	As009G214710
OG0000463	XP_020879738.1, XP_002877508.1, XP_002877507.1, XP_002877506.1, XP_020880210.1, XP_002877501.1, XP_020881922.1, XP_020880212.1	As010G224360, As010G224370
OG0000466	XP_002871030.1, XP_002863170.1, XP_020865786.1	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670
OG0000468	XP_002877995.1	As012G280020
OG0000468	XP_002881246.1	As006G125920
OG0000468	XP_020884576.1	As006G144160
OG0000471	XP_002893547.1, XP_020869685.1	As003G069540, As003G069550
OG0000472	XP_020874381.1	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050
OG0000472	XP_002868665.1	As004G097020
OG0000473	XP_002876673.1, XP_020872236.1	As012G288330, As005G099530
OG0000474	XP_002877637.1, XP_020872123.1, XP_002880547.1	As009G216860, As011G261780, As010G222300
OG0000477	XP_002864574.1	As003G057970
OG0000477	XP_002871248.1, XP_002884052.1	As004G084280, As009G211280
OG0000481	XP_020890091.1	As001G021880
OG0000482	XP_002888576.1	As004G077750, As001G028390
OG0000483	XP_002864390.1	As002G047220
