Orthogroup	Arabidopsis_lyrata_NCBI	Noccaea_praecox
OG0000072	XP_020866785.1, XP_020884945.1, XP_020877184.1, XP_020882660.1, XP_020875736.1, XP_020882612.1, XP_020877271.1, XP_020890904.1, XP_020885842.1, XP_020888645.1, XP_020871279.1, XP_020881978.1, XP_020885342.1, XP_020865755.1, XP_002877246.2, XP_020872649.1	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330
OG0000072	XP_020882760.1	Np001G034150
OG0000074	XP_002893302.1	Np004G229890
OG0000074	XP_002893298.1	Np004G230030
OG0000074	XP_020882929.1, XP_020870137.1	Np003G180910, Np003G184200
OG0000075	XP_002871416.1	Np003G136640
OG0000075	XP_002889905.1, XP_002892766.1, XP_020869015.1, XP_020882023.1, XP_002880773.1, XP_020869549.1, XP_020867242.1	Np007G378600
OG0000076	XP_020881410.1, XP_020881406.1, XP_020881407.1	Np002G083960
OG0000076	XP_020882518.1, XP_020882260.1	Np001G021860
OG0000077	XP_002874784.1	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000077	XP_002891316.2, XP_002891313.1, XP_020875509.1	Np007G386290
OG0000077	XP_002868913.1	Np005G261710, Np006G360730
OG0000077	XP_002868917.2	Np005G261720
OG0000078	XP_002879052.1, XP_020866137.1, XP_002872380.1, XP_020876048.1, XP_002876861.2, XP_002886930.1, XP_002886934.1, XP_002865673.1, XP_002894139.1, XP_002886812.1, XP_002866863.2	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660
OG0000079	XP_020880521.1	Np001G064190
OG0000079	XP_020884444.1, XP_020880507.1	Np007G389360
OG0000079	XP_020880534.1	Np001G064140
OG0000080	XP_020877006.1, XP_020874913.1	Np006G334220
OG0000080	XP_020867733.1	Np006G321280, Np006G321720, Np003G146070, Np004G250430
OG0000080	XP_020879494.1, XP_020878246.1	Np003G179540, Np002G124540
OG0000080	XP_020891333.1	Np002G124500, Np002G124510
OG0000080	XP_020873461.1	Np005G278660
OG0000080	XP_020885088.1	Np005G318150, Np005G318140
OG0000080	XP_020874135.1	Np006G328080
OG0000081	XP_020888855.1	Np001G010770
OG0000081	XP_020878845.1	Np003G176780, Np003G176800, Np003G176750
OG0000081	XP_002871805.1, XP_002873867.1	Np003G145640
OG0000082	XP_020880759.1	Np001G045200
OG0000083	XP_020883055.1, XP_020882682.1, XP_020882656.1	Np007G418940
OG0000084	XP_002880755.1, XP_002880625.1	Np006G365030, Np006G365010, Np006G365440, Np006G366050
OG0000084	XP_020884025.1	Np006G365060, Np006G365040
OG0000084	XP_020884027.1	Np006G364950
OG0000087	XP_020879374.1	Np001G010980
OG0000087	XP_020883550.1	Np006G350150, Np008G428160
OG0000087	XP_020871804.1	Np005G287050
OG0000087	XP_002873559.1	Np003G139100
OG0000087	XP_002863588.1	Np001G039930
OG0000087	XP_020872103.1	Np005G287110
OG0000087	XP_020890671.1	Np002G077440
OG0000088	XP_002880903.1	Np001G038910, Np001G038970
OG0000088	XP_020878730.1	Np003G148700, Np003G148740
OG0000088	XP_002864053.1	Np001G052870
OG0000089	XP_020876820.1	Np003G136030
OG0000089	XP_002879966.1	Np006G329000
OG0000089	XP_020888275.1	Np007G409340
OG0000090	XP_002887052.2, XP_020885789.1, XP_002890373.1	Np004G235330
OG0000090	XP_020891141.1	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	XP_002867118.1	Np007G385680, Np001G065320, Np001G065030
OG0000090	XP_020867590.1	Np007G389920
OG0000093	XP_020880586.1	Np001G063230
OG0000093	XP_020880584.1	Np001G063180
OG0000093	XP_020888995.1, XP_002883691.1, XP_002883689.2, XP_002883690.2	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400
OG0000093	XP_020880616.1	Np005G317970
OG0000096	XP_020891276.1	Np002G112160
OG0000096	XP_020881188.1, XP_020881582.1, XP_020880678.1	Np001G024770
OG0000096	XP_002894680.1	Np002G112010, Np002G112580
OG0000096	XP_020884560.1	Np001G038620
OG0000096	XP_020891534.1	Np002G092700
OG0000097	XP_002874842.1	Np003G184990
OG0000097	XP_002874852.1	Np003G185010
OG0000097	XP_020876465.1	Np003G171600
OG0000097	XP_002874844.1, XP_020877173.1, XP_020876443.1, XP_002874669.1, XP_002862572.1	Np003G185030
OG0000098	XP_020891049.1, XP_020888466.1, XP_020891221.1	Np002G116580
OG0000099	XP_002886370.2	Np002G123560, Np004G228320
OG0000099	XP_002872472.2, XP_002886369.2	Np004G215640
OG0000099	XP_020890360.1, XP_020890361.1, XP_020890692.1	Np002G112400
OG0000101	XP_020891501.1	Np002G122800
OG0000101	XP_020890843.1	Np002G123360
OG0000101	XP_002886645.1	Np004G206440
OG0000101	XP_020890033.1, XP_020866259.1, XP_002886080.1, XP_020868270.1	Np002G123180
OG0000104	XP_020870885.1	Np004G251930
OG0000104	XP_020883008.1	Np006G360060
OG0000104	XP_020866497.1	Np004G195160
OG0000104	XP_020886058.1	Np007G381330
OG0000104	XP_020870262.1	Np004G195150
OG0000104	XP_020882903.1	Np006G360090
OG0000106	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020886742.1, XP_002883180.1, XP_002884070.2	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330
OG0000107	XP_002883228.1	Np007G398420
OG0000108	XP_002893476.1, XP_020869068.1, XP_020885549.1	Np001G011650, Np001G011550
OG0000108	XP_020887764.1, XP_002883751.1, XP_002883752.1	Np007G389900
OG0000108	XP_020865728.1	Np004G259470
OG0000109	XP_020866042.1	Np003G183100, Np004G217760
OG0000110	XP_020880525.1	Np001G064490
OG0000110	XP_020880511.1	Np001G064470
OG0000110	XP_020879608.1	Np001G064510
OG0000110	XP_020879609.1	Np001G064520
OG0000110	XP_002870336.2, XP_020880503.1	Np001G064450
OG0000111	XP_020871248.1, XP_020872039.1, XP_020873181.1, XP_020875462.1	Np005G311780, Np005G313710, Np005G313720, Np005G313730
OG0000111	XP_020883459.1, XP_020871481.1	Np001G006030
OG0000111	XP_020880888.1	Np001G058370
OG0000112	XP_020868841.1, XP_020882864.1, XP_002878578.1, XP_002884106.1, XP_002879068.2, XP_002864712.1, XP_020883490.1, XP_002863574.1, XP_002863573.2, XP_020878125.1, XP_002863571.1, XP_020877257.1, XP_020871973.1, XP_020871983.1, XP_020877545.1, XP_020886106.1, XP_002864096.1	Np003G184320
OG0000116	XP_020882165.1, XP_020881105.1, XP_020872551.1, XP_020877744.1	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260
OG0000118	XP_002875482.1	Np005G315460
OG0000118	XP_002876201.1, XP_020865753.1	Np001G044480, Np005G313880
OG0000119	XP_020866195.1, XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1	Np002G102980
OG0000120	XP_002888121.2, XP_002886576.1	Np002G117060, Np002G116940
OG0000120	XP_020871775.1, XP_020872669.1, XP_020877424.1, XP_020890208.1, XP_020877244.1, XP_020881008.1, XP_020890264.1	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280
OG0000120	XP_020879779.1, XP_020879307.1, XP_020891752.1, XP_020880012.1	Np003G129250
OG0000122	XP_020865748.1	Np003G157840
OG0000122	XP_002864448.2	Np001G056320
OG0000122	XP_020879776.1	Np003G158000
OG0000123	XP_002877382.2	Np004G243210
OG0000123	XP_020873611.1	Np005G279480
OG0000124	XP_002878891.2	Np006G348530
OG0000125	XP_020885803.1	Np006G337140
OG0000125	XP_020887259.1, XP_002873061.1	Np003G126800
OG0000125	XP_002874101.1	Np003G151060
OG0000125	XP_020880863.1, XP_002864658.2, XP_020872447.1	Np003G152340
OG0000125	XP_002879182.1	Np006G359820
OG0000127	XP_002873028.1	Np003G125840
OG0000127	XP_020888516.1	Np007G413700
OG0000127	XP_020875867.1	Np007G413710
OG0000127	XP_020869185.1, XP_020869194.1, XP_020870924.1, XP_002862359.2	Np002G096200
OG0000130	XP_020889706.1, XP_020875326.1, XP_020875381.1, XP_020875419.1, XP_020875395.1, XP_020875390.1, XP_020885392.1, XP_020875372.1, XP_020878841.1, XP_020875346.1, XP_020875426.1, XP_020886307.1, XP_020891702.1	Np006G346500, Np002G110200, Np005G295250
OG0000131	XP_020885335.1	Np002G101800
OG0000131	XP_020871628.1, XP_020878269.1, XP_020886207.1	Np003G174400
OG0000132	XP_020871442.1, XP_020883597.1	Np002G112470
OG0000133	XP_020877519.1	Np005G308080, Np003G130350, Np003G153160
OG0000135	XP_020866176.1, XP_020874182.1	Np003G164400, Np004G199120, Np004G190020, Np006G371220
OG0000136	XP_020889890.1, XP_020889891.1, XP_020865653.1	Np002G086710
OG0000136	XP_002868825.1	Np005G312640
OG0000137	XP_020875630.1	Np005G318010
OG0000138	XP_020882530.1, XP_002875524.1	Np002G085240, Np002G085270, Np002G085250
OG0000139	XP_020875554.1	Np003G167980, Np006G368820, Np004G213800, Np003G179380, Np005G308690
OG0000140	XP_002864617.1	Np003G153340
OG0000140	XP_002863036.1, XP_020869408.1	Np003G153440
OG0000140	XP_020879394.1, XP_020870866.1, XP_020871535.1	Np003G153920
OG0000140	XP_020869658.1	Np003G153420
OG0000140	XP_020874639.1, XP_002864614.1	Np003G153430, Np007G424390, Np003G153390
OG0000142	XP_020885473.1, XP_020885474.1	Np006G360490
OG0000146	XP_002866093.1	Np003G160040
OG0000146	XP_020872008.1	Np003G160230
OG0000146	XP_020870474.1	Np003G160060, Np003G160140, Np003G160190
OG0000146	XP_002866092.1	Np003G160200
OG0000146	XP_020881819.1	Np003G159660
OG0000147	XP_020888881.1	Np007G373950
OG0000147	XP_020872380.1	Np005G273990
OG0000147	XP_020870964.1	Np003G156060
OG0000147	XP_020890865.1	Np002G071170
OG0000147	XP_020882578.1	Np001G043050
OG0000147	XP_020889051.1	Np007G389960
OG0000149	XP_002875779.1	Np001G046040
OG0000149	XP_002875778.1	Np001G046110
OG0000149	XP_020871263.1	Np003G152730
OG0000149	XP_020871256.1	Np003G152700
OG0000149	XP_020871259.1	Np003G152680
OG0000149	XP_002877482.1	Np001G046030
OG0000150	XP_020886449.1	Np003G156160, Np003G156150, Np003G183630
OG0000150	XP_020876007.1	Np001G049320
OG0000151	XP_002865968.1	Np003G164170
OG0000151	XP_002867477.1	Np005G277020
OG0000151	XP_020888018.1	Np007G376880
OG0000151	XP_020891046.1	Np003G158280
OG0000151	XP_002887912.1	Np002G123910
OG0000154	XP_002891955.2	Np002G086500
OG0000154	XP_020867554.1	Np004G240190
OG0000154	XP_002884912.1	Np007G408850
OG0000154	XP_002884737.1	Np007G413420
OG0000154	XP_002873056.1	Np003G126710
OG0000154	XP_002873055.1	Np003G126700, Np003G127150, Np002G112020
OG0000155	XP_020873274.1	Np004G218540
OG0000155	XP_002867852.2	Np005G287960
OG0000155	XP_020888268.1	Np007G409550
OG0000155	XP_020876400.1	Np005G287400, Np007G412670
OG0000156	XP_002878356.2	Np001G066790
OG0000157	XP_020887711.1	Np007G422190, Np007G422180
OG0000157	XP_020888665.1	Np006G338300
OG0000157	XP_002888470.1, XP_020891300.1, XP_020877537.1	Np002G078620
OG0000158	XP_020873567.1, XP_020873647.1, XP_002869930.1	Np005G286690, Np005G286640, Np003G129260
OG0000158	XP_020872404.1	Np001G070050
OG0000158	XP_020883421.1	Np001G048650, Np001G049230, Np001G050690, Np005G295650
OG0000158	XP_002879471.2	Np002G081170
OG0000161	XP_020889363.1, XP_020884859.1, XP_020885823.1, XP_002879145.1	Np001G008600
OG0000161	XP_020890883.1	Np005G311810
OG0000161	XP_020890882.1	Np002G086610
OG0000162	XP_020884667.1	Np006G363910
OG0000162	XP_020891301.1	Np002G116280
OG0000162	XP_020884580.1	Np006G324990
OG0000164	XP_002869435.1	Np005G275210
OG0000164	XP_002886688.1, XP_020879009.1, XP_020879174.1, XP_002872307.1	Np004G198520
OG0000166	XP_020890626.1	Np003G159070
OG0000167	XP_020872090.1	Np005G289610
OG0000167	XP_020872595.1, XP_020872600.1, XP_020872360.1	Np004G243920, Np002G111260
OG0000167	XP_002869981.2	Np004G202230
OG0000167	XP_020872359.1	Np005G289670
OG0000169	XP_020890783.1	Np002G113130
OG0000171	XP_002892585.1	Np002G116080, Np004G248080
OG0000171	XP_002871626.1	Np003G141590
OG0000172	XP_020880319.1	Np001G064170
OG0000172	XP_020880563.1	Np001G064130
OG0000175	XP_002887616.1	Np002G077280
OG0000175	XP_020870471.1	Np004G235400
OG0000175	XP_002869113.1	Np007G376890
OG0000175	XP_020873047.1	Np005G267520
OG0000176	XP_020866682.1	Np005G310450, Np005G310750, Np005G310470
OG0000180	XP_020887402.1	Np005G291290, Np005G292670, Np005G292680, Np005G291280
OG0000180	XP_020880445.1	Np006G370740, Np006G370680
OG0000185	XP_020883678.1	Np001G050930, Np001G052490
OG0000186	XP_020888446.1	Np004G215560, Np002G108280
OG0000186	XP_020872581.1	Np007G388260
OG0000186	XP_020885553.1	Np006G361310
OG0000186	XP_020866698.1, XP_020866699.1, XP_020889780.1	Np005G292910, Np001G026290
OG0000186	XP_020871399.1, XP_020882685.1	Np002G117100
OG0000186	XP_020871413.1	Np004G219150
OG0000187	XP_020875226.1	Np005G271520
OG0000187	XP_002867283.1	Np005G271420
OG0000189	XP_002868934.1	Np005G262130
OG0000189	XP_002866926.1, XP_020872385.1, XP_020874945.1	Np001G019990
OG0000190	XP_002872696.1	Np003G183500
OG0000190	XP_020877648.1	Np003G183510
OG0000190	XP_002872697.1	Np003G183410, Np003G183480
OG0000191	XP_020867288.1, XP_002892679.1	Np007G388820, Np003G178870
OG0000191	XP_002885155.2	Np007G391150, Np007G391080
OG0000192	XP_020877970.1, XP_020869475.1	Np002G086820, Np007G389770, Np002G076020
OG0000193	XP_020889511.1	Np007G384080, Np007G384380, Np007G387690
OG0000193	XP_020886753.1	Np007G380880
OG0000193	XP_020888465.1, XP_020886358.1	Np007G381040, Np007G381000
OG0000195	XP_002879035.1	Np006G361540
OG0000195	XP_002870564.1, XP_002888498.1	Np005G312480
OG0000196	XP_020870365.1, XP_020870362.1	Np004G214150, Np004G214340, Np003G165450
OG0000196	XP_020870343.1	Np004G254380
OG0000196	XP_020867608.1	Np004G212030
OG0000196	XP_020870363.1	Np003G165460
OG0000196	XP_020870342.1	Np004G254390
OG0000197	XP_020887839.1	Np002G087170
OG0000197	XP_020873037.1, XP_020875518.1, XP_020874171.1	Np003G167690
OG0000200	XP_020869614.1	Np004G217530
OG0000200	XP_002877687.1, XP_020871709.1	Np004G254580
OG0000201	XP_002885573.2	Np007G379560
OG0000203	XP_020874302.1	Np007G420270
OG0000203	XP_020888830.1	Np007G420280, Np004G195540
OG0000203	XP_002884435.1	Np007G420850
OG0000204	XP_020881383.1	Np005G302460, Np006G366470
OG0000204	XP_002885438.2	Np007G381450
OG0000205	XP_002877168.1, XP_020883925.1, XP_020887101.1, XP_002876846.1, XP_002876844.2, XP_020879732.1, XP_002876845.1, XP_002876847.2, XP_020888594.1, XP_002894039.2	Np004G252280
OG0000205	XP_020868436.1, XP_002894040.2	Np001G056450, Np004G200620, Np004G227010
OG0000205	XP_020883080.1	Np004G227020, Np004G200770
OG0000207	XP_020889768.1	Np002G073040
OG0000207	XP_020890466.1	Np002G073080
OG0000207	XP_020867452.1	Np002G073110, Np002G073100
OG0000209	XP_020890821.1	Np002G123950
OG0000209	XP_020890819.1, XP_020890820.1	Np002G123960, Np002G123970
OG0000209	XP_020866701.1	Np002G124020
OG0000209	XP_020874287.1, XP_020874916.1, XP_020874288.1, XP_020874285.1	Np002G123940, Np002G091400
OG0000210	XP_020881030.1	Np001G024460
OG0000210	XP_002879439.1, XP_002879438.1	Np006G357820
OG0000213	XP_020887377.1	Np005G312500
OG0000213	XP_020884044.1	Np006G368000
OG0000214	XP_020891504.1	Np007G375860
OG0000214	XP_020879031.1, XP_020876166.1, XP_020876211.1, XP_020889753.1, XP_020877177.1, XP_020876186.1, XP_020877218.1	Np003G186320, Np003G186260
OG0000216	XP_020872571.1	Np005G286040, Np005G286010, Np005G285980, Np005G286120, Np005G286080
OG0000216	XP_002869836.1	Np004G202700, Np005G274080, Np005G314870
OG0000216	XP_020873572.1, XP_020873565.1	Np006G361190
OG0000218	XP_002892838.1, XP_020869981.1	Np004G241490
OG0000218	XP_020869449.1	Np004G241460
OG0000218	XP_020869542.1	Np006G363350, Np003G174250
OG0000218	XP_020882067.1	Np005G283350
OG0000218	XP_002870338.1	Np001G027320
OG0000218	XP_020881007.1, XP_002875203.1, XP_002875076.1	Np001G027310
OG0000219	XP_020877374.1, XP_002862247.1, XP_020871092.1	Np003G187720, Np001G006210, Np001G006190, Np001G008170
OG0000219	XP_002864257.1, XP_002864258.1	Np001G006200, Np001G008160, Np001G006180
OG0000220	XP_020881811.1, XP_020882021.1	Np003G158780
OG0000224	XP_002887975.1, XP_002887974.1	Np002G121630, Np002G121680, Np002G121650, Np002G121690
OG0000225	XP_020867501.1, XP_020867503.1, XP_020867504.1	Np004G212520
OG0000225	XP_020867502.1	Np004G212510
OG0000226	XP_002876919.1, XP_020869863.1	Np001G068820, Np001G002660, Np001G003000
OG0000226	XP_020886010.1, XP_020871016.1, XP_020867770.1, XP_020866285.1, XP_002890779.1, XP_002886961.1	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340
OG0000228	XP_002874413.1, XP_002872296.1	Np004G230940
OG0000228	XP_020891767.1, XP_020872592.1, XP_002888798.1	Np002G084530
OG0000229	XP_020874322.1, XP_020874320.1, XP_020877798.1, XP_002871796.1, XP_020874321.1	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980
OG0000229	XP_002891717.1	Np007G377500, Np007G377590, Np006G330770
OG0000230	XP_002891933.1	Np002G077370
OG0000230	XP_020891373.1	Np002G077290
OG0000231	XP_020873122.1	Np003G174440
OG0000231	XP_020889985.1, XP_020872464.1, XP_020891116.1	Np004G203320
OG0000232	XP_020886550.1, XP_020887062.1, XP_020888212.1, XP_020888528.1, XP_020888649.1, XP_020877841.1, XP_020886582.1	Np006G352410, Np006G352420
OG0000234	XP_002878017.1	Np001G058680
OG0000234	XP_002878016.1	Np001G058670
