Orthogroup	Arabidopsis_lyrata_NCBI	Cochlearia_excelsa
OG0000005	XP_020876055.1, XP_020877155.1	g39986, g32058, g10580, g19664, g10935, g10931, g5873, g19587, g30922, g43567, g53629, g36068, g22668, g39670, g49313, g181, g25460, g44061, g30358, g31394, g54192, g43888, g3832, g32288, g54233, g4, g38135, g43677, g53580, g9848, g44251, g50155, g5748, g1727, g10943, g48006, g23664, g22013
OG0000006	XP_020871008.1	g41913, g42739
OG0000006	XP_020882643.1	g43721
OG0000007	XP_020885936.1	g25323, g24433, g4497, g26082, g34709, g48927
OG0000007	XP_020869115.1, XP_020890704.1	g4482, g23875
OG0000008	XP_020867861.1, XP_020876690.1	g25873
OG0000008	XP_020881833.1	g27995
OG0000008	XP_020881700.1	g11343
OG0000008	XP_020879836.1	g33123
OG0000010	XP_020871369.1	g43027, g35985
OG0000010	XP_020871367.1	g45670, g48960
OG0000012	XP_020866256.1	g21395
OG0000012	XP_020875418.1, XP_020880599.1, XP_020888103.1	g15121
OG0000012	XP_020871750.1, XP_020872198.1	g15663, g32788
OG0000012	XP_020881433.1	g34876
OG0000012	XP_020875036.1	g42217
OG0000012	XP_020871051.1	g52731
OG0000014	XP_020874556.1	g48940, g28379, g22864, g14683, g17906, g30722, g53391, g16697, g10634, g1970, g40835, g10249, g44050, g4521, g17734, g32003, g4816, g28378, g1568, g51668, g10565, g27276, g40834, g40838, g10566, g53860
OG0000015	XP_020883676.1	g53814, g16594, g16764, g14880, g952, g32985, g12170, g24863
OG0000015	XP_020890755.1, XP_020889910.1	g35813, g36776, g26230, g26256, g43592, g5557
OG0000015	XP_020865814.1	g5447, g48096, g4042, g4014, g30179, g21912, g14948, g35471, g12283, g14756, g26107, g39164, g1865, g12584, g7633, g26669, g17276, g2986
OG0000015	XP_020870556.1	g27728, g36346, g32986, g8573
OG0000017	XP_020879892.1, XP_020879506.1, XP_020887777.1	g5712, g5713
OG0000017	XP_020876951.1	g41997, g33121, g3359, g6214
OG0000017	XP_020877054.1, XP_020869021.1	g44074, g47797, g33120, g7898, g14750, g3057, g43352, g14036, g15607, g52007, g51052, g52970, g32655, g4343, g43479, g2953, g50650, g41998, g23595, g2979
OG0000018	XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069
OG0000018	XP_020874896.1, XP_020872412.1, XP_020871964.1, XP_020874134.1, XP_020879723.1	g14567, g33125, g25750
OG0000019	XP_020876758.1, XP_020881514.1, XP_020889800.1	g36529, g42561, g14492, g51080, g41576
OG0000019	XP_020869090.1, XP_020878589.1	g16592, g1020, g46208, g40680, g40322, g46628, g9756
OG0000019	XP_020873638.1	g48
OG0000019	XP_020877201.1, XP_020872379.1, XP_020879405.1, XP_020871455.1	g11917, g53760, g9705, g35966, g50936, g40612, g52670, g3241, g43706
OG0000019	XP_020866193.1, XP_020870462.1	g18942, g2713
OG0000019	XP_020875471.1, XP_020876980.1, XP_002888416.2	g2720, g19256
OG0000019	XP_020890706.1, XP_020866192.1, XP_020877161.1, XP_020877831.1, XP_020890951.1, XP_020877753.1, XP_020890688.1, XP_020885569.1, XP_020869856.1	g2721, g18071, g42559
OG0000021	XP_020881895.1	g14063
OG0000021	XP_020889841.1	g45682, g1448
OG0000023	XP_020873367.1	g47441
OG0000023	XP_020873341.1	g23897
OG0000023	XP_002872595.1	g25717, g25713
OG0000023	XP_002872592.1	g25723
OG0000023	XP_020867640.1	g40374
OG0000023	XP_002867727.1	g23907, g24643
OG0000023	XP_020877175.1	g48949
OG0000024	XP_020874131.1	g45320, g32515
OG0000026	XP_020872549.1, XP_020881073.1, XP_020879655.1	g51053, g47798, g4344, g43478, g23597, g14579, g3360, g43692, g7899, g2954, g49586, g31803, g4274, g32656, g11709, g44075, g3058, g46225, g1554, g17019, g6169, g23909, g34283, g6803, g35674, g46329, g52008, g14035, g43351, g35266, g9915, g25002, g31760, g21114, g4157, g14556, g51014, g34854, g39311, g31342, g29188, g6804, g35673, g23908, g6168, g46330, g19145, g15615, g14034, g4585, g1553, g34282, g43477, g2977, g7900, g49409, g28254, g23598, g14578, g6312, g46948, g36898, g25431, g17280, g25191, g41992, g4231, g43283, g2973, g33119, g33391
OG0000027	XP_020866667.1	g43469
OG0000027	XP_002893654.2	g28294
OG0000027	XP_002875716.2, XP_020879759.1, XP_020881113.1, XP_020879758.1	g2269
OG0000029	XP_020889577.1	g28453, g13421, g8998, g26310, g29945, g30548, g38806, g8608, g9084, g30701, g9122, g48831, g29967, g8634, g30668, g16178, g36823, g26225, g26222, g43704, g4265, g4261, g27334, g29817, g13419, g27333
OG0000030	XP_020883969.1, XP_020886744.1, XP_020884781.1	g14858
OG0000030	XP_020872945.1	g8825, g44522, g52187, g7355
OG0000031	XP_020891718.1, XP_020891198.1, XP_020865792.1, XP_020889844.1, XP_002886462.1	g40889
OG0000031	XP_002886463.2, XP_020865982.1, XP_020865991.1, XP_020890510.1, XP_020865986.1	g40881, g40949, g40859, g40857, g40951, g6403, g40794
OG0000031	XP_020878202.1	g5030
OG0000031	XP_002883021.2	g13269
OG0000031	XP_020873422.1	g17118
OG0000031	XP_020890773.1	g40888
OG0000031	XP_020890021.1	g40752
OG0000032	XP_020883415.1	g3147, g20823
OG0000033	XP_002869784.2	g23911
OG0000033	XP_002867849.1	g24014
OG0000033	XP_020872543.1	g23905
OG0000033	XP_020873356.1	g23912
OG0000033	XP_002874837.2	g40468
OG0000034	XP_020873801.1	g53562
OG0000034	XP_020888683.1, XP_020872992.1	g44911, g15119
OG0000034	XP_020885105.1, XP_020886112.1, XP_020882566.1, XP_020882254.1, XP_020866182.1, XP_020889362.1, XP_020882345.1, XP_020871070.1, XP_020888104.1, XP_020879246.1	g15118, g44910
OG0000034	XP_020874940.1, XP_020874002.1, XP_020871360.1, XP_020866150.1, XP_020883547.1	g42218, g42234
OG0000034	XP_020879181.1, XP_020871751.1, XP_020880608.1, XP_020885775.1, XP_020881477.1, XP_020875416.1, XP_020870606.1, XP_020872315.1, XP_020876122.1, XP_020884761.1, XP_020873738.1, XP_020889950.1, XP_020879983.1	g15664, g3441, g9297
OG0000034	XP_020872318.1, XP_020872991.1, XP_020875735.1, XP_020877498.1, XP_020872630.1, XP_020885869.1	g15120
OG0000035	XP_002886496.1, XP_002886498.2	g29294, g52064, g52069, g52073
OG0000036	XP_020868066.1	g3196
OG0000036	XP_020877514.1	g49100
OG0000037	XP_020866728.1	g25569, g43400, g53061, g34996, g53063
OG0000037	XP_020870708.1	g50424, g6550, g19935, g2521, g10538, g19299, g16644, g54168
OG0000038	XP_020880739.1	g24239
OG0000038	XP_020871436.1, XP_020881621.1	g1070
OG0000038	XP_020875162.1	g52037
OG0000038	XP_020887603.1	g44982, g44984, g44985
OG0000040	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1	g38367, g38376, g38372, g38380
OG0000040	XP_020869589.1, XP_020885911.1	g44631
OG0000040	XP_020889857.1	g13193, g13194
OG0000040	XP_020879678.1, XP_020881930.1, XP_020880910.1	g13797, g13799
OG0000042	XP_020888726.1	g17325, g27760, g45782, g45600, g35119, g54029, g40051, g49152, g3973, g3980
OG0000042	XP_020872994.1, XP_020882425.1	g22786, g41711, g1466, g28310, g17388, g32821
OG0000044	XP_020885942.1	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446, g3382, g2931
OG0000045	XP_020890956.1, XP_020882438.1	g7244, g39351, g17718, g41293
OG0000046	XP_020872918.1, XP_020872917.1	g46717
OG0000046	XP_020872272.1, XP_020874589.1	g18113
OG0000046	XP_020865720.1	g46719
OG0000046	XP_020865819.1, XP_020865823.1	g18042
OG0000047	XP_020891542.1	g25473, g27561, g41540, g28657, g32593, g13831, g36935, g2942, g14554, g51362
OG0000047	XP_020878809.1	g37081, g690, g27871
OG0000047	XP_020879634.1	g33349, g4664
OG0000047	XP_020886169.1	g12885, g12881
OG0000047	XP_020865924.1	g3851
OG0000047	XP_020874420.1	g49160, g47659, g43703, g25474, g28245, g53765, g45296
OG0000048	XP_020877807.1, XP_020877805.1	g4946, g4940, g29028, g29029
OG0000049	XP_020876966.1	g6205
OG0000052	XP_020883307.1	g37450
OG0000052	XP_020883308.1, XP_020883310.1, XP_002881853.1	g53934
OG0000057	XP_020876181.1, XP_020883674.1	g50182, g50184, g50186
OG0000057	XP_020886503.1, XP_020887842.1	g48153, g33319, g33329, g48170, g15766, g33340
OG0000057	XP_020889148.1	g700
OG0000057	XP_002885221.2	g15973, g17828
OG0000057	XP_020889173.1	g27361, g5648
OG0000058	XP_020880718.1, XP_002879393.2	g19665
OG0000062	XP_020866308.1, XP_020879729.1	g32823, g13726, g11246, g41835
OG0000065	XP_020877132.1	g12628
OG0000066	XP_020876760.1, XP_020875249.1, XP_020875248.1, XP_020891414.1, XP_020886001.1, XP_020877536.1, XP_020891413.1	g5393
OG0000066	XP_002877046.2, XP_002873454.1, XP_020876762.1, XP_020867896.1, XP_002894648.1	g156
OG0000072	XP_020866785.1	g33477, g30198
OG0000073	XP_020880043.1, XP_020886914.1	g10944
OG0000073	XP_020880050.1	g18482
OG0000073	XP_020879725.1	g54289
OG0000074	XP_020866886.1	g27549, g27550
OG0000075	XP_020869549.1	g36278
OG0000075	XP_020868187.1	g2157
OG0000076	XP_020881410.1, XP_020881406.1, XP_020881407.1	g3195, g1602
OG0000076	XP_020882208.1	g44053
OG0000076	XP_020880077.1	g2410
OG0000077	XP_002868917.2	g25975, g22716
OG0000079	XP_020880546.1, XP_020880539.1	g18915
OG0000080	XP_020867733.1	g41322
OG0000080	XP_020873461.1	g23667
OG0000080	XP_020874135.1	g23668
OG0000081	XP_020877791.1	g6399
OG0000081	XP_020878845.1	g13268
OG0000082	XP_020883385.1, XP_020881708.1	g20916, g29940, g2519
OG0000082	XP_020869010.1	g54167, g10536, g16647
OG0000082	XP_020875863.1, XP_020875624.1, XP_020887797.1	g33413, g33414, g25297, g33412, g33411
OG0000082	XP_020880759.1	g36211, g54030
OG0000083	XP_020886763.1, XP_020874486.1, XP_020887115.1, XP_020886765.1, XP_020886764.1, XP_020886770.1, XP_002883392.2	g46885
OG0000083	XP_020866346.1	g7705
OG0000084	XP_020885162.1, XP_002880565.1, XP_020884335.1	g51024
OG0000085	XP_020876468.1	g41377, g32262, g25866
OG0000087	XP_020879374.1	g9991
OG0000087	XP_020871804.1	g9845, g2817, g339
OG0000087	XP_002873559.1	g5316
OG0000087	XP_002863588.1	g40485, g11055
OG0000087	XP_020872103.1	g17371, g24042
OG0000087	XP_020866480.1, XP_020890671.1	g46232
OG0000088	XP_020881827.1	g11453
OG0000088	XP_002880903.1	g19510, g40516, g11030
OG0000088	XP_002875847.2	g46886
OG0000088	XP_020878730.1	g28933, g28934
OG0000089	XP_020876820.1	g5448, g29544, g45521
OG0000089	XP_020867828.1, XP_002883150.1	g13323, g11989
OG0000089	XP_002879968.1	g52029
OG0000089	XP_020880453.1, XP_002879684.1, XP_020883890.1	g2333
OG0000090	XP_002887052.2, XP_020885789.1, XP_002890373.1	g50123
OG0000090	XP_020891141.1	g46242
OG0000090	XP_002878309.1, XP_002867118.1, XP_002875194.1, XP_002883942.1, XP_002875195.1, XP_020867590.1	g10675
OG0000091	XP_020887529.1, XP_002870603.1, XP_020880876.1	g3977
OG0000093	XP_020880586.1	g2360
OG0000093	XP_002878203.1, XP_020880570.1	g18958
OG0000096	XP_020890791.1, XP_020891276.1, XP_020881188.1, XP_020881582.1, XP_020880678.1	g1538, g1535
OG0000096	XP_020884560.1	g18473
OG0000096	XP_002863849.1, XP_020890121.1	g44008, g44009, g44007
OG0000097	XP_002874842.1	g45186, g45201
OG0000097	XP_020876795.1	g45182
OG0000097	XP_020876465.1, XP_002874844.1, XP_020877173.1, XP_020876443.1, XP_002874669.1, XP_002862572.1	g40477, g40479, g40476, g40480, g1561
OG0000098	XP_020884692.1	g49817
OG0000099	XP_020890360.1, XP_020890361.1, XP_020890692.1	g46874, g4737
OG0000101	XP_020891501.1	g13563
OG0000101	XP_020891283.1	g40795
OG0000104	XP_020870885.1	g31072
OG0000104	XP_020883008.1	g51118
OG0000104	XP_020886058.1	g6675
OG0000104	XP_020870266.1	g54236
OG0000104	XP_020870262.1	g54244, g54237, g54238
OG0000105	XP_020866184.1	g43456
OG0000106	XP_020888942.1	g49764
OG0000106	XP_020871755.1, XP_020884689.1, XP_002885709.2, XP_002885705.1, XP_020888916.1, XP_002885707.1, XP_020866895.1	g6393
OG0000107	XP_002883228.1	g11936
OG0000107	XP_020887921.1	g6757
OG0000108	XP_020889445.1	g11756
OG0000110	XP_020880525.1	g2009
OG0000110	XP_002870336.2	g50627
OG0000112	XP_002864096.1	g1342
OG0000113	XP_020886025.1, XP_020870827.1, XP_020868736.1	g11211
OG0000114	XP_020882189.1	g4924
OG0000114	XP_020870825.1, XP_002892003.1, XP_020866269.1, XP_020879760.1, XP_020865886.1, XP_020880962.1, XP_020874571.1, XP_020874573.1, XP_020874575.1, XP_020874585.1, XP_020874574.1	g18420
OG0000117	XP_020886073.1	g45402, g46692, g6971, g3396, g51983, g16507
OG0000117	XP_020886029.1, XP_020876858.1	g25746
OG0000118	XP_002877840.1	g37032, g50081
OG0000118	XP_002875482.1	g14347, g14348, g14394, g45220, g45247
OG0000118	XP_002876201.1	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578
OG0000119	XP_020866195.1, XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1	g50178
OG0000120	XP_002888121.2, XP_002886576.1	g40996
OG0000120	XP_020871775.1, XP_020872669.1, XP_020877424.1, XP_020890208.1, XP_020877244.1, XP_020881008.1, XP_020890264.1	g6424
OG0000120	XP_020879779.1, XP_020879307.1, XP_020891752.1, XP_020880012.1	g32414, g29781
OG0000122	XP_020879776.1	g1066
OG0000123	XP_020890702.1	g44233
OG0000123	XP_020873611.1	g17137
OG0000125	XP_002874101.1	g41348
OG0000125	XP_020880863.1, XP_002864658.2, XP_020872447.1, XP_002877451.1	g2919, g1294, g28781
OG0000125	XP_002879182.1	g39998
OG0000126	XP_020871150.1	g1792, g4332, g27839, g27662, g37157, g53925
OG0000127	XP_020869187.1	g49766
OG0000128	XP_020865849.1	g26382
OG0000128	XP_020883039.1	g44894, g26973
OG0000128	XP_020878880.1	g53276
OG0000128	XP_020865764.1	g31783, g53811, g31875
OG0000128	XP_020887091.1	g45611, g31838
OG0000128	XP_020887611.1	g1147, g29408
OG0000128	XP_020866238.1	g5236, g5604, g3371, g22741
OG0000128	XP_020878531.1	g42122, g41206, g3584
OG0000130	XP_020866739.1, XP_020889313.1	g34628
OG0000130	XP_020877517.1	g26208, g43583
OG0000131	XP_020878269.1	g15992
OG0000132	XP_020887015.1	g53769, g43756, g15634
OG0000132	XP_020885057.1	g26228
OG0000133	XP_020877519.1	g19947, g43640, g35382, g42719, g43495
OG0000135	XP_020874182.1	g4028
OG0000136	XP_002868825.1	g14687
OG0000138	XP_020882530.1, XP_002875524.1	g10340
OG0000140	XP_002863036.1, XP_020869408.1	g1248
OG0000140	XP_020879394.1, XP_020870866.1, XP_020871535.1	g28714
OG0000140	XP_020874639.1, XP_002864614.1	g1252, g28702, g28701
OG0000142	XP_020885362.1	g40020
OG0000142	XP_002881123.1	g51155, g51154, g51130, g51156
OG0000144	XP_020872445.1, XP_020875855.1, XP_020889856.1	g32634, g26627, g450
OG0000146	XP_002866093.1	g1011
OG0000147	XP_020888881.1	g5985
OG0000147	XP_020872380.1	g23426
OG0000147	XP_020870964.1	g1105
OG0000147	XP_020890865.1	g46563
OG0000147	XP_020882578.1	g11547
OG0000147	XP_020889051.1	g6339
OG0000147	XP_020885195.1	g50994
OG0000149	XP_002875779.1	g2887
OG0000149	XP_020871263.1	g1676, g28755, g28754
OG0000149	XP_020871256.1, XP_020871259.1	g1282
OG0000149	XP_020885175.1	g17375
OG0000149	XP_020871260.1, XP_020871262.1	g1278
OG0000149	XP_002877482.1	g2888
OG0000150	XP_020881724.1	g11441, g11440
OG0000151	XP_002865968.1	g915, g28415
OG0000151	XP_002867477.1	g17072
OG0000151	XP_020888570.1	g7540
OG0000151	XP_020888018.1	g14078
OG0000151	XP_020891046.1	g28546
OG0000152	XP_020882908.1	g15848
OG0000152	XP_020869985.1, XP_020891448.1	g22192, g30253, g4143
OG0000154	XP_020867554.1	g27332
OG0000154	XP_002884912.1	g12277
OG0000154	XP_002884737.1	g7492
OG0000154	XP_002873056.1	g54073, g45315, g5784
OG0000155	XP_020873274.1	g23645
OG0000155	XP_002867852.2	g47372
OG0000155	XP_020888268.1	g7340
OG0000156	XP_002882021.1	g52257
OG0000157	XP_020886515.1	g46122, g12809
OG0000157	XP_002885502.1, XP_020886930.1, XP_020888665.1, XP_002888470.1, XP_020891300.1, XP_020877537.1	g1395
OG0000161	XP_020889363.1, XP_020884859.1, XP_020885823.1, XP_002879145.1	g392, g9880
OG0000161	XP_020890883.1	g45103, g45101
OG0000161	XP_020890882.1	g45131
OG0000162	XP_020891301.1	g26821
OG0000164	XP_020874446.1	g14196, g38017, g38015, g38013, g38019, g32493
OG0000167	XP_020872090.1	g24121
OG0000167	XP_020872359.1	g17408
OG0000169	XP_020878232.1	g46166
OG0000169	XP_020865750.1	g46162
OG0000171	XP_020890687.1, XP_020870037.1	g45857
OG0000171	XP_002892585.1	g5177
OG0000171	XP_002871626.1	g29297
OG0000173	XP_020879516.1	g15729, g49146, g17663, g37839, g27055, g49999, g53725, g17352, g17357, g17341, g1801, g25289, g14575, g15732, g18062, g46682, g32984, g45423, g24727, g33298, g51510, g2110
OG0000175	XP_002869113.1	g23036
OG0000175	XP_020873047.1	g47947
OG0000178	XP_020871723.1	g50196, g14780, g46746, g53399
OG0000180	XP_020880445.1	g13531
OG0000183	XP_020887742.1	g6570
OG0000183	XP_020887788.1	g3712, g43268, g11496, g11193
OG0000185	XP_020890721.1	g40049, g47161, g26166
OG0000186	XP_020888411.1	g29944, g8607, g43388, g38807, g30547
OG0000186	XP_020888446.1	g16331
OG0000186	XP_020885553.1	g1666
OG0000186	XP_020866698.1, XP_020866699.1, XP_020889780.1	g11646
OG0000186	XP_020882685.1	g16059
OG0000186	XP_020871413.1	g16333
OG0000187	XP_020872309.1, XP_020875226.1	g35037
OG0000190	XP_002874799.1	g40442
OG0000190	XP_020877653.1	g45158
OG0000190	XP_002872697.1	g45173
OG0000191	XP_020867288.1, XP_002892679.1	g31359
OG0000192	XP_020869475.1	g50732, g27488
OG0000194	XP_020891399.1	g42645, g3805, g8324, g12233, g48660, g9209, g48261, g26496, g23263, g53148, g35136, g19433, g53231, g5034, g42389, g15495, g3532, g21616, g20554, g35938, g22577, g50316, g36924, g3519, g13930, g54130, g42490, g33617, g9185, g38628, g16001, g9161, g21983, g33159, g33162, g33196, g33194, g49131, g16047, g32831, g30173, g9043, g14835, g33824, g9300, g15795, g52330, g16722, g22564, g14311, g36307, g41990, g34234, g34239, g52452, g52465, g43277, g43271, g52627, g27039, g3496, g32844, g21980, g22569, g34832, g3591, g21889, g34609, g30376, g30041, g18470, g20927, g43270, g30550, g8348, g30215, g8478
OG0000195	XP_002879035.1	g40143
OG0000195	XP_002870564.1, XP_002888498.1	g18117
OG0000196	XP_020870343.1	g40674
OG0000196	XP_020870363.1	g27686
OG0000196	XP_020870342.1	g40675
OG0000197	XP_020887839.1	g18526, g7663
OG0000197	XP_020873172.1, XP_020873179.1	g27764, g39817
OG0000200	XP_020869614.1	g27759, g27721
OG0000201	XP_020886141.1, XP_020885996.1	g6534, g11758
OG0000201	XP_020886142.1, XP_002885573.2	g11846
OG0000202	XP_020886139.1	g27177
OG0000202	XP_002872691.1	g10880
OG0000204	XP_002885438.2	g36933
OG0000205	XP_002877168.1	g32507
OG0000205	XP_020868436.1, XP_002894040.2, XP_020883080.1	g53988
OG0000206	XP_020881772.1	g1573, g22730, g23072, g45047, g16729, g36171, g52105, g17791
OG0000206	XP_020868240.1	g2449, g32347
OG0000206	XP_020878601.1	g37934
OG0000206	XP_020882872.1	g11812, g6224, g29003, g53538, g9977, g41828, g33055
OG0000208	XP_020872427.1, XP_002869292.1	g6217, g6207
OG0000209	XP_020890819.1	g40830
OG0000209	XP_020890820.1	g40827
OG0000209	XP_020874288.1	g32745
OG0000210	XP_020888514.1	g28290
OG0000213	XP_020890374.1	g46059, g46056
OG0000213	XP_020887377.1	g7432
OG0000213	XP_020884044.1	g28220
OG0000213	XP_002878651.1	g38464
OG0000214	XP_020891504.1	g36825, g36830
OG0000214	XP_020879031.1	g1023, g25454, g25477
OG0000216	XP_002869836.1	g53737
OG0000216	XP_020873572.1, XP_020873565.1	g47412
OG0000217	XP_020889719.1, XP_020891727.1, XP_002886692.2	g31539, g1718
OG0000217	XP_020868284.1	g44052
OG0000218	XP_002892838.1, XP_020869981.1	g31564
OG0000218	XP_020869449.1	g49926
OG0000218	XP_020881007.1, XP_002875203.1, XP_002875076.1	g10793
OG0000219	XP_002888551.1, XP_002888554.1, XP_002888553.1, XP_002887077.1, XP_020891385.1	g28368
OG0000219	XP_002881067.1, XP_002862634.2	g46873
OG0000219	XP_020877374.1, XP_002862247.1, XP_020871092.1	g311
OG0000219	XP_002864257.1, XP_002864258.1	g18634
OG0000221	XP_020866913.1	g52806
OG0000224	XP_002887689.1	g46370
OG0000224	XP_002887975.1, XP_002887974.1	g40852
OG0000225	XP_020867502.1	g27682
OG0000226	XP_020886010.1	g32332, g32334, g32337
OG0000226	XP_020871016.1, XP_020867770.1, XP_020866285.1, XP_002890779.1	g11864
OG0000228	XP_002874413.1, XP_002872296.1	g32057
OG0000230	XP_002887614.1	g46235
OG0000230	XP_002891964.1	g18589
OG0000231	XP_020873122.1	g46733
OG0000231	XP_020889985.1, XP_020872464.1, XP_020891116.1	g18039
OG0000233	XP_020884701.1	g53703
OG0000234	XP_020881605.1	g19127
OG0000234	XP_002878017.1	g19128
OG0000234	XP_002878016.1	g2235
OG0000234	XP_002881649.1	g51765
OG0000234	XP_002871574.1	g29346
OG0000236	XP_020865699.1	g13483
OG0000236	XP_020886731.1	g11672
OG0000238	XP_020879909.1	g6733, g41785, g14207
OG0000239	XP_020884722.1	g51324
OG0000239	XP_020872389.1	g39775
OG0000240	XP_002877248.2	g26214, g10490, g22460
OG0000240	XP_020866249.1, XP_002875577.1, XP_020866248.1	g24726
OG0000240	XP_020884846.1, XP_002878902.1, XP_020884852.1	g11360, g13978
OG0000242	XP_002885959.1	g14272, g6162
OG0000242	XP_020870862.1	g31494
OG0000242	XP_002890039.2	g31496, g31497, g31498, g31499
OG0000244	XP_020873759.1, XP_020876627.1, XP_002872712.1, XP_020873797.1, XP_002867824.2, XP_002867822.1, XP_002867821.1, XP_020876628.1, XP_002872711.1	g17320
OG0000246	XP_020867873.1	g43926, g25863, g3770, g17422, g3843, g52261, g11937, g26779
OG0000247	XP_002870492.1	g28137
OG0000248	XP_002872655.2	g25664
OG0000248	XP_020865893.1	g41086, g41090, g41083
OG0000249	XP_020884151.1	g51603
OG0000249	XP_002881469.1	g37185
OG0000251	XP_020883607.1	g35942
OG0000252	XP_020879255.1	g45347
OG0000254	XP_002880609.1, XP_002880923.2	g6897
OG0000254	XP_020866712.1, XP_020877605.1, XP_020877604.1, XP_020883633.1, XP_002889545.2	g1607
OG0000256	XP_002863900.1, XP_002865643.1, XP_002885797.1	g51896, g51897
OG0000256	XP_020883542.1, XP_020885530.1, XP_002878839.1	g51887
OG0000257	XP_002882670.1	g48005
OG0000258	XP_002866197.1	g39309
OG0000258	XP_020882087.1, XP_002876964.1	g16641
OG0000260	XP_020881126.1	g46771
OG0000260	XP_020885838.1	g17690, g17692, g17691
OG0000264	XP_002872741.1	g25493
OG0000264	XP_020876466.1	g40712
OG0000266	XP_020880330.1, XP_020880329.1	g27624
OG0000266	XP_020882437.1, XP_020882443.1	g11014, g40790
OG0000267	XP_020882989.1, XP_002878566.1	g17092
OG0000268	XP_020879860.1	g1514
OG0000268	XP_002870939.2	g45297
OG0000268	XP_002877959.1	g19165
OG0000269	XP_020866080.1	g32697
OG0000269	XP_020886219.1	g26699, g24901
OG0000270	XP_020867393.1	g27445, g31888, g50111
OG0000271	XP_020876838.1	g6508, g45178
OG0000271	XP_020878304.1	g40469
OG0000274	XP_002864649.1	g28758
OG0000274	XP_020883555.1	g39974
OG0000277	XP_002870218.1, XP_002870219.1	g47115
OG0000277	XP_020874808.1	g17643
OG0000277	XP_002870217.1	g47117
OG0000278	XP_020871462.1, XP_020865960.1, XP_020871126.1	g10751, g26081, g26058
OG0000281	XP_002891549.1, XP_020866716.1	g36419
OG0000282	XP_002873314.1	g5538
OG0000282	XP_002873316.1	g45483
OG0000282	XP_020876208.1, XP_020876210.1	g29622
OG0000284	XP_020879188.1	g10112
OG0000284	XP_020871231.1	g12521
OG0000285	XP_002870431.1, XP_020880707.1, XP_002863144.2, XP_002893840.2	g449
OG0000286	XP_020865980.1	g28434, g45026
OG0000287	XP_020871911.1, XP_020886261.1	g13375
OG0000290	XP_002885269.2	g11997
OG0000290	XP_002864952.1	g16860
OG0000294	XP_020889164.1	g6947
OG0000294	XP_020877038.1	g39522, g25429
OG0000294	XP_020867795.1	g26892
OG0000295	XP_020886572.1	g12173, g12193, g12167, g12172
OG0000296	XP_002891517.1	g40743
OG0000297	XP_002864686.1	g41326
OG0000298	XP_002886167.1	g34492
OG0000299	XP_020865762.1	g27806
OG0000299	XP_002894539.1, XP_020867812.1	g29744, g53412
OG0000300	XP_020888721.1, XP_020888706.1	g13574, g6349
OG0000300	XP_002883696.1, XP_020886867.1, XP_002883695.1	g53214, g52576, g53200, g11641
