Orthogroup	Erysimum_linariifolium	Capsella_rubella
OG0000025	El001G014130, El001G014870, El001G014670, El003G176790	XP_023634475.1
OG0000025	El003G190320, El007G338170, El007G338190, El007G338230, El007G338200	XP_006281712.1
OG0000025	El003G176780, El001G014170	XP_023633414.1
OG0000026	El003G164110, El005G264370, El003G183480	XP_023639056.1
OG0000027	El001G054180	XP_023644420.1, XP_023644421.1, XP_023632644.1, XP_023632643.1
OG0000027	El001G054190	XP_023644419.1
OG0000027	El002G118130	XP_023643300.1, XP_023632994.1
OG0000027	El002G117940	XP_023633131.1, XP_023645581.1, XP_023645579.1, XP_023632981.1
OG0000027	El002G117910	XP_023632770.1
OG0000027	El002G117730	XP_023633039.1
OG0000027	El002G117790, El002G117690, El002G117760, El002G117870, El002G117820	XP_023632980.1, XP_023632975.1
OG0000027	El001G029050	XP_023633004.1, XP_023639207.1
OG0000028	El004G212000	XP_023638859.1, XP_023644241.1
OG0000028	El007G348580	XP_023638860.1
OG0000028	El004G220890, El005G261200, El001G000530, El003G163730, El006G311620	XP_023634815.1, XP_023641328.1, XP_023644323.1, XP_023644233.1, XP_023642217.1
OG0000031	El004G197660	XP_006302102.1
OG0000031	El007G349520	XP_006301297.1
OG0000031	El002G096110	XP_006303621.1, XP_006303680.2
OG0000031	El003G192370	XP_023635463.1
OG0000031	El005G253470	XP_006297483.1
OG0000031	El003G157520	XP_006283550.1
OG0000031	El002G127940, El004G193990	XP_023643559.1
OG0000033	El003G162150	XP_006283285.1
OG0000033	El003G162160	XP_023634692.1
OG0000033	El003G162180	XP_006283283.1
OG0000033	El003G162220	XP_023635576.1
OG0000033	El001G014890	XP_006291260.2
OG0000033	El001G012200	XP_023638280.1
OG0000033	El001G004730	XP_006287210.1
OG0000034	El006G311550	XP_023636243.1
OG0000035	El001G043940	XP_006299189.1
OG0000035	El006G299540	XP_023640514.1
OG0000035	El001G033250	XP_023638840.1
OG0000035	El001G033230	XP_023638971.1
OG0000036	El003G178170	XP_023644496.1
OG0000036	El006G309160	XP_023636066.1, XP_023633448.1
OG0000036	El006G311410, El002G122040, El002G126960	XP_023640345.1, XP_023634265.1, XP_023640320.1, XP_023643584.1, XP_023640315.1, XP_023636058.1, XP_023644147.1, XP_023634034.1, XP_023644470.1
OG0000036	El006G311420, El002G122030	XP_023636060.1
OG0000038	El006G281890, El006G282510	XP_006296301.2
OG0000038	El002G110410, El002G110580, El002G110340	XP_023632850.1, XP_023645557.1, XP_023632853.1
OG0000038	El007G341120	XP_023633386.1
OG0000038	El007G364390, El001G005030	XP_023636130.1
OG0000038	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600	XP_023637684.1
OG0000038	El007G360640	XP_023637652.1
OG0000038	El006G282520	XP_023643361.1
OG0000040	El003G181190, El002G112730, El002G112290	XP_023632886.1, XP_023632793.1
OG0000040	El006G296490, El006G297130, El007G346320	XP_006303634.1
OG0000040	El005G250180	XP_006300177.2, XP_006297854.1, XP_006297862.1, XP_006298407.2
OG0000040	El005G257710	XP_006296044.1
OG0000040	El005G257410	XP_006297884.1
OG0000042	El005G265850	XP_023640353.1
OG0000043	El007G350700	XP_023634647.1, XP_023640313.1, XP_023637997.1, XP_023633331.1
OG0000044	El006G308910, El006G308940	XP_006289233.2, XP_023636067.1, XP_023638196.1, XP_023640348.1, XP_023641942.1
OG0000045	El002G101480	XP_023633361.1
OG0000045	El004G208130, El006G320830	XP_023635342.1
OG0000046	El003G188710	XP_006286236.1
OG0000046	El003G186960, El003G186970	XP_023638915.1
OG0000046	El003G168460	XP_006286158.2
OG0000046	El003G187000	XP_023638604.1, XP_023638598.1
OG0000046	El003G186990	XP_006290694.2
OG0000046	El004G216560, El004G216600	XP_023644283.1
OG0000046	El003G186880, El003G186940	XP_023637822.1
OG0000047	El001G050090, El002G123400	XP_023634337.1
OG0000048	El003G193700	XP_006300074.1
OG0000052	El007G364450, El002G116290	XP_006304062.1
OG0000052	El006G286580	XP_023640424.1
OG0000055	El004G198780	XP_006301460.1
OG0000055	El001G016330, El001G016310, El001G016300	XP_006292456.1
OG0000055	El004G198830	XP_006302241.1
OG0000055	El004G198590, El004G198600	XP_006302243.1
OG0000055	El004G198610	XP_006300465.1
OG0000055	El004G198010, El004G198720, El004G198710, El004G198730, El004G198700	XP_006301237.2
OG0000055	El004G198810	XP_006301193.1
OG0000056	El004G200570	XP_006290241.2, XP_023637455.1, XP_023644542.1
OG0000057	El003G174270, El003G172630, El003G172690	XP_006286657.2
OG0000057	El005G254800	XP_006299604.1
OG0000057	El003G184060	XP_023642764.1
OG0000058	El005G276970, El001G065670, El001G046450	XP_023643276.1
OG0000061	El006G308960, El006G308930, El002G121930	XP_023641960.1
OG0000062	El001G054390	XP_023645325.1
OG0000064	El003G142390	XP_023634774.1
OG0000064	El006G298100	XP_006295567.2
OG0000066	El007G324780	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000067	El001G050000	XP_006289556.2, XP_023637280.1
OG0000067	El001G015110, El001G015090	XP_023642606.1
OG0000067	El001G019940, El001G019880, El003G151620, El001G050380, El007G338720	XP_023637635.1, XP_006289558.2
OG0000067	El001G080370, El001G080310, El001G080500, El001G079930, El001G080400, El001G080340, El001G080320, El001G080380	XP_006289028.2
OG0000068	El004G214260	XP_023640381.1
OG0000071	El002G123480, El003G185050, El005G258610, El004G202230, El007G334900, El007G346760, El005G246820	XP_023646042.1, XP_023644298.1
OG0000071	El003G186390, El001G051200, El006G305000	XP_023643263.1
OG0000072	El005G263040, El005G262970, El004G210970, El005G264060	XP_023643495.1, XP_023633300.1, XP_023634490.1, XP_023637389.1, XP_023634624.1, XP_023641886.1, XP_023633619.1
OG0000072	El003G180720	XP_023633613.1
OG0000073	El002G132380	XP_006296267.1
OG0000074	El002G108930, El002G137010, El002G108940	XP_006304415.2
OG0000074	El002G109000	XP_023644784.1
OG0000074	El002G108980	XP_006303494.2
OG0000074	El002G108900	XP_006304618.2
OG0000074	El002G108910	XP_023644792.1
OG0000074	El002G109050	XP_023632781.1
OG0000074	El002G109020	XP_006306553.1
OG0000074	El002G108990	XP_006304377.2
OG0000074	El002G108950	XP_006306462.1
OG0000074	El002G109030	XP_006306513.2
OG0000074	El002G108840	XP_006303770.1
OG0000074	El002G108850	XP_006304583.1
OG0000074	El002G109040	XP_023632777.1
OG0000075	El001G065030	XP_006289118.1
OG0000076	El001G023150	XP_023638945.1, XP_023638947.1
OG0000076	El001G023120	XP_023638946.1, XP_023639178.1
OG0000076	El001G023080	XP_006291114.1, XP_006291129.1, XP_006293230.1, XP_006290348.2
OG0000076	El001G041490	XP_023639087.1
OG0000077	El007G346620, El007G346720, El007G346600, El004G208890, El007G346470, El006G315340, El007G346500, El007G346630, El007G346710, El007G346580	XP_006281848.1
OG0000077	El007G346750	XP_006281030.1, XP_006280653.1
OG0000077	El003G143070	XP_023634488.1
OG0000077	El007G346640, El004G229240, El002G122000	XP_006286716.1
OG0000077	El003G143080	XP_023635517.1
OG0000077	El003G143050, El006G313810, El003G143040	XP_006285279.1
OG0000077	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890	XP_006301199.1
OG0000077	El003G143090	XP_023635518.1
OG0000078	El008G368270, El008G368260	XP_023634352.1
OG0000079	El005G237320, El005G272390	XP_006297834.2
OG0000079	El005G237310	XP_006297586.1
OG0000079	El004G213350, El004G213320, El004G213370, El005G273970	XP_006293285.1
OG0000079	El004G207470	XP_006290714.1
OG0000079	El001G030540, El007G357730	XP_023639082.1
OG0000079	El003G187300, El003G187270, El003G187260, El003G187360	XP_006283699.2
OG0000079	El003G187320, El003G187370, El003G187350, El003G187330	XP_023634418.1
OG0000080	El002G131930	XP_023645797.1
OG0000080	El001G069000, El001G068960	XP_006287607.1
OG0000080	El004G194360	XP_023635299.1
OG0000080	El003G157200	XP_023633781.1
OG0000080	El007G345310	XP_023640829.1
OG0000080	El001G043770, El001G041340	XP_006286287.2
OG0000081	El006G319750	XP_006307735.2, XP_023634320.1
OG0000082	El005G264460	XP_023639594.1
OG0000083	El005G263710	XP_006299320.2
OG0000083	El005G263680, El005G263720, El005G262910	XP_006299852.1
OG0000083	El006G317480, El006G317520, El006G317460, El006G317530	XP_023639559.1, XP_006293700.1, XP_006293701.1
OG0000083	El006G313440	XP_006295969.1
OG0000083	El005G240260	XP_006299638.1
OG0000084	El006G313950	XP_006295595.1
OG0000084	El006G316300	XP_006295705.1, XP_006294284.1, XP_006294389.1
OG0000084	El006G316230	XP_006295399.1
OG0000084	El006G316420	XP_006295555.1, XP_006294228.1
OG0000086	El002G123600	XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301176.1, XP_006301855.1, XP_006306169.1, XP_006301107.1
OG0000087	El001G056180	XP_006287738.1
OG0000087	El006G303330	XP_006294210.1
OG0000087	El007G327940, El001G016250	XP_006292748.1, XP_006291122.1
OG0000087	El001G069260	XP_006289933.1
OG0000087	El007G360740	XP_006281513.1
OG0000087	El003G165170	XP_006283733.1
OG0000087	El002G104330	XP_006307490.1
OG0000087	El004G228430	XP_006302256.1
OG0000088	El007G357210	XP_023640385.1, XP_006296540.2
OG0000088	El001G017100, El005G272510	XP_023639002.1
OG0000088	El001G016960	XP_023637739.1
OG0000088	El001G059590	XP_023636467.1, XP_023635698.1
OG0000088	El001G059580	XP_023644362.1
OG0000089	El001G072250	XP_006287952.1
OG0000089	El005G256100	XP_006305090.1
OG0000089	El002G133200	XP_006297920.1
OG0000089	El006G287070	XP_006295821.1
OG0000089	El006G287060	XP_006295441.1
OG0000089	El005G247910	XP_006297921.1
OG0000089	El006G292700	XP_006291303.1
OG0000089	El001G015710	XP_006291307.1
OG0000090	El002G104490, El003G181590	XP_006304273.1
OG0000090	El007G355500	XP_023637791.1
OG0000090	El004G228750	XP_006302938.1
OG0000090	El001G031660	XP_023637735.1
OG0000090	El003G147970	XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1
OG0000090	El001G038180	XP_006291940.1, XP_006292249.1, XP_006292823.1, XP_006292597.1, XP_006291986.1, XP_006292951.2, XP_006292400.1, XP_006290298.1, XP_006292236.1
OG0000090	El002G093200	XP_006305612.2
OG0000091	El004G215550	XP_023643686.1, XP_023633323.1
OG0000093	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230	XP_006300210.2, XP_006299293.1, XP_006299888.1, XP_023642620.1, XP_006300054.1
OG0000093	El001G029840	XP_006292197.1
OG0000096	El004G205300	XP_023643297.1
OG0000096	El001G038300	XP_006292432.2
OG0000096	El001G038380	XP_006293218.1, XP_006292790.1
OG0000096	El001G038370	XP_006292755.1
OG0000096	El001G038400	XP_006292566.2, XP_006300965.2, XP_006292626.2
OG0000096	El007G361830	XP_006281971.1
OG0000096	El007G362690	XP_006281861.1
OG0000096	El007G362860	XP_006280897.2
OG0000097	El001G004470	XP_006288252.1
OG0000097	El001G004390	XP_006289089.1
OG0000097	El001G004380	XP_006288400.1
OG0000097	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890	XP_006301748.2, XP_023644271.1, XP_006301379.1, XP_006289544.2, XP_006289669.1, XP_006289764.1
OG0000097	El001G004400	XP_006288542.1
OG0000098	El002G095770	XP_023644396.1
OG0000099	El004G194870, El001G011990, El004G194960, El004G194830, El004G194970, El004G204720, El004G194880, El004G194860, El006G303000, El004G214950, El004G214930	XP_006301961.2
OG0000099	El004G194890, El004G195030, El004G194980	XP_023643964.1
OG0000100	El003G172340, El006G312970, El004G206690, El006G309850, El007G331570, El004G203680, El006G309780, El001G004640, El001G030520, El001G030510, El005G270250, El002G138600, El003G164230	XP_023638959.1
OG0000100	El002G130910	XP_006279197.2
OG0000100	El001G030500	XP_023633443.1
OG0000101	El004G213140, El004G201520	XP_023643498.1
OG0000101	El007G356350	XP_006301994.2
OG0000104	El002G090170	XP_023645280.1
OG0000104	El006G304210	XP_006296171.1
OG0000104	El002G136420	XP_006306741.1, XP_023645225.1
OG0000106	El005G259530	XP_006299978.1
OG0000106	El001G010720, El005G256190, El005G255570, El005G256210, El005G255560	XP_006297893.1
OG0000106	El006G306450	XP_006296370.1, XP_023640363.1, XP_006296007.1
OG0000107	El005G257790	XP_006300030.1
OG0000107	El005G257800	XP_006297457.1
OG0000107	El005G257840	XP_006299861.1
OG0000107	El005G257830	XP_023642039.1
OG0000107	El005G257820	XP_006299064.2
OG0000107	El001G039680	XP_006289895.1
OG0000107	El005G270120	XP_006297460.1
OG0000108	El001G053220	XP_006289986.1, XP_006289767.1
OG0000108	El007G364310, El007G323300	XP_006305026.1
OG0000108	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550	XP_006292655.1
OG0000110	El001G030790	XP_006291045.1
OG0000110	El001G030780	XP_006290900.1
OG0000110	El001G030740	XP_006291049.1
OG0000111	El003G187720, El001G009620, El003G183560	XP_006283852.1, XP_023634364.1
OG0000111	El007G327170	XP_023637355.1
OG0000111	El001G025790	XP_006291215.1
OG0000112	El007G329910	XP_006281753.1
OG0000112	El007G342990	XP_006282356.1, XP_006289168.1
OG0000113	El002G128690	XP_023639286.1
OG0000114	El004G213600	XP_023643586.1, XP_023644300.1, XP_023642837.1, XP_023643772.1
OG0000114	El004G206200, El004G206180, El004G205940, El004G206220	XP_023643420.1, XP_023643303.1, XP_023643595.1
OG0000114	El003G187140	XP_023634084.1
OG0000115	El002G126950, El002G121910, El006G311440, El006G308990	XP_023634397.1
OG0000115	El007G324900, El006G289920, El006G285120, El004G201560, El001G079750, El001G046700	XP_023636868.1
OG0000115	El002G106750, El002G138260, El007G348280	XP_023642374.1, XP_023645930.1, XP_023639647.1, XP_023636056.1, XP_023635040.1, XP_023632737.1
OG0000116	El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070	XP_023643610.1, XP_023632899.1, XP_023642575.1, XP_023637419.1
OG0000118	El001G001700, El001G001530	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000118	El006G302550, El006G302540, El007G358680, El006G302560	XP_006289948.1, XP_006289239.1, XP_006289559.1, XP_023634314.1, XP_023643207.1, XP_023644251.1, XP_023638950.1, XP_006301030.1
OG0000118	El001G023930	XP_006285378.1
OG0000119	El005G265760, El001G013130, El007G355930	XP_023644479.1, XP_023640329.1, XP_023634312.1, XP_023639187.1, XP_006281259.1
OG0000120	El004G200260	XP_006301329.1
OG0000120	El003G174940, El003G174920	XP_006284913.2
OG0000120	El007G345250, El007G346140, El006G307860	XP_006281901.1
OG0000121	El001G079760	XP_023633453.1, XP_023636064.1, XP_023644445.1, XP_023634293.1, XP_023644415.1, XP_023641261.1
OG0000121	El004G201550, El003G176590, El007G324890	XP_023644221.1
OG0000122	El007G335680, El008G369240, El007G335590, El007G335600	XP_023633416.1
OG0000122	El007G335620, El007G335610	XP_023633493.1, XP_023645912.1
OG0000123	El002G113800	XP_006306328.1, XP_006304016.1
OG0000123	El003G177660	XP_006285014.1, XP_023634253.1
OG0000124	El005G255280	XP_006285982.2
OG0000124	El006G297400, El006G297570, El004G206660, El006G307600, El001G057860	XP_023644493.1
OG0000124	El003G186300, El003G188620, El004G223250, El001G050120, El001G069630, El005G241140, El004G213620	XP_023641922.1
OG0000125	El001G024280, El006G292880	XP_006292034.1
OG0000125	El005G244660	XP_006298831.2
OG0000125	El001G080460	XP_006286660.1
OG0000125	El002G090450	XP_006304288.1
OG0000125	El001G057350	XP_006289049.1
OG0000125	El001G015040	XP_006292858.1
OG0000125	El007G331030	XP_006281264.1
OG0000125	El001G015130	XP_006292010.1
OG0000127	El001G001730	XP_006300213.2, XP_023643271.1, XP_023646069.1, XP_023637594.1
OG0000128	El007G350650	XP_023633354.1
OG0000129	El001G046120	XP_023635716.1
OG0000131	El007G346920	XP_006301152.1
OG0000135	El007G346110	XP_023637511.1, XP_023639036.1, XP_023634294.1
OG0000135	El001G045750	XP_023634595.1
OG0000136	El004G215950	XP_006302616.1
OG0000136	El004G215940	XP_006302255.2
OG0000136	El003G186500	XP_006291706.2
OG0000136	El007G327820	XP_023633444.1
OG0000136	El007G355150, El007G356600	XP_006284296.1
OG0000137	El002G124820, El003G184880	XP_023638979.1
OG0000137	El003G191580	XP_023635269.1
OG0000138	El006G314590	XP_023638093.1
OG0000138	El001G050920	XP_006280457.1
OG0000138	El001G045840	XP_023639004.1
OG0000138	El001G045810, El001G045830	XP_006291108.1, XP_023639277.1, XP_023638690.1
OG0000139	El007G349680, El003G179680	XP_023634523.1
OG0000140	El001G016150	XP_023638993.1
OG0000140	El007G331970	XP_006279478.2
OG0000140	El007G332020	XP_023641991.1
OG0000140	El007G332560	XP_023640932.1
OG0000140	El007G332570	XP_023642636.1
OG0000140	El007G332540	XP_023640928.1
OG0000140	El007G332010, El007G332000	XP_006280067.1, XP_006280069.1
OG0000142	El006G303840	XP_023639932.1
OG0000142	El006G303720	XP_023639769.1
OG0000142	El006G301970, El006G301960	XP_006294819.1
OG0000144	El007G344160	XP_023641182.1
OG0000144	El007G351410	XP_023637233.1, XP_006298993.2
OG0000145	El001G032460, El007G355960, El005G270970, El001G000710	XP_023637080.1
OG0000146	El007G336800	XP_006280761.2
OG0000146	El007G336790	XP_006280742.1
OG0000146	El007G336850	XP_006281729.1
OG0000146	El007G336810	XP_023637930.1
OG0000146	El007G336820	XP_006281991.1
OG0000146	El007G336890	XP_023633411.1
OG0000147	El005G277400	XP_006296920.1
OG0000147	El003G152940	XP_006282542.1
OG0000147	El007G334350	XP_006282289.1
OG0000147	El004G233720	XP_023643729.1
OG0000147	El001G047010	XP_006279360.1
OG0000147	El005G271430	XP_006279406.1
OG0000147	El006G316840	XP_006293643.2
OG0000149	El006G308870, El007G331430	XP_023638653.1
OG0000150	El006G312870, El001G014430	XP_006291315.2
OG0000150	El006G312840, El006G312880	XP_006296419.2
OG0000150	El006G312950, El006G312930	XP_006295986.2
OG0000150	El001G011280	XP_023638901.1
OG0000150	El001G014390	XP_023638900.1
OG0000151	El007G339860	XP_006281266.1
OG0000151	El003G156070	XP_006284700.1
OG0000151	El005G243780	XP_006298742.1
OG0000151	El005G243790	XP_023641832.1
OG0000151	El005G273960	XP_006298751.1
OG0000151	El007G336000	XP_006281239.2
OG0000151	El003G193180	XP_006284706.1
OG0000152	El006G310290	XP_023632652.1
OG0000154	El005G244620	XP_006297174.1
OG0000154	El004G209500	XP_006290203.1
OG0000155	El001G002450, El001G002560, El001G002510, El001G002610	XP_006289794.2
OG0000155	El004G214530, El004G213730, El004G214590	XP_023643783.1
OG0000155	El003G164690	XP_023634855.1
OG0000155	El005G247790	XP_006300024.2
OG0000155	El001G050480, El005G272960	XP_023640442.1
OG0000156	El001G032910	XP_006292819.2
OG0000156	El006G282820, El007G349010	XP_023640714.1
OG0000156	El006G282860	XP_023639945.1
OG0000156	El002G121590	XP_006307271.1
OG0000156	El006G282830	XP_023641004.1
OG0000156	El001G032920	XP_006293280.2
OG0000157	El005G265510, El005G265480, El005G265460, El005G265550	XP_023642688.1
OG0000157	El003G192550	XP_023634338.1
OG0000158	El003G184160	XP_006286216.2
OG0000158	El003G176020	XP_006289701.2, XP_006289843.2
OG0000162	El003G183220	XP_006292318.1
OG0000162	El005G268830	XP_006293283.1
OG0000162	El002G134880, El001G032190	XP_006293088.1
OG0000162	El007G330500	XP_023644267.1, XP_006302230.1
OG0000162	El006G283560, El006G283550	XP_006294103.1
OG0000164	El003G154310	XP_006285583.1
OG0000164	El003G143330	XP_023633707.1
OG0000164	El003G143310	XP_023639572.1
OG0000164	El003G186050, El001G048320	XP_023643272.1, XP_023635808.1
OG0000164	El003G143320	XP_023635206.1
OG0000167	El003G166330	XP_023634123.1
OG0000167	El003G186190	XP_023634326.1
OG0000167	El007G348790	XP_006282799.2
OG0000167	El003G182670, El003G166340	XP_006285566.1
OG0000167	El003G166350	XP_023633844.1
OG0000169	El006G314460	XP_023640595.1
OG0000169	El006G309570	XP_006282538.1
OG0000171	El004G201030	XP_006305640.2
OG0000171	El001G066810	XP_023635842.1
OG0000172	El001G024870, El001G024880	XP_006304853.2, XP_006292487.1
OG0000172	El001G034720	XP_006291171.1
OG0000172	El001G034730	XP_006293105.1
OG0000172	El001G030560	XP_006292673.2
OG0000174	El005G261670	XP_023634620.1, XP_023640324.1, XP_023636043.1, XP_023644465.1, XP_023634282.1, XP_023636047.1, XP_023644478.1, XP_023641994.1, XP_023634071.1, XP_023644460.1, XP_023644466.1, XP_023645651.1, XP_023640333.1, XP_023634058.1, XP_023634063.1, XP_023636059.1, XP_023634278.1, XP_023644457.1
OG0000175	El001G021550	XP_006293293.1
OG0000175	El004G228610	XP_006302850.1
OG0000175	El002G104420	XP_006305647.1
OG0000175	El003G147420	XP_006282726.1
OG0000175	El003G146230	XP_023633909.1
OG0000176	El002G117480	XP_006281807.1
OG0000176	El002G117050, El002G116930, El002G117010, El002G116700	XP_023645847.1
OG0000180	El007G325980	XP_023642292.1
OG0000181	El004G221180, El006G310720	XP_023638083.1
OG0000181	El001G037070, El007G362960, El001G081130, El003G164550, El006G294400	XP_023641916.1, XP_023634272.1, XP_023634273.1
OG0000183	El007G358990, El005G263830	XP_023633691.1
OG0000185	El001G004130	XP_023633812.1
OG0000187	El003G151220	XP_006283864.1
OG0000187	El005G246530	XP_023641259.1
OG0000188	El008G369860	XP_023632588.1
OG0000189	El004G229250	XP_006284898.2, XP_023644326.1
OG0000189	El005G268000, El005G267950, El005G268020, El005G267970	XP_023641380.1
OG0000190	El001G005540	XP_006289433.1
OG0000190	El001G005520	XP_006286464.1
OG0000190	El001G005530	XP_006286371.1
OG0000190	El001G005500	XP_006289092.1, XP_023635846.1, XP_006289348.1, XP_006287233.1
OG0000190	El001G005510	XP_023635847.1, XP_006289234.1, XP_006286467.1
OG0000190	El005G265350	XP_006286468.1
OG0000191	El005G268370	XP_006294410.1
OG0000191	El005G274730, El005G274430	XP_006299977.2, XP_006299373.1
OG0000191	El005G274440, El005G274460, El005G274720	XP_006299361.1
OG0000192	El002G105680	XP_006303161.1, XP_006283212.1
OG0000192	El002G105570	XP_006303693.1
OG0000192	El002G105610	XP_006303914.1
OG0000192	El002G105620, El002G105690	XP_006306853.1
OG0000193	El005G259130	XP_023642627.1
OG0000193	El002G132160, El002G132130, El005G259240	XP_006299157.1
OG0000195	El006G308260	XP_006294957.1
OG0000195	El006G288320, El001G028150	XP_023641020.1
OG0000195	El003G186220, El004G215670	XP_006302967.1, XP_006284698.1
OG0000195	El001G058810, El001G012120	XP_006286601.1, XP_023639142.1
OG0000196	El002G116380	XP_006305145.1
OG0000197	El003G193160	XP_006283424.1
OG0000200	El004G214290	XP_023645782.1
OG0000200	El004G202190	XP_006279047.1
OG0000200	El003G156950	XP_006285568.2
OG0000201	El005G260650	XP_006299457.1
OG0000201	El005G260660	XP_023642639.1
OG0000201	El005G260680, El005G260670	XP_006299892.1
OG0000201	El005G260820	XP_006298376.1, XP_023641852.1
OG0000201	El005G260710	XP_023642677.1, XP_023632990.1
OG0000202	El001G009350	XP_023636091.1
OG0000202	El005G254420	XP_006301530.1
OG0000202	El005G261620, El005G261760	XP_006299501.1
OG0000202	El005G261630	XP_006300933.1, XP_023641894.1, XP_023641893.1
OG0000204	El005G243840	XP_006299227.2
OG0000204	El005G241010	XP_006299488.1, XP_006299438.1
OG0000204	El001G005350	XP_006286744.1, XP_006290121.1, XP_006289053.1, XP_006289972.1
OG0000204	El005G261570	XP_006296746.1
OG0000204	El005G259630	XP_006297875.1
OG0000204	El003G152770	XP_023633756.1
OG0000205	El005G273080	XP_023642400.1
OG0000205	El005G273070, El006G312030	XP_023638076.1, XP_023637223.1, XP_006304855.1
OG0000205	El002G129620, El002G129730, El002G129760, El002G129780, El002G129740, El002G129710, El002G129660, El002G129670	XP_023644508.1, XP_023644509.1
OG0000206	El001G018920	XP_023634331.1
OG0000208	El002G130530, El002G130520	XP_006306153.1
OG0000208	El002G130450, El001G042580	XP_006281509.2
OG0000208	El003G150670	XP_023635375.1
OG0000208	El003G143000	XP_006283573.1
OG0000208	El007G341810	XP_006279822.1, XP_006287519.1, XP_006282055.1, XP_006280314.1, XP_023633561.1
OG0000209	El004G194580	XP_023644381.1
OG0000209	El003G193190	XP_023633824.1
OG0000209	El007G345850, El007G345610, El007G345740, El007G345570	XP_023633370.1
OG0000210	El005G269840, El005G269890	XP_006299665.1
OG0000210	El001G069350	XP_023638032.1
OG0000210	El006G298860	XP_006295600.1, XP_006296378.1
OG0000213	El004G225470, El004G225480	XP_006301868.2
OG0000213	El005G245790	XP_023642299.1, XP_023641412.1
OG0000213	El006G319100	XP_006295774.1
OG0000213	El006G319080	XP_006294243.1, XP_006294239.1
OG0000214	El001G033600	XP_006301794.1
OG0000214	El001G007470	XP_006289397.1
OG0000214	El006G314950	XP_023636924.1
OG0000214	El003G174420	XP_006282887.2
OG0000216	El003G163460, El003G163490	XP_006285624.1
