Orthogroup	Erysimum_linariifolium	Arabidopsis_thaliana
OG0000033	El005G273190	AT4G00970.1
OG0000033	El003G162220	AT4G23130.2
OG0000033	El001G014890	AT3G45860.1
OG0000033	El001G004730	AT4G05200.2
OG0000035	El001G043940	AT3G23960.1
OG0000035	El001G033250	AT3G61340.2
OG0000038	El002G110410, El002G110580, El002G110340	AT1G26890.1
OG0000038	El001G019410	AT3G49480.2
OG0000038	El007G341120	AT5G52460.1
OG0000038	El007G361730, El007G361750	AT5G44850.1
OG0000040	El003G181190, El002G112730, El002G112290	AT1G25211.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G24800.1
OG0000040	El005G250150	AT3G14030.1
OG0000040	El005G250180	AT3G13680.1
OG0000040	El005G257710	AT5G60560.2
OG0000042	El001G058460	AT3G25720.1
OG0000042	El005G265850	AT1G50080.1
OG0000044	El007G357580, El007G365520, El003G186540	AT1G37020.1, AT5G45570.1, AT4G08430.1, AT5G28810.1, AT2G10260.1, AT3G31910.1
OG0000046	El003G188710	AT5G39020.1, AT5G39030.1
OG0000046	El003G186960, El003G186970	AT5G38260.1
OG0000046	El003G168460	AT4G18250.1
OG0000046	El003G187000	AT5G38280.2
OG0000046	El004G216850, El004G216660	AT1G67000.1
OG0000048	El003G193700	AT3G03820.1
OG0000048	El006G321480	AT2G21200.1
OG0000052	El006G286610, El006G286640	AT2G42455.1
OG0000052	El006G286590	AT2G42470.1
OG0000052	El006G286580	AT2G42480.1
OG0000055	El001G016330, El001G016310, El001G016300	AT3G46950.1
OG0000055	El004G198830	AT1G61960.1
OG0000055	El004G198610	AT1G62110.1, AT1G62085.1
OG0000055	El004G208280	AT1G56380.2
OG0000055	El004G198010, El004G198720, El004G198710, El004G198730, El004G198700	AT1G62120.1
OG0000055	El004G198810	AT1G61980.1
OG0000056	El004G200570	AT3G31430.1
OG0000057	El005G276600, El005G276550	AT2G18780.1
OG0000057	El003G184060	AT3G18120.1
OG0000062	El005G264970, El004G212620, El001G013750, El003G186180, El004G203440, El004G203430, El007G346680, El005G263100	AT2G07200.1
OG0000062	El001G054390	AT2G07190.1
OG0000064	El003G142390	AT4G38940.1
OG0000066	El004G228220, El004G228230, El002G122920	AT1G75600.1
OG0000066	El007G324780	AT5G65350.1, AT3G27360.1, AT1G09200.1, AT5G10390.1, AT5G10400.1, AT5G65360.1
OG0000067	El001G050000	AT3G09160.1, AT5G05430.2
OG0000067	El001G019940, El001G019880, El003G151620, El001G050380, El007G338720	AT5G03495.1
OG0000071	El003G161900, El007G348480, El004G223960, El004G222550	AT5G28823.1
OG0000073	El002G132380	AT4G16950.1, AT4G16860.1, AT4G16920.2, AT4G16890.1
OG0000073	El007G365480	AT4G08450.1
OG0000074	El002G108930, El002G137010, El002G108940	AT1G23600.1
OG0000074	El002G109000	AT1G23645.1
OG0000074	El002G108920	AT1G23590.1
OG0000074	El002G108900	AT1G23570.2
OG0000074	El002G108910	AT1G23580.1
OG0000074	El002G109050	AT1G23690.1
OG0000074	El002G109020	AT1G23660.1
OG0000074	El002G108990	AT1G23640.1
OG0000074	El002G108950	AT1G23610.1
OG0000074	El002G109030	AT1G23670.2
OG0000074	El002G108840	AT1G23510.1
OG0000074	El002G108850	AT1G23520.1
OG0000075	El001G065030, El001G025110	AT5G16285.1
OG0000076	El001G023080	AT3G52680.1, AT4G00160.1
OG0000076	El001G041500	AT3G26920.1
OG0000077	El007G346750	AT5G49000.2
OG0000077	El003G143070	AT4G39560.1
OG0000077	El002G122000	AT4G05620.1
OG0000077	El003G143080	AT4G39570.1
OG0000077	El003G143050, El006G313810, El003G143040	AT4G39550.1
OG0000077	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890	AT1G19930.1, AT1G60570.1
OG0000077	El003G143090	AT4G39580.1
OG0000079	El005G237320, El005G272390	AT3G03040.1
OG0000079	El005G237310	AT3G03030.1
OG0000079	El004G213350, El004G213320, El004G213370, El005G273970	AT3G58930.1
OG0000079	El004G207470	AT5G38391.1, AT3G58940.1
OG0000079	El001G030540	AT3G58890.1
OG0000079	El003G187300, El003G187270, El003G187260, El003G187360	AT1G52650.1, AT4G13960.1
OG0000079	El003G187320, El003G187370, El003G187350, El003G187330	AT5G38396.1
OG0000080	El002G131320, El002G131270	AT1G48400.1
OG0000080	El002G131930	AT1G48390.1
OG0000080	El004G194020	AT1G64540.1
OG0000080	El004G194360	AT5G35995.1
OG0000080	El003G157200	AT4G27050.1
OG0000080	El007G345310	AT2G29930.1
OG0000080	El006G302980, El006G300900, El006G303280	AT2G29910.6
OG0000081	El001G062500	AT5G18160.1
OG0000083	El005G263680	AT3G23110.1
OG0000083	El006G317480, El006G317520, El006G317460, El006G317530	AT3G05370.1
OG0000083	El005G240260	AT3G05360.1
OG0000084	El006G315720, El006G313930, El001G048100, El006G316280, El006G316240, El006G316260	AT1G64840.1
OG0000086	El002G123600	AT5G34908.1
OG0000086	El004G210560	AT3G44115.1, AT1G57760.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1
OG0000087	El001G056180	AT5G23860.1
OG0000087	El006G303330	AT2G29550.1
OG0000087	El007G327940	AT5G62700.1, AT5G62690.1
OG0000087	El001G069260	AT5G12250.1
OG0000087	El007G360740	AT5G44340.1
OG0000087	El003G165170	AT4G20890.1
OG0000087	El002G104330	AT1G20010.1
OG0000087	El004G228430	AT1G75780.1
OG0000088	El001G016960	AT3G47570.1
OG0000088	El001G016980	AT3G47090.1
OG0000088	El001G017010	AT3G47580.1
OG0000088	El001G016470	AT3G47110.1
OG0000088	El001G059590	AT5G20480.1
OG0000088	El001G059580	AT5G39390.1
OG0000089	El001G072250	AT5G09810.1
OG0000089	El005G256100	AT1G49240.1
OG0000089	El002G133200	AT3G18780.2
OG0000089	El006G287080	AT2G42090.1
OG0000089	El006G287060	AT2G42100.1
OG0000089	El005G247910	AT3G12110.1
OG0000089	El001G024400, El006G292700	AT2G37620.1
OG0000089	El007G331780	AT5G59370.1
OG0000089	El001G015710	AT3G46520.1
OG0000090	El007G355500	AT5G42190.1
OG0000090	El004G228750	AT1G75950.1
OG0000090	El001G031660	AT3G60010.1
OG0000090	El003G147970	AT4G34210.1
OG0000090	El001G038160, El001G038170, El001G049400	AT3G25650.1, AT2G03170.1
OG0000090	El001G038180	AT2G20160.1, AT2G03190.1
OG0000090	El002G093200	AT1G10230.1
OG0000091	El004G215550	AT3G32960.1
OG0000093	El005G270280	AT2G05400.3
OG0000093	El004G202240, El004G202270	AT3G58250.1
OG0000093	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230	AT2G05410.2
OG0000093	El001G029840	AT3G58270.1
OG0000093	El001G029800, El007G352040	AT3G58210.1
OG0000096	El004G205300	AT1G57850.1
OG0000096	El001G038380	AT2G03030.1, AT2G03300.1
OG0000096	El004G205890, El004G205920, El004G205830, El004G205860, El004G205880, El004G205870, El004G205260, El004G205840, El007G356380	AT1G57670.1
OG0000096	El007G361830	AT5G44900.1
OG0000096	El007G362860	AT5G45220.1
OG0000097	El001G004470	AT4G05460.1
OG0000097	El001G004380	AT4G03635.1
OG0000097	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890	AT4G05470.1, AT4G05475.1
OG0000097	El001G004400	AT4G05497.1
OG0000098	El002G095770	AT1G12290.1
OG0000099	El004G194890, El004G195030, El004G194980	AT1G64030.1
OG0000099	El004G194950	AT1G64010.2
OG0000101	El007G349760, El004G213140, El004G201520	AT1G63870.1
OG0000101	El001G010940	AT1G63860.1
OG0000104	El002G090170	AT1G07560.1
OG0000104	El002G136420	AT1G51830.2, AT1G51850.2, AT1G51820.1
OG0000104	El002G136360	AT1G51805.1
OG0000106	El005G259530	AT3G18320.1, AT3G44120.1, AT2G07140.1, AT3G18330.1, AT3G18910.1, AT3G19410.1
OG0000106	El001G010720, El005G256190, El005G255570	AT3G18905.1
OG0000106	El005G256210, El005G255560	AT3G18980.1
OG0000106	El005G269060, El005G269030, El005G268940	AT3G25460.1
OG0000107	El006G308310	AT2G27000.1, AT2G27010.1
OG0000107	El005G257790	AT4G15380.1
OG0000107	El005G257800	AT3G20080.1
OG0000107	El005G257840	AT3G20140.1
OG0000107	El005G257830	AT3G20120.4
OG0000107	El005G257820	AT3G20110.1
OG0000107	El007G362890	AT4G15330.1
OG0000107	El005G258940	AT3G20960.2
OG0000107	El005G270120	AT2G05180.1
OG0000108	El001G053220	AT5G25290.1
OG0000108	El001G053160	AT5G25300.1
OG0000108	El001G047240	AT4G10820.1
OG0000108	El007G364310, El007G323300	AT1G27550.1, AT1G27580.1, AT1G27540.1
OG0000108	El001G009690, El006G281400	AT2G24080.1
OG0000110	El001G030790	AT3G59210.1
OG0000110	El001G030780	AT3G59200.1
OG0000110	El001G030740	AT3G59170.1, AT3G59160.1
OG0000110	El001G030750	AT4G14096.1
OG0000111	El003G187720, El001G009620, El003G183560	AT5G38590.2, AT5G38570.1, AT5G38565.1
OG0000111	El003G187730	AT5G38580.1
OG0000111	El001G025790	AT3G54910.1
OG0000112	El007G329910	AT5G36662.1, AT5G36739.1, AT5G36480.1, AT5G36320.1, AT5G36658.1, AT5G36738.1, AT5G36661.1, AT5G36440.1, AT5G36470.1, AT5G36410.1, AT5G36450.1, AT5G36420.1, AT5G36400.1, AT5G36380.1, AT5G36350.1, AT5G36550.1, AT5G36310.1, AT5G36340.1, AT5G36330.1, AT5G36540.1, AT5G36520.1, AT5G36500.1, AT5G36490.1, AT5G36390.1, AT5G36460.1, AT5G36360.1, AT5G36430.1, AT5G36370.1, AT3G42565.1, AT4G09545.1, AT5G42895.1, AT5G36659.1, AT5G44495.1, AT5G36657.1
OG0000112	El007G342990	AT5G51105.1
OG0000113	El007G365010	AT4G04110.1
OG0000113	El002G128690	AT1G57630.1
OG0000114	El004G213600	AT1G69550.1
OG0000114	El001G070430	AT5G11250.2
OG0000114	El004G206200, El004G206180, El004G205940, El004G206220	AT1G57650.1
OG0000114	El003G187140	AT5G38340.1
OG0000118	El001G001700, El001G001530	AT4G01380.1
OG0000118	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930	AT3G53330.1
OG0000119	El005G265760, El001G013130, El007G355930	AT1G52603.1
OG0000120	El004G200260	AT1G60920.1
OG0000120	El007G345250, El007G346140, El006G307860	AT5G49490.1, AT5G38620.1, AT5G49420.1
OG0000120	El001G077920	AT5G04640.1
OG0000123	El002G113800	AT1G28170.1
OG0000123	El001G013920	AT3G51210.1
OG0000124	El005G272110	AT3G09510.1
OG0000124	El005G255280	AT3G23320.1
OG0000124	El001G053440	AT5G44470.1
OG0000124	El005G257490	AT2G11205.1
OG0000124	El006G297400, El006G297570, El004G206660, El006G307600, El001G057860	AT1G27870.1, AT1G77815.1
OG0000124	El004G224160, El007G349980	AT2G04420.1, AT1G50160.1
OG0000124	El001G050120, El001G069630	AT3G25270.1
OG0000125	El001G024280	AT3G53650.1
OG0000125	El006G292880	AT2G37470.1
OG0000125	El001G080460	AT5G02570.1
OG0000125	El002G090450	AT1G07790.1
OG0000125	El001G057350	AT5G22880.1
OG0000125	El001G015040	AT3G45980.1
OG0000125	El007G331030	AT5G59910.1
OG0000125	El001G015130	AT3G46030.1
OG0000125	El006G304720	AT2G28720.1
OG0000127	El005G244320	AT3G09140.1
OG0000127	El001G001730	AT3G09110.1, AT3G09120.1, AT1G11145.1
OG0000128	El007G350650	AT5G48050.1
OG0000131	El006G311530	AT4G05555.1, AT1G36970.1, AT3G31560.1, AT1G31960.1, AT2G07280.1
OG0000132	El005G264200	AT1G14800.1
OG0000133	El005G265050	AT4G03728.1
OG0000135	El007G346110	AT1G43730.1, AT5G16486.1, AT2G02520.1, AT4G05095.1, AT3G25727.1, AT4G04650.1
OG0000135	El004G202160	AT1G34440.1
OG0000136	El004G215940	AT1G66610.1
OG0000136	El007G327820	AT5G62800.1
OG0000138	El001G050920	AT5G61160.1
OG0000138	El001G045840	AT3G29635.1
OG0000138	El001G045810, El001G045830	AT3G29670.1
OG0000140	El001G016150	AT3G46850.1, AT3G46840.1
OG0000140	El007G331970	AT5G59100.1
OG0000140	El007G332020	AT5G59130.4
OG0000140	El007G332560	AT5G58830.1
OG0000140	El007G332570	AT5G58820.1
OG0000140	El007G332540	AT5G58840.1
OG0000140	El007G332010, El007G332000	AT5G59090.1, AT5G59120.1
OG0000142	El006G303740, El006G303770	AT2G29330.1
OG0000142	El001G049820, El006G303750	AT2G29340.1
OG0000142	El006G303780	AT2G29320.1, AT2G29300.2
OG0000142	El006G303760, El006G303820	AT2G29170.1
OG0000142	El006G301970, El006G301960	AT2G30670.1
OG0000146	El007G336800	AT5G55370.1
OG0000146	El007G336790	AT5G55380.1
OG0000146	El007G336850	AT5G55340.1
OG0000146	El007G336810	AT5G55360.1
OG0000146	El007G336820	AT5G55350.1
OG0000146	El002G123070	AT1G34490.1, AT1G34520.1
OG0000146	El007G336890	AT5G55320.1
OG0000147	El005G277400	AT2G18960.1
OG0000147	El003G152940	AT4G30190.2
OG0000147	El007G334350	AT5G57350.1
OG0000147	El004G233720	AT1G80660.1
OG0000147	El001G047010	AT3G42640.1
OG0000147	El005G271430	AT2G07560.1
OG0000147	El006G316840	AT2G24520.2
OG0000149	El001G015560	AT3G46350.1
OG0000150	El006G312870, El001G014430	AT3G45525.1
OG0000150	El006G312840, El006G312880	AT2G26135.1
OG0000150	El006G312950, El006G312930	AT2G26130.1
OG0000150	El001G011280	AT3G45540.1
OG0000150	El001G014390, El001G014400	AT3G45460.1
OG0000151	El007G339860	AT5G53300.1
OG0000151	El003G156070	AT4G27960.2
OG0000151	El005G243780	AT3G08690.1
OG0000151	El005G243790	AT3G08700.1
OG0000151	El005G273960	AT2G16740.1
OG0000151	El007G336000	AT5G56150.1
OG0000151	El003G193180	AT5G41700.4
OG0000152	El003G177030	AT4G03740.1
OG0000154	El005G244620	AT3G09440.1
OG0000154	El004G209500	AT5G02490.1
OG0000155	El004G214530, El004G213730, El004G214590	AT1G65800.1, AT1G65790.1
OG0000155	El003G164690	AT4G21380.1
OG0000155	El005G247790	AT3G12000.1
OG0000156	El006G282870	AT1G33730.1
OG0000156	El006G282820, El007G349010	AT2G45570.1
OG0000156	El006G282860	AT2G45560.1
OG0000156	El002G121590	AT1G33720.1
OG0000156	El001G032920	AT3G61040.1
OG0000157	El005G265510, El005G265480, El005G265460, El005G265550	AT3G25090.1, AT3G23685.1
OG0000157	El005G238850	AT3G23680.1
OG0000157	El003G192550	AT5G41490.1
OG0000157	El003G192860	AT2G38590.1
OG0000162	El001G032190	AT3G60470.1
OG0000162	El007G330500	AT1G67150.2, AT1G65985.1
OG0000162	El006G283560, El006G283550	AT2G44930.1
OG0000164	El003G154300	AT4G29370.1
OG0000164	El003G143330	AT4G39760.1
OG0000164	El003G166760, El003G166780	AT4G19330.1
OG0000164	El003G143310	AT4G39753.1
OG0000164	El003G186050, El001G048320	AT5G28160.1, AT5G28180.1
OG0000164	El003G143320	AT4G39756.1
OG0000166	El003G188790, El003G188850, El001G012590, El002G131550	AT4G29090.1
OG0000166	El001G032810, El001G080610, El004G229180	AT5G42965.1, AT5G38920.1
OG0000167	El003G166330	AT4G19590.2
OG0000167	El003G182660, El003G182640	AT4G19580.1
OG0000167	El003G166350	AT4G19570.1
OG0000167	El003G186120	AT5G37440.1, AT5G37750.1
OG0000169	El004G226750	AT1G74190.1
OG0000171	El004G222060, El002G108810	AT1G70490.1, AT1G23490.1
OG0000171	El004G201030	AT1G10630.1
OG0000171	El001G066810	AT5G14670.1
OG0000172	El001G065760	AT5G15620.1
OG0000172	El001G024870, El001G024880	AT3G62430.1, AT3G54160.1
OG0000172	El001G034730	AT3G62440.1
OG0000172	El001G030560	AT3G58960.1
OG0000175	El001G021550	AT3G51300.1
OG0000175	El004G228610	AT1G75840.1
OG0000175	El002G104420	AT1G20090.1
OG0000175	El003G147420	AT4G35020.1
OG0000175	El003G146230	AT4G35950.1
OG0000178	El001G047610	AT5G42905.1
OG0000180	El004G196870, El004G196830, El007G342850	AT3G62850.1
OG0000183	El002G109930, El002G097230, El003G174400, El002G139010	AT5G59060.1
OG0000183	El007G358990, El005G263830	AT5G18880.1
OG0000189	El005G268020	AT2G14288.1
OG0000189	El005G267970	AT3G24610.1
OG0000190	El001G005540	AT4G04490.1
OG0000190	El001G005520	AT4G04510.2
OG0000190	El001G005530	AT4G04500.1
OG0000190	El001G005500	AT4G04570.1
OG0000190	El001G005510	AT4G04540.1
OG0000191	El005G274440, El005G274460, El005G274720	AT2G17310.1
OG0000192	El002G105680	AT1G21270.1
OG0000192	El002G105570	AT1G21210.1
OG0000192	El002G105580	AT1G21245.1
OG0000192	El002G105610	AT1G21230.1
OG0000192	El002G105620	AT1G21240.1
OG0000192	El002G105690	AT1G21250.1
OG0000193	El006G309730	AT3G23260.1
OG0000193	El002G132160, El002G132130, El005G259240	AT3G21170.1
OG0000195	El006G308260	AT2G27030.3
OG0000195	El006G288320, El001G028150	AT2G41110.2
OG0000195	El003G186220, El004G215670	AT5G37780.3, AT1G66410.2
OG0000196	El002G116380	AT1G30170.1
OG0000197	El003G193160	AT5G41690.1
OG0000197	El003G184300, El002G120020, El003G191670	AT3G10845.1
OG0000200	El002G119250	AT1G32030.1
OG0000200	El004G214290	AT1G05930.1
OG0000200	El004G202190	AT3G49610.1
OG0000200	El003G187150, El003G187490, El001G041980, El003G187480, El003G180990	AT5G38490.1, AT5G38500.1
OG0000201	El005G260650	AT4G20600.1, AT4G20580.1, AT4G20620.1, AT4G20670.1, AT4G20610.1, AT4G20640.1, AT4G20590.1, AT4G20630.1, AT4G20530.1, AT4G20645.1, AT4G20560.1, AT4G20540.1, AT4G20550.1, AT4G20570.1, AT3G21990.1
OG0000201	El005G260660	AT3G22000.1, AT4G20680.1
OG0000201	El005G260680, El005G260670	AT3G22010.1
OG0000201	El005G260820	AT3G22020.1
OG0000202	El001G009350	AT3G17500.1
OG0000202	El005G254420	AT3G17480.1
OG0000202	El005G261630	AT3G23633.1, AT3G22730.1
OG0000203	El005G239360, El005G239320, El005G239280, El007G349670	AT2G13630.1, AT3G04660.1
OG0000203	El003G153180	AT4G29970.1
OG0000204	El005G243840	AT3G08750.1
OG0000204	El005G241010	AT3G10430.1
OG0000204	El001G005350	AT4G04690.1
OG0000204	El002G082910, El002G082880	AT1G77650.1
OG0000204	El005G261570	AT3G22650.2
OG0000204	El005G259630	AT3G21410.1
OG0000205	El005G273080	AT2G16450.1, AT2G15640.1
OG0000205	El002G129620	AT1G47350.1
OG0000205	El002G129730, El002G129760, El002G129780, El002G129740, El002G129710	AT1G47340.1
OG0000205	El002G129530, El002G129560, El002G129650, El002G129890, El002G129930, El002G129520, El002G129550, El002G129510	AT1G47300.1
OG0000207	El004G232160	AT1G78760.1
OG0000207	El002G100990	AT1G16940.1
OG0000208	El002G130530, El002G130520	AT1G47620.1
OG0000208	El006G317590	AT4G39500.2
OG0000208	El003G150670	AT4G32170.1
OG0000208	El003G143000	AT4G39510.1
OG0000209	El004G207340	AT1G64255.1
OG0000210	El005G269840, El005G269890	AT2G04810.1, AT2G04840.1
OG0000210	El005G269850	AT2G04830.1
OG0000210	El001G069350	AT5G38270.1
OG0000210	El006G297290, El006G297480, El006G298870	AT2G33200.1
OG0000213	El004G225470	AT5G36180.1, AT1G73300.1
OG0000213	El004G225480	AT1G73310.1
OG0000213	El005G245790	AT3G10450.1
OG0000213	El006G319110	AT2G22980.4
OG0000213	El006G319120	AT2G22970.3, AT2G22920.2
OG0000213	El006G319100	AT2G23000.1
OG0000213	El006G319080	AT2G22990.3, AT2G23010.1
OG0000214	El001G033600	AT1G65180.1, AT1G69150.1, AT3G43890.1
OG0000214	El001G007470	AT4G11550.1
OG0000214	El006G314950	AT4G11390.2
OG0000216	El003G163460, El003G163490	AT4G22035.1
OG0000217	El004G203150, El004G202950	AT1G58848.1, AT1G59218.1, AT1G58807.1, AT1G59124.2, AT1G58602.1
OG0000217	El004G203070	AT1G58390.1
OG0000218	El002G099000	AT1G14930.1, AT1G14940.1
OG0000218	El002G099030, El002G099010	AT1G14950.1
OG0000218	El002G099020	AT1G14960.1
OG0000218	El001G040840, El001G040850	AT3G26450.1, AT3G26460.1
OG0000218	El001G036390	AT2G01520.1
OG0000219	El004G216370	AT1G66870.2, AT1G66852.1, AT4G16165.1, AT1G66855.1
OG0000219	El007G327350	AT5G63230.1, AT5G63225.1
OG0000219	El007G339360	AT5G53600.1, AT5G53610.1
OG0000220	El004G196230	AT1G61840.1
OG0000220	El004G208200	AT5G46660.1
OG0000220	El001G037770	AT2G02610.1, AT2G02640.1, AT2G02620.1, AT2G02700.1, AT2G02690.1, AT2G02680.1, AT2G02630.1
OG0000224	El004G230600	AT1G77530.1
OG0000224	El004G230590	AT1G77520.1
OG0000224	El005G267900	AT5G37170.1
OG0000225	El002G115560	AT1G29450.1
OG0000225	El002G115460	AT1G29440.1, AT5G27780.1, AT1G29430.1
OG0000225	El002G115450	AT1G29420.2
OG0000225	El002G115510	AT1G29460.2
OG0000226	El002G084730	AT1G02770.1
OG0000226	El005G257020	AT3G19520.3
OG0000226	El003G167740, El003G167670, El003G167790	AT1G23960.1
OG0000228	El001G048760	AT5G28000.1
OG0000228	El004G222650	AT1G70890.1
OG0000228	El004G222500	AT1G70840.1
OG0000229	El003G153420	AT4G29760.1, AT5G18065.1, AT5G18040.1, AT4G29770.2
OG0000229	El002G136110, El002G136100, El002G136060, El002G136090, El001G062630, El002G136050	AT1G48180.1, AT1G51670.1
OG0000230	El004G228600, El004G228560	AT1G75830.1
OG0000231	El003G188200	AT5G38690.1
OG0000232	El005G272620	AT2G15042.1
OG0000234	El001G026000	AT3G55110.1
OG0000234	El001G025990	AT3G55100.1
OG0000234	El001G025980	AT3G55090.1
OG0000234	El006G290620	AT2G39350.1
OG0000234	El001G068080	AT5G13580.1
OG0000235	El002G130000	AT1G47390.1
OG0000237	El005G266480, El003G180350, El001G043200, El002G125730, El006G311120	AT1G42190.1
OG0000239	El006G299430	AT2G25440.1
OG0000240	El001G011020	AT1G30140.1
OG0000242	El005G272850	AT2G15390.2
OG0000242	El002G097950	AT1G14080.1
OG0000242	El002G097960	AT1G14100.1
OG0000242	El002G097970	AT1G14110.1
OG0000244	El003G163990	AT4G21860.1
OG0000244	El001G005180	AT4G04800.1
OG0000244	El003G164310	AT4G21840.1, AT4G21830.1
OG0000244	El003G164000	AT4G21850.1
OG0000244	El001G005170	AT4G04810.1
OG0000244	El001G005160	AT4G04830.1
OG0000247	El002G130240	AT5G36910.1
OG0000248	El004G205450	AT1G57790.1
OG0000248	El001G027800	AT3G56470.1
OG0000249	El001G010190, El001G010200	AT2G36790.1, AT2G36800.1
OG0000249	El001G023760	AT3G53160.1
OG0000250	El004G221440, El004G221420, El004G221410, El004G221430	AT1G70040.1
OG0000250	El004G221620, El004G221570	AT1G70120.1
OG0000250	El001G057760, El001G032560, El001G032520, El001G032550	AT3G60700.1
OG0000250	El003G189050	AT5G39330.1
OG0000252	El002G140500, El006G314500, El002G132360, El006G289160, El008G368890	AT2G45406.1
OG0000253	El005G262180, El007G351460	AT2G12880.1
OG0000254	El005G255250	AT3G18150.1
OG0000254	El002G133750, El002G133740, El002G133770, El002G133780	AT1G49610.1
OG0000254	El004G220180, El001G033560, El004G219930	AT3G03360.1
OG0000256	El001G005740	AT4G04090.1
OG0000256	El002G127370, El007G348390, El007G354980, El007G348590, El007G348510	AT5G48510.1
OG0000256	El007G348440, El007G348630, El007G348410, El007G348460	AT2G05330.1
OG0000256	El006G289100	AT2G40450.1
OG0000257	El005G269290	AT2G04115.1
OG0000257	El003G178210	AT5G39493.1
OG0000257	El003G177270, El004G233260, El003G184780	AT1G09245.1
OG0000257	El003G190500	AT3G10455.1
OG0000258	El001G040590, El001G040540	AT3G26290.2
OG0000258	El001G040630	AT3G26300.1
OG0000258	El001G040650	AT3G26310.1
OG0000258	El007G334450	AT5G57260.1
OG0000258	El001G040670	AT3G26330.1, AT3G26320.1
OG0000260	El007G349370	AT4G15070.1, AT5G48320.1
OG0000264	El001G003610	AT4G05230.1
OG0000264	El001G004650, El001G004660	AT4G05260.1
OG0000264	El001G003620	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1
OG0000265	El005G251540, El003G190960, El006G310460, El002G124910, El003G178950	AT4G03566.1
OG0000266	El006G284240	AT2G38365.1
OG0000267	El006G303900, El006G300950, El006G300970	AT2G29600.1, AT2G29800.1, AT2G29810.1, AT2G29830.1, AT2G29820.1, AT2G29860.1, AT2G29780.1, AT2G29770.1
OG0000268	El001G037050	AT2G02040.1
OG0000268	El004G198500	AT1G62200.3
OG0000268	El001G081300	AT5G01180.1
OG0000268	El001G024850	AT3G54140.1
OG0000270	El002G104230	AT1G75630.2
OG0000271	El002G111590	AT5G37640.1, AT5G03240.1, AT1G65350.1
OG0000271	El006G308350	AT4G02890.3
OG0000271	El001G004610, El001G004620	AT4G05320.2
OG0000273	El002G105290	AT5G51470.1
OG0000273	El002G132430	AT1G48660.2
OG0000274	El007G331270	AT5G59720.1
OG0000274	El002G138930	AT1G53540.1
OG0000274	El004G201760	AT1G59860.1
OG0000274	El006G303380, El006G303400	AT2G29500.1
OG0000275	El005G260440	AT3G21910.1
OG0000275	El001G046400	AT3G29050.2
OG0000275	El005G260470, El005G260460	AT3G21930.1, AT3G21920.2
OG0000276	El003G177930	AT4G13310.1, AT4G13290.1
OG0000276	El003G165590	AT4G20235.1
OG0000276	El001G054260, El001G054290	AT5G24950.1, AT5G24960.1
OG0000276	El006G301860, El005G266830	AT2G30770.1
OG0000277	El003G172500	AT4G15700.1
