Orthogroup	Erysimum_linariifolium	Raphanus_sativus
OG0000018	El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830	XP_018437387.1, XP_018473966.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018462293.1, XP_018435368.1, XP_018462063.1, XP_018454009.1, XP_018443708.1, XP_018463883.1, XP_018462647.1, XP_018435392.1, XP_018479103.1, XP_018463665.1, XP_018463095.1, XP_018479594.1, XP_018486634.1, XP_018463561.1, XP_018444645.1, XP_018460228.1, XP_018443745.1, XP_018443744.1, XP_018454082.1, XP_018464618.1, XP_018461870.1, XP_018463351.1, XP_018487902.1, XP_018460936.1, XP_018489964.1
OG0000018	El001G045850, El001G048290, El003G146330	XP_018465850.1
OG0000018	El001G077880, El004G225550	XP_018487788.1, XP_018435524.1, XP_018463527.1, XP_018454070.1, XP_018459374.1, XP_018442989.1, XP_018473906.1, XP_018479172.1, XP_018473760.1, XP_018465161.1, XP_018477832.1, XP_018436350.1, XP_018435707.1, XP_018435708.1, XP_018480047.1, XP_018489333.1, XP_018490274.1, XP_018479751.1, XP_018469035.1, XP_018481163.1, XP_018436132.1, XP_018464713.1, XP_018465008.1, XP_018457861.1, XP_018462470.1, XP_018448883.1, XP_018454217.1, XP_018448606.1, XP_018448885.1, XP_018463040.1, XP_018454208.1, XP_018460929.1, XP_018459042.1, XP_018461247.1, XP_018488201.1, XP_018462856.1, XP_018458112.1, XP_018442987.1, XP_018464922.1, XP_018458110.1, XP_018462516.1, XP_018454216.1, XP_018475052.1
OG0000019	El002G122780, El006G281410, El004G213790	XP_018475002.1
OG0000020	El003G191190, El002G120700, El006G296260	XP_018482431.1
OG0000020	El005G264160	XP_018459344.1
OG0000020	El001G045320, El004G206630	XP_018487698.1
OG0000021	El007G346120, El007G348120	XP_018473849.1
OG0000021	El001G064400	XP_018461971.1, XP_018467689.1, XP_018453433.1, XP_018453884.1
OG0000021	El001G063330, El006G289540	XP_018435394.1
OG0000021	El005G277430, El007G325630	XP_018443605.1, XP_018443313.1, XP_018443314.1, XP_018435962.1, XP_018436465.1, XP_018473666.1, XP_018448333.1, XP_018448335.1
OG0000023	El007G357800	XP_018483533.1, XP_018478194.1
OG0000023	El001G012210	XP_018458837.1, XP_018459041.1
OG0000023	El003G162170	XP_018448922.1, XP_018448923.1
OG0000023	El003G162000	XP_018468502.1
OG0000023	El003G162130	XP_018439285.1
OG0000025	El003G190320, El007G338170, El007G338190, El007G338230, El007G338200	XP_018469501.1, XP_018466603.1, XP_018466641.1, XP_018466593.1, XP_018466632.1, XP_018474189.1, XP_018474190.1
OG0000025	El007G339540, El007G339570	XP_018454205.1, XP_018455496.1
OG0000025	El007G342390, El007G340950	XP_018475791.1, XP_018475795.1
OG0000026	El003G183480	XP_018453000.1, XP_018457945.1
OG0000026	El007G356660	XP_018487867.1, XP_018443466.1, XP_018463331.1, XP_018480029.1, XP_018487802.1, XP_018476186.1, XP_018475511.1, XP_018475505.1, XP_018435267.1
OG0000027	El002G120570, El001G054130, El006G316890, El006G314010	XP_018467451.1, XP_018458976.1
OG0000027	El002G117730	XP_018448575.1, XP_018448576.1
OG0000027	El002G117790, El002G117690, El002G117760, El002G117870, El002G117820	XP_018436387.1
OG0000027	El001G029050, El001G025570	XP_018487153.1
OG0000028	El004G212000, El004G211990, El007G348580, El007G334290, El007G365340, El007G351990	XP_018463159.1
OG0000028	El001G018960, El002G114660, El007G326060	XP_018477751.1
OG0000029	El007G359550	XP_018479181.1
OG0000029	El006G302870, El002G125750, El008G368530	XP_018476055.1
OG0000030	El001G014970	XP_018459297.1
OG0000030	El003G181950	XP_018453843.1
OG0000030	El007G346180	XP_018475164.1, XP_018436040.1
OG0000030	El003G181960	XP_018467507.1, XP_018433578.1
OG0000030	El003G178390, El003G178450	XP_018459876.1
OG0000031	El004G197790, El004G197660	XP_018452507.1
OG0000031	El003G192370	XP_018478989.1
OG0000031	El005G253470	XP_018437843.1
OG0000031	El003G157520	XP_018467852.1
OG0000031	El002G127940, El004G193990	XP_018493478.1, XP_018487942.1
OG0000033	El003G162140, El003G162150	XP_018468503.1, XP_018483350.1
OG0000033	El003G162160	XP_018448926.1, XP_018448925.1
OG0000033	El003G164670	XP_018484118.1, XP_018484117.1
OG0000033	El005G273190	XP_018460473.1
OG0000033	El003G162180	XP_018483344.1
OG0000033	El001G014890	XP_018467730.1
OG0000033	El001G012200	XP_018486703.1, XP_018459753.1
OG0000033	El001G004730	XP_018455051.1, XP_018454979.1
OG0000034	El003G154390, El001G040620, El004G214030	XP_018464091.1
OG0000034	El002G126180	XP_018467470.1, XP_018453140.1, XP_018459051.1, XP_018458593.1, XP_018465439.1
OG0000034	El003G149900, El001G048010	XP_018475335.1, XP_018458668.1
OG0000035	El001G043940	XP_018477265.1, XP_018479871.1, XP_018478113.1, XP_018490100.1, XP_018479796.1, XP_018479876.1, XP_018481942.1, XP_018484946.1, XP_018481878.1, XP_018484944.1, XP_018484945.1, XP_018465213.1, XP_018477245.1, XP_018484943.1, XP_018484942.1, XP_018477397.1, XP_018482068.1
OG0000036	El006G311410, El002G122040, El002G126960	XP_018458116.1, XP_018459170.1, XP_018453759.1, XP_018480044.1, XP_018462577.1, XP_018462557.1, XP_018487916.1, XP_018473917.1, XP_018473916.1, XP_018458133.1, XP_018464464.1
OG0000037	El001G053830	XP_018453786.1
OG0000037	El003G180470	XP_018460335.1
OG0000037	El005G260860	XP_018487887.1
OG0000038	El006G281890, El006G282510	XP_018459725.1
OG0000038	El006G282520	XP_018479936.1, XP_018479937.1
OG0000039	El001G017740, El007G346690	XP_018435591.1, XP_018435994.1
OG0000040	El005G250180	XP_018435375.1, XP_018435378.1, XP_018435374.1, XP_018435377.1, XP_018481681.1, XP_018480537.1, XP_018481495.1, XP_018482202.1, XP_018471303.1, XP_018479916.1
OG0000040	El005G257710	XP_018488539.1
OG0000040	El005G257410	XP_018481995.1, XP_018492454.1
OG0000041	El004G204870, El005G265750, El007G355940, El001G013140, El002G131060	XP_018461685.1
OG0000042	El001G058460	XP_018448764.1, XP_018454006.1
OG0000042	El003G192700	XP_018458169.1, XP_018474020.1, XP_018453898.1, XP_018479218.1
OG0000042	El004G194460, El007G344540, El005G265850	XP_018443419.1
OG0000043	El007G350700	XP_018453717.1, XP_018462015.1, XP_018466277.1, XP_018487763.1, XP_018465510.1, XP_018464496.1, XP_018487733.1, XP_018436134.1
OG0000044	El006G308910, El006G308940	XP_018464201.1, XP_018439588.1, XP_018463079.1, XP_018479642.1, XP_018462758.1, XP_018453591.1, XP_018461875.1, XP_018457142.1
OG0000044	El007G360870	XP_018461269.1
OG0000045	El005G249570, El003G188840, El005G264730	XP_018487726.1, XP_018463620.1, XP_018443707.1, XP_018435482.1, XP_018467340.1, XP_018462035.1
OG0000045	El004G208130	XP_018459816.1, XP_018466560.1, XP_018453952.1, XP_018435496.1, XP_018467329.1
OG0000045	El006G320830	XP_018453825.1
OG0000046	El003G188710	XP_018481217.1, XP_018479313.1, XP_018462609.1, XP_018464676.1, XP_018481866.1
OG0000046	El003G186960, El003G186970	XP_018479670.1
OG0000046	El003G168460	XP_018444697.1, XP_018444687.1
OG0000046	El004G216670	XP_018461745.1
OG0000046	El004G216790	XP_018470308.1
OG0000046	El004G216850, El004G216660	XP_018442725.1, XP_018469869.1, XP_018469866.1
OG0000046	El004G216560, El004G216600	XP_018442727.1, XP_018444185.1
OG0000046	El004G216520	XP_018466796.1, XP_018470309.1
OG0000046	El004G216760	XP_018461735.1, XP_018467421.1
OG0000046	El003G186890	XP_018461818.1, XP_018458891.1, XP_018463906.1
OG0000046	El003G186880, El003G186940	XP_018483048.1, XP_018483050.1
OG0000047	El004G204540, El001G049540, El007G364690	XP_018453861.1, XP_018448851.1
OG0000052	El007G364450, El002G116290	XP_018493126.1
OG0000052	El006G286630	XP_018473990.1, XP_018465828.1
OG0000052	El006G286580	XP_018436441.1, XP_018436438.1, XP_018436547.1, XP_018436548.1, XP_018436545.1, XP_018436546.1
OG0000055	El001G016330, El001G016310, El001G016300	XP_018435121.1
OG0000056	El003G171800, El004G200570	XP_018453574.1
OG0000057	El005G254800	XP_018489423.1, XP_018464956.1
OG0000057	El003G184060	XP_018488227.1
OG0000058	El007G341960	XP_018473761.1
OG0000061	El006G308960, El006G308930, El002G121930	XP_018436245.1
OG0000062	El003G186180, El004G203440, El004G203430	XP_018458399.1, XP_018460589.1
OG0000062	El007G346680, El005G263100	XP_018463117.1, XP_018457144.1, XP_018438213.1, XP_018462782.1, XP_018443697.1
OG0000062	El001G054390	XP_018482195.1
OG0000064	El003G142390	XP_018480217.1
OG0000064	El004G232110, El008G368860	XP_018472219.1
OG0000065	El002G116640, El002G116630	XP_018459982.1
OG0000065	El003G166430, El007G349160	XP_018479575.1, XP_018435745.1, XP_018462838.1
OG0000066	El007G324780	XP_018448990.1, XP_018470662.1, XP_018433979.1, XP_018439713.1, XP_018448989.1, XP_018470661.1, XP_018456938.1, XP_018445234.1, XP_018456939.1
OG0000067	El001G050000	XP_018465626.1, XP_018474335.1, XP_018472777.1, XP_018446006.1, XP_018442366.1, XP_018444607.1, XP_018443375.1, XP_018442371.1, XP_018442368.1
OG0000067	El005G274450, El007G348170	XP_018452236.1, XP_018479852.1, XP_018451190.1, XP_018451192.1, XP_018433875.1, XP_018433855.1, XP_018433874.1, XP_018433854.1
OG0000067	El001G059350	XP_018474857.1, XP_018475140.1, XP_018472752.1, XP_018472753.1, XP_018487690.1, XP_018448422.1, XP_018475216.1
OG0000069	El004G215380, El003G183250	XP_018460517.1, XP_018487855.1
OG0000070	El007G351470	XP_018487708.1
OG0000071	El002G129500	XP_018453762.1
OG0000071	El003G186380	XP_018443565.1, XP_018474012.1
OG0000071	El003G161900, El007G348480, El004G223960, El004G222550	XP_018479267.1, XP_018491450.1, XP_018458036.1
OG0000071	El002G129540	XP_018470067.1, XP_018436268.1, XP_018448228.1, XP_018448227.1, XP_018433853.1, XP_018467032.1, XP_018479497.1, XP_018448462.1, XP_018433530.1, XP_018439490.1
OG0000071	El003G186390, El001G051200, El006G305000	XP_018435770.1
OG0000072	El003G180720	XP_018487761.1, XP_018464035.1, XP_018463274.1, XP_018466706.1, XP_018448709.1, XP_018481855.1, XP_018481572.1, XP_018459917.1, XP_018454380.1, XP_018477453.1
OG0000073	El002G132380	XP_018460032.1
OG0000073	El007G355990	XP_018448890.1
OG0000073	El007G365480	XP_018454138.1, XP_018465769.1
OG0000074	El002G108920	XP_018434385.1
OG0000074	El002G109030	XP_018484078.1
OG0000074	El002G108840	XP_018475190.1, XP_018463580.1, XP_018442248.1, XP_018474776.1, XP_018483556.1, XP_018449779.1, XP_018449780.1
OG0000075	El001G065030, El001G025110	XP_018448172.1, XP_018442633.1, XP_018479680.1
OG0000076	El001G018730, El001G018680, El001G018720, El001G018710, El001G018740, El007G346890	XP_018493248.1
OG0000076	El001G023120	XP_018454062.1
OG0000076	El001G023080	XP_018436949.1, XP_018440340.1, XP_018440341.1
OG0000076	El001G041500, El001G041490	XP_018479392.1, XP_018481202.1, XP_018479394.1, XP_018479395.1
OG0000077	El003G143080	XP_018482469.1
OG0000077	El003G143050, El006G313810, El003G143040	XP_018468037.1, XP_018471019.1, XP_018467919.1, XP_018459482.1
OG0000077	El003G143090	XP_018459483.1, XP_018481197.1
OG0000078	El008G368270, El008G368260	XP_018462224.1, XP_018463013.1, XP_018464185.1, XP_018438837.1, XP_018462373.1, XP_018459132.1, XP_018482546.1, XP_018459131.1, XP_018482527.1, XP_018438608.1, XP_018462371.1, XP_018459049.1, XP_018461378.1, XP_018461038.1, XP_018450716.1, XP_018466255.1, XP_018459043.1, XP_018461034.1, XP_018437386.1, XP_018446222.1, XP_018443582.1, XP_018450345.1, XP_018490507.1, XP_018487390.1, XP_018448613.1, XP_018435333.1, XP_018443586.1, XP_018479536.1, XP_018479534.1, XP_018461540.1
OG0000079	El005G237320, El005G272390, El005G237310	XP_018436791.1
OG0000080	El002G131320, El002G131270	XP_018463136.1, XP_018463514.1
OG0000080	El001G043770, El001G041340	XP_018467401.1
OG0000081	El004G231800, El001G044440	XP_018463804.1, XP_018474145.1, XP_018463803.1, XP_018475963.1
OG0000081	El006G319750	XP_018474116.1, XP_018450098.1
OG0000081	El006G304570	XP_018488107.1
OG0000082	El004G212430	XP_018464493.1, XP_018462716.1, XP_018471786.1, XP_018458065.1, XP_018460856.1, XP_018459743.1, XP_018486502.1, XP_018461311.1, XP_018479409.1, XP_018462908.1, XP_018458822.1, XP_018473810.1, XP_018476184.1, XP_018467767.1, XP_018453617.1, XP_018443682.1
OG0000083	El007G352220, El007G352210	XP_018483205.1
OG0000083	El005G265380	XP_018462245.1, XP_018460689.1
OG0000083	El004G223260	XP_018470628.1, XP_018464981.1
OG0000083	El005G271260, El005G271250, El005G271160, El005G265390	XP_018461554.1
OG0000083	El006G317480, El006G317520, El006G317460, El006G317530	XP_018435298.1
OG0000083	El006G317470, El006G317450, El006G313440	XP_018440112.1
OG0000084	El006G313950	XP_018458817.1
OG0000084	El006G316420	XP_018478874.1, XP_018478409.1
OG0000084	El006G316360, El006G316460, El006G316430, El006G316470, El006G316370, El006G316400	XP_018479773.1, XP_018464217.1, XP_018479774.1
OG0000085	El005G263080	XP_018480059.1
OG0000086	El002G123600, El004G210560	XP_018459460.1, XP_018459458.1, XP_018459461.1, XP_018459459.1, XP_018458874.1, XP_018458876.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1
OG0000087	El001G056180	XP_018477697.1, XP_018484582.1
OG0000087	El006G303330	XP_018440871.1
OG0000087	El007G327940	XP_018492627.1, XP_018440532.1
OG0000087	El001G069260	XP_018446020.1
OG0000087	El006G296420	XP_018434101.1
OG0000087	El007G360740	XP_018439894.1, XP_018457306.1, XP_018456689.1, XP_018483831.1
OG0000087	El003G165170	XP_018451489.1, XP_018470360.1, XP_018484782.1
OG0000087	El004G228430	XP_018463490.1, XP_018446239.1
OG0000088	El007G357210	XP_018483277.1, XP_018482085.1
OG0000088	El005G272530, El001G013580, El007G349190, El001G013550, El001G013530, El001G013500, El001G013370, El001G013590, El001G013380, El001G013440, El001G013460, El001G013600, El001G013480, El001G013570, El001G013430, El001G017030, El001G017000, El001G017090, El001G017020, El001G017060	XP_018436103.1
OG0000088	El001G017080, El001G013450, El001G013470	XP_018476976.1
OG0000088	El001G016470	XP_018440736.1
OG0000088	El001G059590	XP_018474898.1, XP_018446823.1
OG0000089	El001G072250	XP_018476330.1, XP_018445204.1, XP_018471220.1
OG0000089	El002G120830	XP_018439577.1, XP_018439439.1
OG0000089	El002G133200	XP_018440679.1, XP_018492660.1, XP_018492579.1
OG0000089	El007G331780, El001G015710	XP_018473557.1
OG0000090	El002G104490, El003G181590	XP_018435343.1
OG0000090	El004G228750	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000090	El002G093200	XP_018439895.1
OG0000093	El002G128830	XP_018444347.1, XP_018444560.1, XP_018444372.1, XP_018444331.1
OG0000093	El005G270280	XP_018464228.1, XP_018461594.1, XP_018460536.1, XP_018449905.1
OG0000093	El001G029880	XP_018446270.1, XP_018444360.1, XP_018444506.1
OG0000093	El001G029840	XP_018444359.1
OG0000096	El004G205300	XP_018438135.1
OG0000096	El007G362690	XP_018472848.1
OG0000096	El007G362760	XP_018483784.1
OG0000097	El001G004470	XP_018451515.1, XP_018489433.1, XP_018486669.1, XP_018486652.1, XP_018474049.1
OG0000097	El001G004400	XP_018478798.1
OG0000098	El002G095770	XP_018485467.1
OG0000099	El004G194870, El001G011990, El004G194960, El004G194830, El004G194970, El004G204720, El004G194880, El004G194860, El006G303000, El004G214950, El004G214930	XP_018464864.1, XP_018455373.1
OG0000099	El004G194890, El004G195030, El004G194980	XP_018491773.1
OG0000100	El004G206690, El006G309850, El007G331570, El004G203680, El006G309780, El001G004640, El001G030520, El001G030510	XP_018448551.1
OG0000101	El004G195800, El001G010940	XP_018453994.1
OG0000101	El007G356350	XP_018454261.1, XP_018454271.1
OG0000101	El004G201590	XP_018454733.1, XP_018453995.1
OG0000102	El006G302470	XP_018487874.1
OG0000104	El002G090170	XP_018487612.1, XP_018493580.1
OG0000104	El006G304210	XP_018478791.1, XP_018437245.1, XP_018462942.1
OG0000104	El002G136360	XP_018476295.1
OG0000105	El027G373450	XP_018461688.1, XP_018443677.1, XP_018479564.1, XP_018454015.1, XP_018487712.1, XP_018453668.1, XP_018479474.1, XP_018435942.1, XP_018475304.1, XP_018466568.1, XP_018465550.1, XP_018473967.1, XP_018473746.1, XP_018459726.1, XP_018465971.1, XP_018461647.1, XP_018453542.1, XP_018480079.1, XP_018443243.1, XP_018475554.1, XP_018435983.1, XP_018479435.1, XP_018435925.1, XP_018479248.1, XP_018459842.1, XP_018464394.1, XP_018435797.1, XP_018480201.1, XP_018453524.1, XP_018460071.1
OG0000106	El001G010720, El005G256190, El005G255570	XP_018435460.1, XP_018466022.1
OG0000107	El006G308310	XP_018474063.1, XP_018435236.1
OG0000107	El005G257790, El005G257800	XP_018489629.1, XP_018489727.1, XP_018488234.1, XP_018486234.1
OG0000107	El005G257780, El005G257770	XP_018486571.1, XP_018467025.1
OG0000107	El003G184930, El003G187830, El007G362890	XP_018437231.1
OG0000107	El001G039680, El005G258940, El005G270120	XP_018440339.1, XP_018435080.1, XP_018436775.1
OG0000108	El001G047240	XP_018482705.1
OG0000108	El007G364310, El007G323300, El001G009690, El006G281400	XP_018477065.1
OG0000108	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550	XP_018443647.1, XP_018461538.1, XP_018467732.1
OG0000109	El001G018880	XP_018474003.1
OG0000110	El001G030790	XP_018459995.1
OG0000110	El001G030780	XP_018489183.1, XP_018442568.1, XP_018459990.1
OG0000110	El001G030750	XP_018487764.1, XP_018461995.1
OG0000111	El003G187720, El001G009620, El003G183560	XP_018492037.1
OG0000111	El003G187730	XP_018474558.1
OG0000111	El001G025790	XP_018490205.1, XP_018490414.1, XP_018489158.1, XP_018464835.1, XP_018486610.1, XP_018465554.1, XP_018465557.1, XP_018489931.1
OG0000112	El007G342990	XP_018474157.1, XP_018435960.1, XP_018435443.1, XP_018474158.1
OG0000113	El004G207200	XP_018464844.1
OG0000113	El007G357330, El050G375440, El007G365010, El007G356050	XP_018437703.1
OG0000113	El003G170190	XP_018449080.1
OG0000113	El002G128690	XP_018448388.1
OG0000114	El004G206200, El004G206180, El004G205940, El004G206220	XP_018438960.1, XP_018438956.1, XP_018438959.1
OG0000115	El007G324900, El006G289920, El006G285120, El004G201560, El001G079750, El001G046700	XP_018465227.1, XP_018433425.1, XP_018440662.1, XP_018465706.1, XP_018479677.1, XP_018448624.1, XP_018455355.1, XP_018473872.1, XP_018486622.1, XP_018486853.1, XP_018449849.1, XP_018490276.1, XP_018443630.1, XP_018466281.1, XP_018472887.1, XP_018479969.1, XP_018482262.1, XP_018474160.1, XP_018471352.1, XP_018435861.1, XP_018450442.1, XP_018460036.1
OG0000115	El002G106750, El002G138260, El007G348280	XP_018438287.1, XP_018465418.1, XP_018466357.1, XP_018436007.1, XP_018462147.1, XP_018465716.1, XP_018473855.1, XP_018469898.1, XP_018469930.1, XP_018465807.1, XP_018469934.1, XP_018466917.1, XP_018467660.1, XP_018453459.1, XP_018478423.1, XP_018465994.1
OG0000116	El006G309080, El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070	XP_018452688.1
OG0000117	El001G016830	XP_018435980.1
OG0000118	El001G001700, El001G001530	XP_018470802.1
OG0000118	El002G084120	XP_018473888.1, XP_018436418.1, XP_018479437.1
OG0000119	El005G265760, El001G013130, El007G355930	XP_018473885.1, XP_018461398.1, XP_018461214.1, XP_018443531.1, XP_018443569.1
OG0000119	El002G124220	XP_018435672.1
OG0000120	El004G200260	XP_018454192.1, XP_018454191.1, XP_018454194.1, XP_018463935.1
OG0000120	El007G345250, El007G346140, El006G307860	XP_018448805.1, XP_018448808.1, XP_018448809.1, XP_018448806.1, XP_018448804.1, XP_018461801.1, XP_018477225.1, XP_018477643.1, XP_018488001.1, XP_018477675.1, XP_018477620.1, XP_018482159.1, XP_018488288.1, XP_018490867.1, XP_018473755.1, XP_018477202.1, XP_018466466.1, XP_018442004.1, XP_018466316.1
OG0000120	El001G077920	XP_018443272.1
OG0000121	El001G079760	XP_018480197.1, XP_018479366.1, XP_018454303.1, XP_018465699.1, XP_018436448.1, XP_018479970.1, XP_018474161.1, XP_018487958.1, XP_018436366.1, XP_018443629.1, XP_018487495.1, XP_018443379.1, XP_018477054.1, XP_018436015.1, XP_018480066.1, XP_018464237.1, XP_018467304.1, XP_018464413.1, XP_018435891.1, XP_018435892.1, XP_018458063.1, XP_018479863.1, XP_018435604.1, XP_018453844.1, XP_018479738.1, XP_018465226.1
OG0000121	El004G201550, El003G176590, El007G324890	XP_018479440.1, XP_018479439.1, XP_018487529.1, XP_018466283.1, XP_018454032.1, XP_018474571.1, XP_018463345.1, XP_018460630.1, XP_018473757.1, XP_018480023.1, XP_018487831.1, XP_018467806.1
OG0000122	El007G335590, El007G335600	XP_018468941.1
OG0000123	El002G113800	XP_018449687.1, XP_018447985.1
OG0000123	El001G013920	XP_018462530.1
OG0000123	El003G177660	XP_018481885.1
OG0000124	El001G053440	XP_018464495.1
OG0000124	El005G257490, El006G297400, El006G297570, El004G206660, El006G307600, El001G057860, El004G224160, El007G349980	XP_018476031.1, XP_018453429.1, XP_018453427.1, XP_018436459.1, XP_018462836.1
OG0000124	El001G050120, El001G069630	XP_018461102.1
OG0000124	El005G241140, El004G213620	XP_018462144.1
OG0000125	El001G057350	XP_018464380.1, XP_018463483.1, XP_018442304.1
OG0000125	El006G304720	XP_018441606.1, XP_018478084.1, XP_018472875.1
OG0000127	El001G001730	XP_018469432.1, XP_018487449.1, XP_018443500.1, XP_018453450.1, XP_018453452.1, XP_018479662.1, XP_018473001.1
OG0000131	El007G346920	XP_018456273.1
OG0000132	El005G264200	XP_018465674.1, XP_018482519.1, XP_018453807.1, XP_018448437.1, XP_018475460.1, XP_018459183.1, XP_018463276.1
OG0000132	El005G264210	XP_018460820.1, XP_018461081.1, XP_018489717.1, XP_018449700.1
OG0000133	El005G265050	XP_018465827.1
OG0000133	El003G179460	XP_018462880.1, XP_018459742.1
OG0000135	El007G346110	XP_018459552.1, XP_018435351.1, XP_018456024.1, XP_018435721.1, XP_018479208.1, XP_018462974.1, XP_018479938.1, XP_018465059.1, XP_018443759.1, XP_018463941.1, XP_018464552.1, XP_018453538.1, XP_018461254.1, XP_018464610.1, XP_018479400.1, XP_018479921.1, XP_018466214.1, XP_018443541.1, XP_018448342.1, XP_018479779.1, XP_018473985.1, XP_018473984.1, XP_018479174.1, XP_018435427.1, XP_018465544.1, XP_018473683.1, XP_018487469.1
OG0000136	El003G186400, El003G186460	XP_018459689.1, XP_018465188.1
OG0000137	El002G124820, El003G184880	XP_018489729.1, XP_018444526.1, XP_018466176.1, XP_018453630.1, XP_018470137.1
OG0000137	El007G356470	XP_018458113.1
OG0000137	El003G191580	XP_018467348.1
OG0000138	El001G045840	XP_018481709.1
OG0000138	El001G045810, El001G045830	XP_018482690.1
OG0000140	El007G332020	XP_018474233.1
OG0000140	El007G332560, El007G332570, El007G332540	XP_018464951.1, XP_018465933.1, XP_018469119.1
OG0000140	El007G332010, El007G332000	XP_018455338.1
OG0000142	El006G303740, El006G303770	XP_018435128.1
OG0000142	El006G303780	XP_018475595.1, XP_018475632.1
OG0000142	El006G301970, El006G301960	XP_018480951.1
OG0000143	El003G186130	XP_018460264.1
