Orthogroup	Erysimum_linariifolium	Brassica_oleracea
OG0000011	El002G082610	XP_013632980.1, XP_013632658.1, XP_013601976.1, XP_013615145.1, XP_013639263.1, XP_013623879.1, XP_013617543.1, XP_013614955.1, XP_013607737.1
OG0000012	El002G120760	XP_013617060.1
OG0000012	El007G355770, El007G355890	XP_013631991.1, XP_013617615.1
OG0000012	El002G129160	XP_013614407.1, XP_013588965.1
OG0000013	El001G045710	XP_013588988.1, XP_013639825.1, XP_013613873.1, XP_013639384.1, XP_013624350.1, XP_013624337.1, XP_013614093.1, XP_013639725.1, XP_013623409.1, XP_013617535.1, XP_013617458.1, XP_013607647.1, XP_013608217.1, XP_013623904.1, XP_013629211.1, XP_013594639.1, XP_013594911.1, XP_013594459.1, XP_013617598.1
OG0000013	El007G350800	XP_013617899.1, XP_013607980.1, XP_013632794.1, XP_013601234.1, XP_013614771.1, XP_013601158.1, XP_013617635.1, XP_013639688.1, XP_013589021.1, XP_013601393.1, XP_013594422.1, XP_013624521.1, XP_013624704.1, XP_013601173.1, XP_013617542.1, XP_013601236.1, XP_013607981.1, XP_013608045.1, XP_013589309.1, XP_013589158.1, XP_013607890.1, XP_013588879.1, XP_013632947.1, XP_013608133.1, XP_013626749.1, XP_013617567.1, XP_013594663.1, XP_013617570.1, XP_013632726.1, XP_013624548.1, XP_013624518.1, XP_013617541.1, XP_013594840.1, XP_013607976.1, XP_013617554.1, XP_013624555.1, XP_013624648.1, XP_013613871.1, XP_013607809.1, XP_013594429.1, XP_013601100.1, XP_013617214.1, XP_013617732.1, XP_013632739.1, XP_013594506.1, XP_013594504.1, XP_013607872.1, XP_013629509.1, XP_013624576.1, XP_013617489.1, XP_013613441.1, XP_013617503.1, XP_013608039.1, XP_013628280.1, XP_013607682.1, XP_013617253.1, XP_013589175.1, XP_013631180.1, XP_013624190.1, XP_013639492.1, XP_013617502.1, XP_013594560.1, XP_013617770.1
OG0000014	El005G242270	XP_013625317.1
OG0000014	El001G041310	XP_013601583.1, XP_013616919.1, XP_013601206.1
OG0000014	El003G178520	XP_013632898.1
OG0000015	El060G376140, El053G375740	XP_013614071.1, XP_013614992.1, XP_013617706.1, XP_013617083.1, XP_013615209.1, XP_013639551.1, XP_013617384.1, XP_013632591.1, XP_013601204.1, XP_013613391.1, XP_013614315.1, XP_013615211.1, XP_013594601.1, XP_013615204.1, XP_013634793.1, XP_013615599.1
OG0000017	El007G336340	XP_013632401.1, XP_013624672.1, XP_013613669.1, XP_013589042.1, XP_013608147.1, XP_013624038.1, XP_013601111.1, XP_013594657.1, XP_013603153.1, XP_013632846.1, XP_013616619.1, XP_013626814.1, XP_013632054.1, XP_013626793.1, XP_013601623.1, XP_013589244.1, XP_013624895.1, XP_013617516.1, XP_013632844.1, XP_013615448.1, XP_013633384.1, XP_013633218.1, XP_013601120.1, XP_013617481.1, XP_013624951.1
OG0000017	El007G356670	XP_013607958.1, XP_013594902.1, XP_013601171.1
OG0000018	El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013583415.1, XP_013639394.1, XP_013624628.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013589650.1, XP_013633047.1, XP_013594522.1, XP_013608090.1, XP_013608306.1
OG0000018	El001G045850, El001G048290, El003G146330	XP_013613761.1
OG0000018	El001G077880, El004G225550	XP_013608093.1, XP_013624295.1, XP_013615260.1, XP_013639781.1, XP_013624942.1, XP_013635359.1, XP_013632716.1, XP_013625589.1, XP_013624309.1, XP_013583343.1, XP_013617328.1, XP_013633276.1, XP_013633321.1, XP_013632330.1, XP_013632740.1, XP_013631302.1, XP_013594507.1, XP_013624087.1, XP_013594600.1, XP_013624037.1, XP_013616795.1, XP_013607721.1, XP_013639694.1, XP_013616959.1, XP_013592110.1, XP_013595678.1, XP_013589433.1
OG0000019	El004G213790	XP_013627832.1
OG0000020	El004G206630	XP_013607685.1
OG0000021	El007G349240	XP_013607533.1
OG0000021	El007G346120, El007G348120	XP_013624580.1
OG0000021	El006G317330	XP_013624315.1, XP_013589325.1, XP_013633333.1
OG0000021	El001G064400	XP_013613505.1, XP_013632463.1, XP_013601861.1, XP_013617452.1, XP_013601663.1, XP_013617174.1, XP_013616914.1, XP_013624212.1, XP_013616969.1, XP_013617895.1
OG0000021	El001G063330, El006G289540	XP_013623499.1, XP_013617795.1
OG0000021	El002G141120	XP_013601139.1
OG0000021	El005G277430, El007G325630	XP_013617068.1, XP_013624738.1, XP_013589283.1, XP_013608037.1, XP_013624679.1, XP_013589306.1, XP_013639486.1, XP_013624949.1, XP_013617230.1, XP_013601547.1, XP_013588986.1, XP_013595068.1, XP_013608302.1, XP_013617855.1, XP_013589622.1, XP_013608127.1, XP_013589269.1, XP_013608157.1, XP_013639673.1, XP_013595077.1
OG0000023	El007G357800	XP_013631155.1
OG0000023	El003G162000	XP_013595103.1
OG0000023	El003G162130	XP_013588839.1
OG0000024	El007G351440, El002G140900	XP_013639775.1
OG0000025	El003G190320, El007G338170, El007G338190, El007G338230, El007G338200	XP_013619743.1, XP_013619793.1
OG0000025	El007G342390, El007G340950	XP_013589429.1, XP_013615643.1, XP_013614785.1, XP_013626289.1
OG0000026	El003G164110, El005G264370	XP_013624177.1
OG0000026	El003G183480	XP_013606795.1
OG0000026	El007G356660	XP_013633014.1, XP_013632787.1, XP_013607489.1, XP_013601110.1, XP_013589043.1, XP_013589304.1, XP_013624039.1, XP_013625401.1, XP_013589471.1, XP_013626805.1, XP_013617519.1, XP_013633137.1, XP_013589474.1, XP_013589161.1, XP_013624655.1, XP_013594903.1, XP_013617179.1, XP_013617500.1, XP_013624950.1, XP_013630835.1, XP_013607866.1, XP_013633381.1, XP_013617480.1
OG0000027	El002G117730	XP_013624897.1
OG0000027	El002G117790, El002G117690, El002G117760, El002G117870, El002G117820	XP_013632478.1
OG0000027	El001G029050, El001G025570	XP_013605203.1
OG0000028	El008G369630	XP_013632714.1
OG0000028	El004G212000, El004G211990, El007G348580, El007G334290, El007G365340, El007G351990	XP_013639720.1
OG0000028	El001G018960, El002G114660, El007G326060	XP_013625078.1, XP_013608166.1, XP_013607990.1, XP_013594294.1, XP_013608053.1, XP_013624401.1, XP_013617760.1
OG0000028	El007G352000	XP_013639737.1
OG0000029	El001G031910	XP_013610927.1, XP_013583311.1, XP_013632868.1, XP_013624005.1
OG0000029	El006G302870, El002G125750, El008G368530	XP_013632493.1
OG0000029	El003G179090	XP_013593417.1, XP_013585256.1, XP_013625516.1, XP_013624823.1
OG0000029	El008G371400, El008G371420, El008G371370, El008G371360	XP_013613615.1
OG0000029	El001G044810	XP_013617674.1
OG0000029	El006G308300	XP_013619135.1
OG0000030	El008G371380, El007G349640	XP_013639621.1
OG0000030	El005G265320, El003G181970	XP_013633216.1
OG0000030	El007G346180	XP_013584806.1
OG0000030	El003G181960	XP_013589285.1, XP_013632940.1, XP_013624485.1, XP_013584641.1, XP_013629200.1, XP_013594415.1, XP_013630837.1
OG0000030	El003G178390, El003G178450	XP_013594894.1
OG0000030	El002G136200	XP_013589127.1, XP_013624490.1
OG0000031	El004G197790, El004G197660	XP_013606456.1
OG0000031	El002G096100	XP_013604688.1
OG0000031	El003G192370	XP_013635968.1
OG0000031	El005G253470	XP_013609571.1
OG0000031	El003G157520	XP_013590021.1
OG0000031	El002G127940, El004G193990	XP_013603447.1
OG0000033	El003G162140, El003G162150	XP_013603110.1, XP_013598717.1, XP_013595252.1, XP_013595253.1
OG0000033	El005G273190	XP_013616655.1, XP_013611706.1
OG0000033	El003G162180	XP_013595245.1
OG0000033	El001G014890	XP_013624956.1
OG0000033	El001G004730	XP_013607897.1
OG0000034	El002G123500	XP_013632842.1
OG0000034	El002G126180	XP_013624836.1, XP_013588806.1, XP_013615625.1, XP_013617484.1, XP_013600966.1, XP_013615775.1
OG0000034	El027G373510	XP_013589341.1, XP_013617400.1
OG0000034	El005G264310, El005G268870	XP_013611041.1
OG0000034	El003G149900, El001G048010	XP_013594785.1, XP_013638563.1
OG0000035	El001G043940	XP_013635393.1, XP_013635413.1, XP_013635714.1, XP_013585248.1, XP_013632139.1, XP_013635377.1, XP_013635430.1, XP_013635523.1, XP_013635414.1, XP_013635604.1, XP_013633670.1, XP_013634956.1
OG0000036	El003G178170	XP_013639282.1
OG0000036	El006G311410, El002G122040, El002G126960	XP_013639532.1, XP_013632562.1, XP_013624216.1, XP_013617202.1, XP_013617639.1, XP_013632506.1, XP_013617663.1, XP_013633937.1, XP_013615368.1, XP_013627147.1, XP_013617679.1, XP_013639834.1, XP_013608105.1
OG0000037	El001G053830	XP_013633425.1, XP_013595002.1
OG0000037	El004G202640	XP_013617009.1
OG0000038	El006G282520	XP_013633414.1
OG0000040	El006G296490, El006G297130	XP_013589717.1, XP_013593712.1, XP_013589720.1
OG0000040	El005G250180	XP_013614569.1, XP_013634175.1, XP_013633602.1, XP_013584822.1
OG0000040	El005G257410	XP_013615042.1
OG0000042	El001G058460	XP_013607732.1, XP_013608326.1
OG0000042	El003G192700	XP_013585161.1
OG0000042	El006G318460	XP_013614126.1
OG0000042	El004G194460, El007G344540	XP_013617799.1
OG0000043	El007G350700	XP_013617788.1, XP_013614489.1, XP_013634444.1, XP_013594475.1, XP_013632930.1, XP_013633849.1, XP_013639402.1, XP_013594935.1, XP_013628408.1, XP_013639507.1, XP_013594559.1, XP_013632543.1, XP_013615632.1, XP_013632520.1, XP_013624716.1, XP_013594426.1, XP_013589020.1, XP_013624274.1
OG0000044	El006G308910, El006G308940	XP_013633382.1, XP_013596464.1, XP_013617808.1, XP_013617807.1, XP_013594734.1, XP_013594735.1, XP_013589296.1, XP_013617147.1, XP_013591267.1
OG0000044	El007G360870	XP_013623958.1, XP_013589222.1, XP_013632674.1, XP_013639308.1
OG0000045	El005G249570, El003G188840, El005G264730	XP_013632408.1, XP_013632387.1
OG0000045	El002G101480	XP_013583445.1, XP_013608007.1, XP_013608008.1
OG0000045	El004G208130	XP_013631555.1, XP_013632793.1, XP_013623955.1, XP_013632732.1, XP_013615610.1, XP_013628576.1
OG0000045	El006G320830	XP_013639552.1
OG0000046	El003G188710	XP_013635767.1
OG0000046	El003G186960, El003G186970	XP_013636750.1
OG0000046	El003G168460	XP_013611234.1
OG0000046	El003G187000, El003G186990	XP_013635840.1, XP_013620632.1
OG0000046	El004G216790	XP_013603316.1
OG0000046	El004G216850, El004G216660	XP_013613580.1
OG0000046	El004G216560, El004G216600	XP_013591997.1
OG0000046	El004G216520	XP_013620953.1, XP_013615300.1, XP_013613911.1
OG0000046	El004G216760	XP_013617106.1
OG0000046	El003G186890	XP_013634420.1
OG0000047	El004G204540, El001G049540, El007G364690	XP_013624947.1
OG0000048	El003G193700	XP_013595132.1
OG0000049	El003G185390	XP_013639382.1, XP_013623756.1
OG0000049	El007G333440	XP_013624202.1, XP_013589459.1
OG0000052	El007G364450, El002G116290	XP_013609148.1, XP_013623987.1, XP_013601904.1
OG0000052	El006G286610	XP_013632996.1
OG0000052	El006G286640	XP_013623984.1
OG0000052	El006G286580	XP_013610546.1
OG0000055	El001G016330, El001G016310, El001G016300	XP_013628196.1
OG0000055	El004G198640	XP_013634799.1
OG0000056	El003G171800, El004G200570	XP_013632615.1
OG0000056	El003G179560, El006G285210, El001G008020	XP_013614874.1, XP_013596572.1
OG0000057	El005G254800	XP_013615287.1
OG0000057	El003G184060	XP_013583313.1, XP_013583310.1
OG0000058	El007G338080, El003G151650, El005G258270, El006G310940, El002G122710, El003G177250, El002G135580, El005G263200, El002G136300, El005G276970, El001G065670, El001G046450, El001G034170, El005G262760	XP_013624813.1
OG0000058	El007G341960	XP_013632813.1, XP_013624123.1
OG0000061	El006G308960, El006G308930, El002G121930	XP_013628529.1
OG0000062	El004G212640, El001G017730	XP_013624970.1
OG0000062	El003G186180, El004G203440, El004G203430	XP_013591442.1, XP_013594277.1, XP_013623728.1, XP_013624643.1, XP_013615594.1, XP_013624395.1, XP_013626489.1, XP_013632865.1, XP_013583449.1
OG0000062	El007G346680, El005G263100	XP_013624452.1, XP_013632428.1, XP_013633115.1
OG0000064	El003G142390	XP_013598018.1
OG0000065	El002G116640, El002G116630	XP_013617482.1, XP_013617341.1
OG0000065	El003G166430, El007G349160	XP_013617922.1, XP_013607898.1, XP_013614546.1
OG0000066	El007G324780	XP_013599938.1, XP_013618388.1, XP_013621521.1, XP_013606481.1, XP_013631332.1, XP_013627996.1, XP_013637372.1, XP_013609086.1
OG0000067	El001G050000	XP_013623793.1, XP_013626885.1, XP_013606907.1, XP_013611652.1, XP_013610551.1
OG0000067	El005G274450, El007G348170	XP_013602654.1, XP_013603257.1, XP_013602913.1, XP_013610616.1, XP_013603635.1
OG0000067	El001G059350	XP_013623517.1, XP_013623813.1, XP_013627886.1, XP_013602672.1, XP_013629845.1, XP_013626915.1, XP_013623762.1
OG0000069	El004G215380, El003G183250	XP_013595150.1
OG0000070	El007G351510	XP_013615472.1
OG0000071	El002G129500	XP_013601278.1
OG0000071	El003G186380	XP_013639677.1, XP_013589425.1, XP_013601846.1, XP_013617814.1, XP_013608108.1, XP_013601356.1, XP_013601674.1, XP_013639850.1, XP_013623769.1
OG0000071	El003G161900, El007G348480, El004G223960, El004G222550	XP_013617771.1, XP_013601854.1
OG0000071	El002G129540	XP_013633356.1, XP_013626361.1, XP_013639159.1, XP_013584692.1, XP_013638696.1, XP_013632067.1, XP_013627752.1, XP_013607453.1, XP_013639189.1, XP_013639293.1, XP_013607538.1, XP_013623464.1
OG0000071	El003G186390, El001G051200, El006G305000	XP_013623159.1, XP_013624755.1
OG0000072	El003G180720	XP_013607861.1, XP_013583419.1, XP_013639649.1, XP_013594521.1, XP_013633807.1, XP_013594821.1, XP_013615002.1, XP_013595200.1, XP_013597172.1
OG0000073	El007G355990	XP_013624330.1
OG0000074	El002G108920	XP_013596256.1
OG0000074	El002G109030	XP_013586913.1
OG0000074	El002G108840	XP_013603462.1, XP_013584900.1, XP_013586910.1
OG0000075	El001G065030, El001G025110	XP_013594256.1
OG0000076	El001G023120	XP_013607524.1
OG0000076	El001G023080	XP_013630964.1, XP_013615703.1
OG0000076	El001G041500, El001G041490	XP_013599445.1, XP_013594267.1, XP_013594927.1
OG0000077	El003G143050, El006G313810, El003G143040	XP_013602439.1, XP_013602527.1, XP_013622394.1, XP_013618964.1, XP_013596173.1
OG0000077	El003G143090	XP_013596175.1
OG0000078	El008G368270, El008G368260	XP_013621386.1, XP_013617746.1, XP_013632635.1, XP_013632608.1, XP_013594937.1, XP_013624880.1, XP_013591282.1, XP_013615431.1, XP_013632718.1, XP_013617720.1, XP_013629722.1, XP_013624329.1
OG0000079	El005G237320, El005G272390, El005G237310	XP_013632057.1
OG0000079	El007G357730	XP_013604627.1
OG0000079	El004G196920	XP_013603731.1
OG0000080	El001G043770, El001G041340	XP_013633314.1
OG0000081	El006G319750	XP_013627689.1
OG0000082	El004G212430	XP_013613884.1, XP_013639683.1, XP_013601479.1, XP_013617421.1, XP_013594652.1, XP_013617490.1, XP_013607528.1, XP_013622886.1, XP_013624715.1, XP_013621650.1, XP_013628088.1, XP_013617793.1, XP_013594607.1, XP_013595001.1, XP_013613663.1, XP_013614590.1, XP_013624795.1, XP_013632994.1
OG0000083	El007G352220, El007G352210	XP_013627621.1
OG0000083	El005G265380	XP_013639459.1
OG0000083	El004G223260	XP_013619769.1
OG0000083	El006G317480, El006G317520, El006G317460, El006G317530	XP_013593181.1
OG0000084	El006G316420	XP_013631674.1
OG0000084	El006G316360, El006G316460, El006G316430, El006G316470, El006G316370, El006G316400	XP_013633255.1, XP_013632293.1, XP_013633256.1, XP_013635632.1
OG0000085	El005G263080	XP_013589056.1
OG0000086	El002G123600, El004G210560	XP_013589571.1, XP_013610622.1, XP_013610543.1, XP_013610576.1, XP_013610675.1, XP_013610335.1, XP_013607248.1, XP_013607956.1, XP_013607251.1, XP_013607249.1, XP_013610623.1, XP_013607250.1, XP_013610669.1
OG0000087	El001G056180	XP_013598457.1
OG0000087	El006G303330	XP_013637001.1, XP_013636732.1
OG0000087	El007G327940	XP_013629087.1, XP_013629292.1, XP_013629400.1
OG0000087	El001G069260	XP_013611442.1
OG0000087	El006G296420	XP_013636563.1
OG0000087	El007G360740	XP_013612217.1, XP_013620476.1, XP_013598244.1
OG0000087	El003G165170	XP_013598013.1, XP_013621920.1, XP_013598364.1
OG0000087	El004G228430	XP_013592047.1
OG0000088	El007G357210	XP_013603553.1
OG0000088	El001G017040, El001G017080, El001G013450, El001G013470, El001G017070, El001G013420, El001G013490	XP_013624484.1
OG0000088	El001G016470	XP_013629254.1
OG0000088	El001G059590	XP_013627653.1, XP_013607358.1
OG0000088	El001G059580	XP_013631070.1
OG0000089	El001G072250	XP_013629368.1, XP_013611822.1, XP_013620685.1
OG0000089	El002G120830	XP_013591456.1
OG0000089	El002G133200	XP_013608560.1, XP_013629201.1, XP_013586823.1
OG0000089	El005G247910	XP_013587485.1
OG0000089	El007G331780, El001G015710	XP_013623319.1
OG0000090	El002G104490, El003G181590	XP_013628560.1
OG0000090	El004G228750	XP_013591920.1, XP_013588434.1, XP_013616229.1
OG0000090	El002G093200	XP_013620477.1
OG0000093	El002G128830	XP_013590451.1, XP_013590745.1
OG0000093	El001G029880	XP_013615611.1, XP_013589367.1, XP_013589365.1
OG0000093	El001G029840	XP_013588854.1
OG0000093	El001G029800, El007G352040	XP_013609262.1
OG0000096	El004G205300	XP_013630204.1
OG0000096	El001G038300	XP_013594901.1
OG0000096	El007G361830	XP_013613462.1
OG0000096	El007G362760	XP_013623925.1, XP_013617650.1
OG0000097	El001G004470	XP_013599827.1, XP_013584794.1
OG0000097	El001G004450	XP_013619912.1
OG0000097	El001G004400	XP_013631333.1
OG0000098	El002G095770	XP_013600689.1
OG0000099	El004G194870, El001G011990, El004G194960, El004G194830, El004G194970, El004G204720, El004G194880, El004G194860, El006G303000, El004G214950, El004G214930	XP_013610227.1, XP_013610529.1
OG0000101	El007G349760	XP_013611728.1
OG0000101	El001G010940	XP_013607667.1
OG0000101	El004G201590	XP_013606369.1
OG0000102	El006G302470	XP_013639313.1, XP_013634771.1, XP_013594591.1, XP_013594553.1, XP_013624680.1, XP_013639776.1, XP_013612628.1, XP_013589440.1
OG0000104	El002G090170	XP_013605923.1
OG0000104	El002G136360	XP_013605120.1
OG0000105	El027G373450	XP_013617946.1, XP_013624642.1, XP_013608000.1, XP_013583464.1, XP_013614438.1, XP_013617683.1, XP_013607815.1, XP_013594393.1, XP_013583479.1, XP_013626528.1, XP_013617906.1, XP_013594536.1, XP_013628948.1, XP_013589455.1, XP_013617529.1, XP_013624596.1, XP_013589280.1, XP_013624369.1, XP_013594585.1, XP_013632695.1, XP_013589353.1, XP_013632746.1, XP_013594463.1, XP_013617871.1, XP_013628130.1, XP_013607669.1, XP_013624341.1, XP_013617462.1, XP_013607934.1, XP_013639404.1, XP_013608559.1
OG0000106	El005G269060, El005G269030, El005G268940	XP_013627644.1
OG0000107	El005G257790, El005G257800	XP_013635068.1, XP_013624257.1
OG0000107	El005G257780, El005G257770	XP_013623726.1
OG0000107	El003G184930, El003G187830, El007G362890	XP_013602900.1
OG0000107	El001G039680, El005G258940, El005G270120	XP_013639727.1
OG0000108	El001G053220, El001G053160, El001G053150, El001G053080, El001G053060, El001G053120, El001G053110, El001G053070, El001G053140, El001G047240, El007G364310, El007G323300, El001G009690, El006G281400	XP_013617934.1
OG0000108	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550	XP_013614188.1, XP_013615334.1
OG0000110	El001G030790	XP_013592532.1
OG0000110	El001G030780	XP_013590480.1
OG0000111	El003G187720, El001G009620, El003G183560	XP_013629621.1, XP_013592758.1
OG0000111	El001G025790	XP_013603252.1, XP_013605672.1, XP_013602151.1, XP_013605673.1, XP_013602872.1, XP_013603171.1, XP_013603836.1, XP_013603745.1
OG0000112	El007G342990	XP_013623898.1, XP_013623897.1
OG0000113	El004G207200	XP_013607642.1
OG0000113	El002G128690	XP_013584232.1, XP_013624802.1, XP_013604666.1
OG0000114	El001G070430	XP_013612354.1
OG0000114	El004G206200, El004G206180, El004G205940, El004G206220	XP_013586604.1, XP_013629019.1
OG0000115	El007G324900, El006G289920, El006G285120, El004G201560, El001G079750, El001G046700	XP_013585404.1, XP_013595479.1, XP_013585516.1, XP_013604163.1, XP_013594696.1, XP_013583368.1, XP_013617805.1, XP_013603224.1, XP_013601527.1, XP_013600898.1, XP_013610632.1, XP_013627570.1, XP_013607945.1, XP_013608455.1, XP_013607573.1, XP_013633426.1, XP_013595063.1, XP_013631266.1, XP_013626459.1, XP_013635056.1, XP_013588975.1, XP_013603863.1
OG0000115	El002G106750, El002G138260, El007G348280	XP_013614570.1, XP_013639108.1, XP_013594310.1, XP_013633134.1, XP_013632434.1, XP_013614848.1, XP_013614295.1, XP_013596880.1, XP_013620116.1, XP_013597400.1, XP_013589543.1, XP_013596556.1, XP_013594823.1, XP_013617577.1, XP_013589523.1, XP_013596540.1, XP_013634477.1, XP_013590257.1, XP_013629354.1, XP_013633375.1, XP_013623931.1, XP_013617985.1, XP_013583922.1, XP_013589494.1, XP_013632694.1, XP_013589552.1, XP_013594993.1, XP_013635594.1, XP_013623774.1
OG0000115	El001G079740, El006G310420	XP_013634391.1, XP_013601756.1
OG0000116	El006G309080, El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070	XP_013614000.1, XP_013633764.1, XP_013586376.1, XP_013632656.1
OG0000118	El001G001700, El001G001530	XP_013597065.1, XP_013591106.1, XP_013610702.1, XP_013585759.1, XP_013624096.1, XP_013603466.1
OG0000118	El002G084120	XP_013624024.1, XP_013594861.1, XP_013594866.1, XP_013594868.1, XP_013588950.1, XP_013594869.1, XP_013594864.1
OG0000119	El005G265760, El001G013130, El007G355930	XP_013617082.1, XP_013633329.1
OG0000119	El002G124220	XP_013612859.1
OG0000120	El004G200260	XP_013610889.1, XP_013607713.1
OG0000120	El007G345250, El007G346140, El006G307860	XP_013601021.1, XP_013601023.1, XP_013588993.1, XP_013588958.1, XP_013588961.1
OG0000120	El001G077920	XP_013608535.1
OG0000121	El001G079760	XP_013633083.1, XP_013613394.1, XP_013601611.1, XP_013607842.1, XP_013607592.1, XP_013594909.1, XP_013626286.1, XP_013624784.1, XP_013632528.1, XP_013617180.1, XP_013595083.1, XP_013614807.1, XP_013639220.1, XP_013608167.1, XP_013624825.1, XP_013632411.1, XP_013601187.1, XP_013594649.1, XP_013607602.1, XP_013616801.1, XP_013607673.1, XP_013624044.1, XP_013589567.1, XP_013589363.1, XP_013632382.1, XP_013588974.1, XP_013601352.1, XP_013639298.1, XP_013626069.1, XP_013583439.1, XP_013632800.1, XP_013608357.1, XP_013631278.1, XP_013627581.1, XP_013632472.1, XP_013608268.1, XP_013589472.1, XP_013607946.1
OG0000121	El004G201550, El003G176590, El007G324890	XP_013601321.1, XP_013608004.1, XP_013632525.1, XP_013639203.1, XP_013613947.1, XP_013607855.1, XP_013624381.1, XP_013623962.1, XP_013632652.1, XP_013617765.1
OG0000122	El007G335590, El007G335600	XP_013620024.1
OG0000123	El002G113800	XP_013627145.1
OG0000123	El003G177660	XP_013590229.1
OG0000124	El005G257490, El006G297400, El006G297570, El004G206660, El006G307600, El001G057860, El004G224160, El007G349980	XP_013624994.1, XP_013608101.1
OG0000124	El005G241140, El004G213620	XP_013617154.1, XP_013632614.1
OG0000125	El006G292880	XP_013589314.1
OG0000125	El001G057350	XP_013625682.1, XP_013606602.1
OG0000125	El001G015040, El007G331030	XP_013606787.1
OG0000125	El006G304720	XP_013631988.1, XP_013622502.1, XP_013631825.1
OG0000127	El001G001730	XP_013583436.1, XP_013583434.1, XP_013589633.1, XP_013634840.1, XP_013595164.1, XP_013639264.1
OG0000128	El003G173140	XP_013601394.1, XP_013615506.1
OG0000132	El005G264200	XP_013617705.1, XP_013614960.1, XP_013624699.1, XP_013590002.1, XP_013615166.1, XP_013619242.1, XP_013624601.1, XP_013624600.1, XP_013617165.1, XP_013617423.1, XP_013637479.1
OG0000132	El005G264210	XP_013613772.1, XP_013615531.1, XP_013611137.1, XP_013616308.1, XP_013635892.1
