Orthogroup	Erysimum_linariifolium	Euclidium_syriacum
OG0000018	El003G154150, El006G318220, El001G007900, El001G053230, El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830, El002G082650	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000018	El001G048290	ESY9_g43986_DN3_SP0_c0.t1
OG0000019	El002G122780	ESY6_g48254_DN3_SP0_c48.t1, ESY8_g60783_DN3_SP0_c0.t1
OG0000019	El007G351400	ESY9_g42816_DN3_SP0_c48.t1, ESY8_g60782_DN3_SP0_c0.t1
OG0000020	El007G347970	ESY1_g7080_DN3_SP0_c33.t1
OG0000021	El001G037390	ESY8_g60366_DN2_SP0_c0.t1
OG0000021	El005G277430, El007G325630	ESY9_g43535_DN3_SP0_c0.t1, ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1
OG0000024	El006G293740, El007G351440, El002G140900	ESY6_g47516_DN2_SP0_c0.t1
OG0000025	El003G176780, El001G014170	ESY7_g18156_DN1_SP0_c46.t1
OG0000026	El003G164110, El005G264370, El003G183480, El007G356660, El004G210040, El002G122340, El004G232830, El002G140810, El005G251640, El006G294370	ESY1_g10661_DN2_SP0_c99.t1
OG0000027	El002G120570, El001G054130, El006G316890, El006G314010	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1
OG0000027	El002G117920, El002G117750, El002G117960, El002G117930, El002G117950, El002G122790, El002G122410, El002G122550, El002G122530, El002G122520, El002G122750, El002G122400, El002G122390, El001G054180, El001G054190, El006G314050, El006G316880, El002G118120, El002G111110	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1
OG0000028	El004G212000, El004G211990, El007G348580	ESY6_g48344_DN1_SP0_c0.t1
OG0000028	El007G351990	ESY1_g6329_DN2_SP0_c0.t1
OG0000029	El007G359550, El001G031910, El006G302870, El002G125750, El008G368530, El003G179090, El007G348030, El008G371400, El008G371420, El008G371370, El008G371360, El001G044810, El001G046730, El007G356090, El006G308300, El003G165930, El002G089750, El006G307470	ESY13_g57677_DN1_SP0_c0.t1
OG0000030	El007G358700	ESY4_g21739_DN1_SP0_c0.t1
OG0000030	El008G371380, El007G349640	ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1
OG0000030	El003G181960	ESY17_g39786_DN2_SP0_c77.t1, ESY1_g9008_DN2_SP0_c16.t1
OG0000034	El004G208110, El007G350680, El007G350130	ESY4_g23032_DN3_SP0_c100.t1
OG0000035	El001G043940	ESY8_g58364_DN2_SP0_c0.t1
OG0000035	El001G033240, El001G033230	ESY1_g12294_DN3_SP0_c0.t1
OG0000036	El006G312180	ESY13_g56710_DN1_SP0_c0.t1
OG0000037	El005G262630, El005G272610, El006G315350, El001G053830, El004G202640, El003G180470, El005G260860	ESY21_g55396_DN1_SP0_c0.t1
OG0000038	El006G281890, El006G282510	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1
OG0000038	El001G019410	ESY9_g42631_DN2_SP0_c0.t1
OG0000040	El006G296490, El006G297130	ESY5_g3539_DN1_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1
OG0000040	El005G250150	ESY9_g42572_DN2_SP0_c0.t1, ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1, ESY3_g32449_DN2_SP0_c0.t1
OG0000040	El005G250180	ESY3_g32163_DN2_SP0_c0.t1, ESY16_g61826_DN2_SP0_c0.t1, ESY16_g61827_DN2_SP0_c0.t1, ESY3_g30254_DN3_SP0_c0.t1
OG0000040	El005G257410	ESY3_g29344_DN3_SP0_c0.t1
OG0000041	El004G204870, El005G265750, El007G355940, El001G013140, El002G131060	ESY11_g52546_DN2_SP0_c0.t1, ESY4_g24970_DN3_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1
OG0000042	El003G192700	ESY2_g38709_DN3_SP0_c0.t1, ESY4_g25086_DN1_SP0_c0.t1, ESY7_g16531_DN2_SP0_c0.t1, ESY7_g17207_DN1_SP0_c0.t1
OG0000042	El006G306460	ESY21_g55833_DN2_SP0_c0.t1
OG0000044	El007G360870	ESY5_g2589_DN3_SP0_c0.t1, ESY14_g21426_DN1_SP0_c0.t1
OG0000045	El006G320830	ESY5_g789_DN1_SP0_c0.t1
OG0000046	El003G186960, El003G186970	ESY4_g26383_DN3_SP0_c53.t1
OG0000046	El003G186890	ESY4_g25771_DN2_SP0_c0.t1
OG0000047	El004G207210, El001G050090, El002G123400, El004G204540, El001G049540, El007G364690, El005G264350	ESY3_g28898_DN3_SP0_c0.t1
OG0000050	El002G124210, El007G359470, El004G226500	ESY11_g52398_DN3_SP0_c0.t1, ESY9_g43856_DN2_SP0_c0.t1
OG0000052	El007G364450, El002G116290	ESY5_g5128_DN3_SP0_c0.t1
OG0000052	El006G286630	ESY12_g51336_DN3_SP0_c0.t1
OG0000052	El006G286580	ESY5_g2706_DN3_SP0_c11.t1
OG0000055	El004G198020	ESY2_g33671_DN2_SP0_c0.t1
OG0000055	El004G198830	ESY2_g33771_DN2_SP0_c0.t1
OG0000055	El004G198010, El004G198720, El004G198710, El004G198730, El004G198700	ESY2_g33766_DN3_SP0_c0.t1
OG0000055	El004G198810	ESY2_g33775_DN1_SP0_c0.t1
OG0000055	El004G198740, El004G198850	ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33767_DN3_SP0_c0.t1
OG0000056	El003G171800	ESY2_g37912_DN2_SP0_c0.t1
OG0000056	El003G179560, El006G285210, El001G008020	ESY9_g44874_DN3_SP0_c0.t1
OG0000056	El007G350500	ESY21_g55397_DN2_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY15_g64468_DN1_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1
OG0000057	El001G001400	ESY6_g49094_DN1_SP0_c0.t1
OG0000057	El003G174270, El003G172630, El003G172690	ESY2_g35556_DN3_SP0_c0.t1
OG0000057	El005G254800	ESY16_g61658_DN1_SP0_c0.t1
OG0000057	El003G184060	ESY3_g29813_DN1_SP0_c0.t1, ESY16_g61649_DN2_SP0_c0.t1, ESY2_g35559_DN2_SP0_c0.t1, ESY8_g59290_DN2_SP0_c0.t1
OG0000058	El005G263190, El006G310300, El005G258260	ESY11_g53172_DN1_SP0_c0.t1, ESY4_g23739_DN2_SP0_c0.t1
OG0000058	El007G341960	ESY10_g14358_DN2_SP0_c0.t1, ESY9_g45116_DN2_SP0_c0.t1, ESY4_g21923_DN3_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY16_g61681_DN2_SP0_c0.t1
OG0000062	El004G212640, El001G017730, El005G264970, El004G212620, El001G013750, El003G186180, El004G203440, El004G203430, El007G346680, El005G263100, El001G054390	ESY8_g59723_DN2_SP0_c0.t1
OG0000063	El002G090480	ESY9_g44877_DN3_SP0_c0.t1
OG0000063	El006G304660, El001G015540	ESY8_g58877_DN3_SP0_c0.t1
OG0000063	El006G292790	ESY5_g4491_DN3_SP0_c0.t1
OG0000064	El003G142390	ESY4_g26853_DN2_SP0_c0.t1, ESY4_g26855_DN3_SP0_c0.t1
OG0000064	El004G232120	ESY4_g26296_DN3_SP0_c0.t1, ESY4_g26223_DN1_SP0_c0.t1, ESY1_g12221_DN1_SP0_c0.t1
OG0000064	El004G232110	ESY2_g33369_DN2_SP0_c0.t1
OG0000064	El008G368860	ESY6_g50584_DN1_SP0_c0.t1
OG0000065	El002G116640, El002G116630, El004G204380, El003G166420, El003G166430, El007G349160	ESY17_g39007_DN1_SP0_c0.t1
OG0000066	El004G228220, El004G228230, El002G122920	ESY2_g34934_DN2_SP0_c58.t1
OG0000066	El001G071590, El001G071600	ESY7_g18023_DN3_SP0_c0.t1
OG0000066	El007G324780	ESY7_g18022_DN3_SP0_c0.t1
OG0000067	El001G050000	ESY10_g14570_DN3_SP0_c0.t1, ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1
OG0000067	El005G274450, El007G348170	ESY2_g35387_DN3_SP0_c0.t1
OG0000067	El001G015110, El001G015090, El005G241220, El001G019940, El001G019880, El003G151620, El001G050380, El007G338720	ESY6_g50195_DN3_SP0_c0.t1
OG0000069	El004G215380, El003G183250, El001G064640	ESY4_g26580_DN3_SP0_c0.t1
OG0000071	El003G186380	ESY22_g40814_DN2_SP0_c0.t1, ESY3_g29783_DN3_SP0_c6.t1
OG0000071	El005G246820	ESY4_g24957_DN2_SP0_c25.t1
OG0000072	El005G263040, El005G262970, El004G210970, El005G264060, El003G180720	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1
OG0000074	El002G108900, El002G108910	ESY5_g5208_DN3_SP0_c0.t1, ESY5_g5207_DN3_SP0_c0.t1, ESY5_g5162_DN3_SP0_c0.t1
OG0000074	El002G109030	ESY11_g54277_DN1_SP0_c0.t1
OG0000074	El002G108840, El002G108850	ESY5_g2024_DN3_SP0_c0.t1
OG0000075	El001G065030, El001G025110	ESY5_g3745_DN1_SP0_c33.t1, ESY5_g3568_DN2_SP0_c0.t1, ESY5_g3637_DN2_SP0_c0.t1, ESY4_g24723_DN3_SP0_c0.t1, ESY5_g2795_DN2_SP0_c0.t1
OG0000076	El001G023080	ESY1_g10445_DN3_SP0_c0.t1
OG0000077	El003G143060	ESY4_g26063_DN2_SP0_c0.t1
OG0000077	El004G229240	ESY3_g29359_DN2_SP0_c0.t1, ESY4_g26321_DN2_SP0_c0.t1
OG0000077	El003G143080	ESY12_g52268_DN2_SP0_c19.t1
OG0000077	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890	ESY4_g26061_DN3_SP0_c0.t1, ESY4_g26060_DN2_SP0_c0.t1
OG0000078	El008G368270, El008G368260	ESY9_g43985_DN3_SP0_c0.t1
OG0000080	El007G345310	ESY10_g14355_DN2_SP0_c0.t1
OG0000081	El004G231800, El001G044440	ESY3_g32181_DN3_SP0_c0.t1
OG0000081	El001G062660	ESY7_g17094_DN2_SP0_c0.t1
OG0000082	El005G264460	ESY1_g5765_DN3_SP0_c0.t1
OG0000082	El006G315360	ESY1_g8490_DN3_SP0_c0.t1, ESY22_g40809_DN2_SP0_c0.t1, ESY4_g24544_DN1_SP0_c0.t1, ESY1_g8208_DN2_SP0_c0.t1, ESY5_g2616_DN3_SP0_c0.t1
OG0000082	El004G212430	ESY4_g23899_DN1_SP0_c0.t1
OG0000084	El006G313930	ESY7_g19283_DN2_SP0_c13.t1, ESY7_g19278_DN2_SP0_c40.t1
OG0000084	El001G048100	ESY3_g31038_DN1_SP0_c0.t1
OG0000084	El006G316300	ESY7_g19285_DN2_SP0_c0.t1, ESY7_g17327_DN3_SP0_c0.t1, ESY7_g19280_DN2_SP0_c0.t1, ESY7_g18924_DN3_SP0_c58.t1, ESY7_g19282_DN3_SP0_c38.t1, ESY7_g19279_DN2_SP0_c34.t1
OG0000084	El006G316420	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1
OG0000086	El007G331280, El002G123600, El004G210560	ESY16_g62560_DN2_SP0_c0.t1
OG0000087	El001G056180	ESY6_g50131_DN3_SP8_c0.t1
OG0000087	El006G303330	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000087	El001G069260	ESY7_g18326_DN3_SP8_c0.t1
OG0000087	El007G360740	ESY7_g16559_DN3_SP8_c0.t1
OG0000087	El003G165170	ESY9_g43361_DN3_SP8_c0.t1
OG0000087	El002G104330	ESY5_g3995_DN3_SP3_c0.t1
OG0000087	El004G228430	ESY2_g34829_DN3_SP8_c0.t1
OG0000090	El003G147970	ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1
OG0000090	El002G093200	ESY10_g14297_DN3_SP0_c35.t1
OG0000093	El002G128830	ESY1_g11487_DN3_SP0_c0.t1, ESY1_g11510_DN3_SP0_c0.t1, ESY1_g11505_DN3_SP0_c21.t1
OG0000093	El005G270280	ESY1_g11494_DN3_SP0_c0.t1, ESY1_g10742_DN3_SP0_c0.t1
OG0000093	El001G029880	ESY1_g11463_DN3_SP0_c0.t1
OG0000093	El001G029800, El007G352040	ESY1_g11493_DN3_SP0_c41.t1
OG0000096	El001G038300	ESY7_g18827_DN2_SP0_c0.t1
OG0000097	El001G004470	ESY7_g16525_DN2_SP0_c0.t1
OG0000097	El001G004450	ESY7_g16539_DN1_SP0_c0.t1
OG0000097	El001G004380	ESY7_g16443_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1
OG0000099	El004G194840	ESY2_g37232_DN2_SP0_c27.t1, ESY2_g33418_DN3_SP0_c0.t1
OG0000101	El007G349760, El004G213140, El004G201520, El004G211480, El007G346770, El004G195800, El001G010940, El007G356350, El004G201590, El004G209060	ESY1_g11939_DN1_SP0_c0.t1
OG0000102	El006G302470, El007G357340	ESY17_g40075_DN1_SP0_c10.t1
OG0000104	El006G304210	ESY8_g58834_DN3_SP0_c19.t1
OG0000105	El027G373450	ESY49_g12647_DN2_SP0_c0.t1
OG0000106	El005G259530	ESY6_g49250_DN3_SP0_c0.t1
OG0000106	El001G010720, El005G256190, El005G255570	ESY6_g49252_DN1_SP0_c0.t1, ESY5_g3423_DN1_SP0_c0.t1, ESY3_g30215_DN2_SP0_c0.t1
OG0000107	El006G308310, El005G257790, El005G257800, El005G257780, El005G257770, El005G257840, El005G257830, El005G257820, El003G184930, El003G187830, El007G362890, El001G039680, El005G258940, El005G270120	ESY4_g23035_DN3_SP0_c29.t1
OG0000108	El007G364310, El007G323300, El001G009690, El006G281400	ESY7_g17569_DN3_SP0_c0.t1, ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1
OG0000108	El006G309530	ESY6_g50064_DN2_SP0_c0.t1, ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1
OG0000109	El001G071270	ESY7_g18543_DN2_SP0_c0.t1, ESY6_g49736_DN3_SP0_c0.t1, ESY4_g22476_DN1_SP0_c0.t1, ESY9_g44839_DN1_SP0_c0.t1, ESY1_g10304_DN2_SP0_c0.t1, ESY1_g9252_DN1_SP0_c0.t1, ESY16_g62074_DN3_SP0_c0.t1, ESY5_g1685_DN1_SP0_c0.t1
OG0000109	El005G269730	ESY2_g36671_DN2_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1
OG0000109	El001G018880	ESY4_g22477_DN2_SP0_c0.t1, ESY15_g64509_DN2_SP0_c0.t1, ESY1_g7918_DN1_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY4_g26657_DN1_SP0_c0.t1
OG0000112	El007G329910, El007G342990	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1
OG0000113	El004G207120, El004G195320, El004G195370, El004G195590, El004G195260, El004G195240, El004G195300, El004G195220, El004G195250, El004G195400, El004G195200, El004G195310	ESY5_g2214_DN1_SP0_c94.t1
OG0000113	El007G357330, El050G375440, El007G365010, El007G356050, El003G170190	ESY16_g61595_DN1_SP0_c0.t1
OG0000113	El004G212080	ESY6_g49439_DN2_SP0_c0.t1
OG0000113	El002G128690	ESY3_g32066_DN2_SP0_c100.t1, ESY9_g43950_DN2_SP0_c87.t1
OG0000115	El002G126950, El002G121910, El006G311440, El006G308990, El007G324900, El006G289920, El006G285120, El004G201560, El001G079750, El001G046700, El002G106750, El002G138260, El007G348280, El001G079740, El006G310420	ESY11_g54524_DN2_SP0_c0.t1
OG0000116	El006G309080, El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070	ESY8_g58450_DN2_SP0_c0.t1, ESY6_g48234_DN3_SP0_c0.t1, ESY2_g37688_DN2_SP0_c0.t1
OG0000117	El001G016830	ESY9_g44313_DN1_SP0_c0.t1, ESY10_g15253_DN1_SP0_c0.t1
OG0000118	El002G124140	ESY1_g10823_DN3_SP0_c0.t1
OG0000118	El005G262010	ESY8_g60792_DN2_SP0_c0.t1, ESY20_g12840_DN2_SP0_c0.t1
OG0000119	El005G265760, El001G013130, El007G355930, El002G124220	ESY11_g53584_DN1_SP0_c0.t1, ESY3_g28899_DN2_SP0_c0.t1, ESY11_g53147_DN2_SP0_c3.t1, ESY4_g24612_DN2_SP0_c73.t1, ESY2_g38528_DN2_SP0_c0.t1, ESY19_g41722_DN3_SP0_c0.t1
OG0000120	El004G200260	ESY2_g33927_DN3_SP0_c0.t1, ESY7_g16136_DN3_SP0_c0.t1
OG0000120	El007G345250, El007G346140, El006G307860	ESY9_g43372_DN2_SP0_c0.t1, ESY9_g43317_DN3_SP0_c0.t1
OG0000120	El001G077920	ESY7_g19067_DN2_SP0_c34.t1, ESY7_g19059_DN3_SP0_c0.t1
OG0000122	El007G335620, El007G335610	ESY6_g48225_DN3_SP0_c0.t1, ESY5_g1857_DN3_SP0_c0.t1
OG0000123	El001G013920	ESY5_g3215_DN2_SP0_c2.t1
OG0000124	El001G065890, El005G257490, El006G297400, El006G297570, El004G206660, El006G307600, El001G057860, El004G224160, El007G349980, El003G186300, El003G188620, El004G223250, El001G050120, El001G069630, El005G241140, El004G213620	ESY23_g219_DN2_SP0_c0.t1
OG0000125	El006G292880	ESY3_g30941_DN1_SP0_c0.t1
OG0000125	El001G057350	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1
OG0000125	El001G015040, El007G331030	ESY6_g48851_DN3_SP0_c0.t1
OG0000125	El006G304720	ESY8_g58880_DN2_SP0_c0.t1
OG0000127	El005G244320	ESY3_g30869_DN3_SP0_c0.t1, ESY3_g30864_DN3_SP0_c0.t1
OG0000127	El001G001730	ESY3_g30856_DN3_SP0_c0.t1, ESY3_g30854_DN3_SP0_c0.t1, ESY3_g30853_DN3_SP0_c0.t1, ESY8_g58391_DN3_SP0_c0.t1, ESY3_g30859_DN3_SP0_c0.t1, ESY3_g28268_DN3_SP0_c0.t1, ESY3_g30855_DN3_SP0_c0.t1, ESY3_g28267_DN3_SP0_c0.t1, ESY3_g30868_DN3_SP0_c0.t1, ESY5_g3603_DN3_SP0_c0.t1, ESY5_g3611_DN3_SP0_c0.t1, ESY5_g3610_DN3_SP0_c0.t1
OG0000130	El002G120060	ESY3_g27873_DN2_SP0_c0.t1
OG0000131	El007G346920	ESY1_g8019_DN3_SP0_c0.t1, ESY1_g9122_DN3_SP0_c0.t1, ESY1_g6559_DN2_SP0_c10.t1, ESY3_g29866_DN2_SP0_c0.t1
OG0000131	El006G311530	ESY1_g8020_DN3_SP0_c0.t1, ESY12_g51930_DN3_SP0_c0.t1, ESY1_g11590_DN2_SP0_c0.t1, ESY2_g38712_DN2_SP0_c0.t1
OG0000132	El005G264200	ESY17_g39177_DN3_SP0_c0.t1, ESY2_g38543_DN3_SP0_c0.t1, ESY13_g57384_DN2_SP0_c0.t1, ESY9_g43004_DN2_SP0_c0.t1, ESY1_g6907_DN3_SP0_c10.t1
OG0000132	El005G264210	ESY3_g28062_DN3_SP0_c0.t1
OG0000133	El005G265050	ESY9_g44960_DN3_SP0_c0.t1, ESY3_g27428_DN3_SP0_c0.t1
OG0000135	El007G346110	ESY7_g18225_DN1_SP0_c0.t1, ESY8_g59370_DN1_SP0_c0.t1, ESY3_g30908_DN2_SP0_c0.t1
OG0000136	El004G215950, El004G215940	ESY2_g35232_DN2_SP0_c0.t1
OG0000136	El004G209050, El004G209110	ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19367_DN1_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1
OG0000138	El006G314590	ESY6_g49113_DN1_SP0_c0.t1
OG0000138	El001G050920	ESY2_g35116_DN3_SP0_c0.t1
OG0000138	El001G045810, El001G045830	ESY2_g35115_DN3_SP0_c0.t1
OG0000140	El001G016150, El001G016160, El007G331970, El007G332020, El007G332560, El007G332570, El007G332540, El007G332580, El007G332590, El007G332010, El007G332000	ESY1_g8242_DN3_SP0_c10.t1
OG0000142	El006G303740, El006G303770, El006G303840, El001G049820, El006G303750, El006G303720, El006G303780, El006G303760, El006G303820, El006G301970, El006G301960	ESY18_g63267_DN3_SP0_c0.t1
OG0000144	El007G351410	ESY1_g5998_DN3_SP0_c100.t1
OG0000144	El006G293730	ESY1_g5999_DN1_SP0_c100.t1, ESY3_g27477_DN3_SP0_c97.t1
OG0000144	El007G362000	ESY13_g57735_DN2_SP0_c0.t1, ESY16_g62422_DN1_SP0_c0.t1, ESY43_g13372_DN2_SP0_c91.t1, ESY6_g46861_DN2_SP0_c63.t1, ESY16_g62423_DN1_SP0_c0.t1
OG0000146	El007G336800	ESY1_g10590_DN2_SP0_c0.t1, ESY6_g48021_DN2_SP0_c38.t1
OG0000146	El002G123110	ESY1_g10587_DN2_SP0_c0.t1
OG0000147	El005G277400	ESY11_g54431_DN3_SP8_c0.t1
OG0000147	El003G152940	ESY4_g24538_DN3_SP0_c0.t1
OG0000147	El007G334350	ESY6_g48428_DN3_SP8_c0.t1
OG0000147	El004G233720	ESY2_g36615_DN3_SP8_c6.t1
OG0000147	El001G047010	ESY19_g42179_DN3_SP8_c0.t1
OG0000147	El006G316840	ESY8_g59421_DN3_SP7_c0.t1
OG0000149	El001G015560	ESY2_g37243_DN3_SP0_c7.t1
OG0000149	El006G308870	ESY8_g58840_DN3_SP0_c0.t1
OG0000150	El006G312860	ESY9_g42653_DN3_SP0_c4.t1, ESY6_g48890_DN2_SP0_c0.t1
OG0000150	El001G012490, El001G014420	ESY1_g9438_DN3_SP0_c57.t1, ESY4_g24785_DN3_SP0_c0.t1
OG0000151	El007G339860	ESY6_g47353_DN3_SP8_c0.t1
OG0000151	El003G156070	ESY4_g23864_DN3_SP6_c0.t1
OG0000151	El005G243780	ESY3_g30785_DN3_SP8_c0.t1, ESY3_g30787_DN3_SP0_c0.t1
OG0000151	El005G273960	ESY11_g53876_DN3_SP8_c0.t1
OG0000151	El007G336000	ESY6_g48165_DN3_SP8_c0.t1
OG0000151	El003G193180	ESY8_g60049_DN3_SP6_c0.t1
OG0000155	El005G247790, El003G164700, El001G050480, El005G272960	ESY9_g43517_DN2_SP0_c81.t1
OG0000156	El006G282810, El001G032910, El006G282870, El006G282820, El007G349010, El006G282860, El002G121590, El006G282830, El001G032920	ESY7_g16345_DN2_SP0_c0.t1
