Orthogroup	Erysimum_linariifolium	Arabis_alpina
OG0000044	El006G308910, El006G308940	Aa_G882110.h32.t1, Aa_G882110.h5.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h33.t1, Aa_G882110.h7.t1, Aa_G882110.h9.t1, Aa_G882110.h35.t1, Aa_G882110.h15.t1, Aa_G882110.h10.t1, Aa_G882110.h28.t1, Aa_G882110.h1.t1, Aa_G882110.h30.t1, Aa_G882110.h20.t1, Aa_G882110.h23.t1, Aa_G882110.h31.t1, Aa_G882110.h24.t1, Aa_G882110.h14.t1, Aa_G882110.h12.t1, Aa_G882110.h29.t1, Aa_G882110.h19.t1, Aa_G882110.h4.t1, Aa_G882110.h2.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h34.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h21.t1, Aa_G882110.h13.t1, Aa_G882110.h11.t1, Aa_G882110.h8.t1, Aa_G882110.h25.t1, Aa_G882110.h16.t1, Aa_G882110.h27.t1
OG0000046	El003G188710	Aa_G120780.h1.t1, Aa_G120790.h1.t1
OG0000046	El003G187000, El003G186990	Aa_G439600.h1.t1, Aa_G408550.h1.t1
OG0000046	El004G216790, El004G216850, El004G216660, El004G216560, El004G216600, El004G216520, El004G216760	Aa_G190950.h1.t1, Aa_G756440.h1.t1
OG0000046	El003G186890	Aa_G574220.h1.t1
OG0000046	El003G186880, El003G186940	Aa_G439610.h1.t1
OG0000047	El005G264350	Aa_G159200.h1.t1
OG0000048	El005G238400, El005G238360	Aa_G339740.h1.t1
OG0000048	El003G193700	Aa_G339750.h1.t1, Aa_G759390.h1.t1
OG0000049	El003G185390	Aa_G135690.h1.t1
OG0000050	El002G124210, El007G359470, El004G226500	Aa_G288270.h1.t1
OG0000052	El007G364450, El002G116290	Aa_G818500.h1.t1, Aa_G818500.h2.t1, Aa_G18920.h1.t1, Aa_G217710.h1.t1
OG0000052	El006G286630	Aa_G599340.h1.t1
OG0000055	El004G198020	Aa_G162440.h1.t1
OG0000055	El004G198830	Aa_G534290.h1.t1
OG0000055	El001G016290, El004G208280	Aa_G615080.h1.t1
OG0000055	El004G198010, El004G198720, El004G198710, El004G198730, El004G198700	Aa_G615090.h1.t1
OG0000056	El003G179560, El006G285210, El001G008020	Aa_G505780.h1.t1
OG0000057	El003G174270, El003G172630, El003G172690	Aa_G5070.h1.t1
OG0000057	El005G276600, El005G276550	Aa_G253800.h1.t1
OG0000058	El001G046460	Aa_G559960.h1.t1, Aa_G560070.h1.t1, Aa_G637230.h1.t1
OG0000062	El005G264970, El004G212620	Aa_G11510.h1.t1
OG0000062	El003G186180, El004G203440, El004G203430	Aa_G297760.h1.t1, Aa_G255800.h1.t1
OG0000063	El001G014950	Aa_G257700.h5.t1
OG0000063	El002G090480	Aa_G375890.h5.t1
OG0000063	El002G090290	Aa_G197130.h7.t1
OG0000063	El006G304660, El001G015540	Aa_G448310.h3.t1
OG0000063	El007G330990, El007G331310	Aa_G318860.h4.t1
OG0000063	El006G292790	Aa_G550780.h4.t1
OG0000063	El001G024380	Aa_G197130.h3.t1
OG0000064	El003G142390	Aa_G137810.h1.t1
OG0000066	El004G228220, El004G228230, El002G122920	Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1
OG0000066	El007G324780	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1
OG0000067	El001G050000	Aa_G389030.h1.t1, Aa_G484940.h1.t1
OG0000067	El001G059350	Aa_G2360.h1.t1, Aa_G236530.h1.t1, Aa_G10890.h1.t1, Aa_G602850.h1.t1, Aa_G602860.h1.t1, Aa_G176470.h1.t1, Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1
OG0000070	El002G129450	Aa_G850.h1.t1
OG0000071	El003G186380	Aa_G414310.h1.t1, Aa_G616190.h1.t1, Aa_G692990.h1.t1, Aa_G268590.h1.t1
OG0000071	El003G161900, El007G348480, El004G223960, El004G222550	Aa_G616180.h1.t1
OG0000071	El005G246820	Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1, Aa_G308060.h1.t1
OG0000071	El002G129540	Aa_G1008250.h1.t1, Aa_G1008250.h2.t1
OG0000071	El003G186390, El001G051200, El006G305000	Aa_G456270.h1.t1
OG0000073	El007G343060, El004G214500	Aa_G628620.h1.t1, Aa_G902620.h1.t1, Aa_G685490.h1.t1, Aa_G685500.h1.t1, Aa_G565790.h1.t1, Aa_G173340.h1.t1, Aa_G565810.h1.t1, Aa_G715510.h1.t1, Aa_G295910.h1.t1, Aa_G565780.h1.t1, Aa_G628640.h1.t1
OG0000073	El007G355990	Aa_G208060.h1.t1
OG0000073	El007G365480	Aa_G208070.h1.t1, Aa_G403300.h1.t1, Aa_G89780.h1.t1
OG0000074	El002G109020, El002G108990	Aa_G62240.h1.t1
OG0000074	El002G109030	Aa_G349950.h1.t1
OG0000074	El002G108840, El002G108850	Aa_G62330.h1.t1
OG0000075	El001G065030, El001G025110	Aa_G732520.h1.t1
OG0000076	El001G018730, El001G018680, El001G018720, El001G018710, El001G018740, El007G346890	Aa_G712070.h1.t1
OG0000076	El001G023080	Aa_G521750.h1.t1
OG0000077	El007G346640, El004G229240, El002G122000	Aa_G374870.h1.t1
OG0000077	El003G143080	Aa_G254660.h1.t1
OG0000077	El003G143050, El006G313810, El003G143040	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000077	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890	Aa_G374840.h1.t1
OG0000079	El005G237320, El005G272390, El005G237310	Aa_G111800.h1.t1, Aa_G111810.h1.t1, Aa_G46620.h1.t1, Aa_G111790.h1.t1
OG0000079	El004G207470	Aa_G111830.h1.t1
OG0000079	El001G030540	Aa_G284870.h1.t1
OG0000079	El004G196920	Aa_G111820.h1.t1, Aa_G391440.h1.t1, Aa_G724740.h1.t1
OG0000080	El001G043770, El001G041340	Aa_G488480.h1.t1, Aa_G386390.h1.t1
OG0000081	El004G231800, El001G044440, El006G319750, El006G304570, El001G062660, El001G062500	Aa_G604970.h1.t1
OG0000082	El005G264460	Aa_G566090.h1.t1
OG0000083	El004G223260	Aa_G595900.h1.t1
OG0000083	El005G262880, El005G263710, El005G263680, El005G263720, El005G262910	Aa_G729280.h1.t1, Aa_G704230.h1.t1
OG0000083	El005G271260, El005G271250, El005G271160, El005G265390	Aa_G74650.h1.t1
OG0000083	El006G317480, El006G317520, El006G317460, El006G317530, El006G317470, El006G317450, El006G313440, El005G240260	Aa_G21020.h1.t1
OG0000084	El006G316280, El006G316240, El006G316260	Aa_G271110.h1.t1
OG0000084	El006G315730, El006G315630, El006G315610, El006G315700, El006G317190, El006G312100, El006G312130, El006G317170, El006G315060, El006G315050, El006G312110, El006G317200, El006G317180	Aa_G155650.h1.t1
OG0000084	El006G316420	Aa_G54460.h1.t1
OG0000087	El001G056180	Aa_G630880.h1.t1
OG0000087	El006G303330	Aa_G199760.h1.t1
OG0000087	El001G069260	Aa_G256660.h1.t1
OG0000087	El006G296420	Aa_G562810.h1.t1
OG0000087	El007G360740	Aa_G103150.h1.t1
OG0000087	El003G165170	Aa_G580380.h1.t1
OG0000087	El004G228430	Aa_G656110.h1.t1
OG0000088	El001G016960	Aa_G363940.h1.t1
OG0000088	El005G272530, El001G013580, El007G349190, El001G013550, El001G013530, El001G013500, El001G013370, El001G013590, El001G013380, El001G013440, El001G013460, El001G013600, El001G013480, El001G013570, El001G013430, El001G017030, El001G017000	Aa_G273740.h1.t1
OG0000088	El001G017090, El001G017020, El001G017060	Aa_G614510.h1.t1
OG0000088	El001G017070	Aa_G100900.h1.t1, Aa_G100900.h2.t1
OG0000088	El001G016470	Aa_G89050.h1.t1
OG0000088	El001G059590	Aa_G15590.h1.t1
OG0000088	El001G059580	Aa_G15570.h1.t1
OG0000089	El001G072250	Aa_G152880.h1.t1
OG0000089	El002G120830	Aa_G537640.h1.t1
OG0000089	El005G256100	Aa_G429520.h1.t1
OG0000089	El006G287080	Aa_G67360.h1.t1
OG0000089	El005G247910	Aa_G5290.h1.t1
OG0000089	El001G024400	Aa_G367680.h1.t1
OG0000089	El006G292700	Aa_G576740.h1.t1
OG0000090	El002G104490, El003G181590	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000090	El004G228750	Aa_G410840.h1.t1
OG0000090	El003G147970	Aa_G349440.h1.t1, Aa_G349450.h1.t1
OG0000090	El001G038160, El001G038170, El001G049400, El001G038180, El002G093200	Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1
OG0000091	El004G215550	Aa_G445870.h1.t1
OG0000093	El001G029880	Aa_G526180.h1.t1
OG0000093	El001G029840	Aa_G526150.h1.t1, Aa_G526160.h1.t1
OG0000093	El001G029800, El007G352040	Aa_G627630.h1.t1, Aa_G627620.h1.t1
OG0000096	El001G038300, El001G038380, El001G038370	Aa_G683270.h1.t1
OG0000096	El007G361830	Aa_G122040.h1.t1
OG0000096	El007G362830	Aa_G786250.h1.t1, Aa_G786250.h2.t1, Aa_G636230.h1.t1
OG0000097	El001G004470	Aa_G42050.h1.t1
OG0000097	El001G004450	Aa_G233060.h1.t1, Aa_G261510.h1.t1
OG0000097	El001G004380	Aa_G577800.h1.t1
OG0000097	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890	Aa_G120830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h6.t1, Aa_G405830.h4.t1, Aa_G405830.h3.t1, Aa_G405830.h1.t1, Aa_G405830.h2.t1, Aa_G405810.h1.t1
OG0000099	El004G194890, El004G195030, El004G194980	Aa_G384670.h1.t1
OG0000100	El006G312970	Aa_G527420.h1.t1, Aa_G180200.h1.t1
OG0000101	El007G346770	Aa_G65950.h1.t1
OG0000101	El004G195800	Aa_G65740.h1.t1, Aa_G65800.h1.t1
OG0000101	El007G356350	Aa_G398600.h1.t1
OG0000104	El002G090170	Aa_G257560.h1.t1
OG0000104	El006G304210	Aa_G459870.h1.t1
OG0000106	El005G259530, El001G010720, El005G256190, El005G255570, El005G256210, El005G255560	Aa_G32180.h1.t1
OG0000107	El003G184930, El003G187830	Aa_G323970.h1.t1
OG0000107	El001G039680, El005G258940, El005G270120	Aa_G323960.h1.t1
OG0000108	El001G053220, El001G053160, El001G053150, El001G053080, El001G053060, El001G053120, El001G053110, El001G053070, El001G053140, El001G047240, El007G364310, El007G323300, El001G009690, El006G281400	Aa_G539300.h1.t1, Aa_G70590.h1.t1
OG0000109	El001G071270, El005G269730	Aa_G84800.h1.t1, Aa_G329020.h1.t1
OG0000109	El001G049940, El008G368450, El002G127890, El006G320930, El003G188420, El002G122420	Aa_G663410.h1.t1
OG0000110	El001G030790	Aa_G271260.h1.t1
OG0000110	El001G030780	Aa_G784880.h1.t1
OG0000110	El001G030740	Aa_G533500.h1.t1, Aa_G544160.h1.t1, Aa_G430880.h1.t1, Aa_G741430.h1.t1, Aa_G544170.h1.t1, Aa_G430870.h1.t1, Aa_G350840.h1.t1, Aa_G773700.h1.t1
OG0000110	El001G030750	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000111	El003G187720, El001G009620, El003G183560	Aa_G478490.h1.t1, Aa_G110070.h1.t1
OG0000111	El003G187730	Aa_G110080.h1.t1, Aa_G75250.h1.t1
OG0000111	El007G327170	Aa_G75240.h1.t1
OG0000111	El001G025790	Aa_G482030.h1.t1, Aa_G359110.h1.t1
OG0000113	El004G207200	Aa_G106970.h1.t1, Aa_G65730.h1.t1
OG0000113	El007G357330	Aa_G710830.h1.t1
OG0000113	El003G170190	Aa_G792870.h1.t1
OG0000113	El004G212080	Aa_G117390.h1.t1
OG0000113	El002G128690	Aa_G339760.h1.t1, Aa_G217260.h1.t1, Aa_G84880.h1.t1
OG0000114	El001G070430	Aa_G84490.h1.t1, Aa_G17720.h1.t1, Aa_G563350.h1.t1
OG0000114	El004G206200, El004G206180, El004G205940, El004G206220	Aa_G339770.h1.t1, Aa_G339800.h1.t1, Aa_G339780.h1.t1, Aa_G217290.h1.t1, Aa_G146330.h1.t1, Aa_G146320.h1.t1
OG0000115	El002G126950, El002G121910, El006G311440, El006G308990, El007G324900, El006G289920, El006G285120, El004G201560, El001G079750, El001G046700, El002G106750, El002G138260, El007G348280, El001G079740, El006G310420	Aa_G172360.h1.t1
OG0000117	El002G130220	Aa_G370540.h1.t1
OG0000120	El001G077920	Aa_G388280.h1.t1
OG0000122	El007G335590, El007G335600	Aa_G592740.h1.t1
OG0000123	El002G113800, El001G013920, El003G177660	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1
OG0000124	El005G257490	Aa_G9780.h1.t1
OG0000124	El006G297400, El006G297570, El004G206660, El006G307600, El001G057860	Aa_G10940.h1.t1
OG0000124	El004G224160, El007G349980	Aa_G198530.h1.t1
OG0000125	El006G292880	Aa_G311330.h1.t1
OG0000125	El001G057350	Aa_G552180.h1.t1
OG0000125	El001G015040, El007G331030	Aa_G33880.h1.t1
OG0000125	El006G304720	Aa_G69270.h1.t1
OG0000127	El001G001730	Aa_G101380.h1.t1, Aa_G232630.h1.t1
OG0000128	El003G173140	Aa_G159330.h2.t1, Aa_G159330.h1.t1, Aa_G1023650.h1.t1
OG0000128	El007G350650	Aa_G830510.h2.t1, Aa_G830510.h1.t1, Aa_G415050.h1.t1
OG0000130	El002G120060	Aa_G717270.h1.t1, Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1, Aa_G741540.h1.t1
OG0000131	El007G346920	Aa_G861160.h1.t1
OG0000131	El006G311530	Aa_G187370.h1.t1, Aa_G173790.h1.t1, Aa_G972050.h1.t1, Aa_G918570.h1.t1, Aa_G327480.h1.t1, Aa_G122790.h1.t1
OG0000132	El005G264210	Aa_G65480.h1.t1
OG0000133	El005G265050	Aa_G50020.h1.t1
OG0000136	El003G186490, El003G186500	Aa_G108450.h1.t1
OG0000138	El001G045810, El001G045830	Aa_G514480.h1.t1, Aa_G105030.h1.t1, Aa_G531570.h1.t1
OG0000139	El007G349680, El003G179680	Aa_G840.h1.t1, Aa_G475650.h1.t1
OG0000140	El007G331970	Aa_G297060.h1.t1
OG0000140	El007G332020	Aa_G701760.h1.t1
OG0000140	El007G332010, El007G332000	Aa_G650690.h2.t1, Aa_G650690.h1.t1
OG0000142	El006G303740, El006G303770	Aa_G49000.h1.t1, Aa_G235730.h1.t1
OG0000142	El006G303720	Aa_G173900.h1.t1
OG0000142	El006G303780	Aa_G35530.h1.t1
OG0000145	El001G032500	Aa_G11550.h1.t1
OG0000146	El007G336790	Aa_G59090.h1.t1
OG0000146	El007G336850	Aa_G643480.h1.t1
OG0000146	El007G336810	Aa_G643460.h1.t1, Aa_G732190.h1.t1
OG0000146	El002G123110	Aa_G925390.h1.t1
OG0000147	El005G277400	Aa_G190130.h1.t1
OG0000147	El003G152940	Aa_G620370.h1.t1
OG0000147	El007G334350	Aa_G307400.h1.t1
OG0000147	El004G233720	Aa_G21590.h1.t1
OG0000147	El001G047010	Aa_G490420.h1.t1
OG0000147	El005G271430	Aa_G194510.h1.t1
OG0000147	El006G316840	Aa_G41590.h1.t1
OG0000150	El001G011280	Aa_G251660.h1.t1
OG0000151	El007G339860	Aa_G134060.h1.t1
OG0000151	El003G156070	Aa_G2000.h1.t1
OG0000151	El005G243780	Aa_G24370.h1.t1
OG0000151	El005G273960	Aa_G70150.h1.t1
OG0000151	El007G336000	Aa_G580840.h1.t1
OG0000151	El003G193180	Aa_G688860.h1.t1
OG0000154	El005G244620	Aa_G403550.h1.t1
OG0000155	El004G214530, El004G213730, El004G214590, El003G164690	Aa_G58940.h1.t1
OG0000155	El005G247790	Aa_G5430.h1.t1
OG0000156	El006G282810	Aa_G16040.h1.t1
OG0000156	El006G282870	Aa_G16080.h1.t1, Aa_G560990.h1.t1, Aa_G16100.h1.t1, Aa_G16070.h1.t1, Aa_G385160.h1.t1
OG0000156	El006G282820, El007G349010, El006G282860, El002G121590, El006G282830	Aa_G16090.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1, Aa_G569190.h1.t1
OG0000158	El006G298850	Aa_G270230.h1.t1
OG0000162	El003G183220	Aa_G208990.h1.t1
OG0000162	El002G134880, El001G032190	Aa_G573270.h1.t1
OG0000162	El006G283560, El006G283550	Aa_G175290.h1.t1
OG0000165	El006G283540, El001G061740	Aa_G330590.h1.t1, Aa_G848170.h1.t1, Aa_G30210.h1.t1
OG0000166	El004G197940	Aa_G209590.h1.t1
OG0000167	El003G166330	Aa_G148400.h1.t1
OG0000167	El007G348790	Aa_G460260.h1.t1
OG0000167	El003G166350	Aa_G674860.h1.t1
OG0000167	El003G186120	Aa_G403160.h1.t1
OG0000169	El004G220680	Aa_G98910.h1.t1
OG0000169	El004G204650	Aa_G87240.h1.t1
OG0000171	El004G222060, El002G108810	Aa_G101710.h1.t1
OG0000171	El004G201030	Aa_G193050.h1.t1
OG0000172	El001G030560	Aa_G517130.h1.t1, Aa_G154110.h1.t1
OG0000175	El005G275350	Aa_G459730.h1.t1, Aa_G514660.h1.t1
OG0000175	El004G228610	Aa_G281740.h1.t1
OG0000175	El003G147420	Aa_G180380.h1.t1
OG0000177	El006G311500	Aa_G26980.h1.t1
OG0000178	El004G208000, El001G047610, El007G347590	Aa_G20.h1.t1
OG0000180	El007G325980, El006G317860	Aa_G20960.h1.t1
OG0000185	El004G210290	Aa_G394930.h1.t1, Aa_G89750.h1.t1
OG0000185	El001G013560	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1
OG0000185	El001G048970	Aa_G341600.h1.t1
OG0000185	El006G317340, El007G342730, El007G358220	Aa_G708810.h1.t1, Aa_G41930.h1.t1, Aa_G650260.h1.t1, Aa_G445230.h1.t1, Aa_G555610.h1.t1, Aa_G206620.h1.t1
OG0000185	El001G004130	Aa_G197860.h1.t1, Aa_G165600.h1.t1
OG0000187	El003G151270	Aa_G145050.h1.t1, Aa_G145080.h1.t1
OG0000187	El003G151220	Aa_G74610.h1.t1, Aa_G662460.h1.t1
OG0000187	El005G246530	Aa_G333270.h1.t1, Aa_G333280.h1.t1
OG0000190	El001G005540	Aa_G320630.h1.t1
OG0000192	El002G105680	Aa_G507530.h1.t1
OG0000192	El002G107880, El002G105580	Aa_G60820.h1.t1, Aa_G835800.h1.t1
OG0000195	El006G288320, El001G028150	Aa_G88530.h1.t1, Aa_G562480.h2.t1
OG0000195	El003G186220, El004G215670	Aa_G505900.h1.t1
OG0000196	El002G115040	Aa_G152770.h1.t1
OG0000197	El003G190970, El003G190840	Aa_G48860.h1.t1
OG0000200	El003G182550, El004G202190, El002G088260, El003G156950, El003G187150, El003G187490, El001G041980, El003G187480, El003G180990	Aa_G462040.h1.t1
OG0000203	El005G239330, El005G239300	Aa_G462700.h1.t1
OG0000203	El005G238860	Aa_G606990.h1.t1
OG0000208	El006G317590, El003G150670	Aa_G113520.h1.t1, Aa_G65830.h1.t1
OG0000209	El004G207330, El004G207320, El004G207280, El004G207300, El004G207310	Aa_G135600.h1.t1
OG0000209	El004G194580	Aa_G190160.h1.t1
OG0000209	El003G193190, El007G345850, El007G345610, El007G345740, El007G345570	Aa_G688850.h1.t1
OG0000210	El006G298860	Aa_G363640.h1.t1
OG0000210	El006G297290, El006G297480, El006G298870, El006G298840	Aa_G851370.h1.t1
OG0000213	El004G225470, El004G225480	Aa_G37930.h1.t1
OG0000213	El005G245790	Aa_G302900.h1.t1, Aa_G586970.h1.t1, Aa_G586960.h1.t1, Aa_G586940.h1.t1
OG0000214	El001G033600	Aa_G434790.h1.t1, Aa_G716220.h1.t1
OG0000214	El001G009830	Aa_G354950.h1.t1, Aa_G527690.h1.t1
OG0000214	El006G314950	Aa_G71240.h1.t1
OG0000217	El004G203150, El004G202950, El004G203070	Aa_G323330.h1.t1
OG0000218	El002G099000	Aa_G328840.h1.t1
OG0000218	El002G099030, El002G099010	Aa_G272200.h1.t1
OG0000218	El001G040840, El001G040850	Aa_G238450.h1.t1, Aa_G222140.h1.t1
OG0000218	El001G036390	Aa_G509920.h1.t1
OG0000220	El004G196230	Aa_G218170.h1.t1
OG0000220	El001G037770	Aa_G344900.h1.t1
OG0000221	El008G369870	Aa_G261700.h1.t1
OG0000221	El001G033310	Aa_G147740.h1.t1
OG0000224	El004G230590	Aa_G129390.h1.t1
OG0000224	El005G267900	Aa_G145140.h1.t1, Aa_G74580.h1.t1
OG0000224	El004G196560, El004G196620, El004G196600	Aa_G95380.h1.t1
OG0000225	El002G115460, El002G115540, El002G115490, El002G115450	Aa_G465030.h1.t1, Aa_G778410.h1.t1, Aa_G465020.h1.t1, Aa_G22120.h1.t1, Aa_G465070.h1.t1
OG0000226	El002G084730	Aa_G503110.h1.t1
OG0000226	El002G108090	Aa_G328640.h2.t1, Aa_G328640.h1.t1
OG0000226	El003G167740, El003G167670, El003G167790	Aa_G464550.h1.t1, Aa_G464540.h1.t1
OG0000226	El002G110920	Aa_G161250.h1.t1
OG0000228	El001G048740, El001G048760	Aa_G367290.h1.t1, Aa_G367300.h1.t1
OG0000228	El004G222520	Aa_G412940.h1.t1
OG0000228	El004G222650	Aa_G271400.h1.t1
OG0000228	El004G222500	Aa_G412920.h1.t1
OG0000229	El003G153420	Aa_G284830.h1.t1, Aa_G191220.h1.t1, Aa_G123140.h1.t1
OG0000231	El003G188200	Aa_G682460.h2.t1, Aa_G682460.h1.t1, Aa_G109980.h1.t1
OG0000232	El002G128560, El005G261940, El005G261950, El005G261880, El005G261890	Aa_G216090.h1.t1
OG0000234	El001G026000	Aa_G566620.h1.t1, Aa_G329140.h1.t1
OG0000234	El001G025990	Aa_G729400.h1.t1
OG0000234	El001G025980, El006G290620	Aa_G351750.h1.t1, Aa_G351740.h1.t1, Aa_G351730.h1.t1, Aa_G351720.h1.t1
OG0000234	El001G068080	Aa_G388320.h1.t1
OG0000239	El006G298680	Aa_G258130.h1.t1
OG0000241	El004G206480, El004G203420	Aa_G108470.h1.t1
OG0000242	El002G097950	Aa_G458130.h1.t1
OG0000244	El003G163990	Aa_G213370.h1.t1
OG0000244	El003G164310	Aa_G213290.h1.t1, Aa_G213300.h1.t1
OG0000244	El003G164000	Aa_G213310.h1.t1, Aa_G213330.h1.t1, Aa_G213320.h1.t1, Aa_G213340.h1.t1, Aa_G213350.h1.t1
OG0000244	El003G164280	Aa_G257180.h1.t1, Aa_G974580.h1.t1
OG0000244	El001G005160	Aa_G257190.h1.t1
