Orthogroup	Erysimum_linariifolium	Eutrema_salsugineum
OG0000056	El007G350500	XP_024013046.1, XP_024009725.1, XP_024013305.1
OG0000057	El003G184060	XP_024016535.1
OG0000058	El007G338080, El003G151650, El005G258270, El006G310940, El002G122710, El003G177250, El002G135580, El005G263200, El002G136300, El005G276970, El001G065670, El001G046450, El001G034170, El005G262760	XP_024007981.1, XP_024015913.1
OG0000061	El006G308960, El006G308930, El002G121930	XP_024004223.1, XP_024014389.1
OG0000062	El005G264970, El004G212620	XP_024003982.1, XP_006414525.2, XP_024014161.1
OG0000062	El003G186180, El004G203440, El004G203430	XP_024014042.1
OG0000062	El001G054390	XP_024010130.1, XP_006405230.2
OG0000064	El003G142390	XP_006411683.1
OG0000064	El006G298100	XP_006410525.1
OG0000064	El004G232120	XP_024004093.1, XP_024004091.1
OG0000064	El004G232110	XP_024010383.1
OG0000064	El008G368860	XP_006410127.1
OG0000065	El002G116640, El002G116630, El004G204380, El003G166420, El003G166430, El007G349160	XP_024006661.1
OG0000066	El004G228220, El004G228230, El002G122920	XP_024005718.1
OG0000066	El007G324780	XP_024012002.1, XP_006394044.1, XP_006394194.1, XP_006396911.1
OG0000067	El001G050000	XP_024014925.1
OG0000067	El005G274450, El007G348170	XP_006399102.2
OG0000070	El007G351510	XP_024010588.1
OG0000071	El003G161900, El007G348480, El004G223960, El004G222550	XP_024010849.1, XP_024009972.1
OG0000071	El003G186390, El001G051200, El006G305000	XP_024005999.1, XP_024004736.1, XP_024012932.1, XP_024013941.1
OG0000072	El005G263040, El005G262970, El004G210970, El005G264060, El003G180720	XP_024009348.1, XP_024013914.1, XP_024006596.1, XP_024009952.1, XP_024014026.1, XP_024010244.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009380.1, XP_024009792.1, XP_024010384.1, XP_024009711.1
OG0000073	El007G343060, El004G214500	XP_024009767.1
OG0000073	El007G355990	XP_024009991.1
OG0000074	El002G108900, El002G108910	XP_006416064.2
OG0000074	El002G109020, El002G108990	XP_024008031.1
OG0000074	El002G108960, El002G108950	XP_024010232.1
OG0000074	El002G108840	XP_024008618.1
OG0000074	El002G108850	XP_024008035.1
OG0000075	El001G065030, El001G025110	XP_024006207.1
OG0000077	El007G346620, El007G346720, El007G346600, El004G208890, El007G346470, El006G315340, El007G346500, El007G346630, El007G346710, El007G346580, El007G346750, El003G143060, El003G143070	XP_006418924.1
OG0000077	El007G346640, El004G229240, El002G122000	XP_024014654.1
OG0000077	El003G143080	XP_006396813.1, XP_006396818.1
OG0000077	El003G143050, El006G313810, El003G143040	XP_024009721.1, XP_024009720.1
OG0000077	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890	XP_006416449.2, XP_024011069.1
OG0000079	El004G207470	XP_024015302.1
OG0000080	El002G131320, El002G131270	XP_006400395.1
OG0000080	El001G069000, El001G068960	XP_024006267.1
OG0000080	El003G157200	XP_006413201.2, XP_006413190.1
OG0000081	El004G231800, El001G044440	XP_006416297.2, XP_024006818.1, XP_006412742.1
OG0000081	El006G319750	XP_024006465.1, XP_024006468.1
OG0000081	El006G304570	XP_006393087.2
OG0000081	El001G062660	XP_006400346.2
OG0000081	El001G062500	XP_006400362.1
OG0000082	El004G212430	XP_024009693.1
OG0000083	El007G352220, El007G352210	XP_006414117.2, XP_024005332.1, XP_006414114.1, XP_024005467.1
OG0000083	El004G223260	XP_024011615.1
OG0000083	El005G262880, El005G263710, El005G263680, El005G263720, El005G262910	XP_006406083.1
OG0000083	El005G271260, El005G271250, El005G271160, El005G265390	XP_024009012.1
OG0000083	El006G313440	XP_006405511.2
OG0000084	El006G315730, El006G315630, El006G315610, El006G315700, El006G317190, El006G312100, El006G312130, El006G317170, El006G315060, El006G315050, El006G312110, El006G317200, El006G317180	XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1
OG0000084	El006G316420	XP_006405019.2
OG0000085	El005G263080	XP_024013061.1
OG0000086	El002G123600, El004G210560	XP_006408761.1, XP_006408760.1, XP_006408781.1, XP_006408766.1, XP_024016075.1, XP_006408779.2, XP_006408769.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408759.1, XP_006408777.1, XP_006408780.1, XP_006408778.1, XP_006408763.1, XP_006408768.1, XP_006408765.1, XP_024015891.1, XP_006408757.1, XP_006408758.1
OG0000087	El001G018640	XP_006404194.1
OG0000087	El001G056180	XP_006394642.1
OG0000087	El006G303330	XP_006410012.1
OG0000087	El001G069260	XP_006399740.1
OG0000087	El006G296420	XP_006410628.1
OG0000087	El007G360740	XP_006403108.1
OG0000087	El003G165170	XP_006413842.1
OG0000087	El004G228430	XP_006390273.1
OG0000088	El001G017100, El005G272510	XP_006404364.1
OG0000088	El001G016960	XP_024011698.1
OG0000088	El001G016470	XP_006404412.1
OG0000088	El001G059590	XP_024011446.1
OG0000089	El001G072250	XP_006399464.1
OG0000089	El002G120830	XP_006405819.1
OG0000089	El002G133200	XP_006406564.1
OG0000089	El005G247910	XP_006407369.1
OG0000089	El006G292700	XP_006410952.1
OG0000089	El001G015710	XP_006418890.1
OG0000090	El002G104490, El003G181590	XP_006416426.1
OG0000090	El004G228750	XP_006390250.1
OG0000090	El003G147970	XP_006402629.2
OG0000093	El005G270280	XP_006393541.2, XP_006393537.1
OG0000093	El004G202240, El004G202270	XP_024014492.1
OG0000093	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230	XP_024006522.1, XP_024006521.1
OG0000093	El001G029840	XP_024012757.1
OG0000096	El001G038300	XP_006395720.2
OG0000096	El001G038380, El001G038370	XP_006395727.1, XP_006395717.2
OG0000096	El007G361830	XP_024004738.1
OG0000096	El007G362760	XP_006398175.2
OG0000096	El007G362830	XP_024011109.1
OG0000097	El001G004470	XP_006417793.2
OG0000097	El001G004400	XP_006405546.1
OG0000098	El002G095770	XP_024008234.1
OG0000099	El004G194890, El004G195030, El004G194980	XP_006391682.2
OG0000100	El003G172340, El006G312970	XP_024013152.1
OG0000100	El002G130910	XP_024013365.1
OG0000101	El004G195800	XP_024014029.1
OG0000101	El001G010940	XP_024004369.1
OG0000104	El002G136360	XP_024006272.1
OG0000105	El027G373450	XP_024011316.1
OG0000106	El005G259530	XP_024014982.1, XP_006408882.1
OG0000106	El006G306450, El005G269060, El005G269030, El005G268940	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000107	El005G257840	XP_024015177.1
OG0000107	El001G039680, El005G258940	XP_006406420.1
OG0000108	El007G364310, El007G323300, El001G009690, El006G281400	XP_006394690.1, XP_006404383.1, XP_006414046.1
OG0000109	El001G071270	XP_024014456.1
OG0000109	El001G049940, El008G368450, El002G127890, El006G320930, El003G188420, El002G122420	XP_024014096.1
OG0000109	El001G018880	XP_024004593.1
OG0000110	El001G030790	XP_006402710.1
OG0000110	El001G030780	XP_006402712.2
OG0000110	El001G030750	XP_006402715.1
OG0000111	El003G187720, El001G009620, El003G183560	XP_024014705.1, XP_024014617.1, XP_006405755.2, XP_024014786.1, XP_024014405.1, XP_006405613.2, XP_006405611.2, XP_006393001.2
OG0000111	El003G187730	XP_024014624.1
OG0000111	El001G025790	XP_006403516.1
OG0000112	El007G342990	XP_024012107.1
OG0000114	El004G213600	XP_024006571.1
OG0000114	El001G070430	XP_006399626.1
OG0000115	El002G126950, El002G121910, El006G311440, El006G308990, El007G324900, El006G289920, El006G285120, El004G201560, El001G079750, El001G046700, El002G106750, El002G138260, El007G348280, El001G079740, El006G310420	XP_024013331.1
OG0000118	El005G262010	XP_006390706.1, XP_006396340.2, XP_024009908.1, XP_024009900.1, XP_006414734.2
OG0000118	El002G084120	XP_006409739.1, XP_006409778.1, XP_006391257.1
OG0000119	El005G265760, El001G013130, El007G355930	XP_024009367.1
OG0000119	El002G124220	XP_024010311.1, XP_024010843.1, XP_024009910.1, XP_024004523.1
OG0000120	El004G200260	XP_006392103.1, XP_006392097.1
OG0000120	El001G077920	XP_006409474.2, XP_006398920.1
OG0000122	El007G335590, El007G335600	XP_006401333.2
OG0000122	El007G335620, El007G335610	XP_024012350.1
OG0000124	El004G213400, El002G123970, El005G272110	XP_024004501.1, XP_024004928.1
OG0000125	El006G292880	XP_006410934.1
OG0000125	El001G057350	XP_006400797.1
OG0000125	El006G304720	XP_006409905.1
OG0000127	El005G244320	XP_006415215.1
OG0000127	El001G001730	XP_024009346.1, XP_024014032.1, XP_006390920.2, XP_024014379.1, XP_024007923.1
OG0000128	El003G173140	XP_024011285.1
OG0000129	El001G046120	XP_024004086.1, XP_024007750.1, XP_024006458.1, XP_024014815.1, XP_024013979.1, XP_024009941.1, XP_024008002.1, XP_024013304.1, XP_024010557.1, XP_024013929.1, XP_024013647.1, XP_024011259.1, XP_024009747.1, XP_024009366.1, XP_024009279.1, XP_024004932.1, XP_024013309.1, XP_024011242.1, XP_024014409.1
OG0000131	El007G346920	XP_024013163.1
OG0000132	El005G264200	XP_006415357.2, XP_006404698.2
OG0000133	El005G265050	XP_024007614.1
OG0000133	El001G044680	XP_024007305.1
OG0000135	El007G346110	XP_024004065.1, XP_024016223.1, XP_024004923.1, XP_024006538.1, XP_024006075.1, XP_024012099.1, XP_024006572.1
OG0000136	El004G215950, El004G215940	XP_006390991.1
OG0000136	El004G209050, El004G209110	XP_006405815.1, XP_024014475.1
OG0000136	El003G186400, El003G186460	XP_006405877.2
OG0000136	El003G186500	XP_024014367.1
OG0000136	El007G355150, El007G356600	XP_006405821.2
OG0000137	El003G191580	XP_024014203.1
OG0000138	El001G045840	XP_006395269.1
OG0000138	El001G045810, El001G045830	XP_006395267.1
OG0000140	El007G331970	XP_006400988.1
OG0000140	El007G332020	XP_024011857.1
OG0000140	El007G332560, El007G332570, El007G332540	XP_024011989.1, XP_024011966.1, XP_024012425.1
OG0000140	El007G332580, El007G332590	XP_024012145.1
OG0000140	El007G332010, El007G332000	XP_006400992.1
OG0000142	El006G303780	XP_024003801.1
OG0000143	El003G186130	XP_024005012.1
OG0000144	El007G351410	XP_024004160.1
OG0000144	El007G351390	XP_024004159.1, XP_024015297.1
OG0000144	El007G362000	XP_024013228.1
OG0000146	El007G336800	XP_006401461.1
OG0000146	El007G336790	XP_006401460.1
OG0000146	El007G336850	XP_006401465.2
OG0000146	El007G336810	XP_006401462.1
OG0000146	El007G336820	XP_006401463.2
OG0000146	El007G336870, El007G336880, El007G336910, El002G123070, El007G336890, El002G123110, El007G336920	XP_006401466.1
OG0000147	El005G277400	XP_006409094.1
OG0000147	El003G152940	XP_024005341.1
OG0000147	El007G334350	XP_024012572.1
OG0000147	El004G233720	XP_006389820.1
OG0000147	El001G047010	XP_006419170.1
OG0000147	El005G271430	XP_006396088.1
OG0000147	El006G316840	XP_006404985.2
OG0000149	El001G015560	XP_024009527.1
OG0000150	El006G312860	XP_024009951.1
OG0000150	El001G011280	XP_006419033.2
OG0000151	El007G339860	XP_006401722.1
OG0000151	El003G156070	XP_024005195.1
OG0000151	El005G243780	XP_006407751.1
OG0000151	El005G273960	XP_006409398.1
OG0000151	El007G336000	XP_006401372.1
OG0000151	El003G193180	XP_006405318.1
OG0000152	El006G310290	XP_024006631.1, XP_024007301.1, XP_024007965.1
OG0000154	El005G244620	XP_006407676.1
OG0000155	El001G002450, El001G002560, El001G002510, El001G002610	XP_024009917.1
OG0000155	El003G164690	XP_024005112.1
OG0000155	El005G247790	XP_024009272.1, XP_006407382.2
OG0000156	El001G032910	XP_024012911.1
OG0000156	El006G282820, El007G349010	XP_024010825.1
OG0000156	El006G282860	XP_006410182.1
OG0000156	El002G121590, El006G282830	XP_024010761.1
OG0000157	El003G192550, El003G192860	XP_006416096.1
OG0000158	El005G271000	XP_006397174.2
OG0000158	El001G001370, El001G007170, El001G007140	XP_006397112.2
OG0000158	El006G298850	XP_006390521.2, XP_024007853.1
OG0000162	El005G268830	XP_024012914.1
OG0000162	El007G330500	XP_024012462.1
OG0000162	El006G283560, El006G283550	XP_024004704.1, XP_024010855.1
OG0000164	El003G186050, El001G048320	XP_024006417.1
OG0000164	El003G143320	XP_006411772.1
OG0000165	El006G283540, El001G061740	XP_024007228.1
OG0000166	El004G197940	XP_024013972.1
OG0000166	El003G170640, El003G170650, El006G307980, El001G032810, El001G080610, El004G229180	XP_024009948.1
OG0000167	El003G166330	XP_006413956.2
OG0000167	El003G186190, El007G348790	XP_024005579.1
OG0000167	El003G166350	XP_006393695.2
OG0000167	El003G186120	XP_006413960.1
OG0000168	El002G109450	XP_024009434.1
OG0000168	El006G282840	XP_024015940.1
OG0000168	El007G366060, El007G366100	XP_024007996.1
OG0000169	El004G204650	XP_006392322.2
OG0000171	El004G222060, El002G108810	XP_024015929.1, XP_006416080.1
OG0000171	El004G201030	XP_006417443.1
OG0000171	El001G066810	XP_024012404.1
OG0000172	El001G024870, El001G024880	XP_024015356.1, XP_006406628.2, XP_006402376.1
OG0000172	El001G034730	XP_006402375.2
OG0000172	El001G030560	XP_024012920.1
OG0000174	El005G261670	XP_024016025.1
OG0000175	El001G021550	XP_006409243.1
OG0000175	El004G228610	XP_006390262.1
OG0000175	El002G104420	XP_006416436.1
OG0000175	El003G147420	XP_006412162.1
OG0000175	El003G146230	XP_006412039.1
OG0000176	El002G117480	XP_006415425.1
OG0000177	El004G208380, El005G239340, El002G123320, El001G053740, El007G348130	XP_006396068.2
OG0000180	El004G196870, El004G196830, El007G342850	XP_006404944.1
OG0000181	El004G221180, El006G310720, El001G037070, El007G362960, El001G081130, El003G164550, El006G294400, El001G016930, El002G127660, El007G351590, El002G119200, El007G343640, El003G185610, El007G324810	XP_024006411.1, XP_024009429.1, XP_024009258.1, XP_024016372.1, XP_024006632.1, XP_024015899.1
OG0000183	El002G109930, El002G097230, El003G174400, El002G139010, El002G135320	XP_024013677.1, XP_024014473.1
OG0000183	El002G109940, El003G170170, El006G283640	XP_024016526.1
OG0000185	El004G210290	XP_024016314.1
OG0000185	El004G197640, El001G013560, El001G037380, El004G194470, El007G338660, El001G004120, El001G048970, El006G317340, El007G342730, El007G358220	XP_024009937.1
OG0000185	El001G004130	XP_024010233.1, XP_024014271.1, XP_024011288.1
OG0000187	El003G151220	XP_024004600.1
OG0000189	El004G229250	XP_006411787.1
OG0000189	El005G268020	XP_006412595.2
OG0000189	El003G144180	XP_006409103.1
OG0000190	El001G005520, El001G005530	XP_006396683.2
OG0000190	El001G005510	XP_024010194.1, XP_006396684.1
OG0000191	El005G254650	XP_024015686.1
OG0000191	El005G274440, El005G274460, El005G274720	XP_024012172.1
OG0000192	El002G105680	XP_024008190.1
OG0000192	El002G105570	XP_006416323.1
OG0000192	El002G107880, El002G105580, El002G105610, El002G105620, El002G105690	XP_006416321.2
OG0000193	El006G309730	XP_024014929.1, XP_024014930.1, XP_024015423.1, XP_024014935.1, XP_006406082.1, XP_006406087.1, XP_006406076.1
OG0000193	El005G259130	XP_024014991.1, XP_024006548.1
OG0000193	El002G132160, El002G132130, El005G259240	XP_024015693.1
OG0000195	El006G308260	XP_006408585.1
OG0000195	El006G288320, El001G028150	XP_006402949.1
OG0000195	El003G186220, El004G215670	XP_006405835.1, XP_006391396.1
OG0000196	El002G116380	XP_006415505.2
OG0000196	El002G115030	XP_006415606.2
OG0000197	El005G275730, El005G275770, El005G276170	XP_024009776.1, XP_006391273.1, XP_024005932.1, XP_024005928.1
OG0000200	El002G119250	XP_024016187.1, XP_024010305.1, XP_006397124.1, XP_006396952.1, XP_024010284.1
OG0000201	El005G260650, El005G260640	XP_006406033.1, XP_024014915.1
OG0000201	El005G260820	XP_006406221.2, XP_006406220.1
OG0000201	El005G260710	XP_006406218.1, XP_006391352.1
OG0000202	El001G009350	XP_006406722.1
OG0000202	El005G254420	XP_006403304.1
OG0000202	El005G261620, El005G261760	XP_006406160.1, XP_024014950.1
OG0000202	El005G261630	XP_024012507.1, XP_006400938.2, XP_024009330.1
OG0000203	El005G239330, El005G239300, El005G239360, El005G239320, El005G239280, El007G349670	XP_006408167.1
OG0000203	El005G238860	XP_006403294.1, XP_006413270.2
OG0000204	El005G261570	XP_006406140.1
OG0000204	El005G259630	XP_024014985.1
OG0000205	El002G129620, El002G129730, El002G129760, El002G129780, El002G129740, El002G129710, El002G129660, El002G129670, El002G129810	XP_024006540.1, XP_024006299.1, XP_024006462.1
OG0000206	El001G018920	XP_024006442.1, XP_024006834.1, XP_024003977.1, XP_024006206.1
OG0000207	El002G100990	XP_024009108.1
OG0000208	El002G130530, El002G130520	XP_006405350.1, XP_024014684.1
OG0000208	El006G317590, El003G150670	XP_006411750.1
OG0000210	El001G038720, El005G269840, El005G269890, El005G269850	XP_024015969.1
OG0000210	El006G298860	XP_024004125.1
OG0000210	El006G297290, El006G297480, El006G298870, El006G298840	XP_006410456.1
OG0000213	El004G225470, El004G225480	XP_006390568.1
OG0000213	El005G245790	XP_024015047.1
OG0000213	El006G319110	XP_024014309.1
OG0000213	El006G319100	XP_024013862.1
OG0000214	El001G033600	XP_006398075.1
OG0000214	El006G314950	XP_024009918.1
OG0000216	El003G163460, El003G163490	XP_024009180.1
OG0000217	El004G202120	XP_006392266.1
OG0000218	El001G040840, El001G040850	XP_006413529.1
OG0000218	El001G036390	XP_006395885.1, XP_006395886.1
OG0000219	El004G216370	XP_006391444.1
OG0000219	El007G327350	XP_006394298.1
OG0000219	El007G339360	XP_006394299.1
OG0000220	El008G369090	XP_024003647.1, XP_024003658.1
OG0000220	El004G208200	XP_006402068.1
OG0000220	El001G037770	XP_024006671.1
OG0000221	El001G033310	XP_024005026.1
OG0000224	El004G230590	XP_006390080.1
OG0000224	El005G267900	XP_006412567.1
OG0000225	El002G115460, El002G115540, El002G115490, El002G115450	XP_006415575.2
OG0000225	El002G115470, El002G115510	XP_006415569.1
OG0000228	El004G222500	XP_024007098.1
OG0000229	El003G153420	XP_006413298.1, XP_006412791.2
OG0000230	El004G228550, El004G228570, El004G228580, El004G228600, El004G228560	XP_024007004.1
OG0000231	El003G188200	XP_006402171.2, XP_006405728.2
OG0000234	El001G026000	XP_006403491.1
OG0000234	El001G025990	XP_006403492.1
OG0000234	El001G025980	XP_006403493.1
OG0000234	El006G290620	XP_006411161.1
OG0000234	El001G068080	XP_006399852.1
OG0000237	El005G266480, El003G180350	XP_024011339.1
OG0000238	El006G319450	XP_024013337.1, XP_024003652.1
OG0000241	El004G206480, El004G203420	XP_024010473.1, XP_024007230.1
OG0000242	El002G097950	XP_006417058.1
OG0000242	El002G097970	XP_024008759.1
OG0000242	El002G097940	XP_006417061.1
