Orthogroup	Erysimum_linariifolium	Arabidopsis_lyrata_Rawat
OG0000008	El001G077860	AL8G21520, AL5G24310, AL3G40710, AL1G45690, AL5G20410, AL4G18090, AL2G19610, AL6G46960, AL3G44870, AL2G22310, AL4G13380, AL3G52160
OG0000008	El001G021990, El001G021710	AL5G32180
OG0000008	El003G174670	AL5G32150, AL5G32140
OG0000010	El005G270270, El007G361510, El004G205900	AL4G20510
OG0000011	El004G200940	AL8G16700
OG0000012	El002G120760	AL5G18610, AL1G66070
OG0000012	El006G310180, El001G048000, El003G154210, El007G344400, El007G350120	AL7G44260
OG0000012	El007G355770, El007G355890	AL4G20380
OG0000012	El002G129160	AL8G19630, AL7G45280
OG0000013	El006G310100, El007G353330, El004G207030, El006G312640, El003G182060, El001G045710	AL3G45620
OG0000014	El001G041310	AL3G43620, AL527U10010, AL178U10020, AL3G15110, AL5G42740
OG0000014	El003G178520	AL8G21700, AL8G22640, AL177U10010, AL5G19160, AL5G16500, AL1G10620, AL1G57320, AL4G16410, AL1G54360, AL6G32700, AL279U10030, AL6G46360, AL1G66640, AL1G65830, AL2G22110
OG0000014	El004G198920	AL5G15080
OG0000015	El001G070750	AL792U10020, AL429U10010, AL8G27740, AL4G24660, AL3G28900, AL4G16120
OG0000015	El060G376140, El053G375740	AL3G46060
OG0000018	El003G154150, El006G318220, El001G007900, El001G053230	AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170
OG0000018	El001G045850, El001G048290, El003G146330	AL7G47350, AL7G51150
OG0000018	El001G077880, El004G225550	AL6G47300, AL3G37170, AL3G43480, AL5G24330
OG0000019	El004G213790	AL8G22980
OG0000020	El001G045330, El001G045300, El001G045270, El001G045320, El004G206630	AL4G17980
OG0000021	El007G349240	AL2G10360, AL3G40240, AL7G34100
OG0000021	El006G317330	AL6G17120, AL1G64130, AL3G42610, AL3G47980, AL6G47170, AL3G48090, AL1G59200, AL7G48880
OG0000021	El005G277430	AL5G10040
OG0000021	El007G325630	AL5G25470
OG0000021	El001G045050	AL96U10010
OG0000023	El007G357800	AL7G30160
OG0000023	El001G007540	AL6G45930
OG0000023	El003G162170	AL7G30270
OG0000023	El003G162130	AL7G30280
OG0000024	El006G293740	AL128U10010
OG0000025	El001G014870, El001G014670	AL7G42840
OG0000025	El007G340450, El007G340490	nbis-gene-2113
OG0000025	El007G340430	nbis-gene-2112
OG0000027	El002G120570, El001G054130, El006G316890, El006G314010	AL4G16470
OG0000027	El002G117920, El002G117750, El002G117960, El002G117930, El002G117950	AL1G45340
OG0000027	El006G314050, El006G316880	nbis-gene-966, AL4G14930
OG0000027	El002G118120, El002G111110	AL1G45510
OG0000027	El002G120540	AL1G46260, AL1G46270, AL1G47320
OG0000027	El002G118130	AL1G45480, AL1G45490, AL1G45470, AL1G45520, AL1G45350
OG0000027	El002G117940	AL1G45280, AL1G45290, AL1G45300, AL1G45270
OG0000027	El002G117730	AL1G45210
OG0000027	El001G029050	AL5G39160, AL5G38280
OG0000027	El001G025570	AL5G39170
OG0000028	El008G369630	AL5G20350
OG0000030	El007G358700, El008G371380, El007G349640, El003G181950	AL1G54660
OG0000030	El002G130810	AL172U10010, AL4G17860
OG0000030	El007G346180	AL8G14180
OG0000030	El003G178390, El003G178450	AL4G45380, AL3G35100, AL8G39990, AL7G36770, AL2G36380, AL6G22280, AL6G40680, AL1G51440
OG0000030	El004G207450	AL8G23430, AL4G17850
OG0000031	El004G208470, El004G208460	AL2G13150, AL2G13130
OG0000031	El004G197790	AL2G13280
OG0000031	El004G197660	AL2G13120
OG0000031	El007G349520	AL2G13170, AL2G12830, AL2G12810, AL2G13140, AL2G12820, AL2G18840
OG0000031	El002G096110	AL1G23970, AL1G24080
OG0000031	El003G192370	AL7G48260
OG0000031	El005G253470	AL3G29640
OG0000031	El002G127940, El004G193990	AL2G10190
OG0000033	El003G162150	AL7G30290
OG0000033	El003G164670	AL7G32680
OG0000033	El003G162220	AL7G30350
OG0000033	El001G014890	AL5G24540
OG0000033	El001G004730	AL6G48800
OG0000034	El003G154390, El001G040620, El004G214030	AL8G19610
OG0000034	El001G048010	AL8G18300, AL7G23790, AL4G30020, AL5G40150, AL8G20130, AL210U10020, AL1G51890
OG0000035	El006G299540	AL4G27390
OG0000035	El001G033250	AL5G43600
OG0000036	El003G186550, El003G186530	AL3G40670
OG0000036	El006G309160	AL6G37450
OG0000036	El006G309110	AL4G17610, AL6G45120
OG0000036	El006G312180	AL2G27390
OG0000037	El004G202640	AL3G27890
OG0000038	El006G281890, El006G282510	AL2G12050
OG0000038	El001G019410	nbis-gene-1329
OG0000038	El007G341120	AL8G26900
OG0000038	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600	AL8G15660
OG0000038	El006G282520	AL1G38680
OG0000040	El003G181190, El002G112730, El002G112290	AL1G40160, AL1G40170
OG0000040	El006G296490, El006G297130, El007G346320	AL1G40180
OG0000040	El005G250180	AL3G24770, AL3G25930, AL3G25710, AL3G25690
OG0000040	El005G257710	AL3G33320, AL3G33700
OG0000040	El005G257410	AL3G33370
OG0000042	El001G058460	AL677U10010, AL2G11290, AL1G59470
OG0000042	El003G192700	AL1G40050, AL8G11480
OG0000042	El005G265850	AL364U10020
OG0000044	El007G357580, El007G365520, El003G186540	AL1G53510, AL3G40680, AL7G41120, AL1G60090, AL6G41380, AL3G43290, AL8G21960, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL6G43460, AL1G51180, AL4G17640
OG0000044	El006G308910, El006G308940	AL6G40760, AL3G44690, AL4G20190
OG0000044	El007G360870	AL5G16920, AL7G43910, AL3G42580, AL4G10770
OG0000045	El002G101480	AL6G36560
OG0000045	El004G208130	AL1G56200
OG0000046	El003G188710	AL7G51420
OG0000046	El003G186960, El003G186970	AL7G52590
OG0000046	El003G168460, El004G213500	nbis-gene-1820
OG0000046	El003G187000	AL7G52530
OG0000046	El003G186990	AL7G52540
OG0000046	El004G216850, El004G216660	AL2G25320
OG0000046	El004G216520	AL2G25190
OG0000047	El005G264350	AL5G32340
OG0000048	El003G193700	AL3G13680
OG0000048	El006G321480	AL4G10310
OG0000049	El003G185390	AL6G41090
OG0000049	El001G020690	AL3G47410
OG0000049	El007G333440	AL1G48490
OG0000049	El007G333450	AL6G32660, AL4G11230
OG0000050	El002G124210	AL2G29160, AL704U10010
OG0000050	El007G359470, El004G226500	AL9U10060
OG0000052	El002G116290	AL1G20340
OG0000052	El006G286610	nbis-gene-988
OG0000052	El006G286640	AL2G15770
OG0000052	El006G286630	AL4G40930
OG0000052	El006G286590	AL4G40960
OG0000054	El001G039440	AL4G17970
OG0000055	El004G198780	AL2G13390, AL2G13990
OG0000055	El001G016330, El001G016310, El001G016300	AL5G26170
OG0000055	El004G198830	AL2G14100
OG0000055	El004G198610	AL2G13820
OG0000055	El004G198640	AL2G13840
OG0000055	El004G208280	AL1G66000
OG0000055	El004G198010, El004G198720, El004G198710, El004G198730, El004G198700	AL2G14110, AL2G13790
OG0000055	El004G198810	AL2G14070
OG0000055	El004G198740, El004G198850	AL2G13900
OG0000056	El007G350500	AL3G47230
OG0000057	El001G001400	AL6G52510
OG0000057	El003G174270, El003G172630, El003G172690	AL4G21820
OG0000057	El005G276600, El005G276550	AL3G53160, AL3G53140
OG0000057	El003G184060	AL3G50860, AL769U10010, AL3G38080
OG0000058	El001G046460	AL4G27890
OG0000062	El005G264970, El004G212620, El001G013750, El003G186180, El004G203440, El004G203430, El007G346680, El005G263100	nbis-gene-221
OG0000063	El002G090290	AL5G25220
OG0000063	El006G304660, El001G015540	AL781U10020
OG0000063	El001G024380	AL1G18100
OG0000064	El003G142390	AL7G10840
OG0000064	El006G298100	AL4G29500
OG0000065	El003G166420	AL5G17110
OG0000065	El003G166430, El007G349160	AL7G38070
OG0000066	El004G228220, El004G228230, El002G122920	AL2G35580, AL3G43470
OG0000066	El002G091950, El001G042280, El001G071590, El001G071600, El007G324790	AL6G20900
OG0000066	El007G324780	AL6G20890, AL1G19680, AL5G16700
OG0000067	El001G050000	AL3G20250, AL3G20240, AL3G20260, AL6G14890, AL6G15310
OG0000067	El001G015110, El001G015090	AL3G11550
OG0000067	El001G019940, El001G019880, El003G151620, El001G050380, El007G338720	AL6G12910, AL3G38420, AL6G12880, AL6G12890
OG0000067	El001G059350	AL6G18740
OG0000068	El004G214260	AL3G42660, AL7G46520, AL4G33750
OG0000070	El007G351510	AL5G12380, AL5G12270, AL2G23610
OG0000070	El007G351470	AL1G50200
OG0000070	El002G129450	AL5G18180, AL5G24080
OG0000071	El003G186380	AL4G15570
OG0000071	El003G161900, El007G348480, El004G223960, El004G222550, El002G123480, El003G185050, El005G258610, El004G202230, El007G334900, El007G346760, El005G246820, El002G129540, El003G186390, El001G051200, El006G305000	AL6G40690
OG0000072	El005G263040, El005G262970, El004G210970, El005G264060	AL6G46480, AL2G19590
OG0000072	El003G180720	AL8G24560, AL4G13100, AL8G26200, AL7G48370, AL1G49480, AL3G45860, AL3G47220, AL5G17870
OG0000073	El002G132380	AL7G37760
OG0000073	El007G355990	AL8G18480
OG0000073	El007G365480	AL6G42230
OG0000074	El002G109000	AL1G37410
OG0000074	El002G108920	AL1G37350
OG0000074	El002G108900	AL1G37330
OG0000074	El002G108910	AL1G37340
OG0000074	El002G109050	AL1G37440
OG0000074	El002G108990	AL1G37400
OG0000074	El002G108960	AL1G37370
OG0000074	El002G108950	AL1G37380, AL1G37360
OG0000074	El002G109030	AL1G37420
OG0000074	El002G108840	AL1G37270
OG0000074	El002G108850	AL1G37280
OG0000074	El002G109040	AL1G37430
OG0000075	El001G065030, El001G025110	AL1G22320, AL6G27180, AL1G43860, AL5G25310
OG0000076	El001G018730, El001G018680	AL5G28550
OG0000076	El001G023120	AL8G17190
OG0000077	El007G346750	AL34U10100, AL8G22340
OG0000077	El003G143060	AL7G11600
OG0000077	El003G143070	AL7G11690
OG0000077	El003G143080	AL1G52780, AL1G52760, AL1G52750
OG0000077	El003G143050, El006G313810, El003G143040	AL7G11590
OG0000077	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890	AL2G16730, AL2G16030
OG0000077	El003G143090	nbis-gene-1691
OG0000079	El005G237320, El005G272390	AL3G12550
OG0000079	El005G237310	AL3G12540
OG0000079	El004G213350, El004G213320, El004G213370, El005G273970	AL5G40730
OG0000079	El004G207470	AL5G40740
OG0000079	El007G357730	AL4G18900, AL4G18910
OG0000080	El002G131320, El002G131270	AL1G54400
OG0000080	El002G131930	AL1G55000
OG0000080	El001G069000, El001G068960	AL6G23340
OG0000080	El003G157200	AL7G25770
OG0000080	El001G043770, El001G041340	AL1G35400, AL7G44920, AL3G24690
OG0000081	El004G231800, El001G044440	nbis-gene-1089, AL3G17170
OG0000081	El001G062660	AL6G29160
OG0000081	El001G062500	AL6G29360, AL6G29140
OG0000083	El005G265380	AL57U10030
OG0000083	El005G263680	AL3G37570
OG0000083	El005G271190, El005G271150	AL3G43940
OG0000083	El005G271260, El005G271250, El005G271160, El005G265390	AL1G47960
OG0000083	El006G317480, El006G317520, El006G317460, El006G317530	AL3G15890
OG0000083	El005G240260	AL3G15860
OG0000084	El006G315720	nbis-gene-975
OG0000084	El006G313930, El001G048100	nbis-gene-1002
OG0000084	El006G313950	AL4G15550
OG0000084	El006G316300	AL4G18500
OG0000084	El006G316350	AL4G15500
OG0000084	El006G316230	AL4G18540
OG0000084	El006G316420	AL4G18560
OG0000084	El006G316360, El006G316460, El006G316430, El006G316470, El006G316370, El006G316400	AL4G18550
OG0000085	El005G263080	AL1G47700, AL3G42270, AL2G24190, AL6G40850, AL2G32540, AL7G41350, AL3G37700
OG0000085	El005G261930	AL4G43300, AL6G35520, AL6G51820, AL1G48000
OG0000086	El002G123600	nbis-gene-346, nbis-gene-441, nbis-gene-345
OG0000086	El004G210560	nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419
OG0000087	El001G056180	AL6G35120
OG0000087	El006G303330	AL4G24260
OG0000087	El007G327940	AL8G39670
OG0000087	El001G016250	AL5G25960
OG0000087	El001G069260	AL6G23060
OG0000087	El006G296420	AL4G30750
OG0000087	El007G360740	AL8G15560
OG0000087	El003G165170	AL7G33260
OG0000087	El002G104330	AL1G32740
OG0000087	El004G228430	AL2G35770
OG0000088	El007G357210	AL5G23250
OG0000088	El001G017100	AL5G26870
OG0000088	El005G272510	AL3G46650
OG0000088	El001G016960	AL5G26810
OG0000088	El001G016980	AL5G26360
OG0000088	El005G272530, El001G013580, El007G349190, El001G013550, El001G013530, El001G013500, El001G013370, El001G013590, El001G013380, El001G013440, El001G013460, El001G013600, El001G013480, El001G013570, El001G013430, El001G017030, El001G017000, El001G017090, El001G017020, El001G017060	AL5G26840
OG0000088	El001G016470	AL5G26370
OG0000088	El001G059590	AL6G32010
OG0000088	El001G059580	AL8G24400
OG0000089	El001G072250	AL6G20220
OG0000089	El002G133200	AL3G32160, AL1G56110
OG0000089	El006G287080	AL4G40450
OG0000089	El006G287070	AL4G40460
OG0000089	El006G287060	AL4G40470
OG0000089	El005G247910	AL3G23740
OG0000089	El001G015710	AL5G25390
OG0000090	El002G104490, El003G181590	AL2G24470
OG0000090	El007G355500	AL8G19640
OG0000090	El004G228750	AL2G35960
OG0000090	El001G031660	AL5G42190
OG0000090	El003G147970	AL7G16760
OG0000090	El001G038160, El001G038170, El001G049400	AL5G12830
OG0000090	El001G038180	AL3G47920, AL5G12840
OG0000090	El002G093200	AL1G20940
OG0000091	El004G215550	AL8G16330, nbis-gene-1790, nbis-gene-1053, AL7G47240, nbis-gene-2125
OG0000093	El005G270280	AL3G42890
OG0000093	El004G202240, El004G202270	AL5G39960
OG0000093	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230	AL3G42870, AL3G42880
OG0000093	El001G029840	AL5G39980, AL5G40000
OG0000093	El001G029800, El007G352040	AL5G39910
OG0000096	El001G038380	AL5G12940, AL5G12970
OG0000096	El001G038370	AL5G12960
OG0000096	El004G205890, El004G205920, El004G205830, El004G205860, El004G205880, El004G205870, El004G205260, El004G205840, El007G356380	AL1G67300
OG0000096	El007G362860	AL8G13900
OG0000097	El001G004470	AL6G49050
OG0000097	El001G004450	AL9U10550
OG0000097	El001G004380	AL6G49150
OG0000097	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890	AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010
OG0000097	El001G004400	AL6G49120
OG0000098	El002G095770	AL1G23600
OG0000099	El004G194870, El001G011990, El004G194960, El004G194830, El004G194970, El004G204720, El004G194880, El004G194860, El006G303000, El004G214950, El004G214930	AL2G11060
OG0000099	El004G194890, El004G195030, El004G194980	AL6G43560, nbis-gene-367
OG0000099	El004G194950	AL3G46090, nbis-gene-369
OG0000100	El001G030500	AL2G20140, AL8G14910, AL5G22850, nbis-gene-262
OG0000101	El001G010940	AL2G11260
OG0000101	El007G356350	AL2G11240
OG0000101	El004G201590	AL2G16740
OG0000102	El006G302470	AL1G67270, AL8G13680, AL1G44840
OG0000104	El002G090170	AL1G17740
OG0000104	El006G304210	AL4G23570
OG0000104	El002G136420	AL1G59870
OG0000104	El002G136360	AL1G59850
OG0000105	El027G373450	AL1G53250, AL1G56270, AL3G45200
OG0000106	El005G259530	AL3G31600, AL3G31620, AL3G31610, AL3G32310, AL3G32820, AL3G50560
OG0000106	El001G010720, El005G256190, El005G255570	AL3G22030, AL3G32300
OG0000106	El005G256210, El005G255560	AL439U10010
OG0000106	El006G306450	nbis-gene-1025, AL4G22680, AL4G22640
OG0000106	El005G269060, El005G269030, El005G268940	AL3G41350, AL3G41320, AL3G41330, AL3G41340
OG0000107	El005G257800	AL3G33780
OG0000107	El005G257780	AL3G33770
OG0000107	El005G257840	AL3G33810
OG0000107	El005G257830	AL3G33800
OG0000107	El005G257820	AL3G33790
OG0000107	El005G258940	AL3G34900
OG0000108	El001G053220	AL6G37130
OG0000108	El001G053160	AL6G37020
OG0000108	El001G047240	AL6G44880
OG0000108	El007G364310, El007G323300	AL1G41020, AL1G41010, AL1G41000, AL1G40990
OG0000108	El001G009690, El006G281400	AL4G14170
OG0000108	El006G309530	AL3G44060, AL3G44020, AL3G44030, AL3G43980
OG0000108	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550	AL2G26330
OG0000109	El001G049940, El008G368450, El002G127890	AL4G12030, AL1G50070
OG0000109	El002G122420	AL433U10010
OG0000110	El001G030790	AL5G41090
OG0000110	El001G030780	AL5G41080
OG0000110	El001G030740	AL5G41040
OG0000110	El001G030750	AL5G41050
OG0000111	El003G187720, El001G009620, El003G183560	AL315U10010, AL7G51940, AL7G52000, AL7G52020
OG0000111	El007G327170	AL8G40480
OG0000111	El001G025790	AL5G36020
OG0000112	El007G329910	nbis-gene-1017, AL8G37620, nbis-gene-2004, nbis-gene-1178, nbis-gene-2005, nbis-gene-1177, AL4G19230
OG0000112	El007G342990	AL8G25360
OG0000114	El001G070430	AL6G21880, AL3G14170
OG0000114	El004G206200, El004G206180, El004G205940, El004G206220	AL1G67230, AL1G67210, AL1G67280, AL3G42680
OG0000114	El002G128610	AL1G52710
OG0000115	El002G126950, El002G121910, El006G311440, El006G308990	AL1G16160
OG0000115	El007G324900, El006G289920, El006G285120, El004G201560, El001G079750, El001G046700, El002G106750, El002G138260, El007G348280	AL2G19110
OG0000116	El006G309080, El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070	AL4G42280
OG0000117	El001G016830	AL8G20470
OG0000118	El003G186910, El001G022390, El006G313980, El006G314430, El001G000890, El004G214040	AL5G32600
OG0000118	El001G001700, El001G001530	AL5G18800
OG0000118	El005G262010	AL6G41680, AL6G41670
OG0000118	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930	AL5G34240, AL3G50380
OG0000118	El002G084120	AL2G34810
OG0000119	El002G124220	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470
OG0000120	El004G200260	AL2G15570
OG0000120	El001G077920	nbis-gene-1458
OG0000121	El001G079760	AL1G52400, AL4G41700, AL7G40530
OG0000123	El002G113800	AL1G41710, AL1G41700
OG0000123	El001G013920	AL2G13220
OG0000124	El005G255280	AL3G31830
OG0000124	El001G050120, El001G069630	AL3G43990
OG0000125	El001G080460	AL6G11840
OG0000125	El001G057350	AL6G34020
OG0000125	El001G015040	AL5G24690
OG0000125	El007G331030	AL8G36480
OG0000125	El001G015130	AL5G24750
OG0000125	El006G304720	AL4G23250
OG0000127	El005G244320	AL3G20220
OG0000127	El001G001730	AL3G20190, AL9U10500, AL1G22150, AL1G22140, AL1G22160, AL1G17320, AL638U10010
OG0000130	El002G120060	AL4G15810, AL4G25960
OG0000131	El007G346920	AL3G42080, AL4G18650, AL5G18470, AL2G20370, AL8G13990, AL1G46930, AL2G19090
OG0000131	El006G311530	AL5G18060
OG0000132	El005G264200	nbis-gene-997, AL1G35450, nbis-gene-1953, AL1G39460
OG0000132	El005G264210	AL614U10020
OG0000133	El005G265050, El001G044680, El003G179460, El003G179450	AL8G19570, AL25U10030
OG0000135	El007G346110	AL6G39210
OG0000135	El001G045750	AL4G28120, AL2G38250
OG0000136	El004G215940	AL2G24580
OG0000136	El003G186490, El003G186500	AL7G53090
OG0000136	El007G327820	AL8G39760
OG0000136	El007G355150, El007G356600	nbis-gene-1912
OG0000138	El001G050920	AL8G37810
OG0000138	El001G045810, El001G045830	AL5G19700, AL5G19780
OG0000140	El001G016150	AL5G25860, AL5G25850
OG0000140	El007G331970	AL8G35600
OG0000140	El007G332020	AL48U10040, AL8G35560
OG0000140	El007G332560	nbis-gene-2177
OG0000140	El007G332570	nbis-gene-2176, AL8G34670, AL8G26340
OG0000140	El007G332540	nbis-gene-2178
OG0000140	El007G332580, El007G332590	nbis-gene-2175
OG0000140	El007G332010, El007G332000	AL48U10010, nbis-gene-2180
OG0000142	El006G303740, El006G303770	AL4G23870, AL4G23880
OG0000142	El006G303840	AL4G23840
OG0000142	El001G049820, El006G303750	AL4G23890
OG0000142	El006G301970, El006G301960	AL4G25560
OG0000144	El007G344160	AL8G24370
OG0000144	El007G362000	AL2G23260
OG0000146	El007G336790	AL8G30930
OG0000146	El007G336850	AL8G30890
OG0000146	El007G336820	AL8G30900
OG0000146	El007G336870, El007G336880	AL8G30880
OG0000146	El002G123070	AL1G49040
OG0000146	El002G123110	AL8G30910
OG0000147	El005G277400	AL3G52950
OG0000147	El003G152940	AL7G22000
OG0000147	El007G334350	AL8G33330
OG0000147	El004G233720	AL2G40780
OG0000147	El001G047010	AL5G20850
OG0000147	El005G271430	AL3G44180
OG0000147	El006G316840	AL4G15040
OG0000149	El001G015560	AL5G25250
OG0000150	El006G312840, El006G312880	AL4G18370
OG0000150	El006G312950, El006G312930	AL4G18360, AL4G18340
OG0000150	El001G014390, El001G014400	AL5G24030
OG0000150	El001G012490, El001G014420	AL5G24170
OG0000151	El007G339860	AL8G28000
OG0000151	El003G156070	AL7G24680
OG0000151	El005G243780	AL3G19690
OG0000151	El005G273960	AL3G49460
OG0000151	El007G336000	AL8G31780
OG0000151	El004G194600	AL2G10770
OG0000151	El003G193180	AL7G47650
OG0000152	El003G177030	nbis-gene-137
OG0000154	El005G244620	AL3G20620
OG0000154	El004G209500	AL6G11730
OG0000155	El001G002450, El001G002560, El001G002510, El001G002610	AL113U10010, AL113U10030, AL5G31320
OG0000155	El004G214530, El004G213730, El004G214590	AL2G23090, AL2G23080
OG0000155	El003G164690	AL7G32710
OG0000155	El005G247790	AL3G23610
OG0000155	El003G164700	AL6G48380
OG0000155	El001G050480	AL6G37570
OG0000155	El005G272960	AL4G46600
OG0000156	El001G032910	AL5G43250
OG0000156	El006G282820, El007G349010	AL4G44740
OG0000156	El006G282860	AL4G44730
OG0000157	El005G265510, El005G265480, El005G265460, El005G265550	AL3G38550, AL3G38540
OG0000157	El005G238850	AL3G14210
OG0000157	El003G192550	AL7G47920
OG0000157	El003G192860	AL4G35640
OG0000158	El003G184160	AL1G67080, AL7G42520
OG0000158	El005G265720, El005G267190	AL4G12250
OG0000158	El001G001370, El001G007170, El001G007140	AL6G46400
OG0000158	El006G298850	AL4G29520
OG0000160	El002G123370, El007G360530	AL983U10010, AL8G34940, AL7G45030, AL1G48950, AL8G31450, AL236U10040
OG0000160	El007G331560, El004G203670, El006G309770, El005G275910, El001G047250, El002G105420, El007G347580, El004G202080, El002G123360, El007G360520	AL5G16300
OG0000162	El007G330500	AL2G25640, AL2G23580
OG0000162	El006G283560, El006G283550	AL4G44040
OG0000164	El003G154300	AL7G23040
OG0000164	El003G143330	AL7G11970
OG0000164	El003G166760, El003G166780	AL7G34820
OG0000164	El003G143310	AL7G11950
OG0000164	El003G186050, El001G048320	AL2G17690, AL2G17720, nbis-gene-421, AL6G40440, AL6G40430, AL6G40420
OG0000164	El003G143320	AL7G11960
OG0000166	El003G188790, El003G188850, El001G012590, El002G131550	AL2G32690
OG0000166	El003G170640, El003G170650, El006G307980	AL2G13810
OG0000167	El003G166330	AL7G34470
OG0000167	El003G182660, El003G182640	AL7G34500, AL7G34510
OG0000167	El003G166350	AL7G34530
OG0000167	El007G355560, El007G355650	AL7G34520
OG0000168	El002G109450	AL4G12860
OG0000168	El007G366060, El007G366100	AL3G46190, AL8G18370
OG0000171	El006G280730, El002G093670	AL2G23510
OG0000171	El004G222060, El002G108810	AL1G37260
OG0000171	El001G066810	AL6G25440
OG0000172	El001G024870, El001G024880	AL5G45250, AL2G23440, AL5G35200
OG0000172	El001G034720	AL5G44820
OG0000172	El001G030560	AL5G40760
OG0000174	El007G350910	AL8G20180, AL4G17770
OG0000174	El005G261670	AL6G41080, AL2G20320, AL7G33750, AL2G20330, AL6G41170, AL3G54100, AL3G45590
OG0000175	El001G021550	AL5G31720
OG0000175	El004G228610	AL2G35850
OG0000175	El002G104420	AL1G32900
OG0000175	El003G147420	AL7G16200
OG0000175	El003G146230	AL7G15090
OG0000176	El002G116980, El002G116900, El002G117520	AL1G44470
OG0000178	El007G324860, El003G162340, El003G181530, El003G168850, El006G304410	AL4G22400
OG0000178	El001G011070, El003G153080	AL3G46620
OG0000180	El007G325980	AL8G35170, AL3G40410
OG0000180	El004G196870, El004G196830, El007G342850	AL5G45620
OG0000181	El004G221180, El006G310720	AL3G31430
OG0000181	El001G037070, El007G362960, El001G081130, El003G164550, El006G294400	AL8G25040, AL4G15240, AL5G17720, AL8G21610, AL7G44660, AL5G21310, AL7G48830
OG0000181	El001G016930, El002G127660, El007G351590, El002G119200, El007G343640, El003G185610, El007G324810	AL4G21300
OG0000183	El002G109930, El002G097230, El003G174400, El002G139010, El002G135320	AL4G13920
OG0000183	El006G283640	AL5G32880, AL6G28130
OG0000185	El004G197640	AL6G10840
OG0000185	El001G013560	AL8G35610, AL2G32620, AL1G29430
OG0000185	El001G004130	AL1G46910
OG0000187	El003G151270	nbis-gene-1736
OG0000187	El003G151220	AL7G20320
OG0000188	El006G315250, El001G033320	AL5G15430, AL6G36380, AL2G18280
OG0000189	El005G267970	AL3G40190
OG0000189	El003G144190, El001G061400, El001G061930	AL7G12760
OG0000189	El003G144180	AL7G12790
OG0000190	El001G005540	AL6G47960
OG0000190	El001G005520	AL6G47980
OG0000190	El001G005530	AL6G47970
OG0000190	El001G005500	AL6G48020
OG0000190	El001G005510	AL6G47990
OG0000190	El005G265350	AL1G49990
OG0000191	El005G254650	AL2G24870
