Orthogroup	Erysimum_linariifolium	Camelina_sativa
OG0000006	El001G046690	XP_010468495.1, XP_010480912.1, XP_010507576.1, XP_010463082.1, XP_010445987.1, XP_010436436.1, XP_019091129.1, XP_019094477.1, XP_019094446.1, XP_019097408.1, XP_010451248.1, XP_010480734.1
OG0000006	El007G324910, El001G079730	XP_019094496.1, XP_019100121.1, XP_019091890.1, XP_019094351.1
OG0000007	El007G352010	XP_010419175.1, XP_019084422.1, XP_010456795.1, XP_010451787.1
OG0000007	El002G108270	XP_019101890.1
OG0000007	El006G310450, El004G211980, El007G348570	XP_010480531.1, XP_010431321.2
OG0000007	El001G053750, El002G123330, El004G208390, El007G348150	XP_010472440.1, XP_010474031.1, XP_019099588.1, XP_019084310.1, XP_010451797.1, XP_010472251.1
OG0000007	El006G310200	XP_010484878.1
OG0000007	El002G114670	XP_019101891.1
OG0000007	El008G369640	XP_010418618.1, XP_010419439.1
OG0000008	El007G351000	XP_010484870.1
OG0000008	El001G021720	XP_019084270.1
OG0000008	El004G212460	XP_019097485.1
OG0000008	El003G182320	XP_010497028.1, XP_010480868.1, XP_010507052.1, XP_010445013.1, XP_010497042.1
OG0000008	El001G077860	XP_010462780.1
OG0000008	El001G021990, El001G021710	XP_010431254.1, XP_010507402.1
OG0000008	El003G174670	XP_010507400.1, XP_019101905.1, XP_010431252.2
OG0000010	El007G350710	XP_019091121.1, XP_019092324.1, XP_019090653.1, XP_019091103.1, XP_019096040.1, XP_019086506.1, XP_019086291.1
OG0000011	El006G305950	XP_010431695.1
OG0000012	El002G120760	XP_010424636.1, XP_010489881.1, XP_010417428.1, XP_010451510.1
OG0000012	El006G310180, El001G048000, El003G154210, El007G344400, El007G350120	XP_010495590.1
OG0000012	El003G149910	XP_019100992.1, XP_010412821.1, XP_010507508.1, XP_010419935.1, XP_019087273.1, XP_010418572.1, XP_010513529.1, XP_010431509.1, XP_010424137.1, XP_010451222.1, XP_010485326.1, XP_019087083.1, XP_010446264.1, XP_010465658.1, XP_010495471.1, XP_019091465.1, XP_010460988.1, XP_010448578.1, XP_010446631.1, XP_010428239.1
OG0000012	El005G268860, El003G182880	XP_010466661.1
OG0000012	El002G129160	XP_010490322.1
OG0000013	El007G353330, El004G207030, El006G312640, El003G182060	XP_010468601.1
OG0000013	El001G045710	XP_019090157.1, XP_010462812.1, XP_010430984.1, XP_010474117.1, XP_019093237.1, XP_010475339.1, XP_010418610.1, XP_019094462.1, XP_010431304.1, XP_019090236.1, XP_010430896.1, XP_010490049.1
OG0000013	El007G350800	XP_010474295.1, XP_010501858.1, XP_010501812.1
OG0000014	El006G319390, El001G002640	XP_010513382.1
OG0000014	El003G178520, El004G198920	XP_010430806.1
OG0000015	El001G070750	XP_010427798.1
OG0000015	El003G167160	XP_019092477.1
OG0000015	El060G376140, El053G375740	XP_010480818.1, XP_010456599.1, XP_010497195.1, XP_010501828.1, XP_019084456.1, XP_010418862.1, XP_019090265.1, XP_010497072.1, XP_010496259.1, XP_019101930.1, XP_010481012.1, XP_010497067.1, XP_010424221.1, XP_010495723.1, XP_010430713.1, XP_010497070.1, XP_010513208.1, XP_010451702.1
OG0000015	El001G079510	XP_010517126.1, XP_019101582.1, XP_019089569.1
OG0000017	El003G166860, El007G325530	XP_019093396.1, XP_019087567.1
OG0000017	El007G356670	XP_019084688.1, XP_019082585.1
OG0000018	El003G154150, El006G318220, El001G007900, El001G053230	XP_010484820.1, XP_010496602.2
OG0000018	El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830	XP_010480828.1, XP_019094396.1, XP_019100756.1, XP_019092276.1, XP_019097496.1, XP_010456944.1, XP_010412713.1
OG0000018	El002G082650	XP_010436809.1, XP_010503779.1, XP_010424537.1, XP_010506965.1, XP_010425129.1
OG0000018	El001G048290	XP_010451671.1, XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010511144.1, XP_019096477.1, XP_010439761.1, XP_019089680.1, XP_010471217.1, XP_010434877.1, XP_010482610.1, XP_019088976.1, XP_019091495.1
OG0000018	El001G077880, El004G225550	XP_010451363.1, XP_010446058.1
OG0000019	El002G122780	XP_010506471.1, XP_010420141.1, XP_010423040.1, XP_019095544.1, XP_010481212.1, XP_010507282.1, XP_010415695.1
OG0000020	El007G347970, El005G264160	XP_010419309.1
OG0000020	El001G045330, El001G045300, El001G045270	XP_019100224.1
OG0000020	El001G045320	XP_010463223.1, XP_019088196.1
OG0000020	El004G206630	XP_010446027.1
OG0000021	El007G346120, El007G348120	XP_010495645.1
OG0000021	El006G317330	XP_010430863.1, XP_019094392.1
OG0000021	El001G037390	XP_010489852.1
OG0000021	El001G064400	XP_010481131.1, XP_010418651.1, XP_010462886.1, XP_010431573.1, XP_010446053.1, XP_010463260.1
OG0000021	El001G063330, El006G289540	XP_010501871.1, XP_010445560.1, XP_010445721.1, XP_010412410.1, XP_019084355.1, XP_010418577.1, XP_010501997.1
OG0000021	El002G141120	XP_010484758.1, XP_019100906.1, XP_010431231.1, XP_010513293.1
OG0000021	El005G277430, El007G325630	XP_010424593.1, XP_019089103.1
OG0000021	El001G045050	XP_010424837.2
OG0000023	El007G357800	XP_019089325.1, XP_010433927.1
OG0000023	El001G012210	XP_010503063.1, XP_010514748.1, XP_010427119.1
OG0000023	El001G007540	XP_010434897.1, XP_010455557.1
OG0000023	El003G162170	XP_010418084.1, XP_010439216.1
OG0000023	El003G162000	XP_010439191.1, XP_019086469.1
OG0000023	El003G162130	XP_010448752.1, XP_010439208.1, XP_010433929.1
OG0000023	El003G192470	XP_010448746.1, XP_019089062.1, XP_010439203.1
OG0000024	El006G293740	XP_010423552.1, XP_019101784.1, XP_010496845.1, XP_010495735.1, XP_010463425.1
OG0000024	El007G351440, El002G140900	XP_010430731.1, XP_010512875.1, XP_010451855.2, XP_010423573.1, XP_010490387.1, XP_010423713.1, XP_010518554.1, XP_010474136.1
OG0000025	El001G014130	XP_010446183.1
OG0000025	El001G014870, El001G014670	XP_019087714.1, XP_010436629.2, XP_010451562.1
OG0000025	El003G190320, El007G338170, El007G338190, El007G338230, El007G338200	XP_019086647.1, XP_010446111.1, XP_010482860.1, XP_010485121.1, XP_010485123.1, XP_010485122.1
OG0000025	El007G340450, El007G340490	XP_019088142.1
OG0000025	El003G176780, El001G014170	XP_019089771.1
OG0000026	El007G356660	XP_010474094.1, XP_010419434.1, XP_019084250.1, XP_010445859.1, XP_010501852.1
OG0000026	El004G210040, El002G122340, El004G232830, El002G140810, El005G251640, El006G294370	XP_010424792.1, XP_010436832.1, XP_010474324.1
OG0000027	El001G054130	XP_010480750.1, XP_010480482.1
OG0000027	El002G117920, El002G117750, El002G117960, El002G117930, El002G117950	XP_010451514.1
OG0000027	El001G054180	XP_019091095.1, XP_010480880.1
OG0000027	El002G120540	XP_010480848.1, XP_010463094.1, XP_010478732.1
OG0000027	El002G118130	XP_010480790.1, XP_019095769.1
OG0000027	El002G117940	XP_010460917.1, XP_010478547.1, XP_019092749.1, XP_010451757.1, XP_019091875.1, XP_010463023.1, XP_019097335.1, XP_010478535.1, XP_010499647.1, XP_010476927.1, XP_010501501.1, XP_019094487.1, XP_019095766.1
OG0000027	El002G117730	XP_010500449.1
OG0000027	El002G117790, El002G117690, El002G117760, El002G117870, El002G117820	XP_010501685.1
OG0000027	El001G029050	XP_010515603.1, XP_010431261.1, XP_010427640.1, XP_010504689.1, XP_010431427.1, XP_010427857.1, XP_010504688.1, XP_010427639.1
OG0000027	El001G025570	XP_019100391.1, XP_010427641.1
OG0000028	El008G369630	XP_010507235.1, XP_010451391.1, XP_019101704.1
OG0000028	El007G334290	XP_019095330.1, XP_019083999.1, XP_019085353.1, XP_019088516.1, XP_019097126.1, XP_019092964.1
OG0000028	El004G220890, El005G261200, El001G000530, El003G163730, El006G311620	XP_010451660.1
OG0000028	El001G018960, El002G114660, El007G326060	XP_010515282.1
OG0000029	El001G031910	XP_019099713.1, XP_010426130.1, XP_019084377.1
OG0000029	El006G302870, El002G125750, El008G368530	XP_019099915.1
OG0000029	El001G044810	XP_010468539.2, XP_019100867.1, XP_019096310.1, XP_019084297.1, XP_019095473.1, XP_019092371.1, XP_019091545.1
OG0000029	El007G356090	XP_010473942.1
OG0000029	El006G308300	XP_019084640.1
OG0000030	El002G130810	XP_019097439.1
OG0000030	El005G265320	XP_010506956.1, XP_010506954.1, XP_010412394.1
OG0000030	El007G346180	XP_019084298.1, XP_010412790.1, XP_019091192.1, XP_010463184.1, XP_010507036.1, XP_019093234.1
OG0000030	El003G181960	XP_010445645.1, XP_010462855.1, XP_010424457.1, XP_010460219.1, XP_010415464.1, XP_010456305.1
OG0000030	El003G178390, El003G178450	XP_019084211.1, XP_010501749.1, XP_010490052.1, XP_010468592.1, XP_019098046.1, XP_010470910.1, XP_010431219.1, XP_010507568.1, XP_010480984.1, XP_010501571.1, XP_019092230.1
OG0000030	El004G207450	XP_010513486.1
OG0000030	El004G207460	XP_010424173.1, XP_019083211.1, XP_010424695.1
OG0000030	El002G136200	XP_010481147.1, XP_019099771.1
OG0000031	El004G208470, El004G208460	XP_010419464.1
OG0000031	El004G197790	XP_019093579.1, XP_010484817.1, XP_019096365.1, XP_010418422.1, XP_010430428.1
OG0000031	El004G197660	XP_010430336.1, XP_010418269.1, XP_010473491.1
OG0000031	El007G349520	XP_010419482.1
OG0000031	El002G096110	XP_019090833.1, XP_010458689.1, XP_010458718.1, XP_019095236.1, XP_010462662.1, XP_019090986.1, XP_010458712.1, XP_010501563.1, XP_010476232.1, XP_010456672.1
OG0000031	El003G192370	XP_010447152.1, XP_010436064.1
OG0000031	El005G253470	XP_010504570.1, XP_010465692.1, XP_019096254.1
OG0000031	El003G157520	XP_010448208.1, XP_010438694.1, XP_010433436.1
OG0000031	El002G127940, El004G193990	XP_010418533.1, XP_019085324.1
OG0000033	El003G162150	XP_010448753.1, XP_010439209.1, XP_010433941.1
OG0000033	El003G162160	XP_010418085.1, XP_010448756.1, XP_010439218.1
OG0000033	El003G192480	XP_010439201.1, XP_019089065.1, XP_010448744.1
OG0000033	El003G164670	XP_019089519.1, XP_010434185.1
OG0000033	El005G273190	XP_010467326.1
OG0000033	El003G162180	XP_010439220.1, XP_010448755.1, XP_010433938.1
OG0000033	El003G162220	XP_010433930.1, XP_010448768.1, XP_019087874.1
OG0000033	El001G014890	XP_010426013.1, XP_019101865.1, XP_019099660.1
OG0000033	El001G012200	XP_010427120.1, XP_010514747.1, XP_010503062.2
OG0000033	El001G004730	XP_010431580.1
OG0000034	El004G208110, El007G350680, El007G350130	XP_010450460.1
OG0000034	El001G041330	XP_019094521.1, XP_019090430.1
OG0000034	El002G123500	XP_010477952.1
OG0000034	El002G126180	XP_019086739.1
OG0000034	El005G264480	XP_010494867.1
OG0000034	El002G123490	XP_010422636.1
OG0000034	El006G311550	XP_019094880.1
OG0000034	El006G310950	XP_010470446.1
OG0000035	El001G043940	XP_010421893.1
OG0000035	El006G299540	XP_019082534.1, XP_010513136.1, XP_010430751.1, XP_019099592.1, XP_010510111.2
OG0000035	El001G033250	XP_010513764.1, XP_010473806.1, XP_010418592.1
OG0000035	El001G033240	XP_010513763.1
OG0000035	El001G033230	XP_010513762.1
OG0000036	El003G178170	XP_010474229.1, XP_010456533.1
OG0000036	El004G193910	XP_010485044.1, XP_010468544.1
OG0000036	El003G186550, El003G186530	XP_019093349.1, XP_010507005.2, XP_019090153.1, XP_019086270.1, XP_019101868.1, XP_010472188.1, XP_019100846.1, XP_019101359.1, XP_010457035.1, XP_010430898.2, XP_010445492.1, XP_019093221.1, XP_019096550.1, XP_019098310.1, XP_010495718.2, XP_010412459.1, XP_019099752.1, XP_010441848.1
OG0000036	El006G309160	XP_010480419.1, XP_010506939.1, XP_010468509.1, XP_010513254.1
OG0000036	El006G309110	XP_010445597.1, XP_019085657.1, XP_010513622.1
OG0000036	El006G311420, El002G122030	XP_010484891.1
OG0000036	El006G312180	XP_010480993.1
OG0000037	El005G272610	XP_019094592.1, XP_019087509.1, XP_019101835.1, XP_019100765.1
OG0000037	El001G053830	XP_010456691.1
OG0000037	El004G202640	XP_019096539.1
OG0000037	El003G180470	XP_019098425.1
OG0000037	El005G260860	XP_019101577.1
OG0000038	El006G282510	XP_010507624.1, XP_010512960.1, XP_010509052.1, XP_010412781.1, XP_010502501.1, XP_010427246.1
OG0000038	El002G110410, El002G110580, El002G110340	XP_010462884.1
OG0000038	El007G341120	XP_010485079.2
OG0000038	El007G364390, El001G005030	XP_019084341.1, XP_010455815.1, XP_010467852.1, XP_010468367.2
OG0000038	El007G360640	XP_019097483.1, XP_019087570.1
OG0000038	El006G282520	XP_019100342.1, XP_010509013.1
OG0000039	El004G212610	XP_010481178.1
OG0000040	El003G181190, El002G112730, El002G112290	XP_010477981.2, XP_019091238.1, XP_010499061.1
OG0000040	El006G296490, El006G297130, El007G346320	XP_010462936.2, XP_010462910.2
OG0000040	El005G250150	XP_019096260.1
OG0000040	El005G250180	XP_010468083.1, XP_010489797.1, XP_019096559.1, XP_010419025.2, XP_010501254.1, XP_019096650.1, XP_019096368.1, XP_010465220.1
OG0000040	El005G257710	XP_010481059.1, XP_010463131.1
OG0000040	El005G257410	XP_010489955.2
OG0000042	El003G192700	XP_019085383.1
OG0000042	El006G318460	XP_019084354.1, XP_019095172.1, XP_010473794.1, XP_019099587.1, XP_010473876.1
OG0000042	El002G113220	XP_019089979.1, XP_019090150.1
OG0000042	El005G265850	XP_019094451.1
OG0000043	El007G350700	XP_010490378.1, XP_010507049.1, XP_010506879.1, XP_019098175.1, XP_019091106.1, XP_019087585.1, XP_010419074.1, XP_010474092.1, XP_010419083.1, XP_010507353.1, XP_019086273.1, XP_010424414.1, XP_010463155.1, XP_019098333.1, XP_019085464.1, XP_010501846.1, XP_010419011.1, XP_010419041.1, XP_010423961.1, XP_010420509.1, XP_010485112.1, XP_019093378.1, XP_010484908.1, XP_010501857.1
OG0000044	El007G357580, El007G365520, El003G186540	XP_010502950.1, XP_010461751.1, XP_010518653.2, XP_019086352.1, XP_010495393.2, XP_019094411.1, XP_010412458.2, XP_010507003.1, XP_010507554.1, XP_010490459.2, XP_010412583.2, XP_010474317.1, XP_010451886.2, XP_019086303.1, XP_010435128.1, XP_019096471.1, XP_019089513.1, XP_019097866.1
OG0000044	El006G308910, El006G308940	XP_019087961.1, XP_010495787.1, XP_010458616.1, XP_019094579.1
OG0000044	El007G360870	XP_019091484.1
OG0000045	El005G249570, El003G188840	XP_019091421.1
OG0000045	El002G101480	XP_019082588.1
OG0000046	El003G188710	XP_010435808.1, XP_010441031.1, XP_019089248.1
OG0000046	El003G186960, El003G186970	XP_010450947.1, XP_019086129.1
OG0000046	El003G168460	XP_010439880.1, XP_010412987.2, XP_010439882.2
OG0000046	El003G187000	XP_010450945.1, XP_010440924.1, XP_010435726.1
OG0000046	El004G216850, El004G216660	XP_019100936.1
OG0000046	El004G216560, El004G216600	XP_010511598.1, XP_010470573.1, XP_019083199.1, XP_019100931.1
OG0000046	El004G216760	XP_019098152.1
OG0000046	El003G186880, El003G186940	XP_010440921.1
OG0000047	El004G207210	XP_010451555.1
OG0000047	El002G123400	XP_010506977.1
OG0000047	El004G204540, El001G049540, El007G364690	XP_010474142.1
OG0000048	El003G193700	XP_010514749.1, XP_010463845.1, XP_010485737.1
OG0000049	El003G185390	XP_019086300.1, XP_019087653.1
OG0000049	El001G020690	XP_019084189.1, XP_019086528.1, XP_019091092.1, XP_019100833.1, XP_019092312.1, XP_019092358.1, XP_019085432.1, XP_019092302.1, XP_019086346.1, XP_019087375.1
OG0000050	El007G359470, El004G226500	XP_010513344.1, XP_010507126.1
OG0000052	El007G364450, El002G116290	XP_019098849.1, XP_010457379.1, XP_019094361.1, XP_019094954.1, XP_010475218.1
OG0000052	El006G286640	XP_019101975.1, XP_019101079.1, XP_019092650.1, XP_010489918.2
OG0000052	El006G286580	XP_019100718.1, XP_019102056.1
OG0000054	El001G039440	XP_010475682.1
OG0000055	El004G198780	XP_010430303.1
OG0000055	El001G016330, El001G016310, El001G016300	XP_010515018.1, XP_010426146.1, XP_019084785.1, XP_010503309.1
OG0000055	El004G198830	XP_010473413.1, XP_019085277.1
OG0000055	El004G198590, El004G198600	XP_010473423.1, XP_010418186.1, XP_010418174.1, XP_010430227.1
OG0000055	El004G198640	XP_010419456.1
OG0000055	El004G198010, El004G198720, El004G198710, El004G198730, El004G198700	XP_010430221.1
OG0000055	El004G198810	XP_010473416.1, XP_019082750.1, XP_010430231.1
OG0000056	El007G350500	XP_010446292.1
OG0000057	El001G001400	XP_010456592.1
OG0000057	El005G254800	XP_010465850.1, XP_010465849.1, XP_010487685.1, XP_010489901.1
OG0000057	El005G276600, El005G276550	XP_010489359.1, XP_010515149.1
OG0000057	El003G184060	XP_010424805.1
OG0000058	El005G258260	XP_019097515.1, XP_010495728.1
OG0000058	El007G338080, El003G151650, El005G258270, El006G310940, El002G122710, El003G177250, El002G135580, El005G263200, El002G136300, El005G276970, El001G065670, El001G046450, El001G034170, El005G262760	XP_010463383.1
OG0000061	El006G308960, El006G308930, El002G121930	XP_019095567.1, XP_010495603.1, XP_019099635.1, XP_019086243.1, XP_010474285.1, XP_010436886.1, XP_010474078.1, XP_019092366.1, XP_019086241.1, XP_010436697.1, XP_019101952.1, XP_019097457.1
OG0000062	El003G186180, El004G203440, El004G203430	XP_019100816.1, XP_010476531.1
OG0000062	El001G054390	XP_010512724.1, XP_019100739.1, XP_019085561.1, XP_019099825.1, XP_019082800.1, XP_010441029.1, XP_010455272.1, XP_019092609.1, XP_010494915.2, XP_010481169.2, XP_010494414.1, XP_019087463.1, XP_019095296.1, XP_019090335.1, XP_019091163.1, XP_010415622.1, XP_010512845.1, XP_019082564.1, XP_019093257.1
OG0000064	El003G142390	XP_019088762.1, XP_010446406.1, XP_019086777.1
OG0000064	El006G298100	XP_019093848.1, XP_010413809.1
OG0000065	El002G116640, El002G116630	XP_019098326.1, XP_019098351.1, XP_019098390.1, XP_019099627.1, XP_019097476.1, XP_019100901.1, XP_019099563.1, XP_019094561.1, XP_019094562.1, XP_019089054.1
OG0000065	El004G204380	XP_019098311.1
OG0000065	El003G166430, El007G349160	XP_019089233.1, XP_010422526.1, XP_010480845.1, XP_010496878.1, XP_010501916.1, XP_010473931.1
OG0000066	El004G228220, El004G228230, El002G122920	XP_010480248.1
OG0000066	El007G324780	XP_010425488.1, XP_010484375.1, XP_010502711.1, XP_010475747.1, XP_010458200.1, XP_010463183.1, XP_010514443.1, XP_010489841.1, XP_010444536.1
OG0000067	El001G050000	XP_010452237.1, XP_010423775.1, XP_019097289.1, XP_010490843.1, XP_019084545.1, XP_019097292.1, XP_010424780.1, XP_010490972.1
OG0000067	El001G015110, El001G015090	XP_010463635.1, XP_010485475.1
OG0000067	El001G019940, El001G019880, El003G151620, El001G050380, El007G338720	XP_010423706.1, XP_010490829.1
OG0000067	El001G059350	XP_010491460.1, XP_019084672.1
OG0000067	El001G080370, El001G080310, El001G080500, El001G079930, El001G080400, El001G080340, El001G080320, El001G080380	XP_010423328.1, XP_010423367.1, XP_019090686.1, XP_019097301.1, XP_010452589.1
OG0000069	El001G064640	XP_019089848.1, XP_010456900.1
OG0000070	El002G125720	XP_019082595.1
OG0000071	El003G186380	XP_010426473.1
OG0000071	El003G186390, El001G051200, El006G305000	XP_019083108.1, XP_010499810.1
OG0000072	El005G263040, El005G262970, El004G210970, El005G264060	XP_019092259.1, XP_019082981.1, XP_010480955.1, XP_019094608.1, XP_019099613.1, XP_019085388.1, XP_019089441.1, XP_019089444.1, XP_010445263.1, XP_019089175.1, XP_019097535.1, XP_010480982.1, XP_019089388.1, XP_019101047.1, XP_010480771.1, XP_019087491.1, XP_019092555.1, XP_010498960.2, XP_019097842.1, XP_019094512.1, XP_019098282.1, XP_010455605.1, XP_010468370.1, XP_019087456.1, XP_019085117.1, XP_019101294.1, XP_010513333.1, XP_010436696.1, XP_010484918.1, XP_019098356.1, XP_010431026.1, XP_010468511.1, XP_010518462.1, XP_019097833.1, XP_010450472.2, XP_010424456.1, XP_019098111.1, XP_019090345.1, XP_010421088.1, XP_019086540.1, XP_019093688.1, XP_010496614.1, XP_010431325.1, XP_019093303.1
OG0000072	El003G180720	XP_019099565.1, XP_010514808.1, XP_010467138.1, XP_010419836.1, XP_010445669.1, XP_010501700.1
OG0000073	El002G132380	XP_019086569.1, XP_010449698.1
OG0000073	El007G355990	XP_019095933.1
OG0000074	El002G108930, El002G137010, El002G108940	XP_010477654.1
OG0000074	El002G109000	XP_019095154.1
OG0000074	El002G108980	XP_010477660.1
OG0000074	El002G108900	XP_019097190.1, XP_010498869.1, XP_010477651.1
OG0000074	El002G108910	XP_019099166.1
OG0000074	El002G109050	XP_010477663.1
OG0000074	El002G109020	XP_010477661.1
OG0000074	El002G108990	XP_019095155.1
OG0000074	El002G108960	XP_019095156.1
OG0000074	El002G108950	XP_010477657.1, XP_019097182.1
OG0000074	El002G109030	XP_019099169.1, XP_010477662.1
OG0000074	El002G108840	XP_019094215.1, XP_019091039.1, XP_019099162.1
OG0000074	El002G108850	XP_010460137.1, XP_010477644.1, XP_019099163.1
OG0000074	El002G109040	XP_010480623.1, XP_019098437.1
OG0000075	El001G065030	XP_010495208.1, XP_019084194.1, XP_010492457.1, XP_010420351.1, XP_010495227.2
OG0000075	El001G025110	XP_019088045.1, XP_010447293.1, XP_010432619.1
OG0000076	El001G018730, El001G018680	XP_010507323.1, XP_019085543.1, XP_019085541.1, XP_010412647.1, XP_010426406.1
OG0000076	El001G023150	XP_019101910.1, XP_019099715.1, XP_019085580.1, XP_010431296.1
OG0000076	El001G023120	XP_019085912.1, XP_019085579.1
OG0000076	El001G023080	XP_010431292.1, XP_019099853.1, XP_019100300.1, XP_010431289.1, XP_019085576.1
OG0000076	El001G041500	XP_010425425.1
OG0000077	El007G346620, El007G346720, El007G346600, El004G208890, El007G346470, El006G315340, El007G346500, El007G346630, El007G346710, El007G346580	XP_019088263.1, XP_010471717.1, XP_010439953.1
OG0000077	El007G346750	XP_010442351.1, XP_010482185.1, XP_010439941.1
OG0000077	El003G143060	XP_010446506.1, XP_010437076.1, XP_019088991.1
OG0000077	El003G143070	XP_019086927.1
OG0000077	El003G143080	XP_010431932.1, XP_019087113.1, XP_010446508.1
OG0000077	El003G143050, El006G313810, El003G143040	XP_010446504.1, XP_010431928.1
OG0000077	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890	XP_019100856.1
OG0000077	El003G143090	XP_019086095.1, XP_010437077.1, XP_010446510.1
OG0000078	El008G368270, El008G368260	XP_019099724.1
OG0000079	El005G237320, El005G272390	XP_010417389.1, XP_010463742.1, XP_010463745.1
OG0000079	El005G237310	XP_010485636.1, XP_010463744.1
OG0000079	El004G213350, El004G213320, El004G213370, El005G273970	XP_010512109.1, XP_010504857.1
OG0000079	El004G207470	XP_010435737.1, XP_010512111.1
OG0000079	El003G187300, El003G187270, El003G187260, El003G187360	XP_019089372.1
OG0000079	El003G187320, El003G187370, El003G187350, El003G187330	XP_010450919.1, XP_019088775.1, XP_010435739.1
OG0000079	El004G196920	XP_019102069.1
OG0000080	El002G131320, El002G131270	XP_010448996.1, XP_010481076.1, XP_010495296.1, XP_010434141.1, XP_010451304.1
OG0000080	El004G194020	XP_010430593.1
OG0000080	El004G194360	XP_010441286.1, XP_010436072.1
OG0000080	El003G157200	XP_010433411.2, XP_010445103.2, XP_010451164.1
OG0000080	El007G345310	XP_010510427.1, XP_010414309.1
OG0000080	El001G043770, El001G041340	XP_010480591.2, XP_019100817.1, XP_010491240.1
OG0000081	El004G231800, El001G044440	XP_010412597.1, XP_010431050.2
OG0000081	El001G062500	XP_010424159.1, XP_010495270.1, XP_019090399.1
OG0000082	El006G315360	XP_010495818.1, XP_010477808.1, XP_010497092.1, XP_010485277.1, XP_019100965.1
OG0000082	El004G212430	XP_010440298.1, XP_019092362.1, XP_010424655.1, XP_010463259.1, XP_010518616.1, XP_019085423.1, XP_010424200.1, XP_010468406.1, XP_010440137.1, XP_010431103.1, XP_010487860.1, XP_010490450.1, XP_019090632.1, XP_019094564.1, XP_010513388.1, XP_010431064.1, XP_019089255.1, XP_010425119.1, XP_010451390.1, XP_010507211.1, XP_010430849.1, XP_010500038.1, XP_010416267.1, XP_010482700.1, XP_010496910.1, XP_010463456.1, XP_010451686.1, XP_019099604.1
OG0000083	El005G265380	XP_010486733.1, XP_010431481.1
OG0000083	El005G263710	XP_010466622.2, XP_010421321.1
OG0000083	El005G263680	XP_010512058.1, XP_010466621.1
OG0000083	El005G263720, El005G262910	XP_010490063.1
OG0000083	El006G317480, El006G317520, El006G317460, El006G317530	XP_010429373.1
OG0000083	El006G317470, El006G317450	XP_010427974.1, XP_019084962.1, XP_019085914.1
OG0000083	El006G313440	XP_010429377.1, XP_010472419.1, XP_010419294.1
OG0000083	El005G240260	XP_010464056.1, XP_010485978.1, XP_019100088.1
