Orthogroup	Erysimum_linariifolium	Arabidopsis_arenosa
OG0000031	El007G349520	jg618, jg613, jg617, jg616, jg643
OG0000031	El002G096110	jg29708, jg29704, jg29712
OG0000031	El002G096100	jg29711
OG0000031	El003G192370	jg12744
OG0000031	El005G253470	jg25741
OG0000031	El003G157520	jg9770
OG0000031	El002G127940, El004G193990	jg372
OG0000033	El003G162150	jg10203, jg10197, jg10193
OG0000033	El003G162160	jg10204
OG0000033	El003G192480	jg10186
OG0000033	El003G164670	jg10426
OG0000033	El003G162180	jg10198
OG0000033	El003G162220	jg10208
OG0000033	El001G004730	jg7784
OG0000034	El027G373510	jg32649, jg13995
OG0000034	El002G123490	jg11749, jg11798, jg17416, jg17385
OG0000035	El006G299540	jg18271
OG0000035	El001G033250	jg16185
OG0000035	El001G033230	jg16184
OG0000036	El006G309110	jg299, jg1839, jg32415, jg11724, jg17278, jg1046, jg1567
OG0000036	El006G311420, El002G122030	jg11852, jg13931, jg6976, jg17098, jg1485, jg16419, jg27812, jg17384
OG0000038	El006G281890, El006G282510	jg549
OG0000038	El002G110410, El002G110580, El002G110340	jg31999, jg31068, jg31060
OG0000038	El001G019410	jg14792
OG0000038	El007G341120	jg21941
OG0000038	El007G364390, El001G005030	jg7751
OG0000038	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600	jg20757, jg20756
OG0000038	El006G282520	jg31052
OG0000040	El003G181190, El002G112730, El002G112290	jg31202
OG0000040	El006G296490, El006G297130, El007G346320	jg31203
OG0000040	El005G250150	jg10900
OG0000040	El005G250180	jg25272, jg738, jg25360
OG0000041	El004G204870, El005G265750, El007G355940, El001G013140, El002G131060	jg6878
OG0000042	El004G194460, El007G344540	jg17939
OG0000044	El002G124130	jg21339, jg1555
OG0000044	El007G357580, El007G365520, El003G186540	jg17523, jg29315, jg14196
OG0000044	El006G308910, El006G308940	jg1834, jg309, jg32416, jg1035, jg17283, jg1573
OG0000044	El007G360870	jg13501, jg20886
OG0000045	El002G101480	jg21124
OG0000046	El003G188710	jg12463, jg12464
OG0000046	El003G186960, El003G186970	jg12337
OG0000046	El003G168460	jg10780
OG0000046	El004G216670	jg2154
OG0000046	El004G216620	jg2192, jg2152
OG0000046	El004G216850, El004G216660	jg2209, jg2212
OG0000046	El003G186890	jg12331
OG0000046	El003G186880, El003G186940	jg6601
OG0000047	El002G123400	jg14037
OG0000048	El006G321480	jg16525
OG0000052	El002G116290	jg29349
OG0000052	El006G286640	jg907
OG0000052	El006G286630	jg19552, jg19554
OG0000052	El006G286590	jg19558
OG0000052	El006G286580	jg19560
OG0000055	El004G198780	jg674, jg739
OG0000055	El001G016330, El001G016310, El001G016300	jg14491
OG0000055	El004G198830	jg748
OG0000055	El004G198610	jg726
OG0000055	El004G198640	jg728
OG0000055	El004G208280	jg1420
OG0000055	El004G198010, El004G198720, El004G198710, El004G198730, El004G198700	jg749
OG0000055	El004G198810	jg745
OG0000056	El003G171800	jg20178
OG0000056	El007G350500	jg11849, jg7332
OG0000057	El001G001400	jg8147
OG0000057	El003G174270, El003G172630, El003G172690	jg17788
OG0000057	El005G254800	jg25908
OG0000057	El005G276600, El005G276550	jg28057, jg28058
OG0000057	El003G184060	jg12073
OG0000058	El005G263190, El006G310300	jg1166
OG0000058	El005G258260	jg14086
OG0000058	El001G046460	jg13853
OG0000058	El002G122710, El003G177250	jg27469, jg29921
OG0000058	El002G135580, El005G263200, El002G136300	jg1167
OG0000058	El005G276970, El001G065670, El001G046450	jg11079
OG0000058	El001G034170, El005G262760	jg14182, jg13958, jg21898, jg21900, jg14025
OG0000061	El006G308960, El006G308930, El002G121930	jg1799
OG0000062	El005G264970, El004G212620, El001G013750, El003G186180, El004G203440, El004G203430, El007G346680, El005G263100	jg7377
OG0000063	El006G292790	jg14371
OG0000063	El001G024380	jg29139, jg21260
OG0000064	El003G142390	jg8362
OG0000064	El006G298100	jg18482
OG0000066	El004G228220, El004G228230, El002G122920	jg27126
OG0000066	El001G071590, El001G071600	jg13471
OG0000066	El007G324780	jg1404
OG0000067	El001G050000	jg24838, jg24839, jg4261, jg4260, jg4298
OG0000067	El001G015110, El001G015090	jg24035, jg24037
OG0000067	El005G241220	jg24042
OG0000067	El001G019940, El001G019880, El003G151620, El001G050380, El007G338720	jg4088
OG0000067	El001G059350	jg4679
OG0000067	El001G080370, El001G080310, El001G080500, El001G079930, El001G080400, El001G080340, El001G080320, El001G080380	jg4186
OG0000068	El004G214260	jg13873
OG0000069	El001G064640	jg13268
OG0000071	El003G186380	jg28233
OG0000071	El003G186390, El001G051200, El006G305000	jg25723
OG0000072	El005G263040, El005G262970, El004G210970, El005G264060	jg27454, jg2002, jg1859, jg13895, jg13896, jg17450, jg17336, jg27058, jg17478
OG0000072	El003G180720	jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091
OG0000073	El002G132380	jg10924
OG0000073	El007G365480	jg7157, jg7084
OG0000074	El002G109000	jg30935
OG0000074	El002G108980	jg30933
OG0000074	El002G108920	jg30930
OG0000074	El002G108910	jg30929
OG0000074	El002G109050	jg30938
OG0000074	El002G108990	jg30934
OG0000074	El002G108950	jg30932, jg30931
OG0000074	El002G109030	jg30936
OG0000074	El002G108840	jg30922
OG0000074	El002G108850	jg30923, jg30924
OG0000074	El002G109040	jg30937
OG0000075	El001G065030, El001G025110	jg10637, jg14429
OG0000076	El001G018730, El001G018680	jg14731, jg14730
OG0000076	El001G018720, El001G018710, El001G018740, El007G346890	jg14733
OG0000076	El001G023150	jg15192
OG0000076	El001G023120	jg20912, jg15191
OG0000076	El001G023080	jg20913, jg15189, jg15188, jg15190
OG0000076	El001G041500	jg13373
OG0000077	El007G346620, El007G346720, El007G346600, El004G208890, El007G346470, El006G315340, El007G346500, El007G346630, El007G346710, El007G346580	jg21501
OG0000077	El007G346750	jg21500
OG0000077	El003G143060	jg8425
OG0000077	El003G143070	jg8426
OG0000077	El004G229240	jg26791
OG0000077	El002G122000	jg7664
OG0000077	El003G143080	jg32692, jg26472, jg32685, jg32682, jg8427
OG0000077	El003G143050, El006G313810, El003G143040	jg8424, jg8422
OG0000077	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890	jg1000, jg934
OG0000077	El003G143090	jg8428
OG0000078	El008G368270, El008G368260	jg9173
OG0000079	El005G237310	jg24131
OG0000079	El004G213350, El004G213320, El004G213370, El005G273970	jg15924
OG0000079	El004G207470	jg15925
OG0000079	El007G357730	jg17321, jg17317, jg17322
OG0000079	El003G187300, El003G187270, El003G187260, El003G187360	jg12367, jg12366, jg11406
OG0000079	El003G187320, El003G187370, El003G187350, El003G187330	jg12369, jg12364
OG0000080	El002G131320, El002G131270	jg1961, jg32859, jg32843, jg32550, jg32855, jg32866
OG0000080	El002G131930	jg32915
OG0000080	El001G069000, El001G068960	jg5088
OG0000080	El004G194020	jg375
OG0000080	El004G194360	jg12023
OG0000080	El007G345310	jg18020, jg18016
OG0000080	El006G302980, El006G300900, El006G303280	jg18005
OG0000080	El001G043770, El001G041340	jg18012, jg25262
OG0000081	El001G062660	jg5637
OG0000081	El001G062500	jg5657
OG0000083	El005G265380	jg27544, jg27541
OG0000083	El005G263710	jg26539
OG0000083	El005G263680	jg26554
OG0000083	El005G271190, El005G271150	jg27213
OG0000083	El005G271260, El005G271250, El005G271160, El005G265390	jg32422
OG0000083	El006G317480, El006G317520, El006G317460, El006G317530	jg24440, jg16886, jg16884
OG0000083	El006G317470, El006G317450	jg2772
OG0000083	El006G313440	jg16885
OG0000084	El006G315720	jg17390
OG0000084	El006G313930, El001G048100, El006G316280, El006G316240, El006G316260	jg16997
OG0000084	El006G315730, El006G315630, El006G315610, El006G315700, El006G317190, El006G312100, El006G312130, El006G317170, El006G315060, El006G315050, El006G312110, El006G317200, El006G317180	jg17005, jg20640
OG0000084	El006G313950	jg16996
OG0000084	El006G316300	jg17272
OG0000084	El006G316350	jg16984
OG0000084	El006G316420	jg17289
OG0000084	El006G316360, El006G316460, El006G316430, El006G316470, El006G316370, El006G316400	jg16989, jg17288
OG0000086	El004G210560	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269
OG0000087	El001G056180	jg6235
OG0000087	El006G303330	jg17972
OG0000087	El007G327940	jg23223
OG0000087	El001G069260	jg5068
OG0000087	El006G296420	jg18593
OG0000087	El007G360740	jg20749
OG0000087	El003G165170	jg10485
OG0000087	El002G104330	jg30528
OG0000087	El004G228430	jg3235
OG0000088	El007G357210	jg14230, jg14231
OG0000088	El001G017100	jg14563
OG0000088	El005G272510	jg27525
OG0000088	El001G016960	jg14545, jg14558
OG0000088	El001G016980, El001G017010	jg14507
OG0000088	El001G059590	jg5910
OG0000088	El001G059580	jg21695
OG0000089	El001G072250	jg4799
OG0000089	El005G256100, El002G133200	jg26012, jg33022
OG0000089	El006G287080	jg19507
OG0000089	El006G287070	jg19508
OG0000089	El006G287060	jg19509
OG0000089	El001G024400	jg18920
OG0000089	El001G015710	jg22870
OG0000090	El002G104490, El003G181590	jg4483
OG0000090	El007G355500	jg21183
OG0000090	El004G228750	jg3251
OG0000090	El001G031660	jg16054
OG0000090	El003G147970	jg8905
OG0000090	El001G038160, El001G038170, El001G049400	jg13115
OG0000090	El001G038180	jg28225, jg28226, jg13116
OG0000090	El002G093200	jg29403
OG0000091	El004G215550	jg20823, jg20821, jg1412, jg2211, jg14179
OG0000093	El004G202240, El004G202270	jg15848, jg15846
OG0000093	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230	jg27053, jg27051, jg27052
OG0000093	El001G029840	jg15851
OG0000093	El001G029800, El007G352040	jg15841
OG0000096	El004G205300	jg1247
OG0000096	El001G038380	jg13128
OG0000096	El001G038400	jg13131
OG0000096	El004G205890, El004G205920, El004G205830, El004G205860, El004G205880, El004G205870, El004G205260, El004G205840, El007G356380	jg1310
OG0000096	El007G361830	jg20644
OG0000096	El007G362830	jg20589
OG0000097	El001G004470	jg7810
OG0000097	El001G004390	jg7818
OG0000097	El001G004380	jg7820
OG0000097	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890	jg7813, jg7812, jg7815, jg7814
OG0000097	El001G004400	jg21543, jg7817
OG0000098	El002G095770	jg29672
OG0000099	El004G194870, El001G011990, El004G194960, El004G194830, El004G194970, El004G204720, El004G194880, El004G194860, El006G303000, El004G214950, El004G214930	jg455, jg458, jg453, jg457
OG0000099	El004G194890, El004G195030, El004G194980	jg456
OG0000099	El004G194840	jg542
OG0000099	El004G194950	jg27475, jg7311, jg460
OG0000101	El007G349760, El004G213140, El004G201520	jg476
OG0000101	El004G211480, El007G346770	jg477
OG0000101	El004G201590	jg1001
OG0000104	El002G090170	jg29111
OG0000104	El006G304210	jg17897
OG0000104	El002G136420	jg33355, jg33352
OG0000104	El002G136360	jg33347
OG0000105	El027G373450	jg17571
OG0000106	El005G259530	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891
OG0000106	El001G010720, El005G256190, El005G255570	jg27435, jg14860
OG0000106	El005G256210, El005G255560	jg25967, jg25964, jg12059, jg25966
OG0000106	El006G306450	jg17690, jg17691, jg17695
OG0000106	El005G269060, El005G269030, El005G268940	jg26888, jg26886
OG0000107	El006G308310	jg17559, jg17556
OG0000107	El005G257800	jg26159
OG0000107	El005G257780	jg26158
OG0000107	El005G257840	jg26161
OG0000108	El001G053220	jg6402, jg6418
OG0000108	El001G053160	jg6403
OG0000108	El001G053150, El001G053080, El001G053060, El001G053120, El001G053110, El001G053070, El001G053140	jg6404
OG0000108	El001G047240	jg7433
OG0000108	El007G364310, El007G323300	jg17595, jg31284
OG0000108	El001G009690, El006G281400	jg16872
OG0000108	El006G309530	jg27264, jg27221, jg27229, jg27223
OG0000108	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550	jg2306
OG0000109	El001G049940, El008G368450, El002G127890	jg17424
OG0000109	El001G018880	jg20882, jg6910, jg11931
OG0000110	El001G030790	jg15960
OG0000110	El001G030780	jg15959
OG0000110	El007G359610, El007G359400, El007G359370, El007G359570, El007G361570, El007G359600, El007G359510, El007G359520	jg27424, jg27428
OG0000110	El001G030740	jg15957, jg15956
OG0000111	El003G187720, El001G009620, El003G183560	jg12398, jg12393, jg12389, jg12394, jg12395
OG0000111	El003G187730	jg12396
OG0000111	El007G327170	jg23313
OG0000111	El001G025790	jg15428
OG0000112	El007G329910	jg16607, jg17599, jg27950, jg23041, jg20712
OG0000112	El007G342990	jg21770
OG0000113	El004G207200	jg509
OG0000113	El004G207120	jg1379
OG0000113	El002G128690	jg14194, jg14191
OG0000114	El004G213600	jg2542
OG0000114	El001G070430	jg4953, jg7114, jg1323
OG0000114	El004G206200, El004G206180, El004G205940, El004G206220	jg1324, jg1320, jg1319, jg1317, jg1326, jg1329, jg1330, jg27021
OG0000114	El002G128610	jg27601, jg1248
OG0000114	El003G187140	jg12353
OG0000115	El002G126950, El002G121910, El006G311440, El006G308990	jg6881
OG0000115	El007G324900, El006G289920, El006G285120, El004G201560, El001G079750, El001G046700, El002G106750, El002G138260, El007G348280	jg12949, jg10772, jg12951
OG0000116	El006G309080, El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070	jg1481, jg15996, jg6981, jg14689, jg7083, jg1902
OG0000118	El001G001700, El001G001530	jg13696, jg13697, jg13695
OG0000118	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930	jg15265, jg26895, jg27877
OG0000118	El002G084120	jg3144
OG0000119	El005G265760, El001G013130, El007G355930	jg20878
OG0000119	El002G124220	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024
OG0000120	El004G200260	jg889
OG0000120	El003G174940, El003G174920	jg11313
OG0000120	El007G345250, El007G346140, El006G307860	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558
OG0000120	El001G077920	jg13317, jg4214
OG0000122	El007G335590, El007G335600	jg22508
OG0000122	El007G335620, El007G335610	jg22486, jg22506
OG0000123	El002G113800	jg31338
OG0000123	El001G013920	jg647
OG0000124	El005G257490	jg20993, jg25905, jg11327
OG0000124	El006G297400, El006G297570, El004G206660, El006G307600, El001G057860	jg33081, jg14104, jg9592
OG0000124	El001G050120, El001G069630	jg20179
OG0000125	El001G024280	jg15301
OG0000125	El001G080460	jg3993
OG0000125	El002G090450	jg21256
OG0000125	El001G057350	jg6123
OG0000125	El001G015040	jg14378
OG0000125	El007G331030	jg22931
OG0000125	El001G015130	jg14383
OG0000125	El006G304720	jg17851
OG0000127	El001G001730	jg11550, jg24833, jg1120, jg24836, jg29525, jg29526, jg29071
OG0000128	El003G178890	jg32874
OG0000129	El001G046120	jg14912
OG0000131	El007G346920	jg16945, jg14091, jg6734, jg10774, jg12947
OG0000132	El005G264200	jg21091, jg22360, jg6813, jg6561
OG0000133	El005G265050	jg7039
OG0000133	El003G179460	jg17431
OG0000135	El004G202160	jg27483
OG0000136	El004G215940	jg2126
OG0000136	El004G209050, El004G209110	jg12281
OG0000136	El007G327820	jg23234
OG0000136	El007G355150, El007G356600	jg12259
OG0000137	El002G124820, El003G184880	jg17603
OG0000137	El003G191580	jg12674
OG0000138	El006G314590	jg13824
OG0000138	El001G050920	jg23058
OG0000138	El001G045840	jg13818
OG0000138	El001G045810, El001G045830	jg13817, jg13821
OG0000140	El001G016150	jg14472, jg14471
OG0000140	El001G016160	jg14475
OG0000140	El007G331970	jg22850
OG0000140	El007G332020	jg22845
OG0000140	El007G332560	jg22800
OG0000140	El007G332570	jg21885
OG0000140	El007G332540	jg22801
OG0000140	El007G332580, El007G332590	jg22798, jg22799
OG0000140	El007G332010, El007G332000	jg22851, jg22847
OG0000142	El006G303740, El006G303770	jg17934, jg17935
OG0000142	El006G303840	jg17928
OG0000142	El006G303780	jg17933
OG0000142	El006G303760, El006G303820	jg17936
OG0000142	El006G301970, El006G301960	jg18114, jg18115
OG0000144	El007G344160	jg21692
OG0000144	El007G351390	jg4342
OG0000144	El007G362000	jg6805
OG0000145	El001G043740	jg2060
OG0000145	El001G032500	jg17724
OG0000146	El007G336850	jg22363
OG0000146	El007G336810	jg22365
OG0000146	El007G336820	jg22364
OG0000146	El007G336870, El007G336880	jg22362
OG0000146	El002G123070	jg32125, jg32130
OG0000147	El005G277400	jg28078
OG0000147	El003G152940	jg9392
OG0000147	El007G334350	jg22635
OG0000147	El004G233720	jg3697
OG0000147	El001G047010	jg13954
OG0000147	El005G271430	jg27288
OG0000147	El006G316840	jg16942
OG0000149	El001G015560	jg14423
OG0000150	El006G312860	jg22960
OG0000150	El001G014460	jg14330
OG0000150	El006G312870, El001G014430	jg14331
OG0000150	El006G312840, El006G312880	jg17260
OG0000150	El006G312950, El006G312930	jg17259, jg17257
OG0000150	El001G011280	jg14325
OG0000150	El001G014390, El001G014400	jg14313
OG0000150	El001G012490, El001G014420	jg14327
OG0000151	El007G339860	jg22050
OG0000151	El005G243780	jg24782
OG0000151	El005G273960	jg27769
OG0000151	El007G336000	jg22463
OG0000151	El003G193180	jg12793
OG0000152	El003G177030	jg21089
OG0000154	El005G244620	jg24871
OG0000154	El004G209500	jg3984
OG0000155	El001G002450, El001G002560, El001G002510, El001G002610	jg14971
OG0000155	El004G214530, El004G213730, El004G214590	jg2004
OG0000155	El003G164690	jg10428
OG0000155	El005G247790	jg25152
OG0000155	El003G164700	jg7743
OG0000156	El001G032910	jg16151
OG0000156	El006G282820, El007G349010	jg19951
OG0000156	El006G282860	jg19948
OG0000156	El001G032920	jg16152
OG0000157	El005G265510, El005G265480, El005G265460, El005G265550	jg26628, jg26631, jg26630, jg26627
OG0000157	El005G238850	jg7233
OG0000157	El003G192550	jg12773
OG0000157	El003G192860	jg19043, jg19019
OG0000158	El003G184160	jg11407
OG0000158	El003G176020	jg5270, jg28263
OG0000158	El005G265720, El005G267190	jg16699
OG0000158	El001G001370, El001G007170, El001G007140	jg7562, jg7551
OG0000162	El003G183220	jg15299
OG0000162	El001G032200	jg16105
OG0000162	El005G268830	jg2591
OG0000162	El001G032190	jg16104
OG0000162	El007G330500	jg2236, jg2036
OG0000162	El006G283560, El006G283550	jg19859
OG0000164	El003G154300	jg9497
OG0000164	El003G143330	jg8473
OG0000164	El003G166760, El003G166780	jg10651
OG0000164	El003G186050, El001G048320	jg1128, jg1129, jg6771, jg6767, jg6769, jg6762, jg6770, jg6761
OG0000164	El001G048350	jg1130
OG0000164	El003G143320	jg8472
OG0000165	El006G319440	jg11573
OG0000166	El003G188790, El003G188850	jg11859
OG0000166	El004G197940	jg27846
OG0000166	El003G170640, El003G170650, El006G307980	jg725
OG0000166	El001G032810, El001G080610, El004G229180	jg4758
OG0000167	El007G348790	jg12243
OG0000167	El003G182660, El003G182640	jg10621, jg10622
OG0000167	El003G166350	jg10624
OG0000167	El003G186120	jg12242
OG0000167	El007G355560, El007G355650	jg10623
OG0000169	El004G226750	jg3073
OG0000169	El004G220680	jg3070
OG0000169	El004G226730	jg3071
OG0000169	El004G226720	jg3068
OG0000169	El006G316110	jg3074
OG0000169	El006G314450	jg17125
OG0000169	El006G314460	jg17120
OG0000169	El006G309570	jg17505
OG0000169	El006G309550	jg21553
OG0000169	El004G204650	jg1187
OG0000171	El001G066810	jg5289
OG0000172	El001G065760	jg5387
OG0000172	El001G024870, El001G024880	jg15356
OG0000172	El001G034720	jg16316
OG0000172	El001G034730	jg16317
OG0000172	El001G030560	jg15926
OG0000174	El005G261670	jg11812, jg11810, jg11730
OG0000175	El001G021550	jg15013
OG0000175	El004G228610	jg3242
OG0000175	El002G104420	jg30537
OG0000175	El003G147420	jg8854
OG0000176	El002G117480	jg31640
OG0000176	El002G116980, El002G116900, El002G117520	jg31598
OG0000180	El004G196870, El004G196830, El007G342850	jg16351
OG0000181	El001G037070, El007G362960, El001G081130, El003G164550, El006G294400	jg13723
OG0000183	El002G109930, El002G097230, El003G174400, El002G139010	jg14745, jg7532, jg14541
OG0000183	El002G135320	jg27683, jg1699
OG0000183	El001G029540, El007G356510	jg17561
OG0000183	El002G109940, El003G170170	jg7194
OG0000183	El006G283640	jg19302
OG0000185	El004G197640	jg1441, jg14078, jg1761
OG0000185	El001G013560	jg12153
OG0000185	El001G004120	jg13730
OG0000185	El006G317340, El007G342730, El007G358220	jg33822
OG0000185	El001G004130	jg7346, jg6686
OG0000187	El003G151270	jg9234, jg9235
OG0000187	El003G151220	jg9230
OG0000189	El004G229250	jg3298
OG0000189	El003G144190, El001G061400, El001G061930	jg8545
OG0000189	El001G047730	jg13671
OG0000189	El003G144180	jg8547
OG0000190	El001G005540	jg7702
OG0000190	El001G005520	jg7704
OG0000190	El001G005530	jg7703
OG0000190	El001G005500	jg7707
OG0000190	El001G005510	jg7705
OG0000190	El005G265350	jg32186
OG0000191	El005G254650	jg2134
OG0000191	El005G274440, El005G274460, El005G274720	jg27860, jg27859
OG0000192	El002G105680	jg30670
OG0000192	El001G002000	jg8064
OG0000192	El002G105660	jg3362
OG0000192	El002G107880	jg30833
OG0000192	El002G105610	jg30665
OG0000192	El002G105620	jg30667, jg30662, jg30666
OG0000192	El002G105690	jg30668
OG0000193	El006G309730	jg26576, jg26577
OG0000193	El005G259130	jg26297
OG0000193	El002G132160, El002G132130, El005G259240	jg26298, jg26296
OG0000195	El006G308260	jg17567
OG0000195	El001G028150	jg19387, jg15712, jg15648
OG0000195	El003G186220	jg2098
OG0000195	El004G215670	jg12245
OG0000195	El001G012120	jg14060
OG0000196	El002G115040	jg31432
OG0000196	El002G116380	jg31559
OG0000196	El002G115030	jg31430
OG0000197	El003G193160	jg12792
OG0000197	El005G275730, El005G275770, El005G276170	jg28098
OG0000197	El003G184300, El002G120020, El003G191670	jg12682
OG0000197	El003G190970, El003G190840	jg12633
OG0000200	El002G119250	jg31833
OG0000200	El004G214290	jg28943
OG0000200	El004G202190	jg14818
OG0000200	El003G156950	jg9719
OG0000200	El003G187150, El003G187490, El001G041980, El003G187480, El003G180990	jg12382, jg12383
OG0000201	El005G260650	jg26412
OG0000201	El005G260640	jg26411
OG0000201	El005G260660	jg26413
OG0000201	El005G260680, El005G260670	jg26414
OG0000201	El005G260820	jg26422
OG0000201	El005G260710	jg26418
OG0000202	El001G009350	jg7315
OG0000202	El005G254420	jg25880
OG0000202	El005G261620, El005G261760	jg26502
OG0000202	El005G261630	jg26504, jg26509
OG0000203	El005G239330, El005G239300	jg24349
OG0000203	El005G239360, El005G239320, El005G239280, El007G349670	jg24346, jg24347
OG0000203	El003G153180	jg9421, jg9422
OG0000203	El005G238860	jg24303
OG0000204	El002G082910, El002G082880	jg15213
OG0000204	El005G261570	jg26496
OG0000204	El005G259630	jg26333
OG0000205	El005G273080	jg16530
OG0000205	El005G273070, El006G312030	jg16527, jg27591
OG0000205	El003G178380, El003G178560, El003G178400, El003G178460	jg11592, jg11594
OG0000205	El002G129620	jg32768
OG0000205	El002G129730, El002G129760, El002G129780, El002G129740, El002G129710	jg32767
OG0000206	El001G018920	jg33290
OG0000207	El004G232160	jg3556
OG0000207	El002G100990	jg30217
OG0000208	El002G130530, El002G130520	jg32803, jg32805
OG0000208	El001G042580	jg12428
OG0000208	El006G317590	jg8417
OG0000208	El003G150670	jg9182
OG0000208	El003G143000	jg8418
OG0000208	El007G341810	jg21871
