Orthogroup	Erysimum_linariifolium	Cochlearia_excelsa
OG0000029	El006G302870, El002G125750, El008G368530	g29817
OG0000029	El008G371400, El008G371420, El008G371370, El008G371360	g41853
OG0000029	El001G044810	g48266, g6083
OG0000029	El001G046730	g4525, g37385, g6082
OG0000029	El007G356090	g17776
OG0000029	El003G165930, El002G089750	g26120, g17775, g52907
OG0000029	El006G307470	g1672
OG0000030	El007G358700	g40103
OG0000030	El008G371380, El007G349640	g6175, g48553, g8527, g41465, g35926
OG0000030	El003G181950	g31187
OG0000030	El002G130810	g37182, g14858
OG0000030	El003G181970	g30544, g8826
OG0000030	El003G181960	g8825, g44522, g52187, g7355
OG0000030	El004G207450	g43791, g44909
OG0000031	El004G197790, El004G197660	g40889
OG0000031	El007G349520	g40881, g40949, g40859, g40857, g40951, g6403, g40794
OG0000031	El005G253470	g13269
OG0000031	El003G157520	g17118
OG0000033	El003G162140, El003G162150	g23911
OG0000033	El001G012200, El001G004730	g40468
OG0000034	El004G208110	g53562
OG0000034	El007G350680	g44911, g15119
OG0000034	El001G041330	g15118, g44910
OG0000034	El003G149900, El001G048010	g15664, g3441, g9297
OG0000034	El006G311550	g15120
OG0000036	El006G309110	g23185, g33000
OG0000037	El005G262630	g2521
OG0000037	El005G272610	g10538
OG0000037	El006G315350	g2899, g31725
OG0000037	El001G053830	g24763, g47054, g2374
OG0000037	El004G202640	g5625
OG0000038	El001G019410	g24239
OG0000038	El007G341120	g1070
OG0000039	El004G212610	g53808
OG0000040	El003G181190, El002G112730, El002G112290, El006G296490, El006G297130, El007G346320	g38367, g38376, g38372, g38380
OG0000040	El005G250150	g44631
OG0000041	El004G204870, El005G265750, El007G355940, El001G013140, El002G131060	g36073
OG0000042	El003G192700	g26735, g12385
OG0000042	El006G318460	g41631, g25133, g41632, g52948, g49021
OG0000042	El002G113220	g3973, g3980
OG0000043	El006G310090	g46983, g27937
OG0000043	El007G350700	g53889, g53885, g42037, g14337, g24011, g3506, g47231, g4564, g25886, g53199, g35810, g14843, g18028, g11564, g50989, g18002, g30257, g34533, g34524, g33040
OG0000044	El002G124130	g33267
OG0000044	El007G360870	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446, g3382, g2931
OG0000045	El005G249570, El003G188840, El005G264730	g7244, g39351, g17718, g41293
OG0000045	El006G320830	g42618
OG0000046	El003G188710	g46717
OG0000046	El003G187000, El003G186990	g18113
OG0000046	El004G216620	g46719
OG0000046	El004G216790	g44951
OG0000046	El004G216850, El004G216660	g18042
OG0000047	El002G123400	g3851
OG0000047	El005G264350	g51242
OG0000049	El003G185390	g4748, g12067
OG0000049	El001G020690	g46801, g43914, g49353, g11652, g21
OG0000049	El007G333450	g23029
OG0000052	El006G286580	g37450
OG0000057	El001G001400, El003G174270, El003G172630, El003G172690, El005G254800	g50182, g50184, g50186
OG0000057	El005G276600, El005G276550	g48153, g33319, g33329, g48170, g15766, g33340
OG0000058	El001G046460	g19665
OG0000061	El006G308960, El006G308930, El002G121930	g11094, g32135, g50796, g25177
OG0000062	El003G186180, El004G203440, El004G203430	g32823, g13726, g11246, g41835
OG0000063	El001G024380	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647
OG0000065	El003G166430, El007G349160	g8443
OG0000066	El003G143700, El001G070920, El003G143690, El004G228220, El004G228230, El002G122920	g5393
OG0000066	El001G071590, El001G071600	g45535, g29501, g9719
OG0000066	El007G324780	g156
OG0000069	El004G215380, El003G183250	g51830
OG0000069	El001G064640	g10672, g13435, g10819, g37685, g16623, g14359, g43051, g31936, g11177, g40367, g37837, g24092, g24404, g53393
OG0000070	El002G125720	g15856, g15924, g26036
OG0000070	El007G351510	g30429, g30434, g34722, g20467, g25157, g21277
OG0000071	El003G161900, El007G348480	g36375, g47125, g4591, g36881
OG0000071	El004G223960, El004G222550	g27012
OG0000072	El005G263040, El005G262970, El004G210970, El005G264060	g33477, g30198
OG0000073	El007G355990	g10944
OG0000074	El002G108920	g50301
OG0000074	El002G109030	g27549, g27550
OG0000075	El001G065030, El001G025110	g5026
OG0000076	El001G023080	g19225
OG0000077	El003G143090	g25975, g22716
OG0000078	El008G368270, El008G368260	g46791, g24881
OG0000080	El002G131320, El002G131270	g41322
OG0000080	El003G157200	g23667
OG0000080	El001G043770, El001G041340	g50013, g23668
OG0000081	El001G062660	g18040
OG0000082	El005G264460	g17872, g19303
OG0000082	El004G212430	g26708, g39275, g52877, g26306, g36211, g54030, g53006, g31724, g7128, g51169, g6230, g2898, g11611, g1797, g53973, g6076, g24927, g11608, g35734, g29175, g26079, g24764, g753
OG0000083	El005G262880, El005G263710, El005G263680, El005G263720, El005G262910	g46885
OG0000083	El005G271260, El005G271250, El005G271160, El005G265390	g7705
OG0000084	El006G313950	g51024
OG0000085	El005G263080	g45065
OG0000085	El005G261930	g17068, g32641, g23586, g17797, g646
OG0000087	El001G018640, El001G056180	g9991
OG0000087	El007G327940	g9845, g2817, g339
OG0000087	El001G069260	g5316
OG0000087	El007G360740	g40485, g11055
OG0000087	El003G165170	g17371, g24042
OG0000087	El002G104330, El004G228430	g46232
OG0000088	El007G357210	g11453
OG0000088	El001G016960	g46886
OG0000088	El001G059590	g28933, g28934
OG0000089	El001G072250	g29544
OG0000089	El005G256100, El002G133200	g13323, g11989
OG0000089	El006G287060	g52029
OG0000089	El006G292700	g2333
OG0000090	El002G104490, El003G181590	g50123
OG0000090	El004G228750	g46242
OG0000090	El001G031660, El003G147970, El001G038160, El001G038170, El001G049400, El001G038180, El002G093200	g10675
OG0000091	El004G215550	g3977
OG0000093	El001G029840	g18958
OG0000096	El004G205300, El001G038300, El001G038380, El001G038370	g1538, g1535
OG0000096	El007G361830	g18473
OG0000097	El001G004470	g45186, g45201
OG0000097	El001G004380, El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890	g40477, g40479, g40476, g40480, g1561
OG0000099	El004G194870, El001G011990, El004G194960, El004G194830, El004G194970, El004G204720, El004G194880, El004G194860, El006G303000, El004G214950, El004G214930	g24889
OG0000100	El006G312970	g17260, g37826
OG0000100	El001G030500	g49149, g32974
OG0000101	El004G195800	g13563
OG0000102	El006G302470	g36431, g4524, g53004, g12636, g24835, g4478, g40702, g34414
OG0000102	El007G357340	g37180, g40701, g53170, g14688
OG0000104	El002G090170	g31072
OG0000104	El002G136360	g54244, g54237, g54238
OG0000105	El027G373450	g43456
OG0000106	El006G306450, El005G269060, El005G269030, El005G268940	g6393
OG0000107	El005G257790, El005G257800	g11936
OG0000107	El005G257840	g6757
OG0000107	El007G362890	g13346
OG0000109	El001G018880	g43843
OG0000110	El001G030790	g2009
OG0000112	El007G342990	g1342
OG0000113	El007G357330, El050G375440, El007G365010, El007G356050	g54287
OG0000113	El003G170190	g17560
OG0000113	El002G128690	g11211
OG0000114	El004G213600	g17433
OG0000114	El004G206200, El004G206180, El004G205940, El004G206220, El002G128610, El003G187140	g18420
OG0000115	El001G079740, El006G310420	g42081
OG0000117	El002G130220	g53168
OG0000117	El005G253090	g14426
OG0000117	El001G016830	g46165, g23756, g3226, g42576, g43638, g39474
OG0000118	El003G186910, El001G022390, El006G313980, El006G314430, El001G000890, El004G214040	g37032, g50081
OG0000118	El001G001700, El001G001530	g14347, g14348, g14394, g45220, g45247
OG0000118	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578
OG0000119	El002G124220	g50178
OG0000120	El004G200260	g40996
OG0000120	El007G345250, El007G346140, El006G307860	g6424
OG0000120	El001G077920	g32414, g29781
OG0000123	El001G013920	g25904
OG0000123	El003G177660	g25912
OG0000125	El001G024280	g19182
OG0000125	El001G057350	g41348
OG0000125	El001G015040, El007G331030, El001G015130	g2919, g1294, g28781
OG0000125	El006G304720	g39998
OG0000127	El001G001730	g7513, g49766
OG0000128	El003G178890	g26382
OG0000129	El001G046120	g4526, g26706, g4684, g11032, g26785, g24533, g54350, g32853, g17644, g52103, g27870, g4667, g18265, g52232, g27388, g6863, g11123, g6327, g23862, g47169, g27185, g24485, g3423
OG0000130	El002G120060	g34628
OG0000131	El006G311530	g32639, g6351, g24938, g14468, g28182, g27531, g15993
OG0000132	El005G264210	g26228
OG0000133	El005G265050	g19947, g43640, g35382, g42719, g43495
OG0000133	El001G044680	g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132
OG0000133	El003G179450	g35623, g52434
OG0000135	El007G346110	g4028, g51256, g14066, g27772
OG0000136	El004G209050, El004G209110	g43995, g46769, g46768, g46770
OG0000136	El003G186490, El003G186500	g14687
OG0000136	El007G355150, El007G356600	g25040, g25067
OG0000138	El004G229780	g47540, g51162
OG0000138	El006G314590	g46708
OG0000138	El001G045840	g10345
OG0000138	El001G045810, El001G045830	g10340
OG0000139	El007G349680, El003G179680	g25175
OG0000140	El001G016160	g19536
OG0000140	El007G332020	g1248
OG0000140	El007G332560, El007G332570, El007G332540	g28714
OG0000140	El007G332010, El007G332000	g1252, g28702, g28701
OG0000142	El006G303780	g37876, g37875
OG0000142	El006G301970, El006G301960	g51155, g51154, g51130, g51156
OG0000144	El007G344160	g32634, g26627, g450
OG0000144	El006G293730	g41746
OG0000145	El001G032500	g45298
OG0000146	El007G336800	g1010
OG0000146	El007G336790	g1011
OG0000146	El002G123110	g1009
OG0000147	El005G277400	g5985
OG0000147	El003G152940	g23426
OG0000147	El007G334350	g1105
OG0000147	El004G233720	g46563
OG0000147	El001G047010	g11547
OG0000147	El005G271430	g6339
OG0000147	El006G316840	g50994
OG0000149	El001G015560	g2887
OG0000149	El006G308870	g17375
OG0000150	El001G011280	g11441, g11440
OG0000151	El007G339860	g915, g28415
OG0000151	El003G156070	g17072
OG0000151	El005G243780	g7540
OG0000151	El005G273960	g14078
OG0000151	El007G336000	g28546
OG0000152	El003G177030	g22192, g30253, g4143
OG0000154	El005G244620	g7492
OG0000155	El003G164690	g47372
OG0000155	El005G247790	g7340
OG0000156	El006G282870	g2799
OG0000156	El006G282820, El007G349010	g52257
OG0000156	El002G121590, El006G282830	g52256
OG0000160	El002G123370, El007G360530	g49147, g47671, g45898, g31367, g7023, g36380, g52886, g25655, g34541, g2884
OG0000160	El004G209900	g38501, g6015, g7845
OG0000160	El007G331560	g11388
OG0000160	El005G275910, El001G047250	g26266, g4572
OG0000160	El002G105420	g48335
OG0000160	El007G347580	g36270, g12262, g7846
OG0000160	El004G202080	g49667
OG0000162	El007G330500	g26821
OG0000164	El003G166760, El003G166780	g14196, g38017, g38015, g38013, g38019, g32493
OG0000164	El001G048350	g22735
OG0000167	El003G166330	g24121
OG0000167	El003G186190	g24122
OG0000167	El003G186120	g17408
OG0000168	El004G196900	g32875, g13785, g54170, g21470
OG0000168	El007G366060, El007G366100	g52812, g14239, g2655, g12346, g13436, g43389
OG0000168	El006G293350, El004G205010	g25582, g6463
OG0000169	El006G309550	g46162
OG0000171	El004G222060, El002G108810	g45857
OG0000171	El004G201030	g5177
OG0000171	El001G066810	g29297
OG0000174	El005G261670	g26585, g53787, g43917, g3544
OG0000175	El005G275350	g18237
OG0000175	El003G146230	g47947
OG0000176	El002G117480	g27714
OG0000178	El007G324860, El003G162340, El003G181530, El003G168850, El006G304410	g50828, g25935, g6093, g32581
OG0000178	El001G013310	g54041, g13306, g2114, g43527, g43534, g43530, g38190
OG0000178	El004G208000	g9695, g823, g53495
OG0000178	El001G047610	g36920, g49526, g53614, g23518, g17258, g37824
OG0000178	El007G347590	g12602, g23535, g6014
OG0000178	El007G330330	g41487, g54206
OG0000178	El001G040000, El004G215500, El006G292960, El001G025380, El002G095060, El004G206380, El003G161220	g3844, g12585, g50586
OG0000178	El006G320140, El002G119260, El006G311520, El001G039840	g31229, g24493
OG0000178	El001G011070, El003G153080	g36271, g17574
OG0000180	El004G196870, El004G196830, El007G342850	g13531
OG0000183	El002G109930, El002G097230, El003G174400, El002G139010, El002G135320	g45042
OG0000183	El004G227200	g6570
OG0000183	El006G283640	g11496, g11193
OG0000185	El004G210290	g40049, g47161, g26166
OG0000185	El001G013560	g35118, g49472, g24428
OG0000185	El001G037380, El004G194470	g49019
OG0000187	El003G151270	g35037
OG0000188	El006G315250, El001G033320	g52805
OG0000188	El003G153830	g14562, g41865, g26137, g4502, g22182, g30244, g28957, g53428, g53804, g33380, g25805, g16452, g35452, g53324
OG0000188	El008G369860	g35585, g32834, g53191
OG0000190	El001G005540	g40442
OG0000190	El001G005460	g45169
OG0000190	El001G005500	g45158
OG0000190	El001G005510	g45173
OG0000192	El002G105660	g50732, g27488
OG0000192	El002G105580	g50736
OG0000195	El006G308260	g40143
OG0000195	El003G186220, El004G215670	g18117
OG0000196	El002G116380	g27686
OG0000196	El002G115030	g32383
OG0000197	El005G275730, El005G275770, El005G276170	g18526, g7663
OG0000197	El003G190970, El003G190840	g27764, g39817
OG0000200	El002G119250	g27759, g27721
OG0000201	El005G260650, El005G260640	g6534, g11758
OG0000201	El005G260660, El005G260680, El005G260670	g17326, g17323, g17324, g17327, g17336, g17334, g17322, g17332
OG0000201	El005G260820, El005G260710	g11846
OG0000202	El005G261620, El005G261760	g27177
OG0000202	El005G261630	g10880
OG0000204	El005G261570	g11805
OG0000204	El005G259630	g36933
OG0000205	El005G273080	g32507
OG0000205	El002G129620, El002G129730, El002G129760, El002G129780, El002G129740, El002G129710, El002G129660, El002G129670, El002G129810, El002G129530, El002G129560, El002G129650, El002G129890, El002G129930, El002G129520, El002G129550, El002G129510	g53988
OG0000208	El002G130450	g24958
OG0000208	El001G042580	g18133
OG0000208	El006G317590, El003G150670	g6217, g6207
OG0000209	El004G194580	g40830
OG0000210	El005G269850	g28290
OG0000213	El004G225470, El004G225480	g46059, g46056
OG0000213	El005G245790	g7432
OG0000213	El006G319110	g28220
OG0000213	El006G319100	g38464
OG0000214	El001G033600	g36825, g36830
OG0000215	El003G178880	g24969
OG0000215	El002G117130	g50354, g44893, g26974, g2036, g10328, g1428, g53274
OG0000216	El003G163460, El003G163490	g53737
OG0000217	El004G203150, El004G202950, El004G203070	g31539, g1718
OG0000218	El002G099000	g31564
OG0000218	El002G099030, El002G099010	g49926
OG0000218	El001G036390	g10793
OG0000219	El004G216370	g13335, g45479, g28368
OG0000219	El007G327350	g311
OG0000219	El007G339360	g18634
OG0000221	El007G343790	g26609
OG0000221	El008G369870	g52806
OG0000221	El001G033310	g22946, g6183, g17356
OG0000224	El004G230590	g46370
OG0000224	El005G267900, El004G196560, El004G196620, El004G196600	g40852
OG0000225	El002G115470, El002G115510	g27682
OG0000226	El005G257020	g32332, g32334, g32337
OG0000226	El003G167740, El003G167670, El003G167790	g11864
OG0000226	El002G110920	g35799
OG0000228	El001G048740, El001G048760	g32057
OG0000231	El003G188200	g46733
OG0000234	El001G026000	g19127
OG0000234	El001G025990	g19128
OG0000234	El001G025980	g2235
OG0000234	El006G290620	g51765
OG0000234	El001G068080	g29346
OG0000237	El005G266480, El003G180350	g33179, g33208
OG0000238	El006G319450	g32890, g4077, g7032, g2311
OG0000240	El001G011020	g24726
OG0000242	El005G272850	g14272, g6162
OG0000242	El002G097950	g31494
OG0000242	El002G097970	g31496, g31497, g31498, g31499
OG0000244	El003G163990, El001G005180, El003G164310, El003G164000, El003G164280, El001G005170, El001G005160	g17320
OG0000246	El007G366210	g51552, g10029, g41167, g13593, g1277, g16239, g50071, g24810, g1215, g23574, g46331, g45078, g2997, g51381, g53918, g10469, g10577, g35186, g10139, g6497, g7916, g28232, g45392, g2408, g135, g53919, g41344, g11012, g23429, g47392, g22813, g23046, g46254, g37671, g39420, g31426, g46534, g2078, g43908, g41124, g41775, g43926, g25863, g3770, g17422, g3843, g52261, g11937, g26779, g26027, g6323, g35239, g42930, g26018, g25834, g52571, g17747, g6324, g42932, g25833, g6325
OG0000248	El004G205450	g41086, g41090, g41083
OG0000249	El001G008040	g43114
OG0000249	El001G010190, El001G010200	g37185
OG0000253	El005G262180	g30425, g30424, g30421, g30418, g21279, g20461
OG0000253	El007G351460	g33206
OG0000254	El002G133750, El002G133740, El002G133770, El002G133780, El006G290360, El006G289630, El001G046370, El004G220180, El001G033560, El004G219930, El006G289430	g1607
OG0000256	El002G127370, El007G348390, El007G354980, El007G348590, El007G348510, El007G348440, El007G348630, El007G348410, El007G348460	g51896, g51897
OG0000256	El006G315200, El006G315100, El006G315180, El006G315190, El006G315090, El006G315110, El006G315230	g51887
OG0000257	El003G190500	g48005
OG0000258	El007G334450	g39309
OG0000258	El001G040670	g16641
OG0000261	El003G172830, El007G338290, El003G149370, El007G343030, El003G186040	g53714, g14389
OG0000264	El001G003610	g25493
OG0000264	El001G003650	g40712
OG0000266	El001G005860, El002G136470, El004G205750	g11014, g40790
OG0000268	El001G037050	g1514
OG0000268	El001G081300	g45297
OG0000268	El001G024850	g19165
OG0000270	El005G273730	g23060, g18216, g18323
OG0000271	El001G004610, El001G004620	g25541
OG0000272	El003G153700	g52239
OG0000274	El007G331270	g28758
OG0000274	El001G015380	g2936, g2910
OG0000274	El006G303380, El006G303400	g39974
OG0000276	El003G165590	g17631
OG0000277	El003G172500, El003G172490	g47115
OG0000277	El003G172510	g17643
OG0000278	El007G332310, El007G332260	g10751, g26081, g26058
OG0000279	El006G309180	g35399, g45089, g11046, g53522
OG0000280	El002G123550	g38418, g13780, g13779, g35954, g40910, g27822, g34932, g28520, g28738, g45012, g1417, g27784, g24540, g18154, g25731, g10437, g23746, g45214, g51852, g17061, g13198, g54330, g26144, g32501, g40907, g3101, g14275
OG0000280	El006G320040	g6911, g3091, g34941, g53473, g49339, g12351, g14062, g11985
OG0000281	El001G040170, El002G134210, El002G134220	g36419
OG0000282	El001G074240	g5538
OG0000282	El001G074210	g45483
OG0000282	El001G074200, El001G074190	g29622
OG0000283	El007G358950, El007G358900, El007G358940, El007G358910	g11114, g11113, g39732
OG0000284	El001G051110	g10112
OG0000284	El001G010020, El005G240890, El007G347650	g12521
OG0000287	El005G258990, El005G259000, El005G259010	g13375
OG0000287	El005G259030	g13376
OG0000290	El005G255960	g11997
OG0000290	El007G324830	g16860
OG0000294	El005G254320	g6947
OG0000294	El001G002070	g39522, g25429
OG0000294	El002G084190	g26892
OG0000295	El005G250990, El004G213700, El004G213760	g12173, g12193, g12167, g12172
OG0000297	El007G330520	g41326
OG0000298	El005G279100, El005G276710	g34492
OG0000299	El004G215990	g27806
OG0000300	El005G270370, El005G270380	g13574, g6349
OG0000300	El002G126770, El005G270360, El001G016940	g51227
OG0000300	El005G270320, El006G312490	g53214, g52576, g53200, g11641
OG0000303	El004G204690, El001G012020	g14940
OG0000303	El002G128090	g20406, g21339
OG0000304	El001G037860, El002G117260	g40529, g40528, g40527
OG0000305	El007G348050	g35570, g48269
OG0000305	El003G176400	g11714, g36309, g41674, g35033, g35914, g24891, g36256, g22612, g8723, g35179, g4978, g8221, g53432, g14261, g11489, g26043, g43325, g681, g24382, g53856, g36863, g35310, g35180, g1725, g14866, g15565, g46617, g36308, g26275, g3099, g14634, g4432, g26044, g35034, g43324, g14621, g14865, g15566, g26276, g11794, g35998, g35872, g28956, g46616, g14635, g36310, g680, g34704, g8722, g8220, g34355, g4410, g35178, g8232, g8732, g43057, g22613, g35913, g53431, g35035, g14620, g14864, g15567, g36255, g53430, g51818, g16345, g51819, g28955, g682, g24587, g4423, g34703, g4409, g28251, g37815
OG0000310	El002G106070, El007G331450	g19547, g28753
OG0000310	El005G269120, El005G267120	g41320, g28797, g28774, g28802, g859
OG0000311	El001G064420	g45737
OG0000311	El002G132070	g36325
OG0000311	El005G254740	g6918, g13293
OG0000311	El004G215340	g45009
OG0000313	El003G165600	g17626
OG0000314	El002G086800	g26947, g49462
OG0000314	El006G299440	g51309
OG0000314	El002G086810	g30904
OG0000314	El006G298930	g51329
OG0000319	El002G090600, El002G090610, El007G330560	g28817, g849, g41323, g31094, g49601, g27017
OG0000321	El003G185760, El003G185810	g14307
OG0000321	El003G185430, El003G181320	g46827, g46812
OG0000322	El004G231760	g46450
OG0000322	El002G129460	g50458
OG0000322	El006G289270, El006G309790, El006G309860, El002G125390	g51878, g53520
OG0000324	El007G355120	g32873, g54300, g26198, g3280, g32999, g23186, g49511, g22605, g3645, g4167, g24937, g14390
OG0000325	El004G205680, El005G236050	g11614
OG0000327	El001G043800, El001G043810, El001G039020, El001G025360, El001G025350, El001G025370	g11293, g11292, g11294
OG0000328	El003G174750	g24521, g24516, g24520
OG0000328	El003G188550	g46723
OG0000330	El001G031830, El001G031690, El001G031810, El001G031820, El006G283270, El001G031680	g1956
OG0000331	El004G210400	g33150
OG0000332	El001G060380, El001G060390	g41419
OG0000332	El002G134240	g54159
