Orthogroup	Erysimum_linariifolium	Cardamine_hirsuta
OG0000052	El007G364450, El002G116290	CARHR002800
OG0000052	El006G286630	CARHR127280
OG0000052	El006G286590	CARHR137530
OG0000052	El006G286580	CARHR137550, CARHR137540
OG0000055	El004G198780	CARHR050220
OG0000055	El001G016330, El001G016310, El001G016300	CARHR155600
OG0000055	El004G198830	CARHR050320
OG0000055	El004G198610	CARHR049990, CARHR050000
OG0000055	El001G016290, El004G208280	CARHR050060
OG0000055	El004G198810	CARHR049980, CARHR050290, CARHR050280
OG0000056	El003G179560, El006G285210, El001G008020	CARHR219260, CARHR049910
OG0000057	El001G001400	CARHR213520
OG0000057	El005G276600, El005G276550	CARHR111010
OG0000057	El003G184060	CARHR107830, CARHR108270, CARHR149830, CARHR094260
OG0000058	El005G263190, El006G310300, El005G258260	CARHR154060
OG0000062	El003G186180, El004G203440, El004G203430, El007G346680, El005G263100	CARHR100910
OG0000063	El001G014950	CARHR273260
OG0000063	El006G292790	CARHR132050
OG0000064	El003G142390	CARHR247830
OG0000064	El006G298100	CARHR127180, CARHR260300
OG0000065	El002G116640, El002G116630	CARHR184170
OG0000066	El004G228220, El004G228230, El002G122920	CARHR069000, CARHR096450, CARHR058350
OG0000066	El001G071590, El001G071600	CARHR202910
OG0000066	El007G324790	CARHR279320
OG0000066	El007G324780	CARHR279310
OG0000067	El001G015110, El001G015090, El005G241220, El001G019940, El001G019880, El003G151620, El001G050380, El007G338720	CARHR210190
OG0000068	El004G214260	CARHR216710
OG0000071	El002G123480, El003G185050	CARHR055550
OG0000071	El005G246820	CARHR082570
OG0000071	El002G129540	CARHR183910
OG0000073	El007G355990	CARHR116350
OG0000073	El007G365480	CARHR292230
OG0000074	El002G109000, El002G108980	CARHR024070
OG0000074	El002G109050	CARHR024100
OG0000074	El002G108960	CARHR024030
OG0000074	El002G108950	CARHR024020, CARHR024000
OG0000074	El002G108840	CARHR023940
OG0000074	El002G108850	CARHR023950
OG0000075	El001G065030, El001G025110	CARHR010330, CARHR008650, CARHR024930
OG0000076	El001G023150	CARHR162560
OG0000076	El001G023120	CARHR162500, CARHR162510, CARHR162540, CARHR162570
OG0000076	El001G023080	CARHR162490, CARHR162550
OG0000076	El001G041500	CARHR148060, CARHR148030
OG0000076	El001G041490	CARHR148020
OG0000077	El007G346620, El007G346720, El007G346600, El004G208890, El007G346470, El006G315340, El007G346500, El007G346630, El007G346710, El007G346580, El007G346750	CARHR286200, CARHR286190, CARHR286160
OG0000077	El003G143070	CARHR247160
OG0000077	El007G346640	CARHR214110
OG0000077	El002G122000	CARHR286090
OG0000077	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890	CARHR247180
OG0000077	El003G143090	CARHR247140
OG0000079	El004G207470	CARHR111250, CARHR169300, CARHR169310
OG0000079	El004G196920	CARHR217330, CARHR182570, CARHR214210
OG0000080	El002G131320, El002G131270	CARHR270010
OG0000080	El002G131930	CARHR038000
OG0000080	El004G194360	CARHR151510, CARHR219570
OG0000080	El007G345310	CARHR123150, CARHR123070
OG0000080	El001G043770, El001G041340	CARHR123140
OG0000081	El004G231800, El001G044440	CARHR121110
OG0000081	El001G062500	CARHR194900
OG0000083	El005G265380	CARHR291360, CARHR291330
OG0000083	El005G263680, El005G263720, El005G262910	CARHR099030
OG0000083	El006G317470, El006G317450	CARHR118100, CARHR292140, CARHR291340
OG0000083	El006G313440	CARHR118080, CARHR118040
OG0000084	El006G313930, El001G048100	CARHR117870, CARHR117890, CARHR116980
OG0000084	El006G316280, El006G316240, El006G316260	CARHR116700
OG0000084	El006G315730, El006G315630, El006G315610, El006G315700, El006G317190, El006G312100, El006G312130, El006G317170, El006G315060, El006G315050, El006G312110, El006G317200, El006G317180	CARHR116880, CARHR117860
OG0000084	El006G313950	CARHR117220, CARHR116970
OG0000084	El006G316300	CARHR116870
OG0000084	El006G316230	CARHR117230, CARHR116960, CARHR116990
OG0000084	El006G316420	CARHR117030, CARHR118620
OG0000084	El006G316360, El006G316460, El006G316430, El006G316470, El006G316370, El006G316400	CARHR117020
OG0000085	El005G263080, El005G261930	CARHR259820
OG0000086	El007G331280	CARHR050760, CARHR273290
OG0000086	El002G123600, El004G210560	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750
OG0000087	El001G056180	CARHR189700
OG0000087	El006G303330	CARHR122890
OG0000087	El001G016250	CARHR155480
OG0000087	El001G069260	CARHR200860
OG0000087	El006G296420	CARHR128920
OG0000087	El007G360740	CARHR178800
OG0000087	El003G165170	CARHR227450
OG0000087	El002G104330	CARHR020480
OG0000087	El004G228430	CARHR069200
OG0000088	El001G016980, El001G017010	CARHR155740
OG0000088	El001G017040, El001G017080, El001G013450, El001G013470, El001G017070, El001G013420, El001G013490	CARHR155720
OG0000088	El001G059590	CARHR192340, CARHR192330
OG0000088	El001G059580	CARHR262970
OG0000089	El001G072250	CARHR203590
OG0000089	El002G133200	CARHR094190
OG0000089	El005G247910	CARHR086670
OG0000089	El001G024400	CARHR131960
OG0000089	El007G331780, El001G015710	CARHR285740
OG0000090	El002G104490, El003G181590	CARHR020650
OG0000090	El007G355500	CARHR284690
OG0000090	El004G228750	CARHR069500
OG0000090	El003G147970	CARHR288810
OG0000090	El001G038160, El001G038170, El001G049400, El001G038180	CARHR145520, CARHR145510
OG0000090	El002G093200	CARHR010350
OG0000091	El005G262380, El005G262370, El005G262320	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050
OG0000091	El004G215550	CARHR055470
OG0000093	El005G270280	CARHR168630, CARHR103160, CARHR103150, CARHR219320
OG0000093	El001G029880	CARHR168710
OG0000093	El001G029840	CARHR168640
OG0000093	El001G029800, El007G352040	CARHR168590, CARHR259860, CARHR168580
OG0000096	El001G038300	CARHR145650
OG0000096	El001G038370	CARHR145640
OG0000096	El001G038400	CARHR288740
OG0000096	El004G205890, El004G205920, El004G205830, El004G205860, El004G205880, El004G205870, El004G205260, El004G205840, El007G356380	CARHR054510
OG0000096	El007G361830	CARHR177990
OG0000096	El007G362760	CARHR176910
OG0000096	El007G362830	CARHR177040
OG0000097	El001G004450	CARHR252130
OG0000097	El001G004390	CARHR252060
OG0000097	El001G004380	CARHR252050
OG0000097	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890	CARHR252100
OG0000098	El002G095770	CARHR012600
OG0000099	El004G194950	CARHR051080, CARHR046970, CARHR051510
OG0000100	El006G312970	CARHR100990
OG0000100	El004G206690, El006G309850, El007G331570, El004G203680, El006G309780, El001G004640, El001G030520, El001G030510	CARHR181920, CARHR054690, CARHR054680
OG0000101	El007G349760	CARHR047300, CARHR047090, CARHR047120, CARHR047210, CARHR047270
OG0000101	El004G213140, El004G201520	CARHR047080
OG0000101	El004G211480	CARHR050870
OG0000101	El004G195800	CARHR047710
OG0000101	El004G209060	CARHR149290
OG0000104	El002G090170	CARHR007350
OG0000104	El006G304210	CARHR122240
OG0000106	El005G259530	CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860
OG0000106	El001G010720, El005G256190, El005G255570	CARHR101790, CARHR101800, CARHR159090, CARHR095220, CARHR092810, CARHR120380
OG0000106	El006G306450	CARHR266870
OG0000106	El005G269060, El005G269030, El005G268940	CARHR084920
OG0000107	El006G308310	CARHR119260, CARHR119250
OG0000107	El005G257790, El005G257800	CARHR095650
OG0000107	El005G257780	CARHR095640
OG0000107	El005G257770	CARHR095620, CARHR055760
OG0000107	El005G257840	CARHR095660
OG0000107	El001G039680	CARHR095690, CARHR095670
OG0000107	El005G258940	CARHR096820, CARHR096830
OG0000108	El001G047240	CARHR188180
OG0000108	El007G364310, El007G323300	CARHR174970
OG0000108	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550	CARHR046250
OG0000110	El001G030790	CARHR169600
OG0000110	El001G030780	CARHR169580
OG0000110	El001G030740	CARHR150810, CARHR169560
OG0000110	El001G030750	CARHR169570
OG0000111	El003G187720, El001G009620, El003G183560	CARHR214020, CARHR214040
OG0000111	El003G187730	CARHR214030
OG0000111	El007G327170	CARHR277270
OG0000111	El001G025790	CARHR164880
OG0000112	El007G329910	CARHR042770, CARHR016560, CARHR187420, CARHR283690, CARHR181490, CARHR181480, CARHR274670, CARHR274650, CARHR274680
OG0000113	El004G207200	CARHR149270
OG0000113	El004G207120	CARHR047480
OG0000113	El004G195320, El004G195370, El004G195590, El004G195260, El004G195240, El004G195300	CARHR047200, CARHR047160
OG0000113	El004G195220, El004G195250, El004G195400, El004G195200, El004G195310	CARHR047260
OG0000113	El007G357330	CARHR175310, CARHR289490
OG0000113	El050G375440	CARHR175110, CARHR175150
OG0000113	El007G365010	CARHR175080
OG0000113	El003G170190	CARHR222460
OG0000113	El004G212080	CARHR228760
OG0000113	El002G128690	CARHR104310
OG0000114	El004G213600	CARHR071840, CARHR251920, CARHR071800
OG0000114	El001G070430	CARHR202010, CARHR214250, CARHR181200, CARHR181230, CARHR202070, CARHR077970
OG0000114	El004G206200, El004G206180, El004G205940, El004G206220	CARHR054550, CARHR054640, CARHR054580
OG0000115	El002G126950, El002G121910, El006G311440, El006G308990	CARHR059960, CARHR284490
OG0000118	El005G262010	CARHR161720
OG0000118	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930	CARHR148290
OG0000119	El005G265760, El001G013130, El007G355930	CARHR115250
OG0000119	El002G124220	CARHR292260, CARHR102990
OG0000120	El004G200260	CARHR285170
OG0000120	El003G174940, El003G174920	CARHR221010
OG0000120	El007G345250, El007G346140, El006G307860	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430
OG0000120	El001G077920	CARHR208650
OG0000122	El007G335590, El007G335600	CARHR269930
OG0000122	El007G335620, El007G335610	CARHR269730
OG0000123	El002G113800	CARHR024520, CARHR027640, CARHR027660, CARHR027650
OG0000123	El003G177660	CARHR009210
OG0000124	El004G213400, El002G123970, El005G272110	CARHR182430
OG0000124	El001G053440	CARHR287060, CARHR146840, CARHR038370, CARHR217450
OG0000124	El001G065890	CARHR183660
OG0000125	El001G024280	CARHR163570
OG0000125	El005G244660, El001G080460	CARHR210790
OG0000125	El001G057350	CARHR190650
OG0000125	El007G331030	CARHR273520
OG0000125	El001G015130	CARHR154390, CARHR154340
OG0000125	El006G304720	CARHR121850
OG0000127	El005G244320	CARHR083500
OG0000127	El001G001730	CARHR083490, CARHR107060, CARHR107080, CARHR107070, CARHR107090, CARHR107050, CARHR107100
OG0000131	El006G311530	CARHR283860
OG0000136	El004G215950, El004G215940	CARHR058600
OG0000136	El004G209050, El004G209110	CARHR214760, CARHR214790
OG0000136	El003G186400, El003G186460	CARHR214860
OG0000136	El003G186500	CARHR214810
OG0000136	El007G327820	CARHR276580
OG0000136	El007G355150, El007G356600	CARHR272990
OG0000137	El002G124820, El003G184880	CARHR180340
OG0000137	El002G126030	CARHR119160
OG0000137	El003G191580	CARHR261370
OG0000138	El006G314590	CARHR113950
OG0000138	El001G050920	CARHR274880, CARHR274890, CARHR274860
OG0000138	El001G045840	CARHR153120
OG0000138	El001G045810, El001G045830	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980
OG0000140	El001G016150	CARHR155420
OG0000140	El007G331970	CARHR285530
OG0000140	El007G332020	CARHR285410
OG0000140	El007G332560, El007G332570, El007G332540	CARHR272760, CARHR272770, CARHR053670
OG0000140	El007G332580, El007G332590	CARHR272750
OG0000140	El007G332010, El007G332000	CARHR285460, CARHR285480
OG0000142	El006G303720	CARHR122550
OG0000142	El006G303780	CARHR122540
OG0000142	El006G303820	CARHR122570, CARHR122580, CARHR119640
OG0000142	El006G301970, El006G301960	CARHR119630, CARHR119600, CARHR124170, CARHR124160, CARHR124140
OG0000146	El007G336800	CARHR268710
OG0000146	El007G336790	CARHR268720
OG0000146	El007G336850	CARHR268680
OG0000146	El007G336810	CARHR268700
OG0000146	El007G336820	CARHR268690
OG0000147	El003G152940	CARHR238090
OG0000147	El007G334350	CARHR271150
OG0000147	El004G233720	CARHR073860
OG0000147	El001G047010	CARHR153650
OG0000147	El005G271430	CARHR104060
OG0000147	El006G316840	CARHR117520
OG0000149	El001G015560	CARHR154790, CARHR154820
OG0000149	El006G308870	CARHR122210
OG0000150	El006G312860	CARHR118700, CARHR273840
OG0000150	El006G312870, El001G014430	CARHR150140
OG0000150	El006G312840, El006G312880, El006G312950, El006G312930	CARHR114860
OG0000150	El001G011280	CARHR059580, CARHR150110
OG0000150	El001G014390, El001G014400	CARHR150200
OG0000151	El007G339860	CARHR266340
OG0000151	El003G156070	CARHR235660
OG0000151	El005G243780	CARHR082990
OG0000151	El005G243790	CARHR083000
OG0000151	El005G273960	CARHR107000
OG0000151	El007G336000	CARHR269520
OG0000151	El004G194600, El003G193180	CARHR046700
OG0000154	El006G314290, El006G314350	CARHR000060
OG0000154	El005G244620	CARHR083850
OG0000154	El004G209500	CARHR210890
OG0000155	El003G164690	CARHR227980
OG0000155	El005G247790	CARHR086560
OG0000155	El003G164700	CARHR227950
OG0000156	El006G282820, El007G349010	CARHR140760, CARHR186310
OG0000156	El006G282860	CARHR140740
OG0000156	El006G282830	CARHR140750
OG0000156	El001G032920	CARHR171350
OG0000157	El005G265510, El005G265480, El005G265460, El005G265550	CARHR099660
OG0000157	El005G238850	CARHR101220, CARHR133040, CARHR180020
OG0000157	El003G192860	CARHR101240
OG0000158	El006G298850	CARHR104280
OG0000160	El004G209900	CARHR288090
OG0000162	El003G183220	CARHR170850
OG0000162	El005G268830	CARHR170840
OG0000162	El007G330500	CARHR154310, CARHR059620, CARHR057980, CARHR057970
OG0000162	El006G283560, El006G283550	CARHR140170
OG0000164	El003G143310	CARHR041160, CARHR041170
OG0000164	El001G048350	CARHR185060, CARHR185040
OG0000164	El003G143320	CARHR246950
OG0000167	El003G166330	CARHR226380
OG0000167	El003G182670, El003G166340	CARHR226370, CARHR226280
OG0000167	El007G355560, El007G355650	CARHR215060
OG0000169	El006G316110	CARHR019250, CARHR067410, CARHR067450
OG0000169	El006G309550	CARHR067370, CARHR115410, CARHR183960
OG0000171	El001G034570, El006G280730, El002G093670	CARHR142560
OG0000171	El002G108810	CARHR023910
OG0000171	El004G201030	CARHR052550
OG0000171	El001G066810	CARHR198650
OG0000172	El001G034720	CARHR053570
OG0000172	El001G034730	CARHR052000
OG0000172	El001G030560	CARHR169320
OG0000174	El005G261670	CARHR286250
OG0000174	El003G181040, El001G047190, El008G371470, El007G350780, El003G181660	CARHR105060
OG0000175	El001G021550	CARHR160880
OG0000175	El004G228610	CARHR069390
OG0000175	El002G104420	CARHR020570
OG0000175	El003G147420	CARHR243300
OG0000175	El003G146230	CARHR244350
OG0000176	El002G117050, El002G116930, El002G117010, El002G116700	CARHR029840
OG0000178	El007G324860, El003G162340, El003G181530, El003G168850, El006G304410	CARHR104870
OG0000178	El001G047610	CARHR145030
OG0000180	El006G317860	CARHR264460
OG0000185	El004G197640	CARHR146770
OG0000185	El001G013560	CARHR116590
OG0000187	El003G151270	CARHR239530
OG0000187	El003G151220	CARHR239600
OG0000187	El005G246530	CARHR085640
OG0000189	El004G229250	CARHR246590
OG0000189	El005G268020	CARHR100900
OG0000190	El001G005540	CARHR253020
OG0000190	El001G005520	CARHR250370
OG0000190	El001G005530	CARHR250360
OG0000190	El001G005500	CARHR263930
OG0000190	El001G005510	CARHR252960
OG0000191	El005G274730, El005G274430	CARHR107420, CARHR107440
OG0000191	El005G274440, El005G274460, El005G274720	CARHR293580, CARHR148110
OG0000192	El002G105680	CARHR059110
OG0000192	El002G105560, El002G105590, El002G105640	CARHR021680, CARHR116570, CARHR021690, CARHR146970
OG0000192	El002G105660	CARHR181970
OG0000192	El002G105690	CARHR181980, CARHR256500
OG0000193	El006G309730	CARHR099220
OG0000193	El005G259130	CARHR097030
OG0000195	El006G308260	CARHR119300
OG0000195	El001G028150	CARHR136200
OG0000195	El003G186220	CARHR058380
OG0000195	El004G215670	CARHR215030
OG0000195	El001G012120	CARHR191680
OG0000196	El002G116380	CARHR037140
OG0000200	El004G202190	CARHR291830, CARHR263700
OG0000200	El002G088260	CARHR005450
OG0000200	El003G187150, El003G187490, El001G041980, El003G187480, El003G180990	CARHR291820
OG0000202	El001G009350	CARHR092830, CARHR151680
OG0000202	El005G261620, El005G261760	CARHR024770
OG0000203	El005G239330, El005G239300	CARHR078880, CARHR078860
OG0000203	El005G239360, El005G239320, El005G239280, El007G349670	CARHR078870
OG0000203	El005G238860	CARHR201470
OG0000204	El005G243840, El005G241010, El001G005350	CARHR099050
OG0000204	El007G342080	CARHR084930, CARHR043980
OG0000204	El002G082910, El002G082880	CARHR044120
OG0000204	El005G261570	CARHR098530
OG0000204	El005G259630	CARHR097380
OG0000204	El003G152770	CARHR238210
OG0000205	El005G273080	CARHR149530, CARHR042890, CARHR042510
OG0000205	El005G273070, El006G312030	CARHR042520, CARHR042900, CARHR041590, CARHR043210, CARHR037920, CARHR263740, CARHR043200
OG0000205	El002G129620	CARHR219990
OG0000207	El004G232160	CARHR180390
OG0000207	El002G100990	CARHR017450
OG0000208	El002G130450, El001G042580	CARHR181000
OG0000208	El003G143000	CARHR247220
OG0000208	El007G341810	CARHR264830
OG0000210	El005G269840, El005G269890	CARHR102810, CARHR103310
OG0000210	El005G269850	CARHR102790, CARHR102800, CARHR102820
OG0000210	El001G038680, El001G038660, El002G139080	CARHR145910, CARHR145930
OG0000210	El006G298860	CARHR127190
OG0000213	El004G225480	CARHR066320, CARHR066310, CARHR066300
OG0000213	El005G245790	CARHR084950
OG0000213	El006G319120	CARHR292750, CARHR257100
OG0000213	El006G319100, El006G319080	CARHR292760, CARHR285920
OG0000216	El003G163460, El003G163490	CARHR229000, CARHR229580
OG0000217	El004G203150, El004G202950, El004G203070	CARHR284070
OG0000217	El004G202120	CARHR053930
OG0000218	El002G099000	CARHR015470
OG0000218	El002G099030, El002G099010	CARHR015480
OG0000218	El001G040840, El001G040850	CARHR147290
OG0000218	El001G036390	CARHR144080
OG0000219	El004G216370	CARHR058980
OG0000219	El007G327350	CARHR277080
OG0000219	El007G339360	CARHR266750
OG0000220	El008G369090	CARHR050490
OG0000220	El004G208200	CARHR147550, CARHR269160
OG0000220	El001G037770	CARHR145120, CARHR145130
OG0000222	El005G268220	CARHR218360
OG0000224	El004G230600	CARHR071060, CARHR071050
OG0000224	El004G230590	CARHR071040
OG0000224	El005G267900	CARHR230420
OG0000225	El002G115460	CARHR028880, CARHR028810
OG0000225	El002G115470, El002G115510	CARHR028830
OG0000225	El002G115440	CARHR028760
OG0000226	El001G017980, El001G017970, El007G334490, El007G334480, El007G337470	CARHR279920
OG0000226	El003G167740, El003G167670, El003G167790	CARHR160050, CARHR160040
OG0000228	El004G222540, El004G222580	CARHR064140
OG0000228	El001G048740, El001G048760	CARHR185670
OG0000228	El002G108430	CARHR292540
OG0000228	El004G222520	CARHR064130
OG0000228	El004G222500	CARHR064110
OG0000229	El003G153420	CARHR215270, CARHR251110
OG0000229	El002G136110, El002G136100, El002G136060, El002G136090, El001G062630, El002G136050	CARHR163030
OG0000230	El004G228600, El004G228560	CARHR069370
OG0000231	El003G188200	CARHR056350, CARHR213950, CARHR041780, CARHR214130, CARHR214120, CARHR262590
OG0000232	El002G128560, El005G261940, El005G261950, El005G261880, El005G261890	CARHR085660
OG0000232	El005G272620	CARHR105510
OG0000234	El001G013810	CARHR151000
OG0000234	El001G026000	CARHR165130
OG0000234	El001G025990	CARHR165120
OG0000234	El001G025980	CARHR165110
OG0000234	El006G290620	CARHR134140
OG0000234	El001G068080	CARHR199860
OG0000235	El002G130000	CARHR036380, CARHR036970
OG0000239	El006G299430	CARHR126990, CARHR127010, CARHR253920
OG0000242	El005G272850	CARHR105760, CARHR105770, CARHR105730
OG0000242	El002G097950	CARHR014460
OG0000242	El002G097960	CARHR014480, CARHR036430
OG0000242	El002G097970	CARHR014490
OG0000244	El003G163990	CARHR228610
OG0000244	El001G005180	CARHR252730
OG0000244	El001G005160	CARHR107520
OG0000247	El002G130240	CARHR180400
OG0000248	El004G205450	CARHR054340
OG0000248	El001G027800	CARHR166590
OG0000249	El001G010190, El001G010200	CARHR131180, CARHR131170
OG0000250	El004G221440, El004G221420, El004G221410, El004G221430	CARHR063130, CARHR063150
OG0000250	El003G189050	CARHR263070
OG0000252	El006G314500, El002G132360, El006G289160, El008G368890	CARHR135510
OG0000253	El005G262180	CARHR115150
OG0000254	El004G220180, El001G033560, El004G219930, El006G289430	CARHR135220
OG0000256	El001G005740	CARHR253260, CARHR253390
OG0000256	El006G289100	CARHR135560
OG0000257	El005G269290	CARHR102040, CARHR102030
OG0000257	El003G177270, El004G233260, El003G184780	CARHR216070, CARHR112870, CARHR219950, CARHR216060, CARHR057800, CARHR216110
OG0000258	El001G040630, El001G040650	CARHR147300
OG0000258	El007G334450	CARHR271060
OG0000258	El001G040670	CARHR147330
OG0000260	El006G317920	CARHR209980
OG0000260	El007G349370	CARHR029480
OG0000264	El001G003610	CARHR251320
OG0000264	El001G004650, El001G004660	CARHR252280, CARHR252320, CARHR252310
OG0000264	El001G003620	CARHR251330
OG0000265	El001G028230	CARHR285950
OG0000266	El001G030730, El001G005860, El002G136470, El004G205750	CARHR119130
OG0000268	El001G037050	CARHR144670
OG0000268	El004G198500	CARHR049930
OG0000268	El001G081300	CARHR211500
OG0000268	El001G024850	CARHR164050
OG0000270	El005G273730	CARHR243020, CARHR106740
OG0000270	El003G142380, El003G147700	CARHR247840
OG0000271	El006G308350	CARHR252250
OG0000273	El001G049110, El003G184360	CARHR038710, CARHR038690, CARHR038330
OG0000273	El002G105290	CARHR021360, CARHR021380
OG0000273	El003G181450	CARHR038630, CARHR038320
OG0000274	El007G331270	CARHR273300
OG0000274	El004G201760	CARHR053220
OG0000274	El002G089940, El002G089910	CARHR007140, CARHR007130
OG0000274	El006G303380, El006G303400	CARHR122830
OG0000275	El005G260440, El001G046400, El005G260470, El005G260460, El005G260450	CARHR097870
OG0000276	El003G177930	CARHR218850
OG0000276	El001G054260, El001G054290	CARHR188490, CARHR188470
OG0000277	El003G172490	CARHR290100, CARHR290090
OG0000277	El003G172540, El003G172520	CARHR290060
OG0000281	El001G040170	CARHR229330, CARHR290760
OG0000281	El002G134210, El002G134220	CARHR040090
OG0000281	El004G205670, El004G205700	CARHR025250
OG0000281	El007G357260	CARHR290770
OG0000281	El001G040220	CARHR147000
OG0000282	El001G074240	CARHR205620
OG0000282	El001G074210	CARHR205610
OG0000282	El001G074200, El001G074190	CARHR205590, CARHR205580, CARHR205600
OG0000283	El007G358960	CARHR180240
OG0000283	El007G358950, El007G358900, El007G358940	CARHR180280
OG0000284	El001G010020, El005G240890, El007G347650	CARHR119540, CARHR119080, CARHR102130, CARHR101660, CARHR102230, CARHR102520, CARHR264270, CARHR180810
OG0000285	El005G252080	CARHR033990
