Orthogroup	Erysimum_linariifolium	Arabidopsis_lyrata_NCBI
OG0000034	El007G355880, El007G355760	XP_020879276.1, XP_020876981.1
OG0000034	El003G154390, El001G040620, El004G214030	XP_020890967.1
OG0000034	El002G126180	XP_020891338.1
OG0000034	El027G373510	XP_020872390.1, XP_020868795.1, XP_020872178.1, XP_020876553.1
OG0000034	El002G123490	XP_020871959.1, XP_020872340.1
OG0000034	El003G149900	XP_020879181.1
OG0000034	El001G048010	XP_020871751.1, XP_020880608.1, XP_020885775.1, XP_020881477.1, XP_020875416.1, XP_020870606.1, XP_020872315.1
OG0000034	El006G311550	XP_020872318.1, XP_020872991.1, XP_020875735.1, XP_020877498.1, XP_020872630.1, XP_020885869.1
OG0000035	El006G299540	XP_002879361.2
OG0000035	El001G033250	XP_020881568.1
OG0000036	El004G193910	XP_020883504.1
OG0000037	El005G262630, El005G272610	XP_020870708.1
OG0000037	El005G260860	XP_020880729.1
OG0000038	El006G281890, El006G282510	XP_020889818.1
OG0000038	El001G019410	XP_020880739.1
OG0000038	El007G341120	XP_020871436.1
OG0000038	El007G361730, El007G361750	XP_020871052.1
OG0000038	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600	XP_002863596.2
OG0000038	El006G282520	XP_002893374.1
OG0000040	El003G181190, El002G112730, El002G112290	XP_002893432.1, XP_020866580.1
OG0000040	El005G250150	XP_020885911.1
OG0000040	El005G250180	XP_020888486.1, XP_002884990.1, XP_002884981.1, XP_002884979.1
OG0000040	El005G257410	XP_002885337.1
OG0000042	El001G058460	XP_020890764.1, XP_020881671.1, XP_020891386.1
OG0000042	El006G312080, El006G306460, El002G113220	XP_020888726.1
OG0000044	El007G357580, El007G365520, El003G186540	XP_020866165.1, XP_020887727.1, XP_020874078.1, XP_020867102.1, XP_020877167.1, XP_020871406.1, XP_020876919.1, XP_002883785.1, XP_020880655.1, XP_020882740.1, XP_002893924.2, XP_020870337.1
OG0000044	El006G308910, El006G308940	XP_020883604.1, XP_020876127.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1
OG0000044	El007G360870	XP_020885942.1, XP_020877131.1, XP_020871374.1
OG0000045	El005G249570, El003G188840, El005G264730, El002G101480	XP_020890956.1, XP_020882438.1
OG0000045	El004G208130	XP_020870253.1
OG0000046	El003G188710	XP_020872918.1, XP_020872917.1
OG0000046	El003G186960, El003G186970	XP_020873883.1
OG0000046	El003G168460	XP_020874378.1
OG0000046	El003G187000	XP_020872272.1
OG0000046	El003G186990	XP_020874589.1
OG0000046	El004G216620	XP_020865720.1
OG0000046	El004G216850, El004G216660	XP_020865823.1
OG0000046	El004G216520	XP_020865821.1
OG0000046	El004G216760	XP_020865724.1
OG0000046	El003G186890	XP_002868795.2
OG0000046	El003G186880, El003G186940	XP_020876931.1
OG0000047	El002G123400	XP_020865924.1
OG0000048	El003G193700	XP_002884413.1
OG0000048	El006G321480	XP_020883931.1
OG0000052	El002G116290	XP_020868191.1
OG0000052	El006G286640	XP_020890130.1
OG0000052	El006G286590	XP_020883122.1
OG0000052	El006G286580	XP_020883307.1
OG0000054	El001G039440	XP_020884558.1
OG0000055	El004G198780	XP_002886466.1, XP_020890707.1
OG0000055	El001G016330, El001G016310, El001G016300	XP_020880767.1
OG0000055	El004G198610	XP_020865627.1
OG0000055	El004G198640	XP_020889965.1
OG0000055	El004G208280	XP_020868319.1
OG0000055	El004G198010, El004G198720, El004G198710, El004G198730, El004G198700	XP_002888056.1, XP_020890625.1
OG0000055	El004G198810	XP_002888053.1
OG0000056	El007G350500	XP_020889278.1
OG0000057	El001G001400	XP_020876181.1
OG0000057	El003G174270, El003G172630, El003G172690	XP_020883674.1
OG0000057	El005G276600, El005G276550	XP_020886503.1, XP_020887842.1
OG0000057	El003G184060	XP_002862289.1
OG0000058	El001G046460	XP_020880718.1, XP_002879393.2
OG0000062	El003G186180, El004G203440, El004G203430	XP_020866308.1, XP_020879729.1
OG0000064	El003G142390	XP_020872718.1
OG0000064	El006G298100	XP_020884728.1
OG0000065	El004G204380	XP_020884537.1
OG0000066	El004G228220, El004G228230, El002G122920	XP_020891414.1, XP_020886001.1
OG0000066	El007G324780	XP_002877046.2, XP_002873454.1, XP_020876762.1, XP_020867896.1, XP_002894648.1
OG0000067	El001G050000	XP_020889441.1, XP_020889396.1, XP_020876026.1, XP_020876030.1
OG0000067	El001G015110, El001G015090	XP_020886482.1
OG0000067	El005G241220	XP_020877300.1
OG0000067	El001G019940, El001G019880, El003G151620, El001G050380, El007G338720	XP_002871038.2, XP_002883446.1, XP_002873094.1
OG0000067	El001G059350	XP_002871317.2
OG0000068	El004G214260	XP_020883624.1, XP_020891219.1, XP_020882782.1, XP_020872062.1, XP_020889582.1
OG0000071	El003G186390, El001G051200, El006G305000	XP_020889746.1
OG0000072	El005G263040, El005G262970, El004G210970, El005G264060	XP_020866785.1, XP_020884945.1, XP_020877184.1, XP_020882660.1, XP_020875736.1, XP_020882612.1, XP_020877271.1, XP_020890904.1, XP_020885842.1
OG0000072	El003G180720	XP_020888645.1, XP_020871279.1, XP_020881978.1, XP_020885342.1
OG0000073	El002G132380	XP_020875361.1
OG0000073	El007G355990	XP_020886914.1
OG0000073	El007G365480	XP_020877446.1
OG0000074	El002G109000	XP_020866884.1
OG0000074	El002G108900	XP_002893290.1
OG0000074	El002G108910	XP_002893291.1
OG0000074	El002G109050	XP_002893302.1
OG0000074	El002G108990	XP_002893298.1
OG0000074	El002G108960	XP_020870137.1
OG0000074	El002G109030	XP_020866886.1
OG0000074	El002G108840	XP_020870031.1
OG0000074	El002G108850	XP_020869256.1
OG0000074	El002G109040	XP_020869910.1
OG0000075	El001G065030, El001G025110	XP_020867374.1
OG0000076	El001G018730, El001G018680	XP_020879878.1
OG0000076	El001G018720, El001G018710, El001G018740, El007G346890	XP_020879880.1
OG0000076	El001G023150	XP_020881212.1
OG0000076	El001G023120	XP_020881214.1
OG0000076	El001G023080	XP_020881215.1, XP_020881213.1
OG0000076	El001G041500	XP_020882260.1
OG0000077	El007G346750	XP_020875017.1, XP_002863944.2
OG0000077	El003G143060	XP_002868914.1
OG0000077	El003G143070	XP_020874617.1
OG0000077	El003G143080	XP_002891316.2, XP_002891313.1, XP_020875509.1
OG0000077	El003G143050, El006G313810, El003G143040	XP_002868913.1
OG0000077	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890	XP_020890734.1, XP_020865611.1
OG0000077	El003G143090	XP_002868917.2
OG0000079	El005G237320, El005G272390	XP_020888699.1
OG0000079	El005G237310	XP_020887488.1
OG0000079	El004G213350, El004G213320, El004G213370, El005G273970	XP_020880524.1
OG0000079	El004G207470	XP_020880494.1
OG0000079	El007G357730	XP_020884444.1
OG0000079	El003G187300, El003G187270, El003G187260, El003G187360	XP_020872200.1
OG0000079	El003G187320, El003G187370, El003G187350, El003G187330	XP_020874865.1
OG0000079	El004G196920	XP_020874195.1
OG0000080	El002G131320, El002G131270	XP_020867733.1
OG0000080	El002G131930	XP_020868372.1
OG0000080	El001G069000, El001G068960	XP_002871528.2
OG0000080	El004G194020	XP_020891333.1
OG0000080	El003G157200	XP_020873461.1
OG0000080	El007G345310	XP_020885088.1
OG0000080	El001G043770, El001G041340	XP_020870001.1, XP_020874135.1, XP_020886448.1
OG0000081	El004G231800, El001G044440	XP_020888855.1
OG0000081	El001G062500	XP_002871805.1, XP_002873867.1
OG0000082	El006G315360	XP_020889967.1
OG0000082	El004G212430	XP_020867402.1, XP_020878439.1, XP_020880759.1, XP_020879679.1
OG0000083	El005G263710	XP_020886763.1
OG0000083	El005G263720, El005G262910	XP_020886764.1
OG0000083	El005G271190, El005G271150	XP_020887913.1
OG0000083	El005G271260, El005G271250, El005G271160, El005G265390	XP_020866346.1
OG0000083	El006G317480, El006G317520, El006G317460, El006G317530	XP_020888844.1, XP_020883479.1
OG0000083	El006G313440	XP_020883055.1, XP_020882682.1, XP_020882656.1
OG0000083	El005G240260	XP_020888110.1
OG0000084	El006G313930, El001G048100, El006G316280, El006G316240, El006G316260	XP_020884655.1
OG0000084	El006G313950	XP_020885162.1
OG0000084	El006G316300	XP_002880754.1
OG0000084	El006G316350	XP_020885291.1
OG0000084	El006G316230	XP_020884026.1
OG0000084	El006G316420	XP_020884025.1
OG0000084	El006G316360, El006G316460, El006G316430, El006G316470, El006G316370, El006G316400	XP_020884027.1
OG0000086	El004G210560	XP_002894696.1, XP_002862362.1, XP_002886750.1, XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886752.2, XP_002886746.1, XP_020891241.1, XP_002886744.1, XP_002862361.1, XP_002886749.1, XP_002886745.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002886748.1
OG0000087	El001G056180	XP_020879374.1
OG0000087	El006G303330	XP_020883550.1
OG0000087	El007G327940	XP_020871804.1
OG0000087	El001G016250	XP_020880680.1
OG0000087	El001G069260	XP_002873559.1
OG0000087	El006G296420	XP_002881356.1
OG0000087	El007G360740	XP_002863588.1
OG0000087	El003G165170	XP_020872103.1
OG0000087	El002G104330	XP_020866480.1
OG0000087	El004G228430	XP_020890671.1
OG0000088	El007G357210	XP_020881827.1
OG0000088	El001G017100	XP_020880709.1
OG0000088	El005G272510	XP_020886823.1
OG0000088	El001G016960	XP_002875847.2
OG0000088	El001G016980	XP_002877545.1
OG0000088	El001G016470	XP_020880184.1
OG0000088	El001G059590	XP_020878730.1
OG0000088	El001G059580	XP_002864053.1
OG0000089	El001G072250	XP_020876820.1
OG0000089	El002G133200	XP_020867828.1, XP_002883150.1
OG0000089	El006G287080	XP_002879966.1
OG0000089	El006G287070	XP_002879967.1
OG0000089	El006G287060	XP_002879968.1
OG0000089	El005G247910	XP_020888275.1
OG0000089	El006G292700	XP_020880453.1, XP_002879684.1, XP_020883890.1
OG0000089	El001G015710	XP_020871933.1, XP_020882238.1
OG0000090	El002G104490, El003G181590	XP_002887052.2
OG0000090	El007G355500	XP_002863814.1
OG0000090	El004G228750	XP_020891141.1
OG0000090	El001G031660	XP_002878309.1
OG0000090	El003G147970	XP_002867118.1
OG0000090	El001G038160, El001G038170, El001G049400	XP_002875194.1
OG0000090	El001G038180	XP_002883942.1, XP_002875195.1
OG0000090	El002G093200	XP_020867590.1
OG0000091	El004G215550	XP_020887529.1, XP_002870603.1, XP_020880876.1
OG0000093	El004G202240, El004G202270	XP_002878201.2
OG0000093	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230	XP_002883691.1, XP_002883689.2, XP_002883690.2
OG0000093	El001G029840	XP_002878203.1, XP_020880570.1
OG0000093	El001G029800, El007G352040	XP_020880581.1
OG0000096	El004G205300	XP_020891276.1
OG0000096	El001G038380	XP_020881188.1, XP_020881582.1
OG0000096	El001G038370	XP_020880678.1
OG0000096	El004G205890, El004G205920, El004G205830, El004G205860, El004G205880, El004G205870, El004G205260, El004G205840, El007G356380	XP_002894680.1
OG0000096	El007G361830	XP_020884560.1
OG0000096	El007G362860	XP_020869035.1
OG0000097	El001G004470	XP_002874842.1
OG0000097	El001G004450	XP_020876795.1
OG0000097	El001G004380	XP_020876465.1
OG0000097	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890	XP_002874844.1, XP_020877173.1, XP_020876443.1, XP_002874669.1, XP_002862572.1
OG0000097	El001G004400	XP_002863972.2, XP_002874850.1
OG0000098	El002G095770	XP_020869968.1
OG0000099	El004G194890, El004G195030, El004G194980	XP_002872472.2, XP_002886369.2
OG0000099	El004G194950	XP_020886281.1, XP_020891030.1, XP_002886371.1
OG0000101	El001G010940	XP_002886379.1
OG0000101	El007G356350	XP_020890843.1
OG0000101	El004G201590	XP_002886645.1
OG0000104	El002G090170	XP_020870885.1
OG0000104	El002G136420	XP_020870269.1, XP_020870260.1, XP_020870264.1
OG0000104	El002G136360	XP_020870262.1
OG0000105	El027G373450	XP_020866184.1
OG0000106	El005G259530	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020886742.1, XP_002883180.1, XP_002884070.2
OG0000106	El005G256210, El005G255560	XP_020865803.1
OG0000106	El006G306450	XP_020884689.1
OG0000106	El005G269060, El005G269030, El005G268940	XP_002885709.2, XP_002885705.1, XP_020888916.1, XP_002885707.1
OG0000107	El005G257800	XP_002883228.1
OG0000107	El005G257840	XP_020887921.1
OG0000107	El005G257830	XP_020887918.1
OG0000107	El005G257820	XP_020887923.1
OG0000107	El005G258940	XP_020888430.1
OG0000108	El001G053220	XP_002874257.1
OG0000108	El001G053160	XP_020879189.1
OG0000108	El001G047240	XP_020876145.1
OG0000108	El007G364310, El007G323300	XP_002893476.1, XP_020869068.1
OG0000108	El001G009690, El006G281400	XP_020885549.1
OG0000108	El006G309530	XP_020887764.1, XP_002883751.1, XP_002883752.1
OG0000108	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550	XP_020865728.1
OG0000109	El002G122420	XP_020866042.1
OG0000110	El001G030790	XP_020880525.1
OG0000110	El001G030780	XP_020880511.1
OG0000110	El001G030740	XP_020880541.1, XP_020880527.1, XP_020880542.1
OG0000110	El001G030750	XP_020880503.1
OG0000111	El003G187720, El001G009620, El003G183560	XP_020871248.1, XP_020872039.1, XP_020873181.1, XP_020875462.1
OG0000111	El007G327170	XP_020882481.1, XP_020882467.1
OG0000111	El001G025790	XP_020880888.1
OG0000112	El007G329910	XP_002878578.1, XP_002884106.1, XP_002879068.2, XP_002864712.1, XP_020883490.1, XP_002863574.1, XP_002863573.2, XP_020878125.1, XP_002863571.1, XP_020877257.1, XP_020871973.1, XP_020871983.1, XP_020877545.1, XP_020886106.1
OG0000112	El007G342990	XP_002864096.1
OG0000113	El004G212080	XP_020875322.1
OG0000113	El002G128690	XP_020886025.1, XP_020870827.1, XP_020868736.1
OG0000114	El001G070430	XP_002873501.1, XP_020887020.1
OG0000114	El004G206200, El004G206180, El004G205940, El004G206220	XP_020870825.1, XP_002892003.1, XP_020866269.1
OG0000115	El002G126950, El002G121910, El006G311440, El006G308990	XP_002892325.1
OG0000116	El006G309080, El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070	XP_020882165.1, XP_020881105.1, XP_020872551.1, XP_020877744.1
OG0000118	El003G186910, El001G022390, El006G313980, El006G314430, El001G000890, El004G214040	XP_002877840.1
OG0000118	El001G001700, El001G001530	XP_002875482.1
OG0000118	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930	XP_002876201.1
OG0000118	El002G084120	XP_020865753.1
OG0000119	El002G124220	XP_020866195.1, XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1
OG0000120	El004G200260	XP_002886576.1
OG0000120	El007G345250, El007G346140, El006G307860	XP_020871775.1, XP_020872669.1, XP_020877424.1, XP_020890208.1, XP_020877244.1, XP_020881008.1, XP_020890264.1
OG0000120	El001G077920	XP_020879779.1, XP_020879307.1
OG0000121	El001G079760	XP_020875124.1
OG0000123	El002G113800	XP_020866672.1, XP_002890763.1
OG0000124	El005G272110	XP_020866264.1
OG0000124	El005G255280	XP_020881817.1
OG0000124	El003G186300, El003G188620, El004G223250, El001G050120, El001G069630, El005G241140, El004G213620	XP_002878891.2
OG0000125	El006G292880	XP_020885803.1
OG0000125	El001G080460	XP_002873061.1
OG0000125	El002G090450	XP_020880339.1
OG0000125	El001G057350	XP_002874101.1
OG0000125	El001G015040	XP_020880863.1
OG0000125	El001G015130	XP_002877451.1
OG0000125	El006G304720	XP_002879182.1
OG0000127	El005G244320	XP_020888462.1
OG0000127	El001G001730	XP_020888516.1, XP_020875867.1, XP_002884715.2, XP_020869187.1, XP_020869185.1, XP_020869194.1, XP_020870924.1, XP_002862359.2, XP_020866032.1, XP_020869948.1
OG0000128	El003G178890	XP_020865849.1
OG0000130	El002G120060	XP_020866739.1, XP_020889313.1
OG0000131	El007G346920	XP_020885335.1
OG0000132	El005G264200	XP_002893409.1
OG0000132	El005G264210	XP_020885057.1
OG0000133	El005G265050	XP_020877519.1
OG0000135	El007G346110	XP_020881656.1, XP_020876232.1, XP_020890770.1, XP_020876673.1, XP_020881795.1, XP_020866133.1, XP_020866176.1, XP_020874182.1
OG0000136	El004G215940	XP_020865653.1
OG0000136	El003G186490, El003G186500	XP_002868825.1
OG0000136	El007G327820	XP_002864819.1
OG0000137	El003G191580	XP_020875630.1
OG0000138	El001G050920	XP_020871353.1
OG0000138	El001G045810, El001G045830	XP_020882530.1, XP_002875524.1
OG0000140	El001G016150	XP_002875806.1, XP_002875805.1
OG0000140	El007G331970	XP_002864617.1
OG0000140	El007G332020	XP_002863036.1, XP_020869408.1
OG0000140	El007G332560	XP_020879394.1
OG0000140	El007G332570	XP_020870866.1
OG0000140	El007G332540	XP_020871535.1
OG0000140	El007G332580, El007G332590	XP_020869658.1
OG0000140	El007G332010, El007G332000	XP_020874639.1, XP_002864614.1
OG0000142	El006G303740, El006G303770	XP_020885350.1
OG0000142	El006G303840	XP_020885355.1
OG0000142	El001G049820, El006G303750	XP_020885363.1
OG0000142	El006G303760, El006G303820	XP_020885473.1, XP_020885474.1
OG0000142	El006G301970, El006G301960	XP_002881123.1
OG0000144	El007G344160	XP_020872445.1, XP_020875855.1, XP_020889856.1
OG0000144	El007G351410	XP_020885594.1, XP_020870692.1
OG0000144	El007G362000	XP_020891498.1, XP_020875848.1
OG0000146	El007G336790	XP_002866093.1
OG0000146	El007G336850	XP_020872008.1
OG0000146	El007G336820	XP_002866092.1
OG0000146	El007G336870, El007G336880	XP_020872009.1
OG0000146	El002G123070	XP_002891107.2
OG0000146	El007G336890	XP_020881819.1
OG0000147	El005G277400	XP_020888881.1
OG0000147	El003G152940	XP_020872380.1
OG0000147	El007G334350	XP_020870964.1
OG0000147	El004G233720	XP_020890865.1
OG0000147	El001G047010	XP_020882578.1
OG0000147	El005G271430	XP_020889051.1
OG0000147	El006G316840	XP_020885195.1
OG0000149	El001G015560	XP_002875779.1
OG0000149	El006G308870	XP_020885175.1
OG0000150	El006G312860	XP_020886449.1
OG0000150	El006G312870, El001G014430	XP_020881834.1
OG0000150	El006G312840, El006G312880	XP_002878927.2
OG0000150	El006G312950, El006G312930	XP_020885607.1, XP_002878925.2
OG0000150	El001G011280	XP_020881724.1
OG0000150	El001G014390, El001G014400	XP_020881747.1
OG0000150	El001G012490, El001G014420	XP_020881737.1
OG0000151	El007G339860	XP_002865968.1
OG0000151	El003G156070	XP_002867477.1
OG0000151	El005G243780	XP_020888570.1
OG0000151	El005G273960	XP_020888018.1
OG0000151	El007G336000	XP_020891046.1
OG0000151	El003G193180	XP_020874812.1
OG0000152	El003G177030	XP_020869985.1
OG0000154	El005G244620	XP_002884737.1
OG0000154	El004G209500	XP_002873055.1
OG0000155	El001G002450, El001G002560, El001G002510, El001G002610	XP_020881884.1, XP_020873335.1, XP_020873355.1
OG0000155	El004G214530, El004G213730, El004G214590	XP_002886975.2, XP_020889997.1
OG0000155	El003G164690	XP_002867852.2
OG0000155	El005G247790	XP_020888268.1
OG0000155	El003G164700	XP_020876400.1
OG0000155	El005G272960	XP_020882926.1
OG0000156	El001G032910	XP_002878356.2
OG0000156	El006G282820, El007G349010	XP_002882021.1
OG0000156	El006G282860	XP_002882020.2
OG0000156	El001G032920	XP_020882337.1
OG0000157	El005G265510, El005G265480, El005G265460, El005G265550	XP_020888654.1, XP_002885586.1
OG0000157	El005G238850	XP_020887711.1
OG0000157	El003G192550	XP_020875172.1
OG0000157	El003G192860	XP_020882923.1, XP_002881592.1
OG0000158	El003G184160	XP_002894673.1, XP_002868325.2
OG0000158	El001G001370, El001G007170, El001G007140	XP_020877947.1
OG0000158	El006G298850	XP_002879471.2
OG0000162	El003G183220	XP_020879924.1
OG0000162	El001G032190	XP_020881913.1
OG0000162	El007G330500	XP_020865963.1, XP_020866050.1, XP_020891301.1
OG0000162	El006G283560, El006G283550	XP_020884580.1
OG0000164	El003G154300	XP_002869435.1
OG0000164	El003G143330	XP_002866883.1
OG0000164	El003G166760, El003G166780	XP_020874446.1
OG0000164	El003G143310	XP_020872234.1
OG0000164	El003G186050, El001G048320	XP_002886688.1, XP_020879009.1, XP_020879174.1, XP_002872307.1
OG0000164	El003G143320	XP_020872235.1
OG0000166	El003G170640, El003G170650, El006G307980	XP_020890626.1
OG0000167	El003G166330	XP_020872090.1
OG0000167	El003G182660, El003G182640	XP_020875194.1, XP_020875186.1
OG0000167	El003G166350	XP_002869981.2
OG0000167	El003G186120	XP_020872359.1
OG0000167	El007G355560, El007G355650	XP_020872593.1
OG0000169	El004G226750	XP_020865592.1
OG0000169	El004G220680	XP_020890617.1
OG0000169	El004G226730	XP_020890616.1
OG0000169	El004G226720	XP_020890605.1
OG0000169	El006G309550	XP_020865750.1
OG0000171	El004G222060, El002G108810	XP_020890687.1, XP_020870037.1
OG0000171	El004G201030	XP_002892585.1
OG0000171	El001G066810	XP_002871626.1
OG0000172	El001G065760	XP_020876585.1
OG0000172	El001G024870, El001G024880	XP_020889594.1, XP_020880950.1, XP_002876243.1
OG0000172	El001G034720	XP_020880319.1
OG0000172	El001G034730	XP_020880953.1, XP_020865702.1
OG0000172	El001G030560	XP_020880529.1
OG0000175	El001G021550	XP_002876081.1
OG0000175	El004G228610	XP_002887616.1
OG0000175	El002G104420	XP_020870471.1
OG0000175	El003G147420	XP_002869113.1
OG0000175	El003G146230	XP_020873047.1
OG0000176	El002G116980, El002G116900, El002G117520	XP_020869751.1
OG0000180	El007G325980	XP_020871771.1, XP_020886063.1
OG0000180	El004G196870, El004G196830, El007G342850	XP_020880445.1
OG0000183	El004G227200	XP_020887742.1
OG0000183	El001G029540, El007G356510	XP_020880631.1
OG0000183	El002G109940, El003G170170, El006G283640	XP_020887788.1
OG0000185	El004G210290	XP_020890721.1
OG0000185	El004G197640	XP_020890722.1
OG0000187	El003G151220	XP_002867283.1
OG0000187	El005G246530	XP_020888292.1
OG0000189	El005G267970	XP_020886346.1
OG0000189	El003G144190, El001G061400, El001G061930	XP_002866926.1
OG0000189	El003G144180	XP_020874945.1
OG0000190	El001G005540	XP_002874799.1
OG0000190	El001G005520	XP_002872696.1
OG0000190	El001G005530	XP_020877648.1
OG0000190	El001G005500	XP_020877653.1
OG0000190	El001G005510	XP_002872697.1
OG0000190	El005G265350	XP_002893865.1
OG0000191	El005G254650	XP_020865892.1
OG0000191	El005G274440, El005G274460, El005G274720	XP_020888360.1
OG0000192	El002G105680	XP_020869473.1
OG0000192	El001G002000	XP_020877970.1
OG0000192	El002G105660	XP_020869475.1
OG0000192	El002G105610	XP_002890432.1
